household_id,parent,event_time,log_earnings,hours,participation_rate
3,mother,0,3.581,33.0523,0.9245
3,father,0,3.9625,40.8818,0.9421
3,mother,1,3.5137,33.0552,0.8582
3,father,1,3.8841,40.7338,0.9708
3,mother,2,3.4529,31.8244,0.8212
3,father,2,3.9021,40.6202,0.962
3,mother,3,3.4708,30.4978,0.7888
3,father,3,3.9718,40.904,0.9611
3,mother,4,3.3941,29.383,0.7829
3,father,4,3.9025,41.271,0.9599
3,mother,5,3.3636,30.3354,0.7731
3,father,5,3.8937,40.9666,0.9749
3,mother,6,3.3715,29.9687,0.7704
3,father,6,3.9597,41.0126,0.9475
3,mother,7,3.3476,30.054,0.7875
3,father,7,3.9381,41.997,0.9572
3,mother,8,3.3633,29.6477,0.7552
3,father,8,3.9187,40.5498,0.9556
3,mother,9,3.4044,29.3356,0.7339
3,father,9,3.8761,41.1759,0.9625
3,mother,10,3.4364,29.1696,0.7801
3,father,10,3.8905,40.8071,0.9523
4,mother,-5,3.7183,36.6287,0.9078
4,father,-5,3.8573,40.8909,0.9551
4,mother,-4,3.7666,37.0968,0.9307
4,father,-4,3.8116,41.2573,0.9735
4,mother,-3,3.7073,37.3953,0.9208
4,father,-3,3.8009,40.6098,0.9791
4,mother,-2,3.7106,37.811,0.9018
4,father,-2,3.8732,40.6119,0.9766
4,mother,-1,3.7387,37.7205,0.928
4,father,-1,3.8374,40.8631,0.9687
4,mother,0,3.5992,33.1166,0.9243
4,father,0,3.861,40.5798,0.9741
4,mother,1,3.5616,32.1759,0.854
4,father,1,3.8679,40.6385,0.9779
4,mother,2,3.4643,31.7785,0.8425
4,father,2,3.8601,40.1527,0.9754
4,mother,3,3.4734,30.5502,0.794
4,father,3,3.891,40.6451,0.94
4,mother,4,3.4543,30.5881,0.7822
4,father,4,3.8556,41.0352,0.9867
4,mother,5,3.4426,29.8125,0.7769
4,father,5,3.8213,41.4429,0.9603
4,mother,6,3.4356,30.6662,0.7725
4,father,6,3.8382,40.5893,0.9684
4,mother,7,3.4432,29.3132,0.7642
4,father,7,3.8797,40.8588,0.9743
4,mother,8,3.4449,30.1218,0.745
4,father,8,3.8076,40.4629,0.9707
4,mother,9,3.4298,29.9951,0.7547
4,father,9,3.8547,40.655,0.9784
4,mother,10,3.4145,29.9197,0.778
4,father,10,3.8431,41.4017,0.9595
5,mother,-5,3.5802,35.4834,0.9515
5,father,-5,3.9862,40.6861,0.9694
5,mother,-4,3.6496,35.5486,0.9132
5,father,-4,3.9742,41.0195,0.9784
5,mother,-3,3.5845,34.8015,0.9312
5,father,-3,3.9168,40.5012,0.986
5,mother,-2,3.5449,35.0578,0.9362
5,father,-2,3.9375,39.8077,0.9708
5,mother,-1,3.5586,35.9503,0.9457
5,father,-1,3.9674,40.618,0.9552
5,mother,0,3.5254,32.0376,0.9423
5,father,0,3.9023,40.6954,0.9679
5,mother,1,3.3775,31.0971,0.897
5,father,1,3.955,39.8331,0.9649
5,mother,2,3.4196,30.0056,0.8295
5,father,2,3.9891,41.2107,0.9588
5,mother,3,3.3463,29.4992,0.7849
5,father,3,3.9777,40.1367,0.9454
5,mother,4,3.2633,29.3445,0.7574
5,father,4,3.9437,40.1373,0.9697
5,mother,5,3.2433,28.5263,0.7871
5,father,5,4.0166,40.5426,0.9806
5,mother,6,3.2636,27.6507,0.7698
5,father,6,3.9217,41.492,0.9721
5,mother,7,3.2977,27.7755,0.7592
5,father,7,4.0142,39.8608,0.9749
5,mother,8,3.2661,27.7765,0.7534
5,father,8,3.9517,41.0434,0.9665
5,mother,9,3.3115,28.1756,0.737
5,father,9,3.9569,40.6491,0.9534
5,mother,10,3.2682,27.7078,0.7782
5,father,10,3.9812,40.925,0.9749
6,mother,-5,3.7861,37.0019,0.9474
6,father,-5,3.6348,40.8724,0.9507
6,mother,-4,3.7612,36.2946,0.937
6,father,-4,3.6589,40.9622,0.9726
6,mother,-3,3.7559,36.3557,0.937
6,father,-3,3.6936,40.9027,0.9476
6,mother,-2,3.7147,36.346,0.9421
6,father,-2,3.7111,40.4247,0.995
6,mother,-1,3.7239,36.0251,0.9386
6,father,-1,3.6636,40.8231,0.9764
6,mother,0,3.705,33.0449,0.9413
6,father,0,3.6705,39.8357,0.9824
6,mother,1,3.5804,31.9028,0.8638
6,father,1,3.7143,40.1791,0.995
6,mother,2,3.5132,30.1145,0.821
6,father,2,3.6213,39.6606,0.9687
6,mother,3,3.5071,30.5371,0.8076
6,father,3,3.6183,40.0428,0.9658
6,mother,4,3.4297,30.2832,0.7879
6,father,4,3.692,40.7839,0.9627
6,mother,5,3.5129,29.3984,0.7625
6,father,5,3.6453,41.3031,0.9542
6,mother,6,3.5031,29.0862,0.7677
6,father,6,3.678,41.1509,0.9645
6,mother,7,3.48,29.2879,0.7672
6,father,7,3.7348,40.3413,0.9487
6,mother,8,3.4181,28.3057,0.7577
6,father,8,3.7484,40.6595,0.9566
6,mother,9,3.4252,28.7632,0.7793
6,father,9,3.6872,41.0481,0.9566
6,mother,10,3.4371,29.6784,0.7657
6,father,10,3.6846,41.9422,0.9565
7,mother,-5,3.6144,37.221,0.9172
7,father,-5,3.8891,38.6667,0.9614
7,mother,-4,3.6426,38.1564,0.9266
7,father,-4,3.9368,38.193,0.9604
7,mother,-3,3.5841,37.8128,0.9247
7,father,-3,3.8588,38.7259,0.975
7,mother,-2,3.6915,37.8616,0.9334
7,father,-2,3.8941,38.2083,0.995
7,mother,-1,3.6804,38.3984,0.945
7,father,-1,3.9237,39.0154,0.9462
7,mother,0,3.6063,33.7576,0.9128
7,father,0,3.8605,38.6569,0.9806
7,mother,1,3.4546,32.8495,0.8725
7,father,1,3.9545,38.3821,0.9803
7,mother,2,3.4436,32.3915,0.8341
7,father,2,3.8533,38.4058,0.9584
7,mother,3,3.4468,32.2432,0.8031
7,father,3,3.9208,37.9792,0.955
7,mother,4,3.4199,30.7816,0.8032
7,father,4,3.8523,38.6819,0.9518
7,mother,5,3.3526,31.8324,0.7944
7,father,5,3.8942,38.4597,0.9851
7,mother,6,3.4348,31.3464,0.7456
7,father,6,3.7976,39.2086,0.9327
7,mother,7,3.3308,31.2166,0.7833
7,father,7,3.9433,38.8098,0.966
7,mother,8,3.3902,30.7306,0.7584
7,father,8,3.9033,38.4062,0.9672
7,mother,9,3.3474,30.1766,0.755
7,father,9,3.8796,38.1199,0.9591
7,mother,10,3.3364,30.732,0.7684
7,father,10,3.8773,37.982,0.9732
8,mother,-5,3.6842,35.2209,0.9406
8,father,-5,3.8869,43.5736,0.974
8,mother,-4,3.7032,34.3991,0.9294
8,father,-4,3.8967,43.5865,0.9635
8,mother,-3,3.7203,36.479,0.9662
8,father,-3,3.873,43.3998,0.9479
8,mother,-2,3.6853,35.3059,0.9265
8,father,-2,3.876,42.8586,0.9583
8,mother,-1,3.7332,34.9493,0.9206
8,father,-1,3.904,41.869,0.9814
8,mother,0,3.5507,31.6057,0.9341
8,father,0,3.8891,42.752,0.9647
8,mother,1,3.5238,30.5711,0.869
8,father,1,3.8536,42.7346,0.9695
8,mother,2,3.3955,29.2977,0.8433
8,father,2,3.9108,42.6615,0.9791
8,mother,3,3.4387,29.3494,0.8011
8,father,3,3.8576,42.8899,0.96
8,mother,4,3.4028,28.5188,0.7777
8,father,4,3.8802,42.3325,0.9618
8,mother,5,3.4257,28.6403,0.7812
8,father,5,3.9008,42.8344,0.9582
8,mother,6,3.3859,29.0481,0.7624
8,father,6,3.8882,42.3231,0.9455
8,mother,7,3.3727,28.1793,0.7732
8,father,7,3.9275,43.4123,0.9681
8,mother,8,3.4028,28.3096,0.7653
8,father,8,3.8893,43.2554,0.9786
8,mother,9,3.3739,28.5161,0.7534
8,father,9,3.9107,42.7987,0.9514
8,mother,10,3.3959,28.2555,0.7468
8,father,10,3.8159,43.9343,0.9648
9,mother,-5,3.6662,37.3688,0.9387
9,father,-5,3.6094,39.3924,0.9585
9,mother,-4,3.6289,36.779,0.948
9,father,-4,3.6596,40.6696,0.9602
9,mother,-3,3.5922,36.6127,0.9127
9,father,-3,3.629,39.5998,0.9638
9,mother,-2,3.6541,36.5213,0.9404
9,father,-2,3.6513,41.0062,0.9653
9,mother,-1,3.6471,37.2545,0.9304
9,father,-1,3.6339,41.0652,0.9526
9,mother,0,3.5133,33.9034,0.9299
9,father,0,3.6469,39.6165,0.9702
9,mother,1,3.5421,31.7629,0.8583
9,father,1,3.6238,39.7517,0.983
9,mother,2,3.3779,31.8057,0.8076
9,father,2,3.6212,40.0631,0.9907
9,mother,3,3.3618,30.9072,0.7839
9,father,3,3.6418,40.7761,0.9555
9,mother,4,3.334,30.276,0.7882
9,father,4,3.6772,40.2207,0.9787
9,mother,5,3.3638,29.5408,0.7734
9,father,5,3.6718,40.2815,0.9657
9,mother,6,3.3087,30.0588,0.7683
9,father,6,3.6513,40.3339,0.9825
9,mother,7,3.3438,30.2314,0.7776
9,father,7,3.632,40.9712,0.9705
9,mother,8,3.3468,29.2717,0.7683
9,father,8,3.6232,40.3488,0.9566
9,mother,9,3.3436,30.8007,0.7637
9,father,9,3.5715,40.1864,0.9705
9,mother,10,3.328,29.418,0.7534
9,father,10,3.6032,40.5754,0.9748
10,mother,-5,3.5916,37.0593,0.9447
10,father,-5,3.87,41.6657,0.952
10,mother,-4,3.6018,36.1261,0.9007
10,father,-4,3.8612,42.8614,0.961
10,mother,-3,3.567,37.5079,0.9309
10,father,-3,3.85,43.5107,0.9646
10,mother,-2,3.5729,36.8017,0.9357
10,father,-2,3.8406,43.1611,0.9718
10,mother,-1,3.5781,36.765,0.9418
10,father,-1,3.9069,42.3483,0.9765
10,mother,0,3.4877,33.9343,0.9406
10,father,0,3.8419,43.4859,0.9934
10,mother,1,3.4103,32.2457,0.8604
10,father,1,3.8449,43.0389,0.9581
10,mother,2,3.3626,31.4429,0.8281
10,father,2,3.8444,42.6821,0.9623
10,mother,3,3.3893,30.2759,0.792
10,father,3,3.8671,43.7747,0.9629
10,mother,4,3.2952,30.0974,0.7958
10,father,4,3.8803,43.4695,0.9818
10,mother,5,3.2947,29.8731,0.7783
10,father,5,3.8412,42.3764,0.9751
10,mother,6,3.2614,30.5192,0.7675
10,father,6,3.8546,42.8341,0.9281
10,mother,7,3.289,30.0467,0.7653
10,father,7,3.8184,42.6833,0.9484
10,mother,8,3.2414,30.3485,0.7577
10,father,8,3.8407,42.7817,0.9448
10,mother,9,3.2563,29.7773,0.7654
10,father,9,3.8312,43.3687,0.9539
10,mother,10,3.2805,29.8326,0.7671
10,father,10,3.8496,42.8526,0.9526
11,mother,-5,3.4848,37.1786,0.9063
11,father,-5,3.8325,42.8233,0.9761
11,mother,-4,3.514,37.0916,0.9242
11,father,-4,3.8031,43.1312,0.9887
11,mother,-3,3.529,37.1089,0.9319
11,father,-3,3.8382,42.8896,0.9526
11,mother,-2,3.5051,37.1358,0.9657
11,father,-2,3.8062,42.9089,0.9705
11,mother,-1,3.4993,37.5745,0.9196
11,father,-1,3.7802,42.5265,0.9885
11,mother,0,3.4044,33.4999,0.9031
11,father,0,3.8919,42.5173,0.9751
11,mother,1,3.3405,31.6412,0.8716
11,father,1,3.8178,42.9609,0.981
11,mother,2,3.2494,31.31,0.8326
11,father,2,3.8344,42.8963,0.9738
11,mother,3,3.2698,30.5559,0.7911
11,father,3,3.8103,42.8974,0.9674
11,mother,4,3.2491,29.715,0.7877
11,father,4,3.8317,42.3761,0.9713
11,mother,5,3.2167,30.1104,0.7774
11,father,5,3.8122,42.8993,0.9642
11,mother,6,3.2731,28.5536,0.7597
11,father,6,3.8607,42.4759,0.9732
11,mother,7,3.206,29.4835,0.7643
11,father,7,3.8343,42.6751,0.9653
11,mother,8,3.239,29.589,0.7553
11,father,8,3.8617,42.5508,0.9514
11,mother,9,3.2235,29.8921,0.7621
11,father,9,3.832,42.6231,0.9567
11,mother,10,3.2186,29.7636,0.7422
11,father,10,3.8771,41.5894,0.9564
12,mother,-5,3.6488,38.4644,0.9492
12,father,-5,3.7631,42.845,0.9686
12,mother,-4,3.6843,39.4376,0.9238
12,father,-4,3.8002,41.5942,0.9751
12,mother,-3,3.6785,38.3921,0.9484
12,father,-3,3.8214,42.3574,0.964
12,mother,-2,3.7375,38.9174,0.9274
12,father,-2,3.7837,42.6737,0.9797
12,mother,-1,3.5993,38.2778,0.9292
12,father,-1,3.7291,42.9618,0.9782
12,mother,0,3.638,34.7615,0.9378
12,father,0,3.8092,42.944,0.9876
12,mother,1,3.5221,32.9842,0.8813
12,father,1,3.7698,43.0469,0.9702
12,mother,2,3.465,32.6052,0.8136
12,father,2,3.8627,42.5676,0.9622
12,mother,3,3.4864,32.7748,0.7925
12,father,3,3.7885,41.9598,0.9558
12,mother,4,3.4586,30.9906,0.7704
12,father,4,3.7769,43.248,0.9664
12,mother,5,3.3859,31.0766,0.7689
12,father,5,3.7637,42.8898,0.9664
12,mother,6,3.3926,31.1459,0.7784
12,father,6,3.7607,43.4945,0.9678
12,mother,7,3.3714,31.4005,0.7576
12,father,7,3.8107,42.4013,0.972
12,mother,8,3.3544,31.0769,0.7845
12,father,8,3.8104,43.2242,0.9616
12,mother,9,3.3825,30.9207,0.7761
12,father,9,3.7417,43.1642,0.9537
12,mother,10,3.3448,30.5416,0.735
12,father,10,3.8012,43.2011,0.9623
13,mother,-5,3.6427,35.2834,0.9353
13,father,-5,3.8106,39.6671,0.97
13,mother,-4,3.6725,35.7636,0.9239
13,father,-4,3.7412,39.6663,0.9695
13,mother,-3,3.6118,35.7553,0.9175
13,father,-3,3.7686,39.4903,0.9796
13,mother,-2,3.649,35.4488,0.931
13,father,-2,3.7837,38.8547,0.9546
13,mother,-1,3.6204,35.0469,0.9194
13,father,-1,3.7548,39.6688,0.98
13,mother,0,3.5687,32.5426,0.9238
13,father,0,3.7991,39.3012,0.995
13,mother,1,3.4757,30.5055,0.8571
13,father,1,3.7711,39.3545,0.9813
13,mother,2,3.4257,29.7778,0.7982
13,father,2,3.7814,39.7253,0.9623
13,mother,3,3.3918,30.2373,0.8163
13,father,3,3.8238,39.8821,0.9481
13,mother,4,3.3752,28.0973,0.7933
13,father,4,3.8037,39.5695,0.9629
13,mother,5,3.3602,28.918,0.7757
13,father,5,3.743,39.6366,0.9502
13,mother,6,3.3466,28.7056,0.7427
13,father,6,3.7512,39.4623,0.9667
13,mother,7,3.349,28.8216,0.7605
13,father,7,3.7812,40.4572,0.9751
13,mother,8,3.3716,28.4321,0.7692
13,father,8,3.8194,39.5089,0.9655
13,mother,9,3.3221,27.9638,0.7686
13,father,9,3.7815,39.522,0.9686
13,mother,10,3.3986,27.7722,0.7428
13,father,10,3.7513,40.7694,0.9499
14,mother,-5,3.5562,34.6563,0.9344
14,father,-5,3.7164,41.1377,0.9578
14,mother,-4,3.5091,34.345,0.9233
14,father,-4,3.718,41.0233,0.9546
14,mother,-3,3.5381,33.7521,0.9235
14,father,-3,3.687,41.3646,0.9885
14,mother,-2,3.5633,34.093,0.925
14,father,-2,3.7115,42.2777,0.9712
14,mother,-1,3.483,34.0939,0.9454
14,father,-1,3.7414,41.1028,0.9655
14,mother,0,3.4484,30.8289,0.9239
14,father,0,3.6668,40.7251,0.9649
14,mother,1,3.4215,29.2631,0.8702
14,father,1,3.7212,41.4564,0.9833
14,mother,2,3.3269,29.1855,0.8152
14,father,2,3.723,41.4916,0.9565
14,mother,3,3.2686,28.2972,0.8005
14,father,3,3.7064,40.8742,0.9874
14,mother,4,3.2312,27.9542,0.7986
14,father,4,3.7369,41.0885,0.9688
14,mother,5,3.2385,27.605,0.7873
14,father,5,3.7371,42.1361,0.9682
14,mother,6,3.2099,27.4576,0.7612
14,father,6,3.6747,41.8164,0.946
14,mother,7,3.1965,27.055,0.7563
14,father,7,3.6983,42.1336,0.9669
14,mother,8,3.2707,26.5025,0.7679
14,father,8,3.7434,41.6561,0.9608
14,mother,9,3.1855,27.3375,0.7448
14,father,9,3.659,41.9339,0.9587
14,mother,10,3.1639,26.7408,0.7491
14,father,10,3.7115,41.8183,0.9489
15,mother,-5,3.4681,35.7649,0.9247
15,father,-5,3.8654,42.2662,0.94
15,mother,-4,3.4507,35.2296,0.9206
15,father,-4,3.894,41.8382,0.963
15,mother,-3,3.472,36.0736,0.9252
15,father,-3,3.8816,41.3922,0.9629
15,mother,-2,3.4349,36.0714,0.9324
15,father,-2,3.8949,42.0879,0.964
15,mother,-1,3.4782,36.162,0.9257
15,father,-1,3.8465,42.9208,0.9947
15,mother,0,3.3977,32.6916,0.9374
15,father,0,3.869,41.8437,0.9808
15,mother,1,3.2953,30.8518,0.876
15,father,1,3.8515,42.1048,0.9738
15,mother,2,3.2504,29.9158,0.8325
15,father,2,3.9368,41.5863,0.9757
15,mother,3,3.1818,29.4619,0.8022
15,father,3,3.8373,42.1318,0.9635
15,mother,4,3.1749,29.3816,0.7963
15,father,4,3.8737,42.2602,0.9588
15,mother,5,3.1252,29.1142,0.7854
15,father,5,3.859,41.5759,0.9834
15,mother,6,3.1939,27.9379,0.7502
15,father,6,3.8391,41.4025,0.9758
15,mother,7,3.1205,28.905,0.755
15,father,7,3.8895,42.6826,0.9485
15,mother,8,3.1353,27.8468,0.7464
15,father,8,3.882,42.8074,0.9648
15,mother,9,3.1619,28.1287,0.7721
15,father,9,3.9373,42.4614,0.98
15,mother,10,3.1829,28.5012,0.7672
15,father,10,3.8912,41.4178,0.9638
16,mother,-5,3.5911,34.7948,0.9097
16,father,-5,3.8689,42.3131,0.9589
16,mother,-4,3.5531,34.4726,0.9383
16,father,-4,3.8161,43.115,0.9624
16,mother,-3,3.5661,34.2264,0.9159
16,father,-3,3.85,41.9902,0.9847
16,mother,-2,3.5727,34.6396,0.9153
16,father,-2,3.8405,42.2901,0.9811
16,mother,-1,3.5683,33.7402,0.9363
16,father,-1,3.8573,41.4813,0.9692
16,mother,0,3.4847,31.4725,0.9401
16,father,0,3.8715,41.9057,0.955
16,mother,1,3.4462,29.8351,0.8604
16,father,1,3.7807,42.6891,0.9681
16,mother,2,3.3313,29.4643,0.8195
16,father,2,3.8222,42.7001,0.9624
16,mother,3,3.3222,28.8329,0.801
16,father,3,3.8547,42.0817,0.9722
16,mother,4,3.3099,27.0024,0.761
16,father,4,3.8967,41.8114,0.9709
16,mother,5,3.2368,27.4748,0.765
16,father,5,3.8689,40.9118,0.9492
16,mother,6,3.2361,27.2335,0.7748
16,father,6,3.8694,42.4589,0.9502
16,mother,7,3.3,26.3314,0.7583
16,father,7,3.7751,42.6391,0.9741
16,mother,8,3.2257,27.573,0.7716
16,father,8,3.8704,42.0534,0.9454
16,mother,9,3.2757,27.0226,0.7546
16,father,9,3.8391,42.4337,0.9638
16,mother,10,3.278,27.2874,0.751
16,father,10,3.8815,41.703,0.9785
17,mother,-5,3.8956,36.7628,0.9152
17,father,-5,4.1621,40.7517,0.9713
17,mother,-4,3.9731,36.5368,0.943
17,father,-4,4.1169,41.2643,0.9896
17,mother,-3,3.9436,37.2555,0.9503
17,father,-3,4.0981,40.8468,0.9661
17,mother,-2,3.9122,38.3077,0.9531
17,father,-2,4.1172,41.5262,0.9485
17,mother,-1,3.9132,37.4147,0.9223
17,father,-1,4.086,41.1909,0.9857
17,mother,0,3.8847,34.024,0.9247
17,father,0,4.1163,41.2026,0.9586
17,mother,1,3.7809,32.4402,0.8713
17,father,1,4.0766,39.9516,0.9548
17,mother,2,3.707,31.4852,0.8282
17,father,2,4.1236,40.4463,0.9645
17,mother,3,3.6804,30.4542,0.7906
17,father,3,4.0825,41.6464,0.9546
17,mother,4,3.638,29.9535,0.7954
17,father,4,4.138,41.4968,0.9557
17,mother,5,3.669,30.82,0.7804
17,father,5,4.1422,41.3779,0.9544
17,mother,6,3.6311,30.0044,0.7686
17,father,6,4.0917,40.9711,0.9632
17,mother,7,3.6392,30.0703,0.7675
17,father,7,4.1343,40.8647,0.9678
17,mother,8,3.6181,29.9189,0.7661
17,father,8,4.1277,41.298,0.9624
17,mother,9,3.5979,30.7783,0.7303
17,father,9,4.153,40.3023,0.9571
17,mother,10,3.6538,30.0619,0.7542
17,father,10,4.0604,41.9138,0.9629
18,mother,-5,3.9451,38.6841,0.9414
18,father,-5,3.6964,41.9828,0.9591
18,mother,-4,3.9353,39.1891,0.9137
18,father,-4,3.6669,41.5862,0.9723
18,mother,-3,3.9351,39.27,0.9189
18,father,-3,3.7205,42.7289,0.9569
18,mother,-2,3.9072,38.4995,0.9433
18,father,-2,3.6882,42.4753,0.9764
18,mother,-1,3.9341,37.4356,0.9327
18,father,-1,3.708,42.6021,0.96
18,mother,0,3.8621,35.1115,0.9523
18,father,0,3.6842,41.8863,0.9841
18,mother,1,3.7576,33.5952,0.8602
18,father,1,3.6971,42.1612,0.9724
18,mother,2,3.7154,32.5491,0.8142
18,father,2,3.6882,41.7424,0.9672
18,mother,3,3.7011,31.7421,0.7996
18,father,3,3.7002,42.0234,0.9645
18,mother,4,3.6107,31.5016,0.7818
18,father,4,3.66,42.1004,0.9756
18,mother,5,3.6348,31.289,0.7763
18,father,5,3.733,42.3353,0.9836
18,mother,6,3.6528,31.6255,0.7752
18,father,6,3.6771,42.3355,0.9511
18,mother,7,3.6051,31.3088,0.7754
18,father,7,3.7014,42.1875,0.9341
18,mother,8,3.6329,31.3845,0.7553
18,father,8,3.7219,42.0803,0.9903
18,mother,9,3.657,31.3587,0.7635
18,father,9,3.7124,42.3891,0.9591
18,mother,10,3.6049,30.4812,0.7555
18,father,10,3.6948,41.8382,0.9596
19,mother,-5,3.6546,33.8684,0.9196
19,father,-5,3.7447,40.2051,0.9903
19,mother,-4,3.6325,35.2902,0.9026
19,father,-4,3.778,40.8025,0.9755
19,mother,-3,3.6475,34.7973,0.9114
19,father,-3,3.7996,41.01,0.9706
19,mother,-2,3.6559,34.133,0.9176
19,father,-2,3.7373,40.9265,0.9682
19,mother,-1,3.5828,34.9148,0.922
19,father,-1,3.8217,40.9678,0.9603
19,mother,0,3.563,31.1829,0.9264
19,father,0,3.7783,40.7356,0.9499
19,mother,1,3.489,29.3086,0.8748
19,father,1,3.7924,41.1423,0.9844
19,mother,2,3.419,28.8592,0.8327
19,father,2,3.8211,40.4936,0.9771
19,mother,3,3.4244,28.0293,0.805
19,father,3,3.7991,40.55,0.9565
19,mother,4,3.392,27.806,0.7695
19,father,4,3.7826,41.241,0.9536
19,mother,5,3.3953,27.8426,0.7699
19,father,5,3.7905,41.2763,0.9922
19,mother,6,3.3921,27.5919,0.7856
19,father,6,3.7772,40.4755,0.9632
19,mother,7,3.3267,27.2012,0.7608
19,father,7,3.7751,40.6579,0.9612
19,mother,8,3.3164,27.8561,0.7686
19,father,8,3.9045,40.7816,0.9578
19,mother,9,3.3653,27.3286,0.7628
19,father,9,3.7547,40.2663,0.9592
19,mother,10,3.3869,27.3438,0.7531
19,father,10,3.7859,40.7724,0.951
20,mother,-5,3.653,33.6805,0.954
20,father,-5,3.7589,42.6229,0.9697
20,mother,-4,3.6881,33.594,0.9293
20,father,-4,3.7179,42.8589,0.9646
20,mother,-3,3.6352,34.0246,0.9405
20,father,-3,3.8431,43.1013,0.9552
20,mother,-2,3.7016,34.1849,0.931
20,father,-2,3.785,42.5121,0.9711
20,mother,-1,3.7227,34.1615,0.9055
20,father,-1,3.8219,43.1521,0.9764
20,mother,0,3.6431,31.2935,0.9437
20,father,0,3.7802,42.536,0.9488
20,mother,1,3.5303,29.7926,0.8664
20,father,1,3.7783,43.2972,0.9455
20,mother,2,3.4745,28.7761,0.8199
20,father,2,3.7547,42.7731,0.9789
20,mother,3,3.4261,28.3433,0.8079
20,father,3,3.7016,43.0419,0.9682
20,mother,4,3.3935,27.6001,0.7887
20,father,4,3.8091,43.6149,0.9825
20,mother,5,3.4461,27.2233,0.7927
20,father,5,3.7884,43.5586,0.9611
20,mother,6,3.3652,26.8437,0.7679
20,father,6,3.8242,42.2854,0.9488
20,mother,7,3.3833,27.3411,0.7536
20,father,7,3.8428,43.0994,0.9589
20,mother,8,3.3834,27.285,0.7457
20,father,8,3.7943,43.4017,0.9541
20,mother,9,3.4207,26.345,0.7756
20,father,9,3.7838,42.9256,0.9794
20,mother,10,3.3753,26.7963,0.7567
20,father,10,3.7788,43.0562,0.943
21,mother,-5,3.5902,37.3864,0.9234
21,father,-5,3.9294,40.0332,0.9751
21,mother,-4,3.526,36.8474,0.9252
21,father,-4,3.9694,39.9055,0.9823
21,mother,-3,3.5784,36.6894,0.9312
21,father,-3,3.9038,39.8043,0.9472
21,mother,-2,3.6238,37.1759,0.9269
