worker_i,worker_j,boundary_col,boundary_id,relation,weight,same_group,employer_i,employer_j,industry_i,industry_j
W044,W046,block_id,N02B04,same_employer,2.5135,1,E04,E04,retail,retail
W045,W047,block_id,N02B04,same_employer,3.188,0,E03,E03,manufacturing,manufacturing
W049,W050,block_id,N03B01,same_employer,1.4138,0,E01,E01,health,health
W049,W051,block_id,N03B01,same_employer,0.8142,0,E01,E01,health,health
W050,W051,block_id,N03B01,same_employer,0.8142,1,E01,E01,health,health
W055,W056,block_id,N03B02,same_employer,1.1423,0,E01,E01,health,health
W055,W057,block_id,N03B02,same_employer,0.9747,1,E01,E01,health,health
W055,W060,block_id,N03B02,same_employer,1.1423,1,E01,E01,health,health
W056,W057,block_id,N03B02,same_employer,0.9747,0,E01,E01,health,health
W056,W060,block_id,N03B02,same_employer,2.073,0,E01,E01,health,health
W057,W060,block_id,N03B02,same_employer,0.9747,1,E01,E01,health,health
W061,W062,block_id,N03B03,same_employer,0.8414,1,E01,E01,health,health
W061,W065,block_id,N03B03,same_employer,0.9785,0,E01,E01,health,health
W062,W065,block_id,N03B03,same_employer,0.8414,0,E01,E01,health,health
W069,W070,block_id,N03B04,same_employer,2.2423,1,E08,E08,construction,construction
W071,W072,block_id,N03B04,same_employer,1.9782,1,E10,E10,logistics,logistics
W074,W078,block_id,N04B01,same_employer,0.2031,1,E02,E02,logistics,logistics
W075,W077,block_id,N04B01,same_employer,1.7729,1,E07,E07,hospitality,hospitality
W079,W080,block_id,N04B02,same_employer,1.367,1,E09,E09,logistics,logistics
W081,W083,block_id,N04B02,same_employer,1.6208,1,E02,E02,logistics,logistics
W086,W087,block_id,N04B03,same_employer,2.0972,1,E03,E03,manufacturing,manufacturing
W086,W088,block_id,N04B03,same_employer,2.0972,0,E03,E03,manufacturing,manufacturing
W086,W089,block_id,N04B03,same_employer,0.2881,0,E03,E03,manufacturing,manufacturing
W086,W090,block_id,N04B03,same_employer,2.0972,1,E03,E03,manufacturing,manufacturing
W087,W088,block_id,N04B03,same_employer,3.4337,0,E03,E03,manufacturing,manufacturing
W087,W089,block_id,N04B03,same_employer,0.2881,0,E03,E03,manufacturing,manufacturing
W087,W090,block_id,N04B03,same_employer,4.0426,1,E03,E03,manufacturing,manufacturing
W088,W089,block_id,N04B03,same_employer,0.2881,1,E03,E03,manufacturing,manufacturing
W088,W090,block_id,N04B03,same_employer,3.4337,0,E03,E03,manufacturing,manufacturing
W089,W090,block_id,N04B03,same_employer,0.2881,0,E03,E03,manufacturing,manufacturing
W091,W096,block_id,N04B04,same_employer,0.4858,0,E03,E03,manufacturing,manufacturing
W092,W095,block_id,N04B04,same_employer,2.756,1,E09,E09,logistics,logistics
W093,W094,block_id,N04B04,same_employer,3.4675,0,E07,E07,hospitality,hospitality
W097,W102,block_id,N05B01,same_employer,1.6834,1,E05,E05,business,business
W098,W099,block_id,N05B01,same_employer,1.5747,0,E06,E06,public,public
W098,W101,block_id,N05B01,same_employer,1.5747,1,E06,E06,public,public
W099,W101,block_id,N05B01,same_employer,2.4358,0,E06,E06,public,public
W104,W108,block_id,N05B02,same_employer,2.424,0,E06,E06,public,public
W106,W107,block_id,N05B02,same_employer,1.8585,0,E05,E05,business,business
W109,W112,block_id,N05B03,same_employer,0.7737,1,E04,E04,retail,retail
W110,W113,block_id,N05B03,same_employer,1.4791,0,E05,E05,business,business
W111,W114,block_id,N05B03,same_employer,0.3687,0,E01,E01,health,health
W115,W119,block_id,N05B04,same_employer,1.5145,1,E04,E04,retail,retail
W115,W120,block_id,N05B04,same_employer,0.4735,1,E04,E04,retail,retail
W116,W117,block_id,N05B04,same_employer,1.4923,0,E05,E05,business,business
W119,W120,block_id,N05B04,same_employer,0.4735,1,E04,E04,retail,retail
W121,W125,block_id,N06B01,same_employer,1.4385,1,E07,E07,hospitality,hospitality
W121,W126,block_id,N06B01,same_employer,0.6889,0,E07,E07,hospitality,hospitality
W122,W124,block_id,N06B01,same_employer,1.5158,0,E10,E10,logistics,logistics
W125,W126,block_id,N06B01,same_employer,0.6889,0,E07,E07,hospitality,hospitality
W128,W129,block_id,N06B02,same_employer,0.3894,0,E02,E02,logistics,logistics
W130,W131,block_id,N06B02,same_employer,0.794,0,E08,E08,construction,construction
W133,W135,block_id,N06B03,same_employer,2.0274,0,E08,E08,construction,construction
W134,W136,block_id,N06B03,same_employer,0.5165,1,E07,E07,hospitality,hospitality
W137,W138,block_id,N06B03,same_employer,0.8059,1,E02,E02,logistics,logistics
W139,W141,block_id,N06B04,same_employer,0.1536,1,E07,E07,hospitality,hospitality
W139,W143,block_id,N06B04,same_employer,0.1536,1,E07,E07,hospitality,hospitality
W141,W143,block_id,N06B04,same_employer,0.9944,1,E07,E07,hospitality,hospitality
