worker_id,group,block_id,neighborhood_id,employer_id,industry,employed_next_year,wage,survey_response,missing_link_risk,outside_observed_frame,degree,strength,same_group_edge_count,local_peer_count,local_employer_exposure,weighted_local_exposure,same_group_edge_share,component_size,relation_label
W013,B,N01B03,N01,E06,public,0,15.5,1,medium,0,1.0,1.1385,0.0,5.0,0.2,0.2277,0.0,2,block_same_employer
W014,A,N01B03,N01,E06,public,1,18.22,1,low,0,1.0,1.1385,0.0,5.0,0.2,0.2277,0.0,2,block_same_employer
W015,B,N01B03,N01,E04,retail,0,16.92,1,medium,0,1.0,1.1995,1.0,5.0,0.2,0.2399,1.0,2,block_same_employer
W016,A,N01B03,N01,E01,health,1,22.52,0,medium,0,1.0,2.5705,1.0,5.0,0.2,0.5141,1.0,2,block_same_employer
W017,A,N01B03,N01,E01,health,1,17.5,1,low,0,1.0,2.5705,1.0,5.0,0.2,0.5141,1.0,2,block_same_employer
W018,B,N01B03,N01,E04,retail,0,12.95,1,low,0,1.0,1.1995,1.0,5.0,0.2,0.2399,1.0,2,block_same_employer
W019,A,N01B04,N01,E05,business,0,21.97,1,low,0,2.0,1.5329,2.0,5.0,0.4,0.30658,1.0,3,block_same_employer
W020,B,N01B04,N01,E04,retail,1,17.91,1,medium,0,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W021,A,N01B04,N01,E05,business,1,23.9,0,medium,0,2.0,1.2372,2.0,5.0,0.4,0.24744,1.0,3,block_same_employer
W022,A,N01B04,N01,E01,health,1,17.15,1,low,0,1.0,0.4029,0.0,5.0,0.2,0.08058,0.0,2,block_same_employer
W023,A,N01B04,N01,E05,business,0,22.54,1,low,0,2.0,1.5329,2.0,5.0,0.4,0.30658,1.0,3,block_same_employer
W024,B,N01B04,N01,E01,health,0,22.38,1,medium,0,1.0,0.4029,0.0,5.0,0.2,0.08058,0.0,2,block_same_employer
W025,A,N02B01,N02,E02,logistics,1,19.55,1,low,0,3.0,7.204,2.0,5.0,0.6,1.4408,0.666667,4,block_same_employer
W026,B,N02B01,N02,E04,retail,1,15.29,1,medium,0,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W027,A,N02B01,N02,E02,logistics,0,17.63,1,low,0,3.0,8.5385,2.0,5.0,0.6,1.7077,0.666667,4,block_same_employer
W028,A,N02B01,N02,E09,logistics,1,15.24,1,medium,1,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W029,A,N02B01,N02,E02,logistics,1,16.67,1,low,0,3.0,8.5385,2.0,5.0,0.6,1.7077,0.666667,4,block_same_employer
W030,B,N02B01,N02,E02,logistics,0,24.19,1,low,0,3.0,6.2778,0.0,5.0,0.6,1.25556,0.0,4,block_same_employer
W031,A,N02B02,N02,E03,manufacturing,0,18.07,1,low,0,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W032,A,N02B02,N02,E04,retail,0,13.68,1,low,0,2.0,1.7277,1.0,5.0,0.4,0.34554,0.5,3,block_same_employer
W033,B,N02B02,N02,E04,retail,1,17.06,0,high,0,2.0,1.7277,0.0,5.0,0.4,0.34554,0.0,3,block_same_employer
W034,A,N02B02,N02,E04,retail,1,20.95,1,low,0,2.0,0.9386,1.0,5.0,0.4,0.18772,0.5,3,block_same_employer
W035,A,N02B02,N02,E09,logistics,0,16.34,1,high,1,1.0,0.8764,1.0,5.0,0.2,0.17528,1.0,2,block_same_employer
W036,A,N02B02,N02,E09,logistics,0,20.45,1,low,1,1.0,0.8764,1.0,5.0,0.2,0.17528,1.0,2,block_same_employer
W037,B,N02B03,N02,E04,retail,1,17.31,1,low,0,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W038,B,N02B03,N02,E02,logistics,0,10.79,1,medium,0,3.0,5.4,1.0,5.0,0.6,1.08,0.333333,4,block_same_employer
W039,B,N02B03,N02,E02,logistics,1,15.83,1,medium,0,3.0,4.1808,1.0,5.0,0.6,0.83616,0.333333,4,block_same_employer
W040,A,N02B03,N02,E02,logistics,0,15.63,1,low,0,3.0,5.4,1.0,5.0,0.6,1.08,0.333333,4,block_same_employer
W041,A,N02B03,N02,E02,logistics,0,15.35,1,low,0,3.0,0.8142,1.0,5.0,0.6,0.16284,0.333333,4,block_same_employer
W042,A,N02B03,N02,E03,manufacturing,1,20.64,1,low,0,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W043,A,N02B04,N02,E03,manufacturing,1,21.65,1,low,0,2.0,5.233,1.0,5.0,0.4,1.0466,0.5,3,block_same_employer
W044,B,N02B04,N02,E04,retail,0,14.76,1,medium,0,1.0,2.5135,1.0,5.0,0.2,0.5027,1.0,2,block_same_employer
W045,A,N02B04,N02,E03,manufacturing,0,16.37,1,low,0,2.0,5.8045,1.0,5.0,0.4,1.1609,0.5,3,block_same_employer
W046,B,N02B04,N02,E04,retail,0,17.82,1,medium,0,1.0,2.5135,1.0,5.0,0.2,0.5027,1.0,2,block_same_employer
W047,B,N02B04,N02,E03,manufacturing,0,20.57,0,high,0,2.0,5.8045,0.0,5.0,0.4,1.1609,0.0,3,block_same_employer
W048,A,N02B04,N02,E09,logistics,0,16.51,1,medium,1,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W049,A,N03B01,N03,E01,health,0,19.11,0,medium,0,2.0,2.228,0.0,5.0,0.4,0.4456,0.0,3,block_same_employer
W050,B,N03B01,N03,E01,health,0,21.42,1,low,0,2.0,2.228,1.0,5.0,0.4,0.4456,0.5,3,block_same_employer
W051,B,N03B01,N03,E01,health,1,17.29,0,medium,0,2.0,1.6284,1.0,5.0,0.4,0.32568,0.5,3,block_same_employer
W052,A,N03B01,N03,E05,business,0,20.25,1,low,0,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W053,A,N03B01,N03,E08,construction,0,19.38,1,low,0,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W054,B,N03B01,N03,E10,logistics,1,15.83,0,high,1,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W055,A,N03B02,N03,E01,health,1,22.83,1,low,0,3.0,3.2593,2.0,5.0,0.6,0.65186,0.666667,4,block_same_employer
W056,B,N03B02,N03,E01,health,0,17.43,1,medium,0,3.0,4.19,0.0,5.0,0.6,0.838,0.0,4,block_same_employer
W057,A,N03B02,N03,E01,health,0,21.36,1,low,0,3.0,2.9241,2.0,5.0,0.6,0.58482,0.666667,4,block_same_employer
W058,B,N03B02,N03,E10,logistics,1,16.85,1,high,1,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W059,A,N03B02,N03,E08,construction,1,15.97,1,low,0,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W060,A,N03B02,N03,E01,health,1,17.97,1,low,0,3.0,4.19,2.0,5.0,0.6,0.838,0.666667,4,block_same_employer
W061,B,N03B03,N03,E01,health,0,18.14,1,medium,0,2.0,1.8199,1.0,5.0,0.4,0.36398,0.5,3,block_same_employer
W062,B,N03B03,N03,E01,health,0,17.9,1,medium,0,2.0,1.6828,1.0,5.0,0.4,0.33656,0.5,3,block_same_employer
W063,A,N03B03,N03,E08,construction,1,18.78,1,low,0,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W064,B,N03B03,N03,E10,logistics,1,15.88,1,high,1,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W065,A,N03B03,N03,E01,health,1,22.37,1,low,0,2.0,1.8199,0.0,5.0,0.4,0.36398,0.0,3,block_same_employer
W066,A,N03B03,N03,E05,business,0,18.21,1,low,0,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W067,A,N03B04,N03,E05,business,0,20.57,1,low,0,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W068,B,N03B04,N03,E01,health,1,16.95,1,medium,0,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W069,A,N03B04,N03,E08,construction,1,17.43,0,low,0,1.0,2.2423,1.0,5.0,0.2,0.44846,1.0,2,block_same_employer
W070,A,N03B04,N03,E08,construction,0,17.57,0,medium,0,1.0,2.2423,1.0,5.0,0.2,0.44846,1.0,2,block_same_employer
W071,B,N03B04,N03,E10,logistics,0,19.69,1,high,1,1.0,1.9782,1.0,5.0,0.2,0.39564,1.0,2,block_same_employer
W072,B,N03B04,N03,E10,logistics,0,19.71,1,high,1,1.0,1.9782,1.0,5.0,0.2,0.39564,1.0,2,block_same_employer
W073,A,N04B01,N04,E09,logistics,0,14.66,1,medium,1,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W074,B,N04B01,N04,E02,logistics,0,17.97,1,medium,0,1.0,0.2031,1.0,5.0,0.2,0.04062,1.0,2,block_same_employer
W075,B,N04B01,N04,E07,hospitality,1,16.38,1,medium,0,1.0,1.7729,1.0,5.0,0.2,0.35458,1.0,2,block_same_employer
W076,A,N04B01,N04,E03,manufacturing,0,18.0,1,low,0,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W077,B,N04B01,N04,E07,hospitality,0,17.39,1,medium,0,1.0,1.7729,1.0,5.0,0.2,0.35458,1.0,2,block_same_employer
W078,B,N04B01,N04,E02,logistics,1,20.11,0,high,0,1.0,0.2031,1.0,5.0,0.2,0.04062,1.0,2,block_same_employer
W079,B,N04B02,N04,E09,logistics,0,14.83,0,high,1,1.0,1.367,1.0,5.0,0.2,0.2734,1.0,2,block_same_employer
W080,B,N04B02,N04,E09,logistics,1,14.19,0,high,1,1.0,1.367,1.0,5.0,0.2,0.2734,1.0,2,block_same_employer
W081,B,N04B02,N04,E02,logistics,1,15.49,1,medium,0,1.0,1.6208,1.0,5.0,0.2,0.32416,1.0,2,block_same_employer
W082,A,N04B02,N04,E07,hospitality,1,15.65,0,medium,0,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W083,B,N04B02,N04,E02,logistics,0,15.69,0,high,0,1.0,1.6208,1.0,5.0,0.2,0.32416,1.0,2,block_same_employer
W084,B,N04B02,N04,E03,manufacturing,1,16.8,1,medium,0,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W085,A,N04B03,N04,E07,hospitality,0,13.07,0,medium,0,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W086,A,N04B03,N04,E03,manufacturing,1,17.83,1,low,0,4.0,6.5797,2.0,5.0,0.8,1.31594,0.5,5,block_same_employer
W087,A,N04B03,N04,E03,manufacturing,0,20.1,1,low,0,4.0,9.8616,2.0,5.0,0.8,1.97232,0.5,5,block_same_employer
W088,B,N04B03,N04,E03,manufacturing,1,16.32,0,high,0,4.0,9.2527,1.0,5.0,0.8,1.85054,0.25,5,block_same_employer
W089,B,N04B03,N04,E03,manufacturing,1,17.24,0,high,0,4.0,1.1524,1.0,5.0,0.8,0.23048,0.25,5,block_same_employer
W090,A,N04B03,N04,E03,manufacturing,1,20.68,1,low,0,4.0,9.8616,2.0,5.0,0.8,1.97232,0.5,5,block_same_employer
W091,B,N04B04,N04,E03,manufacturing,1,19.08,1,medium,0,1.0,0.4858,0.0,5.0,0.2,0.09716,0.0,2,block_same_employer
W092,B,N04B04,N04,E09,logistics,0,19.71,1,high,1,1.0,2.756,1.0,5.0,0.2,0.5512,1.0,2,block_same_employer
W093,A,N04B04,N04,E07,hospitality,0,14.34,1,low,0,1.0,3.4675,0.0,5.0,0.2,0.6935,0.0,2,block_same_employer
W094,B,N04B04,N04,E07,hospitality,1,14.46,1,medium,0,1.0,3.4675,0.0,5.0,0.2,0.6935,0.0,2,block_same_employer
W095,B,N04B04,N04,E09,logistics,0,15.39,1,high,1,1.0,2.756,1.0,5.0,0.2,0.5512,1.0,2,block_same_employer
W096,A,N04B04,N04,E03,manufacturing,0,20.08,1,low,0,1.0,0.4858,0.0,5.0,0.2,0.09716,0.0,2,block_same_employer
W097,A,N05B01,N05,E05,business,1,27.48,0,medium,0,1.0,1.6834,1.0,5.0,0.2,0.33668,1.0,2,block_same_employer
W098,A,N05B01,N05,E06,public,1,20.23,0,medium,0,2.0,3.1494,1.0,5.0,0.4,0.62988,0.5,3,block_same_employer
W099,B,N05B01,N05,E06,public,0,18.98,1,medium,0,2.0,4.0105,0.0,5.0,0.4,0.8021,0.0,3,block_same_employer
W100,A,N05B01,N05,E01,health,0,23.15,1,low,0,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W101,A,N05B01,N05,E06,public,1,17.84,1,low,0,2.0,4.0105,1.0,5.0,0.4,0.8021,0.5,3,block_same_employer
W102,A,N05B01,N05,E05,business,1,20.73,0,medium,0,1.0,1.6834,1.0,5.0,0.2,0.33668,1.0,2,block_same_employer
W103,A,N05B02,N05,E01,health,0,17.06,1,low,0,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W104,B,N05B02,N05,E06,public,0,18.89,1,medium,0,1.0,2.424,0.0,5.0,0.2,0.4848,0.0,2,block_same_employer
W105,B,N05B02,N05,E04,retail,0,13.85,1,medium,0,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W106,A,N05B02,N05,E05,business,1,22.86,0,medium,0,1.0,1.8585,0.0,5.0,0.2,0.3717,0.0,2,block_same_employer
W107,B,N05B02,N05,E05,business,1,20.01,1,medium,0,1.0,1.8585,0.0,5.0,0.2,0.3717,0.0,2,block_same_employer
W108,A,N05B02,N05,E06,public,0,17.07,1,medium,0,1.0,2.424,0.0,5.0,0.2,0.4848,0.0,2,block_same_employer
W109,A,N05B03,N05,E04,retail,0,15.37,0,medium,0,1.0,0.7737,1.0,5.0,0.2,0.15474,1.0,2,block_same_employer
W110,B,N05B03,N05,E05,business,0,21.2,1,medium,0,1.0,1.4791,0.0,5.0,0.2,0.29582,0.0,2,block_same_employer
W111,B,N05B03,N05,E01,health,0,16.46,0,high,0,1.0,0.3687,0.0,5.0,0.2,0.07374,0.0,2,block_same_employer
W112,A,N05B03,N05,E04,retail,1,22.8,1,low,0,1.0,0.7737,1.0,5.0,0.2,0.15474,1.0,2,block_same_employer
W113,A,N05B03,N05,E05,business,0,19.65,1,low,0,1.0,1.4791,0.0,5.0,0.2,0.29582,0.0,2,block_same_employer
W114,A,N05B03,N05,E01,health,0,18.5,1,low,0,1.0,0.3687,0.0,5.0,0.2,0.07374,0.0,2,block_same_employer
W115,B,N05B04,N05,E04,retail,0,14.14,0,high,0,2.0,1.988,2.0,5.0,0.4,0.3976,1.0,3,block_same_employer
W116,B,N05B04,N05,E05,business,0,18.64,0,high,0,1.0,1.4923,0.0,5.0,0.2,0.29846,0.0,2,block_same_employer
W117,A,N05B04,N05,E05,business,1,20.28,1,low,0,1.0,1.4923,0.0,5.0,0.2,0.29846,0.0,2,block_same_employer
W118,B,N05B04,N05,E06,public,0,17.25,1,medium,0,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W119,B,N05B04,N05,E04,retail,1,19.37,1,medium,0,2.0,1.988,2.0,5.0,0.4,0.3976,1.0,3,block_same_employer
W120,B,N05B04,N05,E04,retail,0,12.46,0,high,0,2.0,0.947,2.0,5.0,0.4,0.1894,1.0,3,block_same_employer
W121,A,N06B01,N06,E07,hospitality,1,15.71,1,low,0,2.0,2.1274,1.0,5.0,0.4,0.42548,0.5,3,block_same_employer
W122,A,N06B01,N06,E10,logistics,0,16.48,0,high,1,1.0,1.5158,0.0,5.0,0.2,0.30316,0.0,2,block_same_employer
W123,A,N06B01,N06,E08,construction,1,15.75,1,low,0,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W124,B,N06B01,N06,E10,logistics,1,21.82,0,high,1,1.0,1.5158,0.0,5.0,0.2,0.30316,0.0,2,block_same_employer
W125,A,N06B01,N06,E07,hospitality,1,17.43,0,medium,0,2.0,2.1274,1.0,5.0,0.4,0.42548,0.5,3,block_same_employer
W126,B,N06B01,N06,E07,hospitality,1,17.01,1,medium,0,2.0,1.3778,0.0,5.0,0.4,0.27556,0.0,3,block_same_employer
W127,B,N06B02,N06,E10,logistics,0,12.62,1,high,1,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W128,A,N06B02,N06,E02,logistics,1,23.25,1,low,0,1.0,0.3894,0.0,5.0,0.2,0.07788,0.0,2,block_same_employer
W129,B,N06B02,N06,E02,logistics,0,18.25,1,medium,0,1.0,0.3894,0.0,5.0,0.2,0.07788,0.0,2,block_same_employer
W130,A,N06B02,N06,E08,construction,0,17.99,1,low,0,1.0,0.794,0.0,5.0,0.2,0.1588,0.0,2,block_same_employer
W131,B,N06B02,N06,E08,construction,0,22.27,0,high,0,1.0,0.794,0.0,5.0,0.2,0.1588,0.0,2,block_same_employer
W132,A,N06B02,N06,E07,hospitality,1,17.81,1,low,0,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W133,A,N06B03,N06,E08,construction,1,11.84,1,low,0,1.0,2.0274,0.0,5.0,0.2,0.40548,0.0,2,block_same_employer
W134,A,N06B03,N06,E07,hospitality,0,16.1,1,low,0,1.0,0.5165,1.0,5.0,0.2,0.1033,1.0,2,block_same_employer
W135,B,N06B03,N06,E08,construction,0,15.16,0,high,0,1.0,2.0274,0.0,5.0,0.2,0.40548,0.0,2,block_same_employer
W136,A,N06B03,N06,E07,hospitality,1,21.42,0,medium,0,1.0,0.5165,1.0,5.0,0.2,0.1033,1.0,2,block_same_employer
W137,B,N06B03,N06,E02,logistics,0,14.77,1,medium,0,1.0,0.8059,1.0,5.0,0.2,0.16118,1.0,2,block_same_employer
W138,B,N06B03,N06,E02,logistics,0,20.17,1,low,0,1.0,0.8059,1.0,5.0,0.2,0.16118,1.0,2,block_same_employer
W139,B,N06B04,N06,E07,hospitality,1,13.54,0,high,0,2.0,0.3072,2.0,5.0,0.4,0.06144,1.0,3,block_same_employer
W140,B,N06B04,N06,E02,logistics,0,11.55,1,medium,0,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W141,B,N06B04,N06,E07,hospitality,1,16.2,1,low,0,2.0,1.148,2.0,5.0,0.4,0.2296,1.0,3,block_same_employer
W142,A,N06B04,N06,E10,logistics,0,17.5,1,medium,1,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
W143,B,N06B04,N06,E07,hospitality,0,17.24,1,medium,0,2.0,1.148,2.0,5.0,0.4,0.2296,1.0,3,block_same_employer
W144,A,N06B04,N06,E08,construction,1,12.84,1,low,0,0.0,0.0,0.0,5.0,0.0,0.0,,1,block_same_employer
