worker_id,training,prior_wage,tenure,baseline_perf,high_skill,supervisor_referral,schedule_flex,distance_training,next_wage,propensity_score,att_weight,ate_weight
24,1,19.94,4.25,0.943,0,0,1,8.4,28.82,0.4498889664124196,1.0,2.222770671560071
25,1,29.99,8.07,0.194,1,1,1,12.29,38.63,0.6149051981697059,1.0,1.626266948102808
26,1,31.4,8.71,1.236,1,1,1,11.51,41.33,0.6651195416861517,1.0,1.5034891283826801
27,0,24.19,0.25,0.759,1,0,1,12.29,28.92,0.364809562322145,0.5743310048177439,1.574331004817744
28,1,22.69,6.2,0.24,0,0,1,18.74,26.2,0.3655085737326985,1.0,2.735913934350864
29,1,28.6,4.74,-0.161,1,1,0,9.05,33.73,0.41596891982670325,1.0,2.404025763310898
30,1,19.68,4.31,-0.498,1,1,1,14.33,23.99,0.5421823848337018,1.0,1.8443978040834357
31,0,26.7,5.83,0.316,1,0,1,14.68,33.02,0.4675961102674184,0.8782732795252207,1.8782732795252208
32,1,31.21,4.43,-2.017,0,0,1,9.72,34.36,0.2617576907691327,1.0,3.820327101227328
33,1,30.17,8.74,-0.722,0,0,1,13.5,34.15,0.39218396873774153,1.0,2.5498237554649075
34,0,34.4,5.08,-0.361,0,0,1,5.81,34.53,0.3399015503676414,0.5149255396023872,1.5149255396023873
35,1,29.36,5.88,1.98,1,1,0,8.15,34.86,0.5324494619641732,1.0,1.8781125185309826
36,0,33.99,8.05,-0.644,1,1,1,8.06,35.34,0.5913823384879866,1.4472755198580665,2.4472755198580662
37,1,22.72,1.22,-0.313,0,1,0,11.28,23.21,0.24869539533163432,1.0,4.020983173679207
38,0,20.2,2.37,1.318,1,0,1,17.46,22.0,0.4291802582369421,0.7518665295481161,1.7518665295481162
39,0,23.74,1.14,-1.017,1,1,0,20.73,25.26,0.2352778823802423,0.3076645450148068,1.3076645450148068
40,0,28.8,5.31,-1.733,0,0,1,6.47,27.91,0.3338092301808485,0.5010715328155425,1.5010715328155426
41,0,28.97,4.32,-1.192,0,0,1,16.58,29.37,0.24777876016627778,0.3293961231685628,1.3293961231685627
42,1,26.7,8.72,0.008,1,1,1,9.1,35.67,0.6772261073621505,1.0,1.4766117093374906
43,0,25.37,0.74,0.118,1,1,1,12.94,22.22,0.42809448904495434,0.7485405907875653,1.7485405907875653
44,1,24.29,5.13,1.146,0,1,1,16.38,28.72,0.46567605255441,1.0,2.1474155574773928
45,0,23.52,7.84,-0.459,0,1,1,10.94,28.18,0.5420553526451843,1.1836700260090598,2.1836700260090596
46,1,16.0,3.64,-0.872,1,1,0,7.52,22.05,0.47024787187401257,1.0,2.1265380660094024
47,1,31.63,8.85,1.418,0,1,1,1.0,37.63,0.665350940219973,1.0,1.5029662386430054
48,0,21.73,1.05,1.16,1,0,0,13.96,24.68,0.2874883472482361,0.4034858182851303,1.4034858182851304
49,1,26.48,3.63,1.668,0,0,1,12.64,29.48,0.37012283964770476,1.0,2.701805705780906
50,0,24.01,3.95,-0.495,0,1,1,8.95,23.15,0.4405468052497245,0.7874596291229913,1.7874596291229914
51,1,18.8,0.87,-0.494,0,1,0,16.38,18.14,0.22429473536453018,1.0,4.458419402375948
52,0,19.99,1.31,1.183,1,0,0,20.14,22.51,0.25932854918739123,0.3501262927076176,1.3501262927076176
53,0,31.52,5.33,0.171,0,0,1,16.29,32.49,0.29851236033222683,0.42554186767083063,1.4255418676708307
54,0,26.26,6.28,0.138,1,0,0,11.62,32.17,0.37772023038695884,0.60699423126328,1.6069942312632801
55,1,19.62,0.96,0.281,1,0,1,6.7,21.64,0.4531421385374205,1.0,2.206813083478927
56,0,29.38,5.72,0.493,1,1,1,8.12,34.97,0.6011923677920671,1.5074745798210138,2.5074745798210136
57,0,27.94,3.38,1.874,0,1,0,12.59,33.22,0.32450337215442887,0.4803922903203823,1.480392290320382
58,0,30.23,5.75,-0.844,0,0,0,14.96,30.5,0.19907675882210368,0.24855909853399538,1.2485590985339954
59,1,24.78,4.21,1.173,1,0,1,8.54,28.53,0.5248067884757165,1.0,1.9054631570305447
60,0,17.96,5.01,-0.625,0,0,0,20.95,17.64,0.2174779072263943,0.2779191913362548,1.2779191913362549
61,0,23.69,6.25,0.423,0,1,1,12.93,22.93,0.5084866993043392,1.034532938548469,2.034532938548469
62,0,24.16,7.45,-0.587,1,0,0,14.12,29.47,0.3781694822497924,0.6081552311359941,1.6081552311359941
63,1,23.45,9.02,-0.022,1,0,0,13.28,25.21,0.4572326863902531,1.0,2.187070237464364
64,0,36.51,8.24,-0.164,0,1,1,18.26,40.14,0.3948505492341858,0.6524843552853002,1.6524843552853004
65,1,30.97,8.53,-0.78,0,1,1,16.15,33.12,0.44260060389559286,1.0,2.2593733293592493
66,0,21.5,2.17,0.553,0,1,0,10.01,22.3,0.3153464466569927,0.4605927262295329,1.4605927262295328
67,1,25.02,1.59,0.121,0,1,1,13.81,26.72,0.3453640409496442,1.0,2.8954954234676826
68,0,32.44,2.43,-1.49,0,0,1,5.97,31.08,0.25112131749949923,0.33532977152054444,1.3353297715205446
69,0,26.37,4.43,0.602,0,1,1,12.58,32.11,0.4435380672425027,0.7970681211643527,1.7970681211643524
70,0,28.23,6.53,0.326,1,1,1,14.5,30.56,0.5692252057285648,1.3213985899321,2.3213985899321
71,1,25.66,5.72,-0.644,1,0,1,3.58,29.78,0.540053045319031,1.0,1.851669958474653
72,1,26.32,3.93,0.663,1,1,1,7.41,34.34,0.5861469080527154,1.0,1.7060569394150322
73,0,25.23,2.76,1.801,0,0,0,15.07,26.34,0.23320123517571287,0.3041231231366827,1.3041231231366828
74,0,19.17,1.21,0.29,0,1,0,9.51,23.17,0.3023758969907164,0.43343671138422885,1.433436711384229
75,0,29.97,9.18,-0.7,1,1,1,11.01,33.48,0.6254066723027425,1.6695616981415904,2.6695616981415906
76,0,23.91,4.16,1.483,1,0,0,11.63,27.8,0.3841157994922643,0.6236818531399227,1.6236818531399229
77,0,23.28,0.45,-0.298,0,0,1,21.26,24.15,0.1934363255615526,0.23982771812309606,1.239827718123096
78,0,17.88,0.3,-0.479,0,0,1,7.79,18.86,0.310772319149845,0.4508993584913924,1.4508993584913925
79,0,23.45,6.47,1.634,1,1,0,20.03,30.06,0.4726447228665461,0.8962548463261842,1.8962548463261841
80,0,28.36,7.88,-1.043,0,0,1,4.58,27.98,0.4509225787710744,0.8212367898170635,1.8212367898170636
81,0,26.65,4.12,-1.576,0,0,1,8.5,25.91,0.30664289624025887,0.44225824553824045,1.4422582455382404
82,1,31.23,8.31,-1.537,1,1,1,11.71,38.06,0.5538359678694137,1.0,1.8055887627648357
83,1,31.99,9.45,0.948,0,0,1,8.94,37.6,0.5030435858781136,1.0,1.9878993154328737
84,0,35.85,8.57,-0.113,1,1,1,7.43,38.95,0.6168592728165482,1.6100070523726637,2.6100070523726635
85,0,27.19,3.25,-0.266,1,0,1,13.6,28.97,0.37777902277951997,0.6071460728744547,1.6071460728744544
86,0,36.64,4.77,1.279,0,1,0,11.6,38.64,0.28936466220350204,0.4071914902244368,1.4071914902244367
87,0,28.6,4.7,-0.317,0,0,1,14.32,28.74,0.30231189718896706,0.43330522044296277,1.4333052204429628
88,0,23.57,6.4,-0.128,1,0,0,21.84,31.78,0.3052067298606398,0.43927703818924735,1.4392770381892475
89,1,28.15,6.03,1.211,1,1,1,1.0,33.87,0.7030719858830303,1.0,1.4223294628131713
90,0,15.8,1.98,-0.308,0,1,1,13.05,18.05,0.4166948923256261,0.7143686671748523,1.7143686671748524
91,0,18.85,4.29,-0.753,0,0,1,3.32,21.0,0.4431095594717249,0.7956853399232068,1.7956853399232067
92,1,28.2,6.82,-0.759,1,0,0,8.76,30.41,0.3714828004676856,1.0,2.6919146693764295
93,1,28.03,9.22,-0.004,0,1,1,20.59,31.12,0.4740439844937121,1.0,2.1095088909693027
94,1,20.73,0.43,0.863,0,1,0,24.7,21.6,0.18841760788914982,1.0,5.30735959979028
95,0,18.78,2.93,0.249,0,1,0,25.69,21.16,0.22580635420332776,0.2916665041482808,1.2916665041482809
96,0,30.69,8.97,0.143,0,1,1,10.05,35.1,0.5495768420095116,1.2201345163099209,2.220134516309921
97,1,26.04,5.46,0.165,0,1,1,7.04,31.4,0.5117627997885085,1.0,1.9540302663915017
98,1,23.11,0.87,1.614,1,0,0,14.29,28.3,0.28569384244901236,1.0,3.500250447919505
99,1,26.58,9.31,-0.372,1,0,1,14.14,35.79,0.5504249548287014,1.0,1.8167780934118651
100,0,28.34,1.01,0.176,1,0,1,15.69,31.45,0.30738717507021984,0.44380809018571665,1.4438080901857167
101,1,23.75,0.37,-1.646,1,0,1,10.35,24.83,0.30611397593163975,1.0,3.266757086005496
102,0,22.9,4.37,0.305,0,1,1,17.71,24.63,0.410787407266553,0.697180291685294,1.697180291685294
103,0,25.32,4.95,0.514,1,0,1,16.22,25.54,0.4457534272303182,0.8042511205848302,1.8042511205848302
104,0,30.79,8.53,1.42,1,1,0,13.53,38.08,0.5279871857812503,1.1185865507807162,2.1185865507807162
105,1,30.94,8.07,0.369,0,1,1,13.91,35.95,0.4934967466744369,1.0,2.0263558103245343
106,0,21.95,2.95,-2.186,0,0,0,3.22,18.72,0.2272247834588218,0.2940373585941907,1.2940373585941907
107,0,22.67,1.98,-0.321,0,0,1,14.59,20.87,0.2727597086034182,0.37506132681347226,1.3750613268134722
108,1,22.33,1.44,-1.092,0,0,0,23.81,24.21,0.11705355248558164,1.0,8.543098255161265
109,0,19.12,3.97,-2.071,1,0,0,8.57,17.2,0.3172420786636597,0.4646479648932259,1.4646479648932258
110,1,25.28,8.69,1.538,1,1,1,19.29,35.91,0.6531565520466545,1.0,1.5310265155673901
111,1,24.31,1.03,0.018,0,1,1,6.42,25.12,0.3960376270230054,1.0,2.525012604274369
112,0,16.43,1.32,-0.356,1,0,1,20.88,18.95,0.33813062821788614,0.5108721488463106,1.5108721488463106
113,0,29.72,7.71,0.108,0,1,1,15.78,33.71,0.465183790890534,0.8698012194976694,1.8698012194976694
114,1,25.35,5.37,-0.122,0,0,1,9.76,30.7,0.38863934663897065,1.0,2.5730796653714973
115,1,35.77,5.02,-0.199,1,1,1,19.78,37.21,0.3970618935545896,1.0,2.518499045697308
116,1,19.42,1.96,-0.985,0,0,0,16.9,20.08,0.16920706693486023,1.0,5.909918646512387
117,0,15.59,5.64,0.318,0,0,1,7.6,18.0,0.5093210411450747,1.037992422445938,2.0379924224459383
118,0,24.64,6.81,-0.504,0,0,1,8.3,25.53,0.43462922210419597,0.7687507722309211,1.7687507722309213
119,0,26.11,6.56,0.057,0,0,0,12.34,27.24,0.28289823158400973,0.39450220881326936,1.3945022088132695
120,1,29.34,8.54,0.589,0,0,1,18.81,33.51,0.3927996782546097,1.0,2.5458269325562117
