worker_id,group,occupation,neighborhood,senior,skill,referral_access,degree,weighted_degree,network_info_exposure,same_group_link_share,wage,received_referral_offer,referral_offer_probability
W021,A,operations,2,1,1.6777,0.7277,15,9.9982,0.5512570142625672,0.6666666666666666,38.8766,1,0.517
W022,A,support,7,1,0.3044,0.7786,11,6.4527,0.5862695073380135,0.8181818181818182,30.2311,0,0.3817
W023,A,technical,5,0,0.8289,0.6412,11,6.6622,0.5761699843895409,0.8181818181818182,28.2443,1,0.3613
W024,A,sales,4,0,-0.1903,0.6299,7,3.7719,0.5646291603701052,0.8571428571428571,24.8361,0,0.2677
W025,A,operations,4,0,-0.1485,0.4643,10,6.2133,0.6258361386058938,0.9,25.6033,0,0.2803
W026,B,technical,5,0,0.1309,0.5059,13,6.7736,0.5540421740285816,0.38461538461538464,24.1961,0,0.2461
W027,A,sales,5,0,0.5943,0.5814,9,4.9711,0.6065306813381345,1.0,27.09,0,0.344
W028,A,technical,5,0,-0.1671,0.4546,18,9.1152,0.5766216638142883,0.7222222222222222,30.84,1,0.2714
W029,B,support,5,0,0.3466,0.5697,11,5.8135,0.5086808600670852,0.6363636363636364,26.4569,1,0.2568
W030,A,support,4,0,1.0245,0.6353,10,4.7764,0.6331747990118081,1.0,32.5906,1,0.3906
W031,A,technical,3,0,0.288,0.5179,15,8.6895,0.5301649922320041,0.8,30.3931,1,0.3033
W032,B,technical,3,1,0.0421,0.4727,11,6.5311,0.5505063404326989,0.5454545454545454,28.9176,0,0.2975
W033,B,operations,5,0,0.1437,0.4241,12,6.4948,0.539493075999261,0.75,27.6166,0,0.2451
W034,A,support,2,0,0.1558,0.3341,12,7.355,0.5856830944935418,0.8333333333333334,30.0101,0,0.3004
W035,B,operations,1,0,0.7936,0.5724,13,6.9271,0.5380455443114723,0.38461538461538464,28.2507,1,0.2988
W036,B,sales,5,0,-0.1461,0.5084,12,5.9109,0.5174304725168756,0.5,29.0385,0,0.2204
W037,B,sales,8,0,-0.825,0.4802,11,5.7015,0.5151975918617907,0.7272727272727273,24.4505,1,0.1751
W038,B,operations,6,0,1.4304,0.5017,6,2.7965999999999998,0.5010690409783308,0.6666666666666666,33.5565,0,0.3513
W039,A,support,3,0,-0.3026,0.289,14,8.2959,0.5845737532998228,0.9285714285714286,30.3417,0,0.2614
W040,A,sales,3,0,0.2694,0.6272,14,7.5786,0.5488894822262688,0.7857142857142857,31.2984,0,0.3047
W041,B,operations,4,0,0.7818,0.4733,9,5.1245,0.5489341906527466,0.5555555555555556,29.8232,0,0.2994
W042,B,sales,6,0,0.4482,0.5664,7,3.7847999999999997,0.5474625132107377,0.5714285714285714,30.5421,0,0.2707
W043,A,sales,4,0,-0.7976,0.2713,12,6.9275,0.5163165759653554,0.75,25.4261,0,0.2145
W044,A,technical,4,1,-0.3621,0.6288,16,8.843399999999999,0.5402169086550422,0.8125,31.0615,0,0.3107
W045,B,sales,8,0,0.5582,0.6479,9,4.2569,0.5039836923582889,0.5555555555555556,29.1814,0,0.2734
W046,B,sales,5,0,0.0585,0.6458,10,6.0119,0.5316662419534589,0.4,25.0117,0,0.2375
W047,B,technical,6,0,-0.2352,0.3984,12,5.5391,0.5477080915672221,0.5833333333333334,23.8736,1,0.2179
W048,A,support,3,0,0.8592,0.5646,11,5.5516,0.5441336029252829,0.8181818181818182,32.6539,1,0.3587
W049,A,technical,8,0,-0.5757,0.4398,15,6.485,0.5463374094063222,0.7333333333333333,22.6441,1,0.2347
W050,A,technical,2,0,0.0992,0.6162,11,4.4765,0.5320036323020216,0.6363636363636364,27.8399,0,0.2871
W051,A,operations,5,0,0.1013,0.4998,10,5.3329,0.5204845149918431,0.8,30.2789,0,0.2856
W052,A,sales,4,1,-0.38,0.5448,19,10.9091,0.5309790807674326,0.631578947368421,30.4437,0,0.3076
W053,B,sales,9,0,-0.1309,0.5759,2,1.0181,0.43133937727138794,0.5,24.5576,0,0.2106
W054,A,technical,3,1,0.7534,0.7587,17,9.9763,0.5699234074757175,0.7058823529411765,40.8198,0,0.4241
W055,A,support,8,0,-0.0112,0.5176,8,3.8411,0.5944911639894822,0.75,27.5444,0,0.2872
W056,B,support,1,0,0.6445,0.5568,7,2.8884,0.546357935189032,0.5714285714285714,32.9239,1,0.2871
W057,A,operations,6,0,0.2907,0.6353,13,6.4692,0.5893248392382365,0.9230769230769231,32.8275,1,0.313
W058,A,operations,2,1,-0.8597,0.683,18,11.8511,0.5027293289230536,0.7777777777777778,26.9109,0,0.2623
W059,A,technical,1,0,-0.0803,0.4965,10,5.49,0.511389941712204,0.9,28.9996,1,0.2689
W060,A,technical,7,0,0.2333,0.4533,12,6.197,0.550047736001291,0.75,27.2578,0,0.3016
W061,B,sales,9,0,0.0277,0.5416,7,2.6919,0.519894364575207,0.2857142857142857,28.4555,0,0.2335
W062,B,sales,2,0,-1.2411,0.462,6,3.6564,0.586450708347008,0.3333333333333333,18.6777,0,0.1582
W063,B,technical,5,0,0.2183,0.592,11,5.3754,0.47822619153923424,0.5454545454545454,28.5141,1,0.2424
W064,A,support,3,0,0.4519,0.5962,9,5.3236,0.4970195826132693,0.5555555555555556,33.5329,0,0.3127
W065,A,technical,4,1,0.7465,0.7227,20,12.392,0.5266823063266624,0.75,34.2685,0,0.4155
W066,B,support,7,0,0.1711,0.4639,7,3.7839,0.5834232749279843,0.14285714285714285,24.8171,0,0.2534
W067,A,operations,1,0,-0.9274,0.4112,8,3.7971999999999997,0.5891973533129674,0.5,23.5371,0,0.2146
W068,A,sales,7,1,0.2865,0.6369,12,6.9471,0.5641408803673476,1.0,32.7905,0,0.376
W069,A,sales,3,0,1.3395,0.6442,15,7.0631,0.5159926278829409,0.6,32.6449,1,0.4012
W070,A,technical,7,0,0.0385,0.5498,17,8.8795,0.5643857424404527,0.7058823529411765,30.8655,0,0.2869
W071,A,support,5,0,2.0341,0.5847,8,4.4621,0.5517774904193092,0.625,35.839,1,0.4796
W072,B,support,1,0,0.562,0.4433,5,2.081,0.6157022200864969,0.2,27.3261,0,0.2907
