source_id,target_id,tie_strength,same_group,same_occupation,geo_distance
W007,W020,0.4428,1,1,4
W007,W029,0.3257,1,0,2
W007,W031,0.4193,0,0,4
W007,W045,0.7623,1,0,1
W007,W052,0.6327,0,0,3
W007,W063,0.3882,1,0,2
W007,W065,0.2761,0,0,3
W007,W070,0.577,0,0,0
W008,W017,0.0823,0,0,5
W008,W029,0.7587,1,0,1
W008,W041,0.4899,1,1,0
W008,W043,0.3237,0,0,0
W008,W044,0.4392,0,0,0
W008,W045,0.826,1,0,4
W008,W058,0.9707,0,1,2
W008,W063,0.787,1,0,1
W008,W065,0.2519,0,0,0
W008,W071,0.3405,0,0,1
W009,W011,0.4411,1,0,4
W009,W012,0.6276,1,0,0
W009,W017,0.5028,1,1,0
W009,W049,0.4077,1,1,1
W009,W054,0.4674,1,1,6
W009,W065,0.8006,1,1,5
W009,W069,0.4103,1,0,6
W010,W012,0.7094,0,0,0
W010,W026,0.1614,1,0,4
W010,W031,0.7653,0,0,6
W010,W033,0.3744,1,0,4
W010,W037,0.3509,1,1,1
W011,W028,0.1151,1,0,0
W011,W040,0.8318,1,1,2
W011,W049,0.7721,1,0,3
W011,W051,0.3841,1,0,0
W011,W061,0.3971,0,1,4
W011,W063,0.6896,0,0,0
W012,W015,0.866,1,0,0
W012,W016,0.9683,0,0,0
W012,W017,0.5428,1,0,0
W012,W019,0.4939,1,0,1
W012,W022,0.8091,1,1,2
W012,W023,0.4946,1,0,4
W012,W026,0.7722,0,0,4
W012,W030,0.6451,1,1,5
W012,W036,0.1866,0,0,4
W012,W039,0.8946,1,1,6
W012,W045,0.178,0,0,1
W012,W047,0.5757,0,0,3
W012,W052,0.2463,1,0,5
W012,W055,0.6464,1,1,1
W013,W018,0.3111,1,0,4
W013,W020,0.4193,1,0,2
W013,W028,0.0792,0,1,4
W013,W031,0.2404,0,1,2
W013,W034,0.6585,0,0,1
W013,W047,0.5269,1,1,5
W013,W050,0.3668,0,1,1
W013,W051,0.6264,0,0,4
W013,W054,0.5317,0,1,2
W013,W058,0.7175,0,0,1
W013,W069,0.7976,0,0,2
W013,W072,0.6474,1,0,0
W014,W024,0.7302,1,1,3
W014,W027,0.6854,1,1,2
W014,W042,0.5598,0,1,1
W014,W052,0.5817,1,1,3
W014,W057,0.3619,1,0,1
W014,W059,0.5744,1,0,6
W014,W060,0.5995,1,0,0
W014,W068,0.7828,1,1,0
W015,W019,0.516,1,0,1
W015,W031,0.3746,1,0,6
W015,W039,0.7956,1,0,6
W015,W042,0.3359,0,0,3
W015,W051,0.4794,1,1,4
W015,W054,0.4756,1,0,6
W015,W057,0.7068,1,1,3
W015,W058,0.7647,1,1,7
W015,W061,0.3479,0,0,0
W015,W062,0.5939,0,0,7
W015,W066,0.8795,0,0,2
W015,W067,0.8442,1,1,8
W015,W070,0.2928,1,0,2
W016,W020,0.3031,1,0,6
W016,W021,0.6155,0,0,7
W016,W023,0.3186,0,0,4
W016,W026,0.3565,1,0,4
W016,W028,0.5418,0,0,4
W016,W033,0.5288,1,0,4
W016,W036,0.3288,1,1,4
W016,W037,0.6625,1,1,1
W016,W047,0.5248,1,0,3
W016,W049,0.1994,0,0,1
W016,W064,0.7377,0,0,6
W017,W019,0.6575,1,1,1
W017,W022,0.5186,1,0,2
W017,W036,0.3939,0,0,4
W017,W044,0.63,1,1,5
W017,W065,0.7282,1,1,5
W018,W020,0.2675,1,1,2
W018,W021,0.6218,0,1,3
W018,W029,0.6795,1,0,0
W018,W036,0.5987,1,0,0
W018,W037,0.835,1,0,3
W018,W056,0.5508,1,0,4
W018,W058,0.3628,0,1,3
W019,W025,0.518,1,0,4
W019,W028,0.2542,1,1,3
W019,W030,0.3881,1,0,4
W019,W035,0.6488,0,0,7
W019,W039,0.4773,1,0,5
W019,W040,0.1841,1,0,5
W019,W049,0.727,1,1,0
W019,W051,0.4563,1,0,3
W019,W061,0.2478,0,0,1
W019,W070,0.7104,1,1,1
W020,W035,0.7089,1,1,2
W020,W041,0.6437,1,1,1
W020,W043,0.5801,0,0,1
W020,W044,0.2381,0,0,1
W020,W050,0.1606,0,0,1
W020,W052,0.3927,0,0,1
W020,W053,0.7097,1,0,6
W020,W055,0.3412,0,0,5
W020,W069,0.4669,0,0,0
W021,W022,0.8004,1,0,5
W021,W026,0.353,0,0,3
W021,W033,0.7513,0,1,3
W021,W040,0.4498,1,0,1
W021,W044,0.705,1,0,2
W021,W048,0.6733,1,0,1
W021,W057,0.9476,1,1,4
W021,W058,0.8162,1,1,0
W021,W067,0.7339,1,1,1
W021,W071,0.5409,1,0,3
W021,W072,0.7013,0,0,1
W022,W030,0.4051,1,1,3
W022,W031,0.9138,1,0,4
W022,W044,0.3353,1,0,3
W022,W048,0.5914,1,1,4
W022,W065,0.5287,1,0,3
W022,W066,0.857,0,1,0
W022,W072,0.2938,0,1,6
W023,W025,0.836,1,0,1
W023,W034,0.3444,1,0,3
W023,W038,0.6753,0,0,1
W023,W054,0.7972,1,1,2
W023,W058,0.8298,1,0,3
W023,W069,0.516,1,0,2
W023,W070,0.5743,1,1,2
W024,W039,0.5574,1,0,1
W024,W052,0.5362,1,1,0
W024,W059,0.4297,1,0,3
W024,W061,0.2428,0,1,5
W024,W065,0.6748,1,0,0
W024,W068,0.6008,1,1,3
W025,W028,0.3461,1,0,1
W025,W038,0.3896,0,1,2
W025,W044,0.7819,1,0,0
W025,W057,0.4015,1,1,2
W025,W058,0.8555,1,1,2
W025,W065,0.8235,1,0,0
W025,W068,0.4387,1,0,3
W026,W032,0.6227,1,1,2
W026,W033,0.5357,1,0,0
W026,W047,0.4596,1,1,1
W026,W058,0.5227,0,0,3
W026,W060,0.6566,0,1,2
W026,W065,0.6661,0,1,1
W026,W067,0.0786,0,0,4
W026,W070,0.7399,0,1,2
W027,W031,0.5695,1,0,2
W027,W048,0.1556,1,0,2
W027,W054,0.5029,1,0,2
W027,W059,0.5785,1,0,4
W027,W064,0.7693,1,0,2
W027,W065,0.5928,1,0,1
W028,W037,0.2569,0,0,3
W028,W040,0.8761,1,0,2
W028,W044,0.9118,1,1,1
W028,W046,0.5929,0,0,0
W028,W052,0.8655,1,0,1
W028,W058,0.98,1,0,3
W028,W060,0.398,1,1,2
W028,W064,0.7136,1,0,2
W028,W065,0.5584,1,1,1
W028,W066,0.4006,0,0,2
W028,W070,0.3956,1,1,2
W029,W034,0.6206,0,1,3
W029,W038,0.3275,1,0,1
W029,W042,0.5328,1,0,1
W029,W046,0.6273,1,0,0
W029,W047,0.2952,1,0,1
W029,W049,0.2798,0,0,3
W029,W064,0.6305,0,1,2
W029,W069,0.7359,0,0,2
W030,W052,0.5794,1,0,0
W030,W065,0.5617,1,0,0
W030,W068,0.5728,1,0,3
W030,W069,0.2692,1,0,1
W030,W071,0.6815,1,1,1
W031,W034,0.2321,1,0,1
W031,W039,0.7711,1,0,0
W031,W043,0.7284,1,0,1
W031,W044,0.4757,1,1,1
W031,W049,0.672,1,1,5
W031,W060,0.4022,1,1,4
W031,W065,0.9137,1,1,1
W031,W068,0.5377,1,0,4
W031,W070,0.6737,1,1,4
W032,W042,0.5716,1,0,3
W032,W043,0.7308,0,0,1
W032,W046,0.8547,1,0,2
W032,W051,0.6325,0,0,2
W032,W054,0.5526,0,1,0
W032,W056,0.4501,1,0,2
W032,W061,0.5909,1,0,6
W032,W063,0.5468,1,1,2
W032,W064,0.6025,0,0,0
W033,W035,0.6678,1,1,4
W033,W036,0.6256,1,0,0
W033,W037,0.3784,1,0,3
W033,W038,0.5728,1,1,1
W033,W041,0.1447,1,1,1
W033,W042,0.7397,1,0,1
W033,W048,0.3909,0,0,2
W033,W070,0.7847,0,0,2
W034,W044,0.4717,1,0,2
W034,W050,0.5716,1,0,0
W034,W051,0.7799,1,0,3
W034,W058,0.5688,1,0,0
W034,W065,0.6142,1,0,2
W034,W071,0.7769,1,1,3
W035,W037,0.9432,1,0,7
W035,W039,0.2444,0,0,2
W035,W041,0.6602,1,1,3
W035,W045,0.4132,1,0,7
W035,W050,0.3981,0,0,1
W035,W054,0.5597,0,0,2
W035,W064,0.383,0,0,2
W035,W065,0.4697,0,0,3
W035,W067,0.3026,0,1,0
W036,W037,0.3168,1,1,3
W036,W040,0.6296,0,1,2
W036,W052,0.5183,0,1,1
W036,W054,0.5272,0,0,2
W036,W062,0.7702,1,1,3
W036,W063,0.509,1,0,0
W036,W067,0.5062,0,0,4
W037,W040,0.5089,0,1,5
W037,W045,0.8259,1,1,0
W037,W047,0.3128,1,0,2
W037,W069,0.3102,0,1,5
W038,W047,0.4243,1,0,0
W038,W066,0.4071,1,0,1
W039,W043,0.7623,1,0,1
W039,W048,0.7815,1,1,0
W039,W058,0.4344,1,0,1
W039,W064,0.5725,1,1,0
W039,W065,0.6917,1,0,1
W039,W068,0.4897,1,0,4
W040,W044,0.4163,1,0,1
W040,W046,0.3889,0,1,2
W040,W048,0.5058,1,0,0
W040,W052,0.98,1,1,1
W040,W058,0.3038,1,0,1
W040,W068,0.7337,1,1,4
W040,W069,0.4045,1,1,0
W041,W046,0.6103,1,0,1
W041,W048,0.4794,0,0,1
W041,W065,0.6654,0,0,0
W042,W061,0.5367,1,1,3
W042,W069,0.5083,0,1,3
W043,W052,0.4944,1,1,0
W043,W057,0.4326,1,0,2
W043,W058,0.7394,1,0,2
W043,W059,0.6563,1,0,3
W043,W069,0.6997,1,1,1
W044,W047,0.5816,0,1,2
W044,W054,0.5363,1,1,1
W044,W057,0.5038,1,0,2
W044,W070,0.6122,1,1,3
W045,W047,0.2861,1,0,2
W045,W055,0.2309,0,0,0
W045,W069,0.2086,0,1,5
W046,W052,0.6222,0,1,1
W046,W056,0.5794,1,0,4
W046,W070,0.4613,0,0,2
W047,W052,0.9512,0,0,2
W047,W057,0.3292,0,0,0
W047,W070,0.2717,0,1,1
W048,W050,0.3394,1,0,1
W048,W052,0.749,1,0,1
W048,W060,0.6892,1,0,4
W049,W050,0.1907,1,1,6
W049,W052,0.3281,1,0,4
W049,W055,0.5225,1,0,0
W049,W061,0.3287,0,0,1
W049,W063,0.4291,0,1,3
W049,W065,0.4839,1,1,4
W050,W054,0.5957,1,1,1
W050,W060,0.5756,1,1,5
W050,W063,0.3466,0,1,3
W051,W058,0.6278,1,1,3
W051,W059,0.4607,1,0,4
W051,W068,0.4172,1,0,2
W052,W055,0.3452,1,0,4
W052,W056,0.386,0,0,3
W052,W062,0.3993,0,1,2
W052,W069,0.7418,1,1,1
W054,W055,0.6693,1,0,5
W054,W057,0.2643,1,0,3
W054,W062,0.3889,0,0,1
W054,W065,0.7326,1,1,1
W055,W057,0.6023,1,0,2
W055,W070,0.4833,1,0,1
W056,W063,0.3866,1,0,4
W056,W071,0.373,0,1,4
W057,W064,0.5441,1,0,3
W057,W068,0.8277,1,0,1
W057,W069,0.3175,1,0,3
W057,W070,0.2299,1,0,1
W058,W059,0.6784,1,0,1
W058,W070,0.4668,1,0,5
W059,W060,0.5549,1,1,6
W059,W066,0.4547,0,0,6
W059,W067,0.7654,1,0,0
W060,W066,0.4642,0,0,0
W060,W069,0.4921,1,0,4
W060,W072,0.1757,0,0,6
W062,W063,0.6724,1,0,3
W063,W067,0.1598,0,0,4
W063,W071,0.4603,0,0,0
W065,W070,0.7034,1,1,3
W067,W070,0.4065,1,0,6
W068,W070,0.496,1,0,0
W068,W071,0.5008,1,0,2
W010,W001,0.1663,0,1,2
W011,W001,0.8962,1,1,2
W015,W001,0.4889,1,0,2
W016,W001,0.4848,0,1,2
W028,W001,0.3356,1,0,2
W030,W001,0.2398,1,0,3
W034,W001,0.7363,1,0,5
W039,W001,0.272,1,0,4
W045,W001,0.5259,0,1,1
W046,W001,0.5745,0,1,2
W053,W001,0.3084,0,1,2
W054,W001,0.8861,1,0,4
W068,W001,0.5492,1,1,0
W071,W001,0.7882,1,0,2
W020,W002,0.3812,0,0,5
W027,W002,0.5953,1,0,3
W028,W002,0.4938,1,1,3
W041,W002,0.7074,0,0,4
W044,W002,0.6134,1,1,4
W049,W002,0.498,1,1,0
W050,W002,0.5343,1,1,6
W054,W002,0.9235,1,1,5
W065,W002,0.6546,1,1,4
W012,W003,0.5237,1,0,7
W023,W003,0.8496,1,1,3
W043,W003,0.3348,1,0,2
W044,W003,0.5911,1,1,2
W050,W003,0.3971,1,1,0
W051,W003,0.4686,1,0,3
W058,W003,0.4804,1,0,0
W059,W003,0.337,1,1,1
W060,W003,0.4845,1,1,5
W062,W003,0.8317,0,0,0
W072,W003,0.2628,0,0,1
W012,W004,0.6289,1,0,0
W015,W004,0.3584,1,1,0
W021,W004,0.5277,1,1,7
W023,W004,0.4264,1,0,4
W030,W004,0.4337,1,0,5
W035,W004,0.5275,0,1,8
W039,W004,0.5514,1,0,6
W048,W004,0.1961,1,0,6
W049,W004,0.3182,1,0,1
W056,W004,0.1625,0,0,8
W058,W004,0.7314,1,1,7
W006,W005,0.4213,1,0,1
W022,W005,0.3995,1,0,1
W025,W005,0.8225,1,0,2
W026,W005,0.8486,0,0,1
W027,W005,0.5218,1,1,1
W032,W005,0.3759,0,0,3
W034,W005,0.98,1,0,4
W043,W005,0.445,1,1,2
W046,W005,0.7004,0,1,1
W049,W005,0.3278,1,0,2
W060,W005,0.7045,1,0,1
W064,W005,0.3704,1,0,3
W011,W006,0.2573,1,0,2
W012,W006,0.4618,1,0,2
W015,W006,0.4473,1,1,2
W017,W006,0.5961,1,0,2
W021,W006,0.7605,1,1,5
W040,W006,0.3653,1,0,4
W041,W006,0.7235,0,1,3
W052,W006,0.5591,1,0,3
W054,W006,0.5653,1,0,4
W066,W006,0.3208,0,0,0
W069,W006,0.1845,1,0,4
W016,W007,0.2281,1,0,2
W020,W007,0.4428,1,1,4
W029,W007,0.3257,1,0,2
W031,W007,0.4193,0,0,4
W045,W007,0.7623,1,0,1
W052,W007,0.6327,0,0,3
W063,W007,0.3882,1,0,2
W065,W007,0.2761,0,0,3
W070,W007,0.577,0,0,0
W017,W008,0.0823,0,0,5
W029,W008,0.7587,1,0,1
W041,W008,0.4899,1,1,0
W043,W008,0.3237,0,0,0
W044,W008,0.4392,0,0,0
W045,W008,0.826,1,0,4
W058,W008,0.9707,0,1,2
W063,W008,0.787,1,0,1
W065,W008,0.2519,0,0,0
W071,W008,0.3405,0,0,1
W011,W009,0.4411,1,0,4
W012,W009,0.6276,1,0,0
W017,W009,0.5028,1,1,0
W049,W009,0.4077,1,1,1
W054,W009,0.4674,1,1,6
W065,W009,0.8006,1,1,5
W069,W009,0.4103,1,0,6
W012,W010,0.7094,0,0,0
W026,W010,0.1614,1,0,4
W031,W010,0.7653,0,0,6
W033,W010,0.3744,1,0,4
W037,W010,0.3509,1,1,1
W028,W011,0.1151,1,0,0
W040,W011,0.8318,1,1,2
W049,W011,0.7721,1,0,3
W051,W011,0.3841,1,0,0
W061,W011,0.3971,0,1,4
W063,W011,0.6896,0,0,0
W015,W012,0.866,1,0,0
W016,W012,0.9683,0,0,0
W017,W012,0.5428,1,0,0
W019,W012,0.4939,1,0,1
W022,W012,0.8091,1,1,2
W023,W012,0.4946,1,0,4
W026,W012,0.7722,0,0,4
W030,W012,0.6451,1,1,5
W036,W012,0.1866,0,0,4
W039,W012,0.8946,1,1,6
W045,W012,0.178,0,0,1
W047,W012,0.5757,0,0,3
W052,W012,0.2463,1,0,5
W055,W012,0.6464,1,1,1
W018,W013,0.3111,1,0,4
W020,W013,0.4193,1,0,2
W028,W013,0.0792,0,1,4
W031,W013,0.2404,0,1,2
W034,W013,0.6585,0,0,1
W047,W013,0.5269,1,1,5
W050,W013,0.3668,0,1,1
W051,W013,0.6264,0,0,4
W054,W013,0.5317,0,1,2
W058,W013,0.7175,0,0,1
W069,W013,0.7976,0,0,2
W072,W013,0.6474,1,0,0
W024,W014,0.7302,1,1,3
W027,W014,0.6854,1,1,2
W042,W014,0.5598,0,1,1
W052,W014,0.5817,1,1,3
W057,W014,0.3619,1,0,1
W059,W014,0.5744,1,0,6
W060,W014,0.5995,1,0,0
W068,W014,0.7828,1,1,0
W019,W015,0.516,1,0,1
W031,W015,0.3746,1,0,6
W039,W015,0.7956,1,0,6
W042,W015,0.3359,0,0,3
W051,W015,0.4794,1,1,4
W054,W015,0.4756,1,0,6
W057,W015,0.7068,1,1,3
W058,W015,0.7647,1,1,7
W061,W015,0.3479,0,0,0
W062,W015,0.5939,0,0,7
W066,W015,0.8795,0,0,2
W067,W015,0.8442,1,1,8
W070,W015,0.2928,1,0,2
W020,W016,0.3031,1,0,6
W021,W016,0.6155,0,0,7
W023,W016,0.3186,0,0,4
W026,W016,0.3565,1,0,4
W028,W016,0.5418,0,0,4
W033,W016,0.5288,1,0,4
W036,W016,0.3288,1,1,4
W037,W016,0.6625,1,1,1
W047,W016,0.5248,1,0,3
W049,W016,0.1994,0,0,1
W064,W016,0.7377,0,0,6
W019,W017,0.6575,1,1,1
W022,W017,0.5186,1,0,2
W036,W017,0.3939,0,0,4
W044,W017,0.63,1,1,5
W065,W017,0.7282,1,1,5
W020,W018,0.2675,1,1,2
W021,W018,0.6218,0,1,3
W029,W018,0.6795,1,0,0
W036,W018,0.5987,1,0,0
W037,W018,0.835,1,0,3
W056,W018,0.5508,1,0,4
W058,W018,0.3628,0,1,3
W025,W019,0.518,1,0,4
W028,W019,0.2542,1,1,3
W030,W019,0.3881,1,0,4
W035,W019,0.6488,0,0,7
W039,W019,0.4773,1,0,5
W040,W019,0.1841,1,0,5
W049,W019,0.727,1,1,0
W051,W019,0.4563,1,0,3
W061,W019,0.2478,0,0,1
W070,W019,0.7104,1,1,1
W035,W020,0.7089,1,1,2
W041,W020,0.6437,1,1,1
W043,W020,0.5801,0,0,1
W044,W020,0.2381,0,0,1
W050,W020,0.1606,0,0,1
W052,W020,0.3927,0,0,1
W053,W020,0.7097,1,0,6
W055,W020,0.3412,0,0,5
W069,W020,0.4669,0,0,0
W022,W021,0.8004,1,0,5
W026,W021,0.353,0,0,3
W033,W021,0.7513,0,1,3
W040,W021,0.4498,1,0,1
W044,W021,0.705,1,0,2
W048,W021,0.6733,1,0,1
W057,W021,0.9476,1,1,4
W058,W021,0.8162,1,1,0
W067,W021,0.7339,1,1,1
W071,W021,0.5409,1,0,3
W072,W021,0.7013,0,0,1
W030,W022,0.4051,1,1,3
W031,W022,0.9138,1,0,4
W044,W022,0.3353,1,0,3
W048,W022,0.5914,1,1,4
W065,W022,0.5287,1,0,3
W066,W022,0.857,0,1,0
W072,W022,0.2938,0,1,6
W025,W023,0.836,1,0,1
W034,W023,0.3444,1,0,3
W038,W023,0.6753,0,0,1
W054,W023,0.7972,1,1,2
W058,W023,0.8298,1,0,3
W069,W023,0.516,1,0,2
W070,W023,0.5743,1,1,2
W039,W024,0.5574,1,0,1
W052,W024,0.5362,1,1,0
W059,W024,0.4297,1,0,3
W061,W024,0.2428,0,1,5
W065,W024,0.6748,1,0,0
W068,W024,0.6008,1,1,3
W028,W025,0.3461,1,0,1
W038,W025,0.3896,0,1,2
W044,W025,0.7819,1,0,0
W057,W025,0.4015,1,1,2
W058,W025,0.8555,1,1,2
W065,W025,0.8235,1,0,0
W068,W025,0.4387,1,0,3
W032,W026,0.6227,1,1,2
W033,W026,0.5357,1,0,0
W047,W026,0.4596,1,1,1
W058,W026,0.5227,0,0,3
W060,W026,0.6566,0,1,2
W065,W026,0.6661,0,1,1
W067,W026,0.0786,0,0,4
W070,W026,0.7399,0,1,2
W031,W027,0.5695,1,0,2
W048,W027,0.1556,1,0,2
W054,W027,0.5029,1,0,2
W059,W027,0.5785,1,0,4
W064,W027,0.7693,1,0,2
W065,W027,0.5928,1,0,1
W037,W028,0.2569,0,0,3
W040,W028,0.8761,1,0,2
W044,W028,0.9118,1,1,1
W046,W028,0.5929,0,0,0
W052,W028,0.8655,1,0,1
W058,W028,0.98,1,0,3
W060,W028,0.398,1,1,2
W064,W028,0.7136,1,0,2
W065,W028,0.5584,1,1,1
W066,W028,0.4006,0,0,2
W070,W028,0.3956,1,1,2
W034,W029,0.6206,0,1,3
W038,W029,0.3275,1,0,1
W042,W029,0.5328,1,0,1
W046,W029,0.6273,1,0,0
W047,W029,0.2952,1,0,1
W049,W029,0.2798,0,0,3
W064,W029,0.6305,0,1,2
W069,W029,0.7359,0,0,2
W052,W030,0.5794,1,0,0
W065,W030,0.5617,1,0,0
W068,W030,0.5728,1,0,3
W069,W030,0.2692,1,0,1
W071,W030,0.6815,1,1,1
W034,W031,0.2321,1,0,1
W039,W031,0.7711,1,0,0
W043,W031,0.7284,1,0,1
W044,W031,0.4757,1,1,1
W049,W031,0.672,1,1,5
W060,W031,0.4022,1,1,4
W065,W031,0.9137,1,1,1
W068,W031,0.5377,1,0,4
W070,W031,0.6737,1,1,4
W042,W032,0.5716,1,0,3
W043,W032,0.7308,0,0,1
W046,W032,0.8547,1,0,2
W051,W032,0.6325,0,0,2
W054,W032,0.5526,0,1,0
W056,W032,0.4501,1,0,2
W061,W032,0.5909,1,0,6
W063,W032,0.5468,1,1,2
W064,W032,0.6025,0,0,0
W035,W033,0.6678,1,1,4
W036,W033,0.6256,1,0,0
W037,W033,0.3784,1,0,3
W038,W033,0.5728,1,1,1
W041,W033,0.1447,1,1,1
W042,W033,0.7397,1,0,1
W048,W033,0.3909,0,0,2
W070,W033,0.7847,0,0,2
W044,W034,0.4717,1,0,2
W050,W034,0.5716,1,0,0
W051,W034,0.7799,1,0,3
W058,W034,0.5688,1,0,0
W065,W034,0.6142,1,0,2
W071,W034,0.7769,1,1,3
W037,W035,0.9432,1,0,7
W039,W035,0.2444,0,0,2
W041,W035,0.6602,1,1,3
W045,W035,0.4132,1,0,7
W050,W035,0.3981,0,0,1
W054,W035,0.5597,0,0,2
W064,W035,0.383,0,0,2
W065,W035,0.4697,0,0,3
W067,W035,0.3026,0,1,0
W037,W036,0.3168,1,1,3
W040,W036,0.6296,0,1,2
W052,W036,0.5183,0,1,1
W054,W036,0.5272,0,0,2
W062,W036,0.7702,1,1,3
W063,W036,0.509,1,0,0
W067,W036,0.5062,0,0,4
W040,W037,0.5089,0,1,5
W045,W037,0.8259,1,1,0
W047,W037,0.3128,1,0,2
W069,W037,0.3102,0,1,5
W047,W038,0.4243,1,0,0
W066,W038,0.4071,1,0,1
W043,W039,0.7623,1,0,1
W048,W039,0.7815,1,1,0
W058,W039,0.4344,1,0,1
W064,W039,0.5725,1,1,0
W065,W039,0.6917,1,0,1
W068,W039,0.4897,1,0,4
W044,W040,0.4163,1,0,1
W046,W040,0.3889,0,1,2
W048,W040,0.5058,1,0,0
W052,W040,0.98,1,1,1
W058,W040,0.3038,1,0,1
W068,W040,0.7337,1,1,4
W069,W040,0.4045,1,1,0
W046,W041,0.6103,1,0,1
W048,W041,0.4794,0,0,1
W065,W041,0.6654,0,0,0
W061,W042,0.5367,1,1,3
W069,W042,0.5083,0,1,3
W052,W043,0.4944,1,1,0
W057,W043,0.4326,1,0,2
W058,W043,0.7394,1,0,2
W059,W043,0.6563,1,0,3
W069,W043,0.6997,1,1,1
W047,W044,0.5816,0,1,2
W054,W044,0.5363,1,1,1
W057,W044,0.5038,1,0,2
W070,W044,0.6122,1,1,3
W047,W045,0.2861,1,0,2
W055,W045,0.2309,0,0,0
W069,W045,0.2086,0,1,5
W052,W046,0.6222,0,1,1
W056,W046,0.5794,1,0,4
W070,W046,0.4613,0,0,2
W052,W047,0.9512,0,0,2
W057,W047,0.3292,0,0,0
W070,W047,0.2717,0,1,1
W050,W048,0.3394,1,0,1
W052,W048,0.749,1,0,1
W060,W048,0.6892,1,0,4
W050,W049,0.1907,1,1,6
W052,W049,0.3281,1,0,4
W055,W049,0.5225,1,0,0
W061,W049,0.3287,0,0,1
W063,W049,0.4291,0,1,3
W065,W049,0.4839,1,1,4
W054,W050,0.5957,1,1,1
W060,W050,0.5756,1,1,5
W063,W050,0.3466,0,1,3
W058,W051,0.6278,1,1,3
W059,W051,0.4607,1,0,4
W068,W051,0.4172,1,0,2
W055,W052,0.3452,1,0,4
W056,W052,0.386,0,0,3
W062,W052,0.3993,0,1,2
W069,W052,0.7418,1,1,1
W055,W054,0.6693,1,0,5
W057,W054,0.2643,1,0,3
W062,W054,0.3889,0,0,1
W065,W054,0.7326,1,1,1
W057,W055,0.6023,1,0,2
W070,W055,0.4833,1,0,1
W063,W056,0.3866,1,0,4
W071,W056,0.373,0,1,4
W064,W057,0.5441,1,0,3
W068,W057,0.8277,1,0,1
W069,W057,0.3175,1,0,3
W070,W057,0.2299,1,0,1
W059,W058,0.6784,1,0,1
W070,W058,0.4668,1,0,5
W060,W059,0.5549,1,1,6
W066,W059,0.4547,0,0,6
W067,W059,0.7654,1,0,0
W066,W060,0.4642,0,0,0
W069,W060,0.4921,1,0,4
W072,W060,0.1757,0,0,6
W063,W062,0.6724,1,0,3
W067,W063,0.1598,0,0,4
W071,W063,0.4603,0,0,0
W070,W065,0.7034,1,1,3
W070,W067,0.4065,1,0,6
W070,W068,0.496,1,0,0
W071,W068,0.5008,1,0,2
