worker_i,worker_j,same_group,same_occupation,skill_distance,geo_distance,either_senior,referral_opportunity,true_link_probability,linked,tie_strength
W001,W039,1,0,0.3062,4,0,0.4163,0.1632,1,0.272
W001,W040,1,1,0.2658,4,0,0.5854,0.2852,0,0.6703
W001,W041,0,0,0.7782,3,0,0.5084,0.0795,0,0.3563
W001,W042,0,1,0.4446,1,0,0.555,0.1792,0,0.6132
W001,W043,1,1,0.8012,3,0,0.4074,0.2443,0,0.4696
W001,W044,1,0,0.3657,3,1,0.5861,0.2512,0,0.7669
W001,W045,0,1,0.5546,1,0,0.5957,0.178,1,0.5259
W001,W046,0,1,0.0549,2,0,0.5947,0.1884,1,0.5745
W001,W047,0,0,0.2388,1,0,0.4709,0.1099,0,0.2308
W001,W048,1,0,0.8556,4,0,0.554,0.1516,0,0.3087
W001,W049,1,0,0.5793,1,0,0.4917,0.2021,0,0.4275
W001,W050,1,0,0.0956,5,0,0.5798,0.1758,0,0.4557
W001,W051,1,0,0.0977,2,0,0.5216,0.2163,0,0.6057
W001,W052,1,1,0.3836,3,1,0.5441,0.3662,0,0.7656
W001,W053,0,1,0.1345,2,0,0.5597,0.1805,1,0.3084
W001,W054,1,0,0.7498,4,1,0.6511,0.2182,1,0.8861
W001,W055,1,0,0.0148,1,0,0.5305,0.2399,0,0.4646
W001,W056,0,0,0.6409,6,0,0.5501,0.0647,0,0.4701
W001,W057,1,0,0.2871,1,0,0.5894,0.2309,0,0.5146
W001,W058,1,0,0.8633,5,1,0.6133,0.1912,0,0.499
W001,W059,1,0,0.0839,6,0,0.52,0.1565,0,0.402
W001,W060,1,0,0.2297,0,0,0.4984,0.2406,0,0.5178
W001,W061,0,1,0.0241,2,0,0.5425,0.1843,0,0.3052
W001,W062,0,1,1.2447,5,0,0.5028,0.097,0,0.6032
W001,W063,0,0,0.2147,2,0,0.5677,0.1077,0,0.3229
W001,W064,1,0,0.4483,4,0,0.5698,0.1719,0,0.3903
W001,W065,1,0,0.7429,3,1,0.6331,0.2338,0,0.1787
W001,W066,0,0,0.1675,0,0,0.5037,0.1252,0,0.3864
W001,W067,1,0,0.931,6,0,0.4773,0.1189,0,0.7319
W001,W068,1,1,0.2829,0,1,0.5902,0.4548,1,0.5492
W001,W069,1,1,1.3359,4,0,0.5938,0.2181,0,0.7571
W001,W070,1,0,0.0349,0,0,0.5466,0.2596,0,0.4135
W001,W071,1,0,2.0305,2,0,0.5641,0.1285,1,0.7882
W001,W072,0,0,0.5584,6,0,0.4934,0.0639,0,0.5307
W002,W003,1,1,0.1762,6,0,0.567,0.2494,0,0.7698
W002,W004,1,0,0.0715,1,0,0.5789,0.2428,0,0.7571
W002,W005,1,0,2.0164,2,1,0.5761,0.1735,0,0.5041
W002,W006,1,0,0.7143,1,0,0.5373,0.2,0,0.627
W002,W007,0,0,0.6541,1,0,0.5363,0.101,0,0.7815
W002,W008,0,0,0.515,4,0,0.5049,0.0786,0,0.757
W002,W009,1,1,0.7554,1,0,0.5542,0.3084,0,0.6862
W002,W010,0,0,2.5849,1,0,0.5172,0.0543,0,0.3038
W002,W011,1,0,1.5798,3,0,0.4708,0.127,0,0.4382
W002,W012,1,0,0.6592,1,1,0.619,0.2752,0,0.5132
W002,W013,0,1,1.0485,7,0,0.5304,0.0875,0,0.909
W002,W014,1,0,0.8057,1,0,0.6028,0.2026,0,0.4853
W002,W015,1,0,1.4891,1,0,0.6037,0.1677,0,0.6307
W002,W016,0,0,0.2166,1,0,0.4805,0.1113,0,0.1086
W002,W017,1,1,1.2026,1,0,0.5249,0.2727,0,0.6652
W002,W018,0,0,1.6321,3,0,0.5039,0.0605,0,0.2631
W002,W019,1,1,0.6883,0,0,0.5941,0.3416,0,0.8547
W002,W020,0,0,1.6929,5,0,0.4782,0.0483,1,0.3812
W002,W021,1,0,0.6944,6,1,0.6507,0.1888,0,0.5317
W002,W022,1,0,0.6789,1,1,0.6762,0.2821,0,0.5667
W002,W023,1,1,0.1544,3,0,0.6075,0.3175,0,0.4086
W002,W024,1,0,1.1736,4,0,0.6018,0.1424,0,0.5707
W002,W025,1,0,1.1318,4,0,0.5191,0.1369,0,0.811
W002,W026,0,1,0.8524,3,0,0.5398,0.1334,0,0.4479
W002,W027,1,0,0.389,3,0,0.5776,0.1906,1,0.5953
W002,W028,1,1,1.1504,3,0,0.5142,0.2367,1,0.4938
W002,W029,0,0,0.6367,3,0,0.5717,0.0867,0,0.2703
W002,W030,1,0,0.0412,4,0,0.6045,0.1964,0,0.1921
W002,W031,1,1,0.6953,5,0,0.5458,0.2327,0,0.5264
W002,W032,0,1,0.9412,5,1,0.5232,0.1451,0,0.7619
W002,W033,0,0,0.8396,3,0,0.499,0.0775,0,0.4981
W002,W034,1,0,0.8275,6,0,0.4539,0.1208,0,0.4437
W002,W035,0,0,0.1897,7,0,0.5731,0.069,0,0.4413
W002,W036,0,0,1.1294,3,0,0.5411,0.0728,0,0.4278
W002,W037,0,0,1.8083,0,0,0.527,0.0769,0,0.9046
W002,W038,0,0,0.4471,2,0,0.5377,0.0984,0,0.56
W002,W039,1,0,1.2859,5,0,0.4314,0.1134,0,0.5968
W002,W040,1,0,0.7139,5,0,0.6005,0.1493,0,0.6983
W002,W041,0,0,0.2015,4,0,0.5235,0.0877,1,0.7074
W002,W042,0,0,0.5351,2,0,0.5701,0.0978,0,0.332
W002,W043,1,0,1.7809,4,0,0.4225,0.1061,0,0.261
W002,W044,1,1,1.3454,4,1,0.6013,0.282,1,0.6134
W002,W045,0,0,0.4251,0,0,0.6109,0.124,0,0.3703
W002,W046,0,0,0.9248,3,0,0.6098,0.0813,0,0.1515
W002,W047,0,1,1.2185,2,0,0.4861,0.1263,0,0.4072
W002,W048,1,0,0.1241,5,0,0.5692,0.1733,0,0.3954
W002,W049,1,1,1.559,0,0,0.5068,0.266,1,0.498
W002,W050,1,1,0.8841,6,0,0.595,0.2105,1,0.5343
W002,W051,1,0,0.882,3,0,0.5368,0.162,0,0.5716
W002,W052,1,0,1.3633,4,1,0.5593,0.175,0,0.7301
W002,W053,0,0,1.1142,1,0,0.5748,0.0899,0,0.2418
W002,W054,1,1,0.2299,5,1,0.6663,0.3524,1,0.9235
W002,W055,1,0,0.9945,0,0,0.5457,0.2018,0,0.5943
W002,W056,0,0,0.3388,7,0,0.5653,0.0655,0,0.5697
W002,W057,1,0,0.6926,2,0,0.6045,0.1931,0,0.6514
W002,W058,1,0,1.843,6,1,0.6284,0.1342,0,0.3857
W002,W059,1,1,1.0636,7,0,0.5352,0.1785,0,0.7397
W002,W060,1,1,0.75,1,0,0.5135,0.3025,0,0.5087
W002,W061,0,0,0.9556,1,0,0.5577,0.0934,0,0.2725
W002,W062,0,0,2.2244,6,0,0.5179,0.0379,0,0.3657
W002,W063,0,1,0.765,3,0,0.5829,0.1406,0,0.3021
W002,W064,1,0,0.5314,5,0,0.585,0.1558,0,0.3641
W002,W065,1,1,0.2368,4,1,0.6482,0.372,1,0.6546
W002,W066,0,0,0.8122,1,0,0.5189,0.0951,0,0.322
W002,W067,1,0,1.9107,7,0,0.4925,0.0813,0,0.587
W002,W068,1,0,0.6968,1,1,0.6054,0.2707,0,0.5597
W002,W069,1,0,0.3562,5,0,0.609,0.1662,0,0.8712
W002,W070,1,1,0.9448,1,0,0.5618,0.2959,0,0.3571
W002,W071,1,0,1.0508,3,0,0.5793,0.1584,0,0.3625
W002,W072,0,0,0.4213,7,0,0.5086,0.0614,0,0.2002
W003,W004,1,0,0.1047,7,0,0.5721,0.1476,0,0.5132
W003,W005,1,0,2.1926,4,1,0.5693,0.1388,0,0.98
W003,W006,1,0,0.8905,5,0,0.5305,0.1358,0,0.6134
W003,W007,0,0,0.8303,5,0,0.5295,0.0659,0,0.7117
W003,W008,0,0,0.6912,2,0,0.498,0.089,0,0.3415
W003,W009,1,1,0.9316,7,0,0.5474,0.1865,0,0.8127
W003,W010,0,0,2.7611,7,0,0.5104,0.0287,0,0.5896
W003,W011,1,0,1.756,3,0,0.464,0.1199,0,0.7393
W003,W012,1,0,0.8354,7,1,0.6121,0.1634,1,0.5237
W003,W013,0,1,1.2247,1,0,0.5236,0.1407,0,0.9108
W003,W014,1,0,0.9819,5,0,0.5959,0.1377,0,0.5114
W003,W015,1,0,1.6653,7,0,0.5968,0.0939,0,0.196
W003,W016,0,0,0.3928,7,0,0.4737,0.0605,0,0.5717
W003,W017,1,1,1.3788,7,0,0.518,0.1617,0,0.5309
W003,W018,0,0,1.8083,3,0,0.497,0.0569,0,0.4047
W003,W019,1,1,0.8645,6,0,0.5873,0.2106,0,0.5634
W003,W020,0,0,1.8691,1,0,0.4714,0.0662,0,0.7105
W003,W021,1,0,0.5182,0,1,0.6439,0.3095,0,0.3821
W003,W022,1,0,0.8551,5,1,0.6694,0.198,0,0.9394
W003,W023,1,1,0.3306,3,0,0.6007,0.3037,1,0.8496
W003,W024,1,0,1.3498,2,0,0.595,0.1597,0,0.3925
W003,W025,1,0,1.308,2,0,0.5122,0.1537,0,0.6279
W003,W026,0,1,1.0286,3,0,0.533,0.1261,0,0.4926
W003,W027,1,0,0.5652,3,0,0.5708,0.1808,0,0.4334
W003,W028,1,1,1.3266,3,0,0.5073,0.2252,0,0.5976
W003,W029,0,0,0.8129,3,0,0.5649,0.0817,0,0.4187
W003,W030,1,0,0.135,2,0,0.5977,0.2235,0,0.4182
W003,W031,1,1,0.8715,1,0,0.539,0.2977,0,0.6544
W003,W032,0,1,1.1174,1,1,0.5164,0.1918,0,0.6442
W003,W033,0,0,1.0158,3,0,0.4921,0.073,0,0.3171
W003,W034,1,0,1.0037,0,0,0.4471,0.1901,0,0.3672
W003,W035,0,0,0.3659,1,0,0.5663,0.1124,0,0.1572
W003,W036,0,0,1.3056,3,0,0.5343,0.0685,0,0.5663
W003,W037,0,0,1.9845,6,0,0.5202,0.0411,0,0.1622
W003,W038,0,0,0.2709,4,0,0.5309,0.0863,0,0.1585
W003,W039,1,0,1.4621,1,0,0.4245,0.1517,0,0.6493
W003,W040,1,0,0.8901,1,0,0.5937,0.197,0,0.3355
W003,W041,0,0,0.3777,2,0,0.5167,0.0992,0,0.6567
W003,W042,0,0,0.7113,4,0,0.5633,0.0768,0,0.8499
W003,W043,1,0,1.9571,2,0,0.4157,0.1196,1,0.3348
W003,W044,1,1,1.5216,2,1,0.5945,0.3102,1,0.5911
W003,W045,0,0,0.6013,6,0,0.604,0.0679,0,0.7063
W003,W046,0,0,1.101,3,0,0.603,0.0765,0,0.8068
W003,W047,0,1,1.3947,4,0,0.4793,0.0998,0,0.6076
W003,W048,1,0,0.3003,1,0,0.5624,0.2267,0,0.4372
W003,W049,1,1,1.7352,6,0,0.5,0.1571,0,0.3389
W003,W050,1,1,1.0603,0,0,0.5881,0.3128,1,0.3971
W003,W051,1,0,1.0582,3,0,0.53,0.1534,1,0.4686
W003,W052,1,0,1.5395,2,1,0.5524,0.1953,0,0.6006
W003,W053,0,0,1.2904,7,0,0.568,0.0483,0,0.1115
W003,W054,1,1,0.4061,1,1,0.6594,0.4321,0,0.6037
W003,W055,1,0,1.1707,6,0,0.5389,0.1151,0,0.6368
W003,W056,0,0,0.515,1,0,0.5585,0.1069,0,0.6051
W003,W057,1,0,0.8688,4,0,0.5977,0.1551,0,0.4431
W003,W058,1,0,2.0192,0,1,0.6216,0.2093,1,0.4804
W003,W059,1,1,1.2398,1,0,0.5283,0.2707,1,0.337
W003,W060,1,1,0.9262,5,0,0.5067,0.2142,1,0.4845
W003,W061,0,0,1.1318,7,0,0.5509,0.0503,0,0.7198
W003,W062,0,0,2.4006,0,0,0.5111,0.0631,1,0.8317
W003,W063,0,1,0.9412,3,0,0.576,0.1329,0,0.6091
W003,W064,1,0,0.7076,1,0,0.5781,0.2052,0,0.3717
W003,W065,1,1,0.413,2,1,0.6414,0.4041,0,0.7023
W003,W066,0,0,0.9884,5,0,0.512,0.062,0,0.2711
W003,W067,1,0,2.0869,1,0,0.4857,0.1313,0,0.4938
W003,W068,1,0,0.873,5,1,0.5985,0.1891,0,0.4236
W003,W069,1,0,0.18,1,0,0.6021,0.2391,0,0.8293
W003,W070,1,1,1.121,5,0,0.555,0.2089,0,0.6133
W003,W071,1,0,0.8746,3,0,0.5724,0.1659,0,0.5101
W003,W072,0,0,0.5975,1,0,0.5017,0.1005,1,0.2628
W004,W005,1,0,2.0879,3,1,0.5813,0.1569,0,0.4932
W004,W006,1,1,0.7858,2,0,0.5424,0.2836,0,0.5886
W004,W007,0,1,0.7256,2,0,0.5415,0.151,0,0.2065
W004,W008,0,1,0.5865,5,0,0.51,0.119,0,0.5079
W004,W009,1,0,0.8269,0,0,0.5594,0.2128,0,0.4201
W004,W010,0,0,2.6564,0,0,0.5223,0.0586,0,0.3109
W004,W011,1,0,1.6513,4,0,0.4759,0.1142,0,0.2524
W004,W012,1,0,0.7307,0,1,0.6241,0.2913,1,0.6289
W004,W013,0,0,1.12,8,0,0.5356,0.0454,0,0.2331
W004,W014,1,0,0.8772,2,0,0.6079,0.1838,0,0.3451
W004,W015,1,1,1.5606,0,0,0.6088,0.2804,1,0.3584
W004,W016,0,0,0.2881,0,0,0.4856,0.1194,0,0.8006
W004,W017,1,0,1.2741,0,0,0.53,0.1852,0,0.3105
W004,W018,0,1,1.7036,4,0,0.509,0.0926,0,0.13
W004,W019,1,0,0.7598,1,0,0.5992,0.2047,0,0.2075
W004,W020,0,1,1.7644,6,0,0.4833,0.0743,0,0.2609
W004,W021,1,1,0.6229,7,1,0.6559,0.279,1,0.5277
W004,W022,1,0,0.7504,2,1,0.6813,0.2583,0,0.7882
W004,W023,1,0,0.2259,4,0,0.6126,0.1876,1,0.4264
W004,W024,1,0,1.2451,5,0,0.607,0.1283,0,0.2062
W004,W025,1,1,1.2033,5,0,0.5242,0.2007,0,0.2635
W004,W026,0,0,0.9239,4,0,0.545,0.071,0,0.3018
W004,W027,1,0,0.4605,4,0,0.5827,0.1726,0,0.3451
W004,W028,1,0,1.2219,4,0,0.5193,0.1334,0,0.5546
W004,W029,0,0,0.7082,4,0,0.5769,0.0776,0,0.6101
W004,W030,1,0,0.0303,5,0,0.6097,0.1822,1,0.4337
W004,W031,1,0,0.7668,6,0,0.551,0.1308,0,0.468
W004,W032,0,0,1.0127,6,1,0.5284,0.0777,0,0.6209
W004,W033,0,1,0.9111,4,0,0.5041,0.1174,0,0.5432
W004,W034,1,0,0.899,7,0,0.4591,0.1086,0,0.7996
W004,W035,0,1,0.2612,8,0,0.5782,0.105,1,0.5275
W004,W036,0,0,1.2009,4,0,0.5462,0.0651,0,0.7304
W004,W037,0,0,1.8798,1,0,0.5322,0.0688,0,0.3691
W004,W038,0,1,0.3756,3,0,0.5429,0.1536,0,0.6187
W004,W039,1,0,1.3574,6,0,0.4365,0.1018,1,0.5514
W004,W040,1,0,0.7854,6,0,0.6057,0.1346,0,0.7817
W004,W041,0,1,0.273,5,0,0.5287,0.1321,0,0.4625
W004,W042,0,0,0.6066,3,0,0.5753,0.0877,0,0.3677
W004,W043,1,0,1.8524,5,0,0.4277,0.0952,0,0.6956
W004,W044,1,0,1.4169,5,1,0.6064,0.1631,0,0.5752
W004,W045,0,0,0.4966,1,0,0.616,0.1115,0,0.487
W004,W046,0,0,0.9963,4,0,0.6149,0.0727,0,0.4008
W004,W047,0,0,1.29,3,0,0.4912,0.0669,0,0.2564
W004,W048,1,0,0.1956,6,0,0.5743,0.1567,1,0.1961
W004,W049,1,0,1.6305,1,0,0.512,0.1524,1,0.3182
W004,W050,1,0,0.9556,7,0,0.6001,0.1168,0,0.4418
W004,W051,1,1,0.9535,4,0,0.5419,0.2343,0,0.7911
W004,W052,1,0,1.4348,5,1,0.5644,0.1582,0,0.8091
W004,W053,0,0,1.1857,0,0,0.58,0.0966,0,0.4087
W004,W054,1,0,0.3014,6,1,0.6714,0.2126,0,0.5111
W004,W055,1,0,1.066,1,0,0.5508,0.183,0,0.5395
W004,W056,0,0,0.4103,8,0,0.5704,0.0585,1,0.1625
W004,W057,1,1,0.7641,3,0,0.6097,0.2747,0,0.4183
W004,W058,1,1,1.9145,7,1,0.6336,0.1971,1,0.7314
W004,W059,1,0,1.1351,8,0,0.5403,0.0974,0,0.6866
W004,W060,1,0,0.8215,2,0,0.5187,0.1771,0,0.4252
W004,W061,0,0,1.0271,0,0,0.5628,0.1003,0,0.2722
W004,W062,0,0,2.2959,7,0,0.5231,0.0338,0,0.3875
W004,W063,0,0,0.8365,4,0,0.588,0.0751,0,0.2141
W004,W064,1,0,0.6029,6,0,0.5901,0.1406,0,0.4391
W004,W065,1,0,0.3083,5,1,0.6534,0.2272,0,0.6393
W004,W066,0,0,0.8837,2,0,0.524,0.0852,0,0.3991
W004,W067,1,1,1.9822,8,0,0.4976,0.1229,0,0.3416
W004,W068,1,0,0.7683,2,1,0.6105,0.2476,0,0.6889
W004,W069,1,0,0.2847,6,0,0.6141,0.1565,0,0.5362
W004,W070,1,0,1.0163,2,0,0.5669,0.1726,0,0.3284
W004,W071,1,0,0.9793,4,0,0.5844,0.149,0,0.2971
W004,W072,0,0,0.4928,8,0,0.5137,0.0548,0,0.4662
W005,W006,1,0,1.3021,1,1,0.5396,0.2237,1,0.4213
W005,W007,0,0,1.3623,1,1,0.5387,0.1105,0,0.498
W005,W008,0,0,1.5014,2,1,0.5072,0.0949,0,0.3798
W005,W009,1,0,1.261,3,1,0.5566,0.195,0,0.4573
W005,W010,0,1,0.5685,3,1,0.5195,0.1901,0,0.2825
W005,W011,1,1,0.4366,1,1,0.4732,0.397,0,0.7738
W005,W012,1,0,1.3572,3,1,0.6214,0.1972,0,0.7551
W005,W013,0,0,0.9679,5,1,0.5328,0.0866,0,0.5034
W005,W014,1,1,1.2107,1,1,0.6052,0.3576,0,0.3399
W005,W015,1,0,0.5273,3,1,0.606,0.2436,0,0.8947
W005,W016,0,1,1.7998,3,1,0.4829,0.1308,0,0.7237
W005,W017,1,0,0.8138,3,1,0.5272,0.2163,0,0.5979
W005,W018,0,0,0.3843,1,1,0.5062,0.1448,0,0.5383
W005,W019,1,0,1.3281,2,1,0.5964,0.2121,0,0.3585
W005,W020,0,0,0.3235,3,1,0.4806,0.122,0,0.5599
W005,W021,1,0,2.7108,4,1,0.6531,0.1255,0,0.4239
W005,W022,1,0,1.3375,1,1,0.6785,0.2394,1,0.3995
W005,W023,1,0,1.862,1,1,0.6099,0.2004,0,0.4026
W005,W024,1,1,0.8428,2,1,0.6042,0.3632,0,0.5968
W005,W025,1,0,0.8846,2,1,0.5214,0.2288,1,0.8225
W005,W026,0,0,1.164,1,1,0.5422,0.1176,1,0.8486
W005,W027,1,1,1.6274,1,1,0.5799,0.3217,1,0.5218
W005,W028,1,0,0.866,1,1,0.5166,0.2474,0,0.4518
W005,W029,0,0,1.3797,1,1,0.5741,0.1125,0,0.3808
W005,W030,1,0,2.0576,2,1,0.6069,0.1747,0,0.8064
W005,W031,1,0,1.3211,3,1,0.5482,0.1909,0,0.352
W005,W032,0,0,1.0752,3,1,0.5256,0.1,1,0.3759
W005,W033,0,0,1.1768,1,1,0.5013,0.1141,0,0.4952
W005,W034,1,0,1.1889,4,1,0.4563,0.1728,1,0.98
W005,W035,0,0,1.8267,5,1,0.5755,0.0681,0,0.5486
W005,W036,0,1,0.887,1,1,0.5434,0.2075,0,0.4165
W005,W037,0,1,0.2081,2,1,0.5293,0.228,0,0.6632
W005,W038,0,0,2.4635,0,1,0.5401,0.0864,0,0.5192
W005,W039,1,0,0.7305,3,1,0.4337,0.2098,0,0.9434
W005,W040,1,1,1.3025,3,1,0.6028,0.306,0,0.76
W005,W041,0,0,1.8149,2,1,0.5259,0.0872,0,0.6004
W005,W042,0,1,1.4813,0,1,0.5725,0.1944,0,0.7348
W005,W043,1,1,0.2355,2,1,0.4249,0.3813,1,0.445
W005,W044,1,0,0.671,2,1,0.6037,0.2528,0,0.4849
W005,W045,0,1,1.5913,2,1,0.6132,0.1639,0,0.4957
W005,W046,0,1,1.0916,1,1,0.6121,0.2042,1,0.7004
W005,W047,0,0,0.7979,0,1,0.4884,0.1383,0,0.4571
W005,W048,1,0,1.8923,3,1,0.5716,0.1649,0,0.5049
W005,W049,1,0,0.4574,2,1,0.5091,0.2537,1,0.3278
W005,W050,1,0,1.1323,4,1,0.5974,0.1908,0,0.7774
W005,W051,1,0,1.1344,1,1,0.5392,0.2337,0,0.7232
W005,W052,1,1,0.6531,2,1,0.5616,0.3711,0,0.7491
W005,W053,0,1,0.9022,3,1,0.5772,0.1793,0,0.4667
W005,W054,1,0,1.7865,3,1,0.6686,0.18,0,0.5542
W005,W055,1,0,1.0219,2,1,0.548,0.2239,0,0.7434
W005,W056,0,0,1.6776,5,1,0.5676,0.071,0,0.1665
W005,W057,1,0,1.3238,0,1,0.6069,0.2492,0,0.6341
W005,W058,1,0,0.1734,4,1,0.6308,0.2507,0,0.8874
W005,W059,1,0,0.9528,5,1,0.5375,0.1784,0,0.279
W005,W060,1,0,1.2664,1,1,0.5159,0.2229,1,0.7045
W005,W061,0,1,1.0608,3,1,0.56,0.1697,0,0.6044
W005,W062,0,1,0.208,4,1,0.5202,0.1937,0,0.3838
W005,W063,0,0,1.2514,1,1,0.5853,0.1177,0,0.166
W005,W064,1,0,1.485,3,1,0.5874,0.1866,1,0.3704
W005,W065,1,0,1.7796,2,1,0.6506,0.1936,0,0.7263
W005,W066,0,0,1.2042,1,1,0.5212,0.1146,0,0.7736
W005,W067,1,0,0.1057,5,1,0.4949,0.2193,0,0.7503
W005,W068,1,1,1.3196,1,1,0.6077,0.3495,0,0.8171
W005,W069,1,1,2.3726,3,1,0.6114,0.2357,0,0.4747
W005,W070,1,0,1.0716,1,1,0.5641,0.2408,0,0.8746
W005,W071,1,0,3.0672,1,1,0.5816,0.1401,0,0.6825
W005,W072,0,0,1.5951,5,1,0.5109,0.0701,0,0.5595
W006,W007,0,1,0.0602,0,0,0.4999,0.2091,0,0.254
W006,W008,0,1,0.1993,3,0,0.4684,0.1544,0,0.2873
W006,W009,1,0,0.0411,2,0,0.5177,0.2191,0,0.3395
W006,W010,0,0,1.8706,2,0,0.4807,0.0607,0,0.4453
W006,W011,1,0,0.8655,2,0,0.4343,0.1664,1,0.2573
W006,W012,1,0,0.0551,2,1,0.5825,0.2912,1,0.4618
W006,W013,0,0,0.3342,6,0,0.494,0.0686,0,0.5004
W006,W014,1,0,0.0914,0,0,0.5663,0.2586,0,0.7199
W006,W015,1,1,0.7748,2,0,0.5672,0.288,1,0.4473
W006,W016,0,0,0.4977,2,0,0.444,0.0912,0,0.2972
W006,W017,1,0,0.4883,2,0,0.4884,0.1909,1,0.5961
W006,W018,0,1,0.9178,2,0,0.4674,0.1364,0,0.5677
W006,W019,1,0,0.026,1,0,0.5576,0.2428,0,0.205
W006,W020,0,1,0.9786,4,0,0.4417,0.1106,0,0.4516
W006,W021,1,1,1.4087,5,1,0.6142,0.2599,1,0.7605
W006,W022,1,0,0.0354,0,1,0.6397,0.3449,0,0.5155
W006,W023,1,0,0.5599,2,0,0.571,0.1964,0,0.5724
W006,W024,1,0,0.4593,3,0,0.5654,0.1856,0,0.6789
W006,W025,1,1,0.4175,3,0,0.4826,0.28,0,0.5852
W006,W026,0,0,0.1381,2,0,0.5033,0.1058,0,0.2569
W006,W027,1,0,0.3253,2,0,0.5411,0.2057,0,0.5048
W006,W028,1,0,0.4361,2,0,0.4777,0.1924,0,0.7933
W006,W029,0,0,0.0776,2,0,0.5353,0.11,0,0.2619
W006,W030,1,0,0.7555,3,0,0.568,0.1711,0,0.5449
W006,W031,1,0,0.019,4,0,0.5093,0.187,0,0.3588
W006,W032,0,0,0.2269,4,1,0.4868,0.1154,0,0.1968
W006,W033,0,1,0.1253,2,0,0.4625,0.1708,0,0.5503
W006,W034,1,0,0.1132,5,0,0.4174,0.1587,0,0.3515
W006,W035,0,1,0.5246,6,0,0.5366,0.1128,0,0.3578
W006,W036,0,0,0.4151,2,0,0.5046,0.0973,0,0.3816
W006,W037,0,0,1.094,1,0,0.4905,0.0856,0,0.3359
W006,W038,0,1,1.1614,1,0,0.5012,0.1414,0,0.5306
W006,W039,1,0,0.5716,4,0,0.3949,0.1493,0,0.4702
W006,W040,1,0,0.0004,4,0,0.564,0.194,1,0.3653
W006,W041,0,1,0.5128,3,0,0.487,0.1426,1,0.7235
W006,W042,0,0,0.1792,1,0,0.5336,0.1164,0,0.7297
W006,W043,1,0,1.0666,3,0,0.3861,0.1401,0,0.1959
W006,W044,1,0,0.6311,3,1,0.5648,0.2318,0,0.3792
W006,W045,0,0,0.2892,1,0,0.5744,0.1156,0,0.155
W006,W046,0,0,0.2105,2,0,0.5733,0.1082,0,0.4193
W006,W047,0,0,0.5042,1,0,0.4496,0.1,0,0.2362
W006,W048,1,0,0.5902,4,0,0.5327,0.1615,0,0.5036
W006,W049,1,0,0.8447,1,0,0.4703,0.1856,0,0.7718
W006,W050,1,0,0.1698,5,0,0.5585,0.17,0,0.3874
