student_id,cohort,section,female,role_model_exposure,baseline_gpa,prior_quant_index,belonging_index,expected_returns_index,economics_major
154,5,11,1,0,2.8793,0.2858,0.6098,0.4671,1
155,6,12,0,0,2.3229,0.2807,0.2310,0.5395,0
156,1,13,1,0,2.2994,0.3700,0.3856,0.5369,0
157,2,14,0,0,2.5594,0.4111,0.4644,0.5181,0
158,3,15,1,1,3.1555,0.5290,0.7376,0.5282,1
159,4,16,0,1,2.9497,0.5924,0.3651,0.5587,0
160,5,17,1,0,2.0869,0.6629,0.4812,0.5120,0
161,6,18,0,0,2.2060,0.2436,0.2719,0.4784,0
162,1,1,1,0,2.6431,0.4135,0.4981,0.5106,1
163,2,2,0,0,2.8510,0.3723,0.5755,0.5039,0
164,3,3,1,1,3.3176,0.5353,0.7060,0.6416,1
165,4,4,0,1,2.1852,0.5708,0.3279,0.6019,0
166,5,5,1,0,2.5042,0.5755,0.4338,0.6120,0
167,6,6,0,0,3.0862,0.5239,0.3776,0.5073,1
168,1,7,1,0,2.8893,0.3247,0.6434,0.6165,0
169,2,8,0,0,3.2586,0.2837,0.4757,0.5610,0
170,3,9,1,1,2.2363,0.3661,0.7415,0.6190,1
171,4,10,0,1,2.5335,0.3576,0.4404,0.6538,0
172,5,11,1,0,2.5171,0.5702,0.3561,0.4940,1
173,6,12,0,0,2.9919,0.6190,0.3720,0.4983,1
174,1,13,1,0,3.0950,0.6873,0.4188,0.5303,1
175,2,14,0,0,2.1891,0.3977,0.4050,0.4814,1
176,3,15,1,1,2.9191,0.4621,0.6955,0.6590,1
177,4,16,0,1,2.6138,0.4175,0.2883,0.6629,0
178,5,17,1,0,3.1136,0.4326,0.5248,0.5592,0
179,6,18,0,0,2.9888,0.5795,0.2249,0.5764,0
180,1,1,1,0,2.1937,0.6163,0.3496,0.5793,0
181,2,2,0,0,2.2574,0.5774,0.3019,0.6002,0
182,3,3,1,1,2.9065,0.3556,0.7298,0.5685,1
183,4,4,0,1,3.1418,0.3573,0.3802,0.6988,0
184,5,5,1,0,3.0340,0.2350,0.4921,0.4682,1
185,6,6,0,0,2.4289,0.4721,0.4599,0.5304,0
186,1,7,1,0,2.7359,0.5647,0.3425,0.6171,0
187,2,8,0,0,2.6586,0.4839,0.4082,0.5299,0
188,3,9,1,1,2.9575,0.6617,0.6509,0.6851,1
189,4,10,0,1,2.8879,0.2451,0.3545,0.6081,1
190,5,11,1,0,2.3673,0.2627,0.3273,0.5765,1
191,6,12,0,0,2.4162,0.4622,0.2797,0.4418,1
192,1,13,1,0,2.3873,0.3810,0.4027,0.5568,1
193,2,14,0,0,2.8906,0.4652,0.3278,0.4468,0
194,3,15,1,1,2.8538,0.6318,0.7549,0.6297,1
195,4,16,0,1,2.3600,0.6501,0.3399,0.5778,0
196,5,17,1,0,2.1495,0.3148,0.3985,0.5382,0
197,6,18,0,0,2.8332,0.3533,0.3086,0.6044,0
198,1,1,1,0,2.9789,0.4023,0.4140,0.5007,1
199,2,2,0,0,2.8520,0.3912,0.3079,0.5214,0
200,3,3,1,1,2.5697,0.3822,0.6731,0.6785,0
201,4,4,0,1,2.0201,0.6054,0.3028,0.6526,0
202,5,5,1,0,2.5071,0.6347,0.6014,0.5974,1
203,6,6,0,0,2.7970,0.2133,0.2807,0.5010,1
204,1,7,1,0,3.0641,0.2128,0.3799,0.4313,0
205,2,8,0,0,2.2413,0.4167,0.4876,0.4493,1
206,3,9,1,1,2.6080,0.4282,0.6858,0.5838,0
207,4,10,0,1,2.5280,0.4717,0.2737,0.6829,1
208,5,11,1,0,2.5981,0.5774,0.5418,0.5606,1
209,6,12,0,0,3.2466,0.6332,0.3364,0.5397,0
210,1,13,1,0,2.2136,0.2825,0.4362,0.6470,0
211,2,14,0,0,2.0364,0.2956,0.3180,0.4844,0
212,3,15,1,1,2.6669,0.2720,0.6519,0.6636,0
213,4,16,0,1,3.0900,0.5420,0.4679,0.6648,1
214,5,17,1,0,2.6726,0.4848,0.3616,0.6127,0
215,6,18,0,0,2.1523,0.6802,0.3392,0.4758,0
216,1,1,1,0,2.6764,0.6483,0.4134,0.4051,0
217,2,2,0,0,2.9660,0.3139,0.3011,0.3697,0
218,3,3,1,1,2.5410,0.2923,0.7121,0.7014,0
219,4,4,0,1,3.2146,0.3742,0.2908,0.5515,1
220,5,5,1,0,2.2573,0.4532,0.4893,0.4884,1
221,6,6,0,0,2.6036,0.4529,0.4174,0.4038,0
222,1,7,1,0,2.6705,0.6528,0.3394,0.6087,1
223,2,8,0,0,2.8395,0.6061,0.2661,0.5810,1
224,3,9,1,1,3.2593,0.2799,0.6958,0.6299,0
225,4,10,0,1,2.2412,0.3796,0.2541,0.5994,1
226,5,11,1,0,2.5983,0.3706,0.3026,0.3762,0
227,6,12,0,0,2.8838,0.4943,0.4022,0.5114,0
228,1,13,1,0,2.9562,0.4660,0.3758,0.4774,1
229,2,14,0,0,3.0556,0.4800,0.2282,0.5429,1
230,3,15,1,1,2.2412,0.5953,0.6397,0.5604,0
231,4,16,0,1,2.5197,0.2324,0.3956,0.6015,1
232,5,17,1,0,2.7077,0.3349,0.4847,0.5921,0
233,6,18,0,0,2.6746,0.4385,0.2613,0.5654,0
234,1,1,1,0,3.0006,0.5671,0.3898,0.4242,1
235,2,2,0,0,2.0796,0.5423,0.4257,0.4652,0
236,3,3,1,1,2.3356,0.6348,0.6570,0.7093,1
237,4,4,0,1,2.3809,0.6041,0.3807,0.6305,0
238,5,5,1,0,2.5995,0.4038,0.3004,0.5530,0
239,6,6,0,0,2.6505,0.3526,0.3842,0.4302,0
240,1,7,1,0,2.5914,0.3909,0.3585,0.5749,0
241,2,8,0,0,2.3716,0.5767,0.2242,0.3965,0
242,3,9,1,1,2.6409,0.5356,0.6543,0.6942,1
243,4,10,0,1,3.0276,0.5529,0.4220,0.6773,1
244,5,11,1,0,3.1824,0.5655,0.5366,0.6247,1
245,6,12,0,0,2.4237,0.3265,0.2861,0.5372,0
246,1,13,1,0,2.3532,0.3995,0.4296,0.5597,1
247,2,14,0,0,2.7614,0.4237,0.3182,0.5210,1
248,3,15,1,1,2.6754,0.4313,0.5821,0.5524,1
249,4,16,0,1,2.7855,0.4243,0.3115,0.5578,1
250,5,17,1,0,1.9435,0.5019,0.3980,0.6157,0
251,6,18,0,0,2.6150,0.6654,0.3442,0.5671,0
252,1,1,1,0,2.6413,0.3177,0.4622,0.6132,1
253,2,2,0,0,3.0678,0.2345,0.2934,0.5413,0
254,3,3,1,1,2.9894,0.3700,0.7474,0.6357,1
255,4,4,0,1,2.1019,0.4376,0.2859,0.6194,0
256,5,5,1,0,2.3266,0.5776,0.4634,0.4977,0
257,6,6,0,0,2.6053,0.5000,0.4171,0.4995,0
258,1,7,1,0,2.8009,0.6995,0.3289,0.5552,1
259,2,8,0,0,3.0944,0.2524,0.3549,0.5812,0
260,3,9,1,1,2.3463,0.4259,0.6161,0.7313,0
261,4,10,0,1,2.7231,0.4818,0.1446,0.6201,1
262,5,11,1,0,2.5598,0.4458,0.4776,0.5568,1
263,6,12,0,0,2.8843,0.4820,0.3523,0.4967,1
264,1,13,1,0,3.1330,0.4960,0.4448,0.5240,0
265,2,14,0,0,2.0067,0.6551,0.5026,0.5004,0
266,3,15,1,1,2.3192,0.2864,0.5898,0.6251,0
267,4,16,0,1,2.4851,0.4559,0.3365,0.6141,0
268,5,17,1,0,3.0545,0.3374,0.4806,0.4978,0
269,6,18,0,0,2.8821,0.4001,0.3493,0.4900,0
270,1,1,1,0,2.4088,0.5083,0.3624,0.5949,1
271,2,2,0,0,2.8190,0.5444,0.4406,0.6806,0
272,3,3,1,1,2.6907,0.6821,0.7590,0.6301,1
273,4,4,0,1,2.7846,0.3792,0.3965,0.5926,1
274,5,5,1,0,2.7387,0.3398,0.4951,0.4866,1
275,6,6,0,0,2.1889,0.2846,0.3796,0.4837,0
276,1,7,1,0,2.3815,0.4633,0.4563,0.5290,0
277,2,8,0,0,2.5394,0.5095,0.3040,0.4545,0
278,3,9,1,1,3.0150,0.5643,0.5807,0.6247,1
279,4,10,0,1,3.1677,0.6119,0.3094,0.6043,0
280,5,11,1,0,2.1811,0.2531,0.4439,0.5516,1
281,6,12,0,0,2.1135,0.3428,0.4976,0.5542,0
282,1,13,1,0,2.7191,0.3583,0.4121,0.4240,0
283,2,14,0,0,2.6823,0.5132,0.3978,0.4434,1
284,3,15,1,1,3.0790,0.4750,0.6123,0.5894,1
285,4,16,0,1,2.3308,0.5302,0.3221,0.7251,0
286,5,17,1,0,2.5690,0.6924,0.4943,0.5329,1
287,6,18,0,0,2.5302,0.2080,0.3497,0.5225,0
288,1,1,1,0,2.9328,0.3185,0.4400,0.5416,0
289,2,2,0,0,3.0579,0.4304,0.4888,0.5096,0
290,3,3,1,1,2.3218,0.4153,0.6582,0.5978,1
291,4,4,0,1,2.5908,0.5694,0.3206,0.6181,0
292,5,5,1,0,2.9664,0.6921,0.5227,0.6019,0
293,6,6,0,0,2.9534,0.5681,0.4113,0.4759,0
294,1,7,1,0,3.0214,0.2755,0.4549,0.5668,0
295,2,8,0,0,2.2725,0.3850,0.4874,0.4175,0
296,3,9,1,1,2.7051,0.3951,0.7031,0.6185,1
297,4,10,0,1,2.7054,0.5245,0.2098,0.6593,1
298,5,11,1,0,3.2536,0.4785,0.2508,0.4804,0
299,6,12,0,0,2.9853,0.6168,0.4894,0.5857,0
300,1,13,1,0,2.3812,0.6162,0.5221,0.4670,0
301,2,14,0,0,2.3509,0.2198,0.2961,0.5231,0
302,3,15,1,1,2.5907,0.3519,0.7265,0.5576,0
303,4,16,0,1,2.5631,0.4086,0.2573,0.5771,1
304,5,17,1,0,3.0434,0.4756,0.4615,0.4466,1
305,6,18,0,0,1.9140,0.4485,0.4315,0.6528,1
306,1,1,1,0,2.9664,0.6412,0.4497,0.4382,0
307,2,2,0,0,2.4343,0.5719,0.3652,0.3505,0
308,3,3,1,1,2.7131,0.3037,0.8417,0.5922,1
309,4,4,0,1,3.0583,0.3990,0.2805,0.7144,0
310,5,5,1,0,2.5364,0.3827,0.4865,0.5282,1
311,6,6,0,0,2.6603,0.3676,0.4670,0.3410,0
312,1,7,1,0,2.5464,0.4348,0.4405,0.5627,0
313,2,8,0,0,2.7506,0.5223,0.2553,0.5773,0
314,3,9,1,1,3.0630,0.5712,0.5386,0.6124,1
315,4,10,0,1,2.2808,0.3236,0.2156,0.5736,0
316,5,11,1,0,2.5031,0.3317,0.4802,0.5271,1
317,6,12,0,0,2.6789,0.3717,0.3506,0.5711,0
318,1,13,1,0,2.8750,0.4322,0.3573,0.5358,0
319,2,14,0,0,2.7415,0.4889,0.3455,0.4804,0
320,3,15,1,1,2.3777,0.5354,0.6973,0.6867,0
321,4,16,0,1,2.0954,0.6786,0.4045,0.6249,0
322,5,17,1,0,2.6884,0.2516,0.4277,0.5609,1
323,6,18,0,0,3.0457,0.3114,0.3461,0.5410,1
324,1,1,1,0,3.2039,0.4413,0.5422,0.5303,0
325,2,2,0,0,2.4066,0.4380,0.1856,0.5286,0
326,3,3,1,1,2.6085,0.4375,0.6461,0.5706,1
327,4,4,0,1,2.5598,0.5615,0.2886,0.6467,1
328,5,5,1,0,2.9717,0.6731,0.4948,0.5552,1
329,6,6,0,0,3.1032,0.2420,0.4382,0.4675,1
330,1,7,1,0,2.0293,0.3003,0.4479,0.5270,0
331,2,8,0,0,2.1966,0.5075,0.3315,0.5738,1
332,3,9,1,1,2.5590,0.4994,0.7457,0.6211,1
333,4,10,0,1,2.3623,0.4906,0.3044,0.5105,0
334,5,11,1,0,3.0944,0.5289,0.5960,0.5903,1
335,6,12,0,0,2.2829,0.5619,0.2245,0.5325,0
336,1,13,1,0,2.4565,0.3317,0.4630,0.5860,0
337,2,14,0,0,2.6295,0.2338,0.2855,0.5355,0
338,3,15,1,1,2.9759,0.4327,0.6664,0.6047,1
339,4,16,0,1,3.2727,0.4298,0.1828,0.5111,0
340,5,17,1,0,2.2286,0.4128,0.4755,0.5623,0
341,6,18,0,0,2.3422,0.5252,0.3956,0.5709,0
342,1,1,1,0,2.6817,0.7157,0.4153,0.4935,0
343,2,2,0,0,2.8938,0.1978,0.2999,0.5774,0
344,3,3,1,1,3.1197,0.3311,0.7722,0.5373,1
345,4,4,0,1,1.9425,0.3897,0.2512,0.6180,1
346,5,5,1,0,2.3130,0.3535,0.4024,0.4832,0
347,6,6,0,0,2.6726,0.5178,0.3350,0.6049,0
348,1,7,1,0,2.7617,0.5083,0.4116,0.6280,0
349,2,8,0,0,2.7270,0.6033,0.3987,0.4873,0
350,3,9,1,1,2.3597,0.2405,0.6173,0.5785,0
351,4,10,0,1,2.4688,0.4078,0.2498,0.7016,1
352,5,11,1,0,2.9716,0.3622,0.4989,0.4264,1
353,6,12,0,0,3.0891,0.4340,0.3736,0.5835,0
354,1,13,1,0,2.9942,0.4907,0.3039,0.4491,1
355,2,14,0,0,2.1562,0.6285,0.2572,0.5475,0
356,3,15,1,1,2.3424,0.6095,0.7063,0.5042,1
357,4,16,0,1,2.9629,0.2774,0.2381,0.6190,0
358,5,17,1,0,2.7781,0.2933,0.3994,0.4605,0
359,6,18,0,0,2.9937,0.4448,0.2837,0.5983,0
360,1,1,1,0,2.0024,0.4222,0.5610,0.4042,0
361,2,2,0,0,2.5030,0.4736,0.3898,0.5278,1
362,3,3,1,1,2.4929,0.5142,0.7832,0.6554,1
363,4,4,0,1,2.9631,0.5290,0.3435,0.5716,1
364,5,5,1,0,2.7166,0.2168,0.4114,0.5178,0
365,6,6,0,0,2.3863,0.3483,0.3813,0.4666,0
366,1,7,1,0,2.2638,0.4593,0.4570,0.5013,1
367,2,8,0,0,2.8078,0.3410,0.3902,0.4971,0
368,3,9,1,1,2.5603,0.5154,0.8035,0.5824,1
369,4,10,0,1,3.1265,0.7003,0.3759,0.5775,1
370,5,11,1,0,2.3211,0.6415,0.5167,0.6316,0
371,6,12,0,0,2.3176,0.2218,0.3086,0.5315,1
372,1,13,1,0,2.7883,0.3330,0.4191,0.5022,0
373,2,14,0,0,2.9526,0.3829,0.4209,0.4862,0
374,3,15,1,1,3.4555,0.4092,0.8246,0.5510,1
375,4,16,0,1,2.1904,0.4687,0.3156,0.6137,0
376,5,17,1,0,2.7068,0.4791,0.4347,0.5073,0
377,6,18,0,0,2.9269,0.6052,0.2824,0.5695,0
378,1,1,1,0,2.8230,0.2024,0.4069,0.5254,1
379,2,2,0,0,3.2063,0.3742,0.2800,0.5139,0
380,3,3,1,1,2.2126,0.4670,0.7580,0.5878,1
381,4,4,0,1,2.5789,0.4548,0.2957,0.6284,1
382,5,5,1,0,2.7120,0.6505,0.4578,0.5577,0
383,6,6,0,0,2.7331,0.4767,0.4061,0.4932,0
384,1,7,1,0,3.0913,0.5671,0.4361,0.4986,1
385,2,8,0,0,2.0849,0.2010,0.4396,0.4367,0
386,3,9,1,1,2.5862,0.3740,0.9250,0.6597,0
387,4,10,0,1,2.7994,0.3917,0.3870,0.6128,0
388,5,11,1,0,2.6990,0.5022,0.3583,0.4780,1
389,6,12,0,0,3.0787,0.4909,0.3791,0.5715,0
390,1,13,1,0,2.0280,0.6373,0.5120,0.4457,0
391,2,14,0,0,2.4517,0.6403,0.2871,0.5894,0
392,3,15,1,1,2.8328,0.4143,0.6265,0.5733,0
393,4,16,0,1,2.7976,0.3099,0.2464,0.6367,0
394,5,17,1,0,3.1604,0.3570,0.4410,0.6463,1
395,6,18,0,0,2.1265,0.4209,0.1687,0.4884,0
396,1,1,1,0,2.2989,0.6039,0.3647,0.6398,1
397,2,2,0,0,2.3120,0.5031,0.2113,0.5639,0
398,3,3,1,1,2.7474,0.5724,0.7769,0.5557,1
399,4,4,0,1,3.2225,0.3003,0.4363,0.5759,0
400,5,5,1,0,2.2277,0.4117,0.4820,0.5248,0
401,6,6,0,0,2.5960,0.4113,0.2504,0.5228,0
402,1,7,1,0,2.8414,0.5629,0.4272,0.5777,1
403,2,8,0,0,3.0029,0.5030,0.3341,0.5395,1
404,3,9,1,1,3.0626,0.5353,0.5235,0.6529,1
405,4,10,0,1,2.2946,0.7531,0.4988,0.6675,0
406,5,11,1,0,2.3231,0.3105,0.4503,0.5495,0
407,6,12,0,0,2.9089,0.2911,0.3198,0.5032,0
408,1,13,1,0,3.1751,0.3613,0.3072,0.5665,1
409,2,14,0,0,3.2621,0.4003,0.4013,0.5044,0
410,3,15,1,1,2.0828,0.5180,0.6672,0.7342,1
411,4,16,0,1,2.5748,0.5561,0.2970,0.5669,0
412,5,17,1,0,2.3100,0.6043,0.5240,0.4879,0
413,6,18,0,0,3.0221,0.1249,0.3466,0.4351,1
414,1,1,1,0,3.2562,0.4087,0.5303,0.5496,0
415,2,2,0,0,2.2697,0.5026,0.2931,0.5006,0
416,3,3,1,1,2.4709,0.3691,0.7422,0.6002,0
417,4,4,0,1,2.8402,0.4122,0.2616,0.6746,0
418,5,5,1,0,2.6988,0.4821,0.3518,0.6034,0
419,6,6,0,0,3.2206,0.5630,0.3953,0.5325,1
420,1,7,1,0,2.3769,0.3589,0.5565,0.4758,0
421,2,8,0,0,2.5663,0.3954,0.2099,0.5745,0
422,3,9,1,1,2.5036,0.3475,0.6180,0.6431,1
423,4,10,0,1,2.9769,0.3806,0.3553,0.6618,1
424,5,11,1,0,3.3977,0.5753,0.6079,0.4869,1
425,6,12,0,0,2.3766,0.5010,0.2279,0.5909,1
426,1,13,1,0,2.6426,0.6471,0.3701,0.4853,0
427,2,14,0,0,2.6385,0.3163,0.2818,0.4910,0
428,3,15,1,1,2.9869,0.3217,0.5944,0.6028,1
429,4,16,0,1,2.9201,0.3614,0.4029,0.5712,1
430,5,17,1,0,1.9185,0.3044,0.4839,0.4677,0
431,6,18,0,0,2.6561,0.4316,0.4263,0.4744,1
432,1,1,1,0,3.0059,0.5821,0.4465,0.4897,0
433,2,2,0,0,3.0336,0.6987,0.4074,0.4228,0
434,3,3,1,1,3.0095,0.2229,0.8697,0.5504,1
