worker_i,worker_j,linked,predicted_link_probability,same_group,same_occupation,skill_distance,geo_distance,referral_opportunity
W001,W050,0,0.14469611731084758,1,0,0.0956,5,0.5798
W001,W051,0,0.19451717083831593,1,0,0.0977,2,0.5216
W001,W052,0,0.341578752703584,1,1,0.3836,3,0.5441
W001,W053,1,0.18151563384643138,0,1,0.1345,2,0.5597
W001,W054,1,0.21365810776120395,1,0,0.7498,4,0.6511
W001,W055,0,0.21116590095828588,1,0,0.0148,1,0.5305
W001,W056,0,0.014691263810769186,0,0,0.6409,6,0.5501
W001,W057,0,0.19792012412726248,1,0,0.2871,1,0.5894
W001,W058,0,0.1986030521016107,1,0,0.8633,5,0.6133
W001,W059,0,0.13529035075820178,1,0,0.0839,6,0.52
W001,W060,0,0.22247596252856444,1,0,0.2297,0,0.4984
W001,W061,0,0.18630626446720133,0,1,0.0241,2,0.5425
W001,W062,0,0.1084536307207236,0,1,1.2447,5,0.5028
W001,W063,0,0.0856742264994264,0,0,0.2147,2,0.5677
W001,W064,0,0.14997179996742227,1,0,0.4483,4,0.5698
W001,W065,0,0.2303706818884526,1,0,0.7429,3,0.6331
W001,W066,0,0.12252688621966905,0,0,0.1675,0,0.5037
W001,W067,0,0.11368941996775905,1,0,0.931,6,0.4773
W001,W068,1,0.38542014394197466,1,1,0.2829,0,0.5902
W001,W069,0,0.2141243396406502,1,1,1.3359,4,0.5938
W001,W070,0,0.22411282521197154,1,0,0.0349,0,0.5466
W001,W071,1,0.1330887607453774,1,0,2.0305,2,0.5641
W001,W072,0,0.02207605134334358,0,0,0.5584,6,0.4934
W002,W003,0,0.22120583048945947,1,1,0.1762,6,0.567
W002,W004,0,0.20527210080531946,1,0,0.0715,1,0.5789
W002,W005,0,0.21221685654245137,1,0,2.0164,2,0.5761
W002,W006,0,0.18967897222946123,1,0,0.7143,1,0.5373
W002,W007,0,0.09021683501553514,0,0,0.6541,1,0.5363
W002,W008,0,0.05226362266220139,0,0,0.515,4,0.5049
W002,W009,0,0.2797359494151783,1,1,0.7554,1,0.5542
W002,W010,0,0.03419355756760699,0,0,2.5849,1,0.5172
W002,W011,0,0.13970466121102834,1,0,1.5798,3,0.4708
W002,W012,0,0.2639836334418401,1,0,0.6592,1,0.619
W002,W013,0,0.08203093579506923,0,1,1.0485,7,0.5304
W002,W014,0,0.1812646798323553,1,0,0.8057,1,0.6028
W002,W015,0,0.16077069907030792,1,0,1.4891,1,0.6037
W002,W016,0,0.10812878972516407,0,0,0.2166,1,0.4805
W002,W017,0,0.26891883124630084,1,1,1.2026,1,0.5249
W002,W018,0,0.033922648248353206,0,0,1.6321,3,0.5039
W002,W019,0,0.293222623062311,1,1,0.6883,0,0.5941
W002,W020,1,0.01,0,0,1.6929,5,0.4782
W002,W021,0,0.18545887579302106,1,0,0.6944,6,0.6507
W002,W022,0,0.2584315444204947,1,0,0.6789,1,0.6762
W002,W023,0,0.26317610822686555,1,1,0.1544,3,0.6075
W002,W024,0,0.12552737410338347,1,0,1.1736,4,0.6018
W002,W025,0,0.13395245922617433,1,0,1.1318,4,0.5191
W002,W026,0,0.14685145505736444,0,1,0.8524,3,0.5398
W002,W027,1,0.1660109572955694,1,0,0.389,3,0.5776
W002,W028,1,0.2415177924896094,1,1,1.1504,3,0.5142
W002,W029,0,0.05777582058568964,0,0,0.6367,3,0.5717
W002,W030,0,0.15912238234785156,1,0,0.0412,4,0.6045
W002,W031,0,0.22248236985720424,1,1,0.6953,5,0.5458
W002,W032,0,0.19549834221898874,0,1,0.9412,5,0.5232
W002,W033,0,0.05802298387584684,0,0,0.8396,3,0.499
W002,W034,0,0.11881192957544297,1,0,0.8275,6,0.4539
W002,W035,0,0.01123008443096686,0,0,0.1897,7,0.5731
W002,W036,0,0.045712244458136285,0,0,1.1294,3,0.5411
W002,W037,0,0.0714877742087896,0,0,1.8083,0,0.527
W002,W038,0,0.08133478371232929,0,0,0.4471,2,0.5377
W002,W039,0,0.12201462838737458,1,0,1.2859,5,0.4314
W002,W040,0,0.12442877373372381,1,0,0.7139,5,0.6005
W002,W041,1,0.06001508904946505,0,0,0.2015,4,0.5235
W002,W042,0,0.07589433937407754,0,0,0.5351,2,0.5701
W002,W043,0,0.12294378941830585,1,0,1.7809,4,0.4225
W002,W044,1,0.29293790011152615,1,1,1.3454,4,0.6013
W002,W045,0,0.10552898946887929,0,0,0.4251,0,0.6109
W002,W046,0,0.045862969846349556,0,0,0.9248,3,0.6098
W002,W047,0,0.15551892548075766,0,1,1.2185,2,0.4861
W002,W048,0,0.14476453137273376,1,0,0.1241,5,0.5692
W002,W049,1,0.2747868635255405,1,1,1.559,0,0.5068
W002,W050,1,0.19762831489724636,1,1,0.8841,6,0.595
W002,W051,0,0.15482353136883745,1,0,0.882,3,0.5368
W002,W052,0,0.20329642840410966,1,0,1.3633,4,0.5593
W002,W053,0,0.07313094824890512,0,0,1.1142,1,0.5748
W002,W054,1,0.3056774297346606,1,1,0.2299,5,0.6663
W002,W055,0,0.19552384558886446,1,0,0.9945,0,0.5457
W002,W056,0,0.01,0,0,0.3388,7,0.5653
W002,W057,0,0.16955142844691629,1,0,0.6926,2,0.6045
W002,W058,0,0.153080713175278,1,0,1.843,6,0.6284
W002,W059,0,0.182510642059974,1,1,1.0636,7,0.5352
W002,W060,0,0.283429040959118,1,1,0.75,1,0.5135
W002,W061,0,0.07935282746305106,0,0,0.9556,1,0.5577
W002,W062,0,0.01,0,0,2.2244,6,0.5179
W002,W063,0,0.14572240775213305,0,1,0.765,3,0.5829
W002,W064,0,0.131225800073154,1,0,0.5314,5,0.585
W002,W065,1,0.32198642041597664,1,1,0.2368,4,0.6482
W002,W066,0,0.08700365531365228,0,0,0.8122,1,0.5189
W002,W067,0,0.06815840346890799,1,0,1.9107,7,0.4925
W002,W068,0,0.2640405213989948,1,0,0.6968,1,0.6054
W002,W069,0,0.134377105163861,1,0,0.3562,5,0.609
W002,W070,0,0.2734183207954746,1,1,0.9448,1,0.5618
W002,W071,0,0.14609283406921145,1,0,1.0508,3,0.5793
W002,W072,0,0.01,0,0,0.4213,7,0.5086
W003,W004,0,0.1152034759850502,1,0,0.1047,7,0.5721
W003,W005,0,0.17765417386230914,1,0,2.1926,4,0.5693
W003,W006,0,0.12522732841988934,1,0,0.8905,5,0.5305
W003,W007,0,0.025765191205963274,0,0,0.8303,5,0.5295
W003,W008,0,0.07748753981343684,0,0,0.6912,2,0.498
W003,W009,0,0.1853953444761768,1,1,0.9316,7,0.5474
W003,W010,0,0.01,0,0,2.7611,7,0.5104
W003,W011,0,0.13503093966031576,1,0,1.756,3,0.464
W003,W012,1,0.169651706075357,1,0,0.8354,7,0.6121
W003,W013,0,0.16702409763264559,0,1,1.2247,1,0.5236
W003,W014,0,0.1168217135953018,1,0,0.9819,5,0.5959
W003,W015,0,0.06643877170382481,1,0,1.6653,7,0.5968
W003,W016,0,0.013788184786162545,0,0,0.3928,7,0.4737
W003,W017,0,0.1745869038798177,1,1,1.3788,7,0.518
W003,W018,0,0.029257604270158995,0,0,1.8083,3,0.497
W003,W019,0,0.19888201812330947,1,1,0.8645,6,0.5873
W003,W020,0,0.05955168556416149,0,0,1.8691,1,0.4714
W003,W021,0,0.2809796305945222,1,0,0.5182,0,0.6439
W003,W022,0,0.19397990061092288,1,0,0.8551,5,0.6694
W003,W023,1,0.258502386676153,1,1,0.3306,3,0.6007
W003,W024,0,0.15074261368210057,1,0,1.3498,2,0.595
W003,W025,0,0.15917637637740975,1,0,1.308,2,0.5122
W003,W026,0,0.14217773350665186,0,1,1.0286,3,0.533
W003,W027,0,0.16133723574485678,1,0,0.5652,3,0.5708
W003,W028,0,0.23685274851141516,1,1,1.3266,3,0.5073
W003,W029,0,0.05310209903497705,0,0,0.8129,3,0.5649
W003,W030,0,0.1867992384425374,1,0,0.135,2,0.5977
W003,W031,0,0.27758657056535097,1,1,0.8715,1,0.539
W003,W032,0,0.2506025429271354,0,1,1.1174,1,0.5164
W003,W033,0,0.05335793989765263,0,0,1.0158,3,0.4921
W003,W034,0,0.2038050914130193,1,0,1.0037,0,0.4471
W003,W035,0,0.0962232462685432,0,0,0.3659,1,0.5663
W003,W036,0,0.0410385229074237,0,0,1.3056,3,0.5343
W003,W037,0,0.01,0,0,1.9845,6,0.5202
W003,W038,0,0.05729969399611183,0,0,0.2709,4,0.5309
W003,W039,0,0.17712750666803964,1,0,1.4621,1,0.4245
W003,W040,0,0.17953297444187047,1,0,0.8901,1,0.5937
W003,W041,0,0.08523032862818207,0,0,0.3777,2,0.5167
W003,W042,0,0.041331656693935286,0,0,0.7113,4,0.5633
W003,W043,1,0.14815902899702288,1,0,1.9571,2,0.4157
W003,W044,1,0.3181531396902433,1,1,1.5216,2,0.5945
W003,W045,0,0.01119706210239615,0,0,0.6013,6,0.604
W003,W046,0,0.041189248295636964,0,0,1.101,3,0.603
W003,W047,0,0.1209562428006154,0,1,1.3947,4,0.4793
W003,W048,0,0.1998687320808805,1,0,0.3003,1,0.5624
W003,W049,0,0.18044625858653895,1,1,1.7352,6,0.5
W003,W050,1,0.28263015430734106,1,1,1.0603,0,0.5881
W003,W051,1,0.15014980981812487,1,0,1.0582,3,0.53
W003,W052,0,0.22852034555534514,1,0,1.5395,2,0.5524
W003,W053,0,0.01,0,0,1.2904,7,0.568
W003,W054,0,0.3607903080153257,1,1,0.4061,1,0.6594
W003,W055,0,0.10118324064986299,1,0,1.1707,6,0.5389
W003,W056,0,0.09244588548649442,0,0,0.515,1,0.5585
W003,W057,0,0.13498874576677403,1,0,0.8688,4,0.5977
W003,W058,1,0.23807387501285432,1,0,2.0192,0,0.6216
W003,W059,1,0.26751248147006873,1,1,1.2398,1,0.5283
W003,W060,1,0.21897739714954603,1,1,0.9262,5,0.5067
W003,W061,0,0.01,0,0,1.1318,7,0.5509
W003,W062,1,0.055173145831344035,0,0,2.4006,0,0.5111
W003,W063,0,0.14105736377393885,0,1,0.9412,3,0.576
W003,W064,0,0.18633867835381906,1,0,0.7076,1,0.5781
W003,W065,0,0.34720165999469366,1,1,0.413,2,0.6414
W003,W066,0,0.022560689076598788,0,0,0.9884,5,0.512
W003,W067,0,0.15315156530648433,1,0,2.0869,1,0.4857
W003,W068,0,0.19959755516194128,1,0,0.873,5,0.5985
W003,W069,0,0.2000175764084509,1,0,0.18,1,0.6021
W003,W070,0,0.2089666769859027,1,1,1.121,5,0.555
W003,W071,0,0.15195538305494202,1,0,0.8746,3,0.5724
W003,W072,1,0.0949101427622808,0,0,0.5975,1,0.5017
W004,W005,0,0.19468515214741466,1,0,2.0879,3,0.5813
W004,W006,0,0.26490725320756614,1,1,0.7858,2,0.5424
W004,W007,0,0.16543643842112168,0,1,0.7256,2,0.5415
W004,W008,0,0.12749190364030635,0,1,0.5865,5,0.51
W004,W009,0,0.19934189834894805,1,0,0.8269,0,0.5594
W004,W010,0,0.046559491874518334,0,0,2.6564,0,0.5223
W004,W011,0,0.12218163438851005,1,0,1.6513,4,0.4759
W004,W012,1,0.2763495677487515,1,0,0.7307,0,0.6241
W004,W013,0,0.01,0,0,1.12,8,0.5356
W004,W014,0,0.16374165300983698,1,0,0.8772,2,0.6079
W004,W015,1,0.2658879411778425,1,1,1.5606,0,0.6088
W004,W016,0,0.1204947240320754,0,0,0.2881,0,0.4856
W004,W017,0,0.18853345775258898,1,0,1.2741,0,0.53
W004,W018,0,0.10915092922645815,0,1,1.7036,4,0.509
W004,W019,0,0.18294828843916947,1,0,0.7598,1,0.5992
W004,W020,0,0.07967576583411973,0,1,1.7644,6,0.4833
W004,W021,1,0.26495045931733985,1,1,0.6229,7,0.6559
W004,W022,0,0.24090851759797643,1,0,0.7504,2,0.6813
W004,W023,1,0.15290177360372403,1,0,0.2259,4,0.6126
W004,W024,0,0.10799566970834679,1,0,1.2451,5,0.607
W004,W025,0,0.2091807402042792,1,1,1.2033,5,0.5242
W004,W026,0,0.036568442861704506,0,0,0.9239,4,0.545
W004,W027,0,0.14848793047305106,1,0,0.4605,4,0.5827
W004,W028,0,0.1312434578664678,1,0,1.2219,4,0.5193
W004,W029,0,0.04024411619065297,0,0,0.7082,4,0.5769
W004,W030,1,0.14405229446878368,1,0,0.0303,5,0.6097
W004,W031,0,0.11219935766154435,1,0,0.7668,6,0.551
W004,W032,0,0.0852153300233288,0,0,1.0127,6,0.5284
W004,W033,0,0.13325126485395178,0,1,0.9111,4,0.5041
W004,W034,0,0.10128022518040629,1,0,0.899,7,0.4591
W004,W035,1,0.0864583654090718,0,1,0.2612,8,0.5782
W004,W036,0,0.02818921763561799,0,0,1.2009,4,0.5462
W004,W037,0,0.05395606981375292,0,0,1.8798,1,0.5322
W004,W038,0,0.16082636723664803,0,1,0.3756,3,0.5429
W004,W039,1,0.10449160156485628,1,0,1.3574,6,0.4365
W004,W040,0,0.10689706933868708,1,0,0.7854,6,0.6057
W004,W041,0,0.13523469245505162,0,1,0.273,5,0.5287
W004,W042,0,0.05836263497904083,0,0,0.6066,3,0.5753
W004,W043,0,0.10541208502326917,1,0,1.8524,5,0.4277
W004,W044,0,0.18266356548838464,1,0,1.4169,5,0.6064
W004,W045,0,0.08800596264636099,0,0,0.4966,1,0.616
W004,W046,0,0.02833994302383126,0,0,0.9963,4,0.6149
W004,W047,0,0.045244590857616084,0,0,1.29,3,0.4912
W004,W048,1,0.12724150455021546,1,0,0.1956,6,0.5743
W004,W049,1,0.16450385132988055,1,0,1.6305,1,0.512
W004,W050,0,0.08735398027410482,1,0,0.9556,7,0.6001
W004,W051,0,0.23005181234694233,1,1,0.9535,4,0.5419
W004,W052,0,0.1857734015815914,1,0,1.4348,5,0.5644
W004,W053,0,0.0854882049832981,0,0,1.1857,0,0.58
W004,W054,0,0.1954030951115191,1,0,0.3014,6,0.6714
W004,W055,0,0.1780008187663462,1,0,1.066,1,0.5508
W004,W056,1,0.01,0,0,0.4103,8,0.5704
W004,W057,0,0.24477103185250282,1,1,0.7641,3,0.6097
W004,W058,1,0.22830031658086455,1,1,1.9145,7,0.6336
W004,W059,0,0.07223630743683243,1,0,1.1351,8,0.5403
W004,W060,0,0.173146028763458,1,0,0.8215,2,0.5187
W004,W061,0,0.09171876176996241,0,0,1.0271,0,0.5628
W004,W062,0,0.01,0,0,2.2959,7,0.5231
W004,W063,0,0.035448073128991515,0,0,0.8365,4,0.588
W004,W064,0,0.11370277325063564,1,0,0.6029,6,0.5901
W004,W065,0,0.21170340822031666,1,0,0.3083,5,0.6534
W004,W066,0,0.06948062849113397,0,0,0.8837,2,0.524
W004,W067,0,0.14338668444701294,1,1,1.9822,8,0.4976
W004,W068,0,0.24651749457647648,1,0,0.7683,2,0.6105
W004,W069,0,0.12112605846007492,1,0,0.2847,6,0.6141
W004,W070,0,0.16314398617233306,1,0,1.0163,2,0.5669
W004,W071,0,0.1328417873654254,1,0,0.9793,4,0.5844
W004,W072,0,0.01,0,0,0.4928,8,0.5137
W005,W006,1,0.25166763987924495,1,0,1.3021,1,0.5396
W005,W007,0,0.14859999707674904,0,0,1.3623,1,0.5387
W005,W008,0,0.13223348028528417,0,0,1.5014,2,0.5072
W005,W009,0,0.22153131228099074,1,0,1.261,3,0.5566
W005,W010,0,0.23684240842846213,0,1,0.5685,3,0.5195
W005,W011,0,0.3760367914457978,1,1,0.4366,1,0.4732
W005,W012,0,0.21303436775466095,1,0,1.3572,3,0.6214
W005,W013,0,0.10111635200785876,0,0,0.9679,5,0.5328
W005,W014,0,0.34145694250537856,1,1,1.2107,1,0.6052
W005,W015,0,0.23916313560456054,1,0,0.5273,3,0.606
W005,W016,0,0.20323455996882525,0,1,1.7998,3,0.4829
W005,W017,0,0.237442165518157,1,0,0.8138,3,0.5272
W005,W018,0,0.18063696727892967,0,0,0.3843,1,0.5062
W005,W019,0,0.23101757446613927,1,0,1.3281,2,0.5964
W005,W020,0,0.15478580311433746,0,0,0.3235,3,0.4806
W005,W021,0,0.15490166810920047,1,0,2.7108,4,0.6531
W005,W022,1,0.23855695251692824,1,0,1.3375,1,0.6785
W005,W023,0,0.22884086116471097,1,0,1.862,1,0.6099
W005,W024,0,0.33758987742585866,1,1,0.8428,2,0.6042
W005,W025,1,0.2507748670203627,1,0,0.8846,2,0.5214
W005,W026,1,0.15422029362982675,0,0,1.164,1,0.5422
W005,W027,1,0.3312038780345165,1,1,1.6274,1,0.5799
W005,W028,0,0.2666915272212634,1,0,0.866,1,0.5166
W005,W029,0,0.14500832903415217,0,0,1.3797,1,0.5741
W005,W030,0,0.2083133559488061,1,0,2.0576,2,0.6069
W005,W031,0,0.22046480176319333,1,0,1.3211,3,0.5482
W005,W032,1,0.1284246195702203,0,0,1.0752,3,0.5256
W005,W033,0,0.15738703375823718,0,0,1.1768,1,0.5013
W005,W034,1,0.2174443514036833,1,0,1.1889,4,0.4563
W005,W035,0,0.07175524864064177,0,0,1.8267,5,0.5755
W005,W036,0,0.25514256491609544,0,1,0.887,1,0.5434
W005,W037,0,0.2617030717450548,0,1,0.2081,2,0.5293
W005,W038,0,0.13052575731328378,0,0,2.4635,0,0.5401
W005,W039,0,0.24804419892697055,1,0,0.7305,3,0.4337
W005,W040,0,0.309033811124085,1,1,1.3025,3,0.6028
W005,W041,0,0.12124527934866498,0,0,1.8149,2,0.5259
W005,W042,0,0.24980776149640532,0,1,1.4813,0,0.5725
W005,W043,1,0.3712912371618453,1,1,0.2355,2,0.4249
W005,W044,0,0.2500143084276749,1,0,0.671,2,0.6037
W005,W045,0,0.21310088979912425,0,1,1.5913,2,0.6132
W005,W046,1,0.24306885488762867,0,1,1.0916,1,0.6121
W005,W047,0,0.1847701747931212,0,0,0.7979,0,0.4884
W005,W048,0,0.20137022850843894,1,0,1.8923,3,0.5716
W005,W049,1,0.26460437562000044,1,0,0.4574,2,0.5091
W005,W050,0,0.20689116423563617,1,0,1.1323,4,0.5974
W005,W051,0,0.2567122177631045,1,0,1.1344,1,0.5392
W005,W052,0,0.3469536186230486,1,1,0.6531,2,0.5616
W005,W053,0,0.22186649967542038,0,1,0.9022,3,0.5772
W005,W054,0,0.19611365097373576,1,0,1.7865,3,0.6686
W005,W055,0,0.24436493433675388,1,0,1.0219,2,0.548
W005,W056,0,0.07689498830807613,0,0,1.6776,5,0.5676
W005,W057,0,0.2601238486245695,1,0,1.3238,0,0.6069
W005,W058,0,0.2326390209994789,1,0,0.1734,4,0.6308
W005,W059,0,0.20250693024797917,1,0,0.9528,5,0.5375
W005,W060,1,0.25479072589644175,1,0,1.2664,1,0.5159
W005,W061,0,0.21862102783507864,0,1,1.0608,3,0.56
W005,W062,0,0.2326067571134821,0,1,0.208,4,0.5202
W005,W063,0,0.147869273424215,0,0,1.2514,1,0.5853
W005,W064,1,0.21216684689221077,1,0,1.485,3,0.5874
W005,W065,0,0.21282622510098448,1,0,1.7796,2,0.6506
W005,W066,0,0.15484164958754634,0,0,1.2042,1,0.5212
W005,W067,0,0.23150983039659967,1,0,0.1057,5,0.4949
W005,W068,0,0.3379867260250768,1,1,1.3196,1,0.6077
W005,W069,0,0.27631938656543875,1,1,2.3726,3,0.6114
W005,W070,0,0.2564275885798489,1,0,1.0716,1,0.5641
W005,W071,0,0.19529248524268436,1,0,3.0672,1,0.5816
W005,W072,0,0.08427977584065052,0,0,1.5951,5,0.5109
W006,W007,0,0.21881342056438213,0,1,0.0602,0,0.4999
W006,W008,0,0.17255794264348762,0,1,0.1993,3,0.4684
W006,W009,0,0.19654646382191907,1,0,0.0411,2,0.5177
W006,W010,0,0.04375537977497094,0,0,1.8706,2,0.4807
W006,W011,1,0.17915544454782192,1,0,0.8655,2,0.4343
W006,W012,1,0.2702533422989643,1,0,0.0551,2,0.5825
W006,W013,0,0.028721733758721207,0,0,0.3342,6,0.494
W006,W014,0,0.22071546316914886,1,0,0.0914,0,0.5663
W006,W015,1,0.26308382907829514,1,1,0.7748,2,0.5672
W006,W016,0,0.08795404542773022,0,0,0.4977,2,0.444
W006,W017,1,0.1857293456530416,1,0,0.4883,2,0.4884
W006,W018,0,0.16612473938577005,0,1,0.9178,2,0.4674
W006,W019,0,0.20847969015314907,1,0,0.026,1,0.5576
W006,W020,0,0.13664957599343164,0,1,0.9786,4,0.4417
W006,W021,1,0.2749829893246974,1,1,1.4087,5,0.6142
W006,W022,0,0.2957672494887132,1,0,0.0354,0,0.6397
W006,W023,0,0.17642269329480953,1,0,0.5599,2,0.571
W006,W024,0,0.16496947986765867,1,0,0.4593,3,0.5654
W006,W025,0,0.26615455036359115,1,1,0.4175,3,0.4826
W006,W026,0,0.09355093059353477,0,0,0.1381,2,0.5033
W006,W027,0,0.18602572479147347,1,0,0.3253,2,0.5411
W006,W028,0,0.1882172680257797,1,0,0.4361,2,0.4777
W006,W029,0,0.09258148359173238,0,0,0.0776,2,0.5353
W006,W030,0,0.15589518807890462,1,0,0.7555,3,0.568
W006,W031,0,0.1680466338932919,1,0,0.019,4,0.5093
W006,W032,0,0.1421891401826407,0,0,0.2269,4,0.4868
W006,W033,0,0.19022507501326366,0,1,0.1253,2,0.4625
W006,W034,0,0.15826271291223656,1,0,0.1132,5,0.4174
W006,W035,0,0.11208838857136356,0,1,0.5246,6,0.5366
W006,W036,0,0.0851630277949299,0,0,0.4151,2,0.5046
W006,W037,0,0.08104959641615356,0,0,1.094,1,0.4905
W006,W038,0,0.1708588972440056,0,1,1.1614,1,0.5012
W006,W039,0,0.16146541172416815,1,0,0.5716,4,0.3949
W006,W040,1,0.16385565788104195,1,0,0.0004,4,0.564
W006,W041,1,0.1615784192793868,0,1,0.5128,3,0.487
W006,W042,0,0.10463828582588067,0,0,0.1792,1,0.5336
W006,W043,0,0.16238589518258106,1,0,1.0666,3,0.3861
W006,W044,0,0.2396373756476965,1,0,0.6311,3,0.5648
W006,W045,0,0.09781169768551085,0,0,0.2892,1,0.5744
W006,W046,0,0.08531375318314313,0,0,0.2105,2,0.5733
W006,W047,0,0.102218401016928,0,0,0.5042,1,0.4496
W006,W048,0,0.14895206063853753,1,0,0.5902,4,0.5327
W006,W049,0,0.19159737793228118,1,0,0.8447,1,0.4703
W006,W050,0,0.14432779043341676,1,0,0.1698,5,0.5585
W006,W051,0,0.2870256225062543,1,1,0.1677,2,0.5003
W006,W052,1,0.24274721174090327,1,0,0.649,3,0.5228
W006,W053,0,0.08269277045626905,0,0,0.3999,2,0.5383
W006,W054,1,0.2234349868160911,1,0,0.4844,4,0.6298
W006,W055,0,0.20508566779622844,1,0,0.2802,1,0.5092
W006,W056,0,0.024468142865656316,0,0,0.3755,6,0.5288
W006,W057,0,0.3004569885552913,1,1,0.0217,1,0.568
W006,W058,0,0.2852828043126948,1,1,1.1287,5,0.5919
W006,W059,0,0.1292101175961443,1,0,0.3493,6,0.4987
W006,W060,0,0.23012851649528826,1,0,0.0357,0,0.477
W006,W061,0,0.08891464967041501,0,0,0.2413,2,0.5212
W006,W062,0,0.01,0,0,1.5101,5,0.4814
W006,W063,0,0.09242188328830339,0,0,0.0507,2,0.5464
W006,W064,0,0.1597486790223094,1,0,0.1829,4,0.5485
W006,W065,0,0.24014756094333975,1,0,0.4775,3,0.6118
W006,W066,1,0.12645443865044587,0,0,0.0979,0,0.4824
W006,W067,0,0.20036049460632482,1,1,1.1964,6,0.456
W006,W068,0,0.3024457151962386,1,0,0.0175,0,0.5689
W006,W069,1,0.1311499108949141,1,0,1.0705,4,0.5725
W006,W070,0,0.22011779633164494,1,0,0.2305,0,0.5253
W006,W071,0,0.14286563980026457,1,0,1.7651,2,0.5428
W006,W072,0,0.031852930398230735,0,0,0.293,6,0.4721
W007,W008,0,0.27579045932383284,1,1,0.1391,3,0.4674
W007,W009,0,0.0934788210194231,0,0,0.1013,2,0.5168
W007,W010,0,0.14338239086674623,1,0,1.9308,2,0.4798
W007,W011,0,0.076087801745326,0,0,0.9257,2,0.4334
W007,W012,0,0.17047781284670815,0,0,0.0051,2,0.5816
W007,W013,0,0.12835742242301484,1,0,0.3944,6,0.493
W007,W014,0,0.11764782036665294,0,0,0.1516,0,0.5654
W007,W015,0,0.16002486384831754,0,1,0.835,2,0.5662
W007,W016,1,0.1911865621080754,1,0,0.4375,2,0.443
W007,W017,0,0.08267038042306404,0,0,0.5485,2,0.4874
W007,W018,0,0.2657604280500637,1,1,0.978,2,0.4664
W007,W019,0,0.10697417223907417,0,0,0.0342,1,0.5566
W007,W020,1,0.23628526465772523,1,1,1.0388,4,0.4407
W007,W021,0,0.17551217453825294,0,1,1.3485,5,0.6133
W007,W022,0,0.1948233625273108,0,0,0.0248,0,0.6387
