county_id,pair_id,region_id,side,treated_policy_side,x_coord,y_coord,population_1990,baseline_log_wage,baseline_employment_rate,unemployment_rate_1990,manufacturing_share_1990,pretrend_1980_1990,local_shock_index,fragile_pair,employment_growth_2000_2010,fitted_value,residual
C08W,P08,R2,west,0,33.7289,36.2693,93990,10.0373,0.64368,0.08929,0.22336,-0.0048,0.43188,0,0.07501,0.08383130331775522,-0.008821303317755227
C09E,P09,R2,east,0,56.0053,35.7662,75496,10.02226,0.66593,0.08242,0.24229,0.02901,0.15289,0,0.06133,0.06179625775304457,-0.00046625775304456885
C09W,P09,R2,west,1,50.0804,36.1514,152584,10.01802,0.61743,0.09104,0.297,-0.01429,0.20622,0,0.04881,0.04834374224662803,0.0004662577533719667
C10E,P10,R2,east,1,75.083,33.5476,43654,10.09156,0.709,0.0798,0.26185,0.01757,-0.52328,0,-0.00566,0.005025062550878536,-0.010685062550878536
C10W,P10,R2,west,0,70.4295,37.5439,40830,10.02962,0.61633,0.10077,0.28636,0.00062,-0.61257,0,0.04112,0.030434937448794393,0.010685062551205604
C11E,P11,R2,east,0,93.0262,37.903,134343,10.04599,0.68055,0.09313,0.22808,-0.00775,-0.45021,1,0.05057,0.04600513463160862,0.004564865368391374
C11W,P11,R2,west,1,87.6384,37.441,35273,10.05589,0.61816,0.08289,0.23436,0.0068,-0.40064,1,0.03384,0.03840486536806355,-0.004564865368063546
C12E,P12,R2,east,1,111.2424,34.742,49535,10.12629,0.66933,0.09155,0.24516,-0.015,-0.15478,0,0.03533,0.02869498239999168,0.006635017600008321
C12W,P12,R2,west,0,104.0771,36.7285,106902,9.95371,0.62798,0.10198,0.31553,-0.01342,-0.0428,0,0.03101,0.03764501759968052,-0.006635017599680524
C13E,P13,R3,east,0,20.9502,50.345,142399,10.10646,0.69695,0.07483,0.1968,0.01591,0.34523,0,0.03034,0.028068285865811844,0.0022717141341881547
C13W,P13,R3,west,1,17.4502,55.2961,88945,9.98727,0.65254,0.07779,0.2582,0.00442,0.23951,0,0.005,0.007271714133860191,-0.0022717141338601905
C14E,P14,R3,east,1,40.4254,55.8001,37502,10.14098,0.6627,0.08293,0.23186,0.00264,0.46569,0,0.01855,0.012243380883455834,0.006306619116544166
C14W,P14,R3,west,0,33.4812,51.786,118392,10.08047,0.67585,0.07467,0.21068,0.01505,0.3256,0,0.01887,0.02517661911621447,-0.006306619116214468
C15E,P15,R3,east,0,56.7316,53.4154,81453,10.15981,0.6907,0.1074,0.32884,-0.01064,0.13876,0,0.01948,0.023828592100689498,-0.004348592100689497
C15W,P15,R3,west,1,52.106,56.2767,79739,10.07523,0.63692,0.11793,0.25714,-0.00766,-0.23595,0,0.01903,0.014681407898984238,0.00434859210101576
C16E,P16,R3,east,1,75.7474,55.5772,79197,10.17184,0.63782,0.09183,0.25164,0.00409,-0.46757,1,-0.00619,0.004919448646202591,-0.011109448646202592
C16W,P16,R3,west,0,69.0063,53.9161,82680,10.05433,0.64016,0.09345,0.24621,0.01557,-0.89499,1,0.02641,0.015300551353472969,0.01110944864652703
C17E,P17,R3,east,0,93.2463,53.1065,135821,10.12647,0.7074,0.09706,0.22803,0.01545,-0.41474,0,0.03985,0.03458277158876902,0.005267228411230979
C17W,P17,R3,west,1,85.5459,56.1875,152910,10.10756,0.63571,0.08665,0.20819,0.01444,-0.78205,0,0.02313,0.02839722841090455,-0.005267228410904549
C18E,P18,R3,east,1,110.921,53.6154,90581,10.11552,0.69941,0.08448,0.30511,-3e-05,-0.46409,0,0.04219,0.04905073759428687,-0.006860737594286868
C18W,P18,R3,west,0,105.1655,52.6831,51124,10.11085,0.65134,0.10161,0.27941,0.00201,-0.2477,0,0.08113,0.07426926240538262,0.006860737594617375
