tract_id,county_id,cz_id,x_coord,y_coord,population_1990,baseline_employment_1990,low_income_share_1990,black_share_1990,geocode_quality,jitter_radius_miles,employment_growth_2000_2010,emp_manufacturing_1990,emp_apparel_1990,emp_logistics_1990,emp_health_1990,emp_business_1990,emp_retail_1990
T034,C06,CZ03,55.455,28.2154,1377,912,0.1875,0.3343,rooftop,0.1,0.03056,82,66,346,85,60,273
T035,C06,CZ03,55.615,24.5534,1779,968,0.2316,0.2971,street,0.7,-0.00276,392,83,115,106,142,130
T036,C05,CZ03,59.1828,30.1874,3099,1701,0.1681,0.3316,rooftop,0.1,0.01475,132,156,417,410,486,100
T037,C06,CZ04,78.6652,69.2126,3451,2073,0.1361,0.2029,street,0.7,0.06811,140,232,431,901,262,107
T038,C07,CZ04,73.2412,76.7611,3833,2075,0.1758,0.1529,street,0.7,0.03332,142,350,290,582,317,394
T039,C07,CZ04,83.8378,83.5807,1898,1133,0.1054,0.148,rooftop,0.1,0.06479,86,186,79,432,244,106
T040,C07,CZ04,77.0764,62.0768,1059,416,0.1843,0.1426,rooftop,0.1,0.02866,25,17,22,183,98,71
T041,C07,CZ04,73.0858,78.4797,1729,865,0.182,0.1539,zip_centroid,2.6,0.01712,226,74,188,184,41,152
T042,C07,CZ04,62.9108,78.1136,3984,2235,0.1091,0.0787,rooftop,0.1,0.09491,12,3,325,1032,503,360
T043,C08,CZ04,71.8775,70.8456,3827,2563,0.1976,0.2353,rooftop,0.1,0.03989,139,266,592,831,515,220
T044,C08,CZ04,80.0066,78.8874,3202,2051,0.1999,0.179,rooftop,0.1,0.0549,107,414,275,1147,51,57
T045,C08,CZ04,76.3187,76.0797,1574,1008,0.1487,0.2011,street,0.7,0.04576,135,31,93,446,284,19
T046,C08,CZ04,73.3913,67.802,4180,2443,0.1754,0.2382,rooftop,0.1,-0.02208,414,740,65,550,339,335
T047,C08,CZ04,60.5112,73.4201,2557,1283,0.1707,0.2037,street,0.7,0.06937,63,28,251,661,3,277
T048,C07,CZ04,73.6436,68.3673,3019,1948,0.1805,0.2223,rooftop,0.1,0.05199,222,19,167,570,250,720
T049,C08,CZ05,86.9997,40.1751,3077,1976,0.1918,0.2083,street,0.7,0.02487,88,387,420,177,688,216
T050,C09,CZ05,88.0783,32.534,4086,2074,0.2238,0.1709,rooftop,0.1,0.06259,174,113,719,89,682,297
T051,C09,CZ05,91.0959,51.033,3874,1791,0.184,0.2419,rooftop,0.1,0.07158,65,175,184,147,1084,136
T052,C09,CZ05,88.4971,47.8221,2132,916,0.1916,0.1764,rooftop,0.1,0.04214,55,82,300,182,234,63
T053,C09,CZ05,90.0512,41.3198,1402,580,0.1674,0.1662,street,0.7,0.00143,130,85,40,8,172,145
T054,C09,CZ05,90.1834,37.0091,1366,755,0.1293,0.2265,rooftop,0.1,0.03544,37,63,31,150,417,57
T055,C10,CZ05,77.1554,38.0014,3787,1459,0.2553,0.1705,rooftop,0.1,0.01871,85,625,129,79,413,128
T056,C10,CZ05,93.6601,35.3243,3212,2130,0.1324,0.1463,rooftop,0.1,0.05298,214,55,467,455,564,375
T057,C10,CZ05,92.2644,29.1919,3387,1550,0.1462,0.123,rooftop,0.1,0.06136,370,87,457,342,119,175
T058,C10,CZ05,99.7774,49.1231,3355,2081,0.2167,0.1166,street,0.7,-0.00425,246,178,170,133,1081,273
T059,C10,CZ05,87.6105,50.0523,3299,1981,0.1256,0.1363,rooftop,0.1,0.05423,17,153,225,277,1218,91
T060,C10,CZ05,89.3949,34.7133,1372,772,0.1194,0.2268,street,0.7,0.01867,79,184,206,59,179,65
