application_id,group_signal,credential_origin,resume_quality,local_experience,neighborhood_signal,occupation,employer_sector,callback
wk6-app-0061,white_name_local_credential,local,high,1,disadvantaged,administrative,public,0
wk6-app-0062,white_name_local_credential,local,high,1,neutral,sales,private,0
wk6-app-0063,white_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0064,white_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0065,white_name_local_credential,local,standard,1,disadvantaged,sales,private,0
wk6-app-0066,white_name_local_credential,local,high,1,neutral,professional,private,0
wk6-app-0067,white_name_local_credential,local,high,1,neutral,administrative,public,1
wk6-app-0068,white_name_local_credential,local,standard,1,neutral,sales,private,1
wk6-app-0069,white_name_local_credential,local,standard,1,disadvantaged,professional,private,1
wk6-app-0070,white_name_local_credential,local,standard,1,neutral,administrative,private,1
wk6-app-0071,white_name_local_credential,local,high,1,neutral,sales,private,1
wk6-app-0072,white_name_local_credential,local,high,1,neutral,professional,private,1
wk6-app-0073,white_name_local_credential,local,standard,1,disadvantaged,administrative,public,0
wk6-app-0074,white_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0075,white_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0076,white_name_local_credential,local,high,1,neutral,administrative,private,0
wk6-app-0077,white_name_local_credential,local,high,1,disadvantaged,sales,private,0
wk6-app-0078,white_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0079,white_name_local_credential,local,standard,1,neutral,administrative,public,0
wk6-app-0080,white_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0081,white_name_local_credential,local,high,1,disadvantaged,professional,private,0
wk6-app-0082,white_name_local_credential,local,high,1,neutral,administrative,private,0
wk6-app-0083,white_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0084,white_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0085,white_name_local_credential,local,standard,1,disadvantaged,administrative,public,0
wk6-app-0086,white_name_local_credential,local,high,1,neutral,sales,private,0
wk6-app-0087,white_name_local_credential,local,high,1,neutral,professional,private,0
wk6-app-0088,white_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0089,white_name_local_credential,local,standard,1,disadvantaged,sales,private,0
wk6-app-0090,white_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0091,white_name_local_credential,local,high,1,neutral,administrative,public,0
wk6-app-0092,white_name_local_credential,local,high,1,neutral,sales,private,1
wk6-app-0093,white_name_local_credential,local,standard,1,disadvantaged,professional,private,1
wk6-app-0094,white_name_local_credential,local,standard,1,neutral,administrative,private,1
wk6-app-0095,white_name_local_credential,local,standard,1,neutral,sales,private,1
wk6-app-0096,white_name_local_credential,local,high,1,neutral,professional,private,1
wk6-app-0097,white_name_local_credential,local,high,1,disadvantaged,administrative,public,1
wk6-app-0098,white_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0099,white_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0100,white_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0101,white_name_local_credential,local,high,1,disadvantaged,sales,private,0
wk6-app-0102,white_name_local_credential,local,high,1,neutral,professional,private,0
wk6-app-0103,white_name_local_credential,local,standard,1,neutral,administrative,public,0
wk6-app-0104,white_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0105,white_name_local_credential,local,standard,1,disadvantaged,professional,private,0
wk6-app-0106,white_name_local_credential,local,high,1,neutral,administrative,private,0
wk6-app-0107,white_name_local_credential,local,high,1,neutral,sales,private,0
wk6-app-0108,white_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0109,white_name_local_credential,local,standard,1,disadvantaged,administrative,public,0
wk6-app-0110,white_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0111,white_name_local_credential,local,high,1,neutral,professional,private,0
wk6-app-0112,white_name_local_credential,local,high,1,neutral,administrative,private,0
wk6-app-0113,white_name_local_credential,local,standard,1,disadvantaged,sales,private,0
wk6-app-0114,white_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0115,white_name_local_credential,local,standard,1,neutral,administrative,public,0
wk6-app-0116,white_name_local_credential,local,high,1,neutral,sales,private,1
wk6-app-0117,white_name_local_credential,local,high,1,disadvantaged,professional,private,1
wk6-app-0118,white_name_local_credential,local,standard,1,neutral,administrative,private,1
wk6-app-0119,white_name_local_credential,local,standard,1,neutral,sales,private,1
wk6-app-0120,white_name_local_credential,local,standard,1,neutral,professional,private,1
wk6-app-0121,black_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0122,black_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0123,black_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0124,black_name_local_credential,local,high,1,disadvantaged,sales,public,0
wk6-app-0125,black_name_local_credential,local,high,1,neutral,professional,private,0
wk6-app-0126,black_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0127,black_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0128,black_name_local_credential,local,standard,1,disadvantaged,professional,private,0
wk6-app-0129,black_name_local_credential,local,high,1,neutral,administrative,private,0
wk6-app-0130,black_name_local_credential,local,high,1,neutral,sales,public,0
wk6-app-0131,black_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0132,black_name_local_credential,local,standard,1,disadvantaged,administrative,private,0
wk6-app-0133,black_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0134,black_name_local_credential,local,high,1,neutral,professional,private,0
wk6-app-0135,black_name_local_credential,local,high,1,neutral,administrative,private,0
wk6-app-0136,black_name_local_credential,local,standard,1,disadvantaged,sales,public,0
wk6-app-0137,black_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0138,black_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0139,black_name_local_credential,local,high,1,neutral,sales,private,0
wk6-app-0140,black_name_local_credential,local,high,1,disadvantaged,professional,private,0
wk6-app-0141,black_name_local_credential,local,standard,1,neutral,administrative,private,1
wk6-app-0142,black_name_local_credential,local,standard,1,neutral,sales,public,1
wk6-app-0143,black_name_local_credential,local,standard,1,neutral,professional,private,1
wk6-app-0144,black_name_local_credential,local,high,1,disadvantaged,administrative,private,1
wk6-app-0145,black_name_local_credential,local,high,1,neutral,sales,private,1
wk6-app-0146,black_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0147,black_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0148,black_name_local_credential,local,standard,1,disadvantaged,sales,public,0
wk6-app-0149,black_name_local_credential,local,high,1,neutral,professional,private,0
wk6-app-0150,black_name_local_credential,local,high,1,neutral,administrative,private,0
wk6-app-0151,black_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0152,black_name_local_credential,local,standard,1,disadvantaged,professional,private,0
wk6-app-0153,black_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0154,black_name_local_credential,local,high,1,neutral,sales,public,0
wk6-app-0155,black_name_local_credential,local,high,1,neutral,professional,private,0
wk6-app-0156,black_name_local_credential,local,standard,1,disadvantaged,administrative,private,0
wk6-app-0157,black_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0158,black_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0159,black_name_local_credential,local,high,1,neutral,administrative,private,0
wk6-app-0160,black_name_local_credential,local,high,1,disadvantaged,sales,public,0
wk6-app-0161,black_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0162,black_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0163,black_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0164,black_name_local_credential,local,high,1,disadvantaged,professional,private,0
wk6-app-0165,black_name_local_credential,local,high,1,neutral,administrative,private,1
wk6-app-0166,black_name_local_credential,local,standard,1,neutral,sales,public,1
wk6-app-0167,black_name_local_credential,local,standard,1,neutral,professional,private,1
wk6-app-0168,black_name_local_credential,local,standard,1,disadvantaged,administrative,private,0
wk6-app-0169,black_name_local_credential,local,high,1,neutral,sales,private,1
wk6-app-0170,black_name_local_credential,local,high,1,neutral,professional,private,1
wk6-app-0171,black_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0172,black_name_local_credential,local,standard,1,disadvantaged,sales,public,0
wk6-app-0173,black_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0174,black_name_local_credential,local,high,1,neutral,administrative,private,0
wk6-app-0175,black_name_local_credential,local,high,1,neutral,sales,private,0
wk6-app-0176,black_name_local_credential,local,standard,1,disadvantaged,professional,private,0
wk6-app-0177,black_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0178,black_name_local_credential,local,standard,1,neutral,sales,public,0
wk6-app-0179,black_name_local_credential,local,high,1,neutral,professional,private,0
wk6-app-0180,black_name_local_credential,local,high,1,disadvantaged,administrative,private,0
wk6-app-0181,black_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0182,black_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0183,black_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0184,black_name_local_credential,local,high,1,disadvantaged,sales,public,0
wk6-app-0185,black_name_local_credential,local,high,1,neutral,professional,private,0
wk6-app-0186,black_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0187,black_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0188,black_name_local_credential,local,standard,1,disadvantaged,professional,private,0
wk6-app-0189,black_name_local_credential,local,high,1,neutral,administrative,private,1
wk6-app-0190,black_name_local_credential,local,high,1,neutral,sales,public,1
wk6-app-0191,black_name_local_credential,local,standard,1,neutral,professional,private,1
wk6-app-0192,black_name_local_credential,local,standard,1,disadvantaged,administrative,private,1
wk6-app-0193,black_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0194,black_name_local_credential,local,high,1,neutral,professional,private,1
wk6-app-0195,black_name_local_credential,local,high,1,neutral,administrative,private,0
wk6-app-0196,black_name_local_credential,local,standard,1,disadvantaged,sales,public,0
wk6-app-0197,black_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0198,black_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0199,black_name_local_credential,local,high,1,neutral,sales,private,0
wk6-app-0200,black_name_local_credential,local,high,1,disadvantaged,professional,private,0
wk6-app-0201,black_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0202,black_name_local_credential,local,standard,1,neutral,sales,public,0
wk6-app-0203,black_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0204,black_name_local_credential,local,high,1,disadvantaged,administrative,private,0
wk6-app-0205,black_name_local_credential,local,high,1,neutral,sales,private,0
wk6-app-0206,black_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0207,black_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0208,black_name_local_credential,local,standard,1,disadvantaged,sales,public,0
wk6-app-0209,black_name_local_credential,local,high,1,neutral,professional,private,0
wk6-app-0210,black_name_local_credential,local,high,1,neutral,administrative,private,0
wk6-app-0211,black_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0212,black_name_local_credential,local,standard,1,disadvantaged,professional,private,0
wk6-app-0213,black_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0214,black_name_local_credential,local,high,1,neutral,sales,public,1
wk6-app-0215,black_name_local_credential,local,high,1,neutral,professional,private,1
wk6-app-0216,black_name_local_credential,local,standard,1,disadvantaged,administrative,private,1
wk6-app-0217,black_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0218,black_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0219,black_name_local_credential,local,high,1,neutral,administrative,private,1
wk6-app-0220,black_name_local_credential,local,high,1,disadvantaged,sales,public,0
wk6-app-0221,black_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0222,black_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0223,black_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0224,black_name_local_credential,local,high,1,disadvantaged,professional,private,0
wk6-app-0225,black_name_local_credential,local,high,1,neutral,administrative,private,0
wk6-app-0226,black_name_local_credential,local,standard,1,neutral,sales,public,0
wk6-app-0227,black_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0228,black_name_local_credential,local,standard,1,disadvantaged,administrative,private,0
wk6-app-0229,black_name_local_credential,local,high,1,neutral,sales,private,0
wk6-app-0230,black_name_local_credential,local,high,1,neutral,professional,private,0
wk6-app-0231,black_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0232,black_name_local_credential,local,standard,1,disadvantaged,sales,public,0
wk6-app-0233,black_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0234,black_name_local_credential,local,high,1,neutral,administrative,private,0
wk6-app-0235,black_name_local_credential,local,high,1,neutral,sales,private,0
wk6-app-0236,black_name_local_credential,local,standard,1,disadvantaged,professional,private,0
wk6-app-0237,black_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0238,black_name_local_credential,local,standard,1,neutral,sales,public,1
wk6-app-0239,black_name_local_credential,local,high,1,neutral,professional,private,1
wk6-app-0240,black_name_local_credential,local,high,1,disadvantaged,administrative,private,1
wk6-app-0241,immigrant_name_local_credential,local,standard,1,neutral,professional,public,1
wk6-app-0242,immigrant_name_local_credential,local,high,1,neutral,administrative,private,1
wk6-app-0243,immigrant_name_local_credential,local,high,1,disadvantaged,sales,private,0
wk6-app-0244,immigrant_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0245,immigrant_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0246,immigrant_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0247,immigrant_name_local_credential,local,high,1,disadvantaged,professional,public,0
wk6-app-0248,immigrant_name_local_credential,local,high,1,neutral,administrative,private,0
wk6-app-0249,immigrant_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0250,immigrant_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0251,immigrant_name_local_credential,local,standard,1,disadvantaged,administrative,private,0
wk6-app-0252,immigrant_name_local_credential,local,high,1,neutral,sales,private,0
wk6-app-0253,immigrant_name_local_credential,local,high,1,neutral,professional,public,0
wk6-app-0254,immigrant_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0255,immigrant_name_local_credential,local,standard,1,disadvantaged,sales,private,0
wk6-app-0256,immigrant_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0257,immigrant_name_local_credential,local,high,1,neutral,administrative,private,0
wk6-app-0258,immigrant_name_local_credential,local,high,1,neutral,sales,private,0
wk6-app-0259,immigrant_name_local_credential,local,standard,1,disadvantaged,professional,public,0
wk6-app-0260,immigrant_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0261,immigrant_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0262,immigrant_name_local_credential,local,high,1,neutral,professional,private,1
wk6-app-0263,immigrant_name_local_credential,local,high,1,disadvantaged,administrative,private,1
wk6-app-0264,immigrant_name_local_credential,local,standard,1,neutral,sales,private,1
wk6-app-0265,immigrant_name_local_credential,local,standard,1,neutral,professional,public,1
wk6-app-0266,immigrant_name_local_credential,local,standard,1,neutral,administrative,private,1
wk6-app-0267,immigrant_name_local_credential,local,high,1,disadvantaged,sales,private,1
wk6-app-0268,immigrant_name_local_credential,local,high,1,neutral,professional,private,1
wk6-app-0269,immigrant_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0270,immigrant_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0271,immigrant_name_local_credential,local,standard,1,disadvantaged,professional,public,0
wk6-app-0272,immigrant_name_local_credential,local,high,1,neutral,administrative,private,0
wk6-app-0273,immigrant_name_local_credential,local,high,1,neutral,sales,private,0
wk6-app-0274,immigrant_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0275,immigrant_name_local_credential,local,standard,1,disadvantaged,administrative,private,0
wk6-app-0276,immigrant_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0277,immigrant_name_local_credential,local,high,1,neutral,professional,public,0
wk6-app-0278,immigrant_name_local_credential,local,high,1,neutral,administrative,private,0
wk6-app-0279,immigrant_name_local_credential,local,standard,1,disadvantaged,sales,private,0
wk6-app-0280,immigrant_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0281,immigrant_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0282,immigrant_name_local_credential,local,high,1,neutral,sales,private,0
wk6-app-0283,immigrant_name_local_credential,local,high,1,disadvantaged,professional,public,0
wk6-app-0284,immigrant_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0285,immigrant_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0286,immigrant_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0287,immigrant_name_local_credential,local,high,1,disadvantaged,administrative,private,1
wk6-app-0288,immigrant_name_local_credential,local,high,1,neutral,sales,private,1
wk6-app-0289,immigrant_name_local_credential,local,standard,1,neutral,professional,public,1
wk6-app-0290,immigrant_name_local_credential,local,standard,1,neutral,administrative,private,1
wk6-app-0291,immigrant_name_local_credential,local,standard,1,disadvantaged,sales,private,0
wk6-app-0292,immigrant_name_local_credential,local,high,1,neutral,professional,private,1
wk6-app-0293,immigrant_name_local_credential,local,high,1,neutral,administrative,private,0
wk6-app-0294,immigrant_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0295,immigrant_name_local_credential,local,standard,1,disadvantaged,professional,public,0
wk6-app-0296,immigrant_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0297,immigrant_name_local_credential,local,high,1,neutral,sales,private,0
wk6-app-0298,immigrant_name_local_credential,local,high,1,neutral,professional,private,0
wk6-app-0299,immigrant_name_local_credential,local,standard,1,disadvantaged,administrative,private,0
wk6-app-0300,immigrant_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0301,immigrant_name_local_credential,local,standard,1,neutral,professional,public,0
wk6-app-0302,immigrant_name_local_credential,local,high,1,neutral,administrative,private,0
wk6-app-0303,immigrant_name_local_credential,local,high,1,disadvantaged,sales,private,0
wk6-app-0304,immigrant_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0305,immigrant_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0306,immigrant_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0307,immigrant_name_local_credential,local,high,1,disadvantaged,professional,public,0
wk6-app-0308,immigrant_name_local_credential,local,high,1,neutral,administrative,private,0
wk6-app-0309,immigrant_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0310,immigrant_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0311,immigrant_name_local_credential,local,standard,1,disadvantaged,administrative,private,1
wk6-app-0312,immigrant_name_local_credential,local,high,1,neutral,sales,private,1
wk6-app-0313,immigrant_name_local_credential,local,high,1,neutral,professional,public,1
wk6-app-0314,immigrant_name_local_credential,local,standard,1,neutral,administrative,private,1
wk6-app-0315,immigrant_name_local_credential,local,standard,1,disadvantaged,sales,private,0
wk6-app-0316,immigrant_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0317,immigrant_name_local_credential,local,high,1,neutral,administrative,private,0
wk6-app-0318,immigrant_name_local_credential,local,high,1,neutral,sales,private,0
wk6-app-0319,immigrant_name_local_credential,local,standard,1,disadvantaged,professional,public,0
wk6-app-0320,immigrant_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0321,immigrant_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0322,immigrant_name_local_credential,local,high,1,neutral,professional,private,0
wk6-app-0323,immigrant_name_local_credential,local,high,1,disadvantaged,administrative,private,0
wk6-app-0324,immigrant_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0325,immigrant_name_local_credential,local,standard,1,neutral,professional,public,0
wk6-app-0326,immigrant_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0327,immigrant_name_local_credential,local,high,1,disadvantaged,sales,private,0
wk6-app-0328,immigrant_name_local_credential,local,high,1,neutral,professional,private,0
wk6-app-0329,immigrant_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0330,immigrant_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0331,immigrant_name_local_credential,local,standard,1,disadvantaged,professional,public,0
wk6-app-0332,immigrant_name_local_credential,local,high,1,neutral,administrative,private,0
wk6-app-0333,immigrant_name_local_credential,local,high,1,neutral,sales,private,0
wk6-app-0334,immigrant_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0335,immigrant_name_local_credential,local,standard,1,disadvantaged,administrative,private,0
wk6-app-0336,immigrant_name_local_credential,local,standard,1,neutral,sales,private,1
wk6-app-0337,immigrant_name_local_credential,local,high,1,neutral,professional,public,1
wk6-app-0338,immigrant_name_local_credential,local,high,1,neutral,administrative,private,1
wk6-app-0339,immigrant_name_local_credential,local,standard,1,disadvantaged,sales,private,0
wk6-app-0340,immigrant_name_local_credential,local,standard,1,neutral,professional,private,1
wk6-app-0341,immigrant_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0342,immigrant_name_local_credential,local,high,1,neutral,sales,private,0
wk6-app-0343,immigrant_name_local_credential,local,high,1,disadvantaged,professional,public,0
wk6-app-0344,immigrant_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0345,immigrant_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0346,immigrant_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0347,immigrant_name_local_credential,local,high,1,disadvantaged,administrative,private,0
wk6-app-0348,immigrant_name_local_credential,local,high,1,neutral,sales,private,0
wk6-app-0349,immigrant_name_local_credential,local,standard,1,neutral,professional,public,0
wk6-app-0350,immigrant_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0351,immigrant_name_local_credential,local,standard,1,disadvantaged,sales,private,0
wk6-app-0352,immigrant_name_local_credential,local,high,1,neutral,professional,private,0
wk6-app-0353,immigrant_name_local_credential,local,high,1,neutral,administrative,private,0
wk6-app-0354,immigrant_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0355,immigrant_name_local_credential,local,standard,1,disadvantaged,professional,public,0
wk6-app-0356,immigrant_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0357,immigrant_name_local_credential,local,high,1,neutral,sales,private,0
wk6-app-0358,immigrant_name_local_credential,local,high,1,neutral,professional,private,0
wk6-app-0359,immigrant_name_local_credential,local,standard,1,disadvantaged,administrative,private,0
wk6-app-0360,immigrant_name_local_credential,local,standard,1,neutral,sales,private,1
wk6-app-0361,immigrant_name_foreign_credential,foreign,high,0,neutral,administrative,private,1
wk6-app-0362,immigrant_name_foreign_credential,foreign,standard,1,disadvantaged,sales,private,0
wk6-app-0363,immigrant_name_foreign_credential,foreign,standard,1,neutral,professional,private,1
wk6-app-0364,immigrant_name_foreign_credential,foreign,standard,0,neutral,administrative,public,0
wk6-app-0365,immigrant_name_foreign_credential,foreign,high,1,neutral,sales,private,0
wk6-app-0366,immigrant_name_foreign_credential,foreign,high,1,disadvantaged,professional,private,0
wk6-app-0367,immigrant_name_foreign_credential,foreign,standard,0,neutral,administrative,private,0
