worker_id,firm_id,default_group,firm_response_type,active_choice_required,passive_choice,default_contribution_rate,default_equity_share,sophistication_index,liquidity_need_index,annual_income,target_contribution_rate,target_equity_share,participation,contribution_rate,equity_share,default_gap,welfare_distance,undersaving,oversaving_liquidity_risk
default-worker-0022,firm-22,high_default,insure_or_oversteer,0,0,0.1,0.7,0.63,0.24,47950,0.071,0.656,1,0.069,0.65,-0.003,0.005,0,0
default-worker-0023,firm-23,active_choice,accommodate,1,0,0.0,0.0,0.63,0.24,48550,0.071,0.656,1,0.071,0.665,-0.001,0.004,0,0
default-worker-0024,firm-24,low_default,exploit_or_underinsure,0,0,0.03,0.45,0.72,0.32,47700,0.078,0.674,1,0.079,0.657,0.002,0.007,0,0
default-worker-0025,firm-25,standard_default,insure,0,0,0.06,0.6,0.72,0.32,48300,0.078,0.674,1,0.075,0.672,-0.002,0.003,0,0
default-worker-0026,firm-26,high_default,insure_or_oversteer,0,1,0.1,0.7,0.72,0.32,48900,0.078,0.674,1,0.1,0.7,0.022,0.033,0,0
default-worker-0027,firm-27,active_choice,accommodate,1,0,0.0,0.0,0.72,0.32,49500,0.078,0.674,1,0.08,0.662,0.002,0.007,0,0
default-worker-0028,firm-28,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.81,0.4,48650,0.084,0.691,1,0.03,0.45,-0.054,0.14,1,0
default-worker-0029,firm-29,standard_default,insure,0,1,0.06,0.6,0.81,0.4,49250,0.084,0.691,1,0.06,0.6,-0.024,0.057,1,0
default-worker-0030,firm-30,high_default,insure_or_oversteer,0,0,0.1,0.7,0.81,0.4,49850,0.084,0.691,1,0.087,0.684,0.003,0.006,0,0
default-worker-0031,firm-31,active_choice,accommodate,1,0,0.0,0.0,0.81,0.4,50450,0.084,0.691,1,0.083,0.699,-0.001,0.004,0,0
default-worker-0032,firm-32,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.18,0.48,49600,0.036,0.464,1,0.03,0.45,-0.006,0.012,0,0
default-worker-0033,firm-33,standard_default,insure,0,0,0.06,0.6,0.18,0.48,50200,0.036,0.464,1,0.033,0.461,-0.003,0.004,0,0
default-worker-0034,firm-34,high_default,insure_or_oversteer,0,1,0.1,0.7,0.18,0.48,50800,0.036,0.464,1,0.1,0.7,0.064,0.154,0,1
default-worker-0035,firm-35,active_choice,accommodate,1,0,0.0,0.0,0.18,0.48,51400,0.036,0.464,1,0.038,0.451,0.002,0.007,0,0
default-worker-0036,firm-36,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.27,0.56,50550,0.042,0.482,1,0.03,0.45,-0.012,0.025,0,0
default-worker-0037,firm-37,standard_default,insure,0,1,0.06,0.6,0.27,0.56,51150,0.042,0.482,1,0.06,0.6,0.018,0.062,0,1
default-worker-0038,firm-38,high_default,insure_or_oversteer,0,1,0.1,0.7,0.27,0.56,51750,0.042,0.482,1,0.1,0.7,0.058,0.142,0,1
default-worker-0039,firm-39,active_choice,accommodate,1,0,0.0,0.0,0.27,0.56,52350,0.042,0.482,1,0.041,0.488,-0.001,0.003,0,0
default-worker-0040,firm-40,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.36,0.64,51500,0.033,0.5,1,0.03,0.45,-0.003,0.021,0,0
default-worker-0041,firm-41,standard_default,insure,0,0,0.06,0.6,0.36,0.64,52100,0.033,0.5,1,0.03,0.495,-0.003,0.005,0,0
default-worker-0042,firm-42,high_default,insure_or_oversteer,0,1,0.1,0.7,0.36,0.64,52700,0.033,0.5,1,0.1,0.7,0.067,0.147,0,1
default-worker-0043,firm-43,active_choice,accommodate,1,0,0.0,0.0,0.36,0.64,53300,0.033,0.5,1,0.035,0.485,0.002,0.007,0,0
default-worker-0044,firm-44,low_default,exploit_or_underinsure,0,0,0.03,0.45,0.45,0.16,52450,0.065,0.607,1,0.062,0.607,-0.002,0.002,0,0
default-worker-0045,firm-45,standard_default,insure,0,1,0.06,0.6,0.45,0.16,53050,0.065,0.607,1,0.06,0.6,-0.005,0.008,0,0
default-worker-0046,firm-46,high_default,insure_or_oversteer,0,0,0.1,0.7,0.45,0.16,53650,0.065,0.607,1,0.067,0.597,0.002,0.006,0,0
default-worker-0047,firm-47,active_choice,accommodate,1,0,0.0,0.0,0.45,0.16,54250,0.065,0.607,1,0.063,0.611,-0.001,0.003,0,0
default-worker-0048,firm-00,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.54,0.24,53400,0.071,0.625,1,0.03,0.45,-0.041,0.105,1,0
default-worker-0049,firm-01,standard_default,insure,0,0,0.06,0.6,0.54,0.24,54000,0.071,0.625,1,0.068,0.619,-0.003,0.005,0,0
default-worker-0050,firm-02,high_default,insure_or_oversteer,0,1,0.1,0.7,0.54,0.24,54600,0.071,0.625,1,0.1,0.7,0.029,0.057,0,0
default-worker-0051,firm-03,active_choice,accommodate,1,0,0.0,0.0,0.54,0.24,55200,0.071,0.625,1,0.072,0.608,0.001,0.007,0,0
default-worker-0052,firm-04,low_default,exploit_or_underinsure,0,0,0.03,0.45,0.63,0.32,54350,0.077,0.643,1,0.075,0.641,-0.002,0.003,0,0
default-worker-0053,firm-05,standard_default,insure,0,1,0.06,0.6,0.63,0.32,54950,0.077,0.643,1,0.06,0.6,-0.017,0.033,1,0
default-worker-0054,firm-06,high_default,insure_or_oversteer,0,0,0.1,0.7,0.63,0.32,55550,0.077,0.643,1,0.079,0.631,0.002,0.007,0,0
default-worker-0055,firm-07,active_choice,accommodate,1,0,0.0,0.0,0.63,0.32,56150,0.077,0.643,1,0.075,0.645,-0.002,0.003,0,0
default-worker-0056,firm-08,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.72,0.4,55300,0.083,0.661,1,0.03,0.45,-0.053,0.129,1,0
default-worker-0057,firm-09,standard_default,insure,0,0,0.06,0.6,0.72,0.4,55900,0.083,0.661,1,0.086,0.653,0.003,0.006,0,0
default-worker-0058,firm-10,high_default,insure_or_oversteer,0,1,0.1,0.7,0.72,0.4,56500,0.083,0.661,1,0.1,0.7,0.017,0.032,0,0
default-worker-0059,firm-11,active_choice,accommodate,1,0,0.0,0.0,0.72,0.4,57100,0.083,0.661,1,0.084,0.642,0.001,0.008,0,0
default-worker-0060,firm-12,low_default,exploit_or_underinsure,0,0,0.03,0.45,0.81,0.48,56250,0.074,0.679,1,0.072,0.675,-0.003,0.004,0,0
default-worker-0061,firm-13,standard_default,insure,0,1,0.06,0.6,0.81,0.48,56850,0.074,0.679,1,0.06,0.6,-0.014,0.042,0,0
default-worker-0062,firm-14,high_default,insure_or_oversteer,0,0,0.1,0.7,0.81,0.48,57450,0.074,0.679,1,0.076,0.665,0.002,0.007,0,0
default-worker-0063,firm-15,active_choice,accommodate,1,0,0.0,0.0,0.81,0.48,58050,0.074,0.679,1,0.072,0.679,-0.002,0.002,0,0
default-worker-0064,firm-16,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.18,0.56,57200,0.026,0.452,1,0.03,0.45,0.004,0.005,0,0
default-worker-0065,firm-17,standard_default,insure,0,1,0.06,0.6,0.18,0.56,57800,0.026,0.452,1,0.06,0.6,0.034,0.09,0,1
default-worker-0066,firm-18,high_default,insure_or_oversteer,0,1,0.1,0.7,0.18,0.56,58400,0.026,0.452,1,0.1,0.7,0.074,0.171,0,1
default-worker-0067,firm-19,active_choice,accommodate,1,0,0.0,0.0,0.18,0.56,59000,0.026,0.452,1,0.027,0.432,0.001,0.008,0,0
default-worker-0068,firm-20,low_default,exploit_or_underinsure,0,0,0.03,0.45,0.27,0.64,58150,0.032,0.469,1,0.03,0.464,-0.003,0.005,0,0
default-worker-0069,firm-21,standard_default,insure,0,1,0.06,0.6,0.27,0.64,58750,0.032,0.469,1,0.06,0.6,0.028,0.078,0,1
default-worker-0070,firm-22,high_default,insure_or_oversteer,0,1,0.1,0.7,0.27,0.64,59350,0.032,0.469,1,0.1,0.7,0.068,0.159,0,1
default-worker-0071,firm-23,active_choice,accommodate,1,0,0.0,0.0,0.27,0.64,59950,0.032,0.469,1,0.03,0.469,-0.002,0.003,0,0
default-worker-0072,firm-24,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.36,0.16,59100,0.064,0.577,1,0.03,0.45,-0.034,0.082,1,0
default-worker-0073,firm-25,standard_default,insure,0,0,0.06,0.6,0.36,0.16,59700,0.064,0.577,1,0.066,0.566,0.002,0.006,0,0
default-worker-0074,firm-26,high_default,insure_or_oversteer,0,1,0.1,0.7,0.36,0.16,60300,0.064,0.577,1,0.1,0.7,0.036,0.081,0,0
default-worker-0075,firm-27,active_choice,accommodate,1,0,0.0,0.0,0.36,0.16,60900,0.064,0.577,1,0.065,0.595,0.001,0.007,0,0
default-worker-0076,firm-28,low_default,exploit_or_underinsure,0,0,0.03,0.45,0.45,0.24,60050,0.07,0.595,1,0.073,0.588,0.003,0.005,0,0
default-worker-0077,firm-29,standard_default,insure,0,1,0.06,0.6,0.45,0.24,60650,0.07,0.595,1,0.06,0.6,-0.01,0.013,0,0
default-worker-0078,firm-30,high_default,insure_or_oversteer,0,1,0.1,0.7,0.45,0.24,61250,0.07,0.595,1,0.1,0.7,0.03,0.069,0,0
default-worker-0079,firm-31,active_choice,accommodate,1,0,0.0,0.0,0.45,0.24,61850,0.07,0.595,1,0.068,0.592,-0.002,0.003,0,0
default-worker-0080,firm-32,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.54,0.32,61000,0.061,0.612,1,0.03,0.45,-0.031,0.091,1,0
default-worker-0081,firm-33,standard_default,insure,0,0,0.06,0.6,0.54,0.32,61600,0.061,0.612,1,0.063,0.6,0.002,0.007,0,0
default-worker-0082,firm-34,high_default,insure_or_oversteer,0,1,0.1,0.7,0.54,0.32,62200,0.061,0.612,1,0.1,0.7,0.039,0.073,0,0
default-worker-0083,firm-35,active_choice,accommodate,1,0,0.0,0.0,0.54,0.32,62800,0.061,0.612,1,0.062,0.629,0.0,0.006,0,0
default-worker-0084,firm-36,low_default,exploit_or_underinsure,0,0,0.03,0.45,0.63,0.4,61950,0.067,0.63,1,0.07,0.622,0.003,0.006,0,0
default-worker-0085,firm-37,standard_default,insure,0,1,0.06,0.6,0.63,0.4,62550,0.067,0.63,1,0.06,0.6,-0.007,0.018,0,0
default-worker-0086,firm-38,high_default,insure_or_oversteer,0,1,0.1,0.7,0.63,0.4,63150,0.067,0.63,1,0.1,0.7,0.033,0.06,0,0
default-worker-0087,firm-39,active_choice,accommodate,1,0,0.0,0.0,0.63,0.4,63750,0.067,0.63,1,0.065,0.626,-0.003,0.004,0,0
default-worker-0088,firm-40,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.72,0.48,62900,0.073,0.648,1,0.03,0.45,-0.043,0.115,1,0
default-worker-0089,firm-41,standard_default,insure,0,0,0.06,0.6,0.72,0.48,63500,0.073,0.648,1,0.075,0.634,0.002,0.007,0,0
default-worker-0090,firm-42,high_default,insure_or_oversteer,0,0,0.1,0.7,0.72,0.48,64100,0.073,0.648,1,0.071,0.648,-0.002,0.002,0,0
default-worker-0091,firm-43,active_choice,accommodate,1,0,0.0,0.0,0.72,0.48,64700,0.073,0.648,1,0.074,0.663,0.0,0.006,0,0
default-worker-0092,firm-44,low_default,exploit_or_underinsure,0,0,0.03,0.45,0.81,0.56,63850,0.08,0.666,1,0.082,0.656,0.002,0.006,0,0
default-worker-0093,firm-45,standard_default,insure,0,1,0.06,0.6,0.81,0.56,64450,0.08,0.666,1,0.06,0.6,-0.02,0.043,1,0
default-worker-0094,firm-46,high_default,insure_or_oversteer,0,1,0.1,0.7,0.81,0.56,65050,0.08,0.666,1,0.1,0.7,0.02,0.035,0,1
default-worker-0095,firm-47,active_choice,accommodate,1,0,0.0,0.0,0.81,0.56,65650,0.08,0.666,1,0.077,0.66,-0.003,0.005,0,0
default-worker-0096,firm-00,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.18,0.64,64800,0.032,0.439,1,0.03,0.45,-0.002,0.006,0,0
default-worker-0097,firm-01,standard_default,insure,0,1,0.06,0.6,0.18,0.64,65400,0.032,0.439,1,0.06,0.6,0.028,0.089,0,1
default-worker-0098,firm-02,high_default,insure_or_oversteer,0,0,0.1,0.7,0.18,0.64,66000,0.032,0.439,1,0.029,0.438,-0.002,0.003,0,0
default-worker-0099,firm-03,active_choice,accommodate,1,0,0.0,0.0,0.18,0.64,66600,0.032,0.439,1,0.032,0.452,0.0,0.005,0,0
default-worker-0100,firm-04,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.27,0.16,65750,0.048,0.546,1,0.03,0.45,-0.018,0.054,1,0
default-worker-0101,firm-05,standard_default,insure,0,1,0.06,0.6,0.27,0.16,66350,0.048,0.546,1,0.06,0.6,0.012,0.031,0,0
default-worker-0102,firm-06,high_default,insure_or_oversteer,0,1,0.1,0.7,0.27,0.16,66950,0.048,0.546,1,0.1,0.7,0.052,0.108,0,0
default-worker-0103,firm-07,active_choice,accommodate,1,0,0.0,0.0,0.27,0.16,67550,0.048,0.546,1,0.051,0.539,0.003,0.006,0,0
default-worker-0104,firm-08,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.36,0.24,66700,0.054,0.564,1,0.03,0.45,-0.024,0.067,1,0
default-worker-0105,firm-09,standard_default,insure,0,1,0.06,0.6,0.36,0.24,67300,0.054,0.564,1,0.06,0.6,0.006,0.019,0,0
default-worker-0106,firm-10,high_default,insure_or_oversteer,0,0,0.1,0.7,0.36,0.24,67900,0.054,0.564,1,0.052,0.561,-0.002,0.004,0,0
default-worker-0107,firm-11,active_choice,accommodate,1,0,0.0,0.0,0.36,0.24,68500,0.054,0.564,1,0.054,0.576,-0.0,0.004,0,0
default-worker-0108,firm-12,low_default,exploit_or_underinsure,0,0,0.03,0.45,0.45,0.32,67650,0.06,0.582,1,0.062,0.569,0.002,0.007,0,0
default-worker-0109,firm-13,standard_default,insure,0,1,0.06,0.6,0.45,0.32,68250,0.06,0.582,1,0.06,0.6,-0.0,0.007,0,0
default-worker-0110,firm-14,high_default,insure_or_oversteer,0,1,0.1,0.7,0.45,0.32,68850,0.06,0.582,1,0.1,0.7,0.04,0.084,0,0
default-worker-0111,firm-15,active_choice,accommodate,1,0,0.0,0.0,0.45,0.32,69450,0.06,0.582,1,0.063,0.573,0.003,0.006,0,0
default-worker-0112,firm-16,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.54,0.4,68600,0.067,0.6,1,0.03,0.45,-0.037,0.092,1,0
default-worker-0113,firm-17,standard_default,insure,0,1,0.06,0.6,0.54,0.4,69200,0.067,0.6,1,0.06,0.6,-0.007,0.007,0,0
default-worker-0114,firm-18,high_default,insure_or_oversteer,0,0,0.1,0.7,0.54,0.4,69800,0.067,0.6,1,0.064,0.595,-0.003,0.004,0,0
default-worker-0115,firm-19,active_choice,accommodate,1,0,0.0,0.0,0.54,0.4,70400,0.067,0.6,1,0.066,0.61,-0.0,0.004,0,0
default-worker-0116,firm-20,low_default,exploit_or_underinsure,0,0,0.03,0.45,0.63,0.48,69550,0.073,0.617,1,0.074,0.603,0.002,0.007,0,0
default-worker-0117,firm-21,standard_default,insure,0,0,0.06,0.6,0.63,0.48,70150,0.073,0.617,1,0.071,0.617,-0.002,0.002,0,0
default-worker-0118,firm-22,high_default,insure_or_oversteer,0,1,0.1,0.7,0.63,0.48,70750,0.073,0.617,1,0.1,0.7,0.027,0.06,0,1
default-worker-0119,firm-23,active_choice,accommodate,1,0,0.0,0.0,0.63,0.48,71350,0.073,0.617,1,0.075,0.607,0.002,0.006,0,0
default-worker-0120,firm-24,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.72,0.56,70500,0.064,0.635,1,0.03,0.45,-0.034,0.1,1,0
default-worker-0121,firm-25,standard_default,insure,0,1,0.06,0.6,0.72,0.56,71100,0.064,0.635,1,0.06,0.6,-0.004,0.016,0,0
default-worker-0122,firm-26,high_default,insure_or_oversteer,0,0,0.1,0.7,0.72,0.56,71700,0.064,0.635,1,0.061,0.629,-0.003,0.005,0,0
default-worker-0123,firm-27,active_choice,accommodate,1,0,0.0,0.0,0.72,0.56,72300,0.064,0.635,1,0.063,0.644,-0.001,0.004,0,0
default-worker-0124,firm-28,low_default,exploit_or_underinsure,0,0,0.03,0.45,0.81,0.64,71450,0.07,0.653,1,0.071,0.637,0.002,0.007,0,0
default-worker-0125,firm-29,standard_default,insure,0,0,0.06,0.6,0.81,0.64,72050,0.07,0.653,1,0.068,0.651,-0.002,0.003,0,0
default-worker-0126,firm-30,high_default,insure_or_oversteer,0,1,0.1,0.7,0.81,0.64,72650,0.07,0.653,1,0.1,0.7,0.03,0.051,0,1
default-worker-0127,firm-31,active_choice,accommodate,1,0,0.0,0.0,0.81,0.64,73250,0.07,0.653,1,0.072,0.641,0.002,0.007,0,0
default-worker-0128,firm-32,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.18,0.16,72400,0.047,0.516,1,0.03,0.45,-0.017,0.043,1,0
default-worker-0129,firm-33,standard_default,insure,0,1,0.06,0.6,0.18,0.16,73000,0.047,0.516,1,0.06,0.6,0.013,0.043,0,0
default-worker-0130,firm-34,high_default,insure_or_oversteer,0,0,0.1,0.7,0.18,0.16,73600,0.047,0.516,1,0.05,0.508,0.003,0.006,0,0
default-worker-0131,firm-35,active_choice,accommodate,1,0,0.0,0.0,0.18,0.16,74200,0.047,0.516,1,0.046,0.523,-0.001,0.004,0,0
default-worker-0132,firm-36,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.27,0.24,73350,0.053,0.533,1,0.03,0.45,-0.023,0.056,1,0
default-worker-0133,firm-37,standard_default,insure,0,0,0.06,0.6,0.27,0.24,73950,0.053,0.533,1,0.051,0.53,-0.003,0.004,0,0
default-worker-0134,firm-38,high_default,insure_or_oversteer,0,1,0.1,0.7,0.27,0.24,74550,0.053,0.533,1,0.1,0.7,0.047,0.108,0,0
default-worker-0135,firm-39,active_choice,accommodate,1,0,0.0,0.0,0.27,0.24,75150,0.053,0.533,1,0.055,0.52,0.002,0.007,0,0
default-worker-0136,firm-40,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.36,0.32,74300,0.06,0.551,1,0.03,0.45,-0.03,0.068,1,0
default-worker-0137,firm-41,standard_default,insure,0,1,0.06,0.6,0.36,0.32,74900,0.06,0.551,1,0.06,0.6,0.0,0.018,0,0
default-worker-0138,firm-42,high_default,insure_or_oversteer,0,0,0.1,0.7,0.36,0.32,75500,0.06,0.551,1,0.062,0.542,0.003,0.006,0,0
default-worker-0139,firm-43,active_choice,accommodate,1,0,0.0,0.0,0.36,0.32,76100,0.06,0.551,1,0.058,0.557,-0.001,0.003,0,0
default-worker-0140,firm-44,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.45,0.4,75250,0.051,0.569,1,0.03,0.45,-0.021,0.064,1,0
default-worker-0141,firm-45,standard_default,insure,0,0,0.06,0.6,0.45,0.4,75850,0.051,0.569,1,0.048,0.564,-0.003,0.005,0,0
default-worker-0142,firm-46,high_default,insure_or_oversteer,0,1,0.1,0.7,0.45,0.4,76450,0.051,0.569,1,0.1,0.7,0.049,0.1,0,0
default-worker-0143,firm-47,active_choice,accommodate,1,0,0.0,0.0,0.45,0.4,77050,0.051,0.569,1,0.052,0.554,0.002,0.007,0,0
default-worker-0144,firm-00,low_default,exploit_or_underinsure,0,0,0.03,0.45,0.54,0.48,76200,0.057,0.587,1,0.055,0.586,-0.002,0.002,0,0
default-worker-0145,firm-01,standard_default,insure,0,1,0.06,0.6,0.54,0.48,76800,0.057,0.587,1,0.06,0.6,0.003,0.008,0,0
default-worker-0146,firm-02,high_default,insure_or_oversteer,0,0,0.1,0.7,0.54,0.48,77400,0.057,0.587,1,0.059,0.576,0.002,0.006,0,0
default-worker-0147,firm-03,active_choice,accommodate,1,0,0.0,0.0,0.54,0.48,78000,0.057,0.587,1,0.055,0.591,-0.001,0.003,0,0
default-worker-0148,firm-04,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.63,0.56,77150,0.063,0.605,1,0.03,0.45,-0.033,0.089,1,0
default-worker-0149,firm-05,standard_default,insure,0,0,0.06,0.6,0.63,0.56,77750,0.063,0.605,1,0.06,0.598,-0.003,0.005,0,0
default-worker-0150,firm-06,high_default,insure_or_oversteer,0,1,0.1,0.7,0.63,0.56,78350,0.063,0.605,1,0.1,0.7,0.037,0.076,0,1
default-worker-0151,firm-07,active_choice,accommodate,1,0,0.0,0.0,0.63,0.56,78950,0.063,0.605,1,0.064,0.588,0.001,0.008,0,0
default-worker-0152,firm-08,low_default,exploit_or_underinsure,0,0,0.03,0.45,0.72,0.64,78100,0.069,0.622,1,0.067,0.62,-0.002,0.003,0,0
default-worker-0153,firm-09,standard_default,insure,0,1,0.06,0.6,0.72,0.64,78700,0.069,0.622,1,0.06,0.6,-0.009,0.018,0,0
default-worker-0154,firm-10,high_default,insure_or_oversteer,0,0,0.1,0.7,0.72,0.64,79300,0.069,0.622,1,0.071,0.61,0.002,0.007,0,0
default-worker-0155,firm-11,active_choice,accommodate,1,0,0.0,0.0,0.72,0.64,79900,0.069,0.622,1,0.068,0.625,-0.002,0.003,0,0
default-worker-0156,firm-12,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.81,0.16,79050,0.101,0.73,1,0.03,0.45,-0.071,0.171,1,0
default-worker-0157,firm-13,standard_default,insure,0,0,0.06,0.6,0.81,0.16,79650,0.101,0.73,1,0.103,0.722,0.003,0.006,0,0
default-worker-0158,firm-14,high_default,insure_or_oversteer,0,1,0.1,0.7,0.81,0.16,80250,0.101,0.73,1,0.1,0.7,-0.001,0.011,0,0
default-worker-0159,firm-15,active_choice,accommodate,1,0,0.0,0.0,0.81,0.16,80850,0.101,0.73,1,0.102,0.711,0.001,0.008,0,0
default-worker-0160,firm-16,low_default,exploit_or_underinsure,0,0,0.03,0.45,0.18,0.24,80000,0.038,0.503,1,0.035,0.499,-0.003,0.004,0,0
default-worker-0161,firm-17,standard_default,insure,0,1,0.06,0.6,0.18,0.24,80600,0.038,0.503,1,0.06,0.6,0.022,0.058,0,0
default-worker-0162,firm-18,high_default,insure_or_oversteer,0,1,0.1,0.7,0.18,0.24,81200,0.038,0.503,1,0.1,0.7,0.062,0.135,0,0
default-worker-0163,firm-19,active_choice,accommodate,1,0,0.0,0.0,0.18,0.24,81800,0.038,0.503,1,0.036,0.504,-0.002,0.002,0,0
default-worker-0164,firm-20,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.27,0.32,80950,0.044,0.521,1,0.03,0.45,-0.014,0.04,0,0
default-worker-0165,firm-21,standard_default,insure,0,1,0.06,0.6,0.27,0.32,81550,0.044,0.521,1,0.06,0.6,0.016,0.045,0,0
default-worker-0166,firm-22,high_default,insure_or_oversteer,0,1,0.1,0.7,0.27,0.32,82150,0.044,0.521,1,0.1,0.7,0.056,0.123,0,0
default-worker-0167,firm-23,active_choice,accommodate,1,0,0.0,0.0,0.27,0.32,82750,0.044,0.521,1,0.045,0.501,0.001,0.008,0,0
default-worker-0168,firm-24,low_default,exploit_or_underinsure,0,0,0.03,0.45,0.36,0.4,81900,0.05,0.538,1,0.047,0.533,-0.003,0.005,0,0
default-worker-0169,firm-25,standard_default,insure,0,1,0.06,0.6,0.36,0.4,82500,0.05,0.538,1,0.06,0.6,0.01,0.033,0,0
default-worker-0170,firm-26,high_default,insure_or_oversteer,0,1,0.1,0.7,0.36,0.4,83100,0.05,0.538,1,0.1,0.7,0.05,0.112,0,0
default-worker-0171,firm-27,active_choice,accommodate,1,0,0.0,0.0,0.36,0.4,83700,0.05,0.538,1,0.048,0.538,-0.002,0.003,0,0
default-worker-0172,firm-28,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.45,0.48,82850,0.056,0.556,1,0.03,0.45,-0.026,0.066,1,0
default-worker-0173,firm-29,standard_default,insure,0,1,0.06,0.6,0.45,0.48,83450,0.056,0.556,1,0.06,0.6,0.004,0.02,0,0
default-worker-0174,firm-30,high_default,insure_or_oversteer,0,1,0.1,0.7,0.45,0.48,84050,0.056,0.556,1,0.1,0.7,0.044,0.099,0,1
