worker_id,occupation,female,occupation_male_share,high_risk_job,survey_harassment_risk,reporting_cost,reported_harassment,wage,quit_next_year,moves_to_safer_job,job_quality_score
164,professional,1,0.5500,0,0.2842,0.3238,0,50479.8070,0,0,0.5864
165,transport,0,0.7800,1,0.4028,0.3699,0,60700.3742,0,0,0.4993
166,trades,1,0.8600,1,0.4937,0.4444,0,55959.6892,1,1,0.4607
167,finance,0,0.6300,1,0.3068,0.3534,0,67016.7823,0,0,0.5308
168,care,1,0.2800,0,0.2982,0.3142,0,44084.9885,0,0,0.5255
169,retail,0,0.4200,0,0.3256,0.2571,0,44137.9609,0,0,0.5551
170,professional,1,0.5500,0,0.3468,0.3379,0,52662.0227,1,1,0.5917
171,transport,0,0.7800,1,0.3866,0.3650,0,57283.8476,0,0,0.4795
172,trades,1,0.8600,1,0.5414,0.4783,0,56898.9922,1,1,0.4246
173,finance,0,0.6300,1,0.3284,0.3175,0,66436.5507,0,0,0.5080
174,care,1,0.2800,0,0.1850,0.3011,0,43798.0758,0,0,0.6115
175,retail,0,0.4200,0,0.2340,0.2395,0,45463.7560,0,0,0.6712
176,professional,1,0.5500,0,0.3504,0.3091,0,53818.4732,0,0,0.5405
177,transport,0,0.7800,1,0.3578,0.3668,0,57536.0597,0,0,0.5823
178,trades,1,0.8600,1,0.4463,0.4135,0,57371.5008,0,0,0.5170
179,finance,0,0.6300,1,0.2623,0.3225,0,66735.7534,0,0,0.5346
180,care,1,0.2800,0,0.3113,0.2827,0,44886.6851,0,0,0.6126
181,retail,0,0.4200,0,0.2362,0.2115,0,44745.9170,0,0,0.6111
182,professional,1,0.5500,0,0.3461,0.3112,0,55257.4259,0,0,0.5801
183,transport,0,0.7800,1,0.3281,0.3375,0,57197.0278,0,0,0.5496
184,trades,1,0.8600,1,0.4154,0.4259,0,56917.8672,0,0,0.4666
185,finance,0,0.6300,1,0.3053,0.3506,0,66551.2736,0,0,0.5063
186,care,1,0.2800,0,0.2582,0.3161,0,40825.7344,0,0,0.5526
187,retail,0,0.4200,0,0.2060,0.2573,0,44318.5880,0,0,0.6772
188,professional,1,0.5500,0,0.3042,0.3247,0,52039.5311,0,0,0.5529
189,transport,0,0.7800,1,0.2749,0.3284,1,55009.3319,0,0,0.5386
190,trades,1,0.8600,1,0.5198,0.4629,0,57402.2245,1,1,0.3536
191,finance,0,0.6300,1,0.2414,0.3326,0,64798.1028,0,0,0.5267
192,care,1,0.2800,0,0.2648,0.3733,0,43999.9976,1,1,0.6014
193,retail,0,0.4200,0,0.1939,0.2256,0,47928.1234,0,0,0.6632
194,professional,1,0.5500,0,0.3270,0.3527,0,53538.1300,1,1,0.6082
195,transport,0,0.7800,1,0.3486,0.3601,0,56034.1052,0,0,0.5217
196,trades,1,0.8600,1,0.6060,0.4784,0,57490.9666,0,0,0.3834
197,finance,0,0.6300,1,0.2602,0.3240,0,66601.8656,0,0,0.4538
198,care,1,0.2800,0,0.3004,0.2994,0,43583.7935,0,0,0.5648
199,retail,0,0.4200,0,0.2443,0.2232,0,43725.2868,1,0,0.6290
200,professional,1,0.5500,0,0.3930,0.3498,0,53269.8029,1,1,0.6440
201,transport,0,0.7800,1,0.4180,0.3290,0,57621.6967,0,0,0.3445
202,trades,1,0.8600,1,0.5110,0.4200,0,55999.3920,1,1,0.4410
203,finance,0,0.6300,1,0.2905,0.3294,0,65608.4290,0,0,0.5992
204,care,1,0.2800,0,0.3333,0.3602,0,42733.2833,0,0,0.6257
205,retail,0,0.4200,0,0.1891,0.2519,1,44128.9901,0,0,0.6564
206,professional,1,0.5500,0,0.2381,0.3152,0,51826.9632,0,0,0.5667
207,transport,0,0.7800,1,0.2720,0.4148,0,56328.4591,0,0,0.4896
208,trades,1,0.8600,1,0.5525,0.4413,0,57287.2556,0,0,0.4928
209,finance,0,0.6300,1,0.3168,0.3490,0,65126.8582,0,0,0.4549
210,care,1,0.2800,0,0.2733,0.2913,0,44351.9009,0,0,0.6056
211,retail,0,0.4200,0,0.2742,0.2060,0,45107.1877,0,0,0.6019
212,professional,1,0.5500,0,0.3318,0.3037,0,52851.8224,1,1,0.5314
213,transport,0,0.7800,1,0.3002,0.3583,0,57316.3647,0,0,0.5376
214,trades,1,0.8600,1,0.5323,0.4124,0,56213.1200,0,0,0.4106
215,finance,0,0.6300,1,0.2068,0.3581,0,68868.0277,1,0,0.6500
216,care,1,0.2800,0,0.2111,0.2769,0,45180.0312,0,0,0.5481
217,retail,0,0.4200,0,0.2966,0.2570,0,47870.8147,0,0,0.6046
218,professional,1,0.5500,0,0.3329,0.3000,0,52859.9118,0,0,0.5755
219,transport,0,0.7800,1,0.3340,0.3314,0,58509.9971,0,0,0.6194
220,trades,1,0.8600,1,0.5022,0.4532,0,57247.1934,0,0,0.4719
221,finance,0,0.6300,1,0.4204,0.3633,0,65556.2414,0,0,0.4488
222,care,1,0.2800,0,0.3223,0.3133,0,44956.9368,0,0,0.6279
223,retail,0,0.4200,0,0.2407,0.2376,0,49186.1850,0,0,0.5237
224,professional,1,0.5500,0,0.3357,0.3084,0,53642.1259,0,0,0.5315
225,transport,0,0.7800,1,0.4130,0.3883,0,56069.2758,0,0,0.4613
226,trades,1,0.8600,1,0.5902,0.4232,0,56706.6058,1,1,0.3643
227,finance,0,0.6300,1,0.3456,0.3334,0,66769.9351,0,0,0.4878
228,care,1,0.2800,0,0.3455,0.2940,0,43585.8464,0,0,0.5821
229,retail,0,0.4200,0,0.2287,0.2473,0,45588.8228,0,0,0.5917
230,professional,1,0.5500,0,0.3501,0.2683,0,54452.4412,0,0,0.5693
231,transport,0,0.7800,1,0.3930,0.3554,0,59336.5691,0,0,0.4900
232,trades,1,0.8600,1,0.4171,0.4366,0,54791.1326,0,0,0.4420
233,finance,0,0.6300,1,0.2097,0.3377,0,65824.1894,1,0,0.5221
234,care,1,0.2800,0,0.2999,0.2688,0,44322.4578,0,0,0.5354
235,retail,0,0.4200,0,0.2972,0.2399,0,44502.5776,0,0,0.6051
236,professional,1,0.5500,0,0.3505,0.3040,0,51294.7037,0,0,0.5568
237,transport,0,0.7800,1,0.3155,0.3787,0,56379.4996,0,0,0.5193
238,trades,1,0.8600,1,0.5996,0.4890,0,55013.5275,0,0,0.4044
239,finance,0,0.6300,1,0.3504,0.3944,0,68795.9078,0,0,0.5258
240,care,1,0.2800,0,0.2538,0.2964,0,44090.8940,0,0,0.5725
241,retail,0,0.4200,0,0.2659,0.2635,1,43741.4381,0,0,0.5498
242,professional,1,0.5500,0,0.3540,0.3024,0,52187.1155,0,0,0.6259
243,transport,0,0.7800,1,0.3801,0.3441,0,57057.6585,0,0,0.5077
244,trades,1,0.8600,1,0.4948,0.4193,0,57140.6235,1,1,0.3881
245,finance,0,0.6300,1,0.2353,0.3383,0,67096.9928,0,0,0.5244
246,care,1,0.2800,0,0.3004,0.3409,0,40941.8958,0,0,0.6588
247,retail,0,0.4200,0,0.2398,0.2501,0,45944.3881,0,0,0.5626
248,professional,1,0.5500,0,0.2378,0.2988,0,55190.5458,0,0,0.6502
249,transport,0,0.7800,1,0.3611,0.2999,1,58569.8339,0,0,0.4802
250,trades,1,0.8600,1,0.5373,0.4637,0,54291.4451,0,0,0.5090
251,finance,0,0.6300,1,0.2927,0.4202,0,68553.5593,0,0,0.5409
252,care,1,0.2800,0,0.3142,0.3008,0,46071.2473,0,0,0.4898
253,retail,0,0.4200,0,0.2087,0.2282,0,46274.9753,1,0,0.6124
254,professional,1,0.5500,0,0.3076,0.3594,0,54019.7323,0,0,0.5731
255,transport,0,0.7800,1,0.3860,0.3424,0,58633.9352,0,0,0.4237
256,trades,1,0.8600,1,0.5408,0.4474,0,58634.1296,1,1,0.4337
257,finance,0,0.6300,1,0.2634,0.3799,0,67399.5099,0,0,0.5906
258,care,1,0.2800,0,0.2597,0.2863,0,44973.1667,0,0,0.5381
259,retail,0,0.4200,0,0.2200,0.2621,0,42462.0890,0,0,0.6105
260,professional,1,0.5500,0,0.3277,0.2549,0,51591.0657,0,0,0.5882
261,transport,0,0.7800,1,0.3633,0.3555,0,57187.3901,0,0,0.5580
262,trades,1,0.8600,1,0.4929,0.4130,1,55225.4441,1,0,0.4804
263,finance,0,0.6300,1,0.3018,0.3414,0,68183.2415,0,0,0.6466
264,care,1,0.2800,0,0.2461,0.2996,0,43206.9988,1,1,0.6625
265,retail,0,0.4200,0,0.3316,0.2215,0,46621.8183,0,0,0.5657
266,professional,1,0.5500,0,0.3741,0.2815,1,53116.4349,1,1,0.4714
267,transport,0,0.7800,1,0.4469,0.3576,0,56774.1933,1,0,0.4458
268,trades,1,0.8600,1,0.4684,0.4352,1,57293.1159,0,0,0.4836
269,finance,0,0.6300,1,0.2438,0.3115,0,67071.1635,0,0,0.5623
270,care,1,0.2800,0,0.2650,0.2698,0,41744.9259,0,0,0.6260
271,retail,0,0.4200,0,0.2209,0.2511,0,44999.9856,0,0,0.5232
272,professional,1,0.5500,0,0.3076,0.3212,0,54558.5374,1,1,0.5545
273,transport,0,0.7800,1,0.3335,0.3535,0,55838.5092,1,0,0.6210
274,trades,1,0.8600,1,0.5301,0.4587,0,55064.3653,1,1,0.4496
275,finance,0,0.6300,1,0.4285,0.3267,0,70147.5859,0,0,0.4625
276,care,1,0.2800,0,0.2956,0.3161,0,43884.1718,0,0,0.5329
277,retail,0,0.4200,0,0.1651,0.2729,0,46334.6452,0,0,0.6586
278,professional,1,0.5500,0,0.3063,0.3142,0,53225.3187,0,0,0.6040
279,transport,0,0.7800,1,0.3437,0.3543,0,56676.2835,0,0,0.5475
280,trades,1,0.8600,1,0.4669,0.4790,0,54421.9423,0,0,0.4552
281,finance,0,0.6300,1,0.3682,0.3306,0,66518.7627,0,0,0.5475
282,care,1,0.2800,0,0.2368,0.3379,0,45344.8976,0,0,0.6249
283,retail,0,0.4200,0,0.2194,0.2591,0,46911.5126,0,0,0.6478
284,professional,1,0.5500,0,0.3035,0.3561,0,52472.1690,0,0,0.6190
285,transport,0,0.7800,1,0.4031,0.3081,0,59388.4874,0,0,0.4492
286,trades,1,0.8600,1,0.5256,0.4194,0,54864.0060,1,1,0.4262
287,finance,0,0.6300,1,0.3030,0.3850,0,66351.4440,0,0,0.5161
288,care,1,0.2800,0,0.2951,0.2631,0,44958.3315,0,0,0.5784
289,retail,0,0.4200,0,0.2181,0.1894,0,45253.0260,0,0,0.6951
290,professional,1,0.5500,0,0.3260,0.3426,0,53470.9734,0,0,0.5057
291,transport,0,0.7800,1,0.3400,0.3479,0,59280.0739,0,0,0.4147
292,trades,1,0.8600,1,0.4450,0.4101,1,56474.5260,0,0,0.5351
293,finance,0,0.6300,1,0.2823,0.3207,0,65299.2089,0,0,0.5715
294,care,1,0.2800,0,0.2595,0.3435,0,45560.2754,0,0,0.6054
295,retail,0,0.4200,0,0.2488,0.1775,0,47186.4204,0,0,0.6169
296,professional,1,0.5500,0,0.2958,0.3080,0,52289.2521,0,0,0.5637
297,transport,0,0.7800,1,0.4563,0.3584,0,58944.6925,0,0,0.5274
298,trades,1,0.8600,1,0.5420,0.4803,0,57701.3326,1,1,0.4563
299,finance,0,0.6300,1,0.3010,0.3923,0,63803.3736,0,0,0.5754
300,care,1,0.2800,0,0.2144,0.3233,0,41307.0918,1,0,0.7517
301,retail,0,0.4200,0,0.2458,0.2006,0,44284.2724,0,0,0.6044
302,professional,1,0.5500,0,0.3022,0.3035,0,52375.4617,1,1,0.6331
303,transport,0,0.7800,1,0.3656,0.3162,0,58709.6176,0,0,0.5525
304,trades,1,0.8600,1,0.4968,0.4525,0,55754.2388,0,0,0.3858
305,finance,0,0.6300,1,0.3591,0.3443,0,67268.5600,0,0,0.5312
306,care,1,0.2800,0,0.3110,0.3019,0,44286.2435,0,0,0.6339
307,retail,0,0.4200,0,0.2026,0.1841,0,45667.5879,0,0,0.5424
308,professional,1,0.5500,0,0.3733,0.3177,0,54877.7333,0,0,0.6662
309,transport,0,0.7800,1,0.3883,0.3858,1,58015.7448,1,1,0.5040
310,trades,1,0.8600,1,0.4293,0.4509,1,56562.8198,0,0,0.4448
311,finance,0,0.6300,1,0.2165,0.3217,0,68040.6344,0,0,0.5281
312,care,1,0.2800,0,0.2622,0.2964,0,43415.7529,0,0,0.7505
313,retail,0,0.4200,0,0.2430,0.2580,0,44895.2119,0,0,0.6497
314,professional,1,0.5500,0,0.4169,0.3827,0,51845.5931,1,1,0.4719
315,transport,0,0.7800,1,0.3504,0.3270,0,55478.0792,1,0,0.4531
316,trades,1,0.8600,1,0.5950,0.4592,0,54362.9533,0,0,0.4712
317,finance,0,0.6300,1,0.3025,0.3646,0,68767.0971,1,1,0.5622
318,care,1,0.2800,0,0.2828,0.3087,0,41629.8071,1,0,0.5735
319,retail,0,0.4200,0,0.3337,0.2407,0,43384.5273,0,0,0.5560
320,professional,1,0.5500,0,0.2462,0.2958,0,52836.4948,0,0,0.6571
321,transport,0,0.7800,1,0.3916,0.3737,0,59167.4256,0,0,0.5051
322,trades,1,0.8600,1,0.3755,0.4269,0,58467.3079,0,0,0.5894
323,finance,0,0.6300,1,0.3064,0.3536,0,66203.5444,0,0,0.5771
324,care,1,0.2800,0,0.3277,0.3097,0,44195.8194,0,0,0.5550
325,retail,0,0.4200,0,0.3409,0.1779,0,45085.7316,0,0,0.5690
326,professional,1,0.5500,0,0.3582,0.3285,0,51465.3792,1,0,0.5869
327,transport,0,0.7800,1,0.3090,0.3998,0,57425.4750,0,0,0.4517
328,trades,1,0.8600,1,0.4526,0.4787,0,56720.6745,0,0,0.5332
329,finance,0,0.6300,1,0.2850,0.3425,0,66838.4131,0,0,0.5403
330,care,1,0.2800,0,0.3287,0.2953,1,46293.5927,0,0,0.5199
331,retail,0,0.4200,0,0.2244,0.2345,0,45148.7661,0,0,0.6313
332,professional,1,0.5500,0,0.2027,0.3338,0,52871.1189,0,0,0.6020
333,transport,0,0.7800,1,0.4230,0.3363,0,57784.6624,0,0,0.4549
334,trades,1,0.8600,1,0.5425,0.4578,0,57366.2841,0,0,0.5028
335,finance,0,0.6300,1,0.3241,0.3117,0,67936.8438,0,0,0.4535
336,care,1,0.2800,0,0.2804,0.3425,0,44764.5263,1,1,0.6880
337,retail,0,0.4200,0,0.2509,0.1984,0,47465.5026,1,0,0.6065
338,professional,1,0.5500,0,0.3477,0.3353,0,51451.1051,0,0,0.6458
339,transport,0,0.7800,1,0.3583,0.3083,0,61263.6250,0,0,0.5665
