candidate_id,cohort,female,blind_screen,baseline_score,audition_score,advanced
330,3,0,0,-0.6365,-0.2834,0
331,4,1,0,-1.2780,-1.6502,0
332,5,0,1,-0.5696,-0.3012,1
333,6,1,0,0.2508,0.0393,1
334,7,0,0,0.1654,-0.1540,0
335,8,1,1,0.5422,0.9300,1
336,1,0,1,-0.2756,-0.3592,0
337,2,1,1,0.2291,0.2477,1
338,3,0,0,0.1346,-0.3476,0
339,4,1,1,0.1723,0.1097,0
340,5,0,1,-0.2528,-0.4692,1
341,6,1,0,0.4907,0.6760,1
342,7,0,1,-0.0493,-0.2869,0
343,8,1,1,-0.5246,-0.3340,1
344,1,0,1,-0.4029,-0.4123,0
345,2,1,0,0.3693,0.7682,1
346,3,0,0,-0.2711,-0.2847,0
347,4,1,1,0.9545,0.7580,1
348,5,0,0,0.4916,0.7929,1
349,6,1,0,0.7438,0.5222,1
350,7,0,1,0.3391,0.5263,0
351,8,1,0,0.7040,0.8977,1
352,1,0,0,-0.3277,-0.1545,0
353,2,1,0,-0.8147,-0.8846,0
354,3,0,1,0.3892,0.1432,1
355,4,1,0,0.0377,0.3048,0
356,5,0,0,0.9847,0.9088,0
357,6,1,1,-0.2939,-0.0733,1
358,7,0,0,-0.0571,-0.4194,0
359,8,1,0,0.5910,0.3861,1
360,1,0,0,0.4972,0.5249,1
361,2,1,1,-0.1379,0.1521,0
362,3,0,1,0.0011,-0.0930,0
363,4,1,0,-0.9226,-1.1369,0
364,5,0,1,-0.3555,-0.4749,1
365,6,1,1,-0.8424,-0.4916,1
366,7,0,0,0.5298,0.5749,1
367,8,1,1,-0.6789,-0.6600,0
368,1,0,0,0.1530,0.3012,0
369,2,1,1,0.3112,0.4586,1
370,3,0,0,0.2353,-0.1608,0
371,4,1,0,0.3020,-0.0763,1
372,5,0,1,0.9116,0.8571,0
373,6,1,0,-0.1459,-0.1396,0
374,7,0,0,-0.0956,0.0464,0
375,8,1,1,-0.3569,0.1658,1
376,1,0,1,-0.3855,-0.6376,0
377,2,1,0,-0.2019,0.0223,0
378,3,0,0,0.0842,-0.0774,0
379,4,1,1,-0.1158,-0.2936,0
380,5,0,0,0.3137,0.0898,0
381,6,1,0,-0.8006,-0.8272,0
382,7,0,1,0.5722,0.1188,0
383,8,1,0,0.1778,0.5796,0
384,1,0,1,-0.3246,-0.2077,1
385,2,1,0,0.3664,0.6494,1
386,3,0,1,-0.2911,-0.2439,0
387,4,1,1,0.2655,0.1939,1
388,5,0,0,-0.2015,0.0096,0
389,6,1,1,-1.0165,-0.8328,0
390,7,0,1,-0.2242,-0.2910,1
391,8,1,0,-0.3780,-0.4219,0
392,1,0,0,0.1207,0.2693,1
393,2,1,0,1.4889,1.4584,1
394,3,0,1,0.6634,0.8697,0
395,4,1,0,0.2982,0.3785,0
396,5,0,0,-1.0120,-0.9395,0
397,6,1,1,0.1209,0.1127,0
398,7,0,0,-0.2608,0.0078,1
399,8,1,0,-0.0513,0.2499,0
400,1,0,0,-0.6380,-0.5642,0
401,2,1,1,0.4353,0.6118,1
402,3,0,0,-0.0191,0.3314,0
403,4,1,0,0.3724,0.6710,1
404,5,0,1,0.3806,0.6556,0
405,6,1,0,-0.0711,-0.0673,0
406,7,0,0,-0.0736,-0.3126,0
407,8,1,1,0.4230,0.5932,1
408,1,0,1,-0.0798,-0.0285,1
409,2,1,1,-0.2322,-0.4314,0
410,3,0,0,0.2993,0.5190,0
411,4,1,1,-0.4092,-0.4870,0
412,5,0,1,-0.0590,-0.0403,1
413,6,1,0,0.6729,0.4739,0
414,7,0,1,0.0248,0.3326,0
415,8,1,1,-0.0635,-0.4100,0
416,1,0,1,1.1613,0.8822,0
417,2,1,0,0.7027,0.8074,1
418,3,0,0,-1.1024,-1.1488,0
419,4,1,1,-0.2014,-0.2495,0
420,5,0,0,-0.0943,-0.4742,0
421,6,1,0,-0.5699,-0.2664,0
422,7,0,1,-0.8068,-0.9241,0
423,8,1,0,-0.4035,-0.1426,0
424,1,0,0,0.6538,0.7126,1
425,2,1,0,0.2199,-0.0644,1
426,3,0,1,0.9285,0.8250,0
427,4,1,0,-0.0889,-0.2080,1
428,5,0,0,0.5441,0.3887,1
429,6,1,1,-0.0575,-0.0992,1
430,7,0,0,-0.2288,0.0317,1
431,8,1,0,-0.0485,0.1826,0
432,1,0,0,0.1880,-0.0112,0
433,2,1,1,-0.7434,-0.8015,1
434,3,0,1,0.0029,0.0178,1
435,4,1,0,0.4238,0.6772,1
436,5,0,1,1.4028,1.1782,1
437,6,1,1,0.3929,0.7490,1
438,7,0,0,0.8657,1.0181,0
439,8,1,1,-0.0873,-0.0368,1
440,1,0,0,-0.5316,-0.4941,0
441,2,1,1,-0.0904,-0.0275,0
442,3,0,0,-0.1430,-0.1716,0
443,4,1,0,0.4740,-0.3372,0
444,5,0,1,-0.5997,-0.6427,0
445,6,1,0,0.3929,0.3550,0
446,7,0,0,0.6069,0.2523,0
447,8,1,1,-0.1500,0.0769,1
448,1,0,1,-0.0392,-0.1126,0
449,2,1,0,0.3121,0.2082,0
450,3,0,0,-0.5748,-0.3624,0
451,4,1,1,-0.6605,-0.1928,1
452,5,0,0,0.1422,-0.0042,0
453,6,1,0,0.4348,0.3269,0
454,7,0,1,-0.7402,-0.1716,0
455,8,1,0,-0.6846,-0.7868,0
456,1,0,1,-1.4175,-0.9168,0
457,2,1,0,-0.4281,-0.2985,0
458,3,0,1,-0.6014,-0.3692,0
459,4,1,1,0.9032,0.9655,0
460,5,0,0,1.0428,1.0368,1
461,6,1,1,0.6174,0.6306,0
462,7,0,1,-0.3347,-0.1565,0
463,8,1,0,-0.4133,-0.2768,0
464,1,0,0,-0.4188,-0.5945,0
465,2,1,0,-0.1050,-0.1371,1
466,3,0,1,-0.0283,-0.0650,0
467,4,1,0,0.1617,0.2597,1
468,5,0,0,-1.0815,-0.7324,0
469,6,1,1,-0.1886,0.3695,1
470,7,0,0,0.2495,0.3068,1
471,8,1,0,0.6638,0.4219,1
472,1,0,0,0.7230,0.4434,0
473,2,1,1,-0.0825,-0.3506,0
474,3,0,0,-1.1243,-1.2719,0
475,4,1,0,-0.2715,0.3446,1
476,5,0,1,-0.1688,-0.0594,0
477,6,1,0,0.2462,0.0920,0
478,7,0,0,-0.9308,-1.4217,0
479,8,1,1,0.2231,-0.3494,1
480,1,0,1,-0.2076,0.0014,0
481,2,1,1,0.3093,0.3785,0
482,3,0,0,0.1035,0.1232,0
483,4,1,1,0.3506,-0.1268,0
484,5,0,1,-0.5272,-0.5025,0
485,6,1,0,-1.0013,-1.3896,0
486,7,0,1,-0.5042,-0.8737,0
487,8,1,1,-0.4708,-0.2810,0
488,1,0,1,-0.1635,-0.3879,0
489,2,1,0,-0.4578,-0.3715,0
490,3,0,0,0.4200,0.5572,0
491,4,1,1,0.0184,0.1527,1
492,5,0,0,0.9370,0.5640,0
493,6,1,0,0.8459,1.1977,1
494,7,0,1,0.5613,-0.1215,1
495,8,1,0,-0.2025,-0.0228,0
496,1,0,0,-0.5157,-0.6390,0
497,2,1,0,0.5340,0.1598,1
498,3,0,1,0.1938,0.1429,0
499,4,1,0,-0.1185,0.2069,0
500,5,0,0,-0.2638,-0.3919,1
501,6,1,1,-0.4063,-0.3310,0
502,7,0,0,0.8377,0.8969,0
503,8,1,0,1.3968,1.0983,1
504,1,0,0,-0.2699,-0.2008,0
505,2,1,1,-0.7548,-0.5546,0
506,3,0,1,-0.7592,-0.7183,0
507,4,1,0,-0.5610,-0.2108,1
508,5,0,1,0.0013,-0.3006,1
509,6,1,1,-0.9818,-1.2493,1
510,7,0,0,0.0873,-0.1091,1
511,8,1,1,-0.3792,-0.1428,0
512,1,0,0,0.3892,0.6608,1
513,2,1,1,-0.2535,-0.5441,0
514,3,0,0,-0.1622,-0.2928,1
515,4,1,0,-0.2924,-0.2383,0
516,5,0,1,0.1685,0.0718,0
517,6,1,0,-0.1098,-0.1185,0
518,7,0,0,0.1705,-0.1695,0
519,8,1,1,-0.2730,-0.4882,0
520,1,0,1,-0.2155,-0.0277,1
521,2,1,0,-0.4025,-0.3275,0
522,3,0,0,-1.0433,-0.7221,0
523,4,1,1,-0.0630,-0.0339,1
524,5,0,0,0.1535,-0.2411,0
525,6,1,0,-0.2486,-0.3485,0
526,7,0,1,-0.3303,-0.2337,1
527,8,1,0,1.0660,1.2136,1
528,1,0,1,-0.3087,-0.5136,1
529,2,1,0,-0.2316,-0.7494,0
530,3,0,1,-0.3012,-0.7319,1
531,4,1,1,-0.4842,-0.5970,0
532,5,0,0,-0.2557,-0.0816,0
533,6,1,1,0.3033,0.7073,0
534,7,0,1,-0.9426,-1.1857,0
535,8,1,0,0.0884,-0.0273,1
536,1,0,0,0.5174,0.4775,1
537,2,1,0,-0.1146,-0.0654,1
538,3,0,1,-0.3191,-0.4612,0
539,4,1,0,-0.5754,-0.5297,0
540,5,0,0,-0.2391,-0.0959,0
541,6,1,1,-1.4609,-1.5020,1
542,7,0,0,0.2796,0.3398,0
543,8,1,0,0.4123,0.3880,0
544,1,0,0,-0.5079,-0.6141,1
545,2,1,1,0.4206,0.5177,0
546,3,0,0,0.8871,1.7568,1
547,4,1,0,0.0657,0.3009,0
548,5,0,1,0.2668,-0.0277,0
549,6,1,0,-0.0531,-0.1766,1
550,7,0,0,-0.9576,-0.5858,0
551,8,1,1,-0.3637,-0.3279,0
552,1,0,1,-0.6536,-0.5978,0
553,2,1,1,-0.4900,-0.5050,0
554,3,0,0,-0.2365,0.0935,1
555,4,1,1,0.5946,0.7337,1
556,5,0,1,-0.3090,-0.0852,0
557,6,1,0,-0.4805,-0.1446,1
558,7,0,1,0.4998,0.6879,0
559,8,1,1,-0.3734,-0.3228,0
560,1,0,1,0.0912,-0.0870,1
561,2,1,0,-0.1439,-0.2348,1
562,3,0,0,-0.4483,-0.3656,0
563,4,1,1,-0.1516,0.1185,0
564,5,0,0,-0.5063,-0.9762,0
565,6,1,0,0.3620,0.7642,0
566,7,0,1,1.1323,1.1219,1
567,8,1,0,-0.0687,0.1919,0
568,1,0,0,-0.1805,-0.3305,1
569,2,1,0,-0.9424,-0.7221,0
570,3,0,1,0.9612,0.8793,1
571,4,1,0,1.1110,1.3470,0
572,5,0,0,-0.7653,-0.9036,1
573,6,1,1,0.7220,0.5941,1
574,7,0,0,0.3686,0.3527,1
575,8,1,0,0.0186,-0.1070,0
576,1,0,0,-0.1411,0.2153,1
577,2,1,1,0.9657,1.1641,1
578,3,0,1,-0.3181,-0.2392,1
579,4,1,0,-0.3121,-0.1997,0
580,5,0,1,-0.3834,-0.2474,1
581,6,1,1,-0.0319,0.4712,0
582,7,0,0,-0.2053,-0.0604,0
583,8,1,1,-0.3597,-0.1409,1
584,1,0,0,-0.1854,-0.0487,0
585,2,1,1,1.3389,1.3028,1
586,3,0,0,0.0572,0.1961,0
587,4,1,0,-0.6088,-0.7518,0
588,5,0,1,-0.0404,0.3150,1
589,6,1,0,-0.3329,-0.2145,0
590,7,0,0,0.4239,0.4870,1
591,8,1,1,-0.2083,-0.4910,0
592,1,0,1,-0.2744,-0.5268,0
593,2,1,0,0.4902,0.3027,1
594,3,0,0,-0.6422,-0.6348,1
595,4,1,1,0.2188,-0.0844,0
596,5,0,0,-1.3613,-1.2802,0
597,6,1,0,-0.5209,-0.4387,1
598,7,0,1,-0.7134,-0.5032,0
599,8,1,0,0.7423,1.2334,0
600,1,0,1,0.0362,0.2668,0
601,2,1,0,-0.4652,-0.0323,0
602,3,0,1,0.5189,0.2205,0
603,4,1,1,0.3562,0.4367,1
604,5,0,0,-0.1624,-0.2969,1
605,6,1,1,-0.7559,-0.4429,0
606,7,0,1,-0.7477,-0.8733,0
607,8,1,0,-0.1114,0.1820,1
608,1,0,0,-0.6251,-1.0863,1
609,2,1,0,0.3301,0.7771,1
610,3,0,1,-0.7186,-0.7468,0
611,4,1,0,0.3317,0.2818,0
612,5,0,0,0.6803,0.7034,0
613,6,1,1,-0.0701,-0.0316,0
614,7,0,0,0.6885,0.5703,1
615,8,1,0,0.6574,0.3756,0
616,1,0,0,-0.6525,-0.7143,0
617,2,1,1,0.0116,0.2995,1
618,3,0,0,-1.0812,-0.9786,0
619,4,1,0,0.7589,0.8576,1
620,5,0,1,-0.4303,-0.2735,0
621,6,1,0,-0.7632,-0.9066,0
622,7,0,0,-0.0752,0.1240,1
623,8,1,1,0.2768,0.9372,1
624,1,0,1,-0.6819,-0.8267,1
625,2,1,1,0.5020,1.0486,1
626,3,0,0,0.1861,-0.0709,0
627,4,1,1,-0.8956,-1.0542,0
628,5,0,1,0.1684,0.2741,0
629,6,1,0,-0.4026,0.0783,0
630,7,0,1,0.0309,0.1885,1
631,8,1,1,-0.0785,0.0657,0
632,1,0,1,-0.1608,0.0799,0
633,2,1,0,-0.3297,-0.2562,0
634,3,0,0,-0.5850,-0.6865,0
635,4,1,1,1.0899,1.1865,1
636,5,0,0,0.3391,0.1842,1
637,6,1,0,0.0431,-0.1061,1
638,7,0,1,-0.1311,0.2605,1
639,8,1,0,-0.5688,-0.2920,0
640,1,0,0,-0.0678,-0.4661,0
