pair_id,application_id,identity_signal,occupation,employer_climate,state_protection,employer_size,resume_quality,local_unemployment,callback
P049,P049_control,control,sales,middle,0,small,0.5988,0.0739,0
P049,P049_gay_signal,gay_signal,sales,middle,0,small,0.5988,0.0739,1
P050,P050_control,control,clerical,middle,1,large,0.4643,0.0681,0
P050,P050_gay_signal,gay_signal,clerical,middle,1,large,0.4643,0.0681,0
P051,P051_control,control,finance,low,1,large,0.4976,0.0846,1
P051,P051_gay_signal,gay_signal,finance,low,1,large,0.4976,0.0846,0
P052,P052_control,control,management,high,1,large,0.5724,0.0633,0
P052,P052_gay_signal,gay_signal,management,high,1,large,0.5724,0.0633,0
P053,P053_control,control,public,low,0,small,0.7049,0.0615,0
P053,P053_gay_signal,gay_signal,public,low,0,small,0.7049,0.0615,0
P054,P054_control,control,tech,middle,0,small,0.7330,0.0704,0
P054,P054_gay_signal,gay_signal,tech,middle,0,small,0.7330,0.0704,1
P055,P055_control,control,sales,middle,0,medium,0.5866,0.0432,1
P055,P055_gay_signal,gay_signal,sales,middle,0,medium,0.5866,0.0432,0
P056,P056_control,control,clerical,low,0,large,0.5830,0.0588,0
P056,P056_gay_signal,gay_signal,clerical,low,0,large,0.5830,0.0588,0
P057,P057_control,control,finance,middle,0,medium,0.5558,0.0661,1
P057,P057_gay_signal,gay_signal,finance,middle,0,medium,0.5558,0.0661,0
P058,P058_control,control,management,middle,0,large,0.5423,0.0763,0
P058,P058_gay_signal,gay_signal,management,middle,0,large,0.5423,0.0763,0
P059,P059_control,control,public,middle,0,medium,0.7101,0.0717,1
P059,P059_gay_signal,gay_signal,public,middle,0,medium,0.7101,0.0717,0
P060,P060_control,control,tech,high,1,large,0.5839,0.0724,1
P060,P060_gay_signal,gay_signal,tech,high,1,large,0.5839,0.0724,0
P061,P061_control,control,sales,high,1,small,0.7395,0.0604,1
P061,P061_gay_signal,gay_signal,sales,high,1,small,0.7395,0.0604,1
P062,P062_control,control,clerical,middle,0,medium,0.7778,0.0594,1
P062,P062_gay_signal,gay_signal,clerical,middle,0,medium,0.7778,0.0594,1
P063,P063_control,control,finance,middle,0,small,0.5584,0.0797,0
P063,P063_gay_signal,gay_signal,finance,middle,0,small,0.5584,0.0797,0
P064,P064_control,control,management,middle,0,small,0.8733,0.0646,0
P064,P064_gay_signal,gay_signal,management,middle,0,small,0.8733,0.0646,1
P065,P065_control,control,public,high,0,small,0.4522,0.0836,0
P065,P065_gay_signal,gay_signal,public,high,0,small,0.4522,0.0836,1
P066,P066_control,control,tech,middle,0,small,0.6531,0.0687,0
P066,P066_gay_signal,gay_signal,tech,middle,0,small,0.6531,0.0687,1
P067,P067_control,control,sales,low,1,medium,0.7030,0.0615,0
P067,P067_gay_signal,gay_signal,sales,low,1,medium,0.7030,0.0615,1
P068,P068_control,control,clerical,high,1,small,0.5467,0.0309,1
P068,P068_gay_signal,gay_signal,clerical,high,1,small,0.5467,0.0309,0
P069,P069_control,control,finance,high,1,large,0.6434,0.0678,0
P069,P069_gay_signal,gay_signal,finance,high,1,large,0.6434,0.0678,1
P070,P070_control,control,management,low,0,large,0.7704,0.0682,1
P070,P070_gay_signal,gay_signal,management,low,0,large,0.7704,0.0682,0
P071,P071_control,control,public,high,0,small,0.6311,0.0857,0
P071,P071_gay_signal,gay_signal,public,high,0,small,0.6311,0.0857,0
P072,P072_control,control,tech,middle,1,large,0.6010,0.0685,1
P072,P072_gay_signal,gay_signal,tech,middle,1,large,0.6010,0.0685,1
P073,P073_control,control,sales,middle,0,medium,0.7019,0.0738,1
P073,P073_gay_signal,gay_signal,sales,middle,0,medium,0.7019,0.0738,0
P074,P074_control,control,clerical,high,1,medium,0.6741,0.0674,1
P074,P074_gay_signal,gay_signal,clerical,high,1,medium,0.6741,0.0674,1
P075,P075_control,control,finance,middle,1,large,0.7393,0.0824,0
P075,P075_gay_signal,gay_signal,finance,middle,1,large,0.7393,0.0824,1
P076,P076_control,control,management,middle,0,medium,0.8252,0.0738,0
P076,P076_gay_signal,gay_signal,management,middle,0,medium,0.8252,0.0738,1
P077,P077_control,control,public,low,1,small,0.4763,0.0570,0
P077,P077_gay_signal,gay_signal,public,low,1,small,0.4763,0.0570,0
P078,P078_control,control,tech,low,0,large,0.4967,0.0711,0
P078,P078_gay_signal,gay_signal,tech,low,0,large,0.4967,0.0711,1
P079,P079_control,control,sales,middle,0,small,0.6073,0.0535,1
P079,P079_gay_signal,gay_signal,sales,middle,0,small,0.6073,0.0535,1
P080,P080_control,control,clerical,middle,0,small,0.7592,0.0834,0
P080,P080_gay_signal,gay_signal,clerical,middle,0,small,0.7592,0.0834,0
P081,P081_control,control,finance,low,1,medium,0.6811,0.0455,0
P081,P081_gay_signal,gay_signal,finance,low,1,medium,0.6811,0.0455,0
P082,P082_control,control,management,low,0,large,0.6749,0.0618,0
P082,P082_gay_signal,gay_signal,management,low,0,large,0.6749,0.0618,0
P083,P083_control,control,public,low,1,small,0.5939,0.0514,1
P083,P083_gay_signal,gay_signal,public,low,1,small,0.5939,0.0514,0
P084,P084_control,control,tech,middle,0,small,0.5363,0.0866,1
P084,P084_gay_signal,gay_signal,tech,middle,0,small,0.5363,0.0866,0
P085,P085_control,control,sales,low,1,medium,0.7629,0.0596,0
P085,P085_gay_signal,gay_signal,sales,low,1,medium,0.7629,0.0596,0
P086,P086_control,control,clerical,low,0,small,0.7608,0.0703,0
P086,P086_gay_signal,gay_signal,clerical,low,0,small,0.7608,0.0703,1
P087,P087_control,control,finance,low,0,medium,0.6418,0.0578,0
P087,P087_gay_signal,gay_signal,finance,low,0,medium,0.6418,0.0578,1
P088,P088_control,control,management,low,0,medium,0.8090,0.0436,1
P088,P088_gay_signal,gay_signal,management,low,0,medium,0.8090,0.0436,0
P089,P089_control,control,public,high,1,large,0.5958,0.0630,1
P089,P089_gay_signal,gay_signal,public,high,1,large,0.5958,0.0630,0
P090,P090_control,control,tech,high,0,large,0.5345,0.0478,1
P090,P090_gay_signal,gay_signal,tech,high,0,large,0.5345,0.0478,0
P091,P091_control,control,sales,low,1,medium,0.5061,0.1013,0
P091,P091_gay_signal,gay_signal,sales,low,1,medium,0.5061,0.1013,0
P092,P092_control,control,clerical,middle,0,small,0.5153,0.0782,1
P092,P092_gay_signal,gay_signal,clerical,middle,0,small,0.5153,0.0782,1
P093,P093_control,control,finance,middle,0,small,0.8899,0.0518,1
P093,P093_gay_signal,gay_signal,finance,middle,0,small,0.8899,0.0518,0
P094,P094_control,control,management,middle,1,small,0.6368,0.0610,1
P094,P094_gay_signal,gay_signal,management,middle,1,small,0.6368,0.0610,1
P095,P095_control,control,public,middle,0,medium,0.5595,0.0495,0
P095,P095_gay_signal,gay_signal,public,middle,0,medium,0.5595,0.0495,1
P096,P096_control,control,tech,low,0,large,0.7547,0.0300,1
P096,P096_gay_signal,gay_signal,tech,low,0,large,0.7547,0.0300,0
P097,P097_control,control,sales,low,1,large,0.6477,0.0870,0
P097,P097_gay_signal,gay_signal,sales,low,1,large,0.6477,0.0870,0
P098,P098_control,control,clerical,low,0,large,0.7653,0.0332,0
P098,P098_gay_signal,gay_signal,clerical,low,0,large,0.7653,0.0332,0
P099,P099_control,control,finance,high,1,medium,0.8738,0.0558,0
P099,P099_gay_signal,gay_signal,finance,high,1,medium,0.8738,0.0558,0
P100,P100_control,control,management,low,1,medium,0.6936,0.0437,0
P100,P100_gay_signal,gay_signal,management,low,1,medium,0.6936,0.0437,1
P101,P101_control,control,public,high,1,large,0.6050,0.0690,0
P101,P101_gay_signal,gay_signal,public,high,1,large,0.6050,0.0690,1
P102,P102_control,control,tech,high,1,small,0.7078,0.0524,1
P102,P102_gay_signal,gay_signal,tech,high,1,small,0.7078,0.0524,1
P103,P103_control,control,sales,middle,0,large,0.4432,0.0655,0
P103,P103_gay_signal,gay_signal,sales,middle,0,large,0.4432,0.0655,0
P104,P104_control,control,clerical,high,0,small,0.6019,0.0599,1
P104,P104_gay_signal,gay_signal,clerical,high,0,small,0.6019,0.0599,1
P105,P105_control,control,finance,low,0,small,0.6505,0.0644,1
P105,P105_gay_signal,gay_signal,finance,low,0,small,0.6505,0.0644,0
P106,P106_control,control,management,low,1,small,0.7667,0.0644,1
P106,P106_gay_signal,gay_signal,management,low,1,small,0.7667,0.0644,0
P107,P107_control,control,public,high,1,large,0.7119,0.0673,0
P107,P107_gay_signal,gay_signal,public,high,1,large,0.7119,0.0673,1
P108,P108_control,control,tech,low,1,large,0.5023,0.0671,1
P108,P108_gay_signal,gay_signal,tech,low,1,large,0.5023,0.0671,0
P109,P109_control,control,sales,low,0,large,0.4145,0.0440,1
P109,P109_gay_signal,gay_signal,sales,low,0,large,0.4145,0.0440,1
P110,P110_control,control,clerical,low,1,small,0.7023,0.0589,0
P110,P110_gay_signal,gay_signal,clerical,low,1,small,0.7023,0.0589,1
P111,P111_control,control,finance,high,0,small,0.7966,0.0640,0
P111,P111_gay_signal,gay_signal,finance,high,0,small,0.7966,0.0640,1
P112,P112_control,control,management,middle,0,medium,0.6042,0.0524,1
P112,P112_gay_signal,gay_signal,management,middle,0,medium,0.6042,0.0524,0
P113,P113_control,control,public,low,1,small,0.6745,0.0588,1
P113,P113_gay_signal,gay_signal,public,low,1,small,0.6745,0.0588,0
P114,P114_control,control,tech,middle,1,small,0.5572,0.0806,0
P114,P114_gay_signal,gay_signal,tech,middle,1,small,0.5572,0.0806,0
P115,P115_control,control,sales,low,0,large,0.6168,0.0631,0
P115,P115_gay_signal,gay_signal,sales,low,0,large,0.6168,0.0631,0
P116,P116_control,control,clerical,high,1,large,0.4316,0.0832,1
P116,P116_gay_signal,gay_signal,clerical,high,1,large,0.4316,0.0832,0
P117,P117_control,control,finance,low,0,medium,0.5788,0.0821,0
P117,P117_gay_signal,gay_signal,finance,low,0,medium,0.5788,0.0821,0
P118,P118_control,control,management,high,0,small,0.5652,0.0942,1
P118,P118_gay_signal,gay_signal,management,high,0,small,0.5652,0.0942,0
P119,P119_control,control,public,high,1,small,0.5098,0.0588,1
P119,P119_gay_signal,gay_signal,public,high,1,small,0.5098,0.0588,1
P120,P120_control,control,tech,middle,1,large,0.5355,0.0738,0
P120,P120_gay_signal,gay_signal,tech,middle,1,large,0.5355,0.0738,0
P121,P121_control,control,sales,middle,1,medium,0.5013,0.0469,1
P121,P121_gay_signal,gay_signal,sales,middle,1,medium,0.5013,0.0469,0
P122,P122_control,control,clerical,high,0,small,0.6830,0.0520,0
P122,P122_gay_signal,gay_signal,clerical,high,0,small,0.6830,0.0520,0
P123,P123_control,control,finance,low,0,small,0.5076,0.0847,1
P123,P123_gay_signal,gay_signal,finance,low,0,small,0.5076,0.0847,1
P124,P124_control,control,management,high,0,medium,0.8761,0.0527,1
P124,P124_gay_signal,gay_signal,management,high,0,medium,0.8761,0.0527,1
P125,P125_control,control,public,low,0,medium,0.5152,0.0650,1
P125,P125_gay_signal,gay_signal,public,low,0,medium,0.5152,0.0650,0
P126,P126_control,control,tech,low,1,medium,0.9132,0.0658,0
P126,P126_gay_signal,gay_signal,tech,low,1,medium,0.9132,0.0658,1
P127,P127_control,control,sales,middle,0,small,0.5793,0.0586,1
P127,P127_gay_signal,gay_signal,sales,middle,0,small,0.5793,0.0586,0
P128,P128_control,control,clerical,low,0,medium,0.5906,0.0300,1
P128,P128_gay_signal,gay_signal,clerical,low,0,medium,0.5906,0.0300,0
P129,P129_control,control,finance,low,1,large,0.6139,0.0564,0
P129,P129_gay_signal,gay_signal,finance,low,1,large,0.6139,0.0564,0
P130,P130_control,control,management,middle,0,medium,0.5415,0.0701,0
P130,P130_gay_signal,gay_signal,management,middle,0,medium,0.5415,0.0701,1
P131,P131_control,control,public,low,1,large,0.6726,0.0625,0
P131,P131_gay_signal,gay_signal,public,low,1,large,0.6726,0.0625,0
P132,P132_control,control,tech,high,1,large,0.5956,0.0725,1
P132,P132_gay_signal,gay_signal,tech,high,1,large,0.5956,0.0725,0
P133,P133_control,control,sales,low,0,large,0.5840,0.0569,1
P133,P133_gay_signal,gay_signal,sales,low,0,large,0.5840,0.0569,1
P134,P134_control,control,clerical,low,0,large,0.7923,0.0610,0
P134,P134_gay_signal,gay_signal,clerical,low,0,large,0.7923,0.0610,1
P135,P135_control,control,finance,middle,1,medium,0.6821,0.0436,1
P135,P135_gay_signal,gay_signal,finance,middle,1,medium,0.6821,0.0436,0
P136,P136_control,control,management,low,0,medium,0.7668,0.0659,0
P136,P136_gay_signal,gay_signal,management,low,0,medium,0.7668,0.0659,0
P137,P137_control,control,public,middle,0,medium,0.6994,0.0613,0
P137,P137_gay_signal,gay_signal,public,middle,0,medium,0.6994,0.0613,1
P138,P138_control,control,tech,high,0,small,0.7675,0.0577,0
P138,P138_gay_signal,gay_signal,tech,high,0,small,0.7675,0.0577,0
P139,P139_control,control,sales,high,1,small,0.6146,0.0681,1
P139,P139_gay_signal,gay_signal,sales,high,1,small,0.6146,0.0681,0
P140,P140_control,control,clerical,low,1,small,0.6053,0.1200,0
P140,P140_gay_signal,gay_signal,clerical,low,1,small,0.6053,0.1200,0
P141,P141_control,control,finance,high,0,medium,0.5557,0.0501,0
P141,P141_gay_signal,gay_signal,finance,high,0,medium,0.5557,0.0501,0
P142,P142_control,control,management,low,1,medium,0.4319,0.0494,0
P142,P142_gay_signal,gay_signal,management,low,1,medium,0.4319,0.0494,0
P143,P143_control,control,public,high,1,small,0.5058,0.0692,0
P143,P143_gay_signal,gay_signal,public,high,1,small,0.5058,0.0692,1
P144,P144_control,control,tech,middle,1,large,0.7137,0.0425,0
P144,P144_gay_signal,gay_signal,tech,middle,1,large,0.7137,0.0425,1
P145,P145_control,control,sales,high,1,small,0.4986,0.0454,0
P145,P145_gay_signal,gay_signal,sales,high,1,small,0.4986,0.0454,0
P146,P146_control,control,clerical,middle,0,medium,0.7029,0.0708,1
P146,P146_gay_signal,gay_signal,clerical,middle,0,medium,0.7029,0.0708,1
P147,P147_control,control,finance,low,0,large,0.5309,0.0576,1
P147,P147_gay_signal,gay_signal,finance,low,0,large,0.5309,0.0576,0
P148,P148_control,control,management,low,1,small,0.6519,0.0730,1
P148,P148_gay_signal,gay_signal,management,low,1,small,0.6519,0.0730,0
P149,P149_control,control,public,middle,0,medium,0.4196,0.0648,1
P149,P149_gay_signal,gay_signal,public,middle,0,medium,0.4196,0.0648,0
P150,P150_control,control,tech,low,0,small,0.6617,0.0502,1
P150,P150_gay_signal,gay_signal,tech,low,0,small,0.6617,0.0502,0
P151,P151_control,control,sales,middle,1,large,0.7821,0.0706,0
P151,P151_gay_signal,gay_signal,sales,middle,1,large,0.7821,0.0706,0
P152,P152_control,control,clerical,low,0,small,0.6682,0.0682,1
P152,P152_gay_signal,gay_signal,clerical,low,0,small,0.6682,0.0682,0
P153,P153_control,control,finance,middle,1,small,0.4425,0.0714,1
P153,P153_gay_signal,gay_signal,finance,middle,1,small,0.4425,0.0714,0
P154,P154_control,control,management,low,1,medium,0.6413,0.0359,0
P154,P154_gay_signal,gay_signal,management,low,1,medium,0.6413,0.0359,1
P155,P155_control,control,public,middle,1,medium,0.7182,0.0512,1
P155,P155_gay_signal,gay_signal,public,middle,1,medium,0.7182,0.0512,0
P156,P156_control,control,tech,low,0,small,0.6978,0.0916,1
P156,P156_gay_signal,gay_signal,tech,low,0,small,0.6978,0.0916,1
P157,P157_control,control,sales,middle,1,large,0.6982,0.0488,1
P157,P157_gay_signal,gay_signal,sales,middle,1,large,0.6982,0.0488,1
P158,P158_control,control,clerical,low,0,small,0.6967,0.0668,0
P158,P158_gay_signal,gay_signal,clerical,low,0,small,0.6967,0.0668,0
P159,P159_control,control,finance,low,1,medium,0.7341,0.0487,1
P159,P159_gay_signal,gay_signal,finance,low,1,medium,0.7341,0.0487,0
P160,P160_control,control,management,low,0,medium,0.6342,0.0579,1
P160,P160_gay_signal,gay_signal,management,low,0,medium,0.6342,0.0579,0
P161,P161_control,control,public,high,0,small,0.8185,0.0632,0
P161,P161_gay_signal,gay_signal,public,high,0,small,0.8185,0.0632,0
P162,P162_control,control,tech,middle,0,large,0.7595,0.0515,0
P162,P162_gay_signal,gay_signal,tech,middle,0,large,0.7595,0.0515,1
P163,P163_control,control,sales,middle,1,small,0.7614,0.0683,0
P163,P163_gay_signal,gay_signal,sales,middle,1,small,0.7614,0.0683,0
P164,P164_control,control,clerical,middle,0,large,0.6061,0.0514,1
P164,P164_gay_signal,gay_signal,clerical,middle,0,large,0.6061,0.0514,0
P165,P165_control,control,finance,high,1,small,0.7018,0.0921,1
P165,P165_gay_signal,gay_signal,finance,high,1,small,0.7018,0.0921,1
P166,P166_control,control,management,middle,0,large,0.4113,0.0959,0
P166,P166_gay_signal,gay_signal,management,middle,0,large,0.4113,0.0959,1
P167,P167_control,control,public,high,1,medium,0.6118,0.0451,1
P167,P167_gay_signal,gay_signal,public,high,1,medium,0.6118,0.0451,1
P168,P168_control,control,tech,low,0,medium,0.5110,0.0791,0
P168,P168_gay_signal,gay_signal,tech,low,0,medium,0.5110,0.0791,0
P169,P169_control,control,sales,middle,1,small,0.5227,0.0515,1
P169,P169_gay_signal,gay_signal,sales,middle,1,small,0.5227,0.0515,0
P170,P170_control,control,clerical,low,0,large,0.8301,0.0718,1
P170,P170_gay_signal,gay_signal,clerical,low,0,large,0.8301,0.0718,1
P171,P171_control,control,finance,low,1,small,0.6957,0.0589,1
P171,P171_gay_signal,gay_signal,finance,low,1,small,0.6957,0.0589,0
P172,P172_control,control,management,low,0,large,0.4246,0.0496,0
P172,P172_gay_signal,gay_signal,management,low,0,large,0.4246,0.0496,0
P173,P173_control,control,public,middle,1,large,0.7673,0.0533,0
P173,P173_gay_signal,gay_signal,public,middle,1,large,0.7673,0.0533,1
P174,P174_control,control,tech,middle,0,medium,0.6919,0.0644,1
P174,P174_gay_signal,gay_signal,tech,middle,0,medium,0.6919,0.0644,1
P175,P175_control,control,sales,high,1,medium,0.6286,0.0682,0
P175,P175_gay_signal,gay_signal,sales,high,1,medium,0.6286,0.0682,1
P176,P176_control,control,clerical,middle,1,large,0.5498,0.0991,1
P176,P176_gay_signal,gay_signal,clerical,middle,1,large,0.5498,0.0991,0
P177,P177_control,control,finance,low,0,medium,0.5324,0.0439,0
P177,P177_gay_signal,gay_signal,finance,low,0,medium,0.5324,0.0439,1
P178,P178_control,control,management,middle,0,small,0.5086,0.0740,1
P178,P178_gay_signal,gay_signal,management,middle,0,small,0.5086,0.0740,1
P179,P179_control,control,public,middle,0,small,0.5915,0.0659,0
P179,P179_gay_signal,gay_signal,public,middle,0,small,0.5915,0.0659,0
P180,P180_control,control,tech,middle,1,small,0.8795,0.0695,0
P180,P180_gay_signal,gay_signal,tech,middle,1,small,0.8795,0.0695,0
P181,P181_control,control,sales,low,0,medium,0.7100,0.0601,0
P181,P181_gay_signal,gay_signal,sales,low,0,medium,0.7100,0.0601,1
P182,P182_control,control,clerical,middle,0,small,0.4244,0.0639,0
P182,P182_gay_signal,gay_signal,clerical,middle,0,small,0.4244,0.0639,0
P183,P183_control,control,finance,high,1,large,0.5876,0.0622,0
P183,P183_gay_signal,gay_signal,finance,high,1,large,0.5876,0.0622,0
P184,P184_control,control,management,low,0,medium,0.7056,0.0735,1
P184,P184_gay_signal,gay_signal,management,low,0,medium,0.7056,0.0735,0
P185,P185_control,control,public,high,1,small,0.6823,0.0612,1
P185,P185_gay_signal,gay_signal,public,high,1,small,0.6823,0.0612,0
P186,P186_control,control,tech,middle,1,large,0.4830,0.0614,0
P186,P186_gay_signal,gay_signal,tech,middle,1,large,0.4830,0.0614,0
P187,P187_control,control,sales,low,0,large,0.7141,0.0774,1
P187,P187_gay_signal,gay_signal,sales,low,0,large,0.7141,0.0774,0
P188,P188_control,control,clerical,low,0,large,0.5069,0.0487,0
P188,P188_gay_signal,gay_signal,clerical,low,0,large,0.5069,0.0487,1
P189,P189_control,control,finance,middle,1,large,0.4808,0.0743,1
P189,P189_gay_signal,gay_signal,finance,middle,1,large,0.4808,0.0743,0
P190,P190_control,control,management,high,1,medium,0.3901,0.0467,1
P190,P190_gay_signal,gay_signal,management,high,1,medium,0.3901,0.0467,0
P191,P191_control,control,public,high,0,small,0.5700,0.0503,1
P191,P191_gay_signal,gay_signal,public,high,0,small,0.5700,0.0503,1
P192,P192_control,control,tech,high,0,large,0.6817,0.0685,1
P192,P192_gay_signal,gay_signal,tech,high,0,large,0.6817,0.0685,0
P193,P193_control,control,sales,low,1,medium,0.7838,0.0499,0
P193,P193_gay_signal,gay_signal,sales,low,1,medium,0.7838,0.0499,0
P194,P194_control,control,clerical,low,0,large,0.6265,0.0591,1
P194,P194_gay_signal,gay_signal,clerical,low,0,large,0.6265,0.0591,1
P195,P195_control,control,finance,middle,0,small,0.6880,0.0785,1
P195,P195_gay_signal,gay_signal,finance,middle,0,small,0.6880,0.0785,0
P196,P196_control,control,management,high,1,small,0.3133,0.0704,1
