worker_id,event_year,affected,baseline_capacity,firm_accommodation_capacity,household_buffer,program_access,high_skill_job,flexible_job,severity,capacity_index,accommodation,benefit_receipt,job_mobility,employment,hours,earnings,consumption,welfare_index
worker_003,3,0,0.908,0.6,0.25,0.12,0,0,0.0,0.908,0,0,0.14,0.912,38.0,87.916,90.3,0.873
worker_003,4,0,0.908,0.6,0.25,0.12,0,0,0.0,0.908,0,0,0.155,0.911,38.0,89.329,90.893,0.872
worker_003,5,0,0.908,0.6,0.25,0.12,0,0,0.0,0.908,0,0,0.17,0.91,38.0,90.739,91.485,0.872
worker_004,-3,1,0.904,0.68,0.32,0.21,0,1,0.0,0.904,0,0,0.035,0.958,40.2,92.029,91.292,0.884
worker_004,-2,1,0.904,0.68,0.32,0.21,0,1,0.0,0.904,0,0,0.035,0.958,40.2,93.78,92.028,0.884
worker_004,-1,1,0.904,0.68,0.32,0.21,0,1,0.08,0.866,0,0,0.046,0.917,38.76,88.198,89.083,0.854
worker_004,0,1,0.904,0.68,0.32,0.21,0,1,0.34,0.741,0,0,0.083,0.785,34.08,67.59,79.598,0.759
worker_004,1,1,0.904,0.68,0.32,0.21,0,1,0.375,0.804,1,0,0.062,0.879,37.05,83.732,86.115,0.837
worker_004,2,1,0.904,0.68,0.32,0.21,0,1,0.41,0.787,1,0,0.082,0.86,36.42,81.981,85.117,0.824
worker_004,3,1,0.904,0.68,0.32,0.21,0,1,0.445,0.77,1,0,0.102,0.841,35.79,80.181,84.099,0.81
worker_004,4,1,0.904,0.68,0.32,0.21,0,1,0.48,0.754,1,0,0.122,0.823,35.16,78.335,83.061,0.797
worker_004,5,1,0.904,0.68,0.32,0.21,0,1,0.48,0.754,1,0,0.137,0.822,35.16,79.563,83.577,0.796
worker_005,-3,1,0.86,0.76,0.39,0.3,1,0,0.0,0.86,0,0,0.035,0.918,38.0,91.88,91.37,0.889
worker_005,-2,1,0.86,0.76,0.39,0.3,1,0,0.0,0.86,0,0,0.035,0.918,38.0,93.54,92.067,0.889
worker_005,-1,1,0.86,0.76,0.39,0.3,1,0,0.08,0.822,0,0,0.046,0.877,36.56,87.535,88.945,0.86
worker_005,0,1,0.86,0.76,0.39,0.3,1,0,0.36,0.687,0,0,0.145,0.731,31.52,64.009,78.329,0.754
worker_005,1,1,0.86,0.76,0.39,0.3,1,0,0.395,0.75,1,0,0.125,0.825,34.49,80.37,84.938,0.833
worker_005,2,1,0.86,0.76,0.39,0.3,1,0,0.43,0.734,1,0,0.145,0.806,33.86,78.413,83.854,0.819
worker_005,3,1,0.86,0.76,0.39,0.3,1,0,0.465,0.717,1,0,0.165,0.788,33.23,76.416,82.752,0.806
worker_005,4,1,0.86,0.76,0.39,0.3,1,0,0.5,0.67,1,1,0.185,0.589,27.2,47.532,88.358,0.742
worker_005,5,1,0.86,0.76,0.39,0.3,1,0,0.5,0.67,1,1,0.2,0.588,27.2,48.221,88.648,0.741
worker_006,-3,0,0.856,0.2,0.46,0.39,1,1,0.0,0.856,0,0,0.035,0.958,40.2,105.977,97.43,0.895
worker_006,-2,0,0.856,0.2,0.46,0.39,1,1,0.0,0.856,0,0,0.035,0.958,40.2,107.892,98.235,0.895
worker_006,-1,0,0.856,0.2,0.46,0.39,1,1,0.0,0.856,0,0,0.035,0.958,40.2,109.807,99.039,0.895
worker_006,0,0,0.856,0.2,0.46,0.39,1,1,0.0,0.856,0,0,0.035,0.958,40.2,111.723,101.454,0.895
worker_006,1,0,0.856,0.2,0.46,0.39,1,1,0.0,0.856,0,0,0.05,0.957,40.2,113.531,102.213,0.894
worker_006,2,0,0.856,0.2,0.46,0.39,1,1,0.0,0.856,0,0,0.065,0.956,40.2,115.336,102.971,0.894
worker_006,3,0,0.856,0.2,0.46,0.39,1,1,0.0,0.856,0,0,0.08,0.955,40.2,117.137,103.728,0.893
worker_006,4,0,0.856,0.2,0.46,0.39,1,1,0.0,0.856,0,0,0.095,0.954,40.2,118.935,104.483,0.892
worker_006,5,0,0.856,0.2,0.46,0.39,1,1,0.0,0.856,0,0,0.11,0.953,40.2,120.729,105.236,0.891
worker_007,-3,1,0.852,0.28,0.53,0.48,0,0,0.0,0.852,0,0,0.035,0.918,38.0,95.083,92.995,0.901
worker_007,-2,1,0.852,0.28,0.53,0.48,0,0,0.0,0.852,0,0,0.035,0.918,38.0,96.892,93.755,0.901
worker_007,-1,1,0.852,0.28,0.53,0.48,0,0,0.08,0.814,0,0,0.046,0.877,36.56,90.753,90.576,0.871
worker_007,0,1,0.852,0.28,0.53,0.48,0,0,0.4,0.66,0,0,0.151,0.711,30.8,63.098,78.416,0.751
worker_007,1,1,0.852,0.28,0.53,0.48,0,0,0.435,0.643,0,0,0.171,0.692,30.17,61.265,77.384,0.737
worker_007,2,1,0.852,0.28,0.53,0.48,0,0,0.47,0.596,0,1,0.191,0.494,24.14,35.568,84.329,0.674
worker_007,3,1,0.852,0.28,0.53,0.48,0,0,0.505,0.58,0,1,0.211,0.475,23.51,33.907,83.368,0.66
worker_007,4,1,0.852,0.28,0.53,0.48,0,0,0.54,0.563,0,1,0.231,0.456,22.88,32.241,82.406,0.646
worker_007,5,1,0.852,0.28,0.53,0.48,0,0,0.54,0.563,0,1,0.246,0.455,22.88,32.717,82.606,0.646
worker_008,-3,1,0.944,0.36,0.6,0.57,0,1,0.0,0.944,0,0,0.035,0.958,40.2,109.285,99.099,0.906
worker_008,-2,1,0.944,0.36,0.6,0.57,0,1,0.0,0.944,0,0,0.035,0.958,40.2,111.364,99.973,0.906
worker_008,-1,1,0.944,0.36,0.6,0.57,0,1,0.08,0.906,0,0,0.046,0.917,38.76,104.735,96.589,0.877
worker_008,0,1,0.944,0.36,0.6,0.57,0,1,0.34,0.781,0,0,0.083,0.785,34.08,80.263,86.46,0.781
worker_008,1,1,0.944,0.36,0.6,0.57,0,1,0.375,0.764,0,0,0.103,0.766,33.45,78.287,85.368,0.768
worker_008,2,1,0.944,0.36,0.6,0.57,0,1,0.41,0.717,0,1,0.122,0.568,27.42,48.376,90.543,0.704
worker_008,3,1,0.944,0.36,0.6,0.57,0,1,0.445,0.7,0,1,0.142,0.549,26.79,46.503,89.494,0.691
worker_008,4,1,0.944,0.36,0.6,0.57,0,1,0.48,0.684,0,1,0.162,0.53,26.16,44.612,88.437,0.677
worker_008,5,1,0.944,0.36,0.6,0.57,0,1,0.48,0.684,0,1,0.177,0.529,26.16,45.284,88.719,0.676
worker_009,-3,0,0.94,0.44,0.18,0.12,0,0,0.0,0.94,0,0,0.035,0.918,38.0,67.73,80.807,0.873
worker_009,-2,0,0.94,0.44,0.18,0.12,0,0,0.0,0.94,0,0,0.035,0.918,38.0,69.019,81.348,0.873
worker_009,-1,0,0.94,0.44,0.18,0.12,0,0,0.0,0.94,0,0,0.035,0.918,38.0,70.307,81.889,0.873
worker_009,0,0,0.94,0.44,0.18,0.12,0,0,0.0,0.94,0,0,0.095,0.914,38.0,71.315,82.942,0.87
worker_009,1,0,0.94,0.44,0.18,0.12,0,0,0.0,0.94,0,0,0.11,0.913,38.0,72.528,83.452,0.869
worker_009,2,0,0.94,0.44,0.18,0.12,0,0,0.0,0.94,0,0,0.125,0.913,38.0,73.737,83.96,0.868
worker_009,3,0,0.94,0.44,0.18,0.12,0,0,0.0,0.94,0,0,0.14,0.912,38.0,74.944,84.467,0.867
worker_009,4,0,0.94,0.44,0.18,0.12,0,0,0.0,0.94,0,0,0.155,0.911,38.0,76.149,84.973,0.867
worker_009,5,0,0.94,0.44,0.18,0.12,0,0,0.0,0.94,0,0,0.17,0.91,38.0,77.351,85.478,0.866
worker_010,-3,1,0.896,0.52,0.25,0.21,1,1,0.0,0.896,0,0,0.035,0.958,40.2,83.268,87.472,0.878
worker_010,-2,1,0.896,0.52,0.25,0.21,1,1,0.0,0.896,0,0,0.035,0.958,40.2,84.772,88.104,0.878
worker_010,-1,1,0.896,0.52,0.25,0.21,1,1,0.08,0.858,0,0,0.046,0.917,38.76,79.655,85.355,0.849
worker_010,0,1,0.896,0.52,0.25,0.21,1,1,0.38,0.714,0,0,0.088,0.765,33.36,58.154,74.95,0.739
worker_010,1,1,0.896,0.52,0.25,0.21,1,1,0.415,0.777,1,0,0.068,0.858,36.33,72.311,80.633,0.817
worker_010,2,1,0.896,0.52,0.25,0.21,1,1,0.45,0.76,1,0,0.088,0.84,35.7,70.681,79.686,0.804
worker_010,3,1,0.896,0.52,0.25,0.21,1,1,0.485,0.743,1,0,0.108,0.821,35.07,69.013,78.723,0.79
worker_010,4,1,0.896,0.52,0.25,0.21,1,1,0.52,0.726,1,0,0.128,0.802,34.44,67.31,77.745,0.776
worker_010,5,1,0.896,0.52,0.25,0.21,1,1,0.52,0.726,1,0,0.143,0.801,34.44,68.313,78.167,0.776
worker_011,-3,1,0.892,0.6,0.32,0.3,1,0,0.0,0.892,0,0,0.035,0.918,38.0,79.538,86.046,0.884
worker_011,-2,1,0.892,0.6,0.32,0.3,1,0,0.0,0.892,0,0,0.035,0.918,38.0,80.975,86.65,0.884
worker_011,-1,1,0.892,0.6,0.32,0.3,1,0,0.08,0.854,0,0,0.046,0.877,36.56,75.776,83.866,0.854
worker_011,0,1,0.892,0.6,0.32,0.3,1,0,0.4,0.7,0,0,0.151,0.711,30.8,52.639,72.868,0.734
worker_011,1,1,0.892,0.6,0.32,0.3,1,0,0.435,0.763,1,0,0.131,0.805,33.77,66.442,78.403,0.812
worker_011,2,1,0.892,0.6,0.32,0.3,1,0,0.47,0.746,1,0,0.151,0.786,33.14,64.761,77.435,0.799
worker_011,3,1,0.892,0.6,0.32,0.3,1,0,0.505,0.7,1,1,0.171,0.587,27.11,40.24,84.874,0.735
worker_011,4,1,0.892,0.6,0.32,0.3,1,0,0.54,0.683,1,1,0.191,0.569,26.48,38.675,83.953,0.722
worker_011,5,1,0.892,0.6,0.32,0.3,1,0,0.54,0.683,1,1,0.206,0.568,26.48,39.233,84.188,0.721
worker_012,-3,0,0.888,0.68,0.39,0.39,0,1,0.0,0.888,0,0,0.035,0.958,40.2,87.715,89.62,0.889
worker_012,-2,0,0.888,0.68,0.39,0.39,0,1,0.0,0.888,0,0,0.035,0.958,40.2,89.384,90.321,0.889
worker_012,-1,0,0.888,0.68,0.39,0.39,0,1,0.0,0.888,0,0,0.035,0.958,40.2,91.053,91.022,0.889
worker_012,0,0,0.888,0.68,0.39,0.39,0,1,0.0,0.888,0,0,0.035,0.958,40.2,92.722,93.088,0.889
worker_012,1,0,0.888,0.68,0.39,0.39,0,1,0.0,0.888,0,0,0.05,0.957,40.2,94.303,93.752,0.889
worker_012,2,0,0.888,0.68,0.39,0.39,0,1,0.0,0.888,0,0,0.065,0.956,40.2,95.88,94.414,0.888
worker_012,3,0,0.888,0.68,0.39,0.39,0,1,0.0,0.888,0,0,0.08,0.955,40.2,97.454,95.076,0.887
worker_012,4,0,0.888,0.68,0.39,0.39,0,1,0.0,0.888,0,0,0.095,0.954,40.2,99.025,95.735,0.886
worker_012,5,0,0.888,0.68,0.39,0.39,0,1,0.0,0.888,0,0,0.11,0.953,40.2,100.592,96.394,0.886
worker_013,-3,1,0.884,0.76,0.46,0.48,0,0,0.0,0.884,0,0,0.035,0.918,38.0,83.36,87.931,0.895
worker_013,-2,1,0.884,0.76,0.46,0.48,0,0,0.0,0.884,0,0,0.035,0.918,38.0,84.946,88.597,0.895
worker_013,-1,1,0.884,0.76,0.46,0.48,0,0,0.08,0.846,0,0,0.046,0.877,36.56,79.564,85.737,0.866
worker_013,0,1,0.884,0.76,0.46,0.48,0,0,0.36,0.711,0,0,0.145,0.731,31.52,58.231,76.287,0.76
worker_013,1,1,0.884,0.76,0.46,0.48,0,0,0.395,0.774,1,0,0.125,0.825,34.49,73.177,82.302,0.838
worker_013,2,1,0.884,0.76,0.46,0.48,0,0,0.43,0.728,1,1,0.145,0.626,28.46,46.651,88.898,0.775
worker_013,3,1,0.884,0.76,0.46,0.48,0,0,0.465,0.711,1,1,0.165,0.608,27.83,45.025,87.953,0.761
worker_013,4,1,0.884,0.76,0.46,0.48,0,0,0.5,0.694,1,1,0.185,0.589,27.2,43.38,87.0,0.748
worker_013,5,1,0.884,0.76,0.46,0.48,0,0,0.5,0.694,1,1,0.2,0.588,27.2,44.041,87.277,0.747
worker_014,-3,1,0.88,0.2,0.53,0.57,0,1,0.0,0.88,0,0,0.035,0.958,40.2,96.343,93.524,0.901
worker_014,-2,1,0.88,0.2,0.53,0.57,0,1,0.0,0.88,0,0,0.035,0.958,40.2,98.176,94.294,0.901
worker_014,-1,1,0.88,0.2,0.53,0.57,0,1,0.08,0.842,0,0,0.046,0.917,38.76,92.333,91.24,0.871
worker_014,0,1,0.88,0.2,0.53,0.57,0,1,0.38,0.698,0,0,0.088,0.765,33.36,67.469,80.402,0.761
worker_014,1,1,0.88,0.2,0.53,0.57,0,1,0.415,0.681,0,0,0.108,0.746,32.73,65.739,79.413,0.748
worker_014,2,1,0.88,0.2,0.53,0.57,0,1,0.45,0.634,0,1,0.128,0.547,26.7,40.04,86.357,0.684
worker_014,3,1,0.88,0.2,0.53,0.57,0,1,0.485,0.617,0,1,0.148,0.529,26.07,38.416,85.412,0.67
worker_014,4,1,0.88,0.2,0.53,0.57,0,1,0.52,0.6,0,1,0.168,0.51,25.44,36.78,84.462,0.657
worker_014,5,1,0.88,0.2,0.53,0.57,0,1,0.52,0.6,0,1,0.183,0.509,25.44,37.331,84.694,0.656
worker_015,-3,0,0.836,0.28,0.6,0.12,1,0,0.0,0.836,0,0,0.035,0.918,38.0,95.994,93.517,0.906
worker_015,-2,0,0.836,0.28,0.6,0.12,1,0,0.0,0.836,0,0,0.035,0.918,38.0,97.729,94.246,0.906
worker_015,-1,0,0.836,0.28,0.6,0.12,1,0,0.0,0.836,0,0,0.035,0.918,38.0,99.464,94.975,0.906
worker_015,0,0,0.836,0.28,0.6,0.12,1,0,0.0,0.836,0,0,0.095,0.914,38.0,100.802,97.637,0.903
worker_015,1,0,0.836,0.28,0.6,0.12,1,0,0.0,0.836,0,0,0.11,0.913,38.0,102.429,98.32,0.903
worker_015,2,0,0.836,0.28,0.6,0.12,1,0,0.0,0.836,0,0,0.125,0.913,38.0,104.052,99.002,0.902
worker_015,3,0,0.836,0.28,0.6,0.12,1,0,0.0,0.836,0,0,0.14,0.912,38.0,105.673,99.683,0.901
worker_015,4,0,0.836,0.28,0.6,0.12,1,0,0.0,0.836,0,0,0.155,0.911,38.0,107.29,100.362,0.9
worker_015,5,0,0.836,0.28,0.6,0.12,1,0,0.0,0.836,0,0,0.17,0.91,38.0,108.903,101.039,0.9
worker_016,-3,1,0.928,0.36,0.18,0.21,1,1,0.0,0.928,0,0,0.035,0.958,40.2,110.519,98.778,0.873
worker_016,-2,1,0.928,0.36,0.18,0.21,1,1,0.0,0.928,0,0,0.035,0.958,40.2,112.516,99.617,0.873
worker_016,-1,1,0.928,0.36,0.18,0.21,1,1,0.08,0.89,0,0,0.046,0.917,38.76,105.723,96.164,0.843
worker_016,0,1,0.928,0.36,0.18,0.21,1,1,0.34,0.765,0,0,0.083,0.785,34.08,80.949,84.439,0.748
worker_016,1,1,0.928,0.36,0.18,0.21,1,1,0.375,0.828,1,0,0.062,0.879,37.05,100.197,92.26,0.826
worker_016,2,1,0.928,0.36,0.18,0.21,1,1,0.41,0.811,1,0,0.082,0.86,36.42,98.023,91.085,0.813
worker_016,3,1,0.928,0.36,0.18,0.21,1,1,0.445,0.794,1,0,0.102,0.841,35.79,95.795,89.887,0.799
worker_016,4,1,0.928,0.36,0.18,0.21,1,1,0.48,0.778,1,0,0.122,0.823,35.16,93.518,88.668,0.785
worker_016,5,1,0.928,0.36,0.18,0.21,1,1,0.48,0.778,1,0,0.137,0.822,35.16,94.915,89.254,0.785
worker_017,-3,1,0.924,0.44,0.25,0.3,0,0,0.0,0.924,0,0,0.035,0.918,38.0,98.99,94.076,0.878
worker_017,-2,1,0.924,0.44,0.25,0.3,0,0,0.0,0.924,0,0,0.035,0.918,38.0,100.874,94.867,0.878
worker_017,-1,1,0.924,0.44,0.25,0.3,0,0,0.08,0.886,0,0,0.046,0.877,36.56,94.483,91.583,0.849
worker_017,0,1,0.924,0.44,0.25,0.3,0,0,0.36,0.751,0,0,0.145,0.731,31.52,69.149,79.718,0.743
worker_017,1,1,0.924,0.44,0.25,0.3,0,0,0.395,0.734,0,0,0.165,0.713,30.89,67.224,78.646,0.73
worker_017,2,1,0.924,0.44,0.25,0.3,0,0,0.43,0.688,0,1,0.185,0.514,24.86,39.705,84.826,0.666
worker_017,3,1,0.924,0.44,0.25,0.3,0,0,0.465,0.671,0,1,0.205,0.495,24.23,37.939,83.822,0.652
worker_017,4,1,0.924,0.44,0.25,0.3,0,0,0.5,0.654,0,1,0.225,0.477,23.6,36.165,82.814,0.639
worker_017,5,1,0.924,0.44,0.25,0.3,0,0,0.5,0.654,0,1,0.24,0.476,23.6,36.703,83.04,0.638
worker_018,-3,0,0.92,0.52,0.32,0.39,0,1,0.0,0.92,0,0,0.035,0.958,40.2,74.774,84.045,0.884
worker_018,-2,0,0.92,0.52,0.32,0.39,0,1,0.0,0.92,0,0,0.035,0.958,40.2,76.196,84.642,0.884
worker_018,-1,0,0.92,0.52,0.32,0.39,0,1,0.0,0.92,0,0,0.035,0.958,40.2,77.619,85.24,0.884
worker_018,0,0,0.92,0.52,0.32,0.39,0,1,0.0,0.92,0,0,0.035,0.958,40.2,79.042,86.958,0.884
worker_018,1,0,0.92,0.52,0.32,0.39,0,1,0.0,0.92,0,0,0.05,0.957,40.2,80.389,87.523,0.883
worker_018,2,0,0.92,0.52,0.32,0.39,0,1,0.0,0.92,0,0,0.065,0.956,40.2,81.734,88.088,0.882
worker_018,3,0,0.92,0.52,0.32,0.39,0,1,0.0,0.92,0,0,0.08,0.955,40.2,83.075,88.652,0.882
worker_018,4,0,0.92,0.52,0.32,0.39,0,1,0.0,0.92,0,0,0.095,0.954,40.2,84.414,89.214,0.881
worker_018,5,0,0.92,0.52,0.32,0.39,0,1,0.0,0.92,0,0,0.11,0.953,40.2,85.751,89.775,0.88
worker_019,-3,1,0.916,0.6,0.39,0.48,0,0,0.0,0.916,0,0,0.035,0.918,38.0,71.638,82.868,0.889
worker_019,-2,1,0.916,0.6,0.39,0.48,0,0,0.0,0.916,0,0,0.035,0.918,38.0,73.001,83.44,0.889
worker_019,-1,1,0.916,0.6,0.39,0.48,0,0,0.08,0.878,0,0,0.046,0.877,36.56,68.375,80.898,0.86
worker_019,0,1,0.916,0.6,0.39,0.48,0,0,0.4,0.724,0,0,0.151,0.711,30.8,47.539,71.112,0.74
worker_019,1,1,0.916,0.6,0.39,0.48,0,0,0.435,0.707,0,0,0.171,0.692,30.17,46.159,70.269,0.726
worker_019,2,1,0.916,0.6,0.39,0.48,0,0,0.47,0.66,0,1,0.191,0.494,24.14,26.798,79.875,0.662
worker_019,3,1,0.916,0.6,0.39,0.48,0,0,0.505,0.644,0,1,0.211,0.475,23.51,25.546,79.087,0.649
worker_019,4,1,0.916,0.6,0.39,0.48,0,0,0.54,0.627,0,1,0.231,0.456,22.88,24.291,78.297,0.635
worker_019,5,1,0.916,0.6,0.39,0.48,0,0,0.54,0.627,0,1,0.246,0.455,22.88,24.65,78.448,0.635
worker_020,-3,1,0.872,0.68,0.46,0.57,1,1,0.0,0.872,0,0,0.035,0.958,40.2,87.809,89.8,0.895
worker_020,-2,1,0.872,0.68,0.46,0.57,1,1,0.0,0.872,0,0,0.035,0.958,40.2,89.396,90.466,0.895
worker_020,-1,1,0.872,0.68,0.46,0.57,1,1,0.08,0.834,0,0,0.046,0.917,38.76,83.999,87.6,0.866
worker_020,0,1,0.872,0.68,0.46,0.57,1,1,0.34,0.709,0,0,0.083,0.785,34.08,64.316,78.993,0.77
worker_020,1,1,0.872,0.68,0.46,0.57,1,1,0.375,0.772,1,0,0.062,0.879,37.05,79.609,85.153,0.849
worker_020,2,1,0.872,0.68,0.46,0.57,1,1,0.41,0.725,1,1,0.082,0.68,31.02,52.451,91.484,0.785
worker_020,3,1,0.872,0.68,0.46,0.57,1,1,0.445,0.708,1,1,0.102,0.661,30.39,50.801,90.529,0.771
worker_020,4,1,0.872,0.68,0.46,0.57,1,1,0.48,0.692,1,1,0.122,0.643,29.76,49.13,89.565,0.758
worker_020,5,1,0.872,0.68,0.46,0.57,1,1,0.48,0.692,1,1,0.137,0.642,29.76,49.848,89.866,0.757
worker_021,-3,0,0.868,0.76,0.53,0.12,1,0,0.0,0.868,0,0,0.035,0.918,38.0,83.652,88.194,0.901
worker_021,-2,0,0.868,0.76,0.53,0.12,1,0,0.0,0.868,0,0,0.035,0.918,38.0,85.164,88.829,0.901
worker_021,-1,0,0.868,0.76,0.53,0.12,1,0,0.0,0.868,0,0,0.035,0.918,38.0,86.675,89.464,0.901
worker_021,0,0,0.868,0.76,0.53,0.12,1,0,0.0,0.868,0,0,0.095,0.914,38.0,87.841,91.808,0.898
worker_021,1,0,0.868,0.76,0.53,0.12,1,0,0.0,0.868,0,0,0.11,0.913,38.0,89.259,92.404,0.897
worker_021,2,0,0.868,0.76,0.53,0.12,1,0,0.0,0.868,0,0,0.125,0.913,38.0,90.674,92.998,0.896
worker_021,3,0,0.868,0.76,0.53,0.12,1,0,0.0,0.868,0,0,0.14,0.912,38.0,92.086,93.591,0.895
worker_021,4,0,0.868,0.76,0.53,0.12,1,0,0.0,0.868,0,0,0.155,0.911,38.0,93.495,94.183,0.895
worker_021,5,0,0.868,0.76,0.53,0.12,1,0,0.0,0.868,0,0,0.17,0.91,38.0,94.901,94.774,0.894
worker_022,-3,1,0.864,0.2,0.6,0.21,0,1,0.0,0.864,0,0,0.035,0.958,40.2,92.029,91.852,0.906
worker_022,-2,1,0.864,0.2,0.6,0.21,0,1,0.0,0.864,0,0,0.035,0.958,40.2,93.78,92.588,0.906
worker_022,-1,1,0.864,0.2,0.6,0.21,0,1,0.08,0.826,0,0,0.046,0.917,38.76,88.198,89.643,0.877
worker_022,0,1,0.864,0.2,0.6,0.21,0,1,0.38,0.682,0,0,0.088,0.765,33.36,64.448,79.518,0.767
worker_022,1,1,0.864,0.2,0.6,0.21,0,1,0.415,0.665,0,0,0.108,0.746,32.73,62.795,78.562,0.753
worker_022,2,1,0.864,0.2,0.6,0.21,0,1,0.45,0.618,0,1,0.128,0.547,26.7,38.247,85.989,0.69
worker_022,3,1,0.864,0.2,0.6,0.21,0,1,0.485,0.601,0,1,0.148,0.529,26.07,36.696,85.075,0.676
worker_022,4,1,0.864,0.2,0.6,0.21,0,1,0.52,0.584,0,1,0.168,0.51,25.44,35.133,84.156,0.662
worker_022,5,1,0.864,0.2,0.6,0.21,0,1,0.52,0.584,0,1,0.183,0.509,25.44,35.66,84.377,0.662
worker_023,-3,1,0.86,0.28,0.18,0.3,0,0,0.0,0.86,0,0,0.035,0.918,38.0,87.268,89.012,0.873
worker_023,-2,1,0.86,0.28,0.18,0.3,0,0,0.0,0.86,0,0,0.035,0.918,38.0,88.928,89.71,0.873
worker_023,-1,1,0.86,0.28,0.18,0.3,0,0,0.08,0.822,0,0,0.046,0.877,36.56,83.294,86.743,0.843
worker_023,0,1,0.86,0.28,0.18,0.3,0,0,0.4,0.668,0,0,0.151,0.711,30.8,57.912,74.313,0.723
worker_023,1,1,0.86,0.28,0.18,0.3,0,0,0.435,0.651,0,0,0.171,0.692,30.17,56.23,73.344,0.709
worker_023,2,1,0.86,0.28,0.18,0.3,0,0,0.47,0.604,0,1,0.191,0.494,24.14,32.645,81.176,0.646
worker_023,3,1,0.86,0.28,0.18,0.3,0,0,0.505,0.588,0,1,0.211,0.475,23.51,31.12,80.273,0.632
worker_023,4,1,0.86,0.28,0.18,0.3,0,0,0.54,0.571,0,1,0.231,0.456,22.88,29.591,79.368,0.618
worker_023,5,1,0.86,0.28,0.18,0.3,0,0,0.54,0.571,0,1,0.246,0.455,22.88,30.028,79.552,0.618
worker_024,-3,0,0.952,0.36,0.25,0.39,0,1,0.0,0.952,0,0,0.035,0.958,40.2,100.657,94.776,0.878
worker_024,-2,0,0.952,0.36,0.25,0.39,0,1,0.0,0.952,0,0,0.035,0.958,40.2,102.572,95.58,0.878
worker_024,-1,0,0.952,0.36,0.25,0.39,0,1,0.0,0.952,0,0,0.035,0.958,40.2,104.487,96.385,0.878
worker_024,0,0,0.952,0.36,0.25,0.39,0,1,0.0,0.952,0,0,0.035,0.958,40.2,106.403,98.064,0.878
