student_id,female,math_score,competition_choice,confidence_index,high_variance_track
81,1,1.0992,1,0.5145,0
82,0,-0.1619,1,0.6148,1
83,1,0.8645,0,0.7687,0
84,0,0.2307,1,0.4459,1
85,1,0.4882,1,0.4047,0
86,0,-0.2501,0,0.3838,1
87,1,0.6250,1,0.4357,1
88,0,-1.0389,0,-0.0421,0
89,1,-0.5309,0,0.3934,1
90,0,0.0773,0,0.6638,1
91,1,0.1897,0,0.2542,1
92,0,0.2631,0,0.7245,1
93,1,0.2742,0,0.4781,0
94,0,0.0094,0,0.6448,1
95,1,0.0109,0,0.1036,0
96,0,0.3833,1,0.4966,0
97,1,0.3139,1,0.5458,1
98,0,-0.1366,1,0.5803,0
99,1,-0.8820,1,0.1348,0
100,0,-0.5164,1,0.5621,1
101,1,-0.1892,1,0.6899,0
102,0,-0.4116,0,0.2788,0
103,1,-0.4141,0,0.5028,1
104,0,0.8702,0,0.7918,1
105,1,0.6486,1,0.5788,0
106,0,0.1135,1,0.8985,1
107,1,-0.2683,0,0.3257,0
108,0,-0.0628,0,0.3949,1
109,1,-0.4549,0,0.4407,0
110,0,0.3799,0,0.4869,0
111,1,-0.2517,0,0.2634,1
112,0,0.0156,0,0.6423,0
113,1,-0.8724,1,0.0061,0
114,0,0.4160,1,0.6032,1
115,1,0.5644,0,0.4415,1
116,0,0.5022,1,0.3328,0
117,1,0.5543,0,0.5772,0
118,0,1.8626,1,0.5909,1
119,1,-0.0490,1,0.4729,0
120,0,0.7029,1,0.6531,1
121,1,-1.3548,0,0.3333,0
122,0,-0.2463,1,0.5001,0
123,1,0.0701,0,0.4249,0
124,0,0.1256,0,0.4829,0
125,1,0.6032,1,0.6543,1
126,0,0.0782,1,0.6694,1
127,1,0.3179,0,0.4500,0
128,0,1.8540,1,0.8266,0
129,1,-0.1629,1,0.2932,0
130,0,0.3262,0,0.5900,1
131,1,0.9525,0,0.5191,0
132,0,-0.8609,1,0.1716,1
133,1,0.2661,0,0.3410,0
134,0,-0.2683,0,0.4684,0
135,1,-0.6127,0,0.2991,1
136,0,0.2111,1,0.4701,0
137,1,-0.1579,0,0.4461,0
138,0,-0.3665,1,0.2464,0
139,1,-0.0605,0,0.3565,1
140,0,-0.3813,1,0.2721,0
141,1,1.3751,0,0.5092,0
142,0,1.1748,0,0.3323,1
143,1,-0.7633,0,0.2255,0
144,0,0.1457,0,0.8142,0
145,1,-0.1674,0,0.2121,0
146,0,-0.4565,1,0.3325,1
147,1,0.4366,0,0.3679,1
148,0,-1.0922,0,0.3747,1
149,1,1.1150,0,0.4325,0
150,0,0.2959,1,0.4713,1
151,1,0.9408,1,0.8262,1
152,0,0.4565,1,0.6153,0
153,1,1.2087,1,0.7971,0
154,0,0.1925,0,0.7047,0
155,1,0.8837,0,0.4225,0
156,0,0.4788,1,0.6164,1
157,1,-0.8080,0,0.2212,0
158,0,0.2967,1,0.4144,1
159,1,0.3113,0,0.5251,0
160,0,-0.7486,0,0.1957,0
161,1,0.4702,0,0.3218,0
162,0,0.5268,0,0.5585,0
163,1,0.3172,0,0.7260,1
164,0,1.2017,0,0.6954,1
165,1,0.0046,0,0.6347,0
166,0,-0.8130,0,0.4348,0
167,1,0.4538,0,0.1993,1
168,0,0.5389,0,0.5097,1
169,1,-0.5273,1,0.1212,0
170,0,-0.1124,0,0.5395,1
171,1,-0.1498,0,0.2737,0
172,0,0.5183,0,0.4344,1
173,1,0.5944,0,0.6397,1
174,0,0.2062,0,0.8158,1
175,1,0.2781,1,0.1962,1
176,0,-0.4299,1,0.5096,0
177,1,-0.7419,0,0.1864,0
178,0,0.9832,1,0.7072,0
179,1,-0.3821,0,0.3609,1
180,0,-1.2699,0,0.8600,1
181,1,1.2583,0,0.6586,0
182,0,0.5037,1,0.5141,1
183,1,0.5215,1,0.5379,1
184,0,0.1949,0,0.5915,0
185,1,0.5403,1,0.5158,0
186,0,-0.3410,0,0.4028,1
187,1,-0.2367,0,0.5059,0
188,0,-1.8936,1,0.0098,1
189,1,-0.3145,1,0.5571,1
190,0,-0.1698,1,0.1844,1
191,1,0.9025,0,0.6720,1
192,0,-0.3834,0,0.2684,0
193,1,1.4619,0,0.7039,1
194,0,0.6930,1,0.7443,0
195,1,-0.4873,0,0.4921,0
196,0,0.0778,0,0.4943,0
197,1,0.7914,1,0.7896,1
198,0,-1.4878,0,0.0799,1
199,1,-0.7124,0,0.1484,1
200,0,-0.7756,0,0.2415,1
201,1,-1.1115,0,0.5143,0
202,0,-0.7225,0,0.2877,0
203,1,-0.2928,1,0.6873,1
204,0,0.5854,0,0.6237,0
205,1,0.4130,0,0.3119,1
206,0,-0.1885,1,0.5754,1
207,1,1.0821,1,0.2185,1
208,0,0.8531,0,0.7821,1
209,1,-0.8575,0,0.0680,0
210,0,-0.3315,0,0.5934,0
211,1,-0.3738,0,0.6231,1
212,0,-0.3176,0,0.5118,0
213,1,0.1443,1,0.5707,1
214,0,-0.1315,1,0.6830,0
215,1,-0.8091,0,0.2018,1
216,0,-0.0159,0,0.3909,0
217,1,1.0093,1,0.6823,0
218,0,-0.2481,1,0.3365,1
219,1,0.1196,0,0.2281,0
220,0,-0.6288,0,0.5082,0
221,1,-0.7900,1,0.0816,0
222,0,-1.6033,1,0.1574,1
223,1,-0.4571,0,0.4678,1
224,0,0.1724,1,0.6661,1
225,1,0.0741,0,0.4180,0
226,0,0.3064,0,0.2983,1
227,1,-0.2136,1,0.4603,1
228,0,0.4461,1,0.4339,1
229,1,-0.3542,0,0.0917,1
230,0,1.0897,0,0.9955,1
231,1,0.0010,0,0.2307,1
232,0,-0.8532,0,0.2322,0
233,1,-0.1315,0,0.3554,0
234,0,-0.1960,1,0.5882,0
235,1,-0.7683,1,0.2575,1
236,0,-0.2519,1,0.3478,1
237,1,0.1068,0,0.4204,0
238,0,0.0043,1,0.6151,1
239,1,-0.0610,0,0.2387,0
240,0,-0.0155,1,0.2141,0
241,1,0.8265,0,0.6209,0
242,0,0.5135,1,0.4724,1
243,1,-1.1521,0,0.1791,0
244,0,0.2949,1,0.7275,0
245,1,0.4381,0,0.2940,1
246,0,0.4127,1,0.4902,0
247,1,-0.2375,0,0.2706,0
248,0,-0.0647,1,0.3827,0
249,1,-0.1343,0,0.5512,0
250,0,-0.1429,1,0.6103,0
251,1,0.6669,0,0.3976,0
252,0,0.6703,1,0.4742,1
253,1,-0.9822,0,0.2906,0
254,0,-0.1327,0,0.6026,0
255,1,0.1816,0,0.2885,0
256,0,-0.6182,0,0.4106,0
257,1,0.4939,1,0.4439,0
258,0,0.1893,0,0.2481,0
259,1,-0.5266,0,0.1900,0
260,0,0.7818,1,0.6814,0
261,1,-0.6661,0,0.0874,0
262,0,0.1305,0,0.5077,0
263,1,1.3026,1,0.6046,1
264,0,-0.1480,1,0.7069,0
265,1,-1.6923,0,0.1261,0
266,0,-1.2882,0,0.1029,1
267,1,-0.1467,1,0.4179,1
268,0,-0.5836,0,0.5075,1
269,1,-1.3119,0,0.0808,0
270,0,-0.4508,0,0.4380,1
271,1,1.7199,1,0.8557,1
272,0,0.1468,1,0.4703,1
273,1,0.7337,0,0.6688,0
274,0,1.2024,1,0.6842,1
275,1,-0.3113,0,0.2988,1
276,0,0.5847,1,0.4866,1
277,1,0.1467,0,0.2205,1
278,0,-0.4091,1,0.5138,0
279,1,-0.1489,0,0.5073,0
280,0,0.0461,1,0.3092,0
281,1,-0.3644,0,0.1322,0
282,0,-0.9306,1,-0.0156,0
283,1,-0.2388,0,0.2620,0
284,0,-0.3670,0,0.6096,1
285,1,0.3319,1,0.3331,0
286,0,0.0969,1,0.6132,1
287,1,1.1563,0,0.6581,0
288,0,-0.0332,1,0.2903,0
289,1,0.3155,0,0.6412,0
290,0,-0.2969,0,0.2477,0
291,1,-0.0147,0,0.4581,0
292,0,-0.3868,1,0.5012,1
293,1,1.0994,0,0.7519,0
294,0,0.3004,0,0.6232,0
295,1,0.7144,0,0.6133,0
296,0,1.3575,0,0.8162,0
297,1,-1.2197,1,0.2105,1
298,0,0.1140,1,0.6471,0
299,1,-0.4697,0,0.3519,0
300,0,0.0415,0,0.3131,0
301,1,0.4810,1,0.5991,0
302,0,-0.4522,1,0.1995,1
303,1,0.3881,1,0.6923,1
304,0,0.1198,1,0.0564,1
305,1,-0.5425,0,0.3298,0
306,0,0.7317,0,0.5673,1
307,1,0.3304,0,0.5010,0
308,0,-0.8398,0,0.5162,0
309,1,-0.3039,1,0.2016,0
310,0,0.9204,1,0.7590,1
311,1,0.1410,0,0.4730,0
312,0,-0.4717,1,0.4205,0
313,1,-0.3091,1,0.3848,0
314,0,-0.3057,1,0.5260,1
315,1,0.6836,0,0.6244,1
316,0,0.4697,1,0.3275,1
317,1,1.1604,1,0.8443,0
318,0,-0.4520,1,0.4746,1
319,1,-0.1228,0,0.5846,0
320,0,0.0915,0,0.5963,0
321,1,0.0882,1,0.4598,1
322,0,-0.1439,1,0.3916,1
323,1,-0.2764,0,0.3092,0
324,0,-0.7277,0,0.4889,0
325,1,-0.2682,1,0.4716,1
326,0,1.2040,1,0.8533,1
327,1,0.3445,1,0.5667,0
328,0,0.6027,1,0.5108,1
329,1,0.9692,1,0.4099,1
330,0,-0.9110,0,0.3941,0
331,1,-0.9052,1,0.4745,1
332,0,-1.0039,0,0.3459,0
333,1,-0.1559,1,0.3857,0
334,0,0.1428,1,0.6854,1
335,1,0.7160,0,0.5875,0
336,0,0.5210,0,0.5262,1
337,1,-0.1181,0,0.4253,0
338,0,-0.2516,0,0.2608,1
339,1,0.2846,0,0.3267,1
340,0,0.2852,0,0.7009,0
341,1,-0.5253,0,0.1641,1
342,0,-0.7629,0,0.3230,0
343,1,1.0471,0,0.6249,0
344,0,0.6491,1,0.7646,1
345,1,0.4968,0,0.4746,1
346,0,0.0655,1,0.6368,1
347,1,-0.6420,0,0.3745,0
348,0,0.6372,1,0.9023,1
349,1,0.9080,0,0.4927,1
350,0,0.5352,0,0.7294,0
351,1,0.3391,0,0.2917,0
352,0,0.0928,1,0.5776,1
353,1,-0.7416,0,0.2543,0
354,0,-0.0383,1,0.7061,0
355,1,-0.3487,0,0.3619,0
356,0,-0.1486,0,0.4463,0
357,1,0.6395,0,0.5187,1
358,0,-0.0212,1,0.4109,1
359,1,0.7155,0,0.6547,1
360,0,0.7264,1,0.5495,0
361,1,0.4899,0,0.4265,1
362,0,0.3794,1,0.4097,0
363,1,-0.3943,0,0.3461,0
364,0,0.4192,0,0.7186,1
365,1,0.1778,1,0.4692,0
366,0,-0.7836,0,0.2756,0
367,1,-0.3102,0,0.1704,1
368,0,-0.1812,0,0.0103,0
369,1,0.0828,1,0.4826,0
370,0,-0.4412,0,0.4723,0
371,1,1.0325,0,0.6801,1
372,0,1.3203,1,0.9201,1
373,1,0.2574,0,0.4863,1
374,0,0.1460,0,0.2588,0
375,1,0.1504,1,0.4886,0
376,0,-0.0764,0,0.7175,0
377,1,-0.1814,0,0.4117,0
378,0,0.3151,1,0.5004,0
379,1,-1.0809,0,0.3138,0
380,0,0.3946,1,0.5004,1
381,1,0.1534,0,0.4803,0
382,0,1.1349,0,0.6114,0
383,1,0.0028,0,0.0888,1
384,0,-0.0645,0,0.7550,0
385,1,-1.5785,0,0.1464,0
386,0,0.3420,1,0.6067,1
387,1,-0.2263,1,0.5196,0
388,0,-0.0139,1,0.5042,0
389,1,0.3202,0,0.3498,0
390,0,0.3175,1,0.5003,1
391,1,0.1285,0,0.5970,0
392,0,-0.2055,0,0.4197,1
393,1,0.7521,1,0.4373,0
394,0,0.3473,0,0.5383,0
395,1,-0.0814,0,0.4297,0
396,0,-0.2700,0,0.3741,0
397,1,0.3933,1,0.5878,1
398,0,0.7341,1,0.7890,0
399,1,0.8271,0,0.6482,0
400,0,-0.1517,1,0.3649,0
401,1,-0.3508,1,0.5689,1
402,0,0.5406,0,0.6418,0
403,1,0.5729,0,0.4849,0
404,0,0.3344,1,0.6362,1
405,1,0.5744,0,0.5524,1
406,0,0.0744,0,0.4543,1
407,1,-0.6282,1,0.1738,0
408,0,-0.0105,0,0.3884,0
409,1,0.1008,0,0.5358,1
410,0,0.0608,0,0.5484,0
411,1,-0.6518,0,0.3347,1
412,0,0.7833,0,0.4255,1
413,1,0.1764,1,0.4366,0
414,0,-0.4905,0,0.0093,1
415,1,0.5493,1,0.3380,0
416,0,-0.1295,1,0.3857,0
417,1,0.3476,1,0.8223,0
418,0,-0.7103,1,0.3199,0
419,1,-0.5664,1,0.2707,0
420,0,-0.5569,0,0.3395,0
421,1,-0.0937,0,0.4492,0
422,0,0.4988,0,0.3817,0
423,1,-0.7138,0,0.3904,1
424,0,-0.4744,0,0.3762,0
425,1,-0.6118,0,0.4760,1
426,0,0.4521,1,0.7927,0
427,1,0.7063,0,0.4587,1
428,0,-0.1476,0,0.6758,0
429,1,-0.5216,0,0.1787,0
430,0,-0.7095,0,0.1562,0
431,1,0.5295,1,0.4254,1
432,0,0.2570,0,0.4797,0
433,1,0.0444,0,0.2659,0
434,0,0.7886,1,0.8979,0
435,1,0.2403,0,0.4798,0
436,0,0.2609,0,0.5383,0
437,1,0.2744,1,0.6426,1
438,0,0.8872,0,0.6408,0
439,1,1.8593,1,0.8194,1
440,0,0.1181,0,0.8537,1
441,1,0.1530,1,0.3790,1
442,0,-1.1160,1,0.4854,0
443,1,-0.5617,1,0.3859,0
444,0,-0.5471,0,0.4092,0
445,1,-0.1982,1,0.3836,1
446,0,-0.3174,1,0.3243,1
447,1,0.2498,0,0.5191,0
448,0,0.8353,0,0.6950,0
449,1,1.2763,1,0.5623,1
450,0,0.4774,0,0.7626,0
451,1,-1.0063,0,0.1843,1
452,0,-0.0022,1,0.5584,1
453,1,0.3385,0,0.5556,0
454,0,-0.7223,0,0.6737,0
455,1,-0.4692,1,0.4846,0
456,0,-0.0918,0,0.5776,0
457,1,0.6768,1,0.4916,1
458,0,0.0054,0,0.6551,1
459,1,-0.0600,1,0.4085,0
460,0,0.3849,1,0.7666,0
461,1,0.6322,0,0.7250,1
462,0,0.8353,1,0.7202,0
463,1,-0.6085,0,0.1823,0
464,0,0.1676,1,0.4641,0
465,1,0.3301,1,0.4638,1
466,0,-1.0380,0,0.4062,1
467,1,1.6732,1,0.9245,1
468,0,-0.2302,0,0.4604,0
469,1,0.4804,0,0.3601,1
470,0,0.1915,0,0.3001,1
471,1,-0.2480,1,0.4137,0
472,0,0.0406,0,0.5150,0
473,1,0.2170,0,0.4396,0
474,0,-0.7532,0,0.3820,0
475,1,-0.4732,1,0.0697,0
476,0,0.4825,0,0.6217,0
477,1,-0.9154,0,0.1160,0
478,0,-0.3696,1,0.5763,1
479,1,-0.3499,1,0.4181,0
480,0,0.6679,1,0.6066,0
481,1,-0.8176,0,0.2458,0
482,0,0.5979,1,0.5580,1
483,1,0.0584,1,0.3322,1
484,0,-0.6719,0,0.0184,0
485,1,0.4006,0,0.4957,0
486,0,-0.9766,1,0.3999,1
487,1,-0.1985,0,0.4195,0
488,0,0.0556,0,0.5012,1
489,1,-0.0151,0,0.6654,1
490,0,-0.2332,0,0.5967,0
491,1,-0.0840,1,0.3641,0
492,0,0.1616,0,0.6287,1
493,1,0.7617,0,0.6340,1
494,0,0.4128,0,0.1836,0
495,1,-0.5688,0,0.4226,0
496,0,-0.1216,1,0.4449,0
497,1,-1.4343,0,0.1878,0
498,0,-0.7978,1,0.4128,0
499,1,-0.1946,1,0.2021,0
500,0,-0.0901,0,0.5119,1
501,1,-0.0639,0,0.6025,0
502,0,0.0700,1,0.5510,0
503,1,0.2566,0,0.5842,0
504,0,1.0115,0,0.7311,1
505,1,0.7629,1,0.6315,0
506,0,-0.7856,1,0.2981,0
507,1,-1.6250,0,0.0922,0
508,0,-0.0079,1,0.2668,1
509,1,-0.3100,0,0.3748,0
510,0,-0.3871,1,0.4842,0
511,1,-0.6518,0,0.2826,0
512,0,-0.7336,0,0.7370,0
513,1,0.2503,1,0.8637,1
514,0,0.2675,1,0.5124,0
515,1,1.1662,1,0.8255,0
516,0,-0.3730,0,0.4683,0
517,1,-0.0825,0,0.7683,1
518,0,-0.6713,0,0.2944,1
519,1,0.2914,0,0.5148,1
520,0,0.2140,0,0.5295,0
521,1,0.3784,0,0.4740,0
522,0,-0.1720,0,0.3909,0
523,1,-0.2029,0,0.1207,0
524,0,0.2441,1,0.6310,1
525,1,-0.2709,1,0.4937,0
526,0,-0.6552,1,0.4867,0
527,1,0.4818,0,0.4906,1
528,0,-0.7427,0,0.2188,0
529,1,-0.1072,1,0.5297,1
530,0,0.0832,1,0.6494,1
531,1,-0.2578,0,0.2998,1
532,0,-0.1581,1,0.4279,0
533,1,-0.6363,0,0.2295,1
534,0,-0.6992,0,0.4815,0
535,1,-0.4825,0,0.2780,0
536,0,0.7827,1,0.6905,0
537,1,0.1267,0,0.5456,0
538,0,0.6716,1,0.6788,0
539,1,-0.8407,1,0.2120,1
540,0,0.1953,0,0.4107,1
541,1,-0.7344,0,0.0573,0
542,0,-0.4655,0,0.3290,0
543,1,0.5809,1,0.5304,0
544,0,0.0334,1,0.5531,1
545,1,-0.5888,0,0.2863,1
546,0,0.5492,0,0.7567,1
547,1,0.4059,1,0.4930,1
548,0,0.1850,0,0.2940,0
549,1,0.0471,1,0.4038,1
550,0,0.3806,0,0.6680,0
551,1,0.0168,0,0.4149,0
552,0,0.2312,0,0.4548,0
553,1,0.3857,1,0.5205,1
554,0,-0.3042,1,0.4624,1
555,1,-0.3678,0,0.4527,1
556,0,-0.8970,0,0.4591,0
557,1,-0.2836,0,0.3711,0
558,0,-0.7204,1,0.2470,1
559,1,0.7054,0,0.4990,0
560,0,1.5286,1,0.7261,0
561,1,-0.6900,0,0.2250,1
562,0,-0.3358,0,0.3947,0
563,1,0.3320,1,0.4241,0
564,0,-0.8114,1,0.2372,1
565,1,0.4008,0,0.5423,0
566,0,-1.0758,0,0.3840,0
567,1,0.0696,0,0.2119,0
568,0,0.1924,0,0.6797,1
569,1,-0.4116,1,0.2350,0
570,0,0.7128,1,0.6127,0
571,1,0.8297,0,0.3561,0
572,0,-0.2084,1,0.3616,1
573,1,0.1070,0,0.3231,0
574,0,-0.1088,0,0.3338,0
575,1,-0.4745,0,0.1818,0
576,0,-0.3381,0,0.5651,1
577,1,-0.3387,0,0.5788,1
578,0,-0.4186,1,0.2493,1
579,1,0.4708,1,0.3074,1
580,0,0.2476,0,0.6510,0
581,1,-0.7721,0,0.1276,0
582,0,1.4850,1,0.7085,1
583,1,-0.4962,0,0.2989,1
584,0,-0.4523,0,0.8056,0
585,1,-0.3295,0,0.3132,0
586,0,0.7185,1,0.8039,1
587,1,0.8538,1,0.5448,1
588,0,-1.3500,0,0.2967,0
589,1,0.6931,0,0.5597,1
590,0,0.8490,1,0.5257,1
591,1,-0.2028,0,0.2834,0
592,0,0.2889,1,0.7686,1
593,1,0.7812,0,0.6143,1
594,0,-0.7655,0,0.2577,1
595,1,-1.2967,0,0.2342,1
596,0,-0.0809,0,0.3359,0
597,1,-0.0137,1,0.3442,1
598,0,0.1760,0,0.7135,1
599,1,-0.2129,0,0.0857,0
600,0,-0.3139,0,0.5936,0
601,1,0.1818,1,0.6440,1
602,0,0.1185,1,0.6247,0
603,1,0.6995,0,0.6521,0
604,0,0.4950,1,0.5977,1
605,1,-1.2482,0,0.1059,0
606,0,-0.2398,1,0.5460,1
607,1,-0.5343,0,0.4101,1
608,0,0.1926,0,0.4454,1
609,1,-0.2244,0,0.3513,0
610,0,-0.3925,0,0.5417,1
611,1,-0.1418,1,0.5174,1
612,0,-0.4321,0,0.3279,0
613,1,0.2814,0,0.1681,0
614,0,0.2692,0,0.5418,1
615,1,0.6451,0,0.5651,1
616,0,0.1671,1,0.5093,0
617,1,-0.4354,0,0.4487,0
618,0,-0.6500,0,0.3573,1
619,1,-0.3141,1,0.4179,1
620,0,-0.4005,0,0.5732,0
621,1,0.2215,1,0.5080,1
622,0,-0.5345,0,0.2388,1
623,1,1.1121,1,0.6461,1
624,0,0.9831,1,0.5258,1
625,1,-0.3544,0,0.1925,0
626,0,-0.4310,1,0.6730,0
627,1,-0.6072,1,0.2367,0
628,0,-0.8521,0,0.3301,0
629,1,0.0978,0,0.6264,0
630,0,0.5393,0,0.5442,0
631,1,0.5861,1,0.4796,1
632,0,-0.3404,0,0.1789,0
633,1,0.6320,0,0.5632,0
634,0,1.0150,0,0.7235,1
635,1,0.0286,0,0.6021,0
636,0,0.6511,0,0.5803,0
637,1,0.3063,1,0.3804,0
638,0,-0.4074,0,0.5130,0
639,1,-0.9920,1,0.1640,0
640,0,-0.2979,1,0.6004,0
