seeker_id,arm,weekly_applications,subjective_job_finding_prob,employed_within_8_weeks
info-004,information,4.94,0.405,1
info-005,information,5.02,0.415,1
info-006,information,5.1,0.365,1
info-007,information,5.18,0.375,1
info-008,information,4.62,0.385,1
info-009,information,4.7,0.395,1
info-010,information,4.78,0.405,1
info-011,information,4.86,0.415,1
info-012,information,4.94,0.365,1
info-013,information,5.02,0.375,1
info-014,information,5.1,0.385,1
info-015,information,5.18,0.395,1
info-016,information,4.62,0.405,1
info-017,information,4.7,0.415,1
info-018,information,4.78,0.365,1
info-019,information,4.86,0.375,1
info-020,information,4.94,0.385,1
info-021,information,5.02,0.395,1
info-022,information,5.1,0.405,1
info-023,information,5.18,0.415,1
info-024,information,4.62,0.365,1
info-025,information,4.7,0.375,1
info-026,information,4.78,0.385,1
info-027,information,4.86,0.395,1
info-028,information,4.94,0.405,0
info-029,information,5.02,0.415,0
info-030,information,5.1,0.365,0
info-031,information,5.18,0.375,0
info-032,information,4.62,0.385,0
info-033,information,4.7,0.395,0
info-034,information,4.78,0.405,0
info-035,information,4.86,0.415,0
info-036,information,4.94,0.365,0
info-037,information,5.02,0.375,0
info-038,information,5.1,0.385,0
info-039,information,5.18,0.395,0
info-040,information,4.62,0.405,0
info-041,information,4.7,0.415,0
info-042,information,4.78,0.365,0
info-043,information,4.86,0.375,0
info-044,information,4.94,0.385,0
info-045,information,5.02,0.395,0
info-046,information,5.1,0.405,0
info-047,information,5.18,0.415,0
info-048,information,4.62,0.365,0
info-049,information,4.7,0.375,0
info-050,information,4.78,0.385,0
info-051,information,4.86,0.395,0
info-052,information,4.94,0.405,0
info-053,information,5.02,0.415,0
info-054,information,5.1,0.365,0
info-055,information,5.18,0.375,0
info-056,information,4.62,0.385,0
info-057,information,4.7,0.395,0
info-058,information,4.78,0.405,0
info-059,information,4.86,0.415,0
info-060,information,4.94,0.365,0
info-061,information,5.02,0.375,0
info-062,information,5.1,0.385,0
info-063,information,5.18,0.395,0
info-064,information,4.62,0.405,0
info-065,information,4.7,0.415,0
info-066,information,4.78,0.365,0
info-067,information,4.86,0.375,0
info-068,information,4.94,0.385,0
info-069,information,5.02,0.395,0
info-070,information,5.1,0.405,0
info-071,information,5.18,0.415,0
info-072,information,4.62,0.365,0
info-073,information,4.7,0.375,0
info-074,information,4.78,0.385,0
info-075,information,4.86,0.395,0
info-076,information,4.94,0.405,0
info-077,information,5.02,0.415,0
info-078,information,5.1,0.365,0
info-079,information,5.18,0.375,0
info-000,information_planning,5.12,0.405,1
info-001,information_planning,5.2,0.415,1
info-002,information_planning,5.28,0.425,1
info-003,information_planning,5.36,0.435,1
info-004,information_planning,5.44,0.445,1
info-005,information_planning,5.52,0.455,1
info-006,information_planning,5.6,0.405,1
info-007,information_planning,5.68,0.415,1
info-008,information_planning,5.12,0.425,1
info-009,information_planning,5.2,0.435,1
info-010,information_planning,5.28,0.445,1
info-011,information_planning,5.36,0.455,1
info-012,information_planning,5.44,0.405,1
info-013,information_planning,5.52,0.415,1
info-014,information_planning,5.6,0.425,1
info-015,information_planning,5.68,0.435,1
info-016,information_planning,5.12,0.445,1
info-017,information_planning,5.2,0.455,1
info-018,information_planning,5.28,0.405,1
info-019,information_planning,5.36,0.415,1
info-020,information_planning,5.44,0.425,1
info-021,information_planning,5.52,0.435,1
info-022,information_planning,5.6,0.445,1
info-023,information_planning,5.68,0.455,1
info-024,information_planning,5.12,0.405,1
info-025,information_planning,5.2,0.415,1
info-026,information_planning,5.28,0.425,1
info-027,information_planning,5.36,0.435,1
info-028,information_planning,5.44,0.445,1
info-029,information_planning,5.52,0.455,1
info-030,information_planning,5.6,0.405,1
info-031,information_planning,5.68,0.415,1
info-032,information_planning,5.12,0.425,1
info-033,information_planning,5.2,0.435,1
info-034,information_planning,5.28,0.445,0
info-035,information_planning,5.36,0.455,0
info-036,information_planning,5.44,0.405,0
info-037,information_planning,5.52,0.415,0
info-038,information_planning,5.6,0.425,0
info-039,information_planning,5.68,0.435,0
info-040,information_planning,5.12,0.445,0
info-041,information_planning,5.2,0.455,0
info-042,information_planning,5.28,0.405,0
info-043,information_planning,5.36,0.415,0
info-044,information_planning,5.44,0.425,0
info-045,information_planning,5.52,0.435,0
info-046,information_planning,5.6,0.445,0
info-047,information_planning,5.68,0.455,0
info-048,information_planning,5.12,0.405,0
info-049,information_planning,5.2,0.415,0
info-050,information_planning,5.28,0.425,0
info-051,information_planning,5.36,0.435,0
info-052,information_planning,5.44,0.445,0
info-053,information_planning,5.52,0.455,0
info-054,information_planning,5.6,0.405,0
info-055,information_planning,5.68,0.415,0
info-056,information_planning,5.12,0.425,0
info-057,information_planning,5.2,0.435,0
info-058,information_planning,5.28,0.445,0
info-059,information_planning,5.36,0.455,0
info-060,information_planning,5.44,0.405,0
info-061,information_planning,5.52,0.415,0
info-062,information_planning,5.6,0.425,0
info-063,information_planning,5.68,0.435,0
info-064,information_planning,5.12,0.445,0
info-065,information_planning,5.2,0.455,0
info-066,information_planning,5.28,0.405,0
info-067,information_planning,5.36,0.415,0
info-068,information_planning,5.44,0.425,0
info-069,information_planning,5.52,0.435,0
info-070,information_planning,5.6,0.445,0
info-071,information_planning,5.68,0.455,0
info-072,information_planning,5.12,0.405,0
info-073,information_planning,5.2,0.415,0
info-074,information_planning,5.28,0.425,0
info-075,information_planning,5.36,0.435,0
info-076,information_planning,5.44,0.445,0
info-077,information_planning,5.52,0.455,0
info-078,information_planning,5.6,0.405,0
info-079,information_planning,5.68,0.415,0
