worker_id,unit,cohort,female,manager_overlap,baseline_performance,pre_level,prior_wage,informal_interaction,mentoring_score,promoted,wage_growth,retained
27,4,4,0,0,-0.1203,4,65191.4622,0.5261,0.3863,0,0.0310,1
28,5,5,1,1,0.0493,1,56433.8364,0.5683,0.4270,1,0.0360,1
29,6,6,0,0,-0.3840,2,59114.0554,0.3383,0.2102,0,0.0321,1
30,7,1,1,0,-0.3073,3,64045.0070,0.2985,0.2792,0,0.0322,1
31,8,2,0,1,-1.7974,4,62189.0428,0.4319,0.4040,0,0.0490,1
32,9,3,1,0,-0.3397,1,56977.4626,0.2819,0.2942,0,0.0246,1
33,10,4,0,1,0.5571,2,59230.0222,0.8576,0.5709,0,0.0507,1
34,11,5,1,0,-0.7344,3,61309.9344,0.2582,0.2491,0,0.0446,1
35,12,6,0,0,0.7150,4,66061.1286,0.3333,0.3346,1,0.0346,1
36,1,1,1,0,-0.3409,1,56757.1108,0.3136,0.3100,0,0.0271,1
37,2,2,0,1,1.4466,2,62364.5009,0.7379,0.5915,0,0.0418,1
38,3,3,1,0,0.3372,3,62247.0503,0.3729,0.3484,0,0.0107,1
39,4,4,0,0,0.3375,4,63885.9619,0.3418,0.3679,1,0.0686,1
40,5,5,1,1,0.2085,1,57328.8104,0.5363,0.5393,1,0.0612,1
41,6,6,0,0,0.0415,2,60383.0895,0.5297,0.3176,0,0.0263,1
42,7,1,1,1,0.6546,3,63004.9125,0.7267,0.4212,1,0.0648,0
43,8,2,0,0,0.1676,4,66232.6376,0.5061,0.2963,0,0.0285,1
44,9,3,1,0,-0.1446,1,56587.7258,0.2939,0.1876,0,0.0205,1
45,10,4,0,1,-0.7284,2,58006.5819,0.6576,0.3007,1,0.0752,1
46,11,5,1,0,0.0118,3,62698.5044,0.3267,0.2619,0,0.0149,1
47,12,6,0,1,-0.2671,4,62859.0382,0.7780,0.3449,0,0.0478,0
48,1,1,1,0,-0.3815,1,54880.6683,0.3431,0.2345,0,0.0389,1
49,2,2,0,1,-0.9878,2,57025.1590,0.7579,0.3620,0,0.0398,0
50,3,3,1,0,-0.2238,3,61477.3922,0.2588,0.3064,1,0.0424,1
51,4,4,0,1,-0.9019,4,63244.2078,0.6461,0.3300,0,0.0443,1
52,5,5,1,0,0.2692,1,55132.7422,0.2743,0.1979,0,0.0430,1
53,6,6,0,0,1.0436,2,61229.7111,0.5346,0.4147,1,0.0611,1
54,7,1,1,1,-0.7217,3,61185.1096,0.4850,0.4068,0,0.0307,0
55,8,2,0,0,-0.1530,4,64036.3247,0.4720,0.4095,0,0.0087,1
56,9,3,1,1,0.0903,1,56705.3806,0.6418,0.5217,1,0.0481,1
57,10,4,0,0,0.0113,2,60155.3660,0.4755,0.4014,0,0.0300,1
58,11,5,1,0,0.1015,3,61319.6047,0.2672,0.1909,0,0.0212,0
59,12,6,0,1,0.1580,4,63539.3450,0.7947,0.5297,0,0.0368,0
60,1,1,1,1,-0.2930,1,55501.6807,0.4599,0.3084,0,0.0308,1
61,2,2,0,0,1.0474,2,61474.3110,0.6355,0.5237,1,0.0592,1
62,3,3,1,0,1.2618,3,62198.8900,0.2568,0.3711,1,0.0385,1
63,4,4,0,1,-0.9246,4,63193.2511,0.6648,0.4799,0,0.0312,1
64,5,5,1,0,0.6403,1,58293.1475,0.2862,0.3424,0,0.0499,1
65,6,6,0,1,0.9990,2,61678.8573,0.8306,0.6012,1,0.0636,1
66,7,1,1,0,0.5797,3,61960.8684,0.5159,0.4280,0,0.0210,0
67,8,2,0,0,-0.5666,4,65215.4130,0.3939,0.3155,1,0.0678,1
68,9,3,1,1,0.0343,1,58310.9874,0.4131,0.6512,0,0.0456,1
69,10,4,0,0,-0.7889,2,57893.0150,0.3027,0.2987,1,0.0522,1
70,11,5,1,1,0.7604,3,64389.0422,0.5522,0.5078,0,0.0334,1
71,12,6,0,0,-0.4138,4,64766.0397,0.4482,0.2002,0,0.0508,1
72,1,1,1,1,-0.6803,1,56149.3690,0.5492,0.4978,0,0.0382,1
73,2,2,0,0,-1.4139,2,56559.6166,0.1992,0.3121,0,0.0469,1
74,3,3,1,1,-0.3046,3,59865.4518,0.5470,0.3786,0,0.0412,1
75,4,4,0,0,-0.8107,4,62944.4779,0.3890,0.2933,1,0.0562,1
76,5,5,1,0,-0.5308,1,54693.0111,0.3417,0.3909,0,0.0308,1
77,6,6,0,1,-0.5067,2,59561.0444,0.7271,0.5415,0,0.0414,1
78,7,1,1,0,0.8926,3,63936.9352,0.5725,0.5621,1,0.0269,1
79,8,2,0,1,-0.7256,4,65721.7303,0.6356,0.3507,0,0.0473,0
80,9,3,1,0,-0.2190,1,57244.7046,0.3728,0.3454,0,0.0232,1
81,10,4,0,0,-0.1748,2,58737.3549,0.3966,0.4310,0,0.0287,1
82,11,5,1,1,0.1704,3,63771.1853,0.3385,0.5865,0,0.0528,1
83,12,6,0,0,-0.3504,4,64812.6278,0.3393,0.2183,0,0.0313,0
84,1,1,1,0,0.4040,1,57760.2082,0.2900,0.4100,0,0.0146,1
85,2,2,0,0,-0.0180,2,58988.6545,0.3857,0.3453,0,0.0334,0
86,3,3,1,1,0.5731,3,63863.0573,0.5978,0.3499,1,0.0752,1
87,4,4,0,0,-0.0696,4,66151.5898,0.4250,0.3973,0,0.0271,1
88,5,5,1,1,-0.6574,1,55662.4352,0.4602,0.3417,0,0.0404,1
89,6,6,0,0,-0.6723,2,56533.4566,0.3830,0.3252,0,0.0259,1
90,7,1,1,0,-0.5397,3,61843.5252,0.2518,0.2717,0,0.0235,1
91,8,2,0,1,0.4465,4,66461.4678,0.7524,0.5006,0,0.0454,1
92,9,3,1,0,0.1332,1,58284.8022,0.3423,0.2765,0,0.0229,1
93,10,4,0,1,-0.0175,2,58732.2925,0.7868,0.6793,1,0.0704,1
94,11,5,1,0,0.2136,3,63030.4998,0.3711,0.4161,1,0.0607,1
95,12,6,0,0,0.7806,4,65603.3522,0.4297,0.3588,0,0.0360,1
96,1,1,1,0,-0.4198,1,56814.0411,0.2326,0.3145,0,0.0225,1
97,2,2,0,1,0.1386,2,60549.2909,0.7558,0.5259,1,0.0795,1
98,3,3,1,0,1.2240,3,64359.5067,0.5594,0.4853,0,0.0162,1
99,4,4,0,0,-0.8742,4,61948.8717,0.2781,0.3580,0,0.0295,1
100,5,5,1,1,-0.0892,1,56785.7933,0.6575,0.4394,0,0.0639,1
101,6,6,0,0,1.0891,2,63546.0833,0.5889,0.3368,0,0.0296,1
102,7,1,1,1,-0.3256,3,61139.9145,0.4545,0.4567,1,0.0677,1
103,8,2,0,0,0.0063,4,65473.5124,0.4086,0.3812,0,0.0332,1
104,9,3,1,0,0.1901,1,56329.5174,0.3449,0.3422,0,0.0266,1
105,10,4,0,1,0.3938,2,59691.4931,0.8600,0.4427,1,0.0449,1
106,11,5,1,0,0.3997,3,63243.8198,0.3271,0.3375,1,0.0519,1
107,12,6,0,1,0.3103,4,64783.6653,0.8029,0.5777,1,0.0601,1
108,1,1,1,0,-0.5581,1,54306.6953,0.3360,0.2876,0,0.0257,1
109,2,2,0,1,-0.6506,2,57912.7206,0.6994,0.4802,0,0.0471,1
110,3,3,1,0,-0.3886,3,62401.5667,0.3482,0.2546,0,0.0477,1
111,4,4,0,1,0.0349,4,65308.5005,0.7075,0.5134,0,0.0544,1
112,5,5,1,0,0.0083,1,54757.0497,0.2995,0.3698,0,0.0092,1
113,6,6,0,0,-0.2878,2,58918.1648,0.3866,0.2318,0,0.0424,1
114,7,1,1,1,-0.4475,3,62652.0574,0.4096,0.4902,0,0.0222,0
115,8,2,0,0,1.4895,4,67445.1941,0.5314,0.4470,1,0.0669,1
116,9,3,1,1,0.3250,1,55946.6888,0.6167,0.4255,0,0.0526,1
117,10,4,0,0,-0.1870,2,58938.2822,0.2505,0.4206,0,0.0348,1
118,11,5,1,0,-0.5763,3,62844.8547,0.3333,0.2192,0,0.0317,0
119,12,6,0,1,0.0742,4,66588.4234,0.7995,0.3688,0,0.0393,1
120,1,1,1,1,-0.1246,1,55653.7598,0.4443,0.3355,0,0.0326,1
121,2,2,0,0,-0.5887,2,57741.8606,0.3054,0.1729,0,0.0288,1
122,3,3,1,0,0.1677,3,62040.1735,0.4205,0.4637,1,0.0495,1
123,4,4,0,1,0.1902,4,64125.8897,0.8169,0.4917,0,0.0458,1
124,5,5,1,0,-0.1814,1,55360.3990,0.2430,0.3178,0,0.0356,1
125,6,6,0,1,0.9523,2,61572.1972,0.7864,0.6956,0,0.0450,0
126,7,1,1,0,0.5116,3,63776.6755,0.3887,0.2737,1,0.0585,1
127,8,2,0,0,0.5598,4,65808.7574,0.4025,0.2500,0,0.0455,1
128,9,3,1,1,-0.1142,1,57212.3534,0.5523,0.4318,0,0.0523,1
129,10,4,0,0,0.3320,2,59803.3406,0.3615,0.3766,0,0.0204,1
130,11,5,1,1,1.0014,3,64583.0194,0.6828,0.6641,0,0.0481,0
131,12,6,0,0,0.2419,4,65031.8898,0.3892,0.5124,1,0.0332,1
132,1,1,1,1,-0.3152,1,57589.0558,0.4692,0.5444,0,0.0414,1
133,2,2,0,0,0.1630,2,62209.6698,0.5785,0.4952,0,0.0343,1
134,3,3,1,1,0.4181,3,62689.1091,0.6302,0.4993,1,0.0507,1
135,4,4,0,0,-0.1988,4,64555.8120,0.2701,0.3425,0,0.0242,1
136,5,5,1,0,0.3472,1,56577.3429,0.3531,0.3051,1,0.0562,1
137,6,6,0,1,-0.0339,2,57053.8138,0.7116,0.5935,0,0.0588,1
138,7,1,1,0,-0.6044,3,58425.4449,0.2327,0.2445,0,0.0281,1
139,8,2,0,1,0.4456,4,65499.8507,0.9097,0.5102,1,0.0827,1
140,9,3,1,0,-0.2335,1,54205.3362,0.4030,0.1761,0,0.0228,1
141,10,4,0,0,0.2133,2,59863.2366,0.5041,0.2220,0,0.0343,1
142,11,5,1,1,0.1802,3,61676.5870,0.5071,0.3935,1,0.0666,1
143,12,6,0,0,0.4434,4,65152.5127,0.4212,0.2234,0,0.0301,1
144,1,1,1,0,-0.0479,1,57771.1332,0.3064,0.3085,1,0.0493,0
145,2,2,0,0,-0.8049,2,58672.1711,0.2579,0.3036,0,0.0384,0
146,3,3,1,1,0.0975,3,62305.1274,0.4227,0.5040,1,0.0470,1
147,4,4,0,0,-0.6731,4,64851.8311,0.4619,0.4340,1,0.0556,1
148,5,5,1,1,-1.2954,1,54522.2766,0.4194,0.3003,0,0.0544,1
149,6,6,0,0,0.7486,2,61793.6202,0.4137,0.5380,0,0.0346,0
150,7,1,1,0,0.9524,3,62787.1773,0.3778,0.5617,1,0.0587,0
151,8,2,0,1,0.8921,4,67020.9059,0.8560,0.4201,1,0.0675,1
152,9,3,1,0,0.4382,1,56255.8283,0.4569,0.3086,1,0.0520,1
153,10,4,0,1,0.2751,2,58400.1841,0.6703,0.4297,0,0.0384,1
154,11,5,1,0,-1.2554,3,58851.2202,0.1404,0.2268,0,0.0205,1
155,12,6,0,0,0.0682,4,65581.4878,0.3011,0.3018,1,0.0397,1
156,1,1,1,0,1.0411,1,57599.7103,0.4331,0.4713,0,0.0127,1
157,2,2,0,1,0.9961,2,60432.9275,0.9316,0.6706,1,0.0648,1
158,3,3,1,0,0.4004,3,61318.3481,0.1879,0.4690,0,0.0415,1
159,4,4,0,0,0.7268,4,68326.5534,0.4420,0.3544,1,0.0607,1
160,5,5,1,1,0.1620,1,56322.7482,0.4639,0.5316,1,0.0680,1
161,6,6,0,0,0.7394,2,60490.0424,0.4157,0.3550,0,0.0313,1
162,7,1,1,1,-0.6429,3,61841.0383,0.4851,0.4973,1,0.0646,1
163,8,2,0,0,0.1781,4,63874.5987,0.4507,0.4191,0,0.0227,1
164,9,3,1,0,0.2814,1,57235.0797,0.4130,0.3703,0,0.0300,1
165,10,4,0,1,-0.2197,2,59650.4368,0.7030,0.5814,1,0.0719,1
166,11,5,1,0,0.0844,3,63255.9568,0.3016,0.3097,0,0.0146,1
167,12,6,0,1,0.4643,4,66106.8317,0.8333,0.5121,0,0.0304,1
168,1,1,1,0,0.6468,1,58638.3745,0.4387,0.4463,1,0.0487,0
169,2,2,0,1,1.2918,2,61940.7882,0.8915,0.6763,0,0.0511,1
170,3,3,1,0,0.8567,3,63450.9891,0.4183,0.3979,1,0.0473,1
171,4,4,0,1,-0.3468,4,65427.0044,0.8282,0.3389,1,0.0745,1
172,5,5,1,0,-0.9676,1,55311.1079,0.2776,0.2965,0,0.0334,1
173,6,6,0,0,0.1888,2,61322.6903,0.4313,0.2603,0,0.0415,1
174,7,1,1,1,-0.2525,3,61122.7072,0.4598,0.3840,1,0.0518,1
175,8,2,0,0,0.1887,4,64265.9802,0.3696,0.4618,0,0.0294,1
176,9,3,1,1,0.1120,1,57042.8595,0.4356,0.4482,0,0.0446,1
177,10,4,0,0,-0.5773,2,56639.3770,0.2801,0.3207,0,0.0240,1
178,11,5,1,0,1.1769,3,63991.0702,0.3186,0.5049,1,0.0494,1
179,12,6,0,1,-0.0209,4,65642.7689,0.8002,0.5606,1,0.0746,1
180,1,1,1,1,-0.0127,1,56472.2711,0.4533,0.4491,0,0.0346,1
181,2,2,0,0,0.3993,2,60781.1420,0.5900,0.3362,1,0.0536,1
182,3,3,1,0,-0.3955,3,60192.6648,0.3114,0.2615,0,0.0139,1
183,4,4,0,1,-0.1443,4,64173.6059,0.7648,0.5234,0,0.0574,1
184,5,5,1,0,0.0729,1,54554.3292,0.4570,0.2964,1,0.0435,1
185,6,6,0,1,-0.8260,2,58099.8520,0.7890,0.4640,0,0.0400,0
186,7,1,1,0,0.0433,3,63186.7242,0.3043,0.1871,0,0.0147,0
187,8,2,0,0,-0.4871,4,64332.5000,0.4090,0.3313,0,0.0329,1
188,9,3,1,1,-0.5646,1,53822.7572,0.3947,0.4154,0,0.0453,1
189,10,4,0,0,-0.5892,2,59600.2285,0.4597,0.1890,0,0.0159,1
190,11,5,1,1,-0.6656,3,62029.4570,0.3346,0.5461,0,0.0315,1
191,12,6,0,0,0.2671,4,66106.6658,0.3669,0.4730,0,0.0461,1
192,1,1,1,1,-0.5837,1,54985.1342,0.4622,0.3173,0,0.0319,1
193,2,2,0,0,-0.1370,2,58314.8525,0.2207,0.3601,0,0.0296,1
194,3,3,1,1,-0.0875,3,59759.8906,0.3676,0.4350,1,0.0593,0
195,4,4,0,0,0.6369,4,64671.7415,0.3928,0.4891,0,0.0366,1
196,5,5,1,0,-0.5810,1,57425.1698,0.3195,0.1544,0,0.0389,1
197,6,6,0,1,0.3627,2,58322.7987,1.0289,0.6273,0,0.0306,1
198,7,1,1,0,0.8408,3,62465.3614,0.4205,0.2949,0,0.0262,1
199,8,2,0,1,0.7975,4,64993.3793,0.9564,0.7403,1,0.0574,1
200,9,3,1,0,0.0870,1,56515.0239,0.3567,0.2713,0,0.0292,1
201,10,4,0,0,-0.3654,2,58341.4890,0.3113,0.4576,0,0.0220,1
202,11,5,1,1,0.6004,3,63079.5715,0.5679,0.4985,1,0.0711,1
203,12,6,0,0,0.0745,4,66382.5890,0.3322,0.4147,0,0.0289,1
204,1,1,1,0,0.4277,1,57566.8983,0.2773,0.4059,0,0.0211,1
205,2,2,0,0,0.4271,2,59411.7857,0.3899,0.3285,1,0.0572,1
206,3,3,1,1,0.2350,3,62486.7156,0.5238,0.3889,0,0.0438,1
207,4,4,0,0,-0.1210,4,64849.1706,0.3490,0.3554,0,0.0301,1
208,5,5,1,1,-0.1990,1,55070.3779,0.4853,0.5213,1,0.0524,0
209,6,6,0,0,-0.6046,2,57772.5449,0.2373,0.2670,1,0.0654,1
210,7,1,1,0,0.3346,3,63032.9299,0.4827,0.4430,0,0.0269,1
211,8,2,0,1,-0.1703,4,65835.9177,0.6316,0.5111,1,0.0633,1
212,9,3,1,0,-0.9059,1,56496.2572,0.2364,0.2773,0,0.0228,1
213,10,4,0,1,0.0228,2,58998.3603,0.6968,0.3258,0,0.0419,1
214,11,5,1,0,-0.8007,3,60291.3059,0.2800,0.4302,0,0.0169,0
215,12,6,0,0,0.7722,4,69018.6404,0.5349,0.5604,0,0.0363,1
216,1,1,1,0,-0.3276,1,55642.0816,0.3455,0.2294,0,0.0398,1
217,2,2,0,1,-0.1101,2,58568.9555,0.7892,0.5372,0,0.0308,1
218,3,3,1,0,-0.1952,3,60593.5313,0.3881,0.2424,0,0.0264,1
219,4,4,0,0,0.1631,4,65098.4113,0.4804,0.2214,0,0.0350,1
220,5,5,1,1,0.4196,1,58425.5065,0.6834,0.3914,1,0.0550,1
221,6,6,0,0,-0.0237,2,58758.7497,0.5100,0.3601,0,0.0366,1
222,7,1,1,1,-0.3676,3,63631.8232,0.4440,0.4646,0,0.0457,1
223,8,2,0,0,-0.3909,4,64437.9586,0.4133,0.3128,1,0.0621,1
224,9,3,1,0,0.0659,1,57581.8977,0.4276,0.3399,0,0.0356,1
225,10,4,0,1,-0.1273,2,57544.6444,0.7499,0.4995,0,0.0379,1
226,11,5,1,0,-0.0537,3,62490.5329,0.3622,0.2506,0,0.0330,1
227,12,6,0,1,0.0037,4,64761.3473,0.7038,0.5043,1,0.0596,1
228,1,1,1,0,-0.7264,1,54325.3166,0.2644,0.2437,1,0.0669,1
229,2,2,0,1,0.0389,2,59914.4931,0.7268,0.4770,0,0.0321,1
230,3,3,1,0,0.0742,3,62024.4979,0.3534,0.2186,0,0.0234,0
231,4,4,0,1,1.0495,4,68793.8615,0.9612,0.5095,0,0.0416,1
232,5,5,1,0,0.1675,1,56845.3105,0.2756,0.2713,1,0.0384,0
233,6,6,0,0,-0.0078,2,61895.0932,0.3802,0.3343,1,0.0548,0
234,7,1,1,1,-0.8193,3,58697.0673,0.4703,0.5297,1,0.0543,1
235,8,2,0,0,-0.2907,4,63250.0679,0.2445,0.4533,0,0.0228,1
236,9,3,1,1,-0.7412,1,55297.5186,0.5186,0.4421,0,0.0411,0
237,10,4,0,0,-0.0560,2,59917.7706,0.3873,0.4516,0,0.0256,1
238,11,5,1,0,-1.2483,3,58817.8771,0.2480,0.3611,0,0.0284,1
239,12,6,0,1,-0.1556,4,65477.3913,0.6703,0.4380,0,0.0396,1
240,1,1,1,1,-0.1547,1,57770.2335,0.5279,0.5314,0,0.0308,0
241,2,2,0,0,-0.2488,2,58373.5023,0.4118,0.4640,0,0.0312,1
242,3,3,1,0,1.0790,3,66779.9475,0.5298,0.3565,0,0.0650,1
243,4,4,0,1,0.2762,4,64867.1491,0.6723,0.4599,0,0.0579,1
244,5,5,1,0,0.3360,1,56248.2276,0.3407,0.2613,0,0.0179,0
245,6,6,0,1,-0.4515,2,59173.6133,0.6811,0.6676,1,0.0712,1
246,7,1,1,0,0.2796,3,63030.5861,0.2149,0.3549,0,0.0270,1
247,8,2,0,0,0.4919,4,66135.8431,0.5260,0.5655,1,0.0739,1
248,9,3,1,1,0.8966,1,58983.5915,0.6071,0.5358,0,0.0297,1
249,10,4,0,0,-0.9453,2,58555.0114,0.3405,0.2131,0,0.0422,1
250,11,5,1,1,0.5039,3,61481.7982,0.4895,0.7012,1,0.0750,1
251,12,6,0,0,-0.3200,4,63763.6486,0.2769,0.2813,1,0.0657,1
252,1,1,1,1,-0.9012,1,55930.0040,0.4599,0.3641,0,0.0376,1
253,2,2,0,0,-0.1631,2,59529.8904,0.3985,0.3354,0,0.0414,0
254,3,3,1,1,-0.1221,3,64293.9765,0.4838,0.4108,1,0.0642,1
255,4,4,0,0,-0.0398,4,63794.0912,0.3401,0.1633,0,0.0073,0
256,5,5,1,0,-0.0596,1,54691.0696,0.3118,0.4530,0,0.0398,1
257,6,6,0,1,0.8483,2,60888.4431,0.8243,0.6685,1,0.0613,1
258,7,1,1,0,-0.1250,3,61622.7094,0.3397,0.2053,1,0.0485,1
259,8,2,0,1,-0.9786,4,62496.8278,0.7933,0.4790,0,0.0399,1
260,9,3,1,0,0.0771,1,55001.9015,0.2890,0.3584,0,0.0265,1
261,10,4,0,0,0.8695,2,60524.4851,0.5543,0.4092,0,0.0524,1
262,11,5,1,1,0.4462,3,63003.7742,0.3681,0.5843,0,0.0436,1
263,12,6,0,0,-0.4843,4,65125.5505,0.3620,0.2373,1,0.0563,1
264,1,1,1,0,-0.2269,1,56268.7723,0.3818,0.2446,1,0.0655,1
265,2,2,0,0,-0.8562,2,58223.4846,0.2598,0.1893,0,0.0349,1
266,3,3,1,1,0.1795,3,61658.1972,0.6472,0.4337,0,0.0419,1
267,4,4,0,0,0.7010,4,67310.9047,0.5647,0.4127,0,0.0212,0
268,5,5,1,1,0.3999,1,57448.0839,0.3479,0.2993,0,0.0318,1
269,6,6,0,0,0.4482,2,59607.7968,0.5742,0.3974,1,0.0710,1
270,7,1,1,0,-0.9837,3,61857.7749,0.2806,0.2169,1,0.0571,1
271,8,2,0,1,-0.6785,4,64896.7471,0.5909,0.4896,1,0.0722,1
272,9,3,1,0,-0.4249,1,56565.7503,0.4550,0.2848,1,0.0743,1
273,10,4,0,1,-0.6421,2,58334.6139,0.6812,0.5191,0,0.0200,1
274,11,5,1,0,-0.5492,3,60811.0979,0.3429,0.2858,1,0.0442,1
275,12,6,0,0,1.1242,4,67198.0350,0.5894,0.3672,0,0.0544,1
276,1,1,1,0,-0.2772,1,57423.8702,0.3181,0.3999,0,0.0337,1
277,2,2,0,1,-0.2188,2,60049.1505,0.8276,0.5287,0,0.0475,1
278,3,3,1,0,0.1185,3,60586.6591,0.1818,0.4321,1,0.0520,1
279,4,4,0,0,0.4856,4,66025.6237,0.3659,0.3882,0,0.0246,1
280,5,5,1,1,-0.6651,1,55939.0098,0.3095,0.3841,0,0.0402,1
281,6,6,0,0,0.0917,2,58208.5294,0.5030,0.2915,0,0.0235,1
282,7,1,1,1,-0.6839,3,61370.8635,0.4372,0.4001,0,0.0501,1
283,8,2,0,0,-0.3945,4,63616.7970,0.4287,0.4156,0,0.0376,1
284,9,3,1,0,1.0612,1,59889.0838,0.2936,0.3177,0,0.0312,0
285,10,4,0,1,0.8220,2,60571.0612,0.7841,0.5552,0,0.0539,1
286,11,5,1,0,0.1143,3,60660.0001,0.3447,0.3326,1,0.0532,1
287,12,6,0,1,0.2450,4,64789.2351,0.7507,0.4874,0,0.0374,1
288,1,1,1,0,-0.7551,1,53334.7693,0.2511,0.2609,0,0.0203,1
289,2,2,0,1,0.7061,2,60211.6502,0.6369,0.5775,1,0.0904,1
290,3,3,1,0,-0.5417,3,59730.2153,0.4773,0.3480,0,0.0444,0
291,4,4,0,1,0.6145,4,67397.7506,0.8699,0.3911,0,0.0525,1
292,5,5,1,0,-0.7202,1,54742.8573,0.3617,0.2921,0,0.0218,1
293,6,6,0,0,-1.0172,2,57604.2850,0.3010,0.2273,0,0.0145,1
294,7,1,1,1,0.0140,3,63989.9805,0.4328,0.5488,0,0.0466,1
295,8,2,0,0,-0.3823,4,65096.2052,0.4036,0.2275,1,0.0570,1
296,9,3,1,1,-0.1610,1,56530.2112,0.5410,0.5585,1,0.0617,0
297,10,4,0,0,-0.9782,2,56389.0392,0.3118,0.2372,0,0.0247,1
298,11,5,1,0,-1.2078,3,59485.6383,0.2695,0.2941,0,0.0134,1
299,12,6,0,1,0.9132,4,64793.7280,0.8158,0.5850,1,0.0718,1
300,1,1,1,1,0.4962,1,56132.9450,0.5199,0.4632,0,0.0173,1
301,2,2,0,0,0.1350,2,59037.1711,0.3962,0.3568,1,0.0636,1
302,3,3,1,0,0.4369,3,62558.9619,0.4478,0.4280,0,0.0268,1
303,4,4,0,1,0.2814,4,66239.8109,0.7695,0.4884,0,0.0550,0
304,5,5,1,0,0.9353,1,57692.3727,0.5520,0.1574,0,0.0296,1
305,6,6,0,1,0.5287,2,57811.2928,0.9058,0.5587,0,0.0727,1
306,7,1,1,0,-0.4264,3,61747.6352,0.3156,0.1310,1,0.0463,1
307,8,2,0,0,0.1676,4,64858.0166,0.2990,0.3249,0,0.0238,1
308,9,3,1,1,-0.4759,1,57007.8241,0.3893,0.2335,0,0.0390,1
309,10,4,0,0,-0.2116,2,60239.9208,0.3986,0.2251,0,0.0405,0
310,11,5,1,1,0.7333,3,63062.5928,0.5911,0.5197,0,0.0433,1
311,12,6,0,0,0.1402,4,66488.3821,0.4238,0.3106,1,0.0630,1
312,1,1,1,1,0.0183,1,56060.5368,0.3964,0.4842,0,0.0407,0
313,2,2,0,0,0.2881,2,58408.7101,0.4384,0.4117,1,0.0622,1
314,3,3,1,1,-0.6931,3,61311.4389,0.2987,0.4008,0,0.0289,1
315,4,4,0,0,0.0740,4,65808.3465,0.3365,0.3848,0,0.0314,0
316,5,5,1,0,0.0776,1,55364.7457,0.3633,0.2533,1,0.0360,1
317,6,6,0,1,0.7238,2,60021.9258,0.7377,0.5355,1,0.0599,1
318,7,1,1,0,-0.0700,3,62385.9248,0.2804,0.4728,0,0.0219,1
319,8,2,0,1,0.1203,4,66087.1699,0.8102,0.6976,0,0.0598,1
320,9,3,1,0,-0.1832,1,56722.5820,0.3046,0.4229,0,0.0357,1
321,10,4,0,0,-0.9893,2,58920.9501,0.3193,0.3043,0,0.0392,1
322,11,5,1,1,-0.1219,3,64214.7585,0.5577,0.4120,0,0.0518,1
323,12,6,0,0,0.4581,4,65705.2141,0.4424,0.3253,1,0.0527,1
324,1,1,1,0,-0.0771,1,55614.6211,0.3114,0.2990,0,0.0279,1
325,2,2,0,0,0.6457,2,61486.3314,0.3874,0.4213,1,0.0830,1
326,3,3,1,1,0.9512,3,64227.1993,0.4890,0.6357,0,0.0470,1
