restaurant_id,state,period,post,treated_state,treated_post,chain,highway,starting_wage,fte_employment
68,NJ,post,1,1,1,Pizza Port,1,5.05,21.896
69,NJ,pre,0,1,0,Burger Barn,0,4.27,23.703
69,NJ,post,1,1,1,Burger Barn,0,4.97,22.38
70,NJ,pre,0,1,0,Burger Barn,0,4.35,29.33
70,NJ,post,1,1,1,Burger Barn,0,5.05,28.853
71,NJ,pre,0,1,0,Burger Barn,1,4.57,21.578
71,NJ,post,1,1,1,Burger Barn,1,5.27,22.054
72,NJ,pre,0,1,0,Pizza Port,1,4.2,23.484
72,NJ,post,1,1,1,Pizza Port,1,4.9,24.967
73,NJ,pre,0,1,0,Pizza Port,0,4.38,23.889
73,NJ,post,1,1,1,Pizza Port,0,5.08,26.024
74,NJ,pre,0,1,0,Pizza Port,0,4.32,23.551
74,NJ,post,1,1,1,Pizza Port,0,5.02,23.161
75,NJ,pre,0,1,0,Taco Tower,1,4.39,27.879
75,NJ,post,1,1,1,Taco Tower,1,5.09,26.428
76,NJ,pre,0,1,0,Taco Tower,1,4.51,23.148
76,NJ,post,1,1,1,Taco Tower,1,5.21,24.924
77,NJ,pre,0,1,0,Chicken House,0,4.47,18.767
77,NJ,post,1,1,1,Chicken House,0,5.17,20.648
78,NJ,pre,0,1,0,Burger Barn,1,4.47,23.779
78,NJ,post,1,1,1,Burger Barn,1,5.17,23.787
79,NJ,pre,0,1,0,Pizza Port,1,4.31,17.715
79,NJ,post,1,1,1,Pizza Port,1,5.01,19.24
80,NJ,pre,0,1,0,Taco Tower,0,4.24,27.983
80,NJ,post,1,1,1,Taco Tower,0,4.94,28.955
81,NJ,pre,0,1,0,Pizza Port,1,4.43,25.176
81,NJ,post,1,1,1,Pizza Port,1,5.13,27.936
82,NJ,pre,0,1,0,Burger Barn,0,4.43,22.539
82,NJ,post,1,1,1,Burger Barn,0,5.13,27.901
83,NJ,pre,0,1,0,Taco Tower,0,4.55,25.491
83,NJ,post,1,1,1,Taco Tower,0,5.25,26.276
84,NJ,pre,0,1,0,Burger Barn,0,4.55,21.674
84,NJ,post,1,1,1,Burger Barn,0,5.25,23.5
85,NJ,pre,0,1,0,Chicken House,0,4.42,20.978
85,NJ,post,1,1,1,Chicken House,0,5.12,23.218
86,NJ,pre,0,1,0,Burger Barn,0,4.35,23.403
86,NJ,post,1,1,1,Burger Barn,0,5.05,24.449
87,NJ,pre,0,1,0,Burger Barn,0,4.51,21.557
87,NJ,post,1,1,1,Burger Barn,0,5.21,22.284
88,NJ,pre,0,1,0,Taco Tower,0,4.67,28.379
88,NJ,post,1,1,1,Taco Tower,0,5.37,28.679
89,NJ,pre,0,1,0,Burger Barn,0,4.48,19.467
89,NJ,post,1,1,1,Burger Barn,0,5.18,22.333
90,NJ,pre,0,1,0,Pizza Port,0,4.3,22.77
90,NJ,post,1,1,1,Pizza Port,0,5.0,26.888
91,NJ,pre,0,1,0,Pizza Port,0,4.47,19.069
91,NJ,post,1,1,1,Pizza Port,0,5.17,22.097
92,NJ,pre,0,1,0,Burger Barn,0,4.37,23.783
92,NJ,post,1,1,1,Burger Barn,0,5.07,24.149
93,PA,pre,0,0,0,Pizza Port,0,4.29,23.755
93,PA,post,1,0,0,Pizza Port,0,4.34,21.131
94,PA,pre,0,0,0,Chicken House,0,4.35,30.131
94,PA,post,1,0,0,Chicken House,0,4.4,29.289
95,PA,pre,0,0,0,Chicken House,0,4.38,20.786
95,PA,post,1,0,0,Chicken House,0,4.43,24.765
96,PA,pre,0,0,0,Burger Barn,0,4.13,23.582
96,PA,post,1,0,0,Burger Barn,0,4.18,20.638
97,PA,pre,0,0,0,Pizza Port,1,4.42,21.072
97,PA,post,1,0,0,Pizza Port,1,4.47,19.815
98,PA,pre,0,0,0,Taco Tower,0,4.29,15.416
98,PA,post,1,0,0,Taco Tower,0,4.34,14.671
99,PA,pre,0,0,0,Chicken House,0,4.37,21.679
99,PA,post,1,0,0,Chicken House,0,4.42,21.199
100,PA,pre,0,0,0,Chicken House,0,4.33,19.956
100,PA,post,1,0,0,Chicken House,0,4.38,16.114
101,PA,pre,0,0,0,Pizza Port,1,4.01,29.14
101,PA,post,1,0,0,Pizza Port,1,4.06,25.918
102,PA,pre,0,0,0,Pizza Port,1,4.29,24.407
102,PA,post,1,0,0,Pizza Port,1,4.34,23.99
103,PA,pre,0,0,0,Chicken House,0,4.44,23.083
103,PA,post,1,0,0,Chicken House,0,4.49,22.671
104,PA,pre,0,0,0,Burger Barn,0,4.14,21.266
104,PA,post,1,0,0,Burger Barn,0,4.19,20.2
105,PA,pre,0,0,0,Taco Tower,1,4.38,23.383
105,PA,post,1,0,0,Taco Tower,1,4.43,21.475
106,PA,pre,0,0,0,Taco Tower,0,4.55,20.094
106,PA,post,1,0,0,Taco Tower,0,4.6,22.024
107,PA,pre,0,0,0,Pizza Port,0,4.31,27.533
107,PA,post,1,0,0,Pizza Port,0,4.36,28.299
108,PA,pre,0,0,0,Chicken House,1,4.35,18.227
108,PA,post,1,0,0,Chicken House,1,4.4,18.665
109,PA,pre,0,0,0,Pizza Port,1,4.39,25.256
109,PA,post,1,0,0,Pizza Port,1,4.44,23.711
110,PA,pre,0,0,0,Chicken House,0,4.28,27.309
110,PA,post,1,0,0,Chicken House,0,4.33,22.692
111,PA,pre,0,0,0,Chicken House,0,4.24,19.15
111,PA,post,1,0,0,Chicken House,0,4.29,16.689
112,PA,pre,0,0,0,Chicken House,1,4.38,26.879
112,PA,post,1,0,0,Chicken House,1,4.43,25.463
113,PA,pre,0,0,0,Chicken House,0,4.67,22.949
113,PA,post,1,0,0,Chicken House,0,4.72,20.233
114,PA,pre,0,0,0,Chicken House,0,4.38,20.841
114,PA,post,1,0,0,Chicken House,0,4.43,17.793
115,PA,pre,0,0,0,Chicken House,0,4.28,21.506
115,PA,post,1,0,0,Chicken House,0,4.33,20.395
116,PA,pre,0,0,0,Burger Barn,0,4.28,24.305
116,PA,post,1,0,0,Burger Barn,0,4.33,18.469
117,PA,pre,0,0,0,Pizza Port,1,4.23,21.62
117,PA,post,1,0,0,Pizza Port,1,4.28,22.141
118,PA,pre,0,0,0,Chicken House,1,4.43,24.891
118,PA,post,1,0,0,Chicken House,1,4.48,23.095
119,PA,pre,0,0,0,Pizza Port,0,4.4,23.577
119,PA,post,1,0,0,Pizza Port,0,4.45,24.163
120,PA,pre,0,0,0,Chicken House,0,4.51,17.18
120,PA,post,1,0,0,Chicken House,0,4.56,18.383
121,PA,pre,0,0,0,Taco Tower,1,4.53,25.924
121,PA,post,1,0,0,Taco Tower,1,4.58,28.267
122,PA,pre,0,0,0,Chicken House,1,4.5,20.651
122,PA,post,1,0,0,Chicken House,1,4.55,20.244
123,PA,pre,0,0,0,Taco Tower,0,4.36,21.988
123,PA,post,1,0,0,Taco Tower,0,4.41,22.633
124,PA,pre,0,0,0,Taco Tower,1,4.46,25.081
124,PA,post,1,0,0,Taco Tower,1,4.51,23.542
125,PA,pre,0,0,0,Burger Barn,0,4.44,24.649
125,PA,post,1,0,0,Burger Barn,0,4.49,24.837
126,PA,pre,0,0,0,Pizza Port,0,4.22,23.75
126,PA,post,1,0,0,Pizza Port,0,4.27,22.444
127,PA,pre,0,0,0,Pizza Port,0,4.13,26.198
127,PA,post,1,0,0,Pizza Port,0,4.18,25.601
128,PA,pre,0,0,0,Taco Tower,0,4.43,17.658
128,PA,post,1,0,0,Taco Tower,0,4.48,19.34
129,PA,pre,0,0,0,Burger Barn,1,4.35,29.235
129,PA,post,1,0,0,Burger Barn,1,4.4,26.851
130,PA,pre,0,0,0,Burger Barn,0,4.21,21.918
130,PA,post,1,0,0,Burger Barn,0,4.26,21.511
131,PA,pre,0,0,0,Taco Tower,0,4.11,21.747
131,PA,post,1,0,0,Taco Tower,0,4.16,19.231
132,PA,pre,0,0,0,Burger Barn,0,4.01,23.101
132,PA,post,1,0,0,Burger Barn,0,4.06,25.106
133,PA,pre,0,0,0,Pizza Port,0,4.45,26.57
133,PA,post,1,0,0,Pizza Port,0,4.5,24.42
134,PA,pre,0,0,0,Taco Tower,0,4.48,18.498
134,PA,post,1,0,0,Taco Tower,0,4.53,18.449
135,PA,pre,0,0,0,Chicken House,1,4.68,22.101
135,PA,post,1,0,0,Chicken House,1,4.73,19.48
136,PA,pre,0,0,0,Pizza Port,0,4.18,19.352
136,PA,post,1,0,0,Pizza Port,0,4.23,15.867
137,PA,pre,0,0,0,Taco Tower,1,4.32,25.76
137,PA,post,1,0,0,Taco Tower,1,4.37,24.428
138,PA,pre,0,0,0,Taco Tower,0,4.16,23.866
138,PA,post,1,0,0,Taco Tower,0,4.21,22.429
139,PA,pre,0,0,0,Taco Tower,0,4.38,23.561
139,PA,post,1,0,0,Taco Tower,0,4.43,21.452
140,PA,pre,0,0,0,Taco Tower,0,4.15,19.874
140,PA,post,1,0,0,Taco Tower,0,4.2,19.708
141,PA,pre,0,0,0,Taco Tower,0,4.5,22.244
141,PA,post,1,0,0,Taco Tower,0,4.55,20.634
142,PA,pre,0,0,0,Burger Barn,0,4.57,20.616
142,PA,post,1,0,0,Burger Barn,0,4.62,18.442
143,PA,pre,0,0,0,Pizza Port,1,4.37,23.858
143,PA,post,1,0,0,Pizza Port,1,4.42,21.991
144,PA,pre,0,0,0,Chicken House,0,4.2,18.814
144,PA,post,1,0,0,Chicken House,0,4.25,21.504
145,PA,pre,0,0,0,Pizza Port,0,4.46,19.778
145,PA,post,1,0,0,Pizza Port,0,4.51,18.242
146,PA,pre,0,0,0,Chicken House,1,4.57,27.482
146,PA,post,1,0,0,Chicken House,1,4.62,26.104
147,PA,pre,0,0,0,Chicken House,0,4.27,20.122
147,PA,post,1,0,0,Chicken House,0,4.32,17.039
148,PA,pre,0,0,0,Burger Barn,0,4.29,18.776
148,PA,post,1,0,0,Burger Barn,0,4.34,18.627
149,PA,pre,0,0,0,Taco Tower,0,4.42,22.912
149,PA,post,1,0,0,Taco Tower,0,4.47,20.43
150,PA,pre,0,0,0,Taco Tower,1,4.37,24.906
150,PA,post,1,0,0,Taco Tower,1,4.42,21.256
151,PA,pre,0,0,0,Pizza Port,0,4.55,17.507
151,PA,post,1,0,0,Pizza Port,0,4.6,16.302
152,PA,pre,0,0,0,Burger Barn,0,4.5,30.874
152,PA,post,1,0,0,Burger Barn,0,4.55,28.984
153,PA,pre,0,0,0,Chicken House,0,4.46,25.8
153,PA,post,1,0,0,Chicken House,0,4.51,25.353
154,PA,pre,0,0,0,Chicken House,1,4.4,25.535
154,PA,post,1,0,0,Chicken House,1,4.45,25.337
155,PA,pre,0,0,0,Chicken House,0,4.22,20.133
155,PA,post,1,0,0,Chicken House,0,4.27,16.786
156,PA,pre,0,0,0,Chicken House,0,4.25,22.099
156,PA,post,1,0,0,Chicken House,0,4.3,19.327
157,PA,pre,0,0,0,Burger Barn,0,4.27,24.409
157,PA,post,1,0,0,Burger Barn,0,4.32,20.954
158,PA,pre,0,0,0,Taco Tower,1,4.27,25.221
158,PA,post,1,0,0,Taco Tower,1,4.32,26.045
159,PA,pre,0,0,0,Pizza Port,1,4.13,25.678
159,PA,post,1,0,0,Pizza Port,1,4.18,25.422
160,PA,pre,0,0,0,Burger Barn,0,4.33,21.978
160,PA,post,1,0,0,Burger Barn,0,4.38,24.454
161,PA,pre,0,0,0,Burger Barn,1,4.56,22.777
161,PA,post,1,0,0,Burger Barn,1,4.61,21.152
162,PA,pre,0,0,0,Pizza Port,0,4.37,26.45
162,PA,post,1,0,0,Pizza Port,0,4.42,27.718
163,PA,pre,0,0,0,Taco Tower,1,4.33,19.956
163,PA,post,1,0,0,Taco Tower,1,4.38,16.129
164,PA,pre,0,0,0,Taco Tower,1,4.24,23.941
164,PA,post,1,0,0,Taco Tower,1,4.29,18.179
165,PA,pre,0,0,0,Chicken House,0,4.36,22.658
165,PA,post,1,0,0,Chicken House,0,4.41,22.767
166,PA,pre,0,0,0,Chicken House,1,4.07,24.478
166,PA,post,1,0,0,Chicken House,1,4.12,22.794
