worker_id,arm,inertia,sophistication,liquidity_need,match_rate,default_rate,active_prompt,commitment,benchmark_rate,chosen_rate,participation,welfare_gap,welfare_score
default-worker-0029,commitment_escalation,0.575,0.495,0.405,0.03,0.03,0.0,1.0,0.06,0.041,1,0.018,0.062
default-worker-0030,opt_in,0.63,0.55,0.45,0.035,0.0,0.0,0.0,0.065,0.046,1,0.019,0.061
default-worker-0031,auto_enroll_3,0.63,0.55,0.45,0.035,0.03,0.0,0.0,0.065,0.036,1,0.029,0.051
default-worker-0032,auto_enroll_6,0.63,0.55,0.45,0.035,0.06,0.0,0.0,0.065,0.055,1,0.01,0.07
default-worker-0033,active_choice,0.63,0.55,0.45,0.035,0.0,1.0,0.0,0.065,0.056,1,0.009,0.071
default-worker-0034,commitment_escalation,0.63,0.55,0.45,0.035,0.03,0.0,1.0,0.065,0.043,1,0.023,0.057
default-worker-0035,opt_in,0.685,0.605,0.495,0.04,0.0,0.0,0.0,0.071,0.053,1,0.018,0.062
default-worker-0036,auto_enroll_3,0.685,0.605,0.495,0.04,0.03,0.0,0.0,0.071,0.037,1,0.034,0.046
default-worker-0037,auto_enroll_6,0.685,0.605,0.495,0.04,0.06,0.0,0.0,0.071,0.058,1,0.013,0.067
default-worker-0038,active_choice,0.685,0.605,0.495,0.04,0.0,1.0,0.0,0.071,0.062,1,0.009,0.071
default-worker-0039,commitment_escalation,0.685,0.605,0.495,0.04,0.03,0.0,1.0,0.071,0.043,1,0.028,0.052
default-worker-0040,opt_in,0.74,0.66,0.18,0.045,0.0,0.0,0.0,0.085,0.066,1,0.019,0.061
default-worker-0041,auto_enroll_3,0.74,0.66,0.18,0.045,0.03,0.0,0.0,0.085,0.039,1,0.046,0.034
default-worker-0042,auto_enroll_6,0.74,0.66,0.18,0.045,0.06,0.0,0.0,0.085,0.062,1,0.024,0.056
default-worker-0043,active_choice,0.74,0.66,0.18,0.045,0.0,1.0,0.0,0.085,0.075,1,0.01,0.07
default-worker-0044,commitment_escalation,0.74,0.66,0.18,0.045,0.03,0.0,1.0,0.085,0.049,1,0.036,0.044
default-worker-0045,opt_in,0.3,0.715,0.225,0.05,0.0,0.0,0.0,0.091,0.074,1,0.017,0.063
default-worker-0046,auto_enroll_3,0.3,0.715,0.225,0.05,0.03,0.0,0.0,0.091,0.061,1,0.03,0.05
default-worker-0047,auto_enroll_6,0.3,0.715,0.225,0.05,0.06,0.0,0.0,0.091,0.07,1,0.021,0.059
default-worker-0048,active_choice,0.3,0.715,0.225,0.05,0.0,1.0,0.0,0.091,0.081,1,0.01,0.07
default-worker-0049,commitment_escalation,0.3,0.715,0.225,0.05,0.03,0.0,1.0,0.091,0.07,1,0.021,0.059
default-worker-0050,opt_in,0.355,0.22,0.27,0.03,0.0,0.0,0.0,0.055,0.027,1,0.028,0.052
default-worker-0051,auto_enroll_3,0.355,0.22,0.27,0.03,0.03,0.0,0.0,0.055,0.028,1,0.027,0.053
default-worker-0052,auto_enroll_6,0.355,0.22,0.27,0.03,0.06,0.0,0.0,0.055,0.039,1,0.016,0.064
default-worker-0053,active_choice,0.355,0.22,0.27,0.03,0.0,1.0,0.0,0.055,0.044,1,0.011,0.069
default-worker-0054,commitment_escalation,0.355,0.22,0.27,0.03,0.03,0.0,1.0,0.055,0.037,1,0.018,0.062
default-worker-0055,opt_in,0.41,0.275,0.315,0.035,0.0,0.0,0.0,0.06,0.032,1,0.028,0.052
default-worker-0056,auto_enroll_3,0.41,0.275,0.315,0.035,0.03,0.0,0.0,0.06,0.031,1,0.029,0.051
default-worker-0057,auto_enroll_6,0.41,0.275,0.315,0.035,0.06,0.0,0.0,0.06,0.043,1,0.017,0.063
default-worker-0058,active_choice,0.41,0.275,0.315,0.035,0.0,1.0,0.0,0.06,0.049,1,0.012,0.068
default-worker-0059,commitment_escalation,0.41,0.275,0.315,0.035,0.03,0.0,1.0,0.06,0.039,1,0.021,0.059
default-worker-0060,opt_in,0.465,0.33,0.36,0.04,0.0,0.0,0.0,0.066,0.037,1,0.029,0.051
default-worker-0061,auto_enroll_3,0.465,0.33,0.36,0.04,0.03,0.0,0.0,0.066,0.034,1,0.032,0.048
default-worker-0062,auto_enroll_6,0.465,0.33,0.36,0.04,0.06,0.0,0.0,0.066,0.048,1,0.018,0.062
default-worker-0063,active_choice,0.465,0.33,0.36,0.04,0.0,1.0,0.0,0.066,0.054,1,0.012,0.068
default-worker-0064,commitment_escalation,0.465,0.33,0.36,0.04,0.03,0.0,1.0,0.066,0.042,1,0.024,0.056
default-worker-0065,opt_in,0.52,0.385,0.405,0.045,0.0,0.0,0.0,0.071,0.043,1,0.029,0.051
default-worker-0066,auto_enroll_3,0.52,0.385,0.405,0.045,0.03,0.0,0.0,0.071,0.036,1,0.035,0.045
default-worker-0067,auto_enroll_6,0.52,0.385,0.405,0.045,0.06,0.0,0.0,0.071,0.052,1,0.02,0.06
default-worker-0068,active_choice,0.52,0.385,0.405,0.045,0.0,1.0,0.0,0.071,0.059,1,0.012,0.068
default-worker-0069,commitment_escalation,0.52,0.385,0.405,0.045,0.03,0.0,1.0,0.071,0.043,1,0.028,0.052
default-worker-0070,opt_in,0.575,0.44,0.45,0.05,0.0,0.0,0.0,0.077,0.049,1,0.028,0.052
default-worker-0071,auto_enroll_3,0.575,0.44,0.45,0.05,0.03,0.0,0.0,0.077,0.038,1,0.039,0.041
default-worker-0072,auto_enroll_6,0.575,0.44,0.45,0.05,0.06,0.0,0.0,0.077,0.055,1,0.022,0.058
default-worker-0073,active_choice,0.575,0.44,0.45,0.05,0.0,1.0,0.0,0.077,0.064,1,0.012,0.068
default-worker-0074,commitment_escalation,0.575,0.44,0.45,0.05,0.03,0.0,1.0,0.077,0.045,1,0.032,0.048
default-worker-0075,opt_in,0.63,0.495,0.495,0.03,0.0,0.0,0.0,0.057,0.039,1,0.019,0.061
default-worker-0076,auto_enroll_3,0.63,0.495,0.495,0.03,0.03,0.0,0.0,0.057,0.033,1,0.024,0.056
default-worker-0077,auto_enroll_6,0.63,0.495,0.495,0.03,0.06,0.0,0.0,0.057,0.052,1,0.005,0.075
default-worker-0078,active_choice,0.63,0.495,0.495,0.03,0.0,1.0,0.0,0.057,0.049,1,0.009,0.071
default-worker-0079,commitment_escalation,0.63,0.495,0.495,0.03,0.03,0.0,1.0,0.057,0.039,1,0.018,0.062
default-worker-0080,opt_in,0.685,0.55,0.18,0.035,0.0,0.0,0.0,0.072,0.051,1,0.021,0.059
default-worker-0081,auto_enroll_3,0.685,0.55,0.18,0.035,0.03,0.0,0.0,0.072,0.037,1,0.035,0.045
default-worker-0082,auto_enroll_6,0.685,0.55,0.18,0.035,0.06,0.0,0.0,0.072,0.057,1,0.015,0.065
default-worker-0083,active_choice,0.685,0.55,0.18,0.035,0.0,1.0,0.0,0.072,0.062,1,0.01,0.07
default-worker-0084,commitment_escalation,0.685,0.55,0.18,0.035,0.03,0.0,1.0,0.072,0.046,1,0.026,0.054
default-worker-0085,opt_in,0.74,0.605,0.225,0.04,0.0,0.0,0.0,0.078,0.058,1,0.02,0.06
default-worker-0086,auto_enroll_3,0.74,0.605,0.225,0.04,0.03,0.0,0.0,0.078,0.037,1,0.04,0.04
default-worker-0087,auto_enroll_6,0.74,0.605,0.225,0.04,0.06,0.0,0.0,0.078,0.059,1,0.018,0.062
default-worker-0088,active_choice,0.74,0.605,0.225,0.04,0.0,1.0,0.0,0.078,0.068,1,0.01,0.07
default-worker-0089,commitment_escalation,0.74,0.605,0.225,0.04,0.03,0.0,1.0,0.078,0.046,1,0.031,0.049
default-worker-0090,opt_in,0.3,0.66,0.27,0.045,0.0,0.0,0.0,0.083,0.065,1,0.018,0.062
default-worker-0091,auto_enroll_3,0.3,0.66,0.27,0.045,0.03,0.0,0.0,0.083,0.054,1,0.029,0.051
default-worker-0092,auto_enroll_6,0.3,0.66,0.27,0.045,0.06,0.0,0.0,0.083,0.063,1,0.02,0.06
default-worker-0093,active_choice,0.3,0.66,0.27,0.045,0.0,1.0,0.0,0.083,0.073,1,0.01,0.07
default-worker-0094,commitment_escalation,0.3,0.66,0.27,0.045,0.03,0.0,1.0,0.083,0.063,1,0.02,0.06
default-worker-0095,opt_in,0.355,0.715,0.315,0.05,0.0,0.0,0.0,0.089,0.072,1,0.016,0.064
default-worker-0096,auto_enroll_3,0.355,0.715,0.315,0.05,0.03,0.0,0.0,0.089,0.057,1,0.031,0.049
default-worker-0097,auto_enroll_6,0.355,0.715,0.315,0.05,0.06,0.0,0.0,0.089,0.068,1,0.021,0.059
default-worker-0098,active_choice,0.355,0.715,0.315,0.05,0.0,1.0,0.0,0.089,0.079,1,0.009,0.071
default-worker-0099,commitment_escalation,0.355,0.715,0.315,0.05,0.03,0.0,1.0,0.089,0.065,1,0.023,0.057
default-worker-0100,opt_in,0.41,0.22,0.36,0.03,0.0,0.0,0.0,0.053,0.026,1,0.027,0.053
default-worker-0101,auto_enroll_3,0.41,0.22,0.36,0.03,0.03,0.0,0.0,0.053,0.028,1,0.025,0.055
default-worker-0102,auto_enroll_6,0.41,0.22,0.36,0.03,0.06,0.0,0.0,0.053,0.04,1,0.013,0.067
default-worker-0103,active_choice,0.41,0.22,0.36,0.03,0.0,1.0,0.0,0.053,0.042,1,0.011,0.069
default-worker-0104,commitment_escalation,0.41,0.22,0.36,0.03,0.03,0.0,1.0,0.053,0.035,1,0.017,0.063
default-worker-0105,opt_in,0.465,0.275,0.405,0.035,0.0,0.0,0.0,0.058,0.031,1,0.027,0.053
default-worker-0106,auto_enroll_3,0.465,0.275,0.405,0.035,0.03,0.0,0.0,0.058,0.03,1,0.028,0.052
default-worker-0107,auto_enroll_6,0.465,0.275,0.405,0.035,0.06,0.0,0.0,0.058,0.044,1,0.014,0.066
default-worker-0108,active_choice,0.465,0.275,0.405,0.035,0.0,1.0,0.0,0.058,0.047,1,0.011,0.069
default-worker-0109,commitment_escalation,0.465,0.275,0.405,0.035,0.03,0.0,1.0,0.058,0.038,1,0.021,0.059
default-worker-0110,opt_in,0.52,0.33,0.45,0.04,0.0,0.0,0.0,0.064,0.036,1,0.028,0.052
default-worker-0111,auto_enroll_3,0.52,0.33,0.45,0.04,0.03,0.0,0.0,0.064,0.033,1,0.031,0.049
default-worker-0112,auto_enroll_6,0.52,0.33,0.45,0.04,0.06,0.0,0.0,0.064,0.048,1,0.015,0.065
default-worker-0113,active_choice,0.52,0.33,0.45,0.04,0.0,1.0,0.0,0.064,0.052,1,0.012,0.068
default-worker-0114,commitment_escalation,0.52,0.33,0.45,0.04,0.03,0.0,1.0,0.064,0.039,1,0.024,0.056
default-worker-0115,opt_in,0.575,0.385,0.495,0.045,0.0,0.0,0.0,0.069,0.042,1,0.028,0.052
default-worker-0116,auto_enroll_3,0.575,0.385,0.495,0.045,0.03,0.0,0.0,0.069,0.035,1,0.034,0.046
default-worker-0117,auto_enroll_6,0.575,0.385,0.495,0.045,0.06,0.0,0.0,0.069,0.052,1,0.017,0.063
default-worker-0118,active_choice,0.575,0.385,0.495,0.045,0.0,1.0,0.0,0.069,0.057,1,0.012,0.068
default-worker-0119,commitment_escalation,0.575,0.385,0.495,0.045,0.03,0.0,1.0,0.069,0.041,1,0.028,0.052
default-worker-0120,opt_in,0.63,0.44,0.18,0.05,0.0,0.0,0.0,0.084,0.053,1,0.03,0.05
default-worker-0121,auto_enroll_3,0.63,0.44,0.18,0.05,0.03,0.0,0.0,0.084,0.039,1,0.045,0.035
default-worker-0122,auto_enroll_6,0.63,0.44,0.18,0.05,0.06,0.0,0.0,0.084,0.057,1,0.026,0.054
default-worker-0123,active_choice,0.63,0.44,0.18,0.05,0.0,1.0,0.0,0.084,0.07,1,0.014,0.066
default-worker-0124,commitment_escalation,0.63,0.44,0.18,0.05,0.03,0.0,1.0,0.084,0.048,1,0.035,0.045
default-worker-0125,opt_in,0.685,0.495,0.225,0.03,0.0,0.0,0.0,0.064,0.043,1,0.021,0.059
default-worker-0126,auto_enroll_3,0.685,0.495,0.225,0.03,0.03,0.0,0.0,0.064,0.034,1,0.03,0.05
default-worker-0127,auto_enroll_6,0.685,0.495,0.225,0.03,0.06,0.0,0.0,0.064,0.055,1,0.01,0.07
default-worker-0128,active_choice,0.685,0.495,0.225,0.03,0.0,1.0,0.0,0.064,0.055,1,0.01,0.07
default-worker-0129,commitment_escalation,0.685,0.495,0.225,0.03,0.03,0.0,1.0,0.064,0.043,1,0.021,0.059
default-worker-0130,opt_in,0.74,0.55,0.27,0.035,0.0,0.0,0.0,0.07,0.049,1,0.02,0.06
default-worker-0131,auto_enroll_3,0.74,0.55,0.27,0.035,0.03,0.0,0.0,0.07,0.035,1,0.035,0.045
default-worker-0132,auto_enroll_6,0.74,0.55,0.27,0.035,0.06,0.0,0.0,0.07,0.057,1,0.013,0.067
default-worker-0133,active_choice,0.74,0.55,0.27,0.035,0.0,1.0,0.0,0.07,0.06,1,0.01,0.07
default-worker-0134,commitment_escalation,0.74,0.55,0.27,0.035,0.03,0.0,1.0,0.07,0.044,1,0.026,0.054
default-worker-0135,opt_in,0.3,0.605,0.315,0.04,0.0,0.0,0.0,0.075,0.056,1,0.019,0.061
default-worker-0136,auto_enroll_3,0.3,0.605,0.315,0.04,0.03,0.0,0.0,0.075,0.048,1,0.027,0.053
default-worker-0137,auto_enroll_6,0.3,0.605,0.315,0.04,0.06,0.0,0.0,0.075,0.057,1,0.018,0.062
default-worker-0138,active_choice,0.3,0.605,0.315,0.04,0.0,1.0,0.0,0.075,0.066,1,0.01,0.07
default-worker-0139,commitment_escalation,0.3,0.605,0.315,0.04,0.03,0.0,1.0,0.075,0.056,1,0.019,0.061
default-worker-0140,opt_in,0.355,0.66,0.36,0.045,0.0,0.0,0.0,0.081,0.063,1,0.018,0.062
default-worker-0141,auto_enroll_3,0.355,0.66,0.36,0.045,0.03,0.0,0.0,0.081,0.051,1,0.03,0.05
default-worker-0142,auto_enroll_6,0.355,0.66,0.36,0.045,0.06,0.0,0.0,0.081,0.062,1,0.019,0.061
default-worker-0143,active_choice,0.355,0.66,0.36,0.045,0.0,1.0,0.0,0.081,0.071,1,0.01,0.07
default-worker-0144,commitment_escalation,0.355,0.66,0.36,0.045,0.03,0.0,1.0,0.081,0.059,1,0.022,0.058
default-worker-0145,opt_in,0.41,0.715,0.405,0.05,0.0,0.0,0.0,0.086,0.07,1,0.016,0.064
default-worker-0146,auto_enroll_3,0.41,0.715,0.405,0.05,0.03,0.0,0.0,0.086,0.054,1,0.033,0.047
default-worker-0147,auto_enroll_6,0.41,0.715,0.405,0.05,0.06,0.0,0.0,0.086,0.066,1,0.02,0.06
default-worker-0148,active_choice,0.41,0.715,0.405,0.05,0.0,1.0,0.0,0.086,0.077,1,0.009,0.071
default-worker-0149,commitment_escalation,0.41,0.715,0.405,0.05,0.03,0.0,1.0,0.086,0.061,1,0.025,0.055
default-worker-0150,opt_in,0.465,0.22,0.45,0.03,0.0,0.0,0.0,0.05,0.025,1,0.026,0.054
default-worker-0151,auto_enroll_3,0.465,0.22,0.45,0.03,0.03,0.0,0.0,0.05,0.027,1,0.023,0.057
default-worker-0152,auto_enroll_6,0.465,0.22,0.45,0.03,0.06,0.0,0.0,0.05,0.041,1,0.009,0.071
default-worker-0153,active_choice,0.465,0.22,0.45,0.03,0.0,1.0,0.0,0.05,0.04,1,0.01,0.07
default-worker-0154,commitment_escalation,0.465,0.22,0.45,0.03,0.03,0.0,1.0,0.05,0.034,1,0.017,0.063
default-worker-0155,opt_in,0.52,0.275,0.495,0.035,0.0,0.0,0.0,0.056,0.03,1,0.026,0.054
default-worker-0156,auto_enroll_3,0.52,0.275,0.495,0.035,0.03,0.0,0.0,0.056,0.03,1,0.026,0.054
default-worker-0157,auto_enroll_6,0.52,0.275,0.495,0.035,0.06,0.0,0.0,0.056,0.045,1,0.01,0.07
default-worker-0158,active_choice,0.52,0.275,0.495,0.035,0.0,1.0,0.0,0.056,0.045,1,0.011,0.069
default-worker-0159,commitment_escalation,0.52,0.275,0.495,0.035,0.03,0.0,1.0,0.056,0.036,1,0.02,0.06
default-worker-0160,opt_in,0.575,0.33,0.18,0.04,0.0,0.0,0.0,0.07,0.04,1,0.031,0.049
default-worker-0161,auto_enroll_3,0.575,0.33,0.18,0.04,0.03,0.0,0.0,0.07,0.034,1,0.036,0.044
default-worker-0162,auto_enroll_6,0.575,0.33,0.18,0.04,0.06,0.0,0.0,0.07,0.051,1,0.019,0.061
default-worker-0163,active_choice,0.575,0.33,0.18,0.04,0.0,1.0,0.0,0.07,0.057,1,0.013,0.067
default-worker-0164,commitment_escalation,0.575,0.33,0.18,0.04,0.03,0.0,1.0,0.07,0.044,1,0.026,0.054
default-worker-0165,opt_in,0.63,0.385,0.225,0.045,0.0,0.0,0.0,0.076,0.046,1,0.03,0.05
default-worker-0166,auto_enroll_3,0.63,0.385,0.225,0.045,0.03,0.0,0.0,0.076,0.036,1,0.04,0.04
default-worker-0167,auto_enroll_6,0.63,0.385,0.225,0.045,0.06,0.0,0.0,0.076,0.055,1,0.021,0.059
default-worker-0168,active_choice,0.63,0.385,0.225,0.045,0.0,1.0,0.0,0.076,0.063,1,0.013,0.067
default-worker-0169,commitment_escalation,0.63,0.385,0.225,0.045,0.03,0.0,1.0,0.076,0.045,1,0.031,0.049
default-worker-0170,opt_in,0.685,0.44,0.27,0.05,0.0,0.0,0.0,0.081,0.052,1,0.03,0.05
default-worker-0171,auto_enroll_3,0.685,0.44,0.27,0.05,0.03,0.0,0.0,0.081,0.037,1,0.045,0.035
default-worker-0172,auto_enroll_6,0.685,0.44,0.27,0.05,0.06,0.0,0.0,0.081,0.057,1,0.024,0.056
default-worker-0173,active_choice,0.685,0.44,0.27,0.05,0.0,1.0,0.0,0.081,0.068,1,0.013,0.067
default-worker-0174,commitment_escalation,0.685,0.44,0.27,0.05,0.03,0.0,1.0,0.081,0.046,1,0.036,0.044
default-worker-0175,opt_in,0.74,0.495,0.315,0.03,0.0,0.0,0.0,0.062,0.042,1,0.02,0.06
default-worker-0176,auto_enroll_3,0.74,0.495,0.315,0.03,0.03,0.0,0.0,0.062,0.033,1,0.029,0.051
default-worker-0177,auto_enroll_6,0.74,0.495,0.315,0.03,0.06,0.0,0.0,0.062,0.055,1,0.007,0.073
default-worker-0178,active_choice,0.74,0.495,0.315,0.03,0.0,1.0,0.0,0.062,0.053,1,0.009,0.071
default-worker-0179,commitment_escalation,0.74,0.495,0.315,0.03,0.03,0.0,1.0,0.062,0.041,1,0.021,0.059
default-worker-0180,opt_in,0.3,0.55,0.36,0.035,0.0,0.0,0.0,0.068,0.048,1,0.02,0.06
default-worker-0181,auto_enroll_3,0.3,0.55,0.36,0.035,0.03,0.0,0.0,0.068,0.042,1,0.025,0.055
default-worker-0182,auto_enroll_6,0.3,0.55,0.36,0.035,0.06,0.0,0.0,0.068,0.051,1,0.016,0.064
default-worker-0183,active_choice,0.3,0.55,0.36,0.035,0.0,1.0,0.0,0.068,0.058,1,0.009,0.071
default-worker-0184,commitment_escalation,0.3,0.55,0.36,0.035,0.03,0.0,1.0,0.068,0.05,1,0.017,0.063
default-worker-0185,opt_in,0.355,0.605,0.405,0.04,0.0,0.0,0.0,0.073,0.054,1,0.019,0.061
default-worker-0186,auto_enroll_3,0.355,0.605,0.405,0.04,0.03,0.0,0.0,0.073,0.046,1,0.027,0.053
default-worker-0187,auto_enroll_6,0.355,0.605,0.405,0.04,0.06,0.0,0.0,0.073,0.056,1,0.017,0.063
default-worker-0188,active_choice,0.355,0.605,0.405,0.04,0.0,1.0,0.0,0.073,0.064,1,0.009,0.071
default-worker-0189,commitment_escalation,0.355,0.605,0.405,0.04,0.03,0.0,1.0,0.073,0.053,1,0.02,0.06
default-worker-0190,opt_in,0.41,0.66,0.45,0.045,0.0,0.0,0.0,0.079,0.061,1,0.017,0.063
default-worker-0191,auto_enroll_3,0.41,0.66,0.45,0.045,0.03,0.0,0.0,0.079,0.048,1,0.03,0.05
default-worker-0192,auto_enroll_6,0.41,0.66,0.45,0.045,0.06,0.0,0.0,0.079,0.061,1,0.018,0.062
default-worker-0193,active_choice,0.41,0.66,0.45,0.045,0.0,1.0,0.0,0.079,0.069,1,0.009,0.071
default-worker-0194,commitment_escalation,0.41,0.66,0.45,0.045,0.03,0.0,1.0,0.079,0.055,1,0.024,0.056
default-worker-0195,opt_in,0.465,0.715,0.495,0.05,0.0,0.0,0.0,0.084,0.069,1,0.016,0.064
default-worker-0196,auto_enroll_3,0.465,0.715,0.495,0.05,0.03,0.0,0.0,0.084,0.051,1,0.033,0.047
default-worker-0197,auto_enroll_6,0.465,0.715,0.495,0.05,0.06,0.0,0.0,0.084,0.065,1,0.02,0.06
default-worker-0198,active_choice,0.465,0.715,0.495,0.05,0.0,1.0,0.0,0.084,0.075,1,0.009,0.071
default-worker-0199,commitment_escalation,0.465,0.715,0.495,0.05,0.03,0.0,1.0,0.084,0.057,1,0.027,0.053
default-worker-0200,opt_in,0.52,0.22,0.18,0.03,0.0,0.0,0.0,0.057,0.028,1,0.029,0.051
default-worker-0201,auto_enroll_3,0.52,0.22,0.18,0.03,0.03,0.0,0.0,0.057,0.029,1,0.028,0.052
default-worker-0202,auto_enroll_6,0.52,0.22,0.18,0.03,0.06,0.0,0.0,0.057,0.045,1,0.012,0.068
default-worker-0203,active_choice,0.52,0.22,0.18,0.03,0.0,1.0,0.0,0.057,0.045,1,0.012,0.068
default-worker-0204,commitment_escalation,0.52,0.22,0.18,0.03,0.03,0.0,1.0,0.057,0.039,1,0.018,0.062
default-worker-0205,opt_in,0.575,0.275,0.225,0.035,0.0,0.0,0.0,0.063,0.033,1,0.03,0.05
default-worker-0206,auto_enroll_3,0.575,0.275,0.225,0.035,0.03,0.0,0.0,0.063,0.031,1,0.031,0.049
default-worker-0207,auto_enroll_6,0.575,0.275,0.225,0.035,0.06,0.0,0.0,0.063,0.049,1,0.014,0.066
default-worker-0208,active_choice,0.575,0.275,0.225,0.035,0.0,1.0,0.0,0.063,0.05,1,0.012,0.068
default-worker-0209,commitment_escalation,0.575,0.275,0.225,0.035,0.03,0.0,1.0,0.063,0.041,1,0.022,0.058
default-worker-0210,opt_in,0.63,0.33,0.27,0.04,0.0,0.0,0.0,0.068,0.038,1,0.03,0.05
default-worker-0211,auto_enroll_3,0.63,0.33,0.27,0.04,0.03,0.0,0.0,0.068,0.033,1,0.035,0.045
default-worker-0212,auto_enroll_6,0.63,0.33,0.27,0.04,0.06,0.0,0.0,0.068,0.052,1,0.016,0.064
default-worker-0213,active_choice,0.63,0.33,0.27,0.04,0.0,1.0,0.0,0.068,0.056,1,0.013,0.067
default-worker-0214,commitment_escalation,0.63,0.33,0.27,0.04,0.03,0.0,1.0,0.068,0.042,1,0.026,0.054
default-worker-0215,opt_in,0.685,0.385,0.315,0.045,0.0,0.0,0.0,0.074,0.044,1,0.029,0.051
default-worker-0216,auto_enroll_3,0.685,0.385,0.315,0.045,0.03,0.0,0.0,0.074,0.034,1,0.039,0.041
default-worker-0217,auto_enroll_6,0.685,0.385,0.315,0.045,0.06,0.0,0.0,0.074,0.055,1,0.019,0.061
default-worker-0218,active_choice,0.685,0.385,0.315,0.045,0.0,1.0,0.0,0.074,0.061,1,0.013,0.067
default-worker-0219,commitment_escalation,0.685,0.385,0.315,0.045,0.03,0.0,1.0,0.074,0.043,1,0.031,0.049
default-worker-0220,opt_in,0.74,0.44,0.36,0.05,0.0,0.0,0.0,0.079,0.05,1,0.029,0.051
default-worker-0221,auto_enroll_3,0.74,0.44,0.36,0.05,0.03,0.0,0.0,0.079,0.035,1,0.044,0.036
default-worker-0222,auto_enroll_6,0.74,0.44,0.36,0.05,0.06,0.0,0.0,0.079,0.057,1,0.022,0.058
default-worker-0223,active_choice,0.74,0.44,0.36,0.05,0.0,1.0,0.0,0.079,0.066,1,0.013,0.067
default-worker-0224,commitment_escalation,0.74,0.44,0.36,0.05,0.03,0.0,1.0,0.079,0.043,1,0.036,0.044
default-worker-0225,opt_in,0.3,0.495,0.405,0.03,0.0,0.0,0.0,0.06,0.04,1,0.02,0.06
