worker_id,knowledge_group,neighborhood,desired_earnings,observed_earnings,distance_to_phasein_end,segment,local_knowledge,adjustment_cost,true_marginal_subsidy,perceived_subsidy
eitc-worker-0024,high_knowledge,neighborhood-24,8776,8776.0,-5224.0,phase_in,0.84,0.308,0.34,0.286
eitc-worker-0025,low_knowledge,neighborhood-25,8776,8776.0,-5224.0,phase_in,0.3,0.308,0.34,0.102
eitc-worker-0026,low_knowledge,neighborhood-26,8776,8776.0,-5224.0,phase_in,0.315,0.308,0.34,0.107
eitc-worker-0027,high_knowledge,neighborhood-27,8857,8857.0,-5143.0,phase_in,0.81,0.18,0.34,0.275
eitc-worker-0028,low_knowledge,neighborhood-28,8857,8857.0,-5143.0,phase_in,0.345,0.18,0.34,0.117
eitc-worker-0029,low_knowledge,neighborhood-29,8857,8857.0,-5143.0,phase_in,0.36,0.18,0.34,0.122
eitc-worker-0030,high_knowledge,neighborhood-00,8938,8938.0,-5062.0,phase_in,0.78,0.196,0.34,0.265
eitc-worker-0031,low_knowledge,neighborhood-01,8938,8938.0,-5062.0,phase_in,0.315,0.196,0.34,0.107
eitc-worker-0032,low_knowledge,neighborhood-02,8938,8938.0,-5062.0,phase_in,0.33,0.196,0.34,0.112
eitc-worker-0033,high_knowledge,neighborhood-03,9019,9019.0,-4981.0,phase_in,0.825,0.212,0.34,0.281
eitc-worker-0034,low_knowledge,neighborhood-04,9019,9019.0,-4981.0,phase_in,0.36,0.212,0.34,0.122
eitc-worker-0035,low_knowledge,neighborhood-05,9019,9019.0,-4981.0,phase_in,0.3,0.212,0.34,0.102
eitc-worker-0036,high_knowledge,neighborhood-06,9100,9100.0,-4900.0,phase_in,0.795,0.228,0.34,0.27
eitc-worker-0037,low_knowledge,neighborhood-07,9100,9100.0,-4900.0,phase_in,0.33,0.228,0.34,0.112
eitc-worker-0038,low_knowledge,neighborhood-08,9100,9100.0,-4900.0,phase_in,0.345,0.228,0.34,0.117
eitc-worker-0039,high_knowledge,neighborhood-09,9181,9181.0,-4819.0,phase_in,0.84,0.244,0.34,0.286
eitc-worker-0040,low_knowledge,neighborhood-10,9181,9181.0,-4819.0,phase_in,0.3,0.244,0.34,0.102
eitc-worker-0041,low_knowledge,neighborhood-11,9181,9181.0,-4819.0,phase_in,0.315,0.244,0.34,0.107
eitc-worker-0042,high_knowledge,neighborhood-12,9262,9262.0,-4738.0,phase_in,0.81,0.26,0.34,0.275
eitc-worker-0043,low_knowledge,neighborhood-13,9262,9262.0,-4738.0,phase_in,0.345,0.26,0.34,0.117
eitc-worker-0044,low_knowledge,neighborhood-14,9262,9262.0,-4738.0,phase_in,0.36,0.26,0.34,0.122
eitc-worker-0045,high_knowledge,neighborhood-15,9343,9343.0,-4657.0,phase_in,0.78,0.276,0.34,0.265
eitc-worker-0046,low_knowledge,neighborhood-16,9343,9343.0,-4657.0,phase_in,0.315,0.276,0.34,0.107
eitc-worker-0047,low_knowledge,neighborhood-17,9343,9343.0,-4657.0,phase_in,0.33,0.276,0.34,0.112
eitc-worker-0048,high_knowledge,neighborhood-18,9352,9352.0,-4648.0,phase_in,0.825,0.292,0.34,0.281
eitc-worker-0049,low_knowledge,neighborhood-19,9352,9352.0,-4648.0,phase_in,0.36,0.292,0.34,0.122
eitc-worker-0050,low_knowledge,neighborhood-20,9352,9352.0,-4648.0,phase_in,0.3,0.292,0.34,0.102
eitc-worker-0051,high_knowledge,neighborhood-21,9433,9433.0,-4567.0,phase_in,0.795,0.308,0.34,0.27
eitc-worker-0052,low_knowledge,neighborhood-22,9433,9433.0,-4567.0,phase_in,0.33,0.308,0.34,0.112
eitc-worker-0053,low_knowledge,neighborhood-23,9433,9433.0,-4567.0,phase_in,0.345,0.308,0.34,0.117
eitc-worker-0054,high_knowledge,neighborhood-24,9514,9514.0,-4486.0,phase_in,0.84,0.18,0.34,0.286
eitc-worker-0055,low_knowledge,neighborhood-25,9514,9514.0,-4486.0,phase_in,0.3,0.18,0.34,0.102
eitc-worker-0056,low_knowledge,neighborhood-26,9514,9514.0,-4486.0,phase_in,0.315,0.18,0.34,0.107
eitc-worker-0057,high_knowledge,neighborhood-27,9595,9595.0,-4405.0,phase_in,0.81,0.196,0.34,0.275
eitc-worker-0058,low_knowledge,neighborhood-28,9595,9595.0,-4405.0,phase_in,0.345,0.196,0.34,0.117
eitc-worker-0059,low_knowledge,neighborhood-29,9595,9595.0,-4405.0,phase_in,0.36,0.196,0.34,0.122
eitc-worker-0060,high_knowledge,neighborhood-00,9676,9676.0,-4324.0,phase_in,0.78,0.212,0.34,0.265
eitc-worker-0061,low_knowledge,neighborhood-01,9676,9676.0,-4324.0,phase_in,0.315,0.212,0.34,0.107
eitc-worker-0062,low_knowledge,neighborhood-02,9676,9676.0,-4324.0,phase_in,0.33,0.212,0.34,0.112
eitc-worker-0063,high_knowledge,neighborhood-03,9757,9757.0,-4243.0,phase_in,0.825,0.228,0.34,0.281
eitc-worker-0064,low_knowledge,neighborhood-04,9757,9757.0,-4243.0,phase_in,0.36,0.228,0.34,0.122
eitc-worker-0065,low_knowledge,neighborhood-05,9757,9757.0,-4243.0,phase_in,0.3,0.228,0.34,0.102
eitc-worker-0066,high_knowledge,neighborhood-06,9838,9838.0,-4162.0,phase_in,0.795,0.244,0.34,0.27
eitc-worker-0067,low_knowledge,neighborhood-07,9838,9838.0,-4162.0,phase_in,0.33,0.244,0.34,0.112
eitc-worker-0068,low_knowledge,neighborhood-08,9838,9838.0,-4162.0,phase_in,0.345,0.244,0.34,0.117
eitc-worker-0069,high_knowledge,neighborhood-09,9919,9919.0,-4081.0,phase_in,0.84,0.26,0.34,0.286
eitc-worker-0070,low_knowledge,neighborhood-10,9919,9919.0,-4081.0,phase_in,0.3,0.26,0.34,0.102
eitc-worker-0071,low_knowledge,neighborhood-11,9919,9919.0,-4081.0,phase_in,0.315,0.26,0.34,0.107
eitc-worker-0072,high_knowledge,neighborhood-12,9928,9928.0,-4072.0,phase_in,0.81,0.276,0.34,0.275
eitc-worker-0073,low_knowledge,neighborhood-13,9928,9928.0,-4072.0,phase_in,0.345,0.276,0.34,0.117
eitc-worker-0074,low_knowledge,neighborhood-14,9928,9928.0,-4072.0,phase_in,0.36,0.276,0.34,0.122
eitc-worker-0075,high_knowledge,neighborhood-15,10009,10009.0,-3991.0,phase_in,0.78,0.292,0.34,0.265
eitc-worker-0076,low_knowledge,neighborhood-16,10009,10009.0,-3991.0,phase_in,0.315,0.292,0.34,0.107
eitc-worker-0077,low_knowledge,neighborhood-17,10009,10009.0,-3991.0,phase_in,0.33,0.292,0.34,0.112
eitc-worker-0078,high_knowledge,neighborhood-18,10090,10090.0,-3910.0,phase_in,0.825,0.308,0.34,0.281
eitc-worker-0079,low_knowledge,neighborhood-19,10090,10090.0,-3910.0,phase_in,0.36,0.308,0.34,0.122
eitc-worker-0080,low_knowledge,neighborhood-20,10090,10090.0,-3910.0,phase_in,0.3,0.308,0.34,0.102
eitc-worker-0081,high_knowledge,neighborhood-21,10171,10171.0,-3829.0,phase_in,0.795,0.18,0.34,0.27
eitc-worker-0082,low_knowledge,neighborhood-22,10171,10171.0,-3829.0,phase_in,0.33,0.18,0.34,0.112
eitc-worker-0083,low_knowledge,neighborhood-23,10171,10171.0,-3829.0,phase_in,0.345,0.18,0.34,0.117
eitc-worker-0084,high_knowledge,neighborhood-24,10252,10252.0,-3748.0,phase_in,0.84,0.196,0.34,0.286
eitc-worker-0085,low_knowledge,neighborhood-25,10252,10252.0,-3748.0,phase_in,0.3,0.196,0.34,0.102
eitc-worker-0086,low_knowledge,neighborhood-26,10252,10252.0,-3748.0,phase_in,0.315,0.196,0.34,0.107
eitc-worker-0087,high_knowledge,neighborhood-27,10333,10333.0,-3667.0,phase_in,0.81,0.212,0.34,0.275
eitc-worker-0088,low_knowledge,neighborhood-28,10333,10333.0,-3667.0,phase_in,0.345,0.212,0.34,0.117
eitc-worker-0089,low_knowledge,neighborhood-29,10333,10333.0,-3667.0,phase_in,0.36,0.212,0.34,0.122
eitc-worker-0090,high_knowledge,neighborhood-00,10414,10414.0,-3586.0,phase_in,0.78,0.228,0.34,0.265
eitc-worker-0091,low_knowledge,neighborhood-01,10414,10414.0,-3586.0,phase_in,0.315,0.228,0.34,0.107
eitc-worker-0092,low_knowledge,neighborhood-02,10414,10414.0,-3586.0,phase_in,0.33,0.228,0.34,0.112
eitc-worker-0093,high_knowledge,neighborhood-03,10495,10495.0,-3505.0,phase_in,0.825,0.244,0.34,0.281
eitc-worker-0094,low_knowledge,neighborhood-04,10495,10495.0,-3505.0,phase_in,0.36,0.244,0.34,0.122
eitc-worker-0095,low_knowledge,neighborhood-05,10495,10495.0,-3505.0,phase_in,0.3,0.244,0.34,0.102
eitc-worker-0096,high_knowledge,neighborhood-06,10504,10504.0,-3496.0,phase_in,0.795,0.26,0.34,0.27
eitc-worker-0097,low_knowledge,neighborhood-07,10504,10504.0,-3496.0,phase_in,0.33,0.26,0.34,0.112
eitc-worker-0098,low_knowledge,neighborhood-08,10504,10504.0,-3496.0,phase_in,0.345,0.26,0.34,0.117
eitc-worker-0099,high_knowledge,neighborhood-09,10585,10585.0,-3415.0,phase_in,0.84,0.276,0.34,0.286
eitc-worker-0100,low_knowledge,neighborhood-10,10585,10585.0,-3415.0,phase_in,0.3,0.276,0.34,0.102
eitc-worker-0101,low_knowledge,neighborhood-11,10585,10585.0,-3415.0,phase_in,0.315,0.276,0.34,0.107
eitc-worker-0102,high_knowledge,neighborhood-12,10666,10666.0,-3334.0,phase_in,0.81,0.292,0.34,0.275
eitc-worker-0103,low_knowledge,neighborhood-13,10666,10666.0,-3334.0,phase_in,0.345,0.292,0.34,0.117
eitc-worker-0104,low_knowledge,neighborhood-14,10666,10666.0,-3334.0,phase_in,0.36,0.292,0.34,0.122
eitc-worker-0105,high_knowledge,neighborhood-15,10747,10747.0,-3253.0,phase_in,0.78,0.308,0.34,0.265
eitc-worker-0106,low_knowledge,neighborhood-16,10747,10747.0,-3253.0,phase_in,0.315,0.308,0.34,0.107
eitc-worker-0107,low_knowledge,neighborhood-17,10747,10747.0,-3253.0,phase_in,0.33,0.308,0.34,0.112
eitc-worker-0108,high_knowledge,neighborhood-18,10828,10828.0,-3172.0,phase_in,0.825,0.18,0.34,0.281
eitc-worker-0109,low_knowledge,neighborhood-19,10828,10828.0,-3172.0,phase_in,0.36,0.18,0.34,0.122
eitc-worker-0110,low_knowledge,neighborhood-20,10828,10828.0,-3172.0,phase_in,0.3,0.18,0.34,0.102
eitc-worker-0111,high_knowledge,neighborhood-21,10909,10909.0,-3091.0,phase_in,0.795,0.196,0.34,0.27
eitc-worker-0112,low_knowledge,neighborhood-22,10909,10909.0,-3091.0,phase_in,0.33,0.196,0.34,0.112
eitc-worker-0113,low_knowledge,neighborhood-23,10909,10909.0,-3091.0,phase_in,0.345,0.196,0.34,0.117
eitc-worker-0114,high_knowledge,neighborhood-24,10990,10990.0,-3010.0,phase_in,0.84,0.212,0.34,0.286
eitc-worker-0115,low_knowledge,neighborhood-25,10990,10990.0,-3010.0,phase_in,0.3,0.212,0.34,0.102
eitc-worker-0116,low_knowledge,neighborhood-26,10990,10990.0,-3010.0,phase_in,0.315,0.212,0.34,0.107
eitc-worker-0117,high_knowledge,neighborhood-27,11071,11071.0,-2929.0,phase_in,0.81,0.228,0.34,0.275
eitc-worker-0118,low_knowledge,neighborhood-28,11071,11071.0,-2929.0,phase_in,0.345,0.228,0.34,0.117
eitc-worker-0119,low_knowledge,neighborhood-29,11071,11071.0,-2929.0,phase_in,0.36,0.228,0.34,0.122
eitc-worker-0120,high_knowledge,neighborhood-00,11080,11080.0,-2920.0,phase_in,0.78,0.244,0.34,0.265
eitc-worker-0121,low_knowledge,neighborhood-01,11080,11080.0,-2920.0,phase_in,0.315,0.244,0.34,0.107
eitc-worker-0122,low_knowledge,neighborhood-02,11080,11080.0,-2920.0,phase_in,0.33,0.244,0.34,0.112
eitc-worker-0123,high_knowledge,neighborhood-03,11161,11161.0,-2839.0,phase_in,0.825,0.26,0.34,0.281
eitc-worker-0124,low_knowledge,neighborhood-04,11161,11161.0,-2839.0,phase_in,0.36,0.26,0.34,0.122
eitc-worker-0125,low_knowledge,neighborhood-05,11161,11161.0,-2839.0,phase_in,0.3,0.26,0.34,0.102
eitc-worker-0126,high_knowledge,neighborhood-06,11242,11242.0,-2758.0,phase_in,0.795,0.276,0.34,0.27
eitc-worker-0127,low_knowledge,neighborhood-07,11242,11242.0,-2758.0,phase_in,0.33,0.276,0.34,0.112
eitc-worker-0128,low_knowledge,neighborhood-08,11242,11242.0,-2758.0,phase_in,0.345,0.276,0.34,0.117
eitc-worker-0129,high_knowledge,neighborhood-09,11323,11323.0,-2677.0,phase_in,0.84,0.292,0.34,0.286
eitc-worker-0130,low_knowledge,neighborhood-10,11323,11323.0,-2677.0,phase_in,0.3,0.292,0.34,0.102
eitc-worker-0131,low_knowledge,neighborhood-11,11323,11323.0,-2677.0,phase_in,0.315,0.292,0.34,0.107
eitc-worker-0132,high_knowledge,neighborhood-12,11404,11404.0,-2596.0,phase_in,0.81,0.308,0.34,0.275
eitc-worker-0133,low_knowledge,neighborhood-13,11404,11404.0,-2596.0,phase_in,0.345,0.308,0.34,0.117
eitc-worker-0134,low_knowledge,neighborhood-14,11404,11404.0,-2596.0,phase_in,0.36,0.308,0.34,0.122
eitc-worker-0135,high_knowledge,neighborhood-15,11485,11485.0,-2515.0,phase_in,0.78,0.18,0.34,0.265
eitc-worker-0136,low_knowledge,neighborhood-16,11485,11485.0,-2515.0,phase_in,0.315,0.18,0.34,0.107
eitc-worker-0137,low_knowledge,neighborhood-17,11485,11485.0,-2515.0,phase_in,0.33,0.18,0.34,0.112
eitc-worker-0138,high_knowledge,neighborhood-18,11566,11566.0,-2434.0,phase_in,0.825,0.196,0.34,0.281
eitc-worker-0139,low_knowledge,neighborhood-19,11566,11566.0,-2434.0,phase_in,0.36,0.196,0.34,0.122
eitc-worker-0140,low_knowledge,neighborhood-20,11566,11566.0,-2434.0,phase_in,0.3,0.196,0.34,0.102
eitc-worker-0141,high_knowledge,neighborhood-21,11647,11647.0,-2353.0,phase_in,0.795,0.212,0.34,0.27
eitc-worker-0142,low_knowledge,neighborhood-22,11647,11647.0,-2353.0,phase_in,0.33,0.212,0.34,0.112
eitc-worker-0143,low_knowledge,neighborhood-23,11647,11647.0,-2353.0,phase_in,0.345,0.212,0.34,0.117
eitc-worker-0144,high_knowledge,neighborhood-24,11656,11656.0,-2344.0,phase_in,0.84,0.228,0.34,0.286
eitc-worker-0145,low_knowledge,neighborhood-25,11656,11656.0,-2344.0,phase_in,0.3,0.228,0.34,0.102
eitc-worker-0146,low_knowledge,neighborhood-26,11656,11656.0,-2344.0,phase_in,0.315,0.228,0.34,0.107
eitc-worker-0147,high_knowledge,neighborhood-27,11737,11737.0,-2263.0,phase_in,0.81,0.244,0.34,0.275
eitc-worker-0148,low_knowledge,neighborhood-28,11737,11737.0,-2263.0,phase_in,0.345,0.244,0.34,0.117
eitc-worker-0149,low_knowledge,neighborhood-29,11737,11737.0,-2263.0,phase_in,0.36,0.244,0.34,0.122
eitc-worker-0150,high_knowledge,neighborhood-00,11818,11818.0,-2182.0,phase_in,0.78,0.26,0.34,0.265
eitc-worker-0151,low_knowledge,neighborhood-01,11818,11818.0,-2182.0,phase_in,0.315,0.26,0.34,0.107
eitc-worker-0152,low_knowledge,neighborhood-02,11818,11818.0,-2182.0,phase_in,0.33,0.26,0.34,0.112
eitc-worker-0153,high_knowledge,neighborhood-03,11899,11899.0,-2101.0,phase_in,0.825,0.276,0.34,0.281
eitc-worker-0154,low_knowledge,neighborhood-04,11899,11899.0,-2101.0,phase_in,0.36,0.276,0.34,0.122
eitc-worker-0155,low_knowledge,neighborhood-05,11899,11899.0,-2101.0,phase_in,0.3,0.276,0.34,0.102
eitc-worker-0156,high_knowledge,neighborhood-06,11980,11980.0,-2020.0,phase_in,0.795,0.292,0.34,0.27
eitc-worker-0157,low_knowledge,neighborhood-07,11980,11980.0,-2020.0,phase_in,0.33,0.292,0.34,0.112
eitc-worker-0158,low_knowledge,neighborhood-08,11980,11980.0,-2020.0,phase_in,0.345,0.292,0.34,0.117
eitc-worker-0159,high_knowledge,neighborhood-09,12061,12061.0,-1939.0,phase_in,0.84,0.308,0.34,0.286
eitc-worker-0160,low_knowledge,neighborhood-10,12061,12061.0,-1939.0,phase_in,0.3,0.308,0.34,0.102
eitc-worker-0161,low_knowledge,neighborhood-11,12061,12061.0,-1939.0,phase_in,0.315,0.308,0.34,0.107
eitc-worker-0162,high_knowledge,neighborhood-12,12142,12142.0,-1858.0,phase_in,0.81,0.18,0.34,0.275
eitc-worker-0163,low_knowledge,neighborhood-13,12142,12142.0,-1858.0,phase_in,0.345,0.18,0.34,0.117
eitc-worker-0164,low_knowledge,neighborhood-14,12142,12142.0,-1858.0,phase_in,0.36,0.18,0.34,0.122
eitc-worker-0165,high_knowledge,neighborhood-15,12223,12223.0,-1777.0,phase_in,0.78,0.196,0.34,0.265
eitc-worker-0166,low_knowledge,neighborhood-16,12223,12223.0,-1777.0,phase_in,0.315,0.196,0.34,0.107
eitc-worker-0167,low_knowledge,neighborhood-17,12223,12223.0,-1777.0,phase_in,0.33,0.196,0.34,0.112
eitc-worker-0168,high_knowledge,neighborhood-18,12232,12232.0,-1768.0,phase_in,0.825,0.212,0.34,0.281
eitc-worker-0169,low_knowledge,neighborhood-19,12232,12232.0,-1768.0,phase_in,0.36,0.212,0.34,0.122
eitc-worker-0170,low_knowledge,neighborhood-20,12232,12232.0,-1768.0,phase_in,0.3,0.212,0.34,0.102
eitc-worker-0171,high_knowledge,neighborhood-21,12313,12313.0,-1687.0,phase_in,0.795,0.228,0.34,0.27
eitc-worker-0172,low_knowledge,neighborhood-22,12313,12313.0,-1687.0,phase_in,0.33,0.228,0.34,0.112
eitc-worker-0173,low_knowledge,neighborhood-23,12313,12313.0,-1687.0,phase_in,0.345,0.228,0.34,0.117
eitc-worker-0174,high_knowledge,neighborhood-24,12394,12394.0,-1606.0,phase_in,0.84,0.244,0.34,0.286
eitc-worker-0175,low_knowledge,neighborhood-25,12394,12394.0,-1606.0,phase_in,0.3,0.244,0.34,0.102
eitc-worker-0176,low_knowledge,neighborhood-26,12394,12394.0,-1606.0,phase_in,0.315,0.244,0.34,0.107
eitc-worker-0177,high_knowledge,neighborhood-27,12475,12977.75,-1022.25,phase_in,0.81,0.26,0.34,0.275
eitc-worker-0178,low_knowledge,neighborhood-28,12475,12689.13,-1310.87,phase_in,0.345,0.26,0.34,0.117
eitc-worker-0179,low_knowledge,neighborhood-29,12475,12698.44,-1301.56,phase_in,0.36,0.26,0.34,0.122
eitc-worker-0180,high_knowledge,neighborhood-00,12556,13004.5,-995.5,phase_in,0.78,0.276,0.34,0.265
eitc-worker-0181,low_knowledge,neighborhood-01,12556,12737.13,-1262.87,phase_in,0.315,0.276,0.34,0.107
eitc-worker-0182,low_knowledge,neighborhood-02,12556,12745.75,-1254.25,phase_in,0.33,0.276,0.34,0.112
eitc-worker-0183,high_knowledge,neighborhood-03,12637,13074.87,-925.13,phase_in,0.825,0.292,0.34,0.281
eitc-worker-0184,low_knowledge,neighborhood-04,12637,12828.07,-1171.93,phase_in,0.36,0.292,0.34,0.122
eitc-worker-0185,low_knowledge,neighborhood-05,12637,12796.23,-1203.77,phase_in,0.3,0.292,0.34,0.102
eitc-worker-0186,high_knowledge,neighborhood-06,12718,13105.9,-894.1,phase_in,0.795,0.308,0.34,0.27
eitc-worker-0187,low_knowledge,neighborhood-07,12718,12879.02,-1120.98,phase_in,0.33,0.308,0.34,0.112
eitc-worker-0188,low_knowledge,neighborhood-08,12718,12886.34,-1113.66,phase_in,0.345,0.308,0.34,0.117
eitc-worker-0189,high_knowledge,neighborhood-09,12799,13253.99,-746.01,phase_in,0.84,0.18,0.34,0.286
eitc-worker-0190,low_knowledge,neighborhood-10,12799,12961.5,-1038.5,phase_in,0.3,0.18,0.34,0.102
eitc-worker-0191,low_knowledge,neighborhood-11,12799,12969.62,-1030.38,phase_in,0.315,0.18,0.34,0.107
eitc-worker-0192,high_knowledge,neighborhood-12,12808,13234.95,-765.05,phase_in,0.81,0.196,0.34,0.275
eitc-worker-0193,low_knowledge,neighborhood-13,12808,12989.85,-1010.15,phase_in,0.345,0.196,0.34,0.117
eitc-worker-0194,low_knowledge,neighborhood-14,12808,12997.76,-1002.24,phase_in,0.36,0.196,0.34,0.122
eitc-worker-0195,high_knowledge,neighborhood-15,12889,13264.58,-735.42,phase_in,0.78,0.212,0.34,0.265
eitc-worker-0196,low_knowledge,neighborhood-16,12889,13040.67,-959.33,phase_in,0.315,0.212,0.34,0.107
eitc-worker-0197,low_knowledge,neighborhood-17,12889,13047.9,-952.1,phase_in,0.33,0.212,0.34,0.112
eitc-worker-0198,high_knowledge,neighborhood-18,12970,13330.8,-669.2,phase_in,0.825,0.228,0.34,0.281
eitc-worker-0199,low_knowledge,neighborhood-19,12970,13127.44,-872.56,phase_in,0.36,0.228,0.34,0.122
eitc-worker-0200,low_knowledge,neighborhood-20,12970,13101.2,-898.8,phase_in,0.3,0.228,0.34,0.102
eitc-worker-0201,high_knowledge,neighborhood-21,13051,13364.7,-635.3,phase_in,0.795,0.244,0.34,0.27
eitc-worker-0202,low_knowledge,neighborhood-22,13051,13181.22,-818.78,phase_in,0.33,0.244,0.34,0.112
eitc-worker-0203,low_knowledge,neighborhood-23,13051,13187.13,-812.87,phase_in,0.345,0.244,0.34,0.117
eitc-worker-0204,high_knowledge,neighborhood-24,13132,13428.75,-571.25,phase_in,0.84,0.26,0.34,0.286
eitc-worker-0205,low_knowledge,neighborhood-25,13132,13237.98,-762.02,phase_in,0.3,0.26,0.34,0.102
eitc-worker-0206,low_knowledge,neighborhood-26,13132,13243.28,-756.72,phase_in,0.315,0.26,0.34,0.107
eitc-worker-0207,high_knowledge,neighborhood-27,13213,13466.84,-533.16,phase_in,0.81,0.276,0.34,0.275
eitc-worker-0208,low_knowledge,neighborhood-28,13213,13321.12,-678.88,phase_in,0.345,0.276,0.34,0.117
eitc-worker-0209,low_knowledge,neighborhood-29,13213,13325.82,-674.18,phase_in,0.36,0.276,0.34,0.122
eitc-worker-0210,high_knowledge,neighborhood-00,13294,13508.43,-491.57,phase_in,0.78,0.292,0.34,0.265
eitc-worker-0211,low_knowledge,neighborhood-01,13294,13380.6,-619.4,phase_in,0.315,0.292,0.34,0.107
eitc-worker-0212,low_knowledge,neighborhood-02,13294,13384.72,-615.28,phase_in,0.33,0.292,0.34,0.112
eitc-worker-0213,high_knowledge,neighborhood-03,13375,13571.25,-428.75,phase_in,0.825,0.308,0.34,0.281
eitc-worker-0214,low_knowledge,neighborhood-04,13375,13460.64,-539.36,phase_in,0.36,0.308,0.34,0.122
eitc-worker-0215,low_knowledge,neighborhood-05,13375,13446.36,-553.64,phase_in,0.3,0.308,0.34,0.102
eitc-worker-0216,high_knowledge,neighborhood-06,13384,13604.86,-395.14,phase_in,0.795,0.18,0.34,0.27
eitc-worker-0217,low_knowledge,neighborhood-07,13384,13475.68,-524.32,phase_in,0.33,0.18,0.34,0.112
eitc-worker-0218,low_knowledge,neighborhood-08,13384,13479.85,-520.15,phase_in,0.345,0.18,0.34,0.117
eitc-worker-0219,high_knowledge,neighborhood-09,13465,13663.72,-336.28,phase_in,0.84,0.196,0.34,0.286
eitc-worker-0220,low_knowledge,neighborhood-10,13465,13535.97,-464.03,phase_in,0.3,0.196,0.34,0.102
eitc-worker-0221,low_knowledge,neighborhood-11,13465,13539.52,-460.48,phase_in,0.315,0.196,0.34,0.107
eitc-worker-0222,high_knowledge,neighborhood-12,13546,13705.38,-294.62,phase_in,0.81,0.212,0.34,0.275
eitc-worker-0223,low_knowledge,neighborhood-13,13546,13613.88,-386.12,phase_in,0.345,0.212,0.34,0.117
eitc-worker-0224,low_knowledge,neighborhood-14,13546,13616.83,-383.17,phase_in,0.36,0.212,0.34,0.122
eitc-worker-0225,high_knowledge,neighborhood-15,13627,13750.53,-249.47,phase_in,0.78,0.228,0.34,0.265
eitc-worker-0226,low_knowledge,neighborhood-16,13627,13676.89,-323.11,phase_in,0.315,0.228,0.34,0.107
eitc-worker-0227,low_knowledge,neighborhood-17,13627,13679.26,-320.74,phase_in,0.33,0.228,0.34,0.112
eitc-worker-0228,high_knowledge,neighborhood-18,13708,13808.17,-191.83,phase_in,0.825,0.244,0.34,0.281
eitc-worker-0229,low_knowledge,neighborhood-19,13708,13751.71,-248.29,phase_in,0.36,0.244,0.34,0.122
eitc-worker-0230,low_knowledge,neighborhood-20,13708,13744.42,-255.58,phase_in,0.3,0.244,0.34,0.102
