country,region,year,post_reform,legal_access_score,workplace_protection_score,family_law_score,paid_leave_weeks,female_lfp_rate,male_lfp_rate,female_employment_rate,male_employment_rate,female_weekly_hours,male_weekly_hours,female_authority_share
Dara,emerging,2017,0,0.45,0.45,0.4,8,0.45,0.76,0.415,0.735,32.8,40.36,0.23
Dara,emerging,2018,0,0.462,0.468,0.41,8,0.456,0.762,0.421,0.737,33.05,40.47,0.234
Dara,emerging,2019,1,0.549,0.541,0.465,11,0.512,0.774,0.487,0.749,33.6,40.64,0.268
Dara,emerging,2020,1,0.561,0.559,0.475,11,0.518,0.776,0.493,0.751,33.84,40.75,0.272
Dara,emerging,2021,1,0.573,0.577,0.485,11,0.524,0.778,0.499,0.753,34.09,40.86,0.276
Emin,emerging,2012,0,0.31,0.28,0.27,7,0.36,0.73,0.325,0.705,31.24,39.75,0.16
Emin,emerging,2013,0,0.322,0.298,0.28,7,0.366,0.732,0.331,0.707,31.49,39.86,0.164
Emin,emerging,2014,0,0.334,0.316,0.29,7,0.372,0.734,0.337,0.709,31.74,39.97,0.168
Emin,emerging,2015,0,0.346,0.334,0.3,7,0.378,0.736,0.343,0.711,31.98,40.08,0.172
Emin,emerging,2016,0,0.358,0.352,0.31,7,0.384,0.738,0.349,0.713,32.23,40.19,0.176
Emin,emerging,2017,0,0.37,0.37,0.32,7,0.39,0.74,0.355,0.715,32.48,40.3,0.18
Emin,emerging,2018,0,0.382,0.388,0.33,7,0.396,0.742,0.361,0.717,32.73,40.41,0.184
Emin,emerging,2019,0,0.394,0.406,0.34,8,0.402,0.744,0.367,0.719,32.98,40.52,0.188
Emin,emerging,2020,1,0.481,0.479,0.395,10,0.458,0.756,0.433,0.731,33.52,40.68,0.222
Emin,emerging,2021,1,0.493,0.497,0.405,10,0.464,0.758,0.439,0.733,33.77,40.79,0.226
