place_id,region,baseline_growth,treatment_intensity,outcome_growth,share_manufacturing,share_health,share_logistics,share_education,share_energy,share_services
23,Central,0.0228,0.32433,-0.09886,0.230048,0.01138,0.017431,0.110946,0.23985,0.390346
24,Coastal,0.03092,0.37561,-0.09525,0.261699,0.116478,0.117635,0.180654,0.080459,0.243075
25,North,0.02249,0.40787,-0.11247,0.394057,0.206888,0.237122,0.042763,0.019418,0.099752
26,South,0.03485,0.37654,-0.1014,0.195672,0.208372,0.464734,0.036722,0.020826,0.073673
27,Central,0.00645,0.25609,-0.09041,0.109421,0.170467,0.222288,0.131711,0.283834,0.082279
28,Coastal,0.01817,0.33202,-0.12219,0.073772,0.196163,0.222042,0.220499,0.027492,0.260032
29,North,0.03245,0.41166,-0.102,0.399273,0.108986,0.211311,0.067174,0.011918,0.201339
30,South,0.01018,0.26461,-0.07737,0.138128,0.057213,0.193722,0.231904,0.259735,0.119298
31,Central,0.00341,0.37362,-0.20482,0.213145,0.033213,0.140793,0.306241,0.081155,0.225452
32,Coastal,0.02176,0.30261,-0.08692,0.240163,0.334748,0.192904,0.124699,0.019421,0.088064
33,North,0.01645,0.37476,-0.11816,0.435431,0.097551,0.13806,0.0967,0.004817,0.22744
34,South,3e-05,0.28387,-0.11337,0.051104,0.143056,0.144513,0.258602,0.367238,0.035488
35,Central,0.03701,0.384,-0.09575,0.2934,0.166722,0.048252,0.273367,0.048832,0.169427
36,Coastal,0.02351,0.27569,-0.07026,0.040086,0.221852,0.097828,0.083208,0.241295,0.31573
37,North,0.0198,0.38414,-0.1097,0.348128,0.087807,0.158721,0.084001,0.301662,0.019681
38,South,0.00298,0.24808,-0.09683,0.015987,0.11033,0.112055,0.035696,0.26834,0.457593
39,Central,0.02172,0.3297,-0.08546,0.248802,0.123501,0.097039,0.130882,0.177397,0.222379
40,Coastal,0.02469,0.35404,-0.06169,0.150779,0.274421,0.091708,0.012457,0.013184,0.457451
41,North,0.0381,0.38838,-0.13919,0.317426,0.349077,0.162377,0.021205,0.042459,0.107455
42,South,0.02845,0.33824,-0.12057,0.20049,0.12175,0.035893,0.060071,0.316003,0.265793
43,Central,0.00809,0.29738,-0.06825,0.082834,0.144504,0.033471,0.031201,0.262049,0.445942
44,Coastal,0.01559,0.35475,-0.12143,0.123549,0.105091,0.093439,0.013182,0.309132,0.355606
45,North,0.02403,0.43865,-0.14474,0.415021,0.097376,0.33933,0.010382,0.001264,0.136628
46,South,0.03587,0.28654,-0.07785,0.220394,0.156287,0.126935,0.199126,0.15474,0.142519
47,Central,0.03024,0.32684,-0.0787,0.386592,0.106865,0.024539,0.243359,0.058918,0.179728
48,Coastal,0.01277,0.27852,-0.07819,0.022154,0.014954,0.31087,0.138389,0.05085,0.462784
49,North,0.02233,0.33641,-0.1057,0.121841,0.213723,0.264158,0.055057,0.018964,0.326256
50,South,0.01205,0.34003,-0.12066,0.169721,0.088408,0.139842,0.085365,0.107912,0.408752
51,Central,0.02984,0.36786,-0.10432,0.096549,0.140102,0.200789,0.177796,0.03226,0.352504
52,Coastal,0.00488,0.32819,-0.11998,0.042858,0.159271,0.213709,0.078356,0.065466,0.440339
53,North,0.03124,0.4341,-0.10348,0.366307,0.067758,0.423015,0.053838,0.008268,0.080813
54,South,-0.00759,0.30418,-0.13679,0.115545,0.013609,0.32318,0.077307,0.351989,0.118369
55,Central,0.00239,0.33296,-0.1344,0.211054,0.261853,0.213552,0.004917,0.12957,0.179053
56,Coastal,0.03476,0.41219,-0.14307,0.404793,0.158436,0.185344,0.057693,0.065778,0.127956
57,North,0.03761,0.39218,-0.12567,0.380731,0.16531,0.191422,0.117201,0.017994,0.127341
58,South,0.03774,0.44074,-0.16572,0.401033,0.155665,0.053113,0.056704,0.045741,0.287745
59,Central,0.03787,0.30856,-0.0759,0.28308,0.086221,0.074181,0.078679,0.036244,0.441596
60,Coastal,-0.00017,0.23344,-0.14048,0.077249,0.064232,0.039439,0.45786,0.008582,0.352639
61,North,0.01486,0.29269,-0.11348,0.172139,0.291126,0.052091,0.14022,0.054781,0.289642
62,South,0.01928,0.40535,-0.15196,0.16353,0.264565,0.385256,0.0213,0.109184,0.056164
63,Central,0.00825,0.31274,-0.11665,0.13126,0.035929,0.231182,0.367364,0.062904,0.17136
64,Coastal,0.00262,0.3109,-0.15993,0.044201,0.307825,0.186796,0.326175,0.005854,0.129148
65,North,0.02022,0.38852,-0.15027,0.493062,0.0113,0.218157,0.142278,0.047579,0.087623
66,South,-0.00766,0.28316,-0.08647,0.080364,0.016354,0.500135,0.003017,0.231905,0.168225
67,Central,0.00694,0.34268,-0.09978,0.126247,0.260402,0.139966,0.086344,0.1173,0.26974
68,Coastal,0.03033,0.36311,-0.11918,0.165645,0.235891,0.125729,0.338248,0.013285,0.121202
69,North,0.00119,0.33404,-0.13239,0.107445,0.094339,0.401286,0.045484,0.093947,0.257499
70,South,-0.00437,0.33501,-0.16954,0.101159,0.242127,0.306281,0.175506,0.068394,0.106534
71,Central,0.01872,0.34102,-0.11132,0.316239,0.211933,0.190717,0.186483,0.015155,0.079473
72,Coastal,0.01837,0.4071,-0.08882,0.197818,0.183705,0.211758,0.034212,0.011728,0.360779
