worker_id,knowledge_group,desired_earnings,observed_earnings,kink,schedule_knowledge,adjustment_cost,distance_to_kink,phaseout_rate
schedule-worker-049,low_knowledge,17984,17984.0,20000.0,0.28,0.306,-2016.0,0.0
schedule-worker-050,low_knowledge,17984,17984.0,20000.0,0.28,0.306,-2016.0,0.0
schedule-worker-051,high_knowledge,18081,18081.0,20000.0,0.78,0.324,-1919.0,0.0
schedule-worker-052,low_knowledge,18081,18081.0,20000.0,0.28,0.324,-1919.0,0.0
schedule-worker-053,low_knowledge,18081,18081.0,20000.0,0.28,0.324,-1919.0,0.0
schedule-worker-054,high_knowledge,18178,18178.0,20000.0,0.78,0.18,-1822.0,0.0
schedule-worker-055,low_knowledge,18178,18178.0,20000.0,0.28,0.18,-1822.0,0.0
schedule-worker-056,low_knowledge,18178,18178.0,20000.0,0.28,0.18,-1822.0,0.0
schedule-worker-057,high_knowledge,18275,18275.0,20000.0,0.78,0.198,-1725.0,0.0
schedule-worker-058,low_knowledge,18275,18275.0,20000.0,0.28,0.198,-1725.0,0.0
schedule-worker-059,low_knowledge,18275,18275.0,20000.0,0.28,0.198,-1725.0,0.0
schedule-worker-060,high_knowledge,18372,18372.0,20000.0,0.78,0.216,-1628.0,0.0
schedule-worker-061,low_knowledge,18372,18372.0,20000.0,0.28,0.216,-1628.0,0.0
schedule-worker-062,low_knowledge,18372,18372.0,20000.0,0.28,0.216,-1628.0,0.0
schedule-worker-063,high_knowledge,18385,18385.0,20000.0,0.78,0.234,-1615.0,0.0
schedule-worker-064,low_knowledge,18385,18385.0,20000.0,0.28,0.234,-1615.0,0.0
schedule-worker-065,low_knowledge,18385,18385.0,20000.0,0.28,0.234,-1615.0,0.0
schedule-worker-066,high_knowledge,18482,18482.0,20000.0,0.78,0.252,-1518.0,0.0
schedule-worker-067,low_knowledge,18482,18482.0,20000.0,0.28,0.252,-1518.0,0.0
schedule-worker-068,low_knowledge,18482,18482.0,20000.0,0.28,0.252,-1518.0,0.0
schedule-worker-069,high_knowledge,18579,19388.12,20000.0,0.78,0.27,-611.88,0.0
schedule-worker-070,low_knowledge,18579,18869.45,20000.0,0.28,0.27,-1130.55,0.0
schedule-worker-071,low_knowledge,18579,18869.45,20000.0,0.28,0.27,-1130.55,0.0
schedule-worker-072,high_knowledge,18676,19411.3,20000.0,0.78,0.288,-588.7,0.0
schedule-worker-073,low_knowledge,18676,18939.95,20000.0,0.28,0.288,-1060.05,0.0
schedule-worker-074,low_knowledge,18676,18939.95,20000.0,0.28,0.288,-1060.05,0.0
schedule-worker-075,high_knowledge,18773,19437.2,20000.0,0.78,0.306,-562.8,0.0
schedule-worker-076,low_knowledge,18773,19011.43,20000.0,0.28,0.306,-988.57,0.0
schedule-worker-077,low_knowledge,18773,19011.43,20000.0,0.28,0.306,-988.57,0.0
schedule-worker-078,high_knowledge,18870,19465.83,20000.0,0.78,0.324,-534.17,0.0
schedule-worker-079,low_knowledge,18870,19083.89,20000.0,0.28,0.324,-916.11,0.0
schedule-worker-080,low_knowledge,18870,19083.89,20000.0,0.28,0.324,-916.11,0.0
schedule-worker-081,high_knowledge,18967,19627.71,20000.0,0.78,0.18,-372.29,0.0
schedule-worker-082,low_knowledge,18967,19204.18,20000.0,0.28,0.18,-795.82,0.0
schedule-worker-083,low_knowledge,18967,19204.18,20000.0,0.28,0.18,-795.82,0.0
schedule-worker-084,high_knowledge,18980,19618.07,20000.0,0.78,0.198,-381.93,0.0
schedule-worker-085,low_knowledge,18980,19209.05,20000.0,0.28,0.198,-790.95,0.0
schedule-worker-086,low_knowledge,18980,19209.05,20000.0,0.28,0.198,-790.95,0.0
schedule-worker-087,high_knowledge,19077,19641.43,20000.0,0.78,0.216,-358.57,0.0
schedule-worker-088,low_knowledge,19077,19279.62,20000.0,0.28,0.216,-720.38,0.0
schedule-worker-089,low_knowledge,19077,19279.62,20000.0,0.28,0.216,-720.38,0.0
schedule-worker-090,high_knowledge,19174,19667.52,20000.0,0.78,0.234,-332.48,0.0
schedule-worker-091,low_knowledge,19174,19351.16,20000.0,0.28,0.234,-648.84,0.0
schedule-worker-092,low_knowledge,19174,19351.16,20000.0,0.28,0.234,-648.84,0.0
schedule-worker-093,high_knowledge,19271,19696.33,20000.0,0.78,0.252,-303.67,0.0
schedule-worker-094,low_knowledge,19271,19423.68,20000.0,0.28,0.252,-576.32,0.0
schedule-worker-095,low_knowledge,19271,19423.68,20000.0,0.28,0.252,-576.32,0.0
schedule-worker-096,high_knowledge,19368,19727.86,20000.0,0.78,0.27,-272.14,0.0
schedule-worker-097,low_knowledge,19368,19497.18,20000.0,0.28,0.27,-502.82,0.0
schedule-worker-098,low_knowledge,19368,19497.18,20000.0,0.28,0.27,-502.82,0.0
schedule-worker-099,high_knowledge,19465,19762.12,20000.0,0.78,0.288,-237.88,0.0
schedule-worker-100,low_knowledge,19465,19571.66,20000.0,0.28,0.288,-428.34,0.0
schedule-worker-101,low_knowledge,19465,19571.66,20000.0,0.28,0.288,-428.34,0.0
schedule-worker-102,high_knowledge,19562,19799.1,20000.0,0.78,0.306,-200.9,0.0
schedule-worker-103,low_knowledge,19562,19647.11,20000.0,0.28,0.306,-352.89,0.0
schedule-worker-104,low_knowledge,19562,19647.11,20000.0,0.28,0.306,-352.89,0.0
schedule-worker-105,high_knowledge,19575,19799.09,20000.0,0.78,0.324,-200.91,0.0
schedule-worker-106,low_knowledge,19575,19655.44,20000.0,0.28,0.324,-344.56,0.0
schedule-worker-107,low_knowledge,19575,19655.44,20000.0,0.28,0.324,-344.56,0.0
schedule-worker-108,high_knowledge,19672,19881.79,20000.0,0.78,0.18,-118.21,0.0
schedule-worker-109,low_knowledge,19672,19747.31,20000.0,0.28,0.18,-252.69,0.0
schedule-worker-110,low_knowledge,19672,19747.31,20000.0,0.28,0.18,-252.69,0.0
schedule-worker-111,high_knowledge,19769,19913.5,20000.0,0.78,0.198,-86.5,0.0
schedule-worker-112,low_knowledge,19769,19820.87,20000.0,0.28,0.198,-179.13,0.0
schedule-worker-113,low_knowledge,19769,19820.87,20000.0,0.28,0.198,-179.13,0.0
schedule-worker-114,high_knowledge,19866,19947.94,20000.0,0.78,0.216,-52.06,0.0
schedule-worker-115,low_knowledge,19866,19895.42,20000.0,0.28,0.216,-104.58,0.0
schedule-worker-116,low_knowledge,19866,19895.42,20000.0,0.28,0.216,-104.58,0.0
schedule-worker-117,high_knowledge,19963,19985.11,20000.0,0.78,0.234,-14.89,0.0
schedule-worker-118,low_knowledge,19963,19970.94,20000.0,0.28,0.234,-29.06,0.0
schedule-worker-119,low_knowledge,19963,19970.94,20000.0,0.28,0.234,-29.06,0.0
schedule-worker-120,high_knowledge,20060,20024.99,20000.0,0.78,0.252,24.99,0.21
schedule-worker-121,low_knowledge,20060,20047.43,20000.0,0.28,0.252,47.43,0.21
schedule-worker-122,low_knowledge,20060,20047.43,20000.0,0.28,0.252,47.43,0.21
schedule-worker-123,high_knowledge,20157,20067.6,20000.0,0.78,0.27,67.6,0.21
schedule-worker-124,low_knowledge,20157,20124.91,20000.0,0.28,0.27,124.91,0.21
schedule-worker-125,low_knowledge,20157,20124.91,20000.0,0.28,0.27,124.91,0.21
schedule-worker-126,high_knowledge,20170,20075.59,20000.0,0.78,0.288,75.59,0.21
schedule-worker-127,low_knowledge,20170,20136.11,20000.0,0.28,0.288,136.11,0.21
schedule-worker-128,low_knowledge,20170,20136.11,20000.0,0.28,0.288,136.11,0.21
schedule-worker-129,high_knowledge,20267,20122.47,20000.0,0.78,0.306,122.47,0.21
schedule-worker-130,low_knowledge,20267,20215.12,20000.0,0.28,0.306,215.12,0.21
schedule-worker-131,low_knowledge,20267,20215.12,20000.0,0.28,0.306,215.12,0.21
schedule-worker-132,high_knowledge,20364,20172.07,20000.0,0.78,0.324,172.07,0.21
schedule-worker-133,low_knowledge,20364,20295.1,20000.0,0.28,0.324,295.1,0.21
schedule-worker-134,low_knowledge,20364,20295.1,20000.0,0.28,0.324,295.1,0.21
schedule-worker-135,high_knowledge,20461,20166.14,20000.0,0.78,0.18,166.14,0.21
schedule-worker-136,low_knowledge,20461,20355.15,20000.0,0.28,0.18,355.15,0.21
schedule-worker-137,low_knowledge,20461,20355.15,20000.0,0.28,0.18,355.15,0.21
schedule-worker-138,high_knowledge,20558,20208.94,20000.0,0.78,0.198,208.94,0.21
schedule-worker-139,low_knowledge,20558,20432.7,20000.0,0.28,0.198,432.7,0.21
schedule-worker-140,low_knowledge,20558,20432.7,20000.0,0.28,0.198,432.7,0.21
schedule-worker-141,high_knowledge,20655,20254.45,20000.0,0.78,0.216,254.45,0.21
schedule-worker-142,low_knowledge,20655,20511.21,20000.0,0.28,0.216,511.21,0.21
schedule-worker-143,low_knowledge,20655,20511.21,20000.0,0.28,0.216,511.21,0.21
schedule-worker-144,high_knowledge,20752,20302.7,20000.0,0.78,0.234,302.7,0.21
schedule-worker-145,low_knowledge,20752,20590.71,20000.0,0.28,0.234,590.71,0.21
schedule-worker-146,low_knowledge,20752,20590.71,20000.0,0.28,0.234,590.71,0.21
schedule-worker-147,high_knowledge,20765,20318.67,20000.0,0.78,0.252,318.67,0.21
schedule-worker-148,low_knowledge,20765,20604.78,20000.0,0.28,0.252,604.78,0.21
schedule-worker-149,low_knowledge,20765,20604.78,20000.0,0.28,0.252,604.78,0.21
schedule-worker-150,high_knowledge,20862,20371.18,20000.0,0.78,0.27,371.18,0.21
schedule-worker-151,low_knowledge,20862,20685.81,20000.0,0.28,0.27,685.81,0.21
schedule-worker-152,low_knowledge,20862,20685.81,20000.0,0.28,0.27,685.81,0.21
schedule-worker-153,high_knowledge,20959,20426.41,20000.0,0.78,0.288,426.41,0.21
schedule-worker-154,low_knowledge,20959,20767.81,20000.0,0.28,0.288,767.81,0.21
schedule-worker-155,low_knowledge,20959,20767.81,20000.0,0.28,0.288,767.81,0.21
schedule-worker-156,high_knowledge,21056,20484.37,20000.0,0.78,0.306,484.37,0.21
schedule-worker-157,low_knowledge,21056,20850.8,20000.0,0.28,0.306,850.8,0.21
schedule-worker-158,low_knowledge,21056,20850.8,20000.0,0.28,0.306,850.8,0.21
schedule-worker-159,high_knowledge,21153,20545.05,20000.0,0.78,0.324,545.05,0.21
schedule-worker-160,low_knowledge,21153,20934.76,20000.0,0.28,0.324,934.76,0.21
schedule-worker-161,low_knowledge,21153,20934.76,20000.0,0.28,0.324,934.76,0.21
schedule-worker-162,high_knowledge,21250,20450.5,20000.0,0.78,0.18,450.5,0.21
schedule-worker-163,low_knowledge,21250,20963.0,20000.0,0.28,0.18,963.0,0.21
schedule-worker-164,low_knowledge,21250,20963.0,20000.0,0.28,0.18,963.0,0.21
schedule-worker-165,high_knowledge,21347,20504.37,20000.0,0.78,0.198,504.37,0.21
schedule-worker-166,low_knowledge,21347,21044.52,20000.0,0.28,0.198,1044.52,0.21
schedule-worker-167,low_knowledge,21347,21044.52,20000.0,0.28,0.198,1044.52,0.21
schedule-worker-168,high_knowledge,21360,20528.33,20000.0,0.78,0.216,528.33,0.21
schedule-worker-169,low_knowledge,21360,21061.45,20000.0,0.28,0.216,1061.45,0.21
schedule-worker-170,low_knowledge,21360,21061.45,20000.0,0.28,0.216,1061.45,0.21
schedule-worker-171,high_knowledge,21457,20586.47,20000.0,0.78,0.234,586.47,0.21
schedule-worker-172,low_knowledge,21457,21144.5,20000.0,0.28,0.234,1144.5,0.21
schedule-worker-173,low_knowledge,21457,21144.5,20000.0,0.28,0.234,1144.5,0.21
schedule-worker-174,high_knowledge,21554,21432.79,20000.0,0.78,0.252,1432.79,0.21
schedule-worker-175,low_knowledge,21554,21510.49,20000.0,0.28,0.252,1510.49,0.21
schedule-worker-176,low_knowledge,21554,21510.49,20000.0,0.28,0.252,1510.49,0.21
schedule-worker-177,high_knowledge,21651,21522.22,20000.0,0.78,0.27,1522.22,0.21
schedule-worker-178,low_knowledge,21651,21604.77,20000.0,0.28,0.27,1604.77,0.21
schedule-worker-179,low_knowledge,21651,21604.77,20000.0,0.28,0.27,1604.77,0.21
schedule-worker-180,high_knowledge,21748,21611.66,20000.0,0.78,0.288,1611.66,0.21
schedule-worker-181,low_knowledge,21748,21699.06,20000.0,0.28,0.288,1699.06,0.21
schedule-worker-182,low_knowledge,21748,21699.06,20000.0,0.28,0.288,1699.06,0.21
schedule-worker-183,high_knowledge,21845,21701.09,20000.0,0.78,0.306,1701.09,0.21
schedule-worker-184,low_knowledge,21845,21793.34,20000.0,0.28,0.306,1793.34,0.21
schedule-worker-185,low_knowledge,21845,21793.34,20000.0,0.28,0.306,1793.34,0.21
schedule-worker-186,high_knowledge,21942,21790.52,20000.0,0.78,0.324,1790.52,0.21
schedule-worker-187,low_knowledge,21942,21887.62,20000.0,0.28,0.324,1887.62,0.21
schedule-worker-188,low_knowledge,21942,21887.62,20000.0,0.28,0.324,1887.62,0.21
schedule-worker-189,high_knowledge,21955,21802.51,20000.0,0.78,0.18,1802.51,0.21
schedule-worker-190,low_knowledge,21955,21900.26,20000.0,0.28,0.18,1900.26,0.21
schedule-worker-191,low_knowledge,21955,21900.26,20000.0,0.28,0.18,1900.26,0.21
schedule-worker-192,high_knowledge,22052,21891.94,20000.0,0.78,0.198,1891.94,0.21
schedule-worker-193,low_knowledge,22052,21994.54,20000.0,0.28,0.198,1994.54,0.21
schedule-worker-194,low_knowledge,22052,21994.54,20000.0,0.28,0.198,1994.54,0.21
schedule-worker-195,high_knowledge,22149,21981.38,20000.0,0.78,0.216,1981.38,0.21
schedule-worker-196,low_knowledge,22149,22088.83,20000.0,0.28,0.216,2088.83,0.21
schedule-worker-197,low_knowledge,22149,22088.83,20000.0,0.28,0.216,2088.83,0.21
schedule-worker-198,high_knowledge,22246,22070.81,20000.0,0.78,0.234,2070.81,0.21
schedule-worker-199,low_knowledge,22246,22183.11,20000.0,0.28,0.234,2183.11,0.21
schedule-worker-200,low_knowledge,22246,22183.11,20000.0,0.28,0.234,2183.11,0.21
schedule-worker-201,high_knowledge,22343,22160.25,20000.0,0.78,0.252,2160.25,0.21
schedule-worker-202,low_knowledge,22343,22277.4,20000.0,0.28,0.252,2277.4,0.21
schedule-worker-203,low_knowledge,22343,22277.4,20000.0,0.28,0.252,2277.4,0.21
schedule-worker-204,high_knowledge,22440,22249.68,20000.0,0.78,0.27,2249.68,0.21
schedule-worker-205,low_knowledge,22440,22371.68,20000.0,0.28,0.27,2371.68,0.21
schedule-worker-206,low_knowledge,22440,22371.68,20000.0,0.28,0.27,2371.68,0.21
schedule-worker-207,high_knowledge,22537,22339.11,20000.0,0.78,0.288,2339.11,0.21
schedule-worker-208,low_knowledge,22537,22465.96,20000.0,0.28,0.288,2465.96,0.21
schedule-worker-209,low_knowledge,22537,22465.96,20000.0,0.28,0.288,2465.96,0.21
schedule-worker-210,high_knowledge,22550,22351.1,20000.0,0.78,0.306,2351.1,0.21
schedule-worker-211,low_knowledge,22550,22478.6,20000.0,0.28,0.306,2478.6,0.21
schedule-worker-212,low_knowledge,22550,22478.6,20000.0,0.28,0.306,2478.6,0.21
schedule-worker-213,high_knowledge,22647,22440.53,20000.0,0.78,0.324,2440.53,0.21
schedule-worker-214,low_knowledge,22647,22572.88,20000.0,0.28,0.324,2572.88,0.21
schedule-worker-215,low_knowledge,22647,22572.88,20000.0,0.28,0.324,2572.88,0.21
schedule-worker-216,high_knowledge,22744,22529.97,20000.0,0.78,0.18,2529.97,0.21
schedule-worker-217,low_knowledge,22744,22667.17,20000.0,0.28,0.18,2667.17,0.21
schedule-worker-218,low_knowledge,22744,22667.17,20000.0,0.28,0.18,2667.17,0.21
schedule-worker-219,high_knowledge,22841,22619.4,20000.0,0.78,0.198,2619.4,0.21
schedule-worker-220,low_knowledge,22841,22761.45,20000.0,0.28,0.198,2761.45,0.21
schedule-worker-221,low_knowledge,22841,22761.45,20000.0,0.28,0.198,2761.45,0.21
schedule-worker-222,high_knowledge,22938,22708.84,20000.0,0.78,0.216,2708.84,0.21
schedule-worker-223,low_knowledge,22938,22855.74,20000.0,0.28,0.216,2855.74,0.21
schedule-worker-224,low_knowledge,22938,22855.74,20000.0,0.28,0.216,2855.74,0.21
schedule-worker-225,high_knowledge,23035,22798.27,20000.0,0.78,0.234,2798.27,0.21
schedule-worker-226,low_knowledge,23035,22950.02,20000.0,0.28,0.234,2950.02,0.21
schedule-worker-227,low_knowledge,23035,22950.02,20000.0,0.28,0.234,2950.02,0.21
schedule-worker-228,high_knowledge,23132,22887.7,20000.0,0.78,0.252,2887.7,0.21
schedule-worker-229,low_knowledge,23132,23044.3,20000.0,0.28,0.252,3044.3,0.21
schedule-worker-230,low_knowledge,23132,23044.3,20000.0,0.28,0.252,3044.3,0.21
schedule-worker-231,high_knowledge,23145,22899.69,20000.0,0.78,0.27,2899.69,0.21
schedule-worker-232,low_knowledge,23145,23056.94,20000.0,0.28,0.27,3056.94,0.21
schedule-worker-233,low_knowledge,23145,23056.94,20000.0,0.28,0.27,3056.94,0.21
schedule-worker-234,high_knowledge,23242,22989.12,20000.0,0.78,0.288,2989.12,0.21
schedule-worker-235,low_knowledge,23242,23151.22,20000.0,0.28,0.288,3151.22,0.21
schedule-worker-236,low_knowledge,23242,23151.22,20000.0,0.28,0.288,3151.22,0.21
schedule-worker-237,high_knowledge,23339,23078.56,20000.0,0.78,0.306,3078.56,0.21
schedule-worker-238,low_knowledge,23339,23245.51,20000.0,0.28,0.306,3245.51,0.21
schedule-worker-239,low_knowledge,23339,23245.51,20000.0,0.28,0.306,3245.51,0.21
schedule-worker-240,high_knowledge,23436,23167.99,20000.0,0.78,0.324,3167.99,0.21
schedule-worker-241,low_knowledge,23436,23339.79,20000.0,0.28,0.324,3339.79,0.21
schedule-worker-242,low_knowledge,23436,23339.79,20000.0,0.28,0.324,3339.79,0.21
schedule-worker-243,high_knowledge,23533,23257.43,20000.0,0.78,0.18,3257.43,0.21
schedule-worker-244,low_knowledge,23533,23434.08,20000.0,0.28,0.18,3434.08,0.21
schedule-worker-245,low_knowledge,23533,23434.08,20000.0,0.28,0.18,3434.08,0.21
schedule-worker-246,high_knowledge,23630,23346.86,20000.0,0.78,0.198,3346.86,0.21
schedule-worker-247,low_knowledge,23630,23528.36,20000.0,0.28,0.198,3528.36,0.21
schedule-worker-248,low_knowledge,23630,23528.36,20000.0,0.28,0.198,3528.36,0.21
schedule-worker-249,high_knowledge,23727,23436.29,20000.0,0.78,0.216,3436.29,0.21
schedule-worker-250,low_knowledge,23727,23622.64,20000.0,0.28,0.216,3622.64,0.21
schedule-worker-251,low_knowledge,23727,23622.64,20000.0,0.28,0.216,3622.64,0.21
schedule-worker-252,high_knowledge,23740,23448.28,20000.0,0.78,0.234,3448.28,0.21
schedule-worker-253,low_knowledge,23740,23635.28,20000.0,0.28,0.234,3635.28,0.21
schedule-worker-254,low_knowledge,23740,23635.28,20000.0,0.28,0.234,3635.28,0.21
schedule-worker-255,high_knowledge,23837,23537.71,20000.0,0.78,0.252,3537.71,0.21
schedule-worker-256,low_knowledge,23837,23729.56,20000.0,0.28,0.252,3729.56,0.21
schedule-worker-257,low_knowledge,23837,23729.56,20000.0,0.28,0.252,3729.56,0.21
schedule-worker-258,high_knowledge,23934,23627.15,20000.0,0.78,0.27,3627.15,0.21
schedule-worker-259,low_knowledge,23934,23823.85,20000.0,0.28,0.27,3823.85,0.21
schedule-worker-260,low_knowledge,23934,23823.85,20000.0,0.28,0.27,3823.85,0.21
schedule-worker-261,high_knowledge,24031,23716.58,20000.0,0.78,0.288,3716.58,0.21
schedule-worker-262,low_knowledge,24031,23918.13,20000.0,0.28,0.288,3918.13,0.21
schedule-worker-263,low_knowledge,24031,23918.13,20000.0,0.28,0.288,3918.13,0.21
schedule-worker-264,high_knowledge,24128,23806.02,20000.0,0.78,0.306,3806.02,0.21
schedule-worker-265,low_knowledge,24128,24012.42,20000.0,0.28,0.306,4012.42,0.21
schedule-worker-266,low_knowledge,24128,24012.42,20000.0,0.28,0.306,4012.42,0.21
schedule-worker-267,high_knowledge,24225,23895.45,20000.0,0.78,0.324,3895.45,0.21
schedule-worker-268,low_knowledge,24225,24106.7,20000.0,0.28,0.324,4106.7,0.21
schedule-worker-269,low_knowledge,24225,24106.7,20000.0,0.28,0.324,4106.7,0.21
schedule-worker-270,high_knowledge,24322,23984.88,20000.0,0.78,0.18,3984.88,0.21
schedule-worker-271,low_knowledge,24322,24200.98,20000.0,0.28,0.18,4200.98,0.21
schedule-worker-272,low_knowledge,24322,24200.98,20000.0,0.28,0.18,4200.98,0.21
schedule-worker-273,high_knowledge,24335,23996.87,20000.0,0.78,0.198,3996.87,0.21
schedule-worker-274,low_knowledge,24335,24213.62,20000.0,0.28,0.198,4213.62,0.21
schedule-worker-275,low_knowledge,24335,24213.62,20000.0,0.28,0.198,4213.62,0.21
schedule-worker-276,high_knowledge,24432,24086.3,20000.0,0.78,0.216,4086.3,0.21
schedule-worker-277,low_knowledge,24432,24307.9,20000.0,0.28,0.216,4307.9,0.21
schedule-worker-278,low_knowledge,24432,24307.9,20000.0,0.28,0.216,4307.9,0.21
schedule-worker-279,high_knowledge,24529,24175.74,20000.0,0.78,0.234,4175.74,0.21
schedule-worker-280,low_knowledge,24529,24402.19,20000.0,0.28,0.234,4402.19,0.21
schedule-worker-281,low_knowledge,24529,24402.19,20000.0,0.28,0.234,4402.19,0.21
schedule-worker-282,high_knowledge,24626,24265.17,20000.0,0.78,0.252,4265.17,0.21
schedule-worker-283,low_knowledge,24626,24496.47,20000.0,0.28,0.252,4496.47,0.21
schedule-worker-284,low_knowledge,24626,24496.47,20000.0,0.28,0.252,4496.47,0.21
schedule-worker-285,high_knowledge,16648,16648.0,20000.0,0.78,0.27,-3352.0,0.0
schedule-worker-286,low_knowledge,16648,16648.0,20000.0,0.28,0.27,-3352.0,0.0
schedule-worker-287,low_knowledge,16648,16648.0,20000.0,0.28,0.27,-3352.0,0.0
schedule-worker-288,high_knowledge,16745,16745.0,20000.0,0.78,0.288,-3255.0,0.0
schedule-worker-289,low_knowledge,16745,16745.0,20000.0,0.28,0.288,-3255.0,0.0
schedule-worker-290,low_knowledge,16745,16745.0,20000.0,0.28,0.288,-3255.0,0.0
schedule-worker-291,high_knowledge,16842,16842.0,20000.0,0.78,0.306,-3158.0,0.0
schedule-worker-292,low_knowledge,16842,16842.0,20000.0,0.28,0.306,-3158.0,0.0
schedule-worker-293,low_knowledge,16842,16842.0,20000.0,0.28,0.306,-3158.0,0.0
schedule-worker-294,high_knowledge,16855,16855.0,20000.0,0.78,0.324,-3145.0,0.0
schedule-worker-295,low_knowledge,16855,16855.0,20000.0,0.28,0.324,-3145.0,0.0
schedule-worker-296,low_knowledge,16855,16855.0,20000.0,0.28,0.324,-3145.0,0.0
schedule-worker-297,high_knowledge,16952,16952.0,20000.0,0.78,0.18,-3048.0,0.0
schedule-worker-298,low_knowledge,16952,16952.0,20000.0,0.28,0.18,-3048.0,0.0
schedule-worker-299,low_knowledge,16952,16952.0,20000.0,0.28,0.18,-3048.0,0.0
