worker_id,arm,baseline_skill,reciprocity_index,social_preference_weight,gift_value,piece_rate,employer_effort,effort_minutes,output_units,quality_score,value_created
gift-worker-034,employer_return,0.99,0.72,0.2,0.65,0.0,0.55,45.33,68.88,0.768,52.93
gift-worker-035,control,1.025,0.18,0.26,0.0,0.0,0.0,39.32,64.3,0.793,51.0
gift-worker-036,cash_gift,1.025,0.18,0.26,1.0,0.0,0.0,40.67,65.69,0.783,51.44
gift-worker-037,noncash_gift,1.025,0.18,0.26,0.85,0.0,0.25,41.84,66.89,0.798,53.39
gift-worker-038,piece_rate,1.025,0.18,0.26,0.0,0.22,0.0,41.96,68.33,0.793,54.19
gift-worker-039,employer_return,1.025,0.18,0.26,0.65,0.0,0.55,43.22,68.3,0.804,54.92
gift-worker-040,control,0.78,0.27,0.32,0.0,0.0,0.0,39.84,55.08,0.829,45.65
gift-worker-041,cash_gift,0.78,0.27,0.32,1.0,0.0,0.0,41.87,56.65,0.819,46.39
gift-worker-042,noncash_gift,0.78,0.27,0.32,0.85,0.0,0.25,42.94,57.49,0.834,47.94
gift-worker-043,piece_rate,0.78,0.27,0.32,0.0,0.22,0.0,42.48,58.45,0.829,48.45
gift-worker-044,employer_return,0.78,0.27,0.32,0.65,0.0,0.55,44.18,58.46,0.84,49.1
gift-worker-045,control,0.815,0.36,0.38,0.0,0.0,0.0,40.36,56.89,0.865,49.19
gift-worker-046,cash_gift,0.815,0.36,0.38,1.0,0.0,0.0,43.06,59.09,0.855,50.5
gift-worker-047,noncash_gift,0.815,0.36,0.38,0.85,0.0,0.25,44.03,59.88,0.87,52.07
gift-worker-048,piece_rate,0.815,0.36,0.38,0.0,0.22,0.0,43.0,60.37,0.865,52.19
gift-worker-049,employer_return,0.815,0.36,0.38,0.65,0.0,0.55,45.14,60.79,0.876,53.22
gift-worker-050,control,0.85,0.45,0.44,0.0,0.0,0.0,38.88,57.05,0.725,41.38
gift-worker-051,cash_gift,0.85,0.45,0.44,1.0,0.0,0.0,42.26,59.92,0.715,42.86
gift-worker-052,noncash_gift,0.85,0.45,0.44,0.85,0.0,0.25,43.12,60.66,0.73,44.3
gift-worker-053,piece_rate,0.85,0.45,0.44,0.0,0.22,0.0,41.52,60.61,0.725,43.96
gift-worker-054,employer_return,0.85,0.45,0.44,0.65,0.0,0.55,44.1,61.48,0.736,45.27
gift-worker-055,control,0.885,0.54,0.5,0.0,0.0,0.0,39.4,58.87,0.761,44.8
gift-worker-056,cash_gift,0.885,0.54,0.5,1.0,0.0,0.0,43.45,62.45,0.751,46.9
gift-worker-057,noncash_gift,0.885,0.54,0.5,0.85,0.0,0.25,44.22,63.13,0.766,48.36
gift-worker-058,piece_rate,0.885,0.54,0.5,0.0,0.22,0.0,42.04,62.53,0.761,47.58
gift-worker-059,employer_return,0.885,0.54,0.5,0.65,0.0,0.55,45.06,63.88,0.772,49.31
gift-worker-060,control,0.92,0.63,0.2,0.0,0.0,0.0,39.2,60.06,0.792,47.59
gift-worker-061,cash_gift,0.92,0.63,0.2,1.0,0.0,0.0,43.92,64.41,0.782,50.4
gift-worker-062,noncash_gift,0.92,0.63,0.2,0.85,0.0,0.25,44.59,65.02,0.797,51.85
gift-worker-063,piece_rate,0.92,0.63,0.2,0.0,0.22,0.0,41.84,63.81,0.792,50.57
gift-worker-064,employer_return,0.92,0.63,0.2,0.65,0.0,0.55,45.3,65.67,0.803,52.76
gift-worker-065,control,0.955,0.72,0.26,0.0,0.0,0.0,39.72,61.93,0.828,51.29
gift-worker-066,cash_gift,0.955,0.72,0.26,1.0,0.0,0.0,45.12,67.09,0.818,54.89
gift-worker-067,noncash_gift,0.955,0.72,0.26,0.85,0.0,0.25,45.69,67.63,0.833,56.34
gift-worker-068,piece_rate,0.955,0.72,0.26,0.0,0.22,0.0,42.36,65.77,0.828,54.47
gift-worker-069,employer_return,0.955,0.72,0.26,0.65,0.0,0.55,46.26,68.17,0.839,57.21
gift-worker-070,control,0.99,0.18,0.32,0.0,0.0,0.0,40.24,63.84,0.864,55.15
gift-worker-071,cash_gift,0.99,0.18,0.32,1.0,0.0,0.0,41.59,65.17,0.854,55.65
gift-worker-072,noncash_gift,0.99,0.18,0.32,0.85,0.0,0.25,42.76,66.33,0.869,57.63
gift-worker-073,piece_rate,0.99,0.18,0.32,0.0,0.22,0.0,42.88,67.77,0.864,58.54
gift-worker-074,employer_return,0.99,0.18,0.32,0.65,0.0,0.55,44.14,67.7,0.875,59.23
gift-worker-075,control,1.025,0.27,0.38,0.0,0.0,0.0,38.76,63.73,0.725,46.18
gift-worker-076,cash_gift,1.025,0.27,0.38,1.0,0.0,0.0,40.78,65.8,0.715,47.02
gift-worker-077,noncash_gift,1.025,0.27,0.38,0.85,0.0,0.25,41.86,66.9,0.73,48.81
gift-worker-078,piece_rate,1.025,0.27,0.38,0.0,0.22,0.0,41.4,67.75,0.725,49.09
gift-worker-079,employer_return,1.025,0.27,0.38,0.65,0.0,0.55,43.1,68.18,0.736,50.15
gift-worker-080,control,0.78,0.36,0.44,0.0,0.0,0.0,39.28,54.64,0.76,41.54
gift-worker-081,cash_gift,0.78,0.36,0.44,1.0,0.0,0.0,41.98,56.74,0.75,42.57
gift-worker-082,noncash_gift,0.78,0.36,0.44,0.85,0.0,0.25,42.95,57.5,0.765,44.0
gift-worker-083,piece_rate,0.78,0.36,0.44,0.0,0.22,0.0,41.92,58.02,0.76,44.11
gift-worker-084,employer_return,0.78,0.36,0.44,0.65,0.0,0.55,44.06,58.37,0.771,45.02
gift-worker-085,control,0.815,0.45,0.5,0.0,0.0,0.0,39.8,56.44,0.796,44.92
gift-worker-086,cash_gift,0.815,0.45,0.5,1.0,0.0,0.0,43.17,59.19,0.786,46.52
gift-worker-087,noncash_gift,0.815,0.45,0.5,0.85,0.0,0.25,44.04,59.9,0.801,47.98
gift-worker-088,piece_rate,0.815,0.45,0.5,0.0,0.22,0.0,42.44,59.91,0.796,47.69
gift-worker-089,employer_return,0.815,0.45,0.5,0.65,0.0,0.55,45.02,60.69,0.807,48.98
gift-worker-090,control,0.85,0.54,0.2,0.0,0.0,0.0,39.6,57.66,0.827,47.71
gift-worker-091,cash_gift,0.85,0.54,0.2,1.0,0.0,0.0,43.65,61.1,0.817,49.95
gift-worker-092,noncash_gift,0.85,0.54,0.2,0.85,0.0,0.25,44.42,61.75,0.832,51.4
gift-worker-093,piece_rate,0.85,0.54,0.2,0.0,0.22,0.0,42.24,61.22,0.827,50.66
gift-worker-094,employer_return,0.85,0.54,0.2,0.65,0.0,0.55,45.26,62.47,0.838,52.37
gift-worker-095,control,0.885,0.63,0.26,0.0,0.0,0.0,40.12,59.51,0.863,51.36
gift-worker-096,cash_gift,0.885,0.63,0.26,1.0,0.0,0.0,44.85,63.69,0.853,54.33
gift-worker-097,noncash_gift,0.885,0.63,0.26,0.85,0.0,0.25,45.51,64.28,0.868,55.8
gift-worker-098,piece_rate,0.885,0.63,0.26,0.0,0.22,0.0,42.76,63.16,0.863,54.52
gift-worker-099,employer_return,0.885,0.63,0.26,0.65,0.0,0.55,46.22,64.9,0.874,56.73
gift-worker-100,control,0.92,0.72,0.32,0.0,0.0,0.0,38.64,59.55,0.724,43.1
gift-worker-101,cash_gift,0.92,0.72,0.32,1.0,0.0,0.0,44.04,64.52,0.714,46.05
gift-worker-102,noncash_gift,0.92,0.72,0.32,0.85,0.0,0.25,44.61,65.04,0.729,47.4
gift-worker-103,piece_rate,0.92,0.72,0.32,0.0,0.22,0.0,41.28,63.3,0.724,45.82
gift-worker-104,employer_return,0.92,0.72,0.32,0.65,0.0,0.55,45.17,65.56,0.735,48.18
gift-worker-105,control,0.955,0.18,0.38,0.0,0.0,0.0,39.16,61.4,0.76,46.64
gift-worker-106,cash_gift,0.955,0.18,0.38,1.0,0.0,0.0,40.51,62.69,0.75,46.99
gift-worker-107,noncash_gift,0.955,0.18,0.38,0.85,0.0,0.25,41.68,63.81,0.765,48.78
gift-worker-108,piece_rate,0.955,0.18,0.38,0.0,0.22,0.0,41.8,65.24,0.76,49.55
gift-worker-109,employer_return,0.955,0.18,0.38,0.65,0.0,0.55,43.06,65.12,0.771,50.18
gift-worker-110,control,0.99,0.27,0.44,0.0,0.0,0.0,39.68,63.28,0.795,50.33
gift-worker-111,cash_gift,0.99,0.27,0.44,1.0,0.0,0.0,41.7,65.29,0.785,51.27
gift-worker-112,noncash_gift,0.99,0.27,0.44,0.85,0.0,0.25,42.78,66.35,0.8,53.1
gift-worker-113,piece_rate,0.99,0.27,0.44,0.0,0.22,0.0,42.32,67.22,0.795,53.46
gift-worker-114,employer_return,0.99,0.27,0.44,0.65,0.0,0.55,44.02,67.58,0.806,54.49
gift-worker-115,control,1.025,0.36,0.5,0.0,0.0,0.0,40.2,65.21,0.831,54.19
gift-worker-116,cash_gift,1.025,0.36,0.5,1.0,0.0,0.0,42.9,67.97,0.821,55.81
gift-worker-117,noncash_gift,1.025,0.36,0.5,0.85,0.0,0.25,43.87,68.97,0.836,57.66
gift-worker-118,piece_rate,1.025,0.36,0.5,0.0,0.22,0.0,42.84,69.23,0.831,57.53
gift-worker-119,employer_return,1.025,0.36,0.5,0.65,0.0,0.55,44.98,70.1,0.842,59.03
gift-worker-120,control,0.78,0.45,0.2,0.0,0.0,0.0,40.0,55.2,0.862,47.6
gift-worker-121,cash_gift,0.78,0.45,0.2,1.0,0.0,0.0,43.38,57.83,0.852,49.3
gift-worker-122,noncash_gift,0.78,0.45,0.2,0.85,0.0,0.25,44.24,58.51,0.867,50.75
gift-worker-123,piece_rate,0.78,0.45,0.2,0.0,0.22,0.0,42.64,58.58,0.862,50.52
gift-worker-124,employer_return,0.78,0.45,0.2,0.65,0.0,0.55,45.22,59.27,0.873,51.77
gift-worker-125,control,0.815,0.54,0.26,0.0,0.0,0.0,38.52,55.39,0.723,40.06
gift-worker-126,cash_gift,0.815,0.54,0.26,1.0,0.0,0.0,42.57,58.69,0.713,41.86
gift-worker-127,noncash_gift,0.815,0.54,0.26,0.85,0.0,0.25,43.34,59.32,0.728,43.19
gift-worker-128,piece_rate,0.815,0.54,0.26,0.0,0.22,0.0,41.16,58.87,0.723,42.57
gift-worker-129,employer_return,0.815,0.54,0.26,0.65,0.0,0.55,44.18,60.0,0.734,44.05
gift-worker-130,control,0.85,0.63,0.32,0.0,0.0,0.0,39.04,57.18,0.759,43.39
gift-worker-131,cash_gift,0.85,0.63,0.32,1.0,0.0,0.0,43.77,61.2,0.749,45.83
gift-worker-132,noncash_gift,0.85,0.63,0.32,0.85,0.0,0.25,44.43,61.77,0.764,47.18
gift-worker-133,piece_rate,0.85,0.63,0.32,0.0,0.22,0.0,41.68,60.75,0.759,46.1
gift-worker-134,employer_return,0.85,0.63,0.32,0.65,0.0,0.55,45.14,62.37,0.77,48.01
gift-worker-135,control,0.885,0.72,0.38,0.0,0.0,0.0,39.56,59.01,0.795,46.89
gift-worker-136,cash_gift,0.885,0.72,0.38,1.0,0.0,0.0,44.96,63.79,0.785,50.05
gift-worker-137,noncash_gift,0.885,0.72,0.38,0.85,0.0,0.25,45.52,64.29,0.8,51.4
gift-worker-138,piece_rate,0.885,0.72,0.38,0.0,0.22,0.0,42.2,62.67,0.795,49.79
gift-worker-139,employer_return,0.885,0.72,0.38,0.65,0.0,0.55,46.09,64.79,0.806,52.2
gift-worker-140,control,0.92,0.18,0.44,0.0,0.0,0.0,40.08,60.87,0.83,50.54
gift-worker-141,cash_gift,0.92,0.18,0.44,1.0,0.0,0.0,41.43,62.12,0.82,50.95
gift-worker-142,noncash_gift,0.92,0.18,0.44,0.85,0.0,0.25,42.6,63.19,0.835,52.78
gift-worker-143,piece_rate,0.92,0.18,0.44,0.0,0.22,0.0,42.72,64.62,0.83,53.65
gift-worker-144,employer_return,0.92,0.18,0.44,0.65,0.0,0.55,43.98,64.46,0.841,54.23
gift-worker-145,control,0.955,0.27,0.5,0.0,0.0,0.0,40.6,62.77,0.866,54.36
gift-worker-146,cash_gift,0.955,0.27,0.5,1.0,0.0,0.0,42.62,64.71,0.856,55.39
gift-worker-147,noncash_gift,0.955,0.27,0.5,0.85,0.0,0.25,43.7,65.73,0.871,57.25
gift-worker-148,piece_rate,0.955,0.27,0.5,0.0,0.22,0.0,43.24,66.61,0.866,57.69
gift-worker-149,employer_return,0.955,0.27,0.5,0.65,0.0,0.55,44.94,66.92,0.877,58.69
gift-worker-150,control,0.99,0.36,0.2,0.0,0.0,0.0,38.4,62.02,0.722,44.8
gift-worker-151,cash_gift,0.99,0.36,0.2,1.0,0.0,0.0,41.1,64.69,0.712,46.08
gift-worker-152,noncash_gift,0.99,0.36,0.2,0.85,0.0,0.25,42.07,65.65,0.727,47.75
gift-worker-153,piece_rate,0.99,0.36,0.2,0.0,0.22,0.0,41.04,65.95,0.722,47.64
gift-worker-154,employer_return,0.99,0.36,0.2,0.65,0.0,0.55,43.18,66.75,0.733,48.95
gift-worker-155,control,1.025,0.45,0.26,0.0,0.0,0.0,38.92,63.89,0.758,48.44
gift-worker-156,cash_gift,1.025,0.45,0.26,1.0,0.0,0.0,42.3,67.35,0.748,50.39
gift-worker-157,noncash_gift,1.025,0.45,0.26,0.85,0.0,0.25,43.16,68.24,0.763,52.08
gift-worker-158,piece_rate,1.025,0.45,0.26,0.0,0.22,0.0,41.56,67.92,0.758,51.49
gift-worker-159,employer_return,1.025,0.45,0.26,0.65,0.0,0.55,44.14,69.24,0.769,53.26
gift-worker-160,control,0.78,0.54,0.32,0.0,0.0,0.0,39.44,54.76,0.794,43.47
gift-worker-161,cash_gift,0.78,0.54,0.32,1.0,0.0,0.0,43.49,57.92,0.784,45.4
gift-worker-162,noncash_gift,0.78,0.54,0.32,0.85,0.0,0.25,44.26,58.52,0.799,46.75
gift-worker-163,piece_rate,0.78,0.54,0.32,0.0,0.22,0.0,42.08,58.14,0.794,46.16
gift-worker-164,employer_return,0.78,0.54,0.32,0.65,0.0,0.55,45.1,59.18,0.805,47.63
gift-worker-165,control,0.815,0.63,0.38,0.0,0.0,0.0,39.96,56.57,0.83,46.93
gift-worker-166,cash_gift,0.815,0.63,0.38,1.0,0.0,0.0,44.69,60.42,0.82,49.52
gift-worker-167,noncash_gift,0.815,0.63,0.38,0.85,0.0,0.25,45.35,60.96,0.835,50.88
gift-worker-168,piece_rate,0.815,0.63,0.38,0.0,0.22,0.0,42.6,60.04,0.83,49.81
gift-worker-169,employer_return,0.815,0.63,0.38,0.65,0.0,0.55,46.06,61.54,0.841,51.72
gift-worker-170,control,0.85,0.72,0.44,0.0,0.0,0.0,40.48,58.41,0.865,50.54
gift-worker-171,cash_gift,0.85,0.72,0.44,1.0,0.0,0.0,45.88,63.0,0.855,53.88
gift-worker-172,noncash_gift,0.85,0.72,0.44,0.85,0.0,0.25,46.45,63.48,0.87,55.24
gift-worker-173,piece_rate,0.85,0.72,0.44,0.0,0.22,0.0,43.12,61.97,0.865,53.62
gift-worker-174,employer_return,0.85,0.72,0.44,0.65,0.0,0.55,47.02,63.96,0.876,56.05
gift-worker-175,control,0.885,0.18,0.5,0.0,0.0,0.0,39.0,58.52,0.726,42.48
gift-worker-176,cash_gift,0.885,0.18,0.5,1.0,0.0,0.0,40.35,59.71,0.716,42.75
gift-worker-177,noncash_gift,0.885,0.18,0.5,0.85,0.0,0.25,41.52,60.75,0.731,44.41
gift-worker-178,piece_rate,0.885,0.18,0.5,0.0,0.22,0.0,41.64,62.17,0.726,45.14
gift-worker-179,employer_return,0.885,0.18,0.5,0.65,0.0,0.55,42.9,61.97,0.737,45.67
gift-worker-180,control,0.92,0.27,0.2,0.0,0.0,0.0,38.8,59.7,0.757,45.21
gift-worker-181,cash_gift,0.92,0.27,0.2,1.0,0.0,0.0,40.82,61.56,0.747,46.01
gift-worker-182,noncash_gift,0.92,0.27,0.2,0.85,0.0,0.25,41.9,62.54,0.762,47.68
gift-worker-183,piece_rate,0.92,0.27,0.2,0.0,0.22,0.0,41.44,63.44,0.757,48.05
gift-worker-184,employer_return,0.92,0.27,0.2,0.65,0.0,0.55,43.14,63.69,0.768,48.94
gift-worker-185,control,0.955,0.36,0.26,0.0,0.0,0.0,39.32,61.55,0.793,48.82
gift-worker-186,cash_gift,0.955,0.36,0.26,1.0,0.0,0.0,42.02,64.13,0.783,50.22
gift-worker-187,noncash_gift,0.955,0.36,0.26,0.85,0.0,0.25,42.99,65.06,0.798,51.92
gift-worker-188,piece_rate,0.955,0.36,0.26,0.0,0.22,0.0,41.96,65.39,0.793,51.86
gift-worker-189,employer_return,0.955,0.36,0.26,0.65,0.0,0.55,44.1,66.12,0.804,53.16
gift-worker-190,control,0.99,0.45,0.32,0.0,0.0,0.0,39.84,63.44,0.829,52.58
gift-worker-191,cash_gift,0.99,0.45,0.32,1.0,0.0,0.0,43.22,66.78,0.819,54.68
gift-worker-192,noncash_gift,0.99,0.45,0.32,0.85,0.0,0.25,44.08,67.64,0.834,56.4
gift-worker-193,piece_rate,0.99,0.45,0.32,0.0,0.22,0.0,42.48,67.38,0.829,55.84
gift-worker-194,employer_return,0.99,0.45,0.32,0.65,0.0,0.55,45.06,68.61,0.84,57.62
gift-worker-195,control,1.025,0.54,0.38,0.0,0.0,0.0,40.36,65.37,0.865,56.52
gift-worker-196,cash_gift,1.025,0.54,0.38,1.0,0.0,0.0,44.41,69.52,0.855,59.41
gift-worker-197,noncash_gift,1.025,0.54,0.38,0.85,0.0,0.25,45.18,70.31,0.87,61.14
gift-worker-198,piece_rate,1.025,0.54,0.38,0.0,0.22,0.0,43.0,69.39,0.865,60.0
gift-worker-199,employer_return,1.025,0.54,0.38,0.65,0.0,0.55,46.02,71.17,0.876,62.31
gift-worker-200,control,0.78,0.63,0.44,0.0,0.0,0.0,38.88,54.33,0.725,39.4
gift-worker-201,cash_gift,0.78,0.63,0.44,1.0,0.0,0.0,43.61,58.01,0.715,41.49
gift-worker-202,noncash_gift,0.78,0.63,0.44,0.85,0.0,0.25,44.27,58.53,0.73,42.74
gift-worker-203,piece_rate,0.78,0.63,0.44,0.0,0.22,0.0,41.52,57.71,0.725,41.85
gift-worker-204,employer_return,0.78,0.63,0.44,0.65,0.0,0.55,44.98,59.08,0.736,43.5
gift-worker-205,control,0.815,0.72,0.5,0.0,0.0,0.0,39.4,56.11,0.761,42.7
gift-worker-206,cash_gift,0.815,0.72,0.5,1.0,0.0,0.0,44.8,60.51,0.751,45.44
gift-worker-207,noncash_gift,0.815,0.72,0.5,0.85,0.0,0.25,45.37,60.97,0.766,46.7
gift-worker-208,piece_rate,0.815,0.72,0.5,0.0,0.22,0.0,42.04,59.58,0.761,45.34
gift-worker-209,employer_return,0.815,0.72,0.5,0.65,0.0,0.55,45.93,61.44,0.772,47.43
gift-worker-210,control,0.85,0.18,0.2,0.0,0.0,0.0,39.2,57.32,0.792,45.42
gift-worker-211,cash_gift,0.85,0.18,0.2,1.0,0.0,0.0,40.55,58.47,0.782,45.74
gift-worker-212,noncash_gift,0.85,0.18,0.2,0.85,0.0,0.25,41.72,59.46,0.797,47.42
gift-worker-213,piece_rate,0.85,0.18,0.2,0.0,0.22,0.0,41.84,60.88,0.792,48.24
gift-worker-214,employer_return,0.85,0.18,0.2,0.65,0.0,0.55,43.1,60.64,0.803,48.72
gift-worker-215,control,0.885,0.27,0.26,0.0,0.0,0.0,39.72,59.15,0.828,48.99
gift-worker-216,cash_gift,0.885,0.27,0.26,1.0,0.0,0.0,41.75,60.94,0.818,49.86
gift-worker-217,noncash_gift,0.885,0.27,0.26,0.85,0.0,0.25,42.82,61.89,0.833,51.56
gift-worker-218,piece_rate,0.885,0.27,0.26,0.0,0.22,0.0,42.36,62.81,0.828,52.01
gift-worker-219,employer_return,0.885,0.27,0.26,0.65,0.0,0.55,44.06,62.99,0.839,52.86
gift-worker-220,control,0.92,0.36,0.32,0.0,0.0,0.0,40.24,61.02,0.864,52.71
gift-worker-221,cash_gift,0.92,0.36,0.32,1.0,0.0,0.0,42.94,63.5,0.854,54.22
gift-worker-222,noncash_gift,0.92,0.36,0.32,0.85,0.0,0.25,43.91,64.4,0.869,55.95
gift-worker-223,piece_rate,0.92,0.36,0.32,0.0,0.22,0.0,42.88,64.77,0.864,55.95
gift-worker-224,employer_return,0.92,0.36,0.32,0.65,0.0,0.55,45.02,65.42,0.875,57.23
gift-worker-225,control,0.955,0.45,0.38,0.0,0.0,0.0,38.76,61.02,0.725,44.21
gift-worker-226,cash_gift,0.955,0.45,0.38,1.0,0.0,0.0,42.13,64.24,0.715,45.9
gift-worker-227,noncash_gift,0.955,0.45,0.38,0.85,0.0,0.25,43.0,65.07,0.73,47.47
gift-worker-228,piece_rate,0.955,0.45,0.38,0.0,0.22,0.0,41.4,64.86,0.725,46.99
gift-worker-229,employer_return,0.955,0.45,0.38,0.65,0.0,0.55,43.98,66.0,0.736,48.55
gift-worker-230,control,0.99,0.54,0.44,0.0,0.0,0.0,39.28,62.89,0.76,47.81
gift-worker-231,cash_gift,0.99,0.54,0.44,1.0,0.0,0.0,43.33,66.9,0.75,50.19
gift-worker-232,noncash_gift,0.99,0.54,0.44,0.85,0.0,0.25,44.1,67.66,0.765,51.78
gift-worker-233,piece_rate,0.99,0.54,0.44,0.0,0.22,0.0,41.92,66.82,0.76,50.8
gift-worker-234,employer_return,0.99,0.54,0.44,0.65,0.0,0.55,44.94,68.49,0.771,52.82
gift-worker-235,control,1.025,0.63,0.5,0.0,0.0,0.0,39.8,64.8,0.796,51.58
gift-worker-236,cash_gift,1.025,0.63,0.5,1.0,0.0,0.0,44.52,69.64,0.786,54.74
gift-worker-237,noncash_gift,1.025,0.63,0.5,0.85,0.0,0.25,45.19,70.32,0.801,56.33
gift-worker-238,piece_rate,1.025,0.63,0.5,0.0,0.22,0.0,42.44,68.82,0.796,54.78
gift-worker-239,employer_return,1.025,0.63,0.5,0.65,0.0,0.55,45.9,71.04,0.807,57.33
gift-worker-240,control,0.78,0.72,0.2,0.0,0.0,0.0,39.6,54.89,0.827,45.41
gift-worker-241,cash_gift,0.78,0.72,0.2,1.0,0.0,0.0,45.0,59.1,0.817,48.31
gift-worker-242,noncash_gift,0.78,0.72,0.2,0.85,0.0,0.25,45.57,59.54,0.832,49.56
gift-worker-243,piece_rate,0.78,0.72,0.2,0.0,0.22,0.0,42.24,58.27,0.827,48.21
gift-worker-244,employer_return,0.78,0.72,0.2,0.65,0.0,0.55,46.13,59.99,0.838,50.29
gift-worker-245,control,0.815,0.18,0.26,0.0,0.0,0.0,40.12,56.7,0.863,48.94
gift-worker-246,cash_gift,0.815,0.18,0.26,1.0,0.0,0.0,41.47,57.8,0.853,49.31
gift-worker-247,noncash_gift,0.815,0.18,0.26,0.85,0.0,0.25,42.64,58.75,0.868,51.01
gift-worker-248,piece_rate,0.815,0.18,0.26,0.0,0.22,0.0,42.76,60.17,0.863,51.93
gift-worker-249,employer_return,0.815,0.18,0.26,0.65,0.0,0.55,44.02,59.88,0.874,52.34
gift-worker-250,control,0.85,0.27,0.32,0.0,0.0,0.0,38.64,56.84,0.724,41.15
gift-worker-251,cash_gift,0.85,0.27,0.32,1.0,0.0,0.0,40.66,58.57,0.714,41.81
gift-worker-252,noncash_gift,0.85,0.27,0.32,0.85,0.0,0.25,41.74,59.48,0.729,43.35
gift-worker-253,piece_rate,0.85,0.27,0.32,0.0,0.22,0.0,41.28,60.41,0.724,43.73
gift-worker-254,employer_return,0.85,0.27,0.32,0.65,0.0,0.55,42.98,60.53,0.735,44.48
gift-worker-255,control,0.885,0.36,0.38,0.0,0.0,0.0,39.16,58.66,0.76,44.55
gift-worker-256,cash_gift,0.885,0.36,0.38,1.0,0.0,0.0,41.86,61.05,0.75,45.76
gift-worker-257,noncash_gift,0.885,0.36,0.38,0.85,0.0,0.25,42.83,61.9,0.765,47.33
gift-worker-258,piece_rate,0.885,0.36,0.38,0.0,0.22,0.0,41.8,62.31,0.76,47.33
gift-worker-259,employer_return,0.885,0.36,0.38,0.65,0.0,0.55,43.94,62.89,0.771,48.46
