worker_id,arm,information,bargaining_support,current_wage,true_outside_wage,perceived_outside_wage,belief_gap,search_friction_index,market_power_index,applications_next_month,bargaining_attempt,moved_job,wage_growth_next_quarter,segmentation_index
belief-worker-0046,bargaining_prompt,0,1,22.62,23.8,21.29,2.51,0.65,0.34,1.33,0,0,0.006,0.522
belief-worker-0047,info_bargaining,1,1,22.87,24.06,23.32,0.74,0.65,0.34,3.31,0,0,0.016,0.444
belief-worker-0048,control,0,0,22.54,23.85,20.45,3.4,0.74,0.42,0.38,0,0,0.004,0.631
belief-worker-0049,outside_option_info,1,0,22.79,24.11,22.67,1.44,0.74,0.42,2.28,0,0,0.014,0.543
belief-worker-0050,bargaining_prompt,0,1,23.04,24.38,21.53,2.85,0.74,0.42,1.28,0,0,0.004,0.604
belief-worker-0051,info_bargaining,1,1,23.29,24.64,23.8,0.84,0.74,0.42,3.27,1,0,0.059,0.516
belief-worker-0052,control,0,0,22.96,24.43,20.61,3.82,0.83,0.5,0.33,0,0,0.003,0.715
belief-worker-0053,outside_option_info,1,0,23.21,24.7,23.07,1.62,0.83,0.5,2.23,0,0,0.013,0.618
belief-worker-0054,bargaining_prompt,0,1,23.46,24.96,21.76,3.2,0.83,0.5,1.23,0,0,0.003,0.685
belief-worker-0055,info_bargaining,1,1,23.71,25.23,24.28,0.95,0.83,0.5,3.23,0,0,0.013,0.588
belief-worker-0056,control,0,0,23.38,25.02,22.62,2.4,0.2,0.58,1.07,0,0,0.002,0.396
belief-worker-0057,outside_option_info,1,0,23.63,25.28,24.27,1.02,0.2,0.58,3.08,0,1,0.097,0.336
belief-worker-0058,bargaining_prompt,0,1,23.88,25.55,23.54,2.01,0.2,0.58,1.97,0,0,0.002,0.377
belief-worker-0059,info_bargaining,1,1,24.13,25.82,25.22,0.59,0.2,0.58,4.07,1,0,0.057,0.318
belief-worker-0060,control,0,0,23.8,25.61,22.8,2.81,0.29,0.66,0.62,0,0,0.0,0.48
belief-worker-0061,outside_option_info,1,0,24.05,25.88,24.68,1.19,0.29,0.66,2.63,0,0,0.01,0.411
belief-worker-0062,bargaining_prompt,0,1,24.3,26.15,23.79,2.35,0.29,0.66,1.52,0,0,0.0,0.458
belief-worker-0063,info_bargaining,1,1,24.55,26.42,25.72,0.7,0.29,0.66,3.63,0,0,0.01,0.39
belief-worker-0064,control,0,0,24.22,26.21,23.92,2.29,0.38,0.18,0.79,0,0,0.009,0.328
belief-worker-0065,outside_option_info,1,0,24.47,26.48,25.51,0.97,0.38,0.18,2.88,0,0,0.019,0.274
belief-worker-0066,bargaining_prompt,0,1,24.72,26.75,24.83,1.91,0.38,0.18,1.71,0,0,0.009,0.311
belief-worker-0067,info_bargaining,1,1,24.97,27.02,26.45,0.57,0.38,0.18,3.86,1,0,0.064,0.257
belief-worker-0068,control,0,0,24.64,26.81,24.1,2.71,0.47,0.26,0.74,0,0,0.007,0.412
belief-worker-0069,outside_option_info,1,0,24.89,27.08,25.93,1.15,0.47,0.26,2.83,0,0,0.017,0.349
belief-worker-0070,bargaining_prompt,0,1,25.14,27.35,25.09,2.27,0.47,0.26,1.64,1,0,0.052,0.393
belief-worker-0071,info_bargaining,1,1,25.39,27.62,26.95,0.67,0.47,0.26,3.82,0,0,0.017,0.329
belief-worker-0072,control,0,0,25.06,26.06,22.92,3.14,0.56,0.34,0.69,0,0,0.006,0.496
belief-worker-0073,outside_option_info,1,0,25.31,26.32,24.99,1.33,0.56,0.34,2.59,0,0,0.016,0.424
belief-worker-0074,bargaining_prompt,0,1,25.56,26.58,23.95,2.63,0.56,0.34,1.59,0,0,0.006,0.474
belief-worker-0075,info_bargaining,1,1,25.81,26.84,26.07,0.78,0.56,0.34,3.53,0,0,0.016,0.401
belief-worker-0076,control,0,0,25.48,26.65,23.06,3.59,0.65,0.42,0.64,0,0,0.004,0.58
belief-worker-0077,outside_option_info,1,0,25.73,26.91,25.39,1.52,0.65,0.42,2.54,0,0,0.014,0.499
belief-worker-0078,bargaining_prompt,0,1,25.98,27.18,24.17,3.0,0.65,0.42,1.54,1,0,0.049,0.555
belief-worker-0079,info_bargaining,1,1,26.23,27.44,26.55,0.89,0.65,0.42,3.49,0,0,0.014,0.473
belief-worker-0080,control,0,0,25.9,27.25,23.2,4.05,0.74,0.5,0.19,0,0,0.003,0.664
belief-worker-0081,outside_option_info,1,0,26.15,27.51,25.79,1.72,0.74,0.5,2.09,0,0,0.013,0.574
belief-worker-0082,bargaining_prompt,0,1,26.4,27.77,24.39,3.39,0.74,0.5,1.09,0,0,0.003,0.636
belief-worker-0083,info_bargaining,1,1,26.65,28.04,27.04,1.0,0.74,0.5,3.06,0,0,0.013,0.546
belief-worker-0084,control,0,0,26.32,27.85,23.32,4.52,0.83,0.58,0.13,0,0,0.002,0.748
belief-worker-0085,outside_option_info,1,0,26.57,28.11,26.19,1.92,0.83,0.58,2.03,0,0,0.012,0.649
belief-worker-0086,bargaining_prompt,0,1,26.82,28.38,24.6,3.78,0.83,0.58,1.03,1,0,0.047,0.717
belief-worker-0087,info_bargaining,1,1,27.07,28.64,27.52,1.12,0.83,0.58,3.02,0,0,0.012,0.618
belief-worker-0088,control,0,0,26.74,28.45,25.56,2.89,0.2,0.66,0.88,0,0,0.0,0.429
belief-worker-0089,outside_option_info,1,0,26.99,28.72,27.49,1.23,0.2,0.66,2.87,0,0,0.01,0.366
belief-worker-0090,bargaining_prompt,0,1,27.24,28.98,26.57,2.42,0.2,0.66,1.78,0,0,0.0,0.41
belief-worker-0091,info_bargaining,1,1,27.49,29.25,28.54,0.71,0.2,0.66,3.86,0,0,0.01,0.347
belief-worker-0092,control,0,0,27.16,29.06,26.77,2.3,0.29,0.18,1.05,0,0,0.009,0.278
belief-worker-0093,outside_option_info,1,0,27.41,29.33,28.36,0.97,0.29,0.18,3.12,0,0,0.019,0.229
belief-worker-0094,bargaining_prompt,0,1,27.66,29.6,27.68,1.92,0.29,0.18,1.95,1,0,0.054,0.263
belief-worker-0095,info_bargaining,1,1,27.91,29.86,29.3,0.57,0.29,0.18,4.1,0,1,0.104,0.214
belief-worker-0096,control,0,0,27.58,29.68,26.92,2.76,0.38,0.26,1.0,0,0,0.007,0.362
belief-worker-0097,outside_option_info,1,0,27.83,29.95,28.78,1.17,0.38,0.26,3.07,1,0,0.062,0.304
belief-worker-0098,bargaining_prompt,0,1,28.08,30.21,27.91,2.3,0.38,0.26,1.9,0,0,0.007,0.344
belief-worker-0099,info_bargaining,1,1,28.33,30.48,29.8,0.68,0.38,0.26,4.06,0,0,0.017,0.286
belief-worker-0100,control,0,0,28.0,30.3,27.06,3.23,0.47,0.34,0.55,0,0,0.006,0.446
belief-worker-0101,outside_option_info,1,0,28.25,30.57,29.2,1.37,0.47,0.34,2.62,0,0,0.016,0.379
belief-worker-0102,bargaining_prompt,0,1,28.5,30.84,28.14,2.7,0.47,0.34,1.45,0,0,0.006,0.425
belief-worker-0103,info_bargaining,1,1,28.75,31.11,30.31,0.8,0.47,0.34,3.63,0,1,0.101,0.358
belief-worker-0104,control,0,0,28.42,30.92,27.2,3.72,0.56,0.42,0.5,0,0,0.004,0.53
belief-worker-0105,outside_option_info,1,0,28.67,31.19,29.62,1.58,0.56,0.42,2.57,1,0,0.059,0.454
belief-worker-0106,bargaining_prompt,0,1,28.92,31.46,28.36,3.11,0.56,0.42,1.4,0,0,0.004,0.506
belief-worker-0107,info_bargaining,1,1,29.17,31.74,30.82,0.92,0.56,0.42,3.59,0,0,0.014,0.43
belief-worker-0108,control,0,0,28.84,29.99,25.77,4.23,0.65,0.5,0.44,0,0,0.003,0.614
belief-worker-0109,outside_option_info,1,0,29.09,30.25,28.46,1.79,0.65,0.5,2.34,0,0,0.013,0.529
belief-worker-0110,bargaining_prompt,0,1,29.34,30.51,26.99,3.52,0.65,0.5,1.35,0,0,0.003,0.588
belief-worker-0111,info_bargaining,1,1,29.59,30.77,29.73,1.04,0.65,0.5,3.27,0,0,0.013,0.503
belief-worker-0112,control,0,0,29.26,30.61,25.87,4.74,0.74,0.58,0.39,0,0,0.002,0.698
belief-worker-0113,outside_option_info,1,0,29.51,30.87,28.86,2.01,0.74,0.58,2.29,1,0,0.057,0.604
belief-worker-0114,bargaining_prompt,0,1,29.76,31.13,27.18,3.95,0.74,0.58,1.29,0,0,0.002,0.669
belief-worker-0115,info_bargaining,1,1,30.01,31.39,30.22,1.17,0.74,0.58,3.23,0,0,0.012,0.575
belief-worker-0116,control,0,0,29.68,31.22,25.96,5.27,0.83,0.66,0.34,0,0,0.0,0.782
belief-worker-0117,outside_option_info,1,0,29.93,31.49,29.26,2.23,0.83,0.66,2.24,0,0,0.01,0.679
belief-worker-0118,bargaining_prompt,0,1,30.18,31.75,27.36,4.39,0.83,0.66,1.24,0,0,0.0,0.75
belief-worker-0119,info_bargaining,1,1,30.43,32.01,30.72,1.3,0.83,0.66,3.19,0,0,0.01,0.647
belief-worker-0120,control,0,0,30.1,31.85,29.6,2.25,0.2,0.18,0.91,0,0,0.009,0.228
belief-worker-0121,outside_option_info,1,0,30.35,32.11,31.16,0.95,0.2,0.18,2.95,1,0,0.064,0.184
belief-worker-0122,bargaining_prompt,0,1,30.6,32.37,30.5,1.87,0.2,0.18,1.81,0,1,0.094,0.214
belief-worker-0123,info_bargaining,1,1,30.85,32.64,32.09,0.55,0.2,0.18,3.93,0,0,0.019,0.171
belief-worker-0124,control,0,0,30.52,32.47,29.72,2.75,0.29,0.26,0.86,0,0,0.007,0.312
belief-worker-0125,outside_option_info,1,0,30.77,32.74,31.57,1.16,0.29,0.26,2.9,0,0,0.017,0.259
belief-worker-0126,bargaining_prompt,0,1,31.02,33.01,30.71,2.29,0.29,0.26,1.76,0,0,0.007,0.295
belief-worker-0127,info_bargaining,1,1,31.27,33.27,32.6,0.68,0.29,0.26,3.9,1,0,0.062,0.243
belief-worker-0128,control,0,0,30.94,33.11,29.84,3.27,0.38,0.34,0.81,0,0,0.006,0.396
belief-worker-0129,outside_option_info,1,0,31.19,33.37,31.99,1.38,0.38,0.34,2.85,0,0,0.016,0.334
belief-worker-0130,bargaining_prompt,0,1,31.44,33.64,30.92,2.72,0.38,0.34,1.71,0,1,0.091,0.377
belief-worker-0131,info_bargaining,1,1,31.69,33.91,33.11,0.8,0.38,0.34,3.86,0,0,0.016,0.315
belief-worker-0132,control,0,0,31.36,33.74,29.95,3.8,0.47,0.42,0.75,0,0,0.004,0.48
belief-worker-0133,outside_option_info,1,0,31.61,34.01,32.4,1.61,0.47,0.42,2.8,0,0,0.014,0.409
belief-worker-0134,bargaining_prompt,0,1,31.86,34.28,31.12,3.16,0.47,0.42,1.66,0,0,0.004,0.458
belief-worker-0135,info_bargaining,1,1,32.11,34.55,33.62,0.93,0.47,0.42,3.83,1,0,0.059,0.388
belief-worker-0136,control,0,0,31.78,34.39,30.04,4.34,0.56,0.5,0.7,0,0,0.003,0.564
belief-worker-0137,outside_option_info,1,0,32.03,34.66,32.82,1.84,0.56,0.5,2.75,0,0,0.013,0.484
belief-worker-0138,bargaining_prompt,0,1,32.28,34.93,31.31,3.62,0.56,0.5,1.6,0,0,0.003,0.539
belief-worker-0139,info_bargaining,1,1,32.53,35.2,34.13,1.07,0.56,0.5,3.79,0,0,0.013,0.46
belief-worker-0140,control,0,0,32.2,35.03,30.14,4.9,0.65,0.58,0.25,1,0,0.047,0.648
belief-worker-0141,outside_option_info,1,0,32.45,35.31,33.23,2.07,0.65,0.58,2.29,0,0,0.012,0.559
belief-worker-0142,bargaining_prompt,0,1,32.7,35.58,31.5,4.08,0.65,0.58,1.15,0,0,0.002,0.62
belief-worker-0143,info_bargaining,1,1,32.95,35.85,34.65,1.2,0.65,0.58,3.36,1,0,0.057,0.532
belief-worker-0144,control,0,0,17.5,18.2,15.27,2.93,0.74,0.66,0.2,0,0,0.0,0.732
belief-worker-0145,outside_option_info,1,0,17.75,18.46,17.21,1.25,0.74,0.66,2.1,0,0,0.01,0.634
belief-worker-0146,bargaining_prompt,0,1,18.0,18.72,16.25,2.47,0.74,0.66,1.1,0,0,0.0,0.701
belief-worker-0147,info_bargaining,1,1,18.25,18.98,18.25,0.73,0.74,0.66,3.0,0,0,0.01,0.604
belief-worker-0148,control,0,0,17.92,18.74,16.17,2.58,0.83,0.18,0.37,0,0,0.009,0.58
belief-worker-0149,outside_option_info,1,0,18.17,19.01,17.91,1.1,0.83,0.18,2.27,0,0,0.019,0.497
belief-worker-0150,bargaining_prompt,0,1,18.42,19.27,17.09,2.17,0.83,0.18,1.27,0,0,0.009,0.554
belief-worker-0151,info_bargaining,1,1,18.67,19.53,18.88,0.64,0.83,0.18,3.21,1,0,0.064,0.471
belief-worker-0152,control,0,0,18.34,19.29,17.82,1.47,0.2,0.26,1.12,0,0,0.007,0.261
belief-worker-0153,outside_option_info,1,0,18.59,19.56,18.93,0.63,0.2,0.26,3.08,0,0,0.017,0.215
belief-worker-0154,bargaining_prompt,0,1,18.84,19.82,18.58,1.24,0.2,0.26,2.02,0,0,0.007,0.247
belief-worker-0155,info_bargaining,1,1,19.09,20.08,19.72,0.37,0.2,0.26,4.03,0,0,0.017,0.2
belief-worker-0156,control,0,0,18.76,19.85,18.05,1.8,0.29,0.34,1.06,0,0,0.006,0.345
belief-worker-0157,outside_option_info,1,0,19.01,20.11,19.35,0.76,0.29,0.34,3.03,0,1,0.101,0.29
belief-worker-0158,bargaining_prompt,0,1,19.26,20.38,18.87,1.51,0.29,0.34,1.97,0,0,0.006,0.328
belief-worker-0159,info_bargaining,1,1,19.51,20.64,20.19,0.45,0.29,0.34,3.99,1,0,0.061,0.272
belief-worker-0160,control,0,0,19.18,20.41,18.27,2.13,0.38,0.42,0.61,0,0,0.004,0.429
belief-worker-0161,outside_option_info,1,0,19.43,20.67,19.77,0.91,0.38,0.42,2.57,0,0,0.014,0.365
belief-worker-0162,bargaining_prompt,0,1,19.68,20.94,19.15,1.79,0.38,0.42,1.51,0,0,0.004,0.409
belief-worker-0163,info_bargaining,1,1,19.93,21.21,20.67,0.53,0.38,0.42,3.55,0,0,0.014,0.345
belief-worker-0164,control,0,0,19.6,20.97,18.49,2.48,0.47,0.5,0.56,0,0,0.003,0.513
belief-worker-0165,outside_option_info,1,0,19.85,21.24,20.18,1.06,0.47,0.5,2.52,0,0,0.013,0.44
belief-worker-0166,bargaining_prompt,0,1,20.1,21.51,19.42,2.09,0.47,0.5,1.46,0,0,0.003,0.49
belief-worker-0167,info_bargaining,1,1,20.35,21.77,21.16,0.62,0.47,0.5,3.51,1,0,0.058,0.417
belief-worker-0168,control,0,0,20.02,21.54,18.69,2.85,0.56,0.58,0.51,0,0,0.002,0.597
belief-worker-0169,outside_option_info,1,0,20.27,21.81,20.6,1.21,0.56,0.58,2.47,0,0,0.012,0.515
belief-worker-0170,bargaining_prompt,0,1,20.52,22.08,19.69,2.39,0.56,0.58,1.41,1,0,0.047,0.572
belief-worker-0171,info_bargaining,1,1,20.77,22.35,21.64,0.71,0.56,0.58,3.47,0,0,0.012,0.489
belief-worker-0172,control,0,0,20.44,22.12,18.89,3.22,0.65,0.66,0.46,0,0,0.0,0.681
belief-worker-0173,outside_option_info,1,0,20.69,22.39,21.02,1.37,0.65,0.66,2.42,0,0,0.01,0.59
belief-worker-0174,bargaining_prompt,0,1,20.94,22.66,19.95,2.71,0.65,0.66,1.36,0,0,0.0,0.653
belief-worker-0175,info_bargaining,1,1,21.19,22.93,22.13,0.8,0.65,0.66,3.43,0,0,0.01,0.561
belief-worker-0176,control,0,0,20.86,22.7,19.9,2.8,0.74,0.18,0.63,0,0,0.009,0.53
belief-worker-0177,outside_option_info,1,0,21.11,22.97,21.78,1.19,0.74,0.18,2.65,0,0,0.019,0.452
belief-worker-0178,bargaining_prompt,0,1,21.36,23.24,20.89,2.35,0.74,0.18,1.53,1,0,0.054,0.506
belief-worker-0179,info_bargaining,1,1,21.61,23.51,22.82,0.69,0.74,0.18,3.65,0,0,0.019,0.428
belief-worker-0180,control,0,0,21.28,22.13,18.95,3.18,0.83,0.26,0.18,0,0,0.007,0.614
belief-worker-0181,outside_option_info,1,0,21.53,22.39,21.04,1.35,0.83,0.26,2.08,0,0,0.017,0.527
belief-worker-0182,bargaining_prompt,0,1,21.78,22.65,19.98,2.67,0.83,0.26,1.08,0,0,0.007,0.587
belief-worker-0183,info_bargaining,1,1,22.03,22.91,22.12,0.79,0.83,0.26,3.0,0,0,0.017,0.5
belief-worker-0184,control,0,0,21.7,22.7,20.84,1.86,0.2,0.34,0.92,0,0,0.006,0.295
belief-worker-0185,outside_option_info,1,0,21.95,22.96,22.17,0.79,0.2,0.34,2.86,0,0,0.016,0.245
belief-worker-0186,bargaining_prompt,0,1,22.2,23.22,21.66,1.56,0.2,0.34,1.82,1,0,0.051,0.279
belief-worker-0187,info_bargaining,1,1,22.45,23.48,23.02,0.46,0.2,0.34,3.83,0,1,0.101,0.23
belief-worker-0188,control,0,0,22.12,23.27,21.03,2.24,0.29,0.42,0.87,0,0,0.004,0.379
belief-worker-0189,outside_option_info,1,0,22.37,23.53,22.58,0.95,0.29,0.42,2.81,0,0,0.014,0.32
belief-worker-0190,bargaining_prompt,0,1,22.62,23.8,21.92,1.88,0.29,0.42,1.77,0,0,0.004,0.361
belief-worker-0191,info_bargaining,1,1,22.87,24.06,23.5,0.56,0.29,0.42,3.79,0,0,0.014,0.302
belief-worker-0192,control,0,0,22.54,23.85,21.21,2.63,0.38,0.5,0.82,0,0,0.003,0.463
belief-worker-0193,outside_option_info,1,0,22.79,24.11,22.99,1.12,0.38,0.5,2.76,0,0,0.013,0.395
belief-worker-0194,bargaining_prompt,0,1,23.04,24.38,22.17,2.21,0.38,0.5,1.72,1,0,0.048,0.442
belief-worker-0195,info_bargaining,1,1,23.29,24.64,23.99,0.65,0.38,0.5,3.75,0,1,0.098,0.374
belief-worker-0196,control,0,0,22.96,24.43,21.39,3.04,0.47,0.58,0.77,0,0,0.002,0.547
belief-worker-0197,outside_option_info,1,0,23.21,24.7,23.41,1.29,0.47,0.58,2.71,0,0,0.012,0.47
belief-worker-0198,bargaining_prompt,0,1,23.46,24.96,22.42,2.55,0.47,0.58,1.67,0,0,0.002,0.523
belief-worker-0199,info_bargaining,1,1,23.71,25.23,24.47,0.75,0.47,0.58,3.71,0,0,0.012,0.446
belief-worker-0200,control,0,0,23.38,25.02,21.56,3.46,0.56,0.66,0.32,0,0,0.0,0.631
belief-worker-0201,outside_option_info,1,0,23.63,25.28,23.82,1.47,0.56,0.66,2.25,0,0,0.01,0.545
belief-worker-0202,bargaining_prompt,0,1,23.88,25.55,22.66,2.89,0.56,0.66,1.22,0,0,0.0,0.604
belief-worker-0203,info_bargaining,1,1,24.13,25.82,24.96,0.86,0.56,0.66,3.27,0,1,0.095,0.518
belief-worker-0204,control,0,0,23.8,25.61,22.66,2.95,0.65,0.18,0.49,0,0,0.009,0.48
belief-worker-0205,outside_option_info,1,0,24.05,25.88,24.62,1.25,0.65,0.18,2.5,1,0,0.064,0.408
belief-worker-0206,bargaining_prompt,0,1,24.3,26.15,23.67,2.47,0.65,0.18,1.39,0,0,0.009,0.457
belief-worker-0207,info_bargaining,1,1,24.55,26.42,25.68,0.73,0.65,0.18,3.5,0,0,0.019,0.385
belief-worker-0208,control,0,0,24.22,26.21,22.82,3.38,0.74,0.26,0.44,0,0,0.007,0.564
belief-worker-0209,outside_option_info,1,0,24.47,26.48,25.04,1.43,0.74,0.26,2.44,0,0,0.017,0.483
belief-worker-0210,bargaining_prompt,0,1,24.72,26.75,23.92,2.83,0.74,0.26,1.34,0,0,0.007,0.538
belief-worker-0211,info_bargaining,1,1,24.97,27.02,26.18,0.84,0.74,0.26,3.46,0,0,0.017,0.458
belief-worker-0212,control,0,0,24.64,26.81,22.99,3.82,0.83,0.34,0.39,0,0,0.006,0.648
belief-worker-0213,outside_option_info,1,0,24.89,27.08,25.46,1.62,0.83,0.34,2.39,1,0,0.061,0.558
belief-worker-0214,bargaining_prompt,0,1,25.14,27.35,24.15,3.2,0.83,0.34,1.29,0,0,0.006,0.62
belief-worker-0215,info_bargaining,1,1,25.39,27.62,26.68,0.95,0.83,0.34,3.42,0,0,0.016,0.53
belief-worker-0216,control,0,0,25.06,26.06,23.77,2.29,0.2,0.42,1.13,0,0,0.004,0.328
belief-worker-0217,outside_option_info,1,0,25.31,26.32,25.35,0.97,0.2,0.42,3.04,0,0,0.014,0.275
belief-worker-0218,bargaining_prompt,0,1,25.56,26.58,24.67,1.92,0.2,0.42,2.03,0,0,0.004,0.312
belief-worker-0219,info_bargaining,1,1,25.81,26.84,26.28,0.57,0.2,0.42,4.02,0,0,0.014,0.259
belief-worker-0220,control,0,0,25.48,26.65,23.93,2.72,0.29,0.5,0.68,0,0,0.003,0.412
belief-worker-0221,outside_option_info,1,0,25.73,26.91,25.76,1.16,0.29,0.5,2.59,1,0,0.058,0.35
belief-worker-0222,bargaining_prompt,0,1,25.98,27.18,24.9,2.28,0.29,0.5,1.58,0,0,0.003,0.393
belief-worker-0223,info_bargaining,1,1,26.23,27.44,26.76,0.67,0.29,0.5,3.58,0,0,0.013,0.331
belief-worker-0224,control,0,0,25.9,27.25,24.08,3.17,0.38,0.58,0.63,0,0,0.002,0.496
belief-worker-0225,outside_option_info,1,0,26.15,27.51,26.17,1.34,0.38,0.58,2.53,0,0,0.012,0.425
belief-worker-0226,bargaining_prompt,0,1,26.4,27.77,25.12,2.65,0.38,0.58,1.53,0,0,0.002,0.474
belief-worker-0227,info_bargaining,1,1,26.65,28.04,27.25,0.78,0.38,0.58,3.54,1,0,0.057,0.403
belief-worker-0228,control,0,0,26.32,27.85,24.22,3.63,0.47,0.66,0.58,0,0,0.0,0.58
belief-worker-0229,outside_option_info,1,0,26.57,28.11,26.57,1.54,0.47,0.66,2.48,0,0,0.01,0.5
belief-worker-0230,bargaining_prompt,0,1,26.82,28.38,25.34,3.03,0.47,0.66,1.48,0,0,0.0,0.556
belief-worker-0231,info_bargaining,1,1,27.07,28.64,27.74,0.9,0.47,0.66,3.5,0,0,0.01,0.476
belief-worker-0232,control,0,0,26.74,28.45,25.4,3.05,0.56,0.18,0.75,0,0,0.009,0.429
