account_id,arm,disclosure,switching_help,high_switching_cost,sales_contact,fee_salience_index,demand_elasticity_index,switched_plan,chose_low_fee_plan,realized_fee_bps
plan-account-0086,disclosure_switching_help,1,1,0,0,0.85,0.747,0,1,96
plan-account-0087,opaque,0,0,1,0,0.25,0.145,0,0,138
plan-account-0088,fee_disclosure,1,0,0,0,0.67,0.635,0,0,128
plan-account-0089,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,100
plan-account-0090,opaque,0,0,0,1,0.13,0.201,0,0,160
plan-account-0091,fee_disclosure,1,0,1,1,0.55,0.231,0,0,150
plan-account-0092,disclosure_switching_help,1,1,1,1,0.73,0.343,0,1,122
plan-account-0093,opaque,0,0,1,1,0.13,0.05,0,0,164
plan-account-0094,fee_disclosure,1,0,1,1,0.55,0.231,0,1,126
plan-account-0095,disclosure_switching_help,1,1,0,1,0.73,0.573,1,1,118
plan-account-0096,opaque,0,0,1,0,0.25,0.145,0,0,118
plan-account-0097,fee_disclosure,1,0,0,0,0.67,0.635,0,1,80
plan-account-0098,disclosure_switching_help,1,1,1,0,0.85,0.517,1,1,72
plan-account-0099,opaque,0,0,0,0,0.25,0.375,0,0,122
plan-account-0100,fee_disclosure,1,0,1,0,0.67,0.405,0,1,84
plan-account-0101,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,84
plan-account-0102,opaque,0,0,1,1,0.13,0.05,0,1,116
plan-account-0103,fee_disclosure,1,0,1,1,0.55,0.231,0,0,134
plan-account-0104,disclosure_switching_help,1,1,0,1,0.73,0.573,1,0,126
plan-account-0105,opaque,0,0,1,1,0.13,0.05,0,1,120
plan-account-0106,fee_disclosure,1,0,0,1,0.55,0.461,1,0,130
plan-account-0107,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,138
plan-account-0108,opaque,0,0,0,0,0.25,0.375,0,1,106
plan-account-0109,fee_disclosure,1,0,1,0,0.67,0.405,0,0,124
plan-account-0110,disclosure_switching_help,1,1,1,0,0.85,0.517,0,0,124
plan-account-0111,opaque,0,0,1,0,0.25,0.145,1,1,102
plan-account-0112,fee_disclosure,1,0,1,0,0.67,0.405,0,0,128
plan-account-0113,disclosure_switching_help,1,1,0,0,0.85,0.747,0,1,100
plan-account-0114,opaque,0,0,1,1,0.13,0.05,0,0,160
plan-account-0115,fee_disclosure,1,0,0,1,0.55,0.461,0,0,150
plan-account-0116,disclosure_switching_help,1,1,1,1,0.73,0.343,0,1,122
plan-account-0117,opaque,0,0,0,1,0.13,0.201,0,0,164
plan-account-0118,fee_disclosure,1,0,1,1,0.55,0.231,0,0,154
plan-account-0119,disclosure_switching_help,1,1,1,1,0.73,0.343,0,1,126
plan-account-0120,opaque,0,0,1,0,0.25,0.145,0,0,118
plan-account-0121,fee_disclosure,1,0,1,0,0.67,0.405,0,1,80
plan-account-0122,disclosure_switching_help,1,1,0,0,0.85,0.747,1,1,72
plan-account-0123,opaque,0,0,1,0,0.25,0.145,0,0,122
plan-account-0124,fee_disclosure,1,0,0,0,0.67,0.635,0,1,84
plan-account-0125,disclosure_switching_help,1,1,1,0,0.85,0.517,1,1,76
plan-account-0126,opaque,0,0,0,1,0.13,0.201,0,0,144
plan-account-0127,fee_disclosure,1,0,1,1,0.55,0.231,0,1,106
plan-account-0128,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,134
plan-account-0129,opaque,0,0,1,1,0.13,0.05,0,1,120
plan-account-0130,fee_disclosure,1,0,1,1,0.55,0.231,0,0,138
plan-account-0131,disclosure_switching_help,1,1,0,1,0.73,0.573,1,0,130
plan-account-0132,opaque,0,0,1,0,0.25,0.145,0,1,106
plan-account-0133,fee_disclosure,1,0,0,0,0.67,0.635,1,1,88
plan-account-0134,disclosure_switching_help,1,1,1,0,0.85,0.517,0,0,124
plan-account-0135,opaque,0,0,0,0,0.25,0.375,0,1,110
plan-account-0136,fee_disclosure,1,0,1,0,0.67,0.405,0,0,128
plan-account-0137,disclosure_switching_help,1,1,1,0,0.85,0.517,0,0,128
plan-account-0138,opaque,0,0,1,1,0.13,0.05,0,0,160
plan-account-0139,fee_disclosure,1,0,1,1,0.55,0.231,0,0,150
plan-account-0140,disclosure_switching_help,1,1,0,1,0.73,0.573,0,1,122
plan-account-0141,opaque,0,0,1,1,0.13,0.05,0,0,164
plan-account-0142,fee_disclosure,1,0,0,1,0.55,0.461,0,0,154
plan-account-0143,disclosure_switching_help,1,1,1,1,0.73,0.343,0,1,126
plan-account-0144,opaque,0,0,0,0,0.25,0.375,0,0,118
plan-account-0145,fee_disclosure,1,0,1,0,0.67,0.405,0,0,108
plan-account-0146,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,80
plan-account-0147,opaque,0,0,1,0,0.25,0.145,0,0,122
plan-account-0148,fee_disclosure,1,0,1,0,0.67,0.405,0,1,84
plan-account-0149,disclosure_switching_help,1,1,0,0,0.85,0.747,1,1,76
plan-account-0150,opaque,0,0,1,1,0.13,0.05,0,0,144
plan-account-0151,fee_disclosure,1,0,0,1,0.55,0.461,0,1,106
plan-account-0152,disclosure_switching_help,1,1,1,1,0.73,0.343,1,1,98
plan-account-0153,opaque,0,0,0,1,0.13,0.201,0,0,148
plan-account-0154,fee_disclosure,1,0,1,1,0.55,0.231,0,1,110
plan-account-0155,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,138
plan-account-0156,opaque,0,0,1,0,0.25,0.145,0,0,134
plan-account-0157,fee_disclosure,1,0,1,0,0.67,0.405,0,1,96
plan-account-0158,disclosure_switching_help,1,1,0,0,0.85,0.747,1,1,88
plan-account-0159,opaque,0,0,1,0,0.25,0.145,0,1,110
plan-account-0160,fee_disclosure,1,0,0,0,0.67,0.635,1,1,92
plan-account-0161,disclosure_switching_help,1,1,1,0,0.85,0.517,0,0,128
plan-account-0162,opaque,0,0,0,1,0.13,0.201,0,0,160
plan-account-0163,fee_disclosure,1,0,1,1,0.55,0.231,0,0,150
plan-account-0164,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,150
plan-account-0165,opaque,0,0,1,1,0.13,0.05,0,0,164
plan-account-0166,fee_disclosure,1,0,1,1,0.55,0.231,0,0,154
plan-account-0167,disclosure_switching_help,1,1,0,1,0.73,0.573,0,1,126
plan-account-0168,opaque,0,0,1,0,0.25,0.145,0,0,118
plan-account-0169,fee_disclosure,1,0,0,0,0.67,0.635,0,0,108
plan-account-0170,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,80
plan-account-0171,opaque,0,0,0,0,0.25,0.375,0,0,122
plan-account-0172,fee_disclosure,1,0,1,0,0.67,0.405,0,0,112
plan-account-0173,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,84
plan-account-0174,opaque,0,0,1,1,0.13,0.05,0,0,144
plan-account-0175,fee_disclosure,1,0,1,1,0.55,0.231,0,1,106
plan-account-0176,disclosure_switching_help,1,1,0,1,0.73,0.573,1,1,98
plan-account-0177,opaque,0,0,1,1,0.13,0.05,0,0,148
plan-account-0178,fee_disclosure,1,0,0,1,0.55,0.461,0,1,110
plan-account-0179,disclosure_switching_help,1,1,1,1,0.73,0.343,1,1,102
plan-account-0180,opaque,0,0,0,0,0.25,0.375,0,0,134
plan-account-0181,fee_disclosure,1,0,1,0,0.67,0.405,0,1,96
plan-account-0182,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,96
plan-account-0183,opaque,0,0,1,0,0.25,0.145,0,0,138
plan-account-0184,fee_disclosure,1,0,1,0,0.67,0.405,1,1,92
plan-account-0185,disclosure_switching_help,1,1,0,0,0.85,0.747,1,1,92
plan-account-0186,opaque,0,0,1,1,0.13,0.05,0,1,132
plan-account-0187,fee_disclosure,1,0,0,1,0.55,0.461,1,1,114
plan-account-0188,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,150
plan-account-0189,opaque,0,0,0,1,0.13,0.201,0,0,164
plan-account-0190,fee_disclosure,1,0,1,1,0.55,0.231,0,0,154
plan-account-0191,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,154
plan-account-0192,opaque,0,0,1,0,0.25,0.145,0,1,90
plan-account-0193,fee_disclosure,1,0,1,0,0.67,0.405,0,0,108
plan-account-0194,disclosure_switching_help,1,1,0,0,0.85,0.747,0,1,80
plan-account-0195,opaque,0,0,1,0,0.25,0.145,0,0,122
plan-account-0196,fee_disclosure,1,0,0,0,0.67,0.635,0,0,112
plan-account-0197,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,84
plan-account-0198,opaque,0,0,0,1,0.13,0.201,0,0,144
plan-account-0199,fee_disclosure,1,0,1,1,0.55,0.231,0,0,134
plan-account-0200,disclosure_switching_help,1,1,1,1,0.73,0.343,0,1,106
plan-account-0201,opaque,0,0,1,1,0.13,0.05,0,0,148
plan-account-0202,fee_disclosure,1,0,1,1,0.55,0.231,0,1,110
plan-account-0203,disclosure_switching_help,1,1,0,1,0.73,0.573,1,1,102
plan-account-0204,opaque,0,0,1,0,0.25,0.145,0,0,134
plan-account-0205,fee_disclosure,1,0,0,0,0.67,0.635,0,1,96
plan-account-0206,disclosure_switching_help,1,1,1,0,0.85,0.517,1,1,88
plan-account-0207,opaque,0,0,0,0,0.25,0.375,0,0,138
plan-account-0208,fee_disclosure,1,0,1,0,0.67,0.405,0,1,100
plan-account-0209,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,100
plan-account-0210,opaque,0,0,1,1,0.13,0.05,0,0,160
plan-account-0211,fee_disclosure,1,0,1,1,0.55,0.231,1,1,114
plan-account-0212,disclosure_switching_help,1,1,0,1,0.73,0.573,1,0,142
plan-account-0213,opaque,0,0,1,1,0.13,0.05,0,1,136
plan-account-0214,fee_disclosure,1,0,0,1,0.55,0.461,1,1,118
plan-account-0215,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,154
plan-account-0216,opaque,0,0,0,0,0.25,0.375,0,1,90
plan-account-0217,fee_disclosure,1,0,1,0,0.67,0.405,0,1,80
plan-account-0218,disclosure_switching_help,1,1,1,0,0.85,0.517,0,0,108
plan-account-0219,opaque,0,0,1,0,0.25,0.145,0,1,94
plan-account-0220,fee_disclosure,1,0,1,0,0.67,0.405,0,0,112
plan-account-0221,disclosure_switching_help,1,1,0,0,0.85,0.747,0,1,84
plan-account-0222,opaque,0,0,1,1,0.13,0.05,0,0,144
plan-account-0223,fee_disclosure,1,0,0,1,0.55,0.461,0,0,134
plan-account-0224,disclosure_switching_help,1,1,1,1,0.73,0.343,0,1,106
plan-account-0225,opaque,0,0,0,1,0.13,0.201,0,0,148
plan-account-0226,fee_disclosure,1,0,1,1,0.55,0.231,0,0,138
plan-account-0227,disclosure_switching_help,1,1,1,1,0.73,0.343,0,1,110
plan-account-0228,opaque,0,0,1,0,0.25,0.145,0,0,134
plan-account-0229,fee_disclosure,1,0,1,0,0.67,0.405,0,1,96
plan-account-0230,disclosure_switching_help,1,1,0,0,0.85,0.747,1,1,88
plan-account-0231,opaque,0,0,1,0,0.25,0.145,0,0,138
plan-account-0232,fee_disclosure,1,0,0,0,0.67,0.635,0,1,100
plan-account-0233,disclosure_switching_help,1,1,1,0,0.85,0.517,1,1,92
plan-account-0234,opaque,0,0,0,1,0.13,0.201,0,0,160
plan-account-0235,fee_disclosure,1,0,1,1,0.55,0.231,0,1,122
plan-account-0236,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,150
plan-account-0237,opaque,0,0,1,1,0.13,0.05,0,0,164
plan-account-0238,fee_disclosure,1,0,1,1,0.55,0.231,0,1,126
plan-account-0239,disclosure_switching_help,1,1,0,1,0.73,0.573,1,0,146
plan-account-0240,opaque,0,0,1,0,0.25,0.145,0,1,90
plan-account-0241,fee_disclosure,1,0,0,0,0.67,0.635,1,1,72
plan-account-0242,disclosure_switching_help,1,1,1,0,0.85,0.517,0,0,108
plan-account-0243,opaque,0,0,0,0,0.25,0.375,0,1,94
plan-account-0244,fee_disclosure,1,0,1,0,0.67,0.405,0,1,84
plan-account-0245,disclosure_switching_help,1,1,1,0,0.85,0.517,0,0,112
plan-account-0246,opaque,0,0,1,1,0.13,0.05,0,0,144
plan-account-0247,fee_disclosure,1,0,1,1,0.55,0.231,0,0,134
plan-account-0248,disclosure_switching_help,1,1,0,1,0.73,0.573,0,1,106
plan-account-0249,opaque,0,0,1,1,0.13,0.05,0,0,148
plan-account-0250,fee_disclosure,1,0,0,1,0.55,0.461,0,0,138
plan-account-0251,disclosure_switching_help,1,1,1,1,0.73,0.343,0,1,110
plan-account-0252,opaque,0,0,0,0,0.25,0.375,0,0,134
plan-account-0253,fee_disclosure,1,0,1,0,0.67,0.405,0,0,124
plan-account-0254,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,96
plan-account-0255,opaque,0,0,1,0,0.25,0.145,0,0,138
plan-account-0256,fee_disclosure,1,0,1,0,0.67,0.405,0,0,128
plan-account-0257,disclosure_switching_help,1,1,0,0,0.85,0.747,1,1,92
plan-account-0258,opaque,0,0,1,1,0.13,0.05,0,0,160
plan-account-0259,fee_disclosure,1,0,0,1,0.55,0.461,0,1,122
plan-account-0260,disclosure_switching_help,1,1,1,1,0.73,0.343,1,1,114
plan-account-0261,opaque,0,0,0,1,0.13,0.201,0,0,164
plan-account-0262,fee_disclosure,1,0,1,1,0.55,0.231,0,1,126
plan-account-0263,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,154
plan-account-0264,opaque,0,0,1,0,0.25,0.145,0,0,118
plan-account-0265,fee_disclosure,1,0,1,0,0.67,0.405,0,1,80
plan-account-0266,disclosure_switching_help,1,1,0,0,0.85,0.747,1,1,72
plan-account-0267,opaque,0,0,1,0,0.25,0.145,0,1,94
plan-account-0268,fee_disclosure,1,0,0,0,0.67,0.635,1,1,76
plan-account-0269,disclosure_switching_help,1,1,1,0,0.85,0.517,0,0,112
plan-account-0270,opaque,0,0,0,1,0.13,0.201,0,0,144
plan-account-0271,fee_disclosure,1,0,1,1,0.55,0.231,0,0,134
plan-account-0272,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,134
plan-account-0273,opaque,0,0,1,1,0.13,0.05,0,0,148
plan-account-0274,fee_disclosure,1,0,1,1,0.55,0.231,0,0,138
plan-account-0275,disclosure_switching_help,1,1,0,1,0.73,0.573,0,1,110
plan-account-0276,opaque,0,0,1,0,0.25,0.145,0,1,106
plan-account-0277,fee_disclosure,1,0,0,0,0.67,0.635,0,0,124
plan-account-0278,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,96
plan-account-0279,opaque,0,0,0,0,0.25,0.375,0,0,138
plan-account-0280,fee_disclosure,1,0,1,0,0.67,0.405,0,0,128
plan-account-0281,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,100
plan-account-0282,opaque,0,0,1,1,0.13,0.05,0,0,160
plan-account-0283,fee_disclosure,1,0,1,1,0.55,0.231,0,0,150
plan-account-0284,disclosure_switching_help,1,1,0,1,0.73,0.573,1,1,114
plan-account-0285,opaque,0,0,1,1,0.13,0.05,0,0,164
plan-account-0286,fee_disclosure,1,0,0,1,0.55,0.461,0,1,126
plan-account-0287,disclosure_switching_help,1,1,1,1,0.73,0.343,1,1,118
plan-account-0288,opaque,0,0,0,0,0.25,0.375,0,0,118
plan-account-0289,fee_disclosure,1,0,1,0,0.67,0.405,0,1,80
plan-account-0290,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,80
plan-account-0291,opaque,0,0,1,0,0.25,0.145,0,0,122
plan-account-0292,fee_disclosure,1,0,1,0,0.67,0.405,0,1,84
plan-account-0293,disclosure_switching_help,1,1,0,0,0.85,0.747,1,1,76
plan-account-0294,opaque,0,0,1,1,0.13,0.05,0,1,116
plan-account-0295,fee_disclosure,1,0,0,1,0.55,0.461,1,1,98
plan-account-0296,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,134
plan-account-0297,opaque,0,0,0,1,0.13,0.201,0,0,148
plan-account-0298,fee_disclosure,1,0,1,1,0.55,0.231,0,0,138
plan-account-0299,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,138
plan-account-0300,opaque,0,0,1,0,0.25,0.145,0,1,106
plan-account-0301,fee_disclosure,1,0,1,0,0.67,0.405,0,0,124
plan-account-0302,disclosure_switching_help,1,1,0,0,0.85,0.747,0,1,96
plan-account-0303,opaque,0,0,1,0,0.25,0.145,0,1,110
plan-account-0304,fee_disclosure,1,0,0,0,0.67,0.635,0,0,128
plan-account-0305,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,100
plan-account-0306,opaque,0,0,0,1,0.13,0.201,0,0,160
plan-account-0307,fee_disclosure,1,0,1,1,0.55,0.231,0,0,150
plan-account-0308,disclosure_switching_help,1,1,1,1,0.73,0.343,0,1,122
plan-account-0309,opaque,0,0,1,1,0.13,0.05,0,0,164
plan-account-0310,fee_disclosure,1,0,1,1,0.55,0.231,0,0,154
plan-account-0311,disclosure_switching_help,1,1,0,1,0.73,0.573,1,1,118
plan-account-0312,opaque,0,0,1,0,0.25,0.145,0,0,118
plan-account-0313,fee_disclosure,1,0,0,0,0.67,0.635,0,1,80
plan-account-0314,disclosure_switching_help,1,1,1,0,0.85,0.517,1,1,72
plan-account-0315,opaque,0,0,0,0,0.25,0.375,0,0,122
plan-account-0316,fee_disclosure,1,0,1,0,0.67,0.405,0,1,84
plan-account-0317,disclosure_switching_help,1,1,1,0,0.85,0.517,1,1,76
plan-account-0318,opaque,0,0,1,1,0.13,0.05,0,0,144
plan-account-0319,fee_disclosure,1,0,1,1,0.55,0.231,0,1,106
plan-account-0320,disclosure_switching_help,1,1,0,1,0.73,0.573,1,0,126
plan-account-0321,opaque,0,0,1,1,0.13,0.05,0,1,120
plan-account-0322,fee_disclosure,1,0,0,1,0.55,0.461,1,1,102
plan-account-0323,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,138
plan-account-0324,opaque,0,0,0,0,0.25,0.375,0,1,106
plan-account-0325,fee_disclosure,1,0,1,0,0.67,0.405,0,1,96
plan-account-0326,disclosure_switching_help,1,1,1,0,0.85,0.517,0,0,124
plan-account-0327,opaque,0,0,1,0,0.25,0.145,0,1,110
plan-account-0328,fee_disclosure,1,0,1,0,0.67,0.405,0,0,128
plan-account-0329,disclosure_switching_help,1,1,0,0,0.85,0.747,0,1,100
plan-account-0330,opaque,0,0,1,1,0.13,0.05,0,0,160
plan-account-0331,fee_disclosure,1,0,0,1,0.55,0.461,0,0,150
plan-account-0332,disclosure_switching_help,1,1,1,1,0.73,0.343,0,1,122
plan-account-0333,opaque,0,0,0,1,0.13,0.201,0,0,164
plan-account-0334,fee_disclosure,1,0,1,1,0.55,0.231,0,0,154
plan-account-0335,disclosure_switching_help,1,1,1,1,0.73,0.343,0,1,126
plan-account-0336,opaque,0,0,1,0,0.25,0.145,0,0,118
plan-account-0337,fee_disclosure,1,0,1,0,0.67,0.405,0,0,108
plan-account-0338,disclosure_switching_help,1,1,0,0,0.85,0.747,0,1,80
plan-account-0339,opaque,0,0,1,0,0.25,0.145,0,0,122
plan-account-0340,fee_disclosure,1,0,0,0,0.67,0.635,0,1,84
plan-account-0341,disclosure_switching_help,1,1,1,0,0.85,0.517,1,1,76
plan-account-0342,opaque,0,0,0,1,0.13,0.201,0,0,144
plan-account-0343,fee_disclosure,1,0,1,1,0.55,0.231,0,1,106
plan-account-0344,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,134
plan-account-0345,opaque,0,0,1,1,0.13,0.05,0,0,148
plan-account-0346,fee_disclosure,1,0,1,1,0.55,0.231,0,1,110
plan-account-0347,disclosure_switching_help,1,1,0,1,0.73,0.573,1,0,130
plan-account-0348,opaque,0,0,1,0,0.25,0.145,0,1,106
plan-account-0349,fee_disclosure,1,0,0,0,0.67,0.635,1,1,88
plan-account-0350,disclosure_switching_help,1,1,1,0,0.85,0.517,0,0,124
plan-account-0351,opaque,0,0,0,0,0.25,0.375,0,1,110
plan-account-0352,fee_disclosure,1,0,1,0,0.67,0.405,0,1,100
plan-account-0353,disclosure_switching_help,1,1,1,0,0.85,0.517,0,0,128
plan-account-0354,opaque,0,0,1,1,0.13,0.05,0,0,160
plan-account-0355,fee_disclosure,1,0,1,1,0.55,0.231,0,0,150
plan-account-0356,disclosure_switching_help,1,1,0,1,0.73,0.573,0,0,150
plan-account-0357,opaque,0,0,1,1,0.13,0.05,0,0,164
plan-account-0358,fee_disclosure,1,0,0,1,0.55,0.461,0,0,154
plan-account-0359,disclosure_switching_help,1,1,1,1,0.73,0.343,0,1,126
plan-account-0360,opaque,0,0,0,0,0.25,0.375,0,0,118
plan-account-0361,fee_disclosure,1,0,1,0,0.67,0.405,0,0,108
plan-account-0362,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,80
plan-account-0363,opaque,0,0,1,0,0.25,0.145,0,0,122
plan-account-0364,fee_disclosure,1,0,1,0,0.67,0.405,0,0,112
plan-account-0365,disclosure_switching_help,1,1,0,0,0.85,0.747,0,1,84
plan-account-0366,opaque,0,0,1,1,0.13,0.05,0,0,144
plan-account-0367,fee_disclosure,1,0,0,1,0.55,0.461,0,1,106
plan-account-0368,disclosure_switching_help,1,1,1,1,0.73,0.343,1,1,98
plan-account-0369,opaque,0,0,0,1,0.13,0.201,0,0,148
plan-account-0370,fee_disclosure,1,0,1,1,0.55,0.231,0,1,110
