applicant_id,program_id,program_name,program_region,capacity,rural_priority,applicant_region_preference,service_commitment,risk_aversion,couple_member,preference_score,priority_score,applicant_rank,program_rank
A010,P05,Valley Psychiatry,midwest,12,0,rural,1,0.22,0,39.101,56.173,8,8
A010,P06,Mountain Internal Medicine,rural,12,1,rural,1,0.22,0,60.933,71.754,1,1
A010,P07,Harbor Emergency Medicine,coastal,10,0,rural,1,0.22,0,45.354,56.764,6,9
A010,P08,River Public Service Track,rural,12,1,rural,1,0.22,0,56.263,70.102,3,1
A011,P01,Metro General Medicine,urban,14,0,midwest,1,0.35,0,49.659,46.603,3,72
A011,P02,Lakeside Pediatrics,coastal,12,0,midwest,1,0.35,0,45.062,45.012,6,73
A011,P03,Prairie Family Medicine,rural,12,1,midwest,1,0.35,0,43.671,54.418,7,34
A011,P04,Capital Surgery,urban,10,0,midwest,1,0.35,0,51.457,47.827,2,69
A011,P05,Valley Psychiatry,midwest,12,0,midwest,1,0.35,0,54.168,47.339,1,53
A011,P06,Mountain Internal Medicine,rural,12,1,midwest,1,0.35,0,46.068,54.955,4,34
A011,P07,Harbor Emergency Medicine,coastal,10,0,midwest,1,0.35,0,45.665,44.261,5,75
A011,P08,River Public Service Track,rural,12,1,midwest,1,0.35,0,41.472,53.221,8,38
A012,P01,Metro General Medicine,urban,14,0,urban,0,0.48,0,65.54,61.334,2,6
A012,P02,Lakeside Pediatrics,coastal,12,0,urban,0,0.48,0,45.935,55.589,4,17
A012,P03,Prairie Family Medicine,rural,12,1,urban,0,0.48,0,36.411,51.615,7,49
A012,P04,Capital Surgery,urban,10,0,urban,0,0.48,0,67.635,61.956,1,5
A012,P05,Valley Psychiatry,midwest,12,0,urban,0,0.48,0,40.151,52.866,5,22
A012,P06,Mountain Internal Medicine,rural,12,1,urban,0,0.48,0,39.12,52.516,6,48
A012,P07,Harbor Emergency Medicine,coastal,10,0,urban,0,0.48,0,46.892,54.117,3,19
A012,P08,River Public Service Track,rural,12,1,urban,0,0.48,0,34.598,50.7,8,51
A013,P01,Metro General Medicine,urban,14,0,coastal,0,0.61,0,47.404,35.018,4,118
A013,P02,Lakeside Pediatrics,coastal,12,0,coastal,0,0.61,0,58.377,38.548,2,106
A013,P03,Prairie Family Medicine,rural,12,1,coastal,0,0.61,0,35.093,33.454,7,119
A013,P04,Capital Surgery,urban,10,0,coastal,0,0.61,0,48.583,35.252,3,118
A013,P05,Valley Psychiatry,midwest,12,0,coastal,0,0.61,0,37.671,33.845,5,118
A013,P06,Mountain Internal Medicine,rural,12,1,coastal,0,0.61,0,36.805,33.766,6,119
A013,P07,Harbor Emergency Medicine,coastal,10,0,coastal,0,0.61,0,59.165,38.236,1,103
A013,P08,River Public Service Track,rural,12,1,coastal,0,0.61,0,32.945,33.297,8,118
A014,P01,Metro General Medicine,urban,14,0,rural,0,0.74,0,48.285,45.748,4,78
A014,P02,Lakeside Pediatrics,coastal,12,0,rural,0,0.74,0,43.333,45.126,7,71
A014,P03,Prairie Family Medicine,rural,12,1,rural,0,0.74,0,49.916,47.579,2,69
A014,P04,Capital Surgery,urban,10,0,rural,0,0.74,0,49.761,46.309,3,80
A014,P05,Valley Psychiatry,midwest,12,0,rural,0,0.74,0,38.654,44.3,8,71
A014,P06,Mountain Internal Medicine,rural,12,1,rural,0,0.74,0,51.94,48.256,1,70
A014,P07,Harbor Emergency Medicine,coastal,10,0,rural,0,0.74,0,44.476,45.021,6,69
A014,P08,River Public Service Track,rural,12,1,rural,0,0.74,0,48.154,47.705,5,66
A015,P01,Metro General Medicine,urban,14,0,midwest,1,0.22,0,48.25,56.479,3,18
A015,P02,Lakeside Pediatrics,coastal,12,0,midwest,1,0.22,0,44.205,55.704,6,16
A015,P03,Prairie Family Medicine,rural,12,1,midwest,1,0.22,0,43.656,64.776,7,9
A015,P04,Capital Surgery,urban,10,0,midwest,1,0.22,0,50.022,56.438,2,22
A015,P05,Valley Psychiatry,midwest,12,0,midwest,1,0.22,0,53.721,57.827,1,3
A015,P06,Mountain Internal Medicine,rural,12,1,midwest,1,0.22,0,45.992,65.816,4,9
A015,P07,Harbor Emergency Medicine,coastal,10,0,midwest,1,0.22,0,44.786,54.877,5,16
A015,P08,River Public Service Track,rural,12,1,midwest,1,0.22,0,41.364,65.184,8,8
A016,P01,Metro General Medicine,urban,14,0,urban,1,0.35,0,64.131,47.921,2,65
A016,P02,Lakeside Pediatrics,coastal,12,0,urban,1,0.35,0,45.077,42.993,5,85
A016,P03,Prairie Family Medicine,rural,12,1,urban,1,0.35,0,43.48,52.541,6,44
A016,P04,Capital Surgery,urban,10,0,urban,1,0.35,0,66.2,49.135,1,62
A016,P05,Valley Psychiatry,midwest,12,0,urban,1,0.35,0,38.788,40.993,8,87
A016,P06,Mountain Internal Medicine,rural,12,1,urban,1,0.35,0,46.127,53.017,3,45
A016,P07,Harbor Emergency Medicine,coastal,10,0,urban,1,0.35,0,45.097,42.374,4,85
A016,P08,River Public Service Track,rural,12,1,urban,1,0.35,0,41.573,52.303,7,42
A017,P01,Metro General Medicine,urban,14,0,coastal,0,0.48,0,50.012,54.651,4,28
A017,P02,Lakeside Pediatrics,coastal,12,0,coastal,0,0.48,0,60.033,57.57,2,11
A017,P03,Prairie Family Medicine,rural,12,1,coastal,0,0.48,0,36.22,49.738,7,58
A017,P04,Capital Surgery,urban,10,0,coastal,0,0.48,0,51.461,55.263,3,31
A017,P05,Valley Psychiatry,midwest,12,0,coastal,0,0.48,0,39.772,51.449,5,32
A017,P06,Mountain Internal Medicine,rural,12,1,coastal,0,0.48,0,38.262,50.578,6,59
A017,P07,Harbor Emergency Medicine,coastal,10,0,coastal,0,0.48,0,61.324,56.23,1,11
A017,P08,River Public Service Track,rural,12,1,coastal,0,0.48,0,33.782,49.782,8,57
A018,P01,Metro General Medicine,urban,14,0,rural,0,0.61,0,50.894,43.022,4,85
A018,P02,Lakeside Pediatrics,coastal,12,0,rural,0,0.61,0,45.905,40.859,7,94
A018,P03,Prairie Family Medicine,rural,12,1,rural,0,0.61,0,51.043,41.503,3,95
A018,P04,Capital Surgery,urban,10,0,rural,0,0.61,0,52.638,43.032,2,88
A018,P05,Valley Psychiatry,midwest,12,0,rural,0,0.61,0,39.839,38.615,8,97
A018,P06,Mountain Internal Medicine,rural,12,1,rural,0,0.61,0,53.397,42.707,1,93
A018,P07,Harbor Emergency Medicine,coastal,10,0,rural,0,0.61,0,46.635,39.727,6,97
A018,P08,River Public Service Track,rural,12,1,rural,0,0.61,0,48.991,40.902,5,95
A019,P01,Metro General Medicine,urban,14,0,midwest,0,0.74,0,50.859,52.824,3,39
A019,P02,Lakeside Pediatrics,coastal,12,0,midwest,0,0.74,0,46.778,51.437,5,37
A019,P03,Prairie Family Medicine,rural,12,1,midwest,0,0.74,0,36.783,46.7,7,74
A019,P04,Capital Surgery,urban,10,0,midwest,0,0.74,0,52.899,54.089,2,37
A019,P05,Valley Psychiatry,midwest,12,0,midwest,0,0.74,0,54.906,52.142,1,27
A019,P06,Mountain Internal Medicine,rural,12,1,midwest,0,0.74,0,39.448,48.268,6,69
A019,P07,Harbor Emergency Medicine,coastal,10,0,midwest,0,0.74,0,46.946,49.583,4,46
A019,P08,River Public Service Track,rural,12,1,midwest,0,0.74,0,34.201,46.381,8,74
A020,P01,Metro General Medicine,urban,14,0,urban,1,0.22,0,62.722,57.796,2,14
A020,P02,Lakeside Pediatrics,coastal,12,0,urban,1,0.22,0,43.303,52.756,5,28
A020,P03,Prairie Family Medicine,rural,12,1,urban,1,0.22,0,42.549,63.828,6,12
A020,P04,Capital Surgery,urban,10,0,urban,1,0.22,0,64.765,57.745,1,15
A020,P05,Valley Psychiatry,midwest,12,0,urban,1,0.22,0,38.342,52.409,8,26
A020,P06,Mountain Internal Medicine,rural,12,1,urban,1,0.22,0,45.133,63.879,3,12
A020,P07,Harbor Emergency Medicine,coastal,10,0,urban,1,0.22,0,44.219,52.991,4,25
A020,P08,River Public Service Track,rural,12,1,urban,1,0.22,0,40.548,63.338,7,11
A021,P01,Metro General Medicine,urban,14,0,coastal,1,0.35,0,48.603,41.238,4,98
A021,P02,Lakeside Pediatrics,coastal,12,0,coastal,1,0.35,0,59.176,44.973,2,75
A021,P03,Prairie Family Medicine,rural,12,1,coastal,1,0.35,0,43.289,50.665,6,53
A021,P04,Capital Surgery,urban,10,0,coastal,1,0.35,0,50.026,42.442,3,94
A021,P05,Valley Psychiatry,midwest,12,0,coastal,1,0.35,0,38.409,39.576,8,92
A021,P06,Mountain Internal Medicine,rural,12,1,coastal,1,0.35,0,45.268,51.079,5,55
A021,P07,Harbor Emergency Medicine,coastal,10,0,coastal,1,0.35,0,59.529,44.487,1,72
A021,P08,River Public Service Track,rural,12,1,coastal,1,0.35,0,40.757,50.457,7,54
A022,P01,Metro General Medicine,urban,14,0,rural,0,0.48,0,48.568,51.969,4,43
A022,P02,Lakeside Pediatrics,coastal,12,0,rural,0,0.48,0,44.131,50.622,7,44
A022,P03,Prairie Family Medicine,rural,12,1,rural,0,0.48,0,50.112,52.79,3,42
A022,P04,Capital Surgery,urban,10,0,rural,0,0.48,0,50.287,52.571,2,44
A022,P05,Valley Psychiatry,midwest,12,0,rural,0,0.48,0,38.476,49.103,8,41
A022,P06,Mountain Internal Medicine,rural,12,1,rural,0,0.48,0,52.403,53.569,1,43
A022,P07,Harbor Emergency Medicine,coastal,10,0,rural,0,0.48,0,44.84,50.344,6,41
A022,P08,River Public Service Track,rural,12,1,rural,0,0.48,0,47.967,51.936,5,44
A023,P01,Metro General Medicine,urban,14,0,midwest,0,0.61,0,49.45,40.339,3,103
A023,P02,Lakeside Pediatrics,coastal,12,0,midwest,0,0.61,0,45.004,38.84,5,102
A023,P03,Prairie Family Medicine,rural,12,1,midwest,0,0.61,0,35.852,35.627,7,112
A023,P04,Capital Surgery,urban,10,0,midwest,0,0.61,0,51.464,40.339,2,108
A023,P05,Valley Psychiatry,midwest,12,0,midwest,0,0.61,0,54.46,41.198,1,86
A023,P06,Mountain Internal Medicine,rural,12,1,midwest,0,0.61,0,38.455,36.769,6,112
A023,P07,Harbor Emergency Medicine,coastal,10,0,midwest,0,0.61,0,46.068,37.84,4,107
A023,P08,River Public Service Track,rural,12,1,midwest,0,0.61,0,34.092,35.056,8,113
A024,P01,Metro General Medicine,urban,14,0,urban,0,0.74,0,65.331,54.141,2,32
A024,P02,Lakeside Pediatrics,coastal,12,0,urban,0,0.74,0,45.876,48.489,4,58
A024,P03,Prairie Family Medicine,rural,12,1,urban,0,0.74,0,36.592,45.752,7,78
A024,P04,Capital Surgery,urban,10,0,urban,0,0.74,0,66.725,55.396,1,29
A024,P05,Valley Psychiatry,midwest,12,0,urban,0,0.74,0,39.527,46.724,5,56
A024,P06,Mountain Internal Medicine,rural,12,1,urban,0,0.74,0,38.59,46.33,6,78
A024,P07,Harbor Emergency Medicine,coastal,10,0,urban,0,0.74,0,46.378,47.697,3,56
A024,P08,River Public Service Track,rural,12,1,urban,0,0.74,0,34.302,44.535,8,83
A025,P01,Metro General Medicine,urban,14,0,coastal,1,0.22,0,51.212,60.872,4,8
A025,P02,Lakeside Pediatrics,coastal,12,0,coastal,1,0.22,0,60.832,63.066,2,3
A025,P03,Prairie Family Medicine,rural,12,1,coastal,1,0.22,0,44.416,66.949,6,7
A025,P04,Capital Surgery,urban,10,0,coastal,1,0.22,0,52.903,61.525,3,9
A025,P05,Valley Psychiatry,midwest,12,0,coastal,1,0.22,0,40.511,56.251,8,7
A025,P06,Mountain Internal Medicine,rural,12,1,coastal,1,0.22,0,46.725,67.891,5,7
A025,P07,Harbor Emergency Medicine,coastal,10,0,coastal,1,0.22,0,61.689,61.553,1,3
A025,P08,River Public Service Track,rural,12,1,coastal,1,0.22,0,42.511,66.014,7,7
A026,P01,Metro General Medicine,urban,14,0,rural,1,0.35,0,47.159,38.556,5,112
A026,P02,Lakeside Pediatrics,coastal,12,0,rural,1,0.35,0,43.274,38.025,7,111
A026,P03,Prairie Family Medicine,rural,12,1,rural,1,0.35,0,58.098,52.788,2,43
A026,P04,Capital Surgery,urban,10,0,rural,1,0.35,0,48.852,38.821,4,112
A026,P05,Valley Psychiatry,midwest,12,0,rural,1,0.35,0,38.03,37.23,8,106
A026,P06,Mountain Internal Medicine,rural,12,1,rural,1,0.35,0,60.327,53.141,1,44
A026,P07,Harbor Emergency Medicine,coastal,10,0,rural,1,0.35,0,43.962,37.672,6,108
A026,P08,River Public Service Track,rural,12,1,rural,1,0.35,0,55.858,52.611,3,41
A027,P01,Metro General Medicine,urban,14,0,midwest,0,0.48,0,48.04,49.286,3,57
A027,P02,Lakeside Pediatrics,coastal,12,0,midwest,0,0.48,0,44.146,48.603,5,56
A027,P03,Prairie Family Medicine,rural,12,1,midwest,0,0.48,0,34.921,46.913,7,72
A027,P04,Capital Surgery,urban,10,0,midwest,0,0.48,0,50.029,49.878,2,56
A027,P05,Valley Psychiatry,midwest,12,0,midwest,0,0.48,0,53.097,51.685,1,31
A027,P06,Mountain Internal Medicine,rural,12,1,midwest,0,0.48,0,37.462,47.631,6,73
A027,P07,Harbor Emergency Medicine,coastal,10,0,midwest,0,0.48,0,44.272,48.457,4,53
A027,P08,River Public Service Track,rural,12,1,midwest,0,0.48,0,33.068,47.019,8,69
A028,P01,Metro General Medicine,urban,14,0,urban,0,0.61,0,63.922,41.657,2,96
A028,P02,Lakeside Pediatrics,coastal,12,0,urban,0,0.61,0,44.102,36.821,4,115
A028,P03,Prairie Family Medicine,rural,12,1,urban,0,0.61,0,35.661,33.75,7,117
A028,P04,Capital Surgery,urban,10,0,urban,0,0.61,0,65.29,41.647,1,99
A028,P05,Valley Psychiatry,midwest,12,0,urban,0,0.61,0,39.081,34.852,5,116
A028,P06,Mountain Internal Medicine,rural,12,1,urban,0,0.61,0,37.597,34.831,6,117
A028,P07,Harbor Emergency Medicine,coastal,10,0,urban,0,0.61,0,45.5,35.953,3,116
A028,P08,River Public Service Track,rural,12,1,urban,0,0.61,0,33.277,34.138,8,115
A029,P01,Metro General Medicine,urban,14,0,coastal,0,0.74,0,49.803,47.459,4,67
A029,P02,Lakeside Pediatrics,coastal,12,0,coastal,0,0.74,0,59.974,50.47,2,46
A029,P03,Prairie Family Medicine,rural,12,1,coastal,0,0.74,0,35.485,43.875,7,85
A029,P04,Capital Surgery,urban,10,0,coastal,0,0.74,0,51.468,48.704,3,65
A029,P05,Valley Psychiatry,midwest,12,0,coastal,0,0.74,0,39.148,44.378,5,70
A029,P06,Mountain Internal Medicine,rural,12,1,coastal,0,0.74,0,37.732,44.392,6,86
A029,P07,Harbor Emergency Medicine,coastal,10,0,coastal,0,0.74,0,60.811,49.81,1,43
A029,P08,River Public Service Track,rural,12,1,coastal,0,0.74,0,33.486,43.617,8,85
A030,P01,Metro General Medicine,urban,14,0,rural,1,0.22,0,49.768,58.189,5,13
A030,P02,Lakeside Pediatrics,coastal,12,0,rural,1,0.22,0,45.847,57.047,7,12
A030,P03,Prairie Family Medicine,rural,12,1,rural,1,0.22,0,59.225,69.072,2,3
A030,P04,Capital Surgery,urban,10,0,rural,1,0.22,0,51.729,58.832,4,12
A030,P05,Valley Psychiatry,midwest,12,0,rural,1,0.22,0,39.215,54.834,8,13
A030,P06,Mountain Internal Medicine,rural,12,1,rural,1,0.22,0,61.783,69.953,1,3
A030,P07,Harbor Emergency Medicine,coastal,10,0,rural,1,0.22,0,46.121,55.667,6,14
A030,P08,River Public Service Track,rural,12,1,rural,1,0.22,0,56.695,69.096,3,3
A031,P01,Metro General Medicine,urban,14,0,midwest,1,0.35,0,50.649,46.56,3,73
A031,P02,Lakeside Pediatrics,coastal,12,0,midwest,1,0.35,0,45.802,44.336,6,78
A031,P03,Prairie Family Medicine,rural,12,1,midwest,1,0.35,0,44.048,52.838,7,41
A031,P04,Capital Surgery,urban,10,0,midwest,1,0.35,0,52.906,46.6,2,78
A031,P05,Valley Psychiatry,midwest,12,0,midwest,1,0.35,0,55.198,46.0,1,59
A031,P06,Mountain Internal Medicine,rural,12,1,midwest,1,0.35,0,46.918,54.082,4,39
A031,P07,Harbor Emergency Medicine,coastal,10,0,midwest,1,0.35,0,46.432,43.163,5,83
A031,P08,River Public Service Track,rural,12,1,midwest,1,0.35,0,41.905,52.215,8,43
A032,P01,Metro General Medicine,urban,14,0,urban,0,0.48,0,62.513,50.604,2,49
A032,P02,Lakeside Pediatrics,coastal,12,0,urban,0,0.48,0,43.245,46.584,4,65
A032,P03,Prairie Family Medicine,rural,12,1,urban,0,0.48,0,34.73,45.037,7,81
A032,P04,Capital Surgery,urban,10,0,urban,0,0.48,0,63.855,51.185,1,47
A032,P05,Valley Psychiatry,midwest,12,0,urban,0,0.48,0,37.717,45.339,5,66
A032,P06,Mountain Internal Medicine,rural,12,1,urban,0,0.48,0,36.603,45.693,6,81
A032,P07,Harbor Emergency Medicine,coastal,10,0,urban,0,0.48,0,43.705,45.642,3,66
A032,P08,River Public Service Track,rural,12,1,urban,0,0.48,0,32.252,45.173,8,78
A033,P01,Metro General Medicine,urban,14,0,coastal,0,0.61,0,47.478,34.974,4,119
A033,P02,Lakeside Pediatrics,coastal,12,0,coastal,0,0.61,0,58.2,37.873,2,112
A033,P03,Prairie Family Medicine,rural,12,1,coastal,0,0.61,0,34.554,32.802,7,120
A033,P04,Capital Surgery,urban,10,0,coastal,0,0.61,0,49.116,34.954,3,120
A033,P05,Valley Psychiatry,midwest,12,0,coastal,0,0.61,0,37.785,33.434,5,120
A033,P06,Mountain Internal Medicine,rural,12,1,coastal,0,0.61,0,36.738,32.894,6,120
A033,P07,Harbor Emergency Medicine,coastal,10,0,coastal,0,0.61,0,59.016,38.067,1,105
A033,P08,River Public Service Track,rural,12,1,coastal,0,0.61,0,32.461,32.292,8,120
A034,P01,Metro General Medicine,urban,14,0,rural,0,0.74,0,48.359,44.776,5,82
A034,P02,Lakeside Pediatrics,coastal,12,0,rural,0,0.74,0,44.073,44.45,7,77
A034,P03,Prairie Family Medicine,rural,12,1,rural,0,0.74,0,50.294,45.999,2,77
A034,P04,Capital Surgery,urban,10,0,rural,0,0.74,0,50.294,46.011,3,82
A034,P05,Valley Psychiatry,midwest,12,0,rural,0,0.74,0,38.768,42.961,8,77
A034,P06,Mountain Internal Medicine,rural,12,1,rural,0,0.74,0,52.79,46.454,1,76
A034,P07,Harbor Emergency Medicine,coastal,10,0,rural,0,0.74,0,45.243,43.923,6,77
A034,P08,River Public Service Track,rural,12,1,rural,0,0.74,0,48.587,45.771,4,76
A035,P01,Metro General Medicine,urban,14,0,midwest,1,0.22,0,49.24,55.507,3,23
A035,P02,Lakeside Pediatrics,coastal,12,0,midwest,1,0.22,0,44.945,54.099,6,22
A035,P03,Prairie Family Medicine,rural,12,1,midwest,1,0.22,0,44.034,64.124,7,11
A035,P04,Capital Surgery,urban,10,0,midwest,1,0.22,0,50.555,56.139,2,23
A035,P05,Valley Psychiatry,midwest,12,0,midwest,1,0.22,0,53.835,56.488,1,6
A035,P06,Mountain Internal Medicine,rural,12,1,midwest,1,0.22,0,45.925,64.944,4,11
A035,P07,Harbor Emergency Medicine,coastal,10,0,midwest,1,0.22,0,45.554,53.78,5,22
A035,P08,River Public Service Track,rural,12,1,midwest,1,0.22,0,41.796,63.25,8,12
A036,P01,Metro General Medicine,urban,14,0,urban,1,0.35,0,65.122,47.878,2,66
A036,P02,Lakeside Pediatrics,coastal,12,0,urban,1,0.35,0,44.901,42.317,5,87
A036,P03,Prairie Family Medicine,rural,12,1,urban,1,0.35,0,43.857,50.961,6,51
A036,P04,Capital Surgery,urban,10,0,urban,1,0.35,0,66.732,47.908,1,68
A036,P05,Valley Psychiatry,midwest,12,0,urban,1,0.35,0,39.819,40.583,8,88
A036,P06,Mountain Internal Medicine,rural,12,1,urban,1,0.35,0,46.06,52.144,3,50
A036,P07,Harbor Emergency Medicine,coastal,10,0,urban,1,0.35,0,45.864,41.276,4,88
A036,P08,River Public Service Track,rural,12,1,urban,1,0.35,0,42.006,50.369,7,56
A037,P01,Metro General Medicine,urban,14,0,coastal,0,0.48,1,50.086,51.68,4,45
A037,P02,Lakeside Pediatrics,coastal,12,0,coastal,0,0.48,1,60.773,53.966,2,24
A037,P03,Prairie Family Medicine,rural,12,1,coastal,0,0.48,1,36.597,47.086,7,71
A037,P04,Capital Surgery,urban,10,0,coastal,0,0.48,1,51.993,52.965,3,40
A037,P05,Valley Psychiatry,midwest,12,0,coastal,0,0.48,1,39.886,48.11,5,47
