tract_id,county_id,cz_id,baseline_employment_1990,population_1990,employment_growth_2000_2010,geocode_quality,cz_exposure,county_exposure,exposure_difference_county_minus_cz
T035,C06,CZ03,968,1779,-0.00276,street,0.06310115131578946,0.07367897686449203,0.010577825548702569
T036,C05,CZ03,1701,3099,0.01475,rooftop,0.06310115131578946,0.04603318273874434,-0.017067968577045116
T037,C06,CZ04,2073,3451,0.06811,street,0.04663061762802967,0.07367897686449203,0.027048359236462358
T038,C07,CZ04,2075,3833,0.03332,street,0.04663061762802967,0.04013514760147602,-0.006495470026553651
T039,C07,CZ04,1133,1898,0.06479,rooftop,0.04663061762802967,0.04013514760147602,-0.006495470026553651
T040,C07,CZ04,416,1059,0.02866,rooftop,0.04663061762802967,0.04013514760147602,-0.006495470026553651
T041,C07,CZ04,865,1729,0.01712,zip_centroid,0.04663061762802967,0.04013514760147602,-0.006495470026553651
T042,C07,CZ04,2235,3984,0.09491,rooftop,0.04663061762802967,0.04013514760147602,-0.006495470026553651
T043,C08,CZ04,2563,3827,0.03989,rooftop,0.04663061762802967,0.055373896149770396,0.008743278521740727
T044,C08,CZ04,2051,3202,0.0549,rooftop,0.04663061762802967,0.055373896149770396,0.008743278521740727
T045,C08,CZ04,1008,1574,0.04576,street,0.04663061762802967,0.055373896149770396,0.008743278521740727
T046,C08,CZ04,2443,4180,-0.02208,rooftop,0.04663061762802967,0.055373896149770396,0.008743278521740727
T047,C08,CZ04,1283,2557,0.06937,street,0.04663061762802967,0.055373896149770396,0.008743278521740727
T048,C07,CZ04,1948,3019,0.05199,rooftop,0.04663061762802967,0.04013514760147602,-0.006495470026553651
T049,C08,CZ05,1976,3077,0.02487,street,0.05680094104622198,0.055373896149770396,-0.001427044896451582
T050,C09,CZ05,2074,4086,0.06259,rooftop,0.05680094104622198,0.04975801177240027,-0.007042929273821712
T051,C09,CZ05,1791,3874,0.07158,rooftop,0.05680094104622198,0.04975801177240027,-0.007042929273821712
T052,C09,CZ05,916,2132,0.04214,rooftop,0.05680094104622198,0.04975801177240027,-0.007042929273821712
T053,C09,CZ05,580,1402,0.00143,street,0.05680094104622198,0.04975801177240027,-0.007042929273821712
T054,C09,CZ05,755,1366,0.03544,rooftop,0.05680094104622198,0.04975801177240027,-0.007042929273821712
T055,C10,CZ05,1459,3787,0.01871,rooftop,0.05680094104622198,0.060030983655870854,0.0032300426096488755
T056,C10,CZ05,2130,3212,0.05298,rooftop,0.05680094104622198,0.060030983655870854,0.0032300426096488755
T057,C10,CZ05,1550,3387,0.06136,rooftop,0.05680094104622198,0.060030983655870854,0.0032300426096488755
T058,C10,CZ05,2081,3355,-0.00425,street,0.05680094104622198,0.060030983655870854,0.0032300426096488755
T059,C10,CZ05,1981,3299,0.05423,rooftop,0.05680094104622198,0.060030983655870854,0.0032300426096488755
T060,C10,CZ05,772,1372,0.01867,street,0.05680094104622198,0.060030983655870854,0.0032300426096488755
