worker_id,shift_id,exposure_arm,baseline_skill,intrinsic_effort,peer_effort_norm,peer_visibility,learning_signal,social_pressure,effort_units,deviation_from_norm,social_penalty_index,productivity_value,attendance_index
peer-worker-076,shift-16,low_peer_visible,0.885,43.5,38.0,1,0.12,0.2,42.97,4.97,0.994,61.58,0.862
peer-worker-077,shift-17,average_peer_visible,0.885,43.5,45.0,1,0.12,0.18,45.18,0.18,0.032,63.97,0.868
peer-worker-078,shift-18,high_peer_hidden,0.885,43.5,53.0,0,0.22,0.04,46.97,6.03,0.0,65.57,0.868
peer-worker-079,shift-19,high_peer_visible,0.885,43.5,53.0,1,0.24,0.26,49.66,3.34,0.868,67.56,0.863
peer-worker-080,shift-20,low_peer_visible,0.92,45.0,38.0,1,0.12,0.2,43.12,5.12,1.024,63.21,0.814
peer-worker-081,shift-21,average_peer_visible,0.92,45.0,45.0,1,0.12,0.18,45.36,0.36,0.065,65.7,0.82
peer-worker-082,shift-22,high_peer_hidden,0.92,45.0,53.0,0,0.22,0.04,47.42,5.58,0.0,67.63,0.82
peer-worker-083,shift-23,high_peer_visible,0.92,45.0,53.0,1,0.24,0.26,49.72,3.28,0.853,69.36,0.815
peer-worker-084,shift-24,low_peer_visible,0.955,46.5,38.0,1,0.12,0.2,44.67,6.67,1.334,66.06,0.824
peer-worker-085,shift-25,average_peer_visible,0.955,46.5,45.0,1,0.12,0.18,46.94,1.94,0.349,68.67,0.83
peer-worker-086,shift-26,high_peer_hidden,0.955,46.5,53.0,0,0.22,0.04,49.27,3.73,0.0,71.05,0.832
peer-worker-087,shift-27,high_peer_visible,0.955,46.5,53.0,1,0.24,0.26,51.18,1.82,0.473,72.66,0.829
peer-worker-088,shift-28,low_peer_visible,0.99,48.0,38.0,1,0.12,0.2,46.22,8.22,1.644,69.02,0.834
peer-worker-089,shift-29,average_peer_visible,0.99,48.0,45.0,1,0.12,0.18,48.52,3.52,0.634,71.75,0.84
peer-worker-090,shift-30,high_peer_hidden,0.99,48.0,53.0,0,0.22,0.04,51.12,1.88,0.0,74.61,0.844
peer-worker-091,shift-31,high_peer_visible,0.99,48.0,53.0,1,0.24,0.26,52.64,0.36,0.094,76.07,0.843
peer-worker-092,shift-32,low_peer_visible,1.025,49.5,38.0,1,0.12,0.2,47.77,9.77,1.954,72.08,0.844
peer-worker-093,shift-33,average_peer_visible,1.025,49.5,45.0,1,0.12,0.18,50.1,5.1,0.918,74.94,0.85
peer-worker-094,shift-34,high_peer_hidden,1.025,49.5,53.0,0,0.22,0.04,52.97,0.03,0.0,78.29,0.856
peer-worker-095,shift-35,high_peer_visible,1.025,49.5,53.0,1,0.24,0.26,54.1,1.1,0.286,79.32,0.854
peer-worker-096,shift-36,low_peer_visible,0.78,42.0,38.0,1,0.12,0.2,40.72,2.72,0.544,55.52,0.865
peer-worker-097,shift-37,average_peer_visible,0.78,42.0,45.0,1,0.12,0.18,42.9,2.1,0.378,57.29,0.866
peer-worker-098,shift-38,high_peer_hidden,0.78,42.0,53.0,0,0.22,0.04,44.42,8.58,0.0,58.65,0.868
peer-worker-099,shift-39,high_peer_visible,0.78,42.0,53.0,1,0.24,0.26,47.5,5.5,1.43,60.41,0.859
peer-worker-100,shift-40,low_peer_visible,0.815,43.5,38.0,1,0.12,0.2,42.27,4.27,0.854,58.07,0.815
peer-worker-101,shift-41,average_peer_visible,0.815,43.5,45.0,1,0.12,0.18,44.48,0.52,0.094,60.21,0.819
peer-worker-102,shift-42,high_peer_hidden,0.815,43.5,53.0,0,0.22,0.04,46.27,6.73,0.0,61.71,0.82
peer-worker-103,shift-43,high_peer_visible,0.815,43.5,53.0,1,0.24,0.26,48.96,4.04,1.05,63.43,0.814
peer-worker-104,shift-44,low_peer_visible,0.85,45.0,38.0,1,0.12,0.2,43.82,5.82,1.164,60.72,0.825
peer-worker-105,shift-45,average_peer_visible,0.85,45.0,45.0,1,0.12,0.18,46.06,1.06,0.191,63.07,0.831
peer-worker-106,shift-46,high_peer_hidden,0.85,45.0,53.0,0,0.22,0.04,48.12,4.88,0.0,64.9,0.832
peer-worker-107,shift-47,high_peer_visible,0.85,45.0,53.0,1,0.24,0.26,50.42,2.58,0.671,66.56,0.828
peer-worker-108,shift-48,low_peer_visible,0.885,46.5,38.0,1,0.12,0.2,45.37,7.37,1.474,63.49,0.835
peer-worker-109,shift-49,average_peer_visible,0.885,46.5,45.0,1,0.12,0.18,47.64,2.64,0.475,65.95,0.841
peer-worker-110,shift-50,high_peer_hidden,0.885,46.5,53.0,0,0.22,0.04,49.97,3.03,0.0,68.22,0.844
peer-worker-111,shift-51,high_peer_visible,0.885,46.5,53.0,1,0.24,0.26,51.88,1.12,0.291,69.78,0.842
peer-worker-112,shift-52,low_peer_visible,0.92,48.0,38.0,1,0.12,0.2,45.52,7.52,1.504,65.2,0.847
peer-worker-113,shift-53,average_peer_visible,0.92,48.0,45.0,1,0.12,0.18,47.82,2.82,0.508,67.77,0.853
peer-worker-114,shift-54,high_peer_hidden,0.92,48.0,53.0,0,0.22,0.04,50.42,2.58,0.0,70.39,0.856
peer-worker-115,shift-55,high_peer_visible,0.92,48.0,53.0,1,0.24,0.26,51.94,1.06,0.276,71.66,0.854
peer-worker-116,shift-56,low_peer_visible,0.955,49.5,38.0,1,0.12,0.2,47.07,9.07,1.814,68.14,0.857
peer-worker-117,shift-57,average_peer_visible,0.955,49.5,45.0,1,0.12,0.18,49.4,4.4,0.792,70.82,0.863
peer-worker-118,shift-58,high_peer_hidden,0.955,49.5,53.0,0,0.22,0.04,52.27,0.73,0.0,73.92,0.868
peer-worker-119,shift-59,high_peer_visible,0.955,49.5,53.0,1,0.24,0.26,53.4,0.4,0.104,74.95,0.867
peer-worker-120,shift-00,low_peer_visible,0.99,42.0,38.0,1,0.12,0.2,41.42,3.42,0.684,64.7,0.816
peer-worker-121,shift-01,average_peer_visible,0.99,42.0,45.0,1,0.12,0.18,43.6,1.4,0.252,67.05,0.818
peer-worker-122,shift-02,high_peer_hidden,0.99,42.0,53.0,0,0.22,0.04,45.12,7.88,0.0,68.67,0.82
peer-worker-123,shift-03,high_peer_visible,0.99,42.0,53.0,1,0.24,0.26,48.2,4.8,1.248,71.16,0.813
peer-worker-124,shift-04,low_peer_visible,1.025,43.5,38.0,1,0.12,0.2,42.97,4.97,0.994,67.6,0.826
peer-worker-125,shift-05,average_peer_visible,1.025,43.5,45.0,1,0.12,0.18,45.18,0.18,0.032,70.29,0.832
peer-worker-126,shift-06,high_peer_hidden,1.025,43.5,53.0,0,0.22,0.04,46.97,6.03,0.0,72.14,0.832
peer-worker-127,shift-07,high_peer_visible,1.025,43.5,53.0,1,0.24,0.26,49.66,3.34,0.868,74.51,0.827
peer-worker-128,shift-08,low_peer_visible,0.78,45.0,38.0,1,0.12,0.2,43.12,5.12,1.024,57.17,0.838
peer-worker-129,shift-09,average_peer_visible,0.78,45.0,45.0,1,0.12,0.18,45.36,0.36,0.065,59.35,0.844
peer-worker-130,shift-10,high_peer_hidden,0.78,45.0,53.0,0,0.22,0.04,47.42,5.58,0.0,60.99,0.844
peer-worker-131,shift-11,high_peer_visible,0.78,45.0,53.0,1,0.24,0.26,49.72,3.28,0.853,62.4,0.839
peer-worker-132,shift-12,low_peer_visible,0.815,46.5,38.0,1,0.12,0.2,44.67,6.67,1.334,59.81,0.848
peer-worker-133,shift-13,average_peer_visible,0.815,46.5,45.0,1,0.12,0.18,46.94,1.94,0.349,62.1,0.854
peer-worker-134,shift-14,high_peer_hidden,0.815,46.5,53.0,0,0.22,0.04,49.27,3.73,0.0,64.16,0.856
peer-worker-135,shift-15,high_peer_visible,0.815,46.5,53.0,1,0.24,0.26,51.18,1.82,0.473,65.5,0.853
peer-worker-136,shift-16,low_peer_visible,0.85,48.0,38.0,1,0.12,0.2,46.22,8.22,1.644,62.55,0.858
peer-worker-137,shift-17,average_peer_visible,0.85,48.0,45.0,1,0.12,0.18,48.52,3.52,0.634,64.96,0.864
peer-worker-138,shift-18,high_peer_hidden,0.85,48.0,53.0,0,0.22,0.04,51.12,1.88,0.0,67.45,0.868
peer-worker-139,shift-19,high_peer_visible,0.85,48.0,53.0,1,0.24,0.26,52.64,0.36,0.094,68.7,0.867
peer-worker-140,shift-20,low_peer_visible,0.885,49.5,38.0,1,0.12,0.2,47.77,9.77,1.954,65.4,0.808
peer-worker-141,shift-21,average_peer_visible,0.885,49.5,45.0,1,0.12,0.18,50.1,5.1,0.918,67.93,0.814
peer-worker-142,shift-22,high_peer_hidden,0.885,49.5,53.0,0,0.22,0.04,52.97,0.03,0.0,70.88,0.82
peer-worker-143,shift-23,high_peer_visible,0.885,49.5,53.0,1,0.24,0.26,54.1,1.1,0.286,71.75,0.818
peer-worker-144,shift-24,low_peer_visible,0.92,42.0,38.0,1,0.12,0.2,40.72,2.72,0.544,61.22,0.829
peer-worker-145,shift-25,average_peer_visible,0.92,42.0,45.0,1,0.12,0.18,42.9,2.1,0.378,63.3,0.83
peer-worker-146,shift-26,high_peer_hidden,0.92,42.0,53.0,0,0.22,0.04,44.42,8.58,0.0,64.87,0.832
peer-worker-147,shift-27,high_peer_visible,0.92,42.0,53.0,1,0.24,0.26,47.5,5.5,1.43,67.06,0.823
peer-worker-148,shift-28,low_peer_visible,0.955,43.5,38.0,1,0.12,0.2,42.27,4.27,0.854,63.98,0.839
peer-worker-149,shift-29,average_peer_visible,0.955,43.5,45.0,1,0.12,0.18,44.48,0.52,0.094,66.44,0.843
peer-worker-150,shift-30,high_peer_hidden,0.955,43.5,53.0,0,0.22,0.04,46.27,6.73,0.0,68.19,0.844
peer-worker-151,shift-31,high_peer_visible,0.955,43.5,53.0,1,0.24,0.26,48.96,4.04,1.05,70.28,0.838
peer-worker-152,shift-32,low_peer_visible,0.99,45.0,38.0,1,0.12,0.2,43.82,5.82,1.164,66.86,0.849
peer-worker-153,shift-33,average_peer_visible,0.99,45.0,45.0,1,0.12,0.18,46.06,1.06,0.191,69.51,0.855
peer-worker-154,shift-34,high_peer_hidden,0.99,45.0,53.0,0,0.22,0.04,48.12,4.88,0.0,71.64,0.856
peer-worker-155,shift-35,high_peer_visible,0.99,45.0,53.0,1,0.24,0.26,50.42,2.58,0.671,73.61,0.852
peer-worker-156,shift-36,low_peer_visible,1.025,46.5,38.0,1,0.12,0.2,45.37,7.37,1.474,69.84,0.859
peer-worker-157,shift-37,average_peer_visible,1.025,46.5,45.0,1,0.12,0.18,47.64,2.64,0.475,72.62,0.865
peer-worker-158,shift-38,high_peer_hidden,1.025,46.5,53.0,0,0.22,0.04,49.97,3.03,0.0,75.22,0.868
peer-worker-159,shift-39,high_peer_visible,1.025,46.5,53.0,1,0.24,0.26,51.88,1.12,0.291,77.05,0.866
peer-worker-160,shift-40,low_peer_visible,0.78,48.0,38.0,1,0.12,0.2,45.52,7.52,1.504,58.83,0.811
peer-worker-161,shift-41,average_peer_visible,0.78,48.0,45.0,1,0.12,0.18,47.82,2.82,0.508,61.07,0.817
peer-worker-162,shift-42,high_peer_hidden,0.78,48.0,53.0,0,0.22,0.04,50.42,2.58,0.0,63.33,0.82
peer-worker-163,shift-43,high_peer_visible,0.78,48.0,53.0,1,0.24,0.26,51.94,1.06,0.276,64.39,0.818
peer-worker-164,shift-44,low_peer_visible,0.815,49.5,38.0,1,0.12,0.2,47.07,9.07,1.814,61.55,0.821
peer-worker-165,shift-45,average_peer_visible,0.815,49.5,45.0,1,0.12,0.18,49.4,4.4,0.792,63.9,0.827
peer-worker-166,shift-46,high_peer_hidden,0.815,49.5,53.0,0,0.22,0.04,52.27,0.73,0.0,66.6,0.832
peer-worker-167,shift-47,high_peer_visible,0.815,49.5,53.0,1,0.24,0.26,53.4,0.4,0.104,67.47,0.831
peer-worker-168,shift-48,low_peer_visible,0.85,42.0,38.0,1,0.12,0.2,41.42,3.42,0.684,58.9,0.84
peer-worker-169,shift-49,average_peer_visible,0.85,42.0,45.0,1,0.12,0.18,43.6,1.4,0.252,60.95,0.842
peer-worker-170,shift-50,high_peer_hidden,0.85,42.0,53.0,0,0.22,0.04,45.12,7.88,0.0,62.35,0.844
peer-worker-171,shift-51,high_peer_visible,0.85,42.0,53.0,1,0.24,0.26,48.2,4.8,1.248,64.41,0.837
peer-worker-172,shift-52,low_peer_visible,0.885,43.5,38.0,1,0.12,0.2,42.97,4.97,0.994,61.58,0.85
peer-worker-173,shift-53,average_peer_visible,0.885,43.5,45.0,1,0.12,0.18,45.18,0.18,0.032,63.97,0.856
peer-worker-174,shift-54,high_peer_hidden,0.885,43.5,53.0,0,0.22,0.04,46.97,6.03,0.0,65.57,0.856
peer-worker-175,shift-55,high_peer_visible,0.885,43.5,53.0,1,0.24,0.26,49.66,3.34,0.868,67.56,0.851
peer-worker-176,shift-56,low_peer_visible,0.92,45.0,38.0,1,0.12,0.2,43.12,5.12,1.024,63.21,0.862
peer-worker-177,shift-57,average_peer_visible,0.92,45.0,45.0,1,0.12,0.18,45.36,0.36,0.065,65.7,0.868
peer-worker-178,shift-58,high_peer_hidden,0.92,45.0,53.0,0,0.22,0.04,47.42,5.58,0.0,67.63,0.868
peer-worker-179,shift-59,high_peer_visible,0.92,45.0,53.0,1,0.24,0.26,49.72,3.28,0.853,69.36,0.863
peer-worker-180,shift-00,low_peer_visible,0.955,46.5,38.0,1,0.12,0.2,44.67,6.67,1.334,66.06,0.812
peer-worker-181,shift-01,average_peer_visible,0.955,46.5,45.0,1,0.12,0.18,46.94,1.94,0.349,68.67,0.818
peer-worker-182,shift-02,high_peer_hidden,0.955,46.5,53.0,0,0.22,0.04,49.27,3.73,0.0,71.05,0.82
peer-worker-183,shift-03,high_peer_visible,0.955,46.5,53.0,1,0.24,0.26,51.18,1.82,0.473,72.66,0.817
peer-worker-184,shift-04,low_peer_visible,0.99,48.0,38.0,1,0.12,0.2,46.22,8.22,1.644,69.02,0.822
peer-worker-185,shift-05,average_peer_visible,0.99,48.0,45.0,1,0.12,0.18,48.52,3.52,0.634,71.75,0.828
peer-worker-186,shift-06,high_peer_hidden,0.99,48.0,53.0,0,0.22,0.04,51.12,1.88,0.0,74.61,0.832
peer-worker-187,shift-07,high_peer_visible,0.99,48.0,53.0,1,0.24,0.26,52.64,0.36,0.094,76.07,0.831
peer-worker-188,shift-08,low_peer_visible,1.025,49.5,38.0,1,0.12,0.2,47.77,9.77,1.954,72.08,0.832
peer-worker-189,shift-09,average_peer_visible,1.025,49.5,45.0,1,0.12,0.18,50.1,5.1,0.918,74.94,0.838
peer-worker-190,shift-10,high_peer_hidden,1.025,49.5,53.0,0,0.22,0.04,52.97,0.03,0.0,78.29,0.844
peer-worker-191,shift-11,high_peer_visible,1.025,49.5,53.0,1,0.24,0.26,54.1,1.1,0.286,79.32,0.842
peer-worker-192,shift-12,low_peer_visible,0.78,42.0,38.0,1,0.12,0.2,40.72,2.72,0.544,55.52,0.853
peer-worker-193,shift-13,average_peer_visible,0.78,42.0,45.0,1,0.12,0.18,42.9,2.1,0.378,57.29,0.854
peer-worker-194,shift-14,high_peer_hidden,0.78,42.0,53.0,0,0.22,0.04,44.42,8.58,0.0,58.65,0.856
peer-worker-195,shift-15,high_peer_visible,0.78,42.0,53.0,1,0.24,0.26,47.5,5.5,1.43,60.41,0.847
peer-worker-196,shift-16,low_peer_visible,0.815,43.5,38.0,1,0.12,0.2,42.27,4.27,0.854,58.07,0.863
peer-worker-197,shift-17,average_peer_visible,0.815,43.5,45.0,1,0.12,0.18,44.48,0.52,0.094,60.21,0.867
peer-worker-198,shift-18,high_peer_hidden,0.815,43.5,53.0,0,0.22,0.04,46.27,6.73,0.0,61.71,0.868
peer-worker-199,shift-19,high_peer_visible,0.815,43.5,53.0,1,0.24,0.26,48.96,4.04,1.05,63.43,0.862
peer-worker-200,shift-20,low_peer_visible,0.85,45.0,38.0,1,0.12,0.2,43.82,5.82,1.164,60.72,0.813
peer-worker-201,shift-21,average_peer_visible,0.85,45.0,45.0,1,0.12,0.18,46.06,1.06,0.191,63.07,0.819
peer-worker-202,shift-22,high_peer_hidden,0.85,45.0,53.0,0,0.22,0.04,48.12,4.88,0.0,64.9,0.82
peer-worker-203,shift-23,high_peer_visible,0.85,45.0,53.0,1,0.24,0.26,50.42,2.58,0.671,66.56,0.816
peer-worker-204,shift-24,low_peer_visible,0.885,46.5,38.0,1,0.12,0.2,45.37,7.37,1.474,63.49,0.823
peer-worker-205,shift-25,average_peer_visible,0.885,46.5,45.0,1,0.12,0.18,47.64,2.64,0.475,65.95,0.829
peer-worker-206,shift-26,high_peer_hidden,0.885,46.5,53.0,0,0.22,0.04,49.97,3.03,0.0,68.22,0.832
peer-worker-207,shift-27,high_peer_visible,0.885,46.5,53.0,1,0.24,0.26,51.88,1.12,0.291,69.78,0.83
peer-worker-208,shift-28,low_peer_visible,0.92,48.0,38.0,1,0.12,0.2,45.52,7.52,1.504,65.2,0.835
peer-worker-209,shift-29,average_peer_visible,0.92,48.0,45.0,1,0.12,0.18,47.82,2.82,0.508,67.77,0.841
peer-worker-210,shift-30,high_peer_hidden,0.92,48.0,53.0,0,0.22,0.04,50.42,2.58,0.0,70.39,0.844
peer-worker-211,shift-31,high_peer_visible,0.92,48.0,53.0,1,0.24,0.26,51.94,1.06,0.276,71.66,0.842
peer-worker-212,shift-32,low_peer_visible,0.955,49.5,38.0,1,0.12,0.2,47.07,9.07,1.814,68.14,0.845
peer-worker-213,shift-33,average_peer_visible,0.955,49.5,45.0,1,0.12,0.18,49.4,4.4,0.792,70.82,0.851
peer-worker-214,shift-34,high_peer_hidden,0.955,49.5,53.0,0,0.22,0.04,52.27,0.73,0.0,73.92,0.856
peer-worker-215,shift-35,high_peer_visible,0.955,49.5,53.0,1,0.24,0.26,53.4,0.4,0.104,74.95,0.855
peer-worker-216,shift-36,low_peer_visible,0.99,42.0,38.0,1,0.12,0.2,41.42,3.42,0.684,64.7,0.864
peer-worker-217,shift-37,average_peer_visible,0.99,42.0,45.0,1,0.12,0.18,43.6,1.4,0.252,67.05,0.866
