worker_id,training,prior_wage,tenure,baseline_perf,high_skill,supervisor_referral,schedule_flex,distance_training,next_wage
100,0,28.34,1.01,0.176,1,0,1,15.69,31.45
101,1,23.75,0.37,-1.646,1,0,1,10.35,24.83
102,0,22.9,4.37,0.305,0,1,1,17.71,24.63
103,0,25.32,4.95,0.514,1,0,1,16.22,25.54
104,0,30.79,8.53,1.42,1,1,0,13.53,38.08
105,1,30.94,8.07,0.369,0,1,1,13.91,35.95
106,0,21.95,2.95,-2.186,0,0,0,3.22,18.72
107,0,22.67,1.98,-0.321,0,0,1,14.59,20.87
108,1,22.33,1.44,-1.092,0,0,0,23.81,24.21
109,0,19.12,3.97,-2.071,1,0,0,8.57,17.2
110,1,25.28,8.69,1.538,1,1,1,19.29,35.91
111,1,24.31,1.03,0.018,0,1,1,6.42,25.12
112,0,16.43,1.32,-0.356,1,0,1,20.88,18.95
113,0,29.72,7.71,0.108,0,1,1,15.78,33.71
114,1,25.35,5.37,-0.122,0,0,1,9.76,30.7
115,1,35.77,5.02,-0.199,1,1,1,19.78,37.21
116,1,19.42,1.96,-0.985,0,0,0,16.9,20.08
117,0,15.59,5.64,0.318,0,0,1,7.6,18.0
118,0,24.64,6.81,-0.504,0,0,1,8.3,25.53
119,0,26.11,6.56,0.057,0,0,0,12.34,27.24
120,1,29.34,8.54,0.589,0,0,1,18.81,33.51
