worker_id,certified,true_skill_score,prior_self_belief,posterior_self_belief,targets_high_skill_vacancies,firm_signal_score,hired
worker-153,0,54.6,46.2,46.2,0,45.49,0
worker-154,1,51.4,45.1,47.94,0,51.4,0
worker-155,0,53.8,49.6,49.6,0,26.97,0
worker-156,1,56.2,54.1,55.05,0,56.2,0
worker-157,0,58.6,58.6,58.6,0,34.09,0
worker-158,1,61.0,63.1,62.16,0,61.0,0
worker-159,0,63.4,67.6,67.6,1,41.21,0
worker-160,1,65.8,72.1,69.27,1,65.8,0
worker-161,0,62.6,71.0,71.0,1,44.69,0
worker-162,1,65.0,56.6,60.38,0,65.0,0
worker-163,0,67.4,61.1,61.1,0,51.81,0
worker-164,1,69.8,65.6,67.49,1,69.8,1
worker-165,0,72.2,70.1,70.1,1,36.93,0
worker-166,1,74.6,74.6,74.6,1,74.6,1
worker-167,0,77.0,79.1,79.1,1,44.05,0
worker-168,1,73.8,78.0,76.11,1,73.8,1
worker-169,0,76.2,82.5,82.5,1,47.53,0
worker-170,1,78.6,87.0,83.22,1,78.6,1
worker-171,0,81.0,72.6,72.6,1,54.65,0
worker-172,1,83.4,77.1,79.94,1,83.4,1
worker-173,0,85.8,81.6,81.6,1,61.77,1
worker-174,1,88.2,86.1,87.05,1,88.2,1
worker-175,0,85.0,85.0,85.0,1,65.25,1
worker-176,1,87.4,89.5,88.55,1,87.4,1
worker-177,0,89.8,94.0,94.0,1,50.37,0
worker-178,1,92.2,98.5,95.67,1,92.2,1
worker-179,0,94.6,103.0,103.0,1,57.49,1
worker-180,1,49.0,40.6,44.38,0,49.0,0
worker-181,0,51.4,45.1,45.1,0,33.41,0
worker-182,1,48.2,44.0,45.89,0,48.2,0
worker-183,0,50.6,48.5,48.5,0,36.89,0
worker-184,1,53.0,53.0,53.0,0,53.0,0
worker-185,0,55.4,57.5,57.5,0,44.01,0
worker-186,1,57.8,62.0,60.11,0,57.8,0
worker-187,0,60.2,66.5,66.5,1,29.13,0
worker-188,1,62.6,71.0,67.22,1,62.6,0
worker-189,0,59.4,51.0,51.0,0,32.61,0
worker-190,1,61.8,55.5,58.34,0,61.8,0
worker-191,0,64.2,60.0,60.0,0,39.73,0
worker-192,1,66.6,64.5,65.45,0,66.6,0
worker-193,0,69.0,69.0,69.0,1,46.85,0
worker-194,1,71.4,73.5,72.56,1,71.4,1
worker-195,0,73.8,78.0,78.0,1,53.97,0
worker-196,1,70.6,76.9,74.06,1,70.6,1
worker-197,0,73.0,81.4,81.4,1,57.45,0
worker-198,1,75.4,67.0,70.78,1,75.4,1
worker-199,0,77.8,71.5,71.5,1,42.57,0
worker-200,1,80.2,76.0,77.89,1,80.2,1
worker-201,0,82.6,80.5,80.5,1,49.69,0
worker-202,1,85.0,85.0,85.0,1,85.0,1
worker-203,0,81.8,83.9,83.9,1,53.17,0
worker-204,1,84.2,88.4,86.51,1,84.2,1
worker-205,0,86.6,92.9,92.9,1,60.29,1
worker-206,1,89.0,97.4,93.62,1,89.0,1
worker-207,0,91.4,83.0,83.0,1,67.41,1
worker-208,1,93.8,87.5,90.34,1,93.8,1
worker-209,0,96.2,92.0,92.0,1,52.53,1
worker-210,1,45.0,42.9,43.84,0,45.0,0
worker-211,0,47.4,47.4,47.4,0,24.81,0
worker-212,1,49.8,51.9,50.96,0,49.8,0
worker-213,0,52.2,56.4,56.4,0,31.93,0
worker-214,1,54.6,60.9,58.07,0,54.6,0
worker-215,0,57.0,65.4,65.4,0,39.05,0
worker-216,1,59.4,51.0,54.78,0,59.4,0
worker-217,0,56.2,49.9,49.9,0,42.53,0
worker-218,1,58.6,54.4,56.29,0,58.6,0
worker-219,0,61.0,58.9,58.9,0,49.65,0
worker-220,1,63.4,63.4,63.4,0,63.4,0
worker-221,0,65.8,67.9,67.9,1,34.77,0
worker-222,1,68.2,72.4,70.51,1,68.2,1
worker-223,0,70.6,76.9,76.9,1,41.89,0
worker-224,1,67.4,75.8,72.02,1,67.4,1
worker-225,0,69.8,61.4,61.4,0,45.37,0
worker-226,1,72.2,65.9,68.73,1,72.2,1
worker-227,0,74.6,70.4,70.4,1,52.49,0
worker-228,1,77.0,74.9,75.84,1,77.0,1
worker-229,0,79.4,79.4,79.4,1,59.61,1
worker-230,1,81.8,83.9,82.95,1,81.8,1
worker-231,0,78.6,82.8,82.8,1,41.09,0
worker-232,1,81.0,87.3,84.47,1,81.0,1
worker-233,0,83.4,91.8,91.8,1,48.21,0
worker-234,1,85.8,77.4,81.18,1,85.8,1
worker-235,0,88.2,81.9,81.9,1,55.33,1
worker-236,1,90.6,86.4,88.29,1,90.6,1
worker-237,0,93.0,90.9,90.9,1,62.45,1
worker-238,1,89.8,89.8,89.8,1,89.8,1
worker-239,0,92.2,94.3,94.3,1,65.93,1
worker-240,1,46.6,50.8,48.91,0,46.6,0
worker-241,0,49.0,55.3,55.3,0,41.85,0
worker-242,1,51.4,59.8,56.02,0,51.4,0
worker-243,0,53.8,45.4,45.4,0,26.97,0
worker-244,1,56.2,49.9,52.74,0,56.2,0
worker-245,0,53.0,48.8,48.8,0,30.45,0
worker-246,1,55.4,53.3,54.25,0,55.4,0
worker-247,0,57.8,57.8,57.8,0,37.57,0
worker-248,1,60.2,62.3,61.36,0,60.2,0
worker-249,0,62.6,66.8,66.8,1,44.69,0
worker-250,1,65.0,71.3,68.47,1,65.0,0
worker-251,0,67.4,75.8,75.8,1,51.81,0
worker-252,1,64.2,55.8,59.58,0,64.2,0
worker-253,0,66.6,60.3,60.3,0,33.29,0
worker-254,1,69.0,64.8,66.69,1,69.0,1
worker-255,0,71.4,69.3,69.3,1,40.41,0
worker-256,1,73.8,73.8,73.8,1,73.8,1
worker-257,0,76.2,78.3,78.3,1,47.53,0
worker-258,1,78.6,82.8,80.91,1,78.6,1
worker-259,0,75.4,81.7,81.7,1,51.01,0
worker-260,1,77.8,86.2,82.42,1,77.8,1
worker-261,0,80.2,71.8,71.8,1,58.13,0
worker-262,1,82.6,76.3,79.14,1,82.6,1
worker-263,0,85.0,80.8,80.8,1,65.25,1
worker-264,1,87.4,85.3,86.25,1,87.4,1
worker-265,0,89.8,89.8,89.8,1,50.37,0
worker-266,1,86.6,88.7,87.75,1,86.6,1
worker-267,0,89.0,93.2,93.2,1,53.85,1
worker-268,1,91.4,97.7,94.87,1,91.4,1
worker-269,0,93.8,102.2,102.2,1,60.97,1
worker-270,1,48.2,39.8,43.58,0,48.2,0
worker-271,0,50.6,44.3,44.3,0,36.89,0
worker-272,1,53.0,48.8,50.69,0,53.0,0
worker-273,0,49.8,47.7,47.7,0,40.37,0
worker-274,1,52.2,52.2,52.2,0,52.2,0
worker-275,0,54.6,56.7,56.7,0,25.49,0
worker-276,1,57.0,61.2,59.31,0,57.0,0
worker-277,0,59.4,65.7,65.7,0,32.61,0
worker-278,1,61.8,70.2,66.42,1,61.8,0
worker-279,0,64.2,55.8,55.8,0,39.73,0
worker-280,1,61.0,54.7,57.54,0,61.0,0
worker-281,0,63.4,59.2,59.2,0,43.21,0
worker-282,1,65.8,63.7,64.65,0,65.8,0
worker-283,0,68.2,68.2,68.2,1,50.33,0
worker-284,1,70.6,72.7,71.76,1,70.6,1
worker-285,0,73.0,77.2,77.2,1,57.45,0
worker-286,1,75.4,81.7,78.86,1,75.4,1
worker-287,0,72.2,80.6,80.6,1,38.93,0
worker-288,1,74.6,66.2,69.98,1,74.6,1
worker-289,0,77.0,70.7,70.7,1,46.05,0
worker-290,1,79.4,75.2,77.09,1,79.4,1
worker-291,0,81.8,79.7,79.7,1,53.17,0
worker-292,1,84.2,84.2,84.2,1,84.2,1
worker-293,0,86.6,88.7,88.7,1,60.29,1
worker-294,1,83.4,87.6,85.71,1,83.4,1
worker-295,0,85.8,92.1,92.1,1,63.77,1
worker-296,1,88.2,96.6,92.82,1,88.2,1
worker-297,0,90.6,82.2,82.2,1,48.89,0
worker-298,1,93.0,86.7,89.54,1,93.0,1
worker-299,0,95.4,91.2,91.2,1,56.01,1
