respondent_id,cohort,district,information_treatment,private_support,perceived_peer_support,true_peer_support,baseline_misperception,wife_interested_work,posterior_peer_support,job_matching_signup,followup_job_search,followup_employment
56,1,9,0,0,0.4942,0.6862,0.1920,0,0.4529,0,0,0
57,2,10,0,1,0.2641,0.7529,0.4887,1,0.2629,1,0,0
58,3,11,1,0,0.3946,0.7306,0.3360,0,0.7483,0,0,0
59,4,12,0,1,0.3406,0.6310,0.2904,1,0.2921,0,0,0
60,5,1,0,0,0.4681,0.7197,0.2515,1,0.4492,1,1,1
61,6,2,0,1,0.4905,0.7226,0.2321,1,0.5144,1,1,0
62,7,3,0,1,0.3986,0.7336,0.3350,0,0.3794,0,0,1
63,8,4,1,0,0.4461,0.6413,0.1951,1,0.7207,1,1,0
64,1,5,1,1,0.5283,0.6945,0.1662,1,0.8091,1,0,0
65,2,6,0,0,0.2443,0.7320,0.4876,1,0.2547,1,1,1
66,3,7,0,1,0.4949,0.6978,0.2029,1,0.4871,0,0,1
67,4,8,0,0,0.4530,0.6315,0.1786,0,0.4816,0,0,0
68,5,9,0,1,0.4822,0.6434,0.1612,0,0.4561,0,1,0
69,6,10,1,1,0.4329,0.7464,0.3135,1,0.7910,0,0,1
70,7,11,0,1,0.4758,0.6934,0.2176,1,0.4801,0,0,0
71,8,12,0,1,0.4179,0.6558,0.2378,1,0.4323,0,1,0
72,1,1,0,1,0.3431,0.6713,0.3282,1,0.3323,0,0,0
73,2,2,0,1,0.4105,0.6433,0.2327,1,0.4296,1,0,0
74,3,3,0,1,0.3567,0.6799,0.3232,0,0.3990,0,0,0
75,4,4,1,0,0.3126,0.6765,0.3639,0,0.6956,0,0,0
76,5,5,0,1,0.4454,0.6873,0.2419,0,0.4507,1,0,0
77,6,6,0,1,0.5203,0.7014,0.1811,0,0.5212,0,1,1
78,7,7,0,1,0.3259,0.7068,0.3809,1,0.3360,0,1,1
79,8,8,0,0,0.3078,0.6378,0.3301,1,0.3239,0,1,1
80,1,9,0,1,0.6125,0.7168,0.1042,0,0.6388,0,0,0
81,2,10,1,1,0.2127,0.7021,0.4894,1,0.6548,0,1,0
82,3,11,0,1,0.4766,0.6442,0.1676,1,0.4569,1,1,0
83,4,12,0,1,0.4028,0.6850,0.2822,0,0.4317,1,0,0
84,5,1,0,1,0.4122,0.6829,0.2706,1,0.4361,0,0,1
85,6,2,0,1,0.4911,0.7143,0.2232,0,0.4947,0,1,0
86,7,3,1,1,0.4832,0.7547,0.2714,1,0.8338,0,0,0
87,8,4,0,0,0.5357,0.6616,0.1259,0,0.5621,0,0,0
88,1,5,0,1,0.3956,0.7052,0.3096,1,0.3621,1,1,0
89,2,6,0,1,0.4234,0.7226,0.2992,1,0.3981,0,0,0
90,3,7,0,1,0.5230,0.7099,0.1869,1,0.4670,1,0,0
91,4,8,0,1,0.3698,0.6931,0.3233,0,0.3494,0,0,0
92,5,9,1,1,0.3694,0.7088,0.3394,1,0.7337,1,0,0
93,6,10,0,1,0.3460,0.6016,0.2556,0,0.3759,0,0,1
94,7,11,0,1,0.2708,0.7496,0.4787,1,0.2119,1,1,0
95,8,12,0,1,0.2934,0.7080,0.4147,0,0.2793,1,0,0
96,1,1,0,1,0.4784,0.7291,0.2508,0,0.4752,1,1,0
97,2,2,0,1,0.5075,0.7195,0.2119,1,0.5149,0,0,0
98,3,3,1,1,0.5928,0.7312,0.1384,1,0.8889,0,1,0
99,4,4,0,1,0.6157,0.6678,0.0521,0,0.6030,1,0,0
100,5,5,0,0,0.3880,0.6958,0.3078,1,0.4043,0,1,0
101,6,6,0,1,0.5478,0.6767,0.1289,1,0.6009,0,0,0
102,7,7,0,1,0.4329,0.6963,0.2634,1,0.4204,1,0,0
103,8,8,1,1,0.4849,0.6205,0.1356,1,0.7280,0,0,0
104,1,9,1,1,0.4353,0.6654,0.2301,0,0.7196,1,0,0
105,2,10,0,1,0.2372,0.6639,0.4267,0,0.2520,1,0,1
106,3,11,0,1,0.2946,0.6484,0.3538,0,0.2682,0,1,0
107,4,12,0,1,0.4926,0.6904,0.1978,0,0.5044,0,1,0
108,5,1,0,1,0.3749,0.6674,0.2924,1,0.3728,0,0,0
109,6,2,1,1,0.4280,0.6713,0.2433,1,0.7884,1,0,0
110,7,3,0,1,0.4446,0.7016,0.2571,1,0.4458,1,0,1
111,8,4,0,1,0.5435,0.6215,0.0780,1,0.5636,0,1,1
112,1,5,0,1,0.4444,0.6769,0.2325,0,0.4305,0,1,0
113,2,6,0,1,0.3582,0.7205,0.3622,1,0.3765,0,1,0
114,3,7,0,0,0.2588,0.7241,0.4653,0,0.2158,0,0,0
115,4,8,1,1,0.5509,0.6578,0.1069,0,0.8085,1,1,0
116,5,9,0,1,0.5466,0.7339,0.1874,0,0.5677,0,0,0
117,6,10,0,1,0.4844,0.6879,0.2036,1,0.4426,0,0,1
118,7,11,0,1,0.4407,0.7312,0.2906,1,0.3894,0,1,0
119,8,12,0,1,0.4976,0.6683,0.1707,1,0.5053,0,0,0
120,1,1,0,0,0.2512,0.6844,0.4331,0,0.2908,0,0,1
121,2,2,1,1,0.4506,0.7240,0.2733,0,0.7697,1,1,1
122,3,3,0,1,0.3964,0.6949,0.2985,1,0.4054,1,1,0
123,4,4,0,1,0.4361,0.6303,0.1942,0,0.4496,0,0,0
124,5,5,0,1,0.4697,0.6444,0.1747,1,0.4750,1,1,1
125,6,6,0,0,0.3167,0.7152,0.3984,1,0.2888,0,1,1
126,7,7,1,1,0.6046,0.7005,0.0959,1,0.9058,1,1,1
127,8,8,0,0,0.3626,0.6470,0.2844,1,0.3903,0,0,0
128,1,9,0,1,0.5490,0.6625,0.1136,1,0.5378,1,1,1
129,2,10,0,1,0.5770,0.6895,0.1125,0,0.5587,0,1,1
130,3,11,0,0,0.5089,0.6828,0.1740,0,0.4596,0,0,0
131,4,12,0,0,0.4149,0.6349,0.2200,1,0.4311,0,0,0
132,5,1,1,1,0.4065,0.7284,0.3219,0,0.7581,1,0,0
133,6,2,0,1,0.4102,0.7216,0.3115,1,0.4149,0,0,0
134,7,3,0,0,0.3140,0.6737,0.3598,1,0.3093,0,0,0
135,8,4,0,1,0.5668,0.6602,0.0934,1,0.5733,0,0,0
136,1,5,0,0,0.2492,0.6930,0.4438,0,0.2598,0,0,0
137,2,6,0,0,0.4180,0.6626,0.2446,1,0.3829,0,0,0
138,3,7,1,0,0.4773,0.7333,0.2560,1,0.8402,0,1,0
139,4,8,0,0,0.3258,0.6951,0.3693,1,0.3287,0,1,1
140,5,9,0,1,0.4967,0.7389,0.2422,0,0.4884,0,1,1
141,6,10,0,0,0.3062,0.7136,0.4074,0,0.2997,0,1,1
142,7,11,0,1,0.3061,0.7599,0.4538,1,0.2924,0,0,0
143,8,12,1,1,0.4652,0.6689,0.2036,1,0.7600,0,1,0
144,1,1,1,1,0.2151,0.6638,0.4487,0,0.6310,0,0,0
145,2,2,0,0,0.3328,0.6678,0.3350,1,0.3392,1,1,1
146,3,3,0,0,0.4034,0.7091,0.3057,0,0.3858,0,0,0
147,4,4,0,1,0.4309,0.6725,0.2417,1,0.4263,1,1,0
148,5,5,0,1,0.4452,0.6616,0.2164,1,0.3994,1,0,1
149,6,6,1,1,0.6441,0.7338,0.0898,0,0.8600,0,0,0
150,7,7,0,0,0.4216,0.7197,0.2981,1,0.4609,0,0,1
151,8,8,0,1,0.5549,0.6781,0.1232,1,0.5503,0,1,0
152,1,9,0,0,0.3902,0.6813,0.2911,1,0.3707,0,1,0
153,2,10,0,1,0.3961,0.6963,0.3001,0,0.4218,1,1,0
154,3,11,0,0,0.3910,0.6927,0.3017,1,0.3709,0,0,0
155,4,12,1,1,0.3959,0.6948,0.2989,1,0.7113,0,0,0
156,5,1,0,1,0.4887,0.6807,0.1919,1,0.5089,0,0,0
157,6,2,0,1,0.5181,0.7005,0.1824,1,0.5171,0,0,0
158,7,3,0,1,0.4850,0.7317,0.2467,1,0.5003,0,1,0
159,8,4,0,0,0.3812,0.6868,0.3057,1,0.3644,0,0,0
160,1,5,0,1,0.3837,0.6434,0.2598,1,0.3439,1,1,1
161,2,6,1,0,0.2321,0.6925,0.4603,0,0.6398,1,1,1
162,3,7,0,1,0.3699,0.7338,0.3638,1,0.3451,1,1,1
163,4,8,0,1,0.4650,0.6716,0.2066,1,0.4825,1,0,0
164,5,9,0,1,0.5664,0.6611,0.0947,1,0.5469,1,0,0
165,6,10,0,1,0.2976,0.6867,0.3890,1,0.2951,0,0,0
166,7,11,1,1,0.2898,0.7078,0.4180,0,0.6622,0,0,1
167,8,12,0,1,0.5657,0.6619,0.0962,0,0.5622,1,0,0
168,1,1,0,1,0.3249,0.6913,0.3664,1,0.2692,0,1,0
169,2,2,0,1,0.4298,0.7285,0.2987,1,0.4501,1,1,0
170,3,3,0,1,0.4084,0.6700,0.2616,0,0.4266,1,1,0
171,4,4,0,1,0.4945,0.6132,0.1187,1,0.4893,1,1,0
172,5,5,1,1,0.4991,0.6632,0.1641,1,0.7584,0,1,0
173,6,6,0,0,0.2815,0.7777,0.4963,1,0.2892,0,0,0
174,7,7,0,0,0.3738,0.6887,0.3149,1,0.3350,1,1,0
175,8,8,0,1,0.4425,0.6950,0.2525,1,0.4395,1,1,0
176,1,9,0,1,0.3854,0.7307,0.3452,1,0.4100,1,1,1
177,2,10,0,1,0.4512,0.7234,0.2722,1,0.4520,0,0,1
178,3,11,1,1,0.3288,0.6922,0.3634,0,0.6882,1,1,0
179,4,12,0,1,0.3291,0.6993,0.3702,1,0.3532,0,0,1
180,5,1,0,0,0.2669,0.6177,0.3508,1,0.3141,1,0,0
181,6,2,0,1,0.5524,0.7597,0.2073,1,0.5284,1,0,0
182,7,3,0,1,0.4887,0.7650,0.2763,1,0.4852,0,0,0
183,8,4,1,1,0.4086,0.6675,0.2589,0,0.7848,1,0,1
184,1,5,1,1,0.3404,0.7145,0.3741,1,0.7448,1,1,1
185,2,6,0,0,0.4885,0.7383,0.2498,0,0.5082,0,1,1
186,3,7,0,0,0.4847,0.7114,0.2266,0,0.4864,0,0,0
187,4,8,0,0,0.4901,0.6816,0.1916,1,0.4842,1,0,0
188,5,9,0,1,0.4473,0.6836,0.2364,0,0.4120,0,0,0
189,6,10,1,1,0.4713,0.7313,0.2600,0,0.8147,1,0,0
190,7,11,0,1,0.5063,0.7709,0.2646,0,0.5370,1,0,0
191,8,12,0,1,0.3969,0.6847,0.2878,1,0.4423,1,1,0
192,1,1,0,0,0.3820,0.7026,0.3206,1,0.3766,0,0,0
193,2,2,0,1,0.3859,0.6993,0.3134,1,0.3677,0,0,0
194,3,3,0,1,0.6081,0.7490,0.1409,1,0.5900,0,0,0
195,4,4,1,1,0.4825,0.7261,0.2436,0,0.7785,1,1,0
196,5,5,0,1,0.2939,0.6477,0.3538,1,0.2770,0,0,0
197,6,6,0,1,0.4266,0.6887,0.2621,1,0.4471,0,0,0
198,7,7,0,0,0.4190,0.6990,0.2801,0,0.4234,0,0,0
199,8,8,0,1,0.4596,0.6763,0.2167,1,0.4563,1,1,1
200,1,9,0,1,0.5688,0.6506,0.0818,1,0.5786,1,1,0
201,2,10,1,1,0.4577,0.6848,0.2271,1,0.7508,1,1,1
202,3,11,0,0,0.2490,0.7020,0.4530,0,0.2477,0,0,0
203,4,12,0,0,0.4455,0.6674,0.2219,1,0.4041,0,1,0
204,5,1,0,1,0.5240,0.6749,0.1509,1,0.5047,0,0,0
205,6,2,0,0,0.2320,0.6729,0.4409,0,0.1988,0,0,0
206,7,3,1,0,0.2077,0.7130,0.5053,1,0.6570,0,1,0
207,8,4,0,0,0.2823,0.6602,0.3779,1,0.2341,0,0,0
208,1,5,0,0,0.2569,0.7274,0.4705,0,0.2219,1,0,0
209,2,6,0,1,0.3399,0.6891,0.3493,0,0.3041,1,0,0
210,3,7,0,0,0.2717,0.7139,0.4422,1,0.2870,1,1,0
211,4,8,0,0,0.3186,0.6644,0.3458,0,0.3096,0,1,1
212,5,9,1,1,0.5013,0.6564,0.1551,0,0.7462,1,0,0
213,6,10,0,1,0.3701,0.7091,0.3390,1,0.3307,1,1,0
214,7,11,0,1,0.4334,0.6879,0.2545,0,0.4059,0,0,1
215,8,12,0,1,0.5624,0.6549,0.0926,0,0.5585,1,0,0
216,1,1,0,1,0.5049,0.6693,0.1644,0,0.4880,0,0,0
217,2,2,0,0,0.4267,0.7144,0.2878,1,0.4678,0,0,0
218,3,3,1,1,0.5554,0.6983,0.1430,1,0.8342,0,0,1
219,4,4,0,1,0.6086,0.6534,0.0449,0,0.6018,1,0,0
220,5,5,0,1,0.2910,0.7082,0.4172,0,0.3125,1,1,0
221,6,6,0,0,0.3179,0.7149,0.3970,0,0.3223,0,1,0
222,7,7,0,0,0.4659,0.6812,0.2153,0,0.4703,1,0,0
223,8,8,1,1,0.4946,0.6879,0.1933,1,0.7523,1,1,0
224,1,9,1,0,0.3799,0.6324,0.2525,0,0.7446,0,0,0
225,2,10,0,0,0.2510,0.7052,0.4543,1,0.1853,1,0,0
226,3,11,0,1,0.3670,0.7005,0.3335,0,0.3490,0,1,0
227,4,12,0,0,0.3800,0.6565,0.2766,1,0.3888,0,0,0
228,5,1,0,1,0.3497,0.6798,0.3301,1,0.3542,0,1,0
229,6,2,1,1,0.5569,0.7002,0.1433,1,0.8157,1,0,0
230,7,3,0,0,0.3388,0.7212,0.3824,0,0.3348,0,0,0
231,8,4,0,1,0.3822,0.6710,0.2888,1,0.3584,0,0,0
232,1,5,0,1,0.3714,0.6796,0.3083,1,0.3837,1,1,0
233,2,6,0,1,0.2277,0.6929,0.4652,0,0.2642,0,1,1
234,3,7,0,1,0.3832,0.7342,0.3510,1,0.3669,1,1,0
235,4,8,1,1,0.5798,0.6810,0.1012,1,0.8275,1,1,1
236,5,9,0,0,0.4813,0.7085,0.2272,1,0.5149,0,0,0
237,6,10,0,0,0.2962,0.6786,0.3824,1,0.2782,0,0,1
238,7,11,0,1,0.5313,0.7411,0.2098,1,0.5613,1,0,1
239,8,12,0,0,0.3783,0.6931,0.3148,0,0.3923,0,0,0
240,1,1,0,0,0.3367,0.6660,0.3293,1,0.3150,0,0,0
241,2,2,1,1,0.5732,0.6819,0.1086,0,0.8399,0,0,0
242,3,3,0,1,0.3681,0.6839,0.3158,0,0.3602,0,0,0
243,4,4,0,1,0.5086,0.6835,0.1748,1,0.5007,0,1,0
244,5,5,0,1,0.4998,0.6792,0.1794,1,0.4653,0,1,1
245,6,6,0,0,0.3065,0.6883,0.3818,1,0.3155,1,0,0
246,7,7,1,1,0.3073,0.7290,0.4217,0,0.7346,1,1,0
247,8,8,0,1,0.5312,0.6678,0.1366,0,0.4866,0,1,0
248,1,9,0,1,0.4631,0.6318,0.1688,1,0.4765,1,1,0
249,2,10,0,1,0.4421,0.6796,0.2375,0,0.4382,0,0,0
250,3,11,0,1,0.4216,0.6723,0.2507,1,0.4203,1,0,0
251,4,12,0,0,0.4580,0.7028,0.2448,0,0.5079,0,0,0
252,5,1,1,1,0.3761,0.6541,0.2780,1,0.6971,0,0,0
253,6,2,0,0,0.1984,0.7643,0.5659,0,0.1927,0,0,0
254,7,3,0,1,0.5345,0.6990,0.1646,0,0.5810,1,0,1
255,8,4,0,0,0.5052,0.6428,0.1376,0,0.4923,0,0,0
256,1,5,0,1,0.3386,0.6928,0.3543,1,0.3317,0,0,1
257,2,6,0,0,0.3348,0.6553,0.3205,0,0.3824,0,1,1
258,3,7,1,0,0.2902,0.6850,0.3948,0,0.6723,0,0,1
259,4,8,0,1,0.5026,0.6938,0.1913,1,0.5050,0,0,1
260,5,9,0,1,0.3007,0.7013,0.4006,0,0.3093,0,0,0
261,6,10,0,0,0.3226,0.7055,0.3830,0,0.2827,1,0,0
262,7,11,0,0,0.2321,0.7062,0.4741,0,0.2265,0,0,0
263,8,12,1,1,0.4234,0.6257,0.2024,0,0.6870,1,1,1
264,1,1,1,0,0.2985,0.6640,0.3655,1,0.7040,1,1,1
265,2,2,0,0,0.2512,0.6673,0.4160,1,0.2218,1,0,0
266,3,3,0,1,0.3758,0.7640,0.3882,1,0.3448,1,0,0
267,4,4,0,1,0.4800,0.6641,0.1842,1,0.5183,1,0,0
268,5,5,0,1,0.5351,0.6661,0.1310,1,0.5119,1,0,1
269,6,6,1,1,0.4822,0.6830,0.2008,1,0.8060,1,1,1
270,7,7,0,1,0.3978,0.7113,0.3135,0,0.4200,0,0,0
271,8,8,0,1,0.4193,0.6360,0.2167,0,0.3998,0,0,0
272,1,9,0,1,0.7112,0.6583,0.0000,1,0.7204,0,0,0
273,2,10,0,1,0.3651,0.7075,0.3423,0,0.3746,0,1,0
274,3,11,0,1,0.2988,0.7375,0.4387,1,0.2952,0,0,0
275,4,12,1,0,0.3014,0.6834,0.3821,1,0.6596,0,1,0
276,5,1,0,1,0.6187,0.7110,0.0923,1,0.6554,1,1,1
277,6,2,0,1,0.5182,0.7254,0.2072,1,0.5257,1,1,0
278,7,3,0,1,0.4635,0.6603,0.1968,1,0.4375,0,1,0
279,8,4,0,1,0.5768,0.6448,0.0680,1,0.5520,1,1,0
280,1,5,0,1,0.5988,0.6530,0.0542,1,0.5755,1,0,1
281,2,6,1,1,0.3330,0.7205,0.3875,0,0.6835,0,0,0
282,3,7,0,0,0.3557,0.7176,0.3619,1,0.3756,0,0,0
283,4,8,0,0,0.3427,0.6667,0.3240,1,0.3425,1,1,1
284,5,9,0,1,0.5008,0.7585,0.2578,1,0.5196,0,1,0
285,6,10,0,1,0.4215,0.7358,0.3143,0,0.4025,1,1,1
286,7,11,1,1,0.4195,0.7121,0.2926,1,0.7266,0,1,1
287,8,12,0,1,0.4548,0.6590,0.2042,1,0.4335,0,0,0
288,1,1,0,1,0.3305,0.7470,0.4165,1,0.3485,0,1,0
289,2,2,0,1,0.4514,0.7041,0.2527,1,0.4383,1,1,1
290,3,3,0,0,0.4196,0.7883,0.3688,1,0.4374,0,0,0
291,4,4,0,0,0.5506,0.6548,0.1042,1,0.5195,0,0,0
292,5,5,1,0,0.3703,0.6503,0.2801,1,0.7181,1,1,0
293,6,6,0,0,0.3595,0.7473,0.3878,1,0.3660,1,0,0
294,7,7,0,0,0.3567,0.7487,0.3920,1,0.3627,1,1,0
295,8,8,0,1,0.6151,0.6376,0.0225,1,0.6134,1,0,1
296,1,9,0,1,0.4570,0.7038,0.2468,0,0.4353,0,1,0
297,2,10,0,1,0.5151,0.6793,0.1642,1,0.5551,0,1,0
298,3,11,1,1,0.5509,0.7177,0.1668,1,0.8027,1,1,0
299,4,12,0,0,0.2776,0.6679,0.3903,1,0.2559,0,1,0
300,5,1,0,0,0.2888,0.7060,0.4171,0,0.2858,0,1,0
301,6,2,0,1,0.5130,0.7232,0.2103,1,0.4945,0,1,1
302,7,3,0,0,0.3151,0.7108,0.3957,1,0.3016,0,0,0
303,8,4,1,1,0.3817,0.6845,0.3028,1,0.7347,1,1,0
304,1,5,1,1,0.3710,0.7240,0.3530,1,0.7098,1,0,1
305,2,6,0,0,0.1721,0.7148,0.5427,1,0.1642,0,0,0
306,3,7,0,0,0.4648,0.7020,0.2372,1,0.4360,1,1,0
307,4,8,0,1,0.4599,0.6655,0.2056,1,0.4786,1,1,0
308,5,9,0,1,0.6231,0.6863,0.0632,1,0.6153,1,1,0
309,6,10,1,1,0.4649,0.6688,0.2039,0,0.7618,0,0,0
310,7,11,0,1,0.4638,0.7416,0.2778,1,0.4554,1,1,0
311,8,12,0,0,0.4114,0.6435,0.2321,1,0.4127,0,0,0
312,1,1,0,1,0.4844,0.6473,0.1630,1,0.5300,1,1,0
313,2,2,0,1,0.6122,0.6965,0.0843,1,0.5708,0,0,0
314,3,3,0,0,0.3924,0.7307,0.3383,1,0.3675,1,0,0
315,4,4,1,1,0.6383,0.6818,0.0435,0,0.8115,0,0,0
316,5,5,0,1,0.4658,0.7268,0.2610,1,0.4944,0,0,0
317,6,6,0,1,0.2831,0.6702,0.3871,1,0.3020,1,1,0
318,7,7,0,1,0.5087,0.7065,0.1978,1,0.5521,1,0,0
319,8,8,0,1,0.4777,0.6830,0.2054,1,0.4504,1,1,0
320,1,9,0,1,0.3041,0.6146,0.3105,1,0.3208,0,1,0
321,2,10,1,1,0.4007,0.7121,0.3113,1,0.7520,1,0,0
322,3,11,0,0,0.5360,0.7337,0.1977,0,0.5338,0,0,1
323,4,12,0,0,0.2827,0.6514,0.3687,0,0.2958,0,0,0
324,5,1,0,1,0.3999,0.7113,0.3114,1,0.4348,1,1,0
325,6,2,0,1,0.4534,0.7323,0.2788,1,0.4342,0,0,0
326,7,3,1,1,0.5365,0.7017,0.1652,0,0.7700,0,0,0
327,8,4,0,1,0.5129,0.6976,0.1847,1,0.4776,0,1,1
328,1,5,0,0,0.2809,0.6657,0.3848,0,0.2731,0,0,0
329,2,6,0,1,0.5024,0.7260,0.2236,1,0.4792,1,0,1
330,3,7,0,1,0.4211,0.7095,0.2884,1,0.4445,0,0,0
331,4,8,0,1,0.2641,0.6703,0.4062,1,0.2768,0,0,0
332,5,9,1,1,0.4569,0.6985,0.2416,1,0.7703,1,1,0
333,6,10,0,1,0.3167,0.6557,0.3390,0,0.3337,0,0,0
334,7,11,0,0,0.4871,0.7071,0.2200,0,0.4779,0,0,0
335,8,12,0,0,0.3205,0.6591,0.3386,0,0.2962,0,0,0
336,1,1,0,1,0.4372,0.6853,0.2481,0,0.4351,1,0,0
337,2,2,0,1,0.3741,0.7149,0.3408,1,0.3959,1,1,1
338,3,3,1,1,0.3450,0.7365,0.3915,1,0.7542,1,0,0
339,4,4,0,1,0.5117,0.6964,0.1847,0,0.5084,1,1,0
340,5,5,0,1,0.4300,0.6729,0.2429,0,0.4322,1,1,0
341,6,6,0,0,0.4116,0.6467,0.2351,0,0.3995,0,1,0
342,7,7,0,1,0.4298,0.7261,0.2963,1,0.3914,1,0,0
343,8,8,1,1,0.4129,0.7123,0.2995,0,0.7837,1,0,0
344,1,9,1,1,0.4049,0.6998,0.2950,0,0.7748,1,1,0
345,2,10,0,1,0.3841,0.7116,0.3275,1,0.3619,1,1,0
346,3,11,0,0,0.3282,0.7520,0.4239,0,0.3333,1,1,1
347,4,12,0,1,0.4482,0.6370,0.1889,1,0.4714,0,0,1
348,5,1,0,1,0.3548,0.7109,0.3561,1,0.3452,0,1,1
349,6,2,1,1,0.2898,0.7057,0.4159,1,0.6857,1,0,0
350,7,3,0,0,0.4964,0.6814,0.1850,0,0.5323,1,0,0
351,8,4,0,0,0.6053,0.6871,0.0818,0,0.5668,1,1,1
352,1,5,0,1,0.4002,0.6637,0.2635,0,0.4470,0,0,0
353,2,6,0,0,0.3300,0.6548,0.3248,0,0.3606,0,0,0
354,3,7,0,1,0.6057,0.7061,0.1003,0,0.5973,0,1,1
355,4,8,1,1,0.4594,0.6825,0.2231,0,0.7857,1,0,0
356,5,9,0,0,0.6412,0.6628,0.0216,0,0.6570,0,1,0
357,6,10,0,0,0.3685,0.7162,0.3477,1,0.3477,0,0,0
358,7,11,0,1,0.5069,0.7183,0.2114,1,0.5012,0,0,0
359,8,12,0,1,0.4188,0.6806,0.2617,1,0.3869,0,0,0
360,1,1,0,1,0.4026,0.6648,0.2623,1,0.3943,0,1,1
361,2,2,1,1,0.5042,0.6650,0.1608,0,0.7624,1,0,0
362,3,3,0,0,0.3220,0.6808,0.3588,0,0.3153,0,0,1
363,4,4,0,1,0.5770,0.7020,0.1250,1,0.5847,1,1,0
364,5,5,0,0,0.4902,0.7036,0.2134,0,0.5000,0,0,0
