worker_id,origin_norm_group,family_obligation_index,generalized_trust_index,formal_protection_index,local_labor_demand_index,supports_employment_protection,employed,changed_region_for_work,female_labor_force_participation
low_-056,low_family_obligation,0.21,0.668,0.56,0.97,0,1,0,1
low_-057,low_family_obligation,0.22,0.68,0.63,0.995,1,0,1,1
low_-058,low_family_obligation,0.23,0.692,0.7,1.02,0,1,1,0
low_-059,low_family_obligation,0.24,0.704,0.42,1.045,0,1,0,1
low_-060,low_family_obligation,0.25,0.656,0.49,0.92,1,1,1,0
low_-061,low_family_obligation,0.26,0.668,0.56,0.945,0,1,0,0
low_-062,low_family_obligation,0.27,0.68,0.63,0.97,0,0,1,1
low_-063,low_family_obligation,0.21,0.692,0.7,0.995,1,1,1,0
low_-064,low_family_obligation,0.22,0.704,0.42,1.02,0,1,0,0
low_-065,low_family_obligation,0.23,0.656,0.49,1.045,1,0,1,1
low_-066,low_family_obligation,0.24,0.668,0.56,0.92,0,1,1,0
low_-067,low_family_obligation,0.25,0.68,0.63,0.945,0,1,0,1
low_-068,low_family_obligation,0.26,0.692,0.7,0.97,1,1,1,0
low_-069,low_family_obligation,0.27,0.704,0.42,0.995,0,1,0,0
low_-070,low_family_obligation,0.21,0.656,0.49,1.02,0,0,0,1
low_-071,low_family_obligation,0.22,0.668,0.56,1.045,1,1,1,0
low_-072,low_family_obligation,0.23,0.68,0.63,0.92,0,1,0,0
low_-073,low_family_obligation,0.24,0.692,0.7,0.945,1,0,1,1
low_-074,low_family_obligation,0.25,0.704,0.42,0.97,0,1,1,0
low_-075,low_family_obligation,0.26,0.656,0.49,0.995,0,1,0,1
low_-076,low_family_obligation,0.27,0.668,0.56,1.02,1,0,1,1
low_-077,low_family_obligation,0.21,0.68,0.63,1.045,0,1,0,0
low_-078,low_family_obligation,0.22,0.692,0.7,0.92,0,0,0,1
low_-079,low_family_obligation,0.23,0.704,0.42,0.945,1,1,1,0
low_-080,low_family_obligation,0.24,0.656,0.49,0.97,0,1,0,0
low_-081,low_family_obligation,0.25,0.668,0.56,0.995,0,0,1,1
low_-082,low_family_obligation,0.26,0.68,0.63,1.02,0,1,1,0
low_-083,low_family_obligation,0.27,0.692,0.7,1.045,0,1,0,1
low_-084,low_family_obligation,0.21,0.704,0.42,0.92,1,0,1,1
low_-085,low_family_obligation,0.22,0.656,0.49,0.945,0,1,1,0
low_-086,low_family_obligation,0.23,0.668,0.56,0.97,0,1,0,1
low_-087,low_family_obligation,0.24,0.68,0.63,0.995,1,1,1,0
low_-088,low_family_obligation,0.25,0.692,0.7,1.02,0,1,0,0
low_-089,low_family_obligation,0.26,0.704,0.42,1.045,0,0,1,1
medi-000,medium_family_obligation,0.47,0.556,0.7,0.92,1,0,1,1
medi-001,medium_family_obligation,0.48,0.568,0.42,0.945,1,1,1,0
medi-002,medium_family_obligation,0.49,0.58,0.49,0.97,0,1,0,1
medi-003,medium_family_obligation,0.5,0.592,0.56,0.995,1,0,1,1
medi-004,medium_family_obligation,0.51,0.604,0.63,1.02,1,1,0,0
medi-005,medium_family_obligation,0.52,0.556,0.7,1.045,0,0,0,1
medi-006,medium_family_obligation,0.53,0.568,0.42,0.92,1,1,1,1
medi-007,medium_family_obligation,0.47,0.58,0.49,0.945,0,1,0,0
medi-008,medium_family_obligation,0.48,0.592,0.56,0.97,0,0,1,1
medi-009,medium_family_obligation,0.49,0.604,0.63,0.995,1,1,1,0
medi-010,medium_family_obligation,0.5,0.556,0.7,1.02,0,1,0,0
medi-011,medium_family_obligation,0.51,0.568,0.42,1.045,1,0,1,1
medi-012,medium_family_obligation,0.52,0.58,0.49,0.92,1,1,0,0
medi-013,medium_family_obligation,0.53,0.592,0.56,0.945,0,0,0,1
medi-014,medium_family_obligation,0.47,0.604,0.63,0.97,1,1,1,1
medi-015,medium_family_obligation,0.48,0.556,0.7,0.995,0,1,0,0
medi-016,medium_family_obligation,0.49,0.568,0.42,1.02,0,0,0,1
medi-017,medium_family_obligation,0.5,0.58,0.49,1.045,1,1,1,0
medi-018,medium_family_obligation,0.51,0.592,0.56,0.92,0,1,0,0
medi-019,medium_family_obligation,0.52,0.604,0.63,0.945,1,0,1,1
medi-020,medium_family_obligation,0.53,0.556,0.7,0.97,1,1,0,0
medi-021,medium_family_obligation,0.47,0.568,0.42,0.995,0,1,0,1
medi-022,medium_family_obligation,0.48,0.58,0.49,1.02,1,0,1,1
medi-023,medium_family_obligation,0.49,0.592,0.56,1.045,0,1,0,0
medi-024,medium_family_obligation,0.5,0.604,0.63,0.92,0,0,0,1
medi-025,medium_family_obligation,0.51,0.556,0.7,0.945,1,1,1,1
medi-026,medium_family_obligation,0.52,0.568,0.42,0.97,0,1,0,0
medi-027,medium_family_obligation,0.53,0.58,0.49,0.995,0,0,1,1
medi-028,medium_family_obligation,0.47,0.592,0.56,1.02,1,1,1,0
medi-029,medium_family_obligation,0.48,0.604,0.63,1.045,0,1,0,1
medi-030,medium_family_obligation,0.49,0.556,0.7,0.92,1,0,1,1
medi-031,medium_family_obligation,0.5,0.568,0.42,0.945,1,1,0,0
medi-032,medium_family_obligation,0.51,0.58,0.49,0.97,0,0,0,1
medi-033,medium_family_obligation,0.52,0.592,0.56,0.995,1,1,1,1
medi-034,medium_family_obligation,0.53,0.604,0.63,1.02,0,1,0,0
medi-035,medium_family_obligation,0.47,0.556,0.7,1.045,0,0,1,1
medi-036,medium_family_obligation,0.48,0.568,0.42,0.92,1,1,1,0
medi-037,medium_family_obligation,0.49,0.58,0.49,0.945,0,1,0,0
medi-038,medium_family_obligation,0.5,0.592,0.56,0.97,1,0,1,1
medi-039,medium_family_obligation,0.51,0.604,0.63,0.995,1,1,0,0
medi-040,medium_family_obligation,0.52,0.556,0.7,1.02,0,0,0,1
medi-041,medium_family_obligation,0.53,0.568,0.42,1.045,1,1,1,1
medi-042,medium_family_obligation,0.47,0.58,0.49,0.92,0,1,0,0
medi-043,medium_family_obligation,0.48,0.592,0.56,0.945,0,0,0,1
medi-044,medium_family_obligation,0.49,0.604,0.63,0.97,1,1,1,0
medi-045,medium_family_obligation,0.5,0.556,0.7,0.995,0,1,0,0
medi-046,medium_family_obligation,0.51,0.568,0.42,1.02,1,0,1,1
medi-047,medium_family_obligation,0.52,0.58,0.49,1.045,1,1,0,0
medi-048,medium_family_obligation,0.53,0.592,0.56,0.92,0,1,0,1
medi-049,medium_family_obligation,0.47,0.604,0.63,0.945,1,0,1,1
medi-050,medium_family_obligation,0.48,0.556,0.7,0.97,0,1,0,0
medi-051,medium_family_obligation,0.49,0.568,0.42,0.995,0,0,0,1
medi-052,medium_family_obligation,0.5,0.58,0.49,1.02,1,1,1,1
medi-053,medium_family_obligation,0.51,0.592,0.56,1.045,0,1,0,0
medi-054,medium_family_obligation,0.52,0.604,0.63,0.92,0,0,1,1
medi-055,medium_family_obligation,0.53,0.556,0.7,0.945,1,1,1,0
medi-056,medium_family_obligation,0.47,0.568,0.42,0.97,0,1,0,1
medi-057,medium_family_obligation,0.48,0.58,0.49,0.995,1,0,1,1
medi-058,medium_family_obligation,0.49,0.592,0.56,1.02,1,1,0,0
medi-059,medium_family_obligation,0.5,0.604,0.63,1.045,0,0,0,1
medi-060,medium_family_obligation,0.51,0.556,0.7,0.92,1,1,1,1
medi-061,medium_family_obligation,0.52,0.568,0.42,0.945,0,1,0,0
medi-062,medium_family_obligation,0.53,0.58,0.49,0.97,0,0,1,1
medi-063,medium_family_obligation,0.47,0.592,0.56,0.995,1,1,1,0
medi-064,medium_family_obligation,0.48,0.604,0.63,1.02,0,1,0,0
medi-065,medium_family_obligation,0.49,0.556,0.7,1.045,1,0,1,1
medi-066,medium_family_obligation,0.5,0.568,0.42,0.92,1,1,0,0
medi-067,medium_family_obligation,0.51,0.58,0.49,0.945,0,0,0,1
medi-068,medium_family_obligation,0.52,0.592,0.56,0.97,1,1,1,1
medi-069,medium_family_obligation,0.53,0.604,0.63,0.995,0,1,0,0
medi-070,medium_family_obligation,0.47,0.556,0.7,1.02,0,0,0,1
medi-071,medium_family_obligation,0.48,0.568,0.42,1.045,1,1,1,0
medi-072,medium_family_obligation,0.49,0.58,0.49,0.92,0,1,0,0
medi-073,medium_family_obligation,0.5,0.592,0.56,0.945,1,0,1,1
medi-074,medium_family_obligation,0.51,0.604,0.63,0.97,1,1,0,0
medi-075,medium_family_obligation,0.52,0.556,0.7,0.995,0,1,0,1
medi-076,medium_family_obligation,0.53,0.568,0.42,1.02,1,0,1,1
medi-077,medium_family_obligation,0.47,0.58,0.49,1.045,0,1,0,0
medi-078,medium_family_obligation,0.48,0.592,0.56,0.92,0,0,0,1
medi-079,medium_family_obligation,0.49,0.604,0.63,0.945,1,1,1,1
medi-080,medium_family_obligation,0.5,0.556,0.7,0.97,0,1,0,0
medi-081,medium_family_obligation,0.51,0.568,0.42,0.995,0,0,1,1
medi-082,medium_family_obligation,0.52,0.58,0.49,1.02,1,1,1,0
medi-083,medium_family_obligation,0.53,0.592,0.56,1.045,0,1,0,1
medi-084,medium_family_obligation,0.47,0.604,0.63,0.92,1,0,1,1
medi-085,medium_family_obligation,0.48,0.556,0.7,0.945,1,1,0,0
medi-086,medium_family_obligation,0.49,0.568,0.42,0.97,0,0,0,1
medi-087,medium_family_obligation,0.5,0.58,0.49,0.995,1,1,1,1
medi-088,medium_family_obligation,0.51,0.592,0.56,1.02,0,1,0,0
medi-089,medium_family_obligation,0.52,0.604,0.63,1.045,0,0,1,1
high-000,high_family_obligation,0.73,0.456,0.56,0.92,1,0,1,1
high-001,high_family_obligation,0.74,0.468,0.63,0.945,1,1,0,1
high-002,high_family_obligation,0.75,0.48,0.7,0.97,0,0,0,1
high-003,high_family_obligation,0.76,0.492,0.42,0.995,1,0,1,1
high-004,high_family_obligation,0.77,0.504,0.49,1.02,1,1,0,0
high-005,high_family_obligation,0.78,0.456,0.56,1.045,0,0,0,1
high-006,high_family_obligation,0.79,0.468,0.63,0.92,1,1,1,1
high-007,high_family_obligation,0.73,0.48,0.7,0.945,1,1,0,0
high-008,high_family_obligation,0.74,0.492,0.42,0.97,0,0,1,1
high-009,high_family_obligation,0.75,0.504,0.49,0.995,1,1,0,1
high-010,high_family_obligation,0.76,0.456,0.56,1.02,0,1,0,0
high-011,high_family_obligation,0.77,0.468,0.63,1.045,1,0,1,1
high-012,high_family_obligation,0.78,0.48,0.7,0.92,1,1,0,0
high-013,high_family_obligation,0.79,0.492,0.42,0.945,0,0,0,1
high-014,high_family_obligation,0.73,0.504,0.49,0.97,1,1,1,1
high-015,high_family_obligation,0.74,0.456,0.56,0.995,1,1,0,0
high-016,high_family_obligation,0.75,0.468,0.63,1.02,0,0,0,1
high-017,high_family_obligation,0.76,0.48,0.7,1.045,1,1,0,1
high-018,high_family_obligation,0.77,0.492,0.42,0.92,1,1,0,0
high-019,high_family_obligation,0.78,0.504,0.49,0.945,1,0,1,1
high-020,high_family_obligation,0.79,0.456,0.56,0.97,1,1,0,0
high-021,high_family_obligation,0.73,0.468,0.63,0.995,0,0,0,1
high-022,high_family_obligation,0.74,0.48,0.7,1.02,1,0,1,1
high-023,high_family_obligation,0.75,0.492,0.42,1.045,1,1,0,0
high-024,high_family_obligation,0.76,0.504,0.49,0.92,0,0,0,1
high-025,high_family_obligation,0.77,0.456,0.56,0.945,1,1,1,1
high-026,high_family_obligation,0.78,0.468,0.63,0.97,1,1,0,0
high-027,high_family_obligation,0.79,0.48,0.7,0.995,0,0,1,1
high-028,high_family_obligation,0.73,0.492,0.42,1.02,1,1,0,1
high-029,high_family_obligation,0.74,0.504,0.49,1.045,0,0,0,1
high-030,high_family_obligation,0.75,0.456,0.56,0.92,1,0,1,1
high-031,high_family_obligation,0.76,0.468,0.63,0.945,1,1,0,0
high-032,high_family_obligation,0.77,0.48,0.7,0.97,0,0,0,1
high-033,high_family_obligation,0.78,0.492,0.42,0.995,1,1,1,1
high-034,high_family_obligation,0.79,0.504,0.49,1.02,1,1,0,0
high-035,high_family_obligation,0.73,0.456,0.56,1.045,0,0,1,1
high-036,high_family_obligation,0.74,0.468,0.63,0.92,1,1,0,1
high-037,high_family_obligation,0.75,0.48,0.7,0.945,0,1,0,0
high-038,high_family_obligation,0.76,0.492,0.42,0.97,1,0,1,1
high-039,high_family_obligation,0.77,0.504,0.49,0.995,1,1,0,0
high-040,high_family_obligation,0.78,0.456,0.56,1.02,0,0,0,1
high-041,high_family_obligation,0.79,0.468,0.63,1.045,1,1,1,1
high-042,high_family_obligation,0.73,0.48,0.7,0.92,1,1,0,0
high-043,high_family_obligation,0.74,0.492,0.42,0.945,0,0,0,1
high-044,high_family_obligation,0.75,0.504,0.49,0.97,1,1,0,1
high-045,high_family_obligation,0.76,0.456,0.56,0.995,1,1,0,0
high-046,high_family_obligation,0.77,0.468,0.63,1.02,1,0,1,1
high-047,high_family_obligation,0.78,0.48,0.7,1.045,1,1,0,1
high-048,high_family_obligation,0.79,0.492,0.42,0.92,0,0,0,1
high-049,high_family_obligation,0.73,0.504,0.49,0.945,1,0,1,1
high-050,high_family_obligation,0.74,0.456,0.56,0.97,1,1,0,0
high-051,high_family_obligation,0.75,0.468,0.63,0.995,0,0,0,1
high-052,high_family_obligation,0.76,0.48,0.7,1.02,1,1,1,1
high-053,high_family_obligation,0.77,0.492,0.42,1.045,1,1,0,0
high-054,high_family_obligation,0.78,0.504,0.49,0.92,0,0,1,1
high-055,high_family_obligation,0.79,0.456,0.56,0.945,1,1,0,1
high-056,high_family_obligation,0.73,0.468,0.63,0.97,0,0,0,1
high-057,high_family_obligation,0.74,0.48,0.7,0.995,1,0,1,1
high-058,high_family_obligation,0.75,0.492,0.42,1.02,1,1,0,0
high-059,high_family_obligation,0.76,0.504,0.49,1.045,0,0,0,1
high-060,high_family_obligation,0.77,0.456,0.56,0.92,1,1,1,1
high-061,high_family_obligation,0.78,0.468,0.63,0.945,1,1,0,0
high-062,high_family_obligation,0.79,0.48,0.7,0.97,0,0,1,1
high-063,high_family_obligation,0.73,0.492,0.42,0.995,1,1,0,1
high-064,high_family_obligation,0.74,0.504,0.49,1.02,0,1,0,0
high-065,high_family_obligation,0.75,0.456,0.56,1.045,1,0,1,1
high-066,high_family_obligation,0.76,0.468,0.63,0.92,1,1,0,0
high-067,high_family_obligation,0.77,0.48,0.7,0.945,0,0,0,1
high-068,high_family_obligation,0.78,0.492,0.42,0.97,1,1,1,1
high-069,high_family_obligation,0.79,0.504,0.49,0.995,1,1,0,0
high-070,high_family_obligation,0.73,0.456,0.56,1.02,0,0,0,1
high-071,high_family_obligation,0.74,0.468,0.63,1.045,1,1,1,1
high-072,high_family_obligation,0.75,0.48,0.7,0.92,1,1,0,0
high-073,high_family_obligation,0.76,0.492,0.42,0.945,1,0,1,1
high-074,high_family_obligation,0.77,0.504,0.49,0.97,1,1,0,1
high-075,high_family_obligation,0.78,0.456,0.56,0.995,0,0,0,1
high-076,high_family_obligation,0.79,0.468,0.63,1.02,1,0,1,1
high-077,high_family_obligation,0.73,0.48,0.7,1.045,1,1,0,0
high-078,high_family_obligation,0.74,0.492,0.42,0.92,0,0,0,1
high-079,high_family_obligation,0.75,0.504,0.49,0.945,1,1,1,1
high-080,high_family_obligation,0.76,0.456,0.56,0.97,1,1,0,0
high-081,high_family_obligation,0.77,0.468,0.63,0.995,0,0,1,1
high-082,high_family_obligation,0.78,0.48,0.7,1.02,1,1,0,1
high-083,high_family_obligation,0.79,0.492,0.42,1.045,0,1,0,1
high-084,high_family_obligation,0.73,0.504,0.49,0.92,1,0,1,1
high-085,high_family_obligation,0.74,0.456,0.56,0.945,1,1,0,0
high-086,high_family_obligation,0.75,0.468,0.63,0.97,0,0,0,1
high-087,high_family_obligation,0.76,0.48,0.7,0.995,1,1,1,1
high-088,high_family_obligation,0.77,0.492,0.42,1.02,1,1,0,0
high-089,high_family_obligation,0.78,0.504,0.49,1.045,0,0,1,1
