date,group,employment_status,hours,weekly_earnings,weight,age_band,sex
2023Q2,college,employed,44.08,1376.61,1.211,25-34,male
2023Q2,college,employed,34.44,1500.82,0.813,45-54,female
2023Q2,college,employed,36.75,1656.8,1.031,35-44,female
2023Q2,college,nilf,0.0,0.0,1.273,25-34,male
2023Q2,college,nilf,0.0,0.0,1.388,25-34,male
2023Q2,college,nilf,0.0,0.0,0.847,45-54,male
2023Q2,college,employed,43.66,1341.57,0.87,35-44,male
2023Q2,college,employed,43.01,1379.03,0.815,45-54,male
2023Q2,college,nilf,0.0,0.0,0.953,45-54,male
2023Q2,college,employed,30.65,1595.53,0.937,45-54,female
2023Q2,college,employed,38.17,1480.85,1.003,35-44,female
2023Q2,college,employed,39.13,1357.44,0.815,25-34,female
2023Q2,college,employed,38.88,1731.37,1.064,35-44,male
2023Q2,college,nilf,0.0,0.0,0.884,25-34,male
2023Q2,college,employed,41.52,1626.24,1.384,35-44,female
2023Q2,college,employed,42.61,1562.62,1.118,45-54,male
2023Q2,college,employed,42.16,1593.32,1.036,25-34,female
2023Q2,college,employed,39.91,1469.23,1.072,35-44,male
2023Q2,college,nilf,0.0,0.0,1.167,35-44,male
2023Q2,college,employed,40.18,1553.4,0.861,45-54,female
2023Q2,college,employed,39.51,1448.61,1.367,45-54,female
2023Q2,college,employed,44.98,1397.72,1.268,25-34,male
2023Q2,college,nilf,0.0,0.0,1.198,25-34,male
2023Q2,college,employed,32.85,1212.74,0.87,35-44,female
2023Q2,college,employed,44.69,1326.04,0.994,35-44,male
2023Q2,college,employed,39.49,1613.76,0.986,45-54,female
2023Q2,college,employed,38.75,2000.48,1.24,35-44,male
2023Q2,college,nilf,0.0,0.0,0.895,25-34,male
2023Q2,college,employed,36.4,1434.26,1.049,25-34,male
2023Q2,college,employed,39.93,1527.73,1.116,25-34,female
2023Q2,college,employed,39.74,1890.99,0.908,25-34,male
2023Q2,college,employed,42.92,1419.11,1.317,35-44,female
2023Q2,college,employed,39.86,1420.32,1.139,25-34,female
2023Q2,college,employed,34.0,1321.1,1.137,35-44,female
2023Q2,college,employed,40.66,1328.02,0.809,25-34,female
2023Q2,college,employed,36.82,1235.9,1.241,45-54,male
2023Q2,college,employed,36.58,1719.8,1.056,35-44,female
2023Q2,college,unemployed,0.0,0.0,1.235,35-44,female
2023Q2,college,employed,40.31,1714.6,0.891,45-54,male
2023Q2,college,employed,44.93,1291.18,1.051,35-44,male
2023Q2,college,nilf,0.0,0.0,1.35,45-54,female
2023Q2,college,employed,38.56,1353.59,1.008,45-54,female
2023Q2,college,employed,39.3,1798.69,1.059,25-34,male
2023Q2,college,employed,39.28,1203.05,0.981,45-54,female
2023Q2,college,employed,33.54,1401.67,1.178,25-34,male
2023Q2,college,employed,42.89,1719.12,1.336,35-44,male
2023Q2,college,nilf,0.0,0.0,1.028,35-44,female
2023Q2,college,employed,37.13,1457.34,1.321,35-44,female
2023Q2,college,employed,39.61,1561.04,1.082,35-44,male
2023Q2,college,employed,30.66,1342.44,0.876,25-34,male
2023Q2,college,employed,42.84,1291.7,0.95,25-34,female
2023Q2,college,unemployed,0.0,0.0,1.256,35-44,male
2023Q2,noncollege,nilf,0.0,0.0,1.35,45-54,male
2023Q2,noncollege,employed,43.55,879.8,1.261,25-34,female
2023Q2,noncollege,employed,46.8,700.82,1.112,25-34,male
2023Q2,noncollege,employed,47.29,923.89,0.886,25-34,male
2023Q2,noncollege,employed,41.27,881.45,1.087,45-54,female
2023Q2,noncollege,nilf,0.0,0.0,1.205,45-54,male
2023Q2,noncollege,employed,41.5,983.36,1.241,45-54,female
2023Q2,noncollege,employed,44.98,929.2,0.918,25-34,male
2023Q2,noncollege,employed,30.08,625.1,1.112,45-54,female
2023Q2,noncollege,employed,36.51,1011.28,1.334,45-54,female
2023Q2,noncollege,employed,45.2,1046.37,0.806,45-54,male
2023Q2,noncollege,nilf,0.0,0.0,1.136,25-34,female
2023Q2,noncollege,employed,40.15,1057.63,1.185,25-34,male
2023Q2,noncollege,employed,38.34,1163.17,0.829,35-44,female
2023Q2,noncollege,employed,44.36,976.05,0.909,25-34,male
2023Q2,noncollege,employed,38.67,881.53,0.89,45-54,female
2023Q2,noncollege,employed,31.61,967.1,0.938,45-54,male
2023Q2,noncollege,nilf,0.0,0.0,1.138,45-54,male
2023Q2,noncollege,nilf,0.0,0.0,0.896,25-34,female
2023Q2,noncollege,employed,34.66,857.29,1.24,25-34,female
2023Q2,noncollege,employed,43.4,775.25,1.136,35-44,female
2023Q2,noncollege,employed,45.09,1134.51,0.994,45-54,female
2023Q2,noncollege,employed,39.91,1355.92,1.151,25-34,male
2023Q2,noncollege,employed,40.6,949.27,1.077,45-54,male
2023Q2,noncollege,employed,47.17,1030.67,1.21,35-44,male
2023Q2,noncollege,employed,45.41,1220.22,1.337,25-34,male
2023Q2,noncollege,employed,43.06,652.48,1.166,35-44,male
2023Q2,noncollege,employed,37.3,1172.51,1.178,35-44,male
2023Q2,noncollege,unemployed,0.0,0.0,1.273,45-54,male
2023Q2,noncollege,employed,37.82,811.18,0.848,25-34,male
2023Q2,noncollege,nilf,0.0,0.0,1.156,45-54,male
2023Q2,noncollege,nilf,0.0,0.0,1.016,45-54,male
2023Q2,noncollege,employed,33.91,880.47,0.968,25-34,female
2023Q2,noncollege,employed,39.34,881.27,0.823,35-44,female
2023Q2,noncollege,employed,36.62,1102.41,1.248,35-44,male
2023Q2,noncollege,employed,28.54,991.93,1.051,35-44,male
2023Q2,noncollege,unemployed,0.0,0.0,1.001,45-54,male
2023Q2,noncollege,unemployed,0.0,0.0,1.095,25-34,female
2023Q2,noncollege,nilf,0.0,0.0,1.144,45-54,female
2023Q2,noncollege,employed,39.87,744.24,1.055,35-44,male
2023Q2,noncollege,employed,36.27,968.63,0.96,35-44,male
2023Q2,noncollege,employed,36.65,818.17,1.157,45-54,female
2023Q2,noncollege,nilf,0.0,0.0,1.121,25-34,male
2023Q2,noncollege,employed,51.57,939.6,1.161,25-34,female
2023Q2,noncollege,employed,45.17,1177.66,0.979,35-44,female
2023Q2,noncollege,employed,28.8,780.52,1.178,25-34,female
2023Q2,noncollege,nilf,0.0,0.0,1.05,45-54,male
2023Q2,noncollege,employed,27.73,1010.93,1.068,25-34,male
2023Q2,noncollege,employed,35.68,986.53,1.279,45-54,female
2023Q2,noncollege,employed,45.72,952.28,1.062,25-34,male
2023Q2,noncollege,employed,49.31,865.61,1.363,35-44,male
2023Q2,noncollege,nilf,0.0,0.0,1.342,45-54,male
2023Q2,noncollege,employed,38.84,1066.38,0.991,35-44,male
2023Q2,noncollege,nilf,0.0,0.0,1.142,25-34,male
2023Q2,noncollege,employed,36.84,863.38,1.197,35-44,male
2023Q2,noncollege,employed,43.43,931.67,1.291,35-44,male
2023Q2,noncollege,employed,40.13,1046.41,0.864,35-44,female
2023Q2,noncollege,employed,28.82,914.81,1.354,45-54,male
2023Q2,noncollege,unemployed,0.0,0.0,0.859,35-44,female
2023Q2,noncollege,employed,35.2,1010.6,1.348,35-44,male
2023Q3,college,employed,42.75,1469.76,1.149,45-54,female
2023Q3,college,employed,38.52,1290.57,0.941,45-54,female
2023Q3,college,employed,35.14,1591.32,0.898,45-54,female
2023Q3,college,employed,45.62,1438.22,1.159,35-44,male
2023Q3,college,employed,38.78,1728.32,1.265,35-44,female
2023Q3,college,employed,44.58,1516.99,0.989,45-54,male
2023Q3,college,nilf,0.0,0.0,0.923,35-44,male
2023Q3,college,employed,37.78,1293.53,1.13,35-44,male
2023Q3,college,employed,46.96,1472.14,1.15,35-44,male
2023Q3,college,employed,43.35,1575.34,0.891,25-34,male
2023Q3,college,employed,38.57,1390.72,1.284,35-44,female
2023Q3,college,employed,43.14,1073.4,0.982,45-54,male
2023Q3,college,employed,39.35,1455.63,1.104,35-44,male
2023Q3,college,employed,37.24,1369.0,0.802,25-34,male
2023Q3,college,employed,36.77,1398.5,1.095,45-54,female
2023Q3,college,employed,34.47,1691.21,1.134,45-54,male
2023Q3,college,employed,37.15,1487.38,1.225,35-44,male
2023Q3,college,employed,50.34,1290.63,1.003,35-44,male
2023Q3,college,unemployed,0.0,0.0,1.189,25-34,female
2023Q3,college,employed,41.77,1421.5,1.339,45-54,male
2023Q3,college,employed,41.92,1352.92,1.309,35-44,male
2023Q3,college,employed,40.15,1313.98,1.362,25-34,female
2023Q3,college,employed,45.83,1300.2,0.908,35-44,male
2023Q3,college,employed,48.25,1031.24,1.38,25-34,male
2023Q3,college,employed,40.32,1298.33,1.064,25-34,male
2023Q3,college,employed,38.99,1364.53,1.26,25-34,female
2023Q3,college,nilf,0.0,0.0,1.016,45-54,female
2023Q3,college,employed,32.89,1507.42,0.944,35-44,female
2023Q3,college,employed,39.73,1479.03,1.386,45-54,male
2023Q3,college,nilf,0.0,0.0,0.935,35-44,female
2023Q3,college,employed,38.34,1327.0,1.392,25-34,female
2023Q3,college,employed,38.43,1259.09,1.093,25-34,female
2023Q3,college,employed,43.08,1607.23,0.984,35-44,female
2023Q3,college,nilf,0.0,0.0,1.128,35-44,male
2023Q3,college,employed,38.8,1578.5,1.155,45-54,female
2023Q3,college,employed,50.29,1564.9,1.092,45-54,male
2023Q3,college,employed,39.45,1447.99,1.373,35-44,male
2023Q3,college,nilf,0.0,0.0,1.152,35-44,female
2023Q3,college,employed,38.1,1583.64,1.149,35-44,female
2023Q3,college,employed,46.96,1792.21,0.964,45-54,female
2023Q3,college,employed,37.2,1182.04,1.293,25-34,male
2023Q3,college,employed,38.69,1381.95,0.919,45-54,male
2023Q3,college,employed,44.93,1546.66,0.988,45-54,male
2023Q3,college,employed,39.48,1148.56,0.868,45-54,female
2023Q3,college,employed,47.28,1476.69,0.943,25-34,female
2023Q3,college,employed,42.06,1697.62,1.354,35-44,female
2023Q3,college,employed,46.14,1545.77,0.937,45-54,female
2023Q3,college,employed,45.14,1343.56,1.0,45-54,male
2023Q3,college,employed,39.35,1566.59,1.162,45-54,female
2023Q3,college,employed,43.61,1266.1,0.989,45-54,female
2023Q3,college,employed,35.01,1414.89,0.989,45-54,male
2023Q3,college,employed,37.92,1364.03,1.043,35-44,male
2023Q3,college,employed,40.2,1291.24,0.895,25-34,female
2023Q3,college,employed,35.33,1437.21,1.073,35-44,male
2023Q3,college,employed,39.44,1020.06,1.283,35-44,female
2023Q3,college,employed,39.66,1334.52,0.813,45-54,male
2023Q3,college,nilf,0.0,0.0,1.374,45-54,male
2023Q3,college,unemployed,0.0,0.0,0.939,35-44,female
2023Q3,college,employed,39.66,1378.56,0.904,25-34,female
2023Q3,college,employed,37.01,1270.69,1.374,25-34,male
2023Q3,noncollege,nilf,0.0,0.0,1.019,35-44,male
2023Q3,noncollege,employed,36.72,955.07,1.261,45-54,female
2023Q3,noncollege,employed,44.81,1148.8,1.346,45-54,male
2023Q3,noncollege,employed,38.15,1076.93,1.053,45-54,female
2023Q3,noncollege,unemployed,0.0,0.0,1.247,45-54,female
2023Q3,noncollege,employed,41.4,723.46,1.374,45-54,female
2023Q3,noncollege,employed,42.32,1402.57,1.349,25-34,male
2023Q3,noncollege,unemployed,0.0,0.0,1.132,25-34,female
2023Q3,noncollege,employed,34.73,897.69,1.263,25-34,female
2023Q3,noncollege,employed,33.14,1085.15,1.325,35-44,female
2023Q3,noncollege,employed,40.05,1118.92,1.196,35-44,male
2023Q3,noncollege,employed,23.4,956.7,1.069,35-44,female
2023Q3,noncollege,employed,39.63,893.39,0.942,45-54,male
2023Q3,noncollege,employed,37.16,1056.8,1.03,45-54,male
2023Q3,noncollege,employed,34.82,596.88,1.034,45-54,male
2023Q3,noncollege,employed,32.89,1025.92,0.943,25-34,female
2023Q3,noncollege,nilf,0.0,0.0,0.907,45-54,female
2023Q3,noncollege,nilf,0.0,0.0,1.03,35-44,female
2023Q3,noncollege,nilf,0.0,0.0,0.898,25-34,male
2023Q3,noncollege,nilf,0.0,0.0,0.925,45-54,female
2023Q3,noncollege,employed,48.57,947.63,1.097,25-34,female
2023Q3,noncollege,employed,52.15,876.49,0.836,25-34,female
2023Q3,noncollege,employed,41.62,1064.31,1.145,25-34,female
2023Q3,noncollege,employed,39.4,632.57,1.052,35-44,female
2023Q3,noncollege,employed,37.51,951.7,0.807,25-34,female
2023Q3,noncollege,employed,42.45,1213.79,1.034,25-34,male
2023Q3,noncollege,nilf,0.0,0.0,1.357,25-34,female
2023Q3,noncollege,employed,40.9,1067.25,1.204,35-44,male
2023Q3,noncollege,unemployed,0.0,0.0,0.945,35-44,male
2023Q3,noncollege,unemployed,0.0,0.0,1.035,35-44,male
2023Q3,noncollege,unemployed,0.0,0.0,1.238,35-44,female
2023Q3,noncollege,employed,37.41,875.53,1.147,45-54,male
2023Q3,noncollege,nilf,0.0,0.0,1.164,45-54,male
2023Q3,noncollege,employed,37.71,1234.95,1.127,45-54,male
2023Q3,noncollege,employed,29.95,905.61,1.075,45-54,male
2023Q3,noncollege,nilf,0.0,0.0,1.045,35-44,female
2023Q3,noncollege,employed,37.26,870.95,1.097,45-54,female
2023Q3,noncollege,nilf,0.0,0.0,1.027,45-54,female
2023Q3,noncollege,employed,36.06,976.99,0.894,45-54,female
2023Q3,noncollege,unemployed,0.0,0.0,0.886,25-34,female
2023Q3,noncollege,nilf,0.0,0.0,0.9,35-44,female
2023Q3,noncollege,employed,48.22,1033.04,0.845,35-44,male
2023Q3,noncollege,employed,40.07,1046.95,1.297,45-54,male
2023Q3,noncollege,employed,33.6,1026.16,0.873,25-34,male
2023Q3,noncollege,unemployed,0.0,0.0,0.953,45-54,female
2023Q3,noncollege,employed,25.48,1051.95,1.104,45-54,male
2023Q3,noncollege,employed,39.14,1080.59,1.057,25-34,female
2023Q3,noncollege,employed,52.25,1128.04,1.183,35-44,female
2023Q3,noncollege,employed,36.93,1004.52,1.395,45-54,male
2023Q3,noncollege,employed,33.6,1314.78,1.115,35-44,male
2023Q3,noncollege,employed,42.77,1323.73,0.97,25-34,female
2023Q3,noncollege,nilf,0.0,0.0,1.304,35-44,female
2023Q3,noncollege,employed,43.99,766.54,0.977,45-54,female
2023Q3,noncollege,employed,32.53,1014.9,0.957,25-34,female
2023Q3,noncollege,employed,35.99,832.92,1.342,35-44,male
2023Q3,noncollege,unemployed,0.0,0.0,0.949,35-44,male
2023Q3,noncollege,employed,48.67,864.02,1.279,25-34,female
2023Q3,noncollege,nilf,0.0,0.0,1.226,35-44,male
2023Q3,noncollege,employed,36.87,1091.02,1.129,45-54,male
2023Q3,noncollege,employed,33.18,785.41,1.266,35-44,male
2023Q4,college,employed,39.66,1397.53,1.046,45-54,female
2023Q4,college,employed,46.07,1722.35,1.323,25-34,female
2023Q4,college,employed,43.75,1430.89,0.807,25-34,male
2023Q4,college,employed,40.0,1583.01,0.857,25-34,female
2023Q4,college,nilf,0.0,0.0,1.314,35-44,male
2023Q4,college,employed,41.73,1566.99,0.87,35-44,male
2023Q4,college,employed,39.58,1996.44,1.162,25-34,female
2023Q4,college,employed,32.68,1529.26,1.033,45-54,female
2023Q4,college,employed,46.92,1519.39,0.818,45-54,female
2023Q4,college,employed,36.98,1292.81,1.358,35-44,female
2023Q4,college,employed,36.46,1675.86,0.883,35-44,female
2023Q4,college,unemployed,0.0,0.0,1.271,45-54,male
2023Q4,college,nilf,0.0,0.0,0.954,45-54,female
2023Q4,college,nilf,0.0,0.0,0.949,25-34,male
2023Q4,college,employed,41.68,993.21,1.141,45-54,male
2023Q4,college,nilf,0.0,0.0,0.952,35-44,male
2023Q4,college,employed,38.19,1517.25,1.042,25-34,female
2023Q4,college,employed,37.74,1797.51,0.815,45-54,female
2023Q4,college,employed,45.62,1687.76,0.836,45-54,male
2023Q4,college,employed,38.13,1735.07,1.175,25-34,male
2023Q4,college,nilf,0.0,0.0,1.243,35-44,male
2023Q4,college,employed,40.65,1521.42,0.883,35-44,female
2023Q4,college,employed,38.59,1219.49,0.976,35-44,female
2023Q4,college,employed,37.43,1449.53,0.932,25-34,female
2023Q4,college,employed,41.27,1308.01,1.346,35-44,female
2023Q4,college,nilf,0.0,0.0,1.064,45-54,female
2023Q4,college,employed,34.06,1659.94,1.002,45-54,female
2023Q4,college,employed,34.67,1417.49,1.082,25-34,female
2023Q4,college,employed,35.32,1259.23,1.261,45-54,female
2023Q4,college,employed,40.36,1515.09,0.885,45-54,male
2023Q4,college,employed,39.67,1700.63,0.964,45-54,male
2023Q4,college,nilf,0.0,0.0,1.265,25-34,female
2023Q4,college,employed,37.61,1222.29,0.85,45-54,female
2023Q4,college,employed,35.9,1273.04,1.236,45-54,male
2023Q4,college,employed,43.74,1617.65,1.242,35-44,male
2023Q4,college,employed,40.11,1162.59,1.089,35-44,female
2023Q4,college,employed,38.5,1769.02,1.227,45-54,female
2023Q4,college,employed,31.88,1262.38,1.249,45-54,male
2023Q4,college,employed,42.46,1287.14,1.123,25-34,male
2023Q4,college,employed,40.61,1476.82,0.931,35-44,male
2023Q4,college,nilf,0.0,0.0,1.106,35-44,female
2023Q4,college,unemployed,0.0,0.0,1.339,45-54,female
2023Q4,college,employed,44.6,1628.03,1.315,25-34,female
2023Q4,college,employed,40.74,1205.93,0.987,25-34,female
2023Q4,college,employed,41.6,1446.98,1.149,45-54,male
2023Q4,college,nilf,0.0,0.0,0.802,45-54,female
2023Q4,college,employed,42.12,1397.02,1.298,35-44,female
2023Q4,college,employed,34.2,987.46,0.878,35-44,male
2023Q4,college,employed,33.9,1525.29,0.837,25-34,male
2023Q4,college,nilf,0.0,0.0,0.883,35-44,male
2023Q4,college,employed,42.35,1486.01,1.076,35-44,male
2023Q4,college,employed,35.23,1366.16,1.052,25-34,male
2023Q4,college,employed,34.56,1539.4,1.252,45-54,male
2023Q4,college,employed,35.3,1553.01,0.983,45-54,female
2023Q4,college,employed,44.19,1697.04,0.955,45-54,female
2023Q4,college,employed,37.18,1731.63,0.845,45-54,male
2023Q4,college,employed,36.0,1462.8,1.255,35-44,male
2023Q4,college,employed,40.71,1158.28,0.804,45-54,male
2023Q4,college,employed,37.5,1212.0,1.017,35-44,female
2023Q4,college,employed,37.84,1194.45,0.974,45-54,male
2023Q4,noncollege,unemployed,0.0,0.0,1.075,45-54,male
2023Q4,noncollege,unemployed,0.0,0.0,0.882,35-44,male
2023Q4,noncollege,employed,43.43,1003.04,1.125,45-54,male
2023Q4,noncollege,unemployed,0.0,0.0,0.891,25-34,male
2023Q4,noncollege,employed,39.63,834.2,1.073,25-34,male
2023Q4,noncollege,employed,42.31,1155.32,1.002,45-54,female
2023Q4,noncollege,employed,36.92,736.49,0.898,35-44,female
2023Q4,noncollege,employed,36.3,706.81,0.803,25-34,female
2023Q4,noncollege,employed,37.46,1097.8,0.887,35-44,male
2023Q4,noncollege,employed,37.42,689.76,1.392,25-34,male
2023Q4,noncollege,employed,42.33,1299.2,0.824,35-44,female
2023Q4,noncollege,employed,47.49,974.62,1.174,45-54,male
2023Q4,noncollege,employed,31.62,941.08,1.119,25-34,female
2023Q4,noncollege,employed,42.5,809.28,0.897,35-44,male
2023Q4,noncollege,nilf,0.0,0.0,1.269,35-44,male
2023Q4,noncollege,employed,46.47,814.26,1.392,35-44,male
2023Q4,noncollege,employed,47.07,821.96,1.26,25-34,male
2023Q4,noncollege,employed,43.85,1017.36,1.13,25-34,female
2023Q4,noncollege,employed,43.29,886.78,1.368,35-44,female
2023Q4,noncollege,employed,39.54,854.32,1.387,45-54,female
2023Q4,noncollege,unemployed,0.0,0.0,1.02,45-54,male
2023Q4,noncollege,employed,40.43,902.64,0.912,25-34,female
2023Q4,noncollege,nilf,0.0,0.0,1.161,45-54,female
2023Q4,noncollege,employed,49.17,1174.63,1.375,35-44,female
2023Q4,noncollege,employed,37.92,890.7,0.929,45-54,female
