county_id,region_id,sector,baseline_employment_1990,sector_share_1990,sector_employment_1990
C05E,R1,manufacturing,81516,0.416597,33959
C05E,R1,logistics,81516,0.17267,14075
C05E,R1,health,81516,0.086138,7022
C05E,R1,retail,81516,0.04459,3635
C05E,R1,construction,81516,0.220991,18014
C05E,R1,business,81516,0.059014,4811
C06W,R1,manufacturing,30993,0.247352,7666
C06W,R1,logistics,30993,0.445339,13802
C06W,R1,health,30993,0.010452,324
C06W,R1,retail,30993,0.193376,5993
C06W,R1,construction,30993,0.027406,849
C06W,R1,business,30993,0.076075,2358
C06E,R1,manufacturing,87311,0.460421,40200
C06E,R1,logistics,87311,0.224142,19570
C06E,R1,health,87311,0.147951,12918
C06E,R1,retail,87311,0.025398,2218
C06E,R1,construction,87311,0.061829,5398
C06E,R1,business,87311,0.080259,7008
C07W,R2,manufacturing,110205,0.216517,23861
C07W,R2,logistics,110205,0.12472,13745
C07W,R2,health,110205,0.0299,3295
C07W,R2,retail,110205,0.088797,9786
C07W,R2,construction,110205,0.325071,35824
C07W,R2,business,110205,0.214994,23693
C07E,R2,manufacturing,99509,0.088193,8776
C07E,R2,logistics,99509,0.522453,51989
C07E,R2,health,99509,0.019151,1906
C07E,R2,retail,99509,0.025419,2529
C07E,R2,construction,99509,0.119758,11917
C07E,R2,business,99509,0.225028,22392
C08W,R2,manufacturing,60499,0.306674,18553
C08W,R2,logistics,60499,0.177648,10748
C08W,R2,health,60499,0.075917,4593
C08W,R2,retail,60499,0.070439,4261
C08W,R2,construction,60499,0.254039,15369
C08W,R2,business,60499,0.115283,6975
C08E,R2,manufacturing,98972,0.160106,15846
C08E,R2,logistics,98972,0.256635,25400
C08E,R2,health,98972,0.003325,329
C08E,R2,retail,98972,0.050078,4956
C08E,R2,construction,98972,0.52029,51494
C08E,R2,business,98972,0.009566,947
C09W,R2,manufacturing,94210,0.040011,3769
C09W,R2,logistics,94210,0.378086,35619
C09W,R2,health,94210,0.252255,23765
C09W,R2,retail,94210,0.00861,811
C09W,R2,construction,94210,0.117914,11109
C09W,R2,business,94210,0.203124,19136
C09E,R2,manufacturing,50275,0.325526,16366
C09E,R2,logistics,50275,0.293905,14776
C09E,R2,health,50275,0.020268,1019
C09E,R2,retail,50275,0.038457,1933
C09E,R2,construction,50275,0.20211,10161
C09E,R2,business,50275,0.119734,6020
C10W,R2,manufacturing,25165,0.248864,6263
C10W,R2,logistics,25165,0.2493,6274
C10W,R2,health,25165,0.018558,467
C10W,R2,retail,25165,0.058735,1478
C10W,R2,construction,25165,0.331801,8350
C10W,R2,business,25165,0.092742,2334
C10E,R2,manufacturing,30951,0.211778,6555
C10E,R2,logistics,30951,0.284567,8808
C10E,R2,health,30951,0.076656,2373
C10E,R2,retail,30951,0.055749,1725
C10E,R2,construction,30951,0.06947,2150
C10E,R2,business,30951,0.30178,9340
C11W,R2,manufacturing,21804,0.121222,2643
C11W,R2,logistics,21804,0.523653,11418
C11W,R2,health,21804,0.10891,2375
C11W,R2,retail,21804,0.186986,4077
C11W,R2,construction,21804,0.025129,548
C11W,R2,business,21804,0.0341,744
C11E,R2,manufacturing,91427,0.19616,17934
C11E,R2,logistics,91427,0.326615,29861
C11E,R2,health,91427,0.031489,2879
C11E,R2,retail,91427,0.290861,26593
C11E,R2,construction,91427,0.120019,10973
C11E,R2,business,91427,0.034857,3187
C12W,R2,manufacturing,67132,0.450261,30227
C12W,R2,logistics,67132,0.161389,10834
C12W,R2,health,67132,0.031796,2135
C12W,R2,retail,67132,0.046887,3148
C12W,R2,construction,67132,0.12857,8631
C12W,R2,business,67132,0.181097,12157
C12E,R2,manufacturing,33155,0.039705,1316
C12E,R2,logistics,33155,0.167697,5560
C12E,R2,health,33155,0.180594,5988
C12E,R2,retail,33155,0.143722,4765
C12E,R2,construction,33155,0.423705,14048
C12E,R2,business,33155,0.044577,1478
C13W,R3,manufacturing,58040,0.159149,9237
C13W,R3,logistics,58040,0.219761,12755
C13W,R3,health,58040,0.298459,17323
C13W,R3,retail,58040,0.024266,1408
C13W,R3,construction,58040,0.145652,8454
C13W,R3,business,58040,0.152713,8863
C13E,R3,manufacturing,99245,0.004676,464
C13E,R3,logistics,99245,0.16376,16252
C13E,R3,health,99245,0.172604,17130
C13E,R3,retail,99245,0.200096,19858
C13E,R3,construction,99245,0.022358,2219
C13E,R3,business,99245,0.436506,43321
C14W,R3,manufacturing,80015,0.09577,7663
C14W,R3,logistics,80015,0.071122,5691
C14W,R3,health,80015,0.233102,18652
C14W,R3,retail,80015,0.177635,14213
C14W,R3,construction,80015,0.223435,17878
C14W,R3,business,80015,0.198935,15918
C14E,R3,manufacturing,24853,0.051926,1291
C14E,R3,logistics,24853,0.036734,913
C14E,R3,health,24853,0.472197,11736
C14E,R3,retail,24853,0.201083,4998
C14E,R3,construction,24853,0.152144,3781
C14E,R3,business,24853,0.085915,2135
C15W,R3,manufacturing,50787,0.528078,26819
C15W,R3,logistics,50787,0.083275,4229
C15W,R3,health,50787,0.113941,5787
C15W,R3,retail,50787,0.040274,2045
C15W,R3,construction,50787,0.101062,5133
C15W,R3,business,50787,0.13337,6773
C15E,R3,manufacturing,56260,0.043057,2422
C15E,R3,logistics,56260,0.032731,1841
C15E,R3,health,56260,0.236885,13327
C15E,R3,retail,56260,0.16848,9479
C15E,R3,construction,56260,0.193674,10896
C15E,R3,business,56260,0.325174,18294
C16W,R3,manufacturing,52928,0.057392,3038
C16W,R3,logistics,52928,0.153197,8108
C16W,R3,health,52928,0.296959,15717
C16W,R3,retail,52928,0.033906,1795
C16W,R3,construction,52928,0.24547,12992
C16W,R3,business,52928,0.213076,11278
C16E,R3,manufacturing,50513,0.083356,4211
C16E,R3,logistics,50513,0.170781,8627
C16E,R3,health,50513,0.160671,8116
C16E,R3,retail,50513,0.262807,13275
C16E,R3,construction,50513,0.275344,13908
C16E,R3,business,50513,0.047041,2376
C17W,R3,manufacturing,97206,0.027364,2660
C17W,R3,logistics,97206,0.301083,29267
C17W,R3,health,97206,0.142896,13890
C17W,R3,retail,97206,0.042643,4145
C17W,R3,construction,97206,0.111795,10867
C17W,R3,business,97206,0.37422,36376
C17E,R3,manufacturing,96080,0.07881,7572
C17E,R3,logistics,96080,0.154619,14856
C17E,R3,health,96080,0.28564,27444
C17E,R3,retail,96080,0.159443,15319
C17E,R3,construction,96080,0.067183,6455
C17E,R3,business,96080,0.254305,24434
C18W,R3,manufacturing,33299,0.11295,3761
C18W,R3,logistics,33299,0.093265,3106
C18W,R3,health,33299,0.208771,6952
C18W,R3,retail,33299,0.157413,5242
C18W,R3,construction,33299,0.077823,2591
C18W,R3,business,33299,0.349779,11647
C18E,R3,manufacturing,63353,0.076835,4868
C18E,R3,logistics,63353,0.047811,3029
C18E,R3,health,63353,0.102476,6492
C18E,R3,retail,63353,0.092114,5836
C18E,R3,construction,63353,0.119254,7555
C18E,R3,business,63353,0.56151,35573
