applicant_id,applicant_group,job_frame,offered_wage_index,care_obligation_index,self_promotion_confidence_index,perceived_norm_fit_index,application_submitted
app-0116,men,neutral,1.0,0.42,0.495,0.6,1
app-0117,women,neutral,1.0,0.48,0.55,0.592,1
app-0118,men,neutral,1.0,0.48,0.55,0.612,1
app-0119,women,neutral,1.0,0.54,0.605,0.604,1
app-0120,men,neutral,1.0,0.54,0.605,0.624,1
app-0121,women,neutral,1.0,0.24,0.66,0.556,1
app-0122,men,neutral,1.0,0.24,0.66,0.576,1
app-0123,women,neutral,1.0,0.3,0.715,0.568,1
app-0124,men,neutral,1.0,0.3,0.715,0.588,1
app-0125,women,neutral,1.0,0.36,0.77,0.58,1
app-0126,men,neutral,1.0,0.36,0.77,0.6,1
app-0127,women,neutral,1.0,0.42,0.44,0.592,0
app-0128,men,neutral,1.0,0.42,0.44,0.612,0
app-0129,women,neutral,1.0,0.48,0.495,0.604,0
app-0130,men,neutral,1.0,0.48,0.495,0.624,0
app-0131,women,neutral,1.0,0.54,0.55,0.556,0
app-0132,men,neutral,1.0,0.54,0.55,0.576,0
app-0133,women,neutral,1.0,0.24,0.605,0.568,0
app-0134,men,neutral,1.0,0.24,0.605,0.588,0
app-0135,women,neutral,1.0,0.3,0.66,0.58,0
app-0136,men,neutral,1.0,0.3,0.66,0.6,0
app-0137,women,neutral,1.0,0.36,0.715,0.592,0
app-0138,men,neutral,1.0,0.36,0.715,0.612,0
app-0139,women,neutral,1.0,0.42,0.77,0.604,0
app-0140,men,neutral,1.0,0.42,0.77,0.624,1
app-0141,women,neutral,1.0,0.48,0.44,0.556,1
app-0142,men,neutral,1.0,0.48,0.44,0.576,1
app-0143,women,neutral,1.0,0.54,0.495,0.568,1
app-0144,men,neutral,1.0,0.54,0.495,0.588,1
app-0145,women,neutral,1.0,0.24,0.55,0.58,1
app-0146,men,neutral,1.0,0.24,0.55,0.6,1
app-0147,women,neutral,1.0,0.3,0.605,0.592,1
app-0148,men,neutral,1.0,0.3,0.605,0.612,1
app-0149,women,neutral,1.0,0.36,0.66,0.604,1
app-0150,men,neutral,1.0,0.36,0.66,0.624,1
app-0151,women,neutral,1.0,0.42,0.715,0.556,1
app-0152,men,neutral,1.0,0.42,0.715,0.576,1
app-0153,women,neutral,1.0,0.48,0.77,0.568,0
app-0154,men,neutral,1.0,0.48,0.77,0.588,0
app-0155,women,neutral,1.0,0.54,0.44,0.58,0
app-0156,men,neutral,1.0,0.54,0.44,0.6,0
app-0157,women,neutral,1.0,0.24,0.495,0.592,0
app-0158,men,neutral,1.0,0.24,0.495,0.612,0
app-0159,women,neutral,1.0,0.3,0.55,0.604,0
app-0160,men,neutral,1.0,0.3,0.55,0.624,0
app-0161,women,team_based,0.98,0.3,0.55,0.606,0
app-0162,men,team_based,0.98,0.3,0.55,0.586,0
app-0163,women,team_based,0.98,0.36,0.605,0.618,0
app-0164,men,team_based,0.98,0.36,0.605,0.598,0
app-0165,women,team_based,0.98,0.42,0.66,0.63,0
app-0166,men,team_based,0.98,0.42,0.66,0.61,0
app-0167,women,team_based,0.98,0.48,0.715,0.642,1
app-0168,men,team_based,0.98,0.48,0.715,0.622,1
app-0169,women,team_based,0.98,0.54,0.77,0.654,1
app-0170,men,team_based,0.98,0.54,0.77,0.634,1
app-0171,women,team_based,0.98,0.24,0.44,0.606,1
app-0172,men,team_based,0.98,0.24,0.44,0.586,1
app-0173,women,team_based,0.98,0.3,0.495,0.618,1
app-0174,men,team_based,0.98,0.3,0.495,0.598,1
app-0175,women,team_based,0.98,0.36,0.55,0.63,1
app-0176,men,team_based,0.98,0.36,0.55,0.61,1
app-0177,women,team_based,0.98,0.42,0.605,0.642,1
app-0178,men,team_based,0.98,0.42,0.605,0.622,1
app-0179,women,team_based,0.98,0.48,0.66,0.654,1
app-0180,men,team_based,0.98,0.48,0.66,0.634,0
app-0181,women,team_based,0.98,0.54,0.715,0.606,0
app-0182,men,team_based,0.98,0.54,0.715,0.586,0
app-0183,women,team_based,0.98,0.24,0.77,0.618,0
app-0184,men,team_based,0.98,0.24,0.77,0.598,0
app-0185,women,team_based,0.98,0.3,0.44,0.63,0
app-0186,men,team_based,0.98,0.3,0.44,0.61,0
app-0187,women,team_based,0.98,0.36,0.495,0.642,0
app-0188,men,team_based,0.98,0.36,0.495,0.622,0
app-0189,women,team_based,0.98,0.42,0.55,0.654,0
app-0190,men,team_based,0.98,0.42,0.55,0.634,0
app-0191,women,team_based,0.98,0.48,0.605,0.606,0
app-0192,men,team_based,0.98,0.48,0.605,0.586,0
app-0193,women,team_based,0.98,0.54,0.66,0.618,0
app-0194,men,team_based,0.98,0.54,0.66,0.598,1
app-0195,women,team_based,0.98,0.24,0.715,0.63,1
app-0196,men,team_based,0.98,0.24,0.715,0.61,1
app-0197,women,team_based,0.98,0.3,0.77,0.642,1
app-0198,men,team_based,0.98,0.3,0.77,0.622,1
app-0199,women,team_based,0.98,0.36,0.44,0.654,1
app-0200,men,team_based,0.98,0.36,0.44,0.634,1
app-0201,women,team_based,0.98,0.42,0.495,0.606,1
app-0202,men,team_based,0.98,0.42,0.495,0.586,1
app-0203,women,team_based,0.98,0.48,0.55,0.618,1
app-0204,men,team_based,0.98,0.48,0.55,0.598,1
app-0205,women,team_based,0.98,0.54,0.605,0.63,1
app-0206,men,team_based,0.98,0.54,0.605,0.61,1
app-0207,women,team_based,0.98,0.24,0.66,0.642,1
app-0208,men,team_based,0.98,0.24,0.66,0.622,0
app-0209,women,team_based,0.98,0.3,0.715,0.654,0
app-0210,men,team_based,0.98,0.3,0.715,0.634,0
app-0211,women,team_based,0.98,0.36,0.77,0.606,0
app-0212,men,team_based,0.98,0.36,0.77,0.586,0
app-0213,women,team_based,0.98,0.42,0.44,0.618,0
app-0214,men,team_based,0.98,0.42,0.44,0.598,0
app-0215,women,team_based,0.98,0.48,0.495,0.63,0
app-0216,men,team_based,0.98,0.48,0.495,0.61,0
app-0217,women,team_based,0.98,0.54,0.55,0.642,0
app-0218,men,team_based,0.98,0.54,0.55,0.622,0
app-0219,women,team_based,0.98,0.24,0.605,0.654,0
app-0220,men,team_based,0.98,0.24,0.605,0.634,0
app-0221,women,team_based,0.98,0.3,0.66,0.606,1
app-0222,men,team_based,0.98,0.3,0.66,0.586,1
app-0223,women,team_based,0.98,0.36,0.715,0.618,1
app-0224,men,team_based,0.98,0.36,0.715,0.598,1
app-0225,women,team_based,0.98,0.42,0.77,0.63,1
app-0226,men,team_based,0.98,0.42,0.77,0.61,1
app-0227,women,team_based,0.98,0.48,0.44,0.642,1
app-0228,men,team_based,0.98,0.48,0.44,0.622,1
app-0229,women,team_based,0.98,0.54,0.495,0.654,1
app-0230,men,team_based,0.98,0.54,0.495,0.634,1
app-0231,women,team_based,0.98,0.24,0.55,0.606,1
app-0232,men,team_based,0.98,0.24,0.55,0.586,1
app-0233,women,team_based,0.98,0.3,0.605,0.618,1
app-0234,men,team_based,0.98,0.3,0.605,0.598,1
app-0235,women,team_based,0.98,0.36,0.66,0.63,0
app-0236,men,team_based,0.98,0.36,0.66,0.61,0
app-0237,women,team_based,0.98,0.42,0.715,0.642,0
app-0238,men,team_based,0.98,0.42,0.715,0.622,0
app-0239,women,team_based,0.98,0.48,0.77,0.654,0
app-0240,men,team_based,0.98,0.48,0.77,0.634,0
app-0241,women,team_based,0.98,0.54,0.44,0.606,0
app-0242,men,team_based,0.98,0.54,0.44,0.586,0
app-0243,women,team_based,0.98,0.24,0.495,0.618,0
app-0244,men,team_based,0.98,0.24,0.495,0.598,0
app-0245,women,team_based,0.98,0.3,0.55,0.63,0
app-0246,men,team_based,0.98,0.3,0.55,0.61,0
app-0247,women,team_based,0.98,0.36,0.605,0.642,0
app-0248,men,team_based,0.98,0.36,0.605,0.622,1
app-0249,women,team_based,0.98,0.42,0.66,0.654,1
app-0250,men,team_based,0.98,0.42,0.66,0.634,1
app-0251,women,team_based,0.98,0.48,0.715,0.606,1
app-0252,men,team_based,0.98,0.48,0.715,0.586,1
app-0253,women,team_based,0.98,0.54,0.77,0.618,1
app-0254,men,team_based,0.98,0.54,0.77,0.598,1
app-0255,women,team_based,0.98,0.24,0.44,0.63,1
app-0256,men,team_based,0.98,0.24,0.44,0.61,1
app-0257,women,team_based,0.98,0.3,0.495,0.642,1
app-0258,men,team_based,0.98,0.3,0.495,0.622,1
app-0259,women,team_based,0.98,0.36,0.55,0.654,1
app-0260,men,team_based,0.98,0.36,0.55,0.634,1
app-0261,women,team_based,0.98,0.42,0.605,0.606,0
app-0262,men,team_based,0.98,0.42,0.605,0.586,0
app-0263,women,team_based,0.98,0.48,0.66,0.618,0
app-0264,men,team_based,0.98,0.48,0.66,0.598,0
app-0265,women,team_based,0.98,0.54,0.715,0.63,0
app-0266,men,team_based,0.98,0.54,0.715,0.61,0
app-0267,women,team_based,0.98,0.24,0.77,0.642,0
app-0268,men,team_based,0.98,0.24,0.77,0.622,0
app-0269,women,team_based,0.98,0.3,0.44,0.654,0
app-0270,men,team_based,0.98,0.3,0.44,0.634,0
app-0271,women,team_based,0.98,0.36,0.495,0.606,0
app-0272,men,team_based,0.98,0.36,0.495,0.586,0
app-0273,women,team_based,0.98,0.42,0.55,0.618,0
app-0274,men,team_based,0.98,0.42,0.55,0.598,0
app-0275,women,team_based,0.98,0.48,0.605,0.63,1
app-0276,men,team_based,0.98,0.48,0.605,0.61,1
app-0277,women,team_based,0.98,0.54,0.66,0.642,1
app-0278,men,team_based,0.98,0.54,0.66,0.622,1
app-0279,women,team_based,0.98,0.24,0.715,0.654,1
app-0280,men,team_based,0.98,0.24,0.715,0.634,1
app-0281,women,team_based,0.98,0.3,0.77,0.606,1
app-0282,men,team_based,0.98,0.3,0.77,0.586,1
app-0283,women,team_based,0.98,0.36,0.44,0.618,1
app-0284,men,team_based,0.98,0.36,0.44,0.598,1
app-0285,women,team_based,0.98,0.42,0.495,0.63,1
app-0286,men,team_based,0.98,0.42,0.495,0.61,1
app-0287,women,team_based,0.98,0.48,0.55,0.642,1
app-0288,men,team_based,0.98,0.48,0.55,0.622,0
app-0289,women,team_based,0.98,0.54,0.605,0.654,0
app-0290,men,team_based,0.98,0.54,0.605,0.634,0
app-0291,women,team_based,0.98,0.24,0.66,0.606,0
app-0292,men,team_based,0.98,0.24,0.66,0.586,0
app-0293,women,team_based,0.98,0.3,0.715,0.618,0
app-0294,men,team_based,0.98,0.3,0.715,0.598,0
app-0295,women,team_based,0.98,0.36,0.77,0.63,0
app-0296,men,team_based,0.98,0.36,0.77,0.61,0
app-0297,women,team_based,0.98,0.42,0.44,0.642,0
app-0298,men,team_based,0.98,0.42,0.44,0.622,0
app-0299,women,team_based,0.98,0.48,0.495,0.654,0
app-0300,men,team_based,0.98,0.48,0.495,0.634,0
app-0301,women,team_based,0.98,0.54,0.55,0.606,0
app-0302,men,team_based,0.98,0.54,0.55,0.586,1
app-0303,women,team_based,0.98,0.24,0.605,0.618,1
app-0304,men,team_based,0.98,0.24,0.605,0.598,1
app-0305,women,team_based,0.98,0.3,0.66,0.63,1
app-0306,men,team_based,0.98,0.3,0.66,0.61,1
app-0307,women,team_based,0.98,0.36,0.715,0.642,1
app-0308,men,team_based,0.98,0.36,0.715,0.622,1
app-0309,women,team_based,0.98,0.42,0.77,0.654,1
app-0310,men,team_based,0.98,0.42,0.77,0.634,1
app-0311,women,team_based,0.98,0.48,0.44,0.606,1
app-0312,men,team_based,0.98,0.48,0.44,0.586,1
app-0313,women,team_based,0.98,0.54,0.495,0.618,1
app-0314,men,team_based,0.98,0.54,0.495,0.598,1
app-0315,women,team_based,0.98,0.24,0.55,0.63,1
app-0316,men,team_based,0.98,0.24,0.55,0.61,0
app-0317,women,team_based,0.98,0.3,0.605,0.642,0
app-0318,men,team_based,0.98,0.3,0.605,0.622,0
app-0319,women,team_based,0.98,0.36,0.66,0.654,0
app-0320,men,team_based,0.98,0.36,0.66,0.634,0
app-0321,women,competitive,1.06,0.36,0.66,0.316,0
app-0322,men,competitive,1.06,0.36,0.66,0.606,0
app-0323,women,competitive,1.06,0.42,0.715,0.328,0
app-0324,men,competitive,1.06,0.42,0.715,0.618,0
app-0325,women,competitive,1.06,0.48,0.77,0.34,0
app-0326,men,competitive,1.06,0.48,0.77,0.63,0
app-0327,women,competitive,1.06,0.54,0.44,0.352,0
app-0328,men,competitive,1.06,0.54,0.44,0.642,0
app-0329,women,competitive,1.06,0.24,0.495,0.364,1
app-0330,men,competitive,1.06,0.24,0.495,0.654,1
app-0331,women,competitive,1.06,0.3,0.55,0.316,1
app-0332,men,competitive,1.06,0.3,0.55,0.606,1
app-0333,women,competitive,1.06,0.36,0.605,0.328,1
app-0334,men,competitive,1.06,0.36,0.605,0.618,1
app-0335,women,competitive,1.06,0.42,0.66,0.34,1
app-0336,men,competitive,1.06,0.42,0.66,0.63,1
app-0337,women,competitive,1.06,0.48,0.715,0.352,1
app-0338,men,competitive,1.06,0.48,0.715,0.642,1
app-0339,women,competitive,1.06,0.54,0.77,0.364,1
app-0340,men,competitive,1.06,0.54,0.77,0.654,1
app-0341,women,competitive,1.06,0.24,0.44,0.316,0
app-0342,men,competitive,1.06,0.24,0.44,0.606,1
app-0343,women,competitive,1.06,0.3,0.495,0.328,0
app-0344,men,competitive,1.06,0.3,0.495,0.618,0
app-0345,women,competitive,1.06,0.36,0.55,0.34,0
app-0346,men,competitive,1.06,0.36,0.55,0.63,0
app-0347,women,competitive,1.06,0.42,0.605,0.352,0
app-0348,men,competitive,1.06,0.42,0.605,0.642,0
app-0349,women,competitive,1.06,0.48,0.66,0.364,0
app-0350,men,competitive,1.06,0.48,0.66,0.654,0
app-0351,women,competitive,1.06,0.54,0.715,0.316,0
app-0352,men,competitive,1.06,0.54,0.715,0.606,0
app-0353,women,competitive,1.06,0.24,0.77,0.328,0
app-0354,men,competitive,1.06,0.24,0.77,0.618,0
app-0355,women,competitive,1.06,0.3,0.44,0.34,0
app-0356,men,competitive,1.06,0.3,0.44,0.63,1
app-0357,women,competitive,1.06,0.36,0.495,0.352,1
app-0358,men,competitive,1.06,0.36,0.495,0.642,1
app-0359,women,competitive,1.06,0.42,0.55,0.364,1
app-0360,men,competitive,1.06,0.42,0.55,0.654,1
app-0361,women,competitive,1.06,0.48,0.605,0.316,1
app-0362,men,competitive,1.06,0.48,0.605,0.606,1
app-0363,women,competitive,1.06,0.54,0.66,0.328,1
app-0364,men,competitive,1.06,0.54,0.66,0.618,1
app-0365,women,competitive,1.06,0.24,0.715,0.34,1
app-0366,men,competitive,1.06,0.24,0.715,0.63,1
app-0367,women,competitive,1.06,0.3,0.77,0.352,1
app-0368,men,competitive,1.06,0.3,0.77,0.642,1
app-0369,women,competitive,1.06,0.36,0.44,0.364,0
app-0370,men,competitive,1.06,0.36,0.44,0.654,0
app-0371,women,competitive,1.06,0.42,0.495,0.316,0
app-0372,men,competitive,1.06,0.42,0.495,0.606,0
app-0373,women,competitive,1.06,0.48,0.55,0.328,0
app-0374,men,competitive,1.06,0.48,0.55,0.618,0
app-0375,women,competitive,1.06,0.54,0.605,0.34,0
app-0376,men,competitive,1.06,0.54,0.605,0.63,0
app-0377,women,competitive,1.06,0.24,0.66,0.352,0
app-0378,men,competitive,1.06,0.24,0.66,0.642,0
app-0379,women,competitive,1.06,0.3,0.715,0.364,0
app-0380,men,competitive,1.06,0.3,0.715,0.654,0
app-0381,women,competitive,1.06,0.36,0.77,0.316,0
app-0382,men,competitive,1.06,0.36,0.77,0.606,0
app-0383,women,competitive,1.06,0.42,0.44,0.328,1
app-0384,men,competitive,1.06,0.42,0.44,0.618,1
app-0385,women,competitive,1.06,0.48,0.495,0.34,1
app-0386,men,competitive,1.06,0.48,0.495,0.63,1
app-0387,women,competitive,1.06,0.54,0.55,0.352,1
app-0388,men,competitive,1.06,0.54,0.55,0.642,1
app-0389,women,competitive,1.06,0.24,0.605,0.364,1
app-0390,men,competitive,1.06,0.24,0.605,0.654,1
app-0391,women,competitive,1.06,0.3,0.66,0.316,1
app-0392,men,competitive,1.06,0.3,0.66,0.606,1
app-0393,women,competitive,1.06,0.36,0.715,0.328,1
app-0394,men,competitive,1.06,0.36,0.715,0.618,1
app-0395,women,competitive,1.06,0.42,0.77,0.34,1
app-0396,men,competitive,1.06,0.42,0.77,0.63,1
app-0397,women,competitive,1.06,0.48,0.44,0.352,0
app-0398,men,competitive,1.06,0.48,0.44,0.642,0
app-0399,women,competitive,1.06,0.54,0.495,0.364,0
app-0400,men,competitive,1.06,0.54,0.495,0.654,0
app-0401,women,competitive,1.06,0.24,0.55,0.316,0
app-0402,men,competitive,1.06,0.24,0.55,0.606,0
app-0403,women,competitive,1.06,0.3,0.605,0.328,0
app-0404,men,competitive,1.06,0.3,0.605,0.618,0
app-0405,women,competitive,1.06,0.36,0.66,0.34,0
app-0406,men,competitive,1.06,0.36,0.66,0.63,0
app-0407,women,competitive,1.06,0.42,0.715,0.352,0
app-0408,men,competitive,1.06,0.42,0.715,0.642,0
app-0409,women,competitive,1.06,0.48,0.77,0.364,0
app-0410,men,competitive,1.06,0.48,0.77,0.654,1
app-0411,women,competitive,1.06,0.54,0.44,0.316,1
app-0412,men,competitive,1.06,0.54,0.44,0.606,1
app-0413,women,competitive,1.06,0.24,0.495,0.328,1
app-0414,men,competitive,1.06,0.24,0.495,0.618,1
app-0415,women,competitive,1.06,0.3,0.55,0.34,1
app-0416,men,competitive,1.06,0.3,0.55,0.63,1
app-0417,women,competitive,1.06,0.36,0.605,0.352,1
app-0418,men,competitive,1.06,0.36,0.605,0.642,1
app-0419,women,competitive,1.06,0.42,0.66,0.364,1
app-0420,men,competitive,1.06,0.42,0.66,0.654,1
app-0421,women,competitive,1.06,0.48,0.715,0.316,1
app-0422,men,competitive,1.06,0.48,0.715,0.606,1
app-0423,women,competitive,1.06,0.54,0.77,0.328,0
app-0424,men,competitive,1.06,0.54,0.77,0.618,0
app-0425,women,competitive,1.06,0.24,0.44,0.34,0
app-0426,men,competitive,1.06,0.24,0.44,0.63,0
app-0427,women,competitive,1.06,0.3,0.495,0.352,0
app-0428,men,competitive,1.06,0.3,0.495,0.642,0
app-0429,women,competitive,1.06,0.36,0.55,0.364,0
app-0430,men,competitive,1.06,0.36,0.55,0.654,0
app-0431,women,competitive,1.06,0.42,0.605,0.316,0
app-0432,men,competitive,1.06,0.42,0.605,0.606,0
app-0433,women,competitive,1.06,0.48,0.66,0.328,0
app-0434,men,competitive,1.06,0.48,0.66,0.618,0
app-0435,women,competitive,1.06,0.54,0.715,0.34,0
app-0436,men,competitive,1.06,0.54,0.715,0.63,0
app-0437,women,competitive,1.06,0.24,0.77,0.352,1
app-0438,men,competitive,1.06,0.24,0.77,0.642,1
app-0439,women,competitive,1.06,0.3,0.44,0.364,1
app-0440,men,competitive,1.06,0.3,0.44,0.654,1
app-0441,women,competitive,1.06,0.36,0.495,0.316,1
app-0442,men,competitive,1.06,0.36,0.495,0.606,1
app-0443,women,competitive,1.06,0.42,0.55,0.328,1
app-0444,men,competitive,1.06,0.42,0.55,0.618,1
app-0445,women,competitive,1.06,0.48,0.605,0.34,1
app-0446,men,competitive,1.06,0.48,0.605,0.63,1
app-0447,women,competitive,1.06,0.54,0.66,0.352,1
app-0448,men,competitive,1.06,0.54,0.66,0.642,1
app-0449,women,competitive,1.06,0.24,0.715,0.364,1
app-0450,men,competitive,1.06,0.24,0.715,0.654,1
app-0451,women,competitive,1.06,0.3,0.77,0.316,0
app-0452,men,competitive,1.06,0.3,0.77,0.606,0
app-0453,women,competitive,1.06,0.36,0.44,0.328,0
app-0454,men,competitive,1.06,0.36,0.44,0.618,0
app-0455,women,competitive,1.06,0.42,0.495,0.34,0
app-0456,men,competitive,1.06,0.42,0.495,0.63,0
app-0457,women,competitive,1.06,0.48,0.55,0.352,0
app-0458,men,competitive,1.06,0.48,0.55,0.642,0
app-0459,women,competitive,1.06,0.54,0.605,0.364,0
app-0460,men,competitive,1.06,0.54,0.605,0.654,0
app-0461,women,competitive,1.06,0.24,0.66,0.316,0
app-0462,men,competitive,1.06,0.24,0.66,0.606,0
app-0463,women,competitive,1.06,0.3,0.715,0.328,0
app-0464,men,competitive,1.06,0.3,0.715,0.618,0
app-0465,women,competitive,1.06,0.36,0.77,0.34,1
app-0466,men,competitive,1.06,0.36,0.77,0.63,1
app-0467,women,competitive,1.06,0.42,0.44,0.352,1
app-0468,men,competitive,1.06,0.42,0.44,0.642,1
app-0469,women,competitive,1.06,0.48,0.495,0.364,1
app-0470,men,competitive,1.06,0.48,0.495,0.654,1
app-0471,women,competitive,1.06,0.54,0.55,0.316,1
app-0472,men,competitive,1.06,0.54,0.55,0.606,1
app-0473,women,competitive,1.06,0.24,0.605,0.328,1
app-0474,men,competitive,1.06,0.24,0.605,0.618,1
app-0475,women,competitive,1.06,0.3,0.66,0.34,1
app-0476,men,competitive,1.06,0.3,0.66,0.63,1
app-0477,women,competitive,1.06,0.36,0.715,0.352,0
app-0478,men,competitive,1.06,0.36,0.715,0.642,0
