worker_id,origin_norm_group,origin_female_lfp,origin_fertility,family_role_norm_index,current_peer_pressure_index,host_labor_demand_index,host_wage_index,childcare_cost_index,education_years,married,children_under6,works_for_pay,weekly_hours
wk5-018,egalitarian_family_role,0.72,1.725,0.22,0.345,0.495,1.16,0.405,14,1,0,1,26.9
wk5-019,egalitarian_family_role,0.726,1.775,0.23,0.255,0.55,0.88,0.46,15,1,0,1,26.7
wk5-020,egalitarian_family_role,0.732,1.825,0.24,0.273,0.605,0.915,0.515,16,1,0,1,28.5
wk5-021,egalitarian_family_role,0.708,1.675,0.25,0.291,0.66,0.95,0.57,17,1,0,1,25.3
wk5-022,egalitarian_family_role,0.714,1.725,0.19,0.309,0.715,0.985,0.24,11,1,0,1,27.0
wk5-023,egalitarian_family_role,0.72,1.775,0.2,0.327,0.77,1.02,0.295,12,1,0,1,28.8
wk5-024,egalitarian_family_role,0.726,1.825,0.21,0.345,0.825,1.055,0.35,13,1,0,1,30.5
wk5-025,egalitarian_family_role,0.732,1.675,0.22,0.255,0.44,1.09,0.405,14,1,1,0,0
wk5-026,egalitarian_family_role,0.708,1.725,0.23,0.273,0.495,1.125,0.46,15,1,1,0,0
wk5-027,egalitarian_family_role,0.714,1.775,0.24,0.291,0.55,1.16,0.515,16,1,1,0,0
wk5-028,egalitarian_family_role,0.72,1.825,0.25,0.309,0.605,0.88,0.57,17,1,1,0,0
wk5-029,egalitarian_family_role,0.726,1.675,0.19,0.327,0.66,0.915,0.24,11,1,1,0,0
wk5-030,egalitarian_family_role,0.732,1.725,0.2,0.345,0.715,0.95,0.295,12,1,1,0,0
wk5-031,egalitarian_family_role,0.708,1.775,0.21,0.255,0.77,0.985,0.35,13,1,1,0,0
wk5-032,egalitarian_family_role,0.714,1.825,0.22,0.273,0.825,1.02,0.405,14,0,1,0,0
wk5-033,egalitarian_family_role,0.72,1.675,0.23,0.291,0.44,1.055,0.46,15,0,1,0,0
wk5-034,egalitarian_family_role,0.726,1.725,0.24,0.309,0.495,1.09,0.515,16,0,0,0,0
wk5-035,egalitarian_family_role,0.732,1.775,0.25,0.327,0.55,1.125,0.57,17,0,0,0,0
wk5-036,egalitarian_family_role,0.708,1.825,0.19,0.345,0.605,1.16,0.24,11,0,0,1,26.0
wk5-037,egalitarian_family_role,0.714,1.675,0.2,0.255,0.66,0.88,0.295,12,0,0,1,25.8
wk5-038,egalitarian_family_role,0.72,1.725,0.21,0.273,0.715,0.915,0.35,13,0,0,1,27.6
wk5-039,egalitarian_family_role,0.726,1.775,0.22,0.291,0.77,0.95,0.405,14,0,0,1,29.4
wk5-040,egalitarian_family_role,0.732,1.825,0.23,0.309,0.825,0.985,0.46,15,0,0,1,31.1
wk5-041,egalitarian_family_role,0.708,1.675,0.24,0.327,0.44,1.02,0.515,16,0,0,1,23.5
wk5-042,egalitarian_family_role,0.714,1.725,0.25,0.345,0.495,1.055,0.57,17,0,0,1,25.2
wk5-043,egalitarian_family_role,0.72,1.775,0.19,0.255,0.55,1.09,0.24,11,0,0,1,27.0
wk5-044,egalitarian_family_role,0.726,1.825,0.2,0.273,0.605,1.125,0.295,12,1,0,1,28.8
wk5-045,egalitarian_family_role,0.732,1.675,0.21,0.291,0.66,1.16,0.35,13,1,0,1,30.5
wk5-046,egalitarian_family_role,0.708,1.725,0.22,0.309,0.715,0.88,0.405,14,1,0,1,25.4
wk5-047,egalitarian_family_role,0.714,1.775,0.23,0.327,0.77,0.915,0.46,15,1,0,1,27.1
wk5-048,egalitarian_family_role,0.72,1.825,0.24,0.345,0.825,0.95,0.515,16,1,0,1,28.9
wk5-049,egalitarian_family_role,0.726,1.675,0.25,0.255,0.44,0.985,0.57,17,1,0,1,26.3
wk5-050,egalitarian_family_role,0.732,1.725,0.19,0.273,0.495,1.02,0.24,11,1,0,1,28.0
wk5-051,egalitarian_family_role,0.708,1.775,0.2,0.291,0.55,1.055,0.295,12,1,0,0,0
wk5-052,egalitarian_family_role,0.714,1.825,0.21,0.309,0.605,1.09,0.35,13,1,1,0,0
wk5-053,egalitarian_family_role,0.72,1.675,0.22,0.327,0.66,1.125,0.405,14,1,1,0,0
wk5-054,egalitarian_family_role,0.726,1.725,0.23,0.345,0.715,1.16,0.46,15,1,1,0,0
wk5-055,egalitarian_family_role,0.732,1.775,0.24,0.255,0.77,0.88,0.515,16,1,1,0,0
wk5-056,egalitarian_family_role,0.708,1.825,0.25,0.273,0.825,0.915,0.57,17,1,1,0,0
wk5-057,egalitarian_family_role,0.714,1.675,0.19,0.291,0.44,0.95,0.24,11,1,1,0,0
wk5-058,egalitarian_family_role,0.72,1.725,0.2,0.309,0.495,0.985,0.295,12,1,1,0,0
wk5-059,egalitarian_family_role,0.726,1.775,0.21,0.327,0.55,1.02,0.35,13,0,1,0,0
wk5-060,egalitarian_family_role,0.732,1.825,0.22,0.345,0.605,1.055,0.405,14,0,1,0,0
wk5-061,egalitarian_family_role,0.708,1.675,0.23,0.255,0.66,1.09,0.46,15,0,0,0,0
wk5-062,egalitarian_family_role,0.714,1.725,0.24,0.273,0.715,1.125,0.515,16,0,0,0,0
wk5-063,egalitarian_family_role,0.72,1.775,0.25,0.291,0.77,1.16,0.57,17,0,0,1,29.6
wk5-064,egalitarian_family_role,0.726,1.825,0.19,0.309,0.825,0.88,0.24,11,0,0,1,29.5
wk5-065,egalitarian_family_role,0.732,1.675,0.2,0.327,0.44,0.915,0.295,12,0,0,1,26.9
wk5-066,egalitarian_family_role,0.708,1.725,0.21,0.345,0.495,0.95,0.35,13,0,0,1,23.6
wk5-067,egalitarian_family_role,0.714,1.775,0.22,0.255,0.55,0.985,0.405,14,0,0,1,25.4
wk5-068,egalitarian_family_role,0.72,1.825,0.23,0.273,0.605,1.02,0.46,15,0,0,1,27.1
wk5-069,egalitarian_family_role,0.726,1.675,0.24,0.291,0.66,1.055,0.515,16,0,0,1,28.9
wk5-070,egalitarian_family_role,0.732,1.725,0.25,0.309,0.715,1.09,0.57,17,0,0,1,30.6
wk5-071,egalitarian_family_role,0.708,1.775,0.19,0.327,0.77,1.125,0.24,11,1,0,1,27.4
wk5-072,egalitarian_family_role,0.714,1.825,0.2,0.345,0.825,1.16,0.295,12,1,0,1,29.2
wk5-073,egalitarian_family_role,0.72,1.675,0.21,0.255,0.44,0.88,0.35,13,1,0,1,24.6
wk5-074,egalitarian_family_role,0.726,1.725,0.22,0.273,0.495,0.915,0.405,14,1,0,1,26.4
wk5-075,egalitarian_family_role,0.732,1.775,0.23,0.291,0.55,0.95,0.46,15,1,0,1,28.2
wk5-076,egalitarian_family_role,0.708,1.825,0.24,0.309,0.605,0.985,0.515,16,1,0,1,24.9
wk5-077,egalitarian_family_role,0.714,1.675,0.25,0.327,0.66,1.02,0.57,17,1,0,1,26.7
wk5-078,egalitarian_family_role,0.72,1.725,0.19,0.345,0.715,1.055,0.24,11,1,0,0,0
wk5-079,egalitarian_family_role,0.726,1.775,0.2,0.255,0.77,1.09,0.295,12,1,1,0,0
wk5-080,egalitarian_family_role,0.732,1.825,0.21,0.273,0.825,1.125,0.35,13,1,1,0,0
wk5-081,egalitarian_family_role,0.708,1.675,0.22,0.291,0.44,1.16,0.405,14,1,1,0,0
wk5-082,egalitarian_family_role,0.714,1.725,0.23,0.309,0.495,0.88,0.46,15,1,1,0,0
wk5-083,egalitarian_family_role,0.72,1.775,0.24,0.327,0.55,0.915,0.515,16,1,1,0,0
wk5-084,egalitarian_family_role,0.726,1.825,0.25,0.345,0.605,0.95,0.57,17,1,1,0,0
wk5-085,egalitarian_family_role,0.732,1.675,0.19,0.255,0.66,0.985,0.24,11,1,1,0,0
wk5-086,egalitarian_family_role,0.708,1.725,0.2,0.273,0.715,1.02,0.295,12,0,1,0,0
wk5-087,egalitarian_family_role,0.714,1.775,0.21,0.291,0.77,1.055,0.35,13,0,1,0,0
wk5-088,egalitarian_family_role,0.72,1.825,0.22,0.309,0.825,1.09,0.405,14,0,0,0,0
wk5-089,egalitarian_family_role,0.726,1.675,0.23,0.327,0.44,1.125,0.46,15,0,0,0,0
wk5-090,egalitarian_family_role,0.732,1.725,0.24,0.345,0.495,1.16,0.515,16,0,0,1,28.9
wk5-091,egalitarian_family_role,0.708,1.775,0.25,0.255,0.55,0.88,0.57,17,0,0,1,23.7
wk5-092,egalitarian_family_role,0.714,1.825,0.19,0.273,0.605,0.915,0.24,11,0,0,1,25.5
wk5-093,egalitarian_family_role,0.72,1.675,0.2,0.291,0.66,0.95,0.295,12,0,0,1,27.3
wk5-094,egalitarian_family_role,0.726,1.725,0.21,0.309,0.715,0.985,0.35,13,0,0,1,29.0
wk5-095,egalitarian_family_role,0.732,1.775,0.22,0.327,0.77,1.02,0.405,14,0,0,1,30.8
wk5-096,egalitarian_family_role,0.708,1.825,0.23,0.345,0.825,1.055,0.46,15,0,0,1,27.5
wk5-097,moderate_family_role,0.588,1.975,0.39,0.395,0.44,0.95,0.295,13,0,0,1,21.7
wk5-098,moderate_family_role,0.594,2.025,0.4,0.413,0.495,0.985,0.35,14,1,0,1,23.4
wk5-099,moderate_family_role,0.6,2.075,0.41,0.431,0.55,1.02,0.405,15,1,0,1,25.2
wk5-100,moderate_family_role,0.606,2.125,0.42,0.449,0.605,1.055,0.46,16,1,0,1,26.9
wk5-101,moderate_family_role,0.612,1.975,0.43,0.467,0.66,1.09,0.515,17,1,0,1,28.7
wk5-102,moderate_family_role,0.588,2.025,0.44,0.485,0.715,1.125,0.57,11,1,0,0,0
wk5-103,moderate_family_role,0.594,2.075,0.45,0.395,0.77,1.16,0.24,12,1,0,1,27.2
wk5-104,moderate_family_role,0.6,2.125,0.39,0.413,0.825,0.88,0.295,13,1,0,0,0
wk5-105,moderate_family_role,0.606,1.975,0.4,0.431,0.44,0.915,0.35,14,1,0,0,0
wk5-106,moderate_family_role,0.612,2.025,0.41,0.449,0.495,0.95,0.405,15,1,1,0,0
wk5-107,moderate_family_role,0.588,2.075,0.42,0.467,0.55,0.985,0.46,16,1,1,0,0
wk5-108,moderate_family_role,0.594,2.125,0.43,0.485,0.605,1.02,0.515,17,1,1,0,0
wk5-109,moderate_family_role,0.6,1.975,0.44,0.395,0.66,1.055,0.57,11,1,1,0,0
wk5-110,moderate_family_role,0.606,2.025,0.45,0.413,0.715,1.09,0.24,12,1,1,0,0
wk5-111,moderate_family_role,0.612,2.075,0.39,0.431,0.77,1.125,0.295,13,1,1,0,0
wk5-112,moderate_family_role,0.588,2.125,0.4,0.449,0.825,1.16,0.35,14,1,1,0,0
wk5-113,moderate_family_role,0.594,1.975,0.41,0.467,0.44,0.88,0.405,15,1,1,0,0
wk5-114,moderate_family_role,0.6,2.025,0.42,0.485,0.495,0.915,0.46,16,0,1,0,0
wk5-115,moderate_family_role,0.606,2.075,0.43,0.395,0.55,0.95,0.515,17,0,1,0,0
wk5-116,moderate_family_role,0.612,2.125,0.44,0.413,0.605,0.985,0.57,11,0,1,0,0
wk5-117,moderate_family_role,0.588,1.975,0.45,0.431,0.66,1.02,0.24,12,0,0,1,24.3
wk5-118,moderate_family_role,0.594,2.025,0.39,0.449,0.715,1.055,0.295,13,0,0,1,26.0
wk5-119,moderate_family_role,0.6,2.075,0.4,0.467,0.77,1.09,0.35,14,0,0,1,27.8
wk5-120,moderate_family_role,0.606,2.125,0.41,0.485,0.825,1.125,0.405,15,0,0,1,29.6
wk5-121,moderate_family_role,0.612,1.975,0.42,0.395,0.44,1.16,0.46,16,0,0,1,26.9
wk5-122,moderate_family_role,0.588,2.025,0.43,0.413,0.495,0.88,0.515,17,0,0,1,21.8
wk5-123,moderate_family_role,0.594,2.075,0.44,0.431,0.55,0.915,0.57,11,0,0,1,23.6
wk5-124,moderate_family_role,0.6,2.125,0.45,0.449,0.605,0.95,0.24,12,0,0,1,25.3
wk5-125,moderate_family_role,0.606,1.975,0.39,0.467,0.66,0.985,0.295,13,1,0,1,27.1
wk5-126,moderate_family_role,0.612,2.025,0.4,0.485,0.715,1.02,0.35,14,1,0,1,28.8
wk5-127,moderate_family_role,0.588,2.075,0.41,0.395,0.77,1.055,0.405,15,1,0,1,25.6
wk5-128,moderate_family_role,0.594,2.125,0.42,0.413,0.825,1.09,0.46,16,1,0,1,27.3
wk5-129,moderate_family_role,0.6,1.975,0.43,0.431,0.44,1.125,0.515,17,1,0,1,24.7
wk5-130,moderate_family_role,0.606,2.025,0.44,0.449,0.495,1.16,0.57,11,1,0,0,0
wk5-131,moderate_family_role,0.612,2.075,0.45,0.467,0.55,0.88,0.24,12,1,0,0,0
wk5-132,moderate_family_role,0.588,2.125,0.39,0.485,0.605,0.915,0.295,13,1,0,0,0
wk5-133,moderate_family_role,0.594,1.975,0.4,0.395,0.66,0.95,0.35,14,1,1,0,0
wk5-134,moderate_family_role,0.6,2.025,0.41,0.413,0.715,0.985,0.405,15,1,1,0,0
wk5-135,moderate_family_role,0.606,2.075,0.42,0.431,0.77,1.02,0.46,16,1,1,0,0
wk5-136,moderate_family_role,0.612,2.125,0.43,0.449,0.825,1.055,0.515,17,1,1,0,0
wk5-137,moderate_family_role,0.588,1.975,0.44,0.467,0.44,1.09,0.57,11,1,1,0,0
wk5-138,moderate_family_role,0.594,2.025,0.45,0.485,0.495,1.125,0.24,12,1,1,0,0
wk5-139,moderate_family_role,0.6,2.075,0.39,0.395,0.55,1.16,0.295,13,1,1,0,0
wk5-140,moderate_family_role,0.606,2.125,0.4,0.413,0.605,0.88,0.35,14,1,1,0,0
wk5-141,moderate_family_role,0.612,1.975,0.41,0.431,0.66,0.915,0.405,15,0,1,0,0
wk5-142,moderate_family_role,0.588,2.025,0.42,0.449,0.715,0.95,0.46,16,0,1,0,0
wk5-143,moderate_family_role,0.594,2.075,0.43,0.467,0.77,0.985,0.515,17,0,1,0,0
wk5-144,moderate_family_role,0.6,2.125,0.44,0.485,0.825,1.02,0.57,11,0,0,1,27.9
wk5-145,moderate_family_role,0.606,1.975,0.45,0.395,0.44,1.055,0.24,12,0,0,1,25.3
wk5-146,moderate_family_role,0.612,2.025,0.39,0.413,0.495,1.09,0.295,13,0,0,1,27.0
wk5-147,moderate_family_role,0.588,2.075,0.4,0.431,0.55,1.125,0.35,14,0,0,1,23.8
wk5-148,moderate_family_role,0.594,2.125,0.41,0.449,0.605,1.16,0.405,15,0,0,1,25.6
wk5-149,moderate_family_role,0.6,1.975,0.42,0.467,0.66,0.88,0.46,16,0,0,1,25.4
wk5-150,moderate_family_role,0.606,2.025,0.43,0.485,0.715,0.915,0.515,17,0,0,1,27.2
wk5-151,moderate_family_role,0.612,2.075,0.44,0.395,0.77,0.95,0.57,11,0,0,1,29.0
wk5-152,moderate_family_role,0.588,2.125,0.45,0.413,0.825,0.985,0.24,12,1,0,1,25.7
wk5-153,moderate_family_role,0.594,1.975,0.39,0.431,0.44,1.02,0.295,13,1,0,1,23.1
wk5-154,moderate_family_role,0.6,2.025,0.4,0.449,0.495,1.055,0.35,14,1,0,1,24.8
wk5-155,moderate_family_role,0.606,2.075,0.41,0.467,0.55,1.09,0.405,15,1,0,1,26.6
wk5-156,moderate_family_role,0.612,2.125,0.42,0.485,0.605,1.125,0.46,16,1,0,1,28.4
wk5-157,moderate_family_role,0.588,1.975,0.43,0.395,0.66,1.16,0.515,17,1,0,1,25.1
wk5-158,moderate_family_role,0.594,2.025,0.44,0.413,0.715,0.88,0.57,11,1,0,0,0
wk5-159,moderate_family_role,0.6,2.075,0.45,0.431,0.77,0.915,0.24,12,1,0,0,0
wk5-160,moderate_family_role,0.606,2.125,0.39,0.449,0.825,0.95,0.295,13,1,1,0,0
wk5-161,moderate_family_role,0.612,1.975,0.4,0.467,0.44,0.985,0.35,14,1,1,0,0
wk5-162,moderate_family_role,0.588,2.025,0.41,0.485,0.495,1.02,0.405,15,1,1,0,0
wk5-163,moderate_family_role,0.594,2.075,0.42,0.395,0.55,1.055,0.46,16,1,1,0,0
wk5-164,moderate_family_role,0.6,2.125,0.43,0.413,0.605,1.09,0.515,17,1,1,0,0
wk5-165,moderate_family_role,0.606,1.975,0.44,0.431,0.66,1.125,0.57,11,1,1,0,0
wk5-166,moderate_family_role,0.612,2.025,0.45,0.449,0.715,1.16,0.24,12,1,1,0,0
wk5-167,moderate_family_role,0.588,2.075,0.39,0.467,0.77,0.88,0.295,13,1,1,0,0
wk5-168,moderate_family_role,0.594,2.125,0.4,0.485,0.825,0.915,0.35,14,0,1,0,0
wk5-169,moderate_family_role,0.6,1.975,0.41,0.395,0.44,0.95,0.405,15,0,1,0,0
wk5-170,moderate_family_role,0.606,2.025,0.42,0.413,0.495,0.985,0.46,16,0,1,0,0
wk5-171,moderate_family_role,0.612,2.075,0.43,0.431,0.55,1.02,0.515,17,0,0,1,27.2
wk5-172,moderate_family_role,0.588,2.125,0.44,0.449,0.605,1.055,0.57,11,0,0,1,23.9
wk5-173,moderate_family_role,0.594,1.975,0.45,0.467,0.66,1.09,0.24,12,0,0,1,25.7
wk5-174,moderate_family_role,0.6,2.025,0.39,0.485,0.715,1.125,0.295,13,0,0,1,27.5
wk5-175,moderate_family_role,0.606,2.075,0.4,0.395,0.77,1.16,0.35,14,0,0,1,29.2
wk5-176,moderate_family_role,0.612,2.125,0.41,0.413,0.825,0.88,0.405,15,0,0,1,29.1
wk5-177,moderate_family_role,0.588,1.975,0.42,0.431,0.44,0.915,0.46,16,0,0,1,21.4
wk5-178,moderate_family_role,0.594,2.025,0.43,0.449,0.495,0.95,0.515,17,0,0,1,23.2
wk5-179,moderate_family_role,0.6,2.075,0.44,0.467,0.55,0.985,0.57,11,1,0,1,25.0
wk5-180,moderate_family_role,0.606,2.125,0.45,0.485,0.605,1.02,0.24,12,1,0,1,26.7
wk5-181,moderate_family_role,0.612,1.975,0.39,0.395,0.66,1.055,0.295,13,1,0,1,28.5
wk5-182,moderate_family_role,0.588,2.025,0.4,0.413,0.715,1.09,0.35,14,1,0,1,25.2
wk5-183,moderate_family_role,0.594,2.075,0.41,0.431,0.77,1.125,0.405,15,1,0,1,27.0
wk5-184,moderate_family_role,0.6,2.125,0.42,0.449,0.825,1.16,0.46,16,1,0,1,28.8
wk5-185,moderate_family_role,0.606,1.975,0.43,0.467,0.44,0.88,0.515,17,1,0,0,0
wk5-186,moderate_family_role,0.612,2.025,0.44,0.485,0.495,0.915,0.57,11,1,0,0,0
wk5-187,moderate_family_role,0.588,2.075,0.45,0.395,0.55,0.95,0.24,12,1,1,0,0
wk5-188,moderate_family_role,0.594,2.125,0.39,0.413,0.605,0.985,0.295,13,1,1,0,0
wk5-189,moderate_family_role,0.6,1.975,0.4,0.431,0.66,1.02,0.35,14,1,1,0,0
wk5-190,moderate_family_role,0.606,2.025,0.41,0.449,0.715,1.055,0.405,15,1,1,0,0
wk5-191,moderate_family_role,0.612,2.075,0.42,0.467,0.77,1.09,0.46,16,1,1,0,0
wk5-192,moderate_family_role,0.588,2.125,0.43,0.485,0.825,1.125,0.515,17,1,1,0,0
wk5-193,traditional_family_role,0.428,2.475,0.62,0.565,0.44,1.02,0.35,15,1,1,0,0
wk5-194,traditional_family_role,0.434,2.525,0.63,0.583,0.495,1.055,0.405,16,1,1,0,0
wk5-195,traditional_family_role,0.44,2.575,0.64,0.601,0.55,1.09,0.46,17,1,1,0,0
wk5-196,traditional_family_role,0.446,2.625,0.65,0.619,0.605,1.125,0.515,11,1,1,0,0
wk5-197,traditional_family_role,0.452,2.475,0.66,0.637,0.66,1.16,0.57,12,0,1,0,0
wk5-198,traditional_family_role,0.428,2.525,0.67,0.655,0.715,0.88,0.24,13,0,1,1,18.4
wk5-199,traditional_family_role,0.434,2.575,0.68,0.565,0.77,0.915,0.295,14,0,1,1,20.1
wk5-200,traditional_family_role,0.44,2.625,0.62,0.583,0.825,0.95,0.35,15,0,0,1,25.9
wk5-201,traditional_family_role,0.446,2.475,0.63,0.601,0.44,0.985,0.405,16,0,0,1,23.3
wk5-202,traditional_family_role,0.452,2.525,0.64,0.619,0.495,1.02,0.46,17,0,0,1,25.0
wk5-203,traditional_family_role,0.428,2.575,0.65,0.637,0.55,1.055,0.515,11,0,0,1,21.8
wk5-204,traditional_family_role,0.434,2.625,0.66,0.655,0.605,1.09,0.57,12,0,0,1,23.5
wk5-205,traditional_family_role,0.44,2.475,0.67,0.565,0.66,1.125,0.24,13,0,0,1,25.3
wk5-206,traditional_family_role,0.446,2.525,0.68,0.583,0.715,1.16,0.295,14,1,0,1,27.1
wk5-207,traditional_family_role,0.452,2.575,0.62,0.601,0.77,0.88,0.35,15,1,0,1,26.9
wk5-208,traditional_family_role,0.428,2.625,0.63,0.619,0.825,0.915,0.405,16,1,0,1,23.7
wk5-209,traditional_family_role,0.434,2.475,0.64,0.637,0.44,0.95,0.46,17,1,0,0,0
wk5-210,traditional_family_role,0.44,2.525,0.65,0.655,0.495,0.985,0.515,11,1,0,0,0
wk5-211,traditional_family_role,0.446,2.575,0.66,0.565,0.55,1.02,0.57,12,1,0,0,0
wk5-212,traditional_family_role,0.452,2.625,0.67,0.583,0.605,1.055,0.24,13,1,0,0,0
wk5-213,traditional_family_role,0.428,2.475,0.68,0.601,0.66,1.09,0.295,14,1,0,0,0
wk5-214,traditional_family_role,0.434,2.525,0.62,0.619,0.715,1.125,0.35,15,1,1,0,0
wk5-215,traditional_family_role,0.44,2.575,0.63,0.637,0.77,1.16,0.405,16,1,1,0,0
wk5-216,traditional_family_role,0.446,2.625,0.64,0.655,0.825,0.88,0.46,17,1,1,0,0
wk5-217,traditional_family_role,0.452,2.475,0.65,0.565,0.44,0.915,0.515,11,1,1,0,0
wk5-218,traditional_family_role,0.428,2.525,0.66,0.583,0.495,0.95,0.57,12,1,1,0,0
wk5-219,traditional_family_role,0.434,2.575,0.67,0.601,0.55,0.985,0.24,13,1,1,0,0
wk5-220,traditional_family_role,0.44,2.625,0.68,0.619,0.605,1.02,0.295,14,1,1,0,0
wk5-221,traditional_family_role,0.446,2.475,0.62,0.637,0.66,1.055,0.35,15,1,1,0,0
wk5-222,traditional_family_role,0.452,2.525,0.63,0.655,0.715,1.09,0.405,16,1,1,0,0
wk5-223,traditional_family_role,0.428,2.575,0.64,0.565,0.77,1.125,0.46,17,1,1,0,0
wk5-224,traditional_family_role,0.434,2.625,0.65,0.583,0.825,1.16,0.515,11,0,1,0,0
wk5-225,traditional_family_role,0.44,2.475,0.66,0.601,0.44,0.88,0.57,12,0,1,1,17.6
wk5-226,traditional_family_role,0.446,2.525,0.67,0.619,0.495,0.915,0.24,13,0,1,1,19.4
wk5-227,traditional_family_role,0.452,2.575,0.68,0.637,0.55,0.95,0.295,14,0,0,1,25.1
wk5-228,traditional_family_role,0.428,2.625,0.62,0.655,0.605,0.985,0.35,15,0,0,1,21.9
wk5-229,traditional_family_role,0.434,2.475,0.63,0.565,0.66,1.02,0.405,16,0,0,1,23.7
wk5-230,traditional_family_role,0.44,2.525,0.64,0.583,0.715,1.055,0.46,17,0,0,1,25.4
wk5-231,traditional_family_role,0.446,2.575,0.65,0.601,0.77,1.09,0.515,11,0,0,1,27.2
wk5-232,traditional_family_role,0.452,2.625,0.66,0.619,0.825,1.125,0.57,12,0,0,1,28.9
wk5-233,traditional_family_role,0.428,2.475,0.67,0.637,0.44,1.16,0.24,13,1,0,1,21.3
wk5-234,traditional_family_role,0.434,2.525,0.68,0.655,0.495,0.88,0.295,14,1,0,1,21.2
wk5-235,traditional_family_role,0.44,2.575,0.62,0.565,0.55,0.915,0.35,15,1,0,0,0
wk5-236,traditional_family_role,0.446,2.625,0.63,0.583,0.605,0.95,0.405,16,1,0,0,0
wk5-237,traditional_family_role,0.452,2.475,0.64,0.601,0.66,0.985,0.46,17,1,0,0,0
wk5-238,traditional_family_role,0.428,2.525,0.65,0.619,0.715,1.02,0.515,11,1,0,0,0
wk5-239,traditional_family_role,0.434,2.575,0.66,0.637,0.77,1.055,0.57,12,1,0,0,0
wk5-240,traditional_family_role,0.44,2.625,0.67,0.655,0.825,1.09,0.24,13,1,0,0,0
wk5-241,traditional_family_role,0.446,2.475,0.68,0.565,0.44,1.125,0.295,14,1,1,0,0
wk5-242,traditional_family_role,0.452,2.525,0.62,0.583,0.495,1.16,0.35,15,1,1,0,0
wk5-243,traditional_family_role,0.428,2.575,0.63,0.601,0.55,0.88,0.405,16,1,1,0,0
wk5-244,traditional_family_role,0.434,2.625,0.64,0.619,0.605,0.915,0.46,17,1,1,0,0
wk5-245,traditional_family_role,0.44,2.475,0.65,0.637,0.66,0.95,0.515,11,1,1,0,0
wk5-246,traditional_family_role,0.446,2.525,0.66,0.655,0.715,0.985,0.57,12,1,1,0,0
wk5-247,traditional_family_role,0.452,2.575,0.67,0.565,0.77,1.02,0.24,13,1,1,0,0
wk5-248,traditional_family_role,0.428,2.625,0.68,0.583,0.825,1.055,0.295,14,1,1,0,0
wk5-249,traditional_family_role,0.434,2.475,0.62,0.601,0.44,1.09,0.35,15,1,1,0,0
wk5-250,traditional_family_role,0.44,2.525,0.63,0.619,0.495,1.125,0.405,16,1,1,0,0
wk5-251,traditional_family_role,0.446,2.575,0.64,0.637,0.55,1.16,0.46,17,0,1,0,0
wk5-252,traditional_family_role,0.452,2.625,0.65,0.655,0.605,0.88,0.515,11,0,1,1,21.3
wk5-253,traditional_family_role,0.428,2.475,0.66,0.565,0.66,0.915,0.57,12,0,1,1,18.0
wk5-254,traditional_family_role,0.434,2.525,0.67,0.583,0.715,0.95,0.24,13,0,0,1,23.8
wk5-255,traditional_family_role,0.44,2.575,0.68,0.601,0.77,0.985,0.295,14,0,0,1,25.6
wk5-256,traditional_family_role,0.446,2.625,0.62,0.619,0.825,1.02,0.35,15,0,0,1,27.3
