worker_id,worker_group,hourly_wage,predictable_schedule,remote_option,low_injury_risk,autonomy_score,commute_minutes
42,frontline_track,22.948,0,1,0,0.5029,34
43,frontline_track,18.01,1,0,0,0.439,31
44,frontline_track,19.263,1,1,0,0.477,32
45,professional_track,29.351,1,1,0,0.6654,18
46,professional_track,27.186,1,1,1,0.8901,25
47,frontline_track,23.562,1,0,0,0.323,35
48,frontline_track,22.959,1,0,0,0.5304,39
49,frontline_track,19.764,0,0,0,0.5827,39
50,professional_track,29.298,1,1,1,0.7047,11
51,professional_track,26.097,0,0,1,0.6955,28
52,frontline_track,25.45,0,0,0,0.5303,42
53,frontline_track,26.391,0,1,1,0.4382,38
54,frontline_track,18.553,1,0,0,0.317,34
55,professional_track,27.467,1,0,0,0.5043,27
56,professional_track,29.76,0,1,1,0.62,17
57,frontline_track,18.158,0,1,0,0.2598,40
58,frontline_track,15.145,1,0,1,0.3701,46
59,frontline_track,21.519,1,0,0,0.2115,31
60,professional_track,28.905,0,1,1,0.6994,24
61,professional_track,33.691,1,1,1,0.5817,21
62,frontline_track,21.613,0,0,0,0.4279,55
63,frontline_track,22.171,0,0,0,0.3118,35
64,frontline_track,19.762,0,0,1,0.4994,51
65,professional_track,27.932,0,1,0,0.5621,12
66,professional_track,28.272,1,1,1,0.7237,32
67,frontline_track,20.173,1,1,0,0.4662,38
68,frontline_track,19.359,0,0,1,0.3409,43
69,frontline_track,18.561,0,0,0,0.2621,44
70,professional_track,30.177,1,0,1,0.71,28
71,professional_track,33.631,1,1,0,0.9079,29
72,frontline_track,21.26,0,0,0,0.371,19
73,frontline_track,22.722,1,0,1,0.29,30
74,frontline_track,19.743,0,0,1,0.3768,38
75,professional_track,30.37,1,0,1,0.6666,26
76,professional_track,31.1,0,1,1,0.7873,32
77,frontline_track,21.427,0,1,0,0.1943,35
78,frontline_track,24.499,0,0,1,0.4775,48
79,frontline_track,19.601,0,0,1,0.1582,44
80,professional_track,33.294,1,0,1,0.8613,33
81,professional_track,31.498,0,1,1,0.6592,16
82,frontline_track,24.915,0,0,0,0.3395,54
83,frontline_track,24.127,0,0,0,0.4106,21
84,frontline_track,26.003,1,0,0,0.1133,38
85,professional_track,32.544,1,1,1,0.7904,17
86,professional_track,29.558,1,1,1,0.8953,28
87,frontline_track,22.727,0,0,0,0.4143,34
88,frontline_track,22.131,0,0,0,0.45,40
89,frontline_track,19.439,1,0,0,0.2635,35
90,professional_track,31.299,0,1,1,0.8045,16
91,professional_track,28.875,1,1,1,0.9007,22
92,frontline_track,24.006,1,0,0,0.4909,38
93,frontline_track,22.369,0,0,0,0.4003,32
94,frontline_track,19.852,1,0,0,0.365,30
95,professional_track,26.995,0,1,1,0.9571,31
96,professional_track,32.973,1,1,0,0.7848,22
97,frontline_track,23.499,1,0,0,0.4346,44
98,frontline_track,21.116,0,0,1,0.2023,40
99,frontline_track,23.135,0,1,1,0.3842,37
100,professional_track,28.887,1,0,1,0.8989,19
101,professional_track,32.987,1,1,1,0.9524,10
102,frontline_track,22.149,1,0,0,0.3439,38
103,frontline_track,17.205,0,0,1,0.3498,42
104,frontline_track,23.062,1,0,0,0.4615,23
105,professional_track,32.539,1,1,1,0.8641,10
106,professional_track,30.906,0,0,1,0.6838,21
107,frontline_track,20.053,1,0,0,0.2731,27
108,frontline_track,21.312,0,0,0,0.2724,30
109,frontline_track,23.065,1,0,0,0.6277,41
110,professional_track,28.675,0,1,1,0.9673,30
111,professional_track,30.153,1,0,1,0.7093,37
112,frontline_track,19.237,0,1,0,0.3859,32
113,frontline_track,20.429,1,0,1,0.4285,32
114,frontline_track,21.165,0,0,0,0.3398,42
115,professional_track,30.423,1,1,1,0.6217,18
116,professional_track,27.987,0,0,1,0.7254,21
117,frontline_track,24.49,0,0,1,0.3718,43
118,frontline_track,23.721,0,0,1,0.3788,26
119,frontline_track,25.911,0,0,1,0.2124,31
120,professional_track,36.125,0,1,0,0.8553,14
121,professional_track,32.358,1,0,0,0.5822,39
122,frontline_track,19.917,1,0,0,0.6607,42
123,frontline_track,21.579,0,0,0,0.4656,47
124,frontline_track,24.108,1,0,1,0.2608,33
125,professional_track,29.508,1,1,1,0.794,24
126,professional_track,31.742,1,1,1,0.5819,11
127,frontline_track,19.216,1,0,0,0.3997,40
128,frontline_track,22.073,1,1,1,0.5014,54
129,frontline_track,21.489,0,0,0,0.3289,42
130,professional_track,29.91,1,0,1,0.8543,17
131,professional_track,28.067,1,1,1,0.885,8
132,frontline_track,21.354,0,0,0,0.2421,38
133,frontline_track,21.317,0,1,1,0.2552,32
134,frontline_track,23.25,1,0,1,0.2742,39
135,professional_track,33.333,0,0,0,0.8149,15
136,professional_track,30.675,0,0,1,0.9987,13
137,frontline_track,21.968,0,0,1,0.4066,38
138,frontline_track,25.834,0,1,1,0.3565,31
139,frontline_track,21.962,0,0,1,0.3888,34
140,professional_track,32.876,1,1,1,0.8847,45
141,professional_track,26.046,1,0,1,0.9652,21
142,frontline_track,21.742,0,0,1,0.4742,40
143,frontline_track,18.552,1,0,0,0.23,21
144,frontline_track,19.429,0,0,0,0.1855,35
145,professional_track,25.888,1,1,0,0.6038,16
146,professional_track,27.113,1,1,1,0.7448,14
147,frontline_track,23.922,1,0,1,0.2784,32
148,frontline_track,19.861,1,0,0,0.2706,35
149,frontline_track,20.856,0,0,1,0.3634,45
150,professional_track,27.494,0,1,1,0.6953,28
151,professional_track,29.867,0,0,1,0.8416,34
152,frontline_track,24.339,0,0,0,0.1854,33
153,frontline_track,22.845,0,0,1,0.2907,28
154,frontline_track,21.806,0,0,1,0.2854,44
155,professional_track,32.131,0,1,1,0.8318,32
156,professional_track,29.553,1,0,1,0.8122,33
157,frontline_track,23.203,0,0,1,0.4535,45
158,frontline_track,21.132,0,0,0,0.3754,33
159,frontline_track,18.878,1,0,0,0.5468,33
160,professional_track,34.334,0,0,0,0.7266,16
161,professional_track,25.512,0,1,1,0.8557,16
162,frontline_track,20.362,0,1,0,0.05,46
163,frontline_track,23.54,1,0,0,0.2401,43
164,frontline_track,25.106,0,0,1,0.6097,30
165,professional_track,29.26,1,0,0,0.7835,13
166,professional_track,31.116,1,0,1,0.8544,32
167,frontline_track,25.185,1,1,1,0.2808,35
168,frontline_track,17.653,1,0,0,0.2217,38
169,frontline_track,21.929,1,1,1,0.3925,40
170,professional_track,33.224,1,0,1,1.0,31
171,professional_track,30.395,1,1,1,0.7073,23
172,frontline_track,20.024,0,0,0,0.376,44
173,frontline_track,20.582,0,0,0,0.4802,39
174,frontline_track,22.957,1,1,1,0.4404,42
175,professional_track,32.602,1,1,1,0.9916,13
176,professional_track,29.167,0,0,1,0.8889,22
177,frontline_track,20.924,0,0,0,0.4845,36
178,frontline_track,22.45,1,0,1,0.3062,41
179,frontline_track,25.601,1,0,0,0.3714,43
180,professional_track,32.808,1,1,1,0.7113,19
181,professional_track,31.115,1,0,1,0.7237,29
182,frontline_track,24.162,0,0,1,0.5825,37
183,frontline_track,21.713,1,0,1,0.4586,24
184,frontline_track,19.949,0,0,1,0.2019,53
185,professional_track,27.723,1,1,1,0.7625,33
186,professional_track,31.029,1,0,1,0.6631,44
187,frontline_track,19.031,0,0,1,0.4123,43
188,frontline_track,22.116,0,0,1,0.5639,34
189,frontline_track,24.299,0,0,1,0.3002,35
190,professional_track,32.59,1,1,1,0.5903,27
191,professional_track,32.661,1,0,1,0.8298,20
192,frontline_track,20.527,0,0,1,0.3381,48
193,frontline_track,22.72,0,0,1,0.6022,47
194,frontline_track,20.594,0,0,1,0.6666,47
195,professional_track,28.414,1,1,1,0.5072,29
196,professional_track,27.191,1,0,1,0.6499,41
197,frontline_track,18.733,0,0,1,0.4118,62
198,frontline_track,18.315,1,0,0,0.4909,44
199,frontline_track,18.403,1,1,1,0.3614,40
200,professional_track,33.712,1,1,0,0.5685,18
201,professional_track,31.856,1,1,1,0.6954,13
202,frontline_track,14.67,1,0,1,0.4657,43
203,frontline_track,21.673,0,0,1,0.4181,43
204,frontline_track,22.123,0,0,1,0.569,38
205,professional_track,30.676,1,1,1,0.5526,13
206,professional_track,29.111,1,1,1,0.7064,27
207,frontline_track,23.642,0,0,0,0.3831,34
208,frontline_track,23.957,1,0,0,0.3324,31
209,frontline_track,21.154,0,0,1,0.4024,43
210,professional_track,31.204,1,1,0,0.7184,36
211,professional_track,32.933,1,0,1,0.8287,18
212,frontline_track,20.406,0,0,1,0.2771,45
213,frontline_track,22.495,1,0,0,0.4157,31
214,frontline_track,22.553,0,0,0,0.6108,44
215,professional_track,28.342,1,1,1,0.7586,23
216,professional_track,32.167,1,1,0,0.6675,31
217,frontline_track,20.725,0,0,0,0.29,39
218,frontline_track,21.373,1,0,1,0.0856,28
219,frontline_track,18.723,1,0,0,0.444,25
220,professional_track,30.106,1,1,0,0.6988,37
221,professional_track,33.855,1,0,0,0.7579,14
222,frontline_track,18.15,0,0,0,0.2221,41
223,frontline_track,19.809,0,0,0,0.1281,52
224,frontline_track,25.797,1,0,0,0.4795,35
225,professional_track,29.461,1,1,1,0.7194,50
226,professional_track,28.177,1,0,1,0.7868,20
227,frontline_track,19.516,1,0,0,0.4271,41
228,frontline_track,22.179,0,0,0,0.0624,29
229,frontline_track,24.913,1,0,1,0.4389,52
230,professional_track,31.211,1,1,0,0.8221,18
231,professional_track,30.817,1,0,1,0.5015,23
232,frontline_track,18.955,0,0,1,0.4678,48
233,frontline_track,20.504,1,0,1,0.4152,33
234,frontline_track,24.919,1,1,0,0.2317,26
235,professional_track,35.76,1,1,1,0.809,30
236,professional_track,31.069,1,1,0,0.4869,31
237,frontline_track,21.098,1,0,0,0.3366,40
238,frontline_track,20.138,1,0,0,0.4862,46
239,frontline_track,19.14,1,1,0,0.4432,43
240,professional_track,32.796,1,0,1,0.6455,27
241,professional_track,32.678,1,1,1,0.804,22
242,frontline_track,22.37,0,0,0,0.2506,25
243,frontline_track,22.115,0,0,0,0.3043,51
244,frontline_track,21.819,0,0,0,0.4694,38
245,professional_track,31.465,1,1,1,0.7491,19
246,professional_track,28.947,1,0,1,0.8468,10
247,frontline_track,24.676,1,0,0,0.5939,50
248,frontline_track,24.057,1,0,1,0.3964,48
249,frontline_track,20.387,1,0,0,0.6972,35
250,professional_track,31.701,0,0,1,0.7871,23
251,professional_track,28.626,0,0,1,0.6106,23
252,frontline_track,27.045,0,1,0,0.2713,38
253,frontline_track,21.62,0,0,1,0.4966,45
254,frontline_track,20.384,1,0,0,0.3541,43
255,professional_track,27.811,1,0,1,0.9021,34
256,professional_track,27.48,1,0,1,0.6602,25
257,frontline_track,19.077,1,0,1,0.6662,47
258,frontline_track,18.9,1,1,1,0.2224,33
259,frontline_track,23.034,0,0,1,0.3408,38
260,professional_track,31.589,1,0,1,0.6701,18
261,professional_track,29.606,1,0,0,0.6771,23
262,frontline_track,20.167,0,1,1,0.5532,33
263,frontline_track,22.459,0,0,0,0.4606,29
264,frontline_track,18.027,0,0,1,0.2126,21
265,professional_track,33.947,1,0,1,0.5414,24
266,professional_track,31.756,1,0,1,0.6785,23
267,frontline_track,24.07,0,0,1,0.3428,29
268,frontline_track,27.403,1,0,0,0.4735,35
269,frontline_track,21.826,0,0,0,0.5599,38
270,professional_track,24.821,1,1,1,0.612,25
271,professional_track,30.159,1,1,1,0.8682,30
272,frontline_track,26.138,1,0,1,0.4404,33
273,frontline_track,24.354,1,0,1,0.2342,37
274,frontline_track,19.158,0,0,1,0.2772,55
275,professional_track,28.429,1,0,1,0.56,28
276,professional_track,31.734,1,0,1,0.5892,23
277,frontline_track,21.072,1,0,1,0.3512,41
278,frontline_track,19.312,0,0,1,0.2589,41
279,frontline_track,18.725,0,0,1,0.4606,39
280,professional_track,28.368,1,1,1,0.6125,39
281,professional_track,26.743,1,1,1,0.8034,20
282,frontline_track,21.275,0,0,1,0.2899,40
283,frontline_track,26.884,0,0,0,0.3674,44
284,frontline_track,24.102,0,0,0,0.3905,37
285,professional_track,32.827,0,1,1,0.8512,8
286,professional_track,30.076,0,1,1,0.7515,23
287,frontline_track,23.595,0,0,0,0.2376,42
288,frontline_track,21.316,1,0,0,0.4808,38
289,frontline_track,22.719,0,0,0,0.9322,38
290,professional_track,29.629,1,0,1,0.6034,32
291,professional_track,32.903,0,1,1,0.776,8
292,frontline_track,27.171,1,0,0,0.5409,51
293,frontline_track,22.8,0,1,0,0.4086,50
294,frontline_track,22.449,1,0,0,0.2688,47
295,professional_track,27.816,1,0,1,0.6644,22
296,professional_track,30.327,0,0,1,0.5292,26
297,frontline_track,24.329,0,0,1,0.4638,28
298,frontline_track,22.529,0,0,1,0.6215,49
299,frontline_track,17.542,0,0,0,0.6396,33
300,professional_track,32.647,0,0,1,0.7777,21
301,professional_track,29.132,0,1,1,0.7727,15
302,frontline_track,21.814,1,0,0,0.3083,39
303,frontline_track,23.683,0,0,0,0.3374,32
304,frontline_track,25.432,1,0,1,0.2171,51
305,professional_track,32.376,1,1,1,0.5442,15
306,professional_track,28.513,1,0,1,0.8109,21
307,frontline_track,18.327,0,0,1,0.4875,46
308,frontline_track,26.327,0,0,1,0.4627,48
309,frontline_track,24.296,0,1,0,0.4435,35
310,professional_track,30.039,0,1,1,0.6292,32
311,professional_track,30.044,1,1,1,0.5629,31
312,frontline_track,27.72,1,1,0,0.3896,55
313,frontline_track,20.875,1,0,0,0.4724,46
314,frontline_track,23.279,1,0,0,0.4036,39
315,professional_track,31.706,1,1,0,0.8366,20
316,professional_track,33.028,1,0,1,0.6856,26
317,frontline_track,21.588,0,0,0,0.4197,57
318,frontline_track,19.861,1,1,0,0.335,43
319,frontline_track,25.207,0,0,1,0.375,36
320,professional_track,26.842,1,0,1,0.9834,24
321,professional_track,29.121,1,0,1,1.0,20
322,frontline_track,24.136,0,0,1,0.2248,48
323,frontline_track,20.959,0,0,1,0.3147,38
324,frontline_track,25.049,0,0,1,0.3888,28
325,professional_track,31.464,0,1,1,0.671,28
326,professional_track,26.298,1,1,1,0.7705,19
327,frontline_track,22.952,0,0,1,0.2719,41
328,frontline_track,24.779,0,0,0,0.5192,45
329,frontline_track,20.789,0,1,0,0.2635,34
330,professional_track,35.963,1,1,1,0.5393,23
331,professional_track,31.307,1,0,1,0.6526,23
332,frontline_track,23.333,1,0,1,0.208,29
333,frontline_track,19.544,0,0,1,0.4643,38
334,frontline_track,26.151,0,0,0,0.6622,32
335,professional_track,24.562,1,1,1,0.5968,28
336,professional_track,31.365,0,1,1,0.7466,34
337,frontline_track,22.801,0,0,1,0.436,30
338,frontline_track,25.367,1,0,0,0.3215,42
339,frontline_track,24.636,1,0,0,0.3066,39
340,professional_track,27.239,0,1,1,0.8823,17
341,professional_track,29.349,1,1,1,0.9456,20
342,frontline_track,24.084,0,1,0,0.4177,50
343,frontline_track,22.366,1,0,1,0.3517,38
344,frontline_track,22.196,0,0,1,0.6811,34
345,professional_track,29.642,1,1,1,0.5746,28
346,professional_track,31.529,1,1,1,0.9156,24
347,frontline_track,21.67,0,0,0,0.451,23
348,frontline_track,21.334,0,0,1,0.47,41
349,frontline_track,20.591,0,0,0,0.3705,39
350,professional_track,32.664,0,1,1,0.5316,25
351,professional_track,28.931,0,1,1,0.9456,19
352,frontline_track,25.196,0,0,1,0.4651,34
353,frontline_track,20.062,0,0,1,0.5433,44
354,frontline_track,22.152,1,0,1,0.242,45
355,professional_track,32.835,1,1,0,0.8104,30
356,professional_track,26.926,1,0,1,0.872,15
357,frontline_track,23.726,0,1,1,0.6516,37
358,frontline_track,19.299,1,0,1,0.6502,44
359,frontline_track,20.529,1,0,1,0.2605,46
360,professional_track,30.329,1,1,1,0.5486,19
361,professional_track,32.888,1,1,1,0.8133,26
362,frontline_track,18.117,0,1,1,0.2672,51
363,frontline_track,17.903,1,0,0,0.3839,32
364,frontline_track,20.423,1,0,1,0.3221,30
365,professional_track,33.688,1,1,1,0.7314,16
366,professional_track,27.478,0,0,1,0.7168,17
367,frontline_track,21.332,0,0,1,0.5586,43
368,frontline_track,18.627,1,0,0,0.0821,36
369,frontline_track,24.238,1,0,0,0.4749,29
370,professional_track,32.537,0,1,0,0.6249,17
371,professional_track,28.113,0,0,1,0.6065,18
372,frontline_track,18.951,0,0,0,0.3247,45
373,frontline_track,23.11,0,0,1,0.5394,33
374,frontline_track,26.261,0,0,1,0.5612,35
375,professional_track,29.594,0,1,1,0.6684,17
376,professional_track,28.461,0,0,1,0.855,22
377,frontline_track,19.88,0,0,1,0.4791,35
378,frontline_track,24.25,1,0,0,0.2644,33
379,frontline_track,23.793,0,0,1,0.3028,40
380,professional_track,34.118,1,1,1,0.8492,13
381,professional_track,31.749,1,1,1,0.8398,28
382,frontline_track,21.464,0,0,1,0.2347,32
383,frontline_track,20.517,1,1,1,0.4757,42
384,frontline_track,23.774,0,0,1,0.5667,43
385,professional_track,28.72,1,0,1,0.6691,18
386,professional_track,33.957,1,1,1,0.7742,20
387,frontline_track,25.482,1,1,1,0.5291,35
388,frontline_track,24.32,1,0,0,0.3922,49
389,frontline_track,24.878,1,0,0,0.3181,38
390,professional_track,29.388,1,0,1,0.7312,35
391,professional_track,31.579,1,1,1,0.8553,25
392,frontline_track,24.378,0,0,1,0.355,41
393,frontline_track,21.925,1,1,0,0.5085,33
394,frontline_track,21.796,1,0,0,0.2839,42
395,professional_track,28.76,1,0,1,0.8591,42
396,professional_track,32.81,0,1,1,0.9231,29
397,frontline_track,22.235,0,0,1,0.1662,32
398,frontline_track,20.662,0,0,0,0.2855,47
399,frontline_track,22.14,0,0,1,0.4874,34
400,professional_track,33.681,1,1,0,0.8272,19
401,professional_track,30.987,1,1,1,0.8681,31
402,frontline_track,18.642,0,0,0,0.4924,32
403,frontline_track,21.233,1,1,0,0.5553,58
404,frontline_track,18.069,0,0,1,0.5536,46
405,professional_track,33.126,0,1,1,0.6757,21
406,professional_track,26.436,1,0,1,0.6955,38
407,frontline_track,23.131,1,0,1,0.4289,43
408,frontline_track,24.43,0,0,1,0.4066,39
409,frontline_track,22.777,0,0,1,0.5518,45
410,professional_track,33.348,1,1,1,0.6375,24
411,professional_track,31.598,0,1,1,0.9796,26
412,frontline_track,22.339,0,0,1,0.1766,45
413,frontline_track,21.045,1,0,0,0.4263,34
414,frontline_track,21.847,1,0,1,0.3642,42
415,professional_track,34.085,1,1,1,0.9363,34
416,professional_track,34.86,0,0,0,0.7266,27
417,frontline_track,20.663,1,0,0,0.5844,52
418,frontline_track,23.337,1,0,0,0.3514,39
419,frontline_track,28.109,1,1,0,0.3465,31
420,professional_track,32.405,1,0,1,0.7853,8
421,professional_track,31.248,1,0,0,0.8053,29
422,frontline_track,19.197,1,0,0,0.4755,38
423,frontline_track,20.754,1,0,1,0.2617,37
424,frontline_track,21.682,1,0,1,0.3767,51
425,professional_track,31.229,1,0,0,0.6945,12
426,professional_track,27.709,1,0,1,0.9275,8
427,frontline_track,21.162,1,0,0,0.3089,42
428,frontline_track,21.535,0,0,0,0.2922,39
429,frontline_track,19.436,1,0,1,0.4561,51
430,professional_track,28.044,0,1,1,0.8452,25
431,professional_track,30.374,0,1,1,0.8089,30
432,frontline_track,19.556,1,0,1,0.3005,37
433,frontline_track,22.807,1,0,1,0.2561,31
434,frontline_track,22.937,1,1,0,0.1861,42
435,professional_track,31.516,1,0,1,0.5999,21
436,professional_track,29.643,1,1,1,0.6278,24
437,frontline_track,24.556,1,0,1,0.3731,48
438,frontline_track,21.417,0,0,1,0.319,43
439,frontline_track,25.214,1,0,0,0.3505,40
440,professional_track,33.13,1,1,1,0.5657,14
441,professional_track,28.706,0,1,1,0.8731,10
442,frontline_track,21.022,1,0,0,0.6486,43
443,frontline_track,24.991,1,1,0,0.4068,41
444,frontline_track,20.939,0,0,1,0.5783,25
445,professional_track,31.553,1,0,1,0.8615,21
446,professional_track,34.151,1,1,1,0.7951,21
447,frontline_track,22.544,0,0,0,0.3304,52
448,frontline_track,21.168,0,0,0,0.485,46
449,frontline_track,18.845,1,0,0,0.3589,39
450,professional_track,31.52,1,1,0,0.543,16
451,professional_track,35.861,1,0,1,0.7974,16
452,frontline_track,21.378,1,0,0,0.3537,41
453,frontline_track,21.47,1,0,1,0.2996,34
454,frontline_track,21.625,0,0,1,0.3326,33
455,professional_track,33.772,1,1,0,0.854,31
456,professional_track,30.331,0,0,1,0.6342,25
457,frontline_track,22.552,1,0,1,0.3706,43
458,frontline_track,25.866,1,0,0,0.3784,31
459,frontline_track,25.701,1,1,1,0.5309,50
460,professional_track,31.79,1,0,1,0.8441,20
461,professional_track,32.683,1,1,1,0.8492,15
462,frontline_track,18.142,0,0,0,0.4936,28
463,frontline_track,21.788,0,0,0,0.3298,26
464,frontline_track,20.538,0,0,0,0.3619,32
465,professional_track,27.539,1,0,1,0.7962,21
466,professional_track,28.365,0,1,1,0.8996,9
467,frontline_track,24.994,0,0,0,0.2563,34
468,frontline_track,19.116,1,0,1,0.3171,27
469,frontline_track,22.611,1,0,1,0.4563,28
470,professional_track,29.499,0,0,1,0.8437,26
471,professional_track,33.621,1,1,1,0.9477,15
472,frontline_track,21.808,1,0,1,0.4202,42
473,frontline_track,22.264,1,0,0,0.3875,38
474,frontline_track,18.993,0,0,0,0.3422,23
475,professional_track,31.068,0,0,0,0.8008,26
476,professional_track,34.179,1,1,1,0.5195,20
477,frontline_track,21.704,0,0,0,0.259,32
478,frontline_track,21.247,0,0,0,0.5891,42
479,frontline_track,24.326,0,0,1,0.2705,33
480,professional_track,31.281,1,0,1,0.6469,25
481,professional_track,32.471,1,1,1,0.8222,20
482,frontline_track,22.32,1,0,1,0.4813,33
483,frontline_track,26.81,0,0,1,0.3928,34
484,frontline_track,17.811,0,0,1,0.2651,39
485,professional_track,28.806,0,1,1,0.5742,12
486,professional_track,33.717,1,0,1,1.0,33
487,frontline_track,19.699,0,0,0,0.3784,29
488,frontline_track,21.788,0,0,0,0.3839,38
489,frontline_track,21.827,0,0,1,0.5276,41
490,professional_track,25.172,1,0,1,0.5397,23
491,professional_track,29.299,1,1,1,0.5563,18
492,frontline_track,24.463,0,0,0,0.2393,41
493,frontline_track,24.79,0,0,0,0.4291,41
494,frontline_track,21.484,1,0,0,0.4596,36
495,professional_track,25.238,1,0,1,0.6447,12
496,professional_track,32.892,1,0,1,0.8249,23
497,frontline_track,21.494,1,1,0,0.4259,36
498,frontline_track,18.684,0,0,1,0.3127,38
499,frontline_track,23.717,0,0,1,0.4068,23
500,professional_track,36.429,1,0,1,0.7496,16
501,professional_track,27.113,0,0,1,0.5393,24
502,frontline_track,21.747,0,0,0,0.2289,23
503,frontline_track,25.345,1,0,1,0.3417,33
504,frontline_track,18.837,0,1,1,0.3793,36
505,professional_track,29.667,1,1,1,0.6956,33
506,professional_track,31.295,1,1,1,0.8484,19
507,frontline_track,20.487,0,0,0,0.3592,25
508,frontline_track,19.743,0,0,1,0.317,38
509,frontline_track,22.932,1,0,1,0.2158,25
510,professional_track,27.257,0,1,0,0.8627,15
511,professional_track,31.252,1,1,1,0.659,24
512,frontline_track,18.906,0,1,1,0.1448,44
513,frontline_track,18.402,1,0,0,0.206,51
514,frontline_track,17.893,1,0,0,0.6029,40
515,professional_track,31.184,1,1,1,0.7371,12
516,professional_track,32.754,1,1,1,0.9234,17
517,frontline_track,18.424,1,0,0,0.2912,44
518,frontline_track,22.605,0,0,1,0.3627,34
519,frontline_track,20.337,1,0,1,0.447,31
520,professional_track,31.677,1,1,0,0.7779,30
521,professional_track,30.379,1,1,1,0.6019,19
522,frontline_track,19.137,1,0,1,0.3005,35
523,frontline_track,23.099,0,1,1,0.3188,44
524,frontline_track,23.008,0,0,0,0.3816,31
525,professional_track,33.574,1,1,1,0.7998,36
526,professional_track,34.361,0,0,1,0.6621,20
527,frontline_track,24.784,0,0,1,0.3169,24
528,frontline_track,21.501,0,0,0,0.4623,33
529,frontline_track,23.726,0,0,1,0.4049,34
530,professional_track,26.917,1,0,1,0.8359,12
531,professional_track,32.558,1,0,1,1.0,31
532,frontline_track,22.812,1,0,1,0.4052,35
533,frontline_track,21.142,0,0,1,0.6139,37
534,frontline_track,20.998,1,1,0,0.4649,37
535,professional_track,29.479,1,0,1,0.7075,25
536,professional_track,28.182,1,0,1,0.9222,20
537,frontline_track,21.572,1,0,1,0.5466,41
538,frontline_track,21.967,0,0,0,0.3888,31
539,frontline_track,24.777,0,0,0,0.3831,31
540,professional_track,29.194,0,0,1,0.6871,20
541,professional_track,23.91,0,1,1,0.8324,8
542,frontline_track,19.27,0,0,1,0.2736,36
543,frontline_track,18.517,0,0,0,0.4971,37
544,frontline_track,24.328,1,0,0,0.2305,35
545,professional_track,32.698,1,0,0,0.624,32
546,professional_track,29.487,1,1,1,0.7913,32
547,frontline_track,23.701,0,0,0,0.4061,49
548,frontline_track,19.616,0,0,1,0.2647,29
549,frontline_track,24.976,0,0,1,0.6177,46
550,professional_track,31.806,0,0,1,0.6189,12
551,professional_track,33.067,0,1,1,0.7443,15
552,frontline_track,24.114,1,1,0,0.283,40
553,frontline_track,22.727,0,0,0,0.2257,30
554,frontline_track,27.088,1,0,0,0.3795,41
555,professional_track,30.408,1,1,1,0.6361,20
556,professional_track,31.579,0,0,1,0.7684,31
557,frontline_track,23.193,0,0,1,0.2199,36
558,frontline_track,23.362,0,0,0,0.1806,23
559,frontline_track,18.642,0,0,0,0.4186,48
560,professional_track,31.771,0,0,1,0.8194,24
561,professional_track,33.333,1,0,1,0.6146,14
562,frontline_track,24.547,1,0,0,0.1795,37
563,frontline_track,20.965,1,0,0,0.4898,37
564,frontline_track,22.687,1,0,0,0.4036,40
565,professional_track,32.962,0,1,1,0.7702,25
566,professional_track,28.888,1,1,1,0.8878,22
567,frontline_track,24.564,0,0,0,0.2888,40
