worker_id,day,contract,chose_commitment,high_self_control_type,payday_distance,close_to_payday,target_units,output_units,met_target
worker-013,8,standard,0,1,0,1,52,59.3,1
worker-013,9,standard,0,1,1,1,52,58.9,1
worker-013,10,standard,0,1,2,1,52,58.5,1
worker-014,1,standard,0,0,4,0,52,51.25,0
worker-014,2,standard,0,0,5,0,52,50.85,0
worker-014,3,standard,0,0,6,0,52,50.45,0
worker-014,4,standard,0,0,7,0,52,50.05,0
worker-014,5,standard,0,0,8,0,52,49.65,0
worker-014,6,standard,0,0,9,0,52,49.25,0
worker-014,7,standard,0,0,0,1,52,56.35,1
worker-014,8,standard,0,0,1,1,52,55.95,1
worker-014,9,standard,0,0,2,1,52,55.55,1
worker-014,10,standard,0,0,3,0,52,55.15,1
worker-015,1,commitment,1,0,5,0,52,55.3,1
worker-015,2,commitment,1,0,6,0,52,54.9,1
worker-015,3,commitment,1,0,7,0,52,54.5,1
worker-015,4,commitment,1,0,8,0,52,54.1,1
worker-015,5,commitment,1,0,9,0,52,53.7,1
worker-015,6,commitment,1,0,0,1,52,60.8,1
worker-015,7,commitment,1,0,1,1,52,60.4,1
worker-015,8,commitment,1,0,2,1,52,60.0,1
worker-015,9,commitment,1,0,3,0,52,59.6,1
worker-015,10,commitment,1,0,4,0,52,59.2,1
worker-016,1,commitment,1,1,6,0,52,58.35,1
worker-016,2,commitment,1,1,7,0,52,57.95,1
worker-016,3,commitment,1,1,8,0,52,57.55,1
worker-016,4,commitment,1,1,9,0,52,57.15,1
worker-016,5,commitment,1,1,0,1,52,64.25,1
worker-016,6,commitment,1,1,1,1,52,63.85,1
worker-016,7,commitment,1,1,2,1,52,63.45,1
worker-016,8,commitment,1,1,3,0,52,63.05,1
worker-016,9,commitment,1,1,4,0,52,62.65,1
worker-016,10,commitment,1,1,5,0,52,62.25,1
worker-017,1,standard,0,1,7,0,52,54.0,1
worker-017,2,standard,0,1,8,0,52,53.6,1
worker-017,3,standard,0,1,9,0,52,53.2,1
worker-017,4,standard,0,1,0,1,52,60.3,1
worker-017,5,standard,0,1,1,1,52,59.9,1
worker-017,6,standard,0,1,2,1,52,59.5,1
worker-017,7,standard,0,1,3,0,52,59.1,1
worker-017,8,standard,0,1,4,0,52,58.7,1
worker-017,9,standard,0,1,5,0,52,58.3,1
worker-017,10,standard,0,1,6,0,52,57.9,1
worker-018,1,standard,0,0,8,0,52,50.65,0
worker-018,2,standard,0,0,9,0,52,50.25,0
worker-018,3,standard,0,0,0,1,52,57.35,1
worker-018,4,standard,0,0,1,1,52,56.95,1
worker-018,5,standard,0,0,2,1,52,56.55,1
worker-018,6,standard,0,0,3,0,52,56.15,1
worker-018,7,standard,0,0,4,0,52,55.75,1
worker-018,8,standard,0,0,5,0,52,55.35,1
worker-018,9,standard,0,0,6,0,52,54.95,1
worker-018,10,standard,0,0,7,0,52,54.55,1
worker-019,1,standard,0,0,9,0,52,50.5,0
worker-019,2,standard,0,0,0,1,52,57.6,1
worker-019,3,standard,0,0,1,1,52,57.2,1
worker-019,4,standard,0,0,2,1,52,56.8,1
worker-019,5,standard,0,0,3,0,52,56.4,1
worker-019,6,standard,0,0,4,0,52,56.0,1
worker-019,7,standard,0,0,5,0,52,55.6,1
worker-019,8,standard,0,0,6,0,52,55.2,1
worker-019,9,standard,0,0,7,0,52,54.8,1
worker-019,10,standard,0,0,8,0,52,54.4,1
worker-020,1,commitment,1,1,0,1,52,59.25,1
worker-020,2,commitment,1,1,1,1,52,58.85,1
worker-020,3,commitment,1,1,2,1,52,58.45,1
worker-020,4,commitment,1,1,3,0,52,58.05,1
worker-020,5,commitment,1,1,4,0,52,57.65,1
worker-020,6,commitment,1,1,5,0,52,57.25,1
worker-020,7,commitment,1,1,6,0,52,56.85,1
worker-020,8,commitment,1,1,7,0,52,56.45,1
worker-020,9,commitment,1,1,8,0,52,56.05,1
worker-020,10,commitment,1,1,9,0,52,55.65,1
worker-021,1,commitment,1,1,1,1,52,59.1,1
worker-021,2,commitment,1,1,2,1,52,58.7,1
worker-021,3,commitment,1,1,3,0,52,58.3,1
worker-021,4,commitment,1,1,4,0,52,57.9,1
worker-021,5,commitment,1,1,5,0,52,57.5,1
worker-021,6,commitment,1,1,6,0,52,57.1,1
worker-021,7,commitment,1,1,7,0,52,56.7,1
worker-021,8,commitment,1,1,8,0,52,56.3,1
worker-021,9,commitment,1,1,9,0,52,55.9,1
worker-021,10,commitment,1,1,0,1,52,63.0,1
worker-022,1,standard,0,0,2,1,52,51.55,0
worker-022,2,standard,0,0,3,0,52,51.15,0
worker-022,3,standard,0,0,4,0,52,50.75,0
worker-022,4,standard,0,0,5,0,52,50.35,0
worker-022,5,standard,0,0,6,0,52,49.95,0
worker-022,6,standard,0,0,7,0,52,49.55,0
worker-022,7,standard,0,0,8,0,52,49.15,0
worker-022,8,standard,0,0,9,0,52,48.75,0
worker-022,9,standard,0,0,0,1,52,55.85,1
worker-022,10,standard,0,0,1,1,52,55.45,1
worker-023,1,standard,0,0,3,0,52,51.4,0
worker-023,2,standard,0,0,4,0,52,51.0,0
worker-023,3,standard,0,0,5,0,52,50.6,0
worker-023,4,standard,0,0,6,0,52,50.2,0
worker-023,5,standard,0,0,7,0,52,49.8,0
worker-023,6,standard,0,0,8,0,52,49.4,0
worker-023,7,standard,0,0,9,0,52,49.0,0
worker-023,8,standard,0,0,0,1,52,56.1,1
worker-023,9,standard,0,0,1,1,52,55.7,1
worker-023,10,standard,0,0,2,1,52,55.3,1
worker-024,1,standard,0,1,4,0,52,54.45,1
worker-024,2,standard,0,1,5,0,52,54.05,1
worker-024,3,standard,0,1,6,0,52,53.65,1
worker-024,4,standard,0,1,7,0,52,53.25,1
worker-024,5,standard,0,1,8,0,52,52.85,1
worker-024,6,standard,0,1,9,0,52,52.45,1
worker-024,7,standard,0,1,0,1,52,59.55,1
worker-024,8,standard,0,1,1,1,52,59.15,1
worker-024,9,standard,0,1,2,1,52,58.75,1
worker-024,10,standard,0,1,3,0,52,58.35,1
worker-025,1,commitment,1,1,5,0,52,58.5,1
worker-025,2,commitment,1,1,6,0,52,58.1,1
worker-025,3,commitment,1,1,7,0,52,57.7,1
worker-025,4,commitment,1,1,8,0,52,57.3,1
worker-025,5,commitment,1,1,9,0,52,56.9,1
worker-025,6,commitment,1,1,0,1,52,64.0,1
worker-025,7,commitment,1,1,1,1,52,63.6,1
worker-025,8,commitment,1,1,2,1,52,63.2,1
worker-025,9,commitment,1,1,3,0,52,62.8,1
worker-025,10,commitment,1,1,4,0,52,62.4,1
worker-026,1,commitment,1,0,6,0,52,55.15,1
worker-026,2,commitment,1,0,7,0,52,54.75,1
worker-026,3,commitment,1,0,8,0,52,54.35,1
worker-026,4,commitment,1,0,9,0,52,53.95,1
worker-026,5,commitment,1,0,0,1,52,61.05,1
worker-026,6,commitment,1,0,1,1,52,60.65,1
worker-026,7,commitment,1,0,2,1,52,60.25,1
worker-026,8,commitment,1,0,3,0,52,59.85,1
worker-026,9,commitment,1,0,4,0,52,59.45,1
worker-026,10,commitment,1,0,5,0,52,59.05,1
worker-027,1,standard,0,0,7,0,52,50.8,0
worker-027,2,standard,0,0,8,0,52,50.4,0
worker-027,3,standard,0,0,9,0,52,50.0,0
worker-027,4,standard,0,0,0,1,52,57.1,1
worker-027,5,standard,0,0,1,1,52,56.7,1
worker-027,6,standard,0,0,2,1,52,56.3,1
worker-027,7,standard,0,0,3,0,52,55.9,1
worker-027,8,standard,0,0,4,0,52,55.5,1
worker-027,9,standard,0,0,5,0,52,55.1,1
worker-027,10,standard,0,0,6,0,52,54.7,1
worker-028,1,standard,0,1,8,0,52,53.85,1
worker-028,2,standard,0,1,9,0,52,53.45,1
worker-028,3,standard,0,1,0,1,52,60.55,1
worker-028,4,standard,0,1,1,1,52,60.15,1
worker-028,5,standard,0,1,2,1,52,59.75,1
worker-028,6,standard,0,1,3,0,52,59.35,1
worker-028,7,standard,0,1,4,0,52,58.95,1
worker-028,8,standard,0,1,5,0,52,58.55,1
worker-028,9,standard,0,1,6,0,52,58.15,1
worker-028,10,standard,0,1,7,0,52,57.75,1
worker-029,1,standard,0,1,9,0,52,53.7,1
worker-029,2,standard,0,1,0,1,52,60.8,1
worker-029,3,standard,0,1,1,1,52,60.4,1
worker-029,4,standard,0,1,2,1,52,60.0,1
worker-029,5,standard,0,1,3,0,52,59.6,1
worker-029,6,standard,0,1,4,0,52,59.2,1
worker-029,7,standard,0,1,5,0,52,58.8,1
worker-029,8,standard,0,1,6,0,52,58.4,1
worker-029,9,standard,0,1,7,0,52,58.0,1
worker-029,10,standard,0,1,8,0,52,57.6,1
worker-030,1,commitment,1,0,0,1,52,56.05,1
worker-030,2,commitment,1,0,1,1,52,55.65,1
worker-030,3,commitment,1,0,2,1,52,55.25,1
worker-030,4,commitment,1,0,3,0,52,54.85,1
worker-030,5,commitment,1,0,4,0,52,54.45,1
worker-030,6,commitment,1,0,5,0,52,54.05,1
worker-030,7,commitment,1,0,6,0,52,53.65,1
worker-030,8,commitment,1,0,7,0,52,53.25,1
worker-030,9,commitment,1,0,8,0,52,52.85,1
worker-030,10,commitment,1,0,9,0,52,52.45,1
worker-031,1,commitment,1,0,1,1,52,55.9,1
worker-031,2,commitment,1,0,2,1,52,55.5,1
worker-031,3,commitment,1,0,3,0,52,55.1,1
worker-031,4,commitment,1,0,4,0,52,54.7,1
worker-031,5,commitment,1,0,5,0,52,54.3,1
worker-031,6,commitment,1,0,6,0,52,53.9,1
worker-031,7,commitment,1,0,7,0,52,53.5,1
worker-031,8,commitment,1,0,8,0,52,53.1,1
worker-031,9,commitment,1,0,9,0,52,52.7,1
worker-031,10,commitment,1,0,0,1,52,59.8,1
worker-032,1,standard,0,1,2,1,52,54.75,1
worker-032,2,standard,0,1,3,0,52,54.35,1
worker-032,3,standard,0,1,4,0,52,53.95,1
worker-032,4,standard,0,1,5,0,52,53.55,1
worker-032,5,standard,0,1,6,0,52,53.15,1
worker-032,6,standard,0,1,7,0,52,52.75,1
worker-032,7,standard,0,1,8,0,52,52.35,1
worker-032,8,standard,0,1,9,0,52,51.95,0
worker-032,9,standard,0,1,0,1,52,59.05,1
worker-032,10,standard,0,1,1,1,52,58.65,1
worker-033,1,standard,0,1,3,0,52,54.6,1
worker-033,2,standard,0,1,4,0,52,54.2,1
worker-033,3,standard,0,1,5,0,52,53.8,1
worker-033,4,standard,0,1,6,0,52,53.4,1
worker-033,5,standard,0,1,7,0,52,53.0,1
worker-033,6,standard,0,1,8,0,52,52.6,1
worker-033,7,standard,0,1,9,0,52,52.2,1
worker-033,8,standard,0,1,0,1,52,59.3,1
worker-033,9,standard,0,1,1,1,52,58.9,1
worker-033,10,standard,0,1,2,1,52,58.5,1
worker-034,1,standard,0,0,4,0,52,51.25,0
worker-034,2,standard,0,0,5,0,52,50.85,0
worker-034,3,standard,0,0,6,0,52,50.45,0
worker-034,4,standard,0,0,7,0,52,50.05,0
worker-034,5,standard,0,0,8,0,52,49.65,0
worker-034,6,standard,0,0,9,0,52,49.25,0
worker-034,7,standard,0,0,0,1,52,56.35,1
worker-034,8,standard,0,0,1,1,52,55.95,1
worker-034,9,standard,0,0,2,1,52,55.55,1
worker-034,10,standard,0,0,3,0,52,55.15,1
worker-035,1,commitment,1,0,5,0,52,55.3,1
worker-035,2,commitment,1,0,6,0,52,54.9,1
worker-035,3,commitment,1,0,7,0,52,54.5,1
worker-035,4,commitment,1,0,8,0,52,54.1,1
worker-035,5,commitment,1,0,9,0,52,53.7,1
worker-035,6,commitment,1,0,0,1,52,60.8,1
worker-035,7,commitment,1,0,1,1,52,60.4,1
worker-035,8,commitment,1,0,2,1,52,60.0,1
worker-035,9,commitment,1,0,3,0,52,59.6,1
worker-035,10,commitment,1,0,4,0,52,59.2,1
worker-036,1,commitment,1,1,6,0,52,58.35,1
worker-036,2,commitment,1,1,7,0,52,57.95,1
worker-036,3,commitment,1,1,8,0,52,57.55,1
worker-036,4,commitment,1,1,9,0,52,57.15,1
worker-036,5,commitment,1,1,0,1,52,64.25,1
worker-036,6,commitment,1,1,1,1,52,63.85,1
worker-036,7,commitment,1,1,2,1,52,63.45,1
worker-036,8,commitment,1,1,3,0,52,63.05,1
worker-036,9,commitment,1,1,4,0,52,62.65,1
worker-036,10,commitment,1,1,5,0,52,62.25,1
worker-037,1,standard,0,1,7,0,52,54.0,1
worker-037,2,standard,0,1,8,0,52,53.6,1
worker-037,3,standard,0,1,9,0,52,53.2,1
worker-037,4,standard,0,1,0,1,52,60.3,1
worker-037,5,standard,0,1,1,1,52,59.9,1
worker-037,6,standard,0,1,2,1,52,59.5,1
worker-037,7,standard,0,1,3,0,52,59.1,1
worker-037,8,standard,0,1,4,0,52,58.7,1
worker-037,9,standard,0,1,5,0,52,58.3,1
worker-037,10,standard,0,1,6,0,52,57.9,1
worker-038,1,standard,0,0,8,0,52,50.65,0
worker-038,2,standard,0,0,9,0,52,50.25,0
worker-038,3,standard,0,0,0,1,52,57.35,1
worker-038,4,standard,0,0,1,1,52,56.95,1
worker-038,5,standard,0,0,2,1,52,56.55,1
worker-038,6,standard,0,0,3,0,52,56.15,1
worker-038,7,standard,0,0,4,0,52,55.75,1
worker-038,8,standard,0,0,5,0,52,55.35,1
worker-038,9,standard,0,0,6,0,52,54.95,1
worker-038,10,standard,0,0,7,0,52,54.55,1
worker-039,1,standard,0,0,9,0,52,50.5,0
worker-039,2,standard,0,0,0,1,52,57.6,1
worker-039,3,standard,0,0,1,1,52,57.2,1
worker-039,4,standard,0,0,2,1,52,56.8,1
worker-039,5,standard,0,0,3,0,52,56.4,1
worker-039,6,standard,0,0,4,0,52,56.0,1
worker-039,7,standard,0,0,5,0,52,55.6,1
worker-039,8,standard,0,0,6,0,52,55.2,1
worker-039,9,standard,0,0,7,0,52,54.8,1
worker-039,10,standard,0,0,8,0,52,54.4,1
worker-040,1,commitment,1,1,0,1,52,59.25,1
worker-040,2,commitment,1,1,1,1,52,58.85,1
worker-040,3,commitment,1,1,2,1,52,58.45,1
worker-040,4,commitment,1,1,3,0,52,58.05,1
worker-040,5,commitment,1,1,4,0,52,57.65,1
worker-040,6,commitment,1,1,5,0,52,57.25,1
worker-040,7,commitment,1,1,6,0,52,56.85,1
worker-040,8,commitment,1,1,7,0,52,56.45,1
worker-040,9,commitment,1,1,8,0,52,56.05,1
worker-040,10,commitment,1,1,9,0,52,55.65,1
worker-041,1,commitment,1,1,1,1,52,59.1,1
worker-041,2,commitment,1,1,2,1,52,58.7,1
worker-041,3,commitment,1,1,3,0,52,58.3,1
worker-041,4,commitment,1,1,4,0,52,57.9,1
worker-041,5,commitment,1,1,5,0,52,57.5,1
worker-041,6,commitment,1,1,6,0,52,57.1,1
worker-041,7,commitment,1,1,7,0,52,56.7,1
worker-041,8,commitment,1,1,8,0,52,56.3,1
worker-041,9,commitment,1,1,9,0,52,55.9,1
worker-041,10,commitment,1,1,0,1,52,63.0,1
worker-042,1,standard,0,0,2,1,52,51.55,0
worker-042,2,standard,0,0,3,0,52,51.15,0
worker-042,3,standard,0,0,4,0,52,50.75,0
worker-042,4,standard,0,0,5,0,52,50.35,0
worker-042,5,standard,0,0,6,0,52,49.95,0
worker-042,6,standard,0,0,7,0,52,49.55,0
worker-042,7,standard,0,0,8,0,52,49.15,0
worker-042,8,standard,0,0,9,0,52,48.75,0
worker-042,9,standard,0,0,0,1,52,55.85,1
worker-042,10,standard,0,0,1,1,52,55.45,1
worker-043,1,standard,0,0,3,0,52,51.4,0
worker-043,2,standard,0,0,4,0,52,51.0,0
worker-043,3,standard,0,0,5,0,52,50.6,0
worker-043,4,standard,0,0,6,0,52,50.2,0
worker-043,5,standard,0,0,7,0,52,49.8,0
worker-043,6,standard,0,0,8,0,52,49.4,0
worker-043,7,standard,0,0,9,0,52,49.0,0
worker-043,8,standard,0,0,0,1,52,56.1,1
worker-043,9,standard,0,0,1,1,52,55.7,1
worker-043,10,standard,0,0,2,1,52,55.3,1
worker-044,1,standard,0,1,4,0,52,54.45,1
worker-044,2,standard,0,1,5,0,52,54.05,1
worker-044,3,standard,0,1,6,0,52,53.65,1
worker-044,4,standard,0,1,7,0,52,53.25,1
worker-044,5,standard,0,1,8,0,52,52.85,1
worker-044,6,standard,0,1,9,0,52,52.45,1
worker-044,7,standard,0,1,0,1,52,59.55,1
worker-044,8,standard,0,1,1,1,52,59.15,1
worker-044,9,standard,0,1,2,1,52,58.75,1
worker-044,10,standard,0,1,3,0,52,58.35,1
worker-045,1,commitment,1,1,5,0,52,58.5,1
worker-045,2,commitment,1,1,6,0,52,58.1,1
worker-045,3,commitment,1,1,7,0,52,57.7,1
worker-045,4,commitment,1,1,8,0,52,57.3,1
worker-045,5,commitment,1,1,9,0,52,56.9,1
worker-045,6,commitment,1,1,0,1,52,64.0,1
worker-045,7,commitment,1,1,1,1,52,63.6,1
worker-045,8,commitment,1,1,2,1,52,63.2,1
worker-045,9,commitment,1,1,3,0,52,62.8,1
worker-045,10,commitment,1,1,4,0,52,62.4,1
worker-046,1,commitment,1,0,6,0,52,55.15,1
worker-046,2,commitment,1,0,7,0,52,54.75,1
worker-046,3,commitment,1,0,8,0,52,54.35,1
worker-046,4,commitment,1,0,9,0,52,53.95,1
worker-046,5,commitment,1,0,0,1,52,61.05,1
worker-046,6,commitment,1,0,1,1,52,60.65,1
worker-046,7,commitment,1,0,2,1,52,60.25,1
worker-046,8,commitment,1,0,3,0,52,59.85,1
worker-046,9,commitment,1,0,4,0,52,59.45,1
worker-046,10,commitment,1,0,5,0,52,59.05,1
worker-047,1,standard,0,0,7,0,52,50.8,0
worker-047,2,standard,0,0,8,0,52,50.4,0
worker-047,3,standard,0,0,9,0,52,50.0,0
worker-047,4,standard,0,0,0,1,52,57.1,1
worker-047,5,standard,0,0,1,1,52,56.7,1
worker-047,6,standard,0,0,2,1,52,56.3,1
worker-047,7,standard,0,0,3,0,52,55.9,1
worker-047,8,standard,0,0,4,0,52,55.5,1
worker-047,9,standard,0,0,5,0,52,55.1,1
worker-047,10,standard,0,0,6,0,52,54.7,1
worker-048,1,standard,0,1,8,0,52,53.85,1
worker-048,2,standard,0,1,9,0,52,53.45,1
worker-048,3,standard,0,1,0,1,52,60.55,1
worker-048,4,standard,0,1,1,1,52,60.15,1
worker-048,5,standard,0,1,2,1,52,59.75,1
worker-048,6,standard,0,1,3,0,52,59.35,1
worker-048,7,standard,0,1,4,0,52,58.95,1
worker-048,8,standard,0,1,5,0,52,58.55,1
worker-048,9,standard,0,1,6,0,52,58.15,1
worker-048,10,standard,0,1,7,0,52,57.75,1
worker-049,1,standard,0,1,9,0,52,53.7,1
worker-049,2,standard,0,1,0,1,52,60.8,1
worker-049,3,standard,0,1,1,1,52,60.4,1
worker-049,4,standard,0,1,2,1,52,60.0,1
worker-049,5,standard,0,1,3,0,52,59.6,1
worker-049,6,standard,0,1,4,0,52,59.2,1
worker-049,7,standard,0,1,5,0,52,58.8,1
worker-049,8,standard,0,1,6,0,52,58.4,1
worker-049,9,standard,0,1,7,0,52,58.0,1
worker-049,10,standard,0,1,8,0,52,57.6,1
worker-050,1,commitment,1,0,0,1,52,56.05,1
worker-050,2,commitment,1,0,1,1,52,55.65,1
worker-050,3,commitment,1,0,2,1,52,55.25,1
worker-050,4,commitment,1,0,3,0,52,54.85,1
worker-050,5,commitment,1,0,4,0,52,54.45,1
worker-050,6,commitment,1,0,5,0,52,54.05,1
worker-050,7,commitment,1,0,6,0,52,53.65,1
worker-050,8,commitment,1,0,7,0,52,53.25,1
worker-050,9,commitment,1,0,8,0,52,52.85,1
worker-050,10,commitment,1,0,9,0,52,52.45,1
worker-051,1,commitment,1,0,1,1,52,55.9,1
worker-051,2,commitment,1,0,2,1,52,55.5,1
worker-051,3,commitment,1,0,3,0,52,55.1,1
worker-051,4,commitment,1,0,4,0,52,54.7,1
worker-051,5,commitment,1,0,5,0,52,54.3,1
worker-051,6,commitment,1,0,6,0,52,53.9,1
worker-051,7,commitment,1,0,7,0,52,53.5,1
worker-051,8,commitment,1,0,8,0,52,53.1,1
worker-051,9,commitment,1,0,9,0,52,52.7,1
worker-051,10,commitment,1,0,0,1,52,59.8,1
worker-052,1,standard,0,1,2,1,52,54.75,1
worker-052,2,standard,0,1,3,0,52,54.35,1
worker-052,3,standard,0,1,4,0,52,53.95,1
worker-052,4,standard,0,1,5,0,52,53.55,1
worker-052,5,standard,0,1,6,0,52,53.15,1
worker-052,6,standard,0,1,7,0,52,52.75,1
