residence_id,residence_name,workplace_id,workplace_name,distance,commute_cost,baseline_commuters,share_of_residents
L08,East University,L12,Old Mill,16.1555,7.3853,21.285085,0.186338
L09,Prairie Works,L01,Harbor Core,40.4475,22.0879,1.627506,0.01847
L09,Prairie Works,L02,North Rail,34.2345,19.4785,2.089864,0.023718
L09,Prairie Works,L03,River Plant,42.1545,24.2049,1.590681,0.018052
L09,Prairie Works,L04,Mesa Tech,43.8634,24.9226,1.702323,0.019319
L09,Prairie Works,L05,South Port,18.4391,8.3444,7.914322,0.089818
L09,Prairie Works,L06,Lake Junction,20.5913,10.6483,8.230685,0.093409
L09,Prairie Works,L07,Cedar Loop,28.8444,14.1147,5.276354,0.059881
L09,Prairie Works,L08,East University,41.2311,19.317,3.798439,0.043108
L09,Prairie Works,L09,Prairie Works,0.0,1.6,28.125506,0.319192
L09,Prairie Works,L10,West Gateway,16.1245,8.7723,14.351532,0.162873
L09,Prairie Works,L11,Hill Market,32.0624,15.4662,8.698195,0.098715
L09,Prairie Works,L12,Old Mill,44.0114,20.4848,4.70922,0.053444
L10,West Gateway,L01,Harbor Core,47.4131,26.4135,0.993868,0.00917
L10,West Gateway,L02,North Rail,37.9473,22.4379,1.485422,0.013706
L10,West Gateway,L03,River Plant,41.0,22.32,1.936762,0.01787
L10,West Gateway,L04,Mesa Tech,36.7696,21.9432,2.340724,0.021597
L10,West Gateway,L05,South Port,28.2843,13.8794,4.225324,0.038986
L10,West Gateway,L06,Lake Junction,20.8806,9.3699,9.368338,0.08644
L10,West Gateway,L07,Cedar Loop,19.6977,8.873,9.328446,0.086072
L10,West Gateway,L08,East University,28.4253,13.9386,6.818314,0.062911
L10,West Gateway,L09,Prairie Works,16.1245,8.7723,12.518114,0.115503
L10,West Gateway,L10,West Gateway,0.0,1.6,31.443774,0.290127
L10,West Gateway,L11,Hill Market,16.0,8.72,18.176242,0.167709
L10,West Gateway,L12,Old Mill,28.1603,13.8273,9.744144,0.089908
L11,Hill Market,L01,Harbor Core,56.6392,30.2885,0.646212,0.005462
L11,Hill Market,L02,North Rail,45.607,25.6549,1.039077,0.008783
L11,Hill Market,L03,River Plant,44.0114,24.9848,1.440524,0.012176
L11,Hill Market,L04,Mesa Tech,34.0588,19.4047,3.103698,0.026234
L11,Hill Market,L05,South Port,41.1825,19.2967,2.314636,0.019564
L11,Hill Market,L06,Lake Junction,29.7321,14.4875,5.305755,0.044846
L11,Hill Market,L07,Cedar Loop,19.6977,10.273,7.985213,0.067494
L11,Hill Market,L08,East University,18.9737,8.5689,12.382995,0.104665
L11,Hill Market,L09,Prairie Works,32.0624,15.4662,5.95058,0.050296
L11,Hill Market,L10,West Gateway,16.0,8.72,14.255867,0.120495
L11,Hill Market,L11,Hill Market,0.0,1.6,40.097144,0.338915
L11,Hill Market,L12,Old Mill,12.3693,5.7951,23.788726,0.20107
L12,Old Mill,L01,Harbor Core,63.4114,33.1328,0.460237,0.004462
L12,Old Mill,L02,North Rail,51.8556,28.2793,0.758343,0.007351
L12,Old Mill,L03,River Plant,47.2017,26.3247,1.212612,0.011755
L12,Old Mill,L04,Mesa Tech,34.0147,19.3862,3.038296,0.029453
L12,Old Mill,L05,South Port,50.9215,23.387,1.435369,0.013915
L12,Old Mill,L06,Lake Junction,38.0132,17.9655,3.521879,0.034141
L12,Old Mill,L07,Cedar Loop,25.0,12.5,6.090889,0.059045
L12,Old Mill,L08,East University,16.1555,7.3853,13.797429,0.133753
L12,Old Mill,L09,Prairie Works,44.0114,20.4848,3.328472,0.032266
L12,Old Mill,L10,West Gateway,28.1603,13.8273,7.895854,0.076543
L12,Old Mill,L11,Hill Market,12.3693,5.7951,24.577464,0.238255
L12,Old Mill,L12,Old Mill,0.0,1.6,37.039356,0.359061
