residence_id,residence_name,workplace_id,workplace_name,distance,commute_cost,commuters,share_of_residents,log_commuters,log_commuters_fitted,gravity_residual
L07,Cedar Loop,L10,West Gateway,19.6977,8.873,12.692377,0.124036,2.541002,2.389053,0.151949
L07,Cedar Loop,L11,Hill Market,19.6977,10.273,13.85258,0.135374,2.628471,2.404623,0.223849
L07,Cedar Loop,L12,Old Mill,25.0,12.5,10.227252,0.099946,2.325056,2.037254,0.287802
L08,East University,L01,Harbor Core,50.1199,27.5503,0.935289,0.008188,-0.0669,0.323829,-0.390729
L08,East University,L02,North Rail,38.4708,22.6577,1.547806,0.01355,0.436838,0.670669,-0.233831
L08,East University,L03,River Plant,31.8277,19.8676,2.715751,0.023775,0.999069,1.054252,-0.055184
L08,East University,L04,Mesa Tech,17.8885,12.6132,7.047614,0.061698,1.952689,1.696613,0.256076
L08,East University,L05,South Port,42.0476,19.66,2.373509,0.020779,0.864369,1.011702,-0.147333
L08,East University,L06,Lake Junction,28.0713,13.79,6.121308,0.053588,1.811776,1.770767,0.041009
L08,East University,L07,Cedar Loop,14.0,7.88,11.122433,0.09737,2.408964,2.249274,0.15969
L08,East University,L08,East University,0.0,1.6,28.677993,0.251059,3.35613,3.929355,-0.573225
L08,East University,L09,Prairie Works,41.2311,19.317,4.141697,0.036258,1.421106,1.478814,-0.057708
L08,East University,L10,West Gateway,28.4253,13.9386,8.523336,0.074617,2.142808,1.980044,0.162764
L08,East University,L11,Hill Market,18.9737,8.5689,19.736438,0.172781,2.982467,2.615765,0.366702
L08,East University,L12,Old Mill,16.1555,7.3853,21.285085,0.186338,3.058007,2.586239,0.471768
L09,Prairie Works,L01,Harbor Core,40.4475,22.0879,1.627506,0.01847,0.487049,0.44357,0.043479
L09,Prairie Works,L02,North Rail,34.2345,19.4785,2.089864,0.023718,0.737099,0.722035,0.015064
L09,Prairie Works,L03,River Plant,42.1545,24.2049,1.590681,0.018052,0.464162,0.764057,-0.299895
L09,Prairie Works,L04,Mesa Tech,43.8634,24.9226,1.702323,0.019319,0.531994,0.932689,-0.400695
L09,Prairie Works,L05,South Port,18.4391,8.3444,7.914322,0.089818,2.068674,1.754517,0.314157
L09,Prairie Works,L06,Lake Junction,20.5913,10.6483,8.230685,0.093409,2.107869,1.927304,0.180566
L09,Prairie Works,L07,Cedar Loop,28.8444,14.1147,5.276354,0.059881,1.663235,1.581495,0.081741
L09,Prairie Works,L08,East University,41.2311,19.317,3.798439,0.043108,1.33459,1.392298,-0.057708
L09,Prairie Works,L09,Prairie Works,0.0,1.6,28.125506,0.319192,3.336677,3.822376,-0.485699
L09,Prairie Works,L10,West Gateway,16.1245,8.7723,14.351532,0.162873,2.663857,2.336939,0.326917
L09,Prairie Works,L11,Hill Market,32.0624,15.4662,8.698195,0.098715,2.163116,1.940512,0.222603
L09,Prairie Works,L12,Old Mill,44.0114,20.4848,4.70922,0.053444,1.549522,1.490053,0.059469
L10,West Gateway,L01,Harbor Core,47.4131,26.4135,0.993868,0.00917,-0.006151,0.313227,-0.319378
L10,West Gateway,L02,North Rail,37.9473,22.4379,1.485422,0.013706,0.395699,0.628336,-0.232637
L10,West Gateway,L03,River Plant,41.0,22.32,1.936762,0.01787,0.661018,0.888344,-0.227326
L10,West Gateway,L04,Mesa Tech,36.7696,21.9432,2.340724,0.021597,0.85046,1.102281,-0.25182
L10,West Gateway,L05,South Port,28.2843,13.8794,4.225324,0.038986,1.441096,1.300917,0.140179
L10,West Gateway,L06,Lake Junction,20.8806,9.3699,9.368338,0.08644,2.237336,2.097464,0.139872
L10,West Gateway,L07,Cedar Loop,19.6977,8.873,9.328446,0.086072,2.233068,2.08112,0.151949
L10,West Gateway,L08,East University,28.4253,13.9386,6.818314,0.062911,1.919612,1.756848,0.162764
L10,West Gateway,L09,Prairie Works,16.1245,8.7723,12.518114,0.115503,2.527177,2.200259,0.326917
L10,West Gateway,L10,West Gateway,0.0,1.6,31.443774,0.290127,3.448201,4.048785,-0.600584
L10,West Gateway,L11,Hill Market,16.0,8.72,18.176242,0.167709,2.900115,2.546757,0.353358
L10,West Gateway,L12,Old Mill,28.1603,13.8273,9.744144,0.089908,2.276666,1.91996,0.356706
L11,Hill Market,L01,Harbor Core,56.6392,30.2885,0.646212,0.005462,-0.436628,0.095267,-0.531895
L11,Hill Market,L02,North Rail,45.607,25.6549,1.039077,0.008783,0.038333,0.413227,-0.374894
L11,Hill Market,L03,River Plant,44.0114,24.9848,1.440524,0.012176,0.365007,0.694002,-0.328995
L11,Hill Market,L04,Mesa Tech,34.0588,19.4047,3.103698,0.026234,1.132594,1.13887,-0.006276
L11,Hill Market,L05,South Port,41.1825,19.2967,2.314636,0.019564,0.839252,0.89424,-0.054988
L11,Hill Market,L06,Lake Junction,29.7321,14.4875,5.305755,0.044846,1.668792,1.586694,0.082098
L11,Hill Market,L07,Cedar Loop,19.6977,10.273,7.985213,0.067494,2.077591,1.853743,0.223849
L11,Hill Market,L08,East University,18.9737,8.5689,12.382995,0.104665,2.516324,2.149622,0.366702
L11,Hill Market,L09,Prairie Works,32.0624,15.4662,5.95058,0.050296,1.783489,1.560885,0.222603
L11,Hill Market,L10,West Gateway,16.0,8.72,14.255867,0.120495,2.657169,2.30381,0.353358
L11,Hill Market,L11,Hill Market,0.0,1.6,40.097144,0.338915,3.691305,4.124029,-0.432723
L11,Hill Market,L12,Old Mill,12.3693,5.7951,23.788726,0.20107,3.169212,2.68805,0.481161
L12,Old Mill,L01,Harbor Core,63.4114,33.1328,0.460237,0.004462,-0.776014,-0.135194,-0.640819
L12,Old Mill,L02,North Rail,51.8556,28.2793,0.758343,0.007351,-0.276619,0.175281,-0.451901
L12,Old Mill,L03,River Plant,47.2017,26.3247,1.212612,0.011755,0.192777,0.500293,-0.307516
L12,Old Mill,L04,Mesa Tech,34.0147,19.3862,3.038296,0.029453,1.111297,0.997273,0.114024
L12,Old Mill,L05,South Port,50.9215,23.387,1.435369,0.013915,0.361422,0.563373,-0.201951
L12,Old Mill,L06,Lake Junction,38.0132,17.9655,3.521879,0.034141,1.258995,1.233372,0.025623
L12,Old Mill,L07,Cedar Loop,25.0,12.5,6.090889,0.059045,1.806794,1.518993,0.287801
L12,Old Mill,L08,East University,16.1555,7.3853,13.797429,0.133753,2.624482,2.152714,0.471768
L12,Old Mill,L09,Prairie Works,44.0114,20.4848,3.328472,0.032266,1.202513,1.143044,0.059469
L12,Old Mill,L10,West Gateway,28.1603,13.8273,7.895854,0.076543,2.066338,1.709631,0.356706
L12,Old Mill,L11,Hill Market,12.3693,5.7951,24.577464,0.238255,3.20183,2.720669,0.481161
L12,Old Mill,L12,Old Mill,0.0,1.6,37.039356,0.359061,3.611981,3.806347,-0.194366
