person_id,birth_cohort,region,reform_region,post_reform,compulsory_schooling,parental_schooling,urban,experience,schooling_years,log_wage
55,1936,ontario,1,0,0,13,1,42,12.0483,2.9319
56,1937,prairies,0,0,0,9,1,42,12.9124,3.0268
57,1938,atlantic,0,0,0,13,0,42,13.0046,3.0356
58,1939,quebec,1,0,0,16,0,42,13.3939,2.9727
59,1940,ontario,1,0,0,12,1,42,12.1557,3.1484
60,1941,prairies,0,0,0,11,1,42,13.0408,2.8882
61,1942,atlantic,0,0,0,14,0,42,12.052,3.0807
62,1943,quebec,1,0,0,7,1,42,12.3006,3.1024
63,1944,ontario,1,0,0,8,1,38,12.4752,3.025
64,1945,prairies,0,0,0,14,0,40,12.5424,3.0619
65,1946,atlantic,0,1,0,7,1,36,11.9703,3.1688
66,1947,quebec,1,1,1,13,1,37,14.3545,3.2601
67,1948,ontario,1,1,1,16,0,37,13.9383,3.2807
68,1949,prairies,0,1,0,16,0,37,14.4349,3.1693
69,1950,atlantic,0,1,0,14,1,34,13.9243,3.2333
70,1951,quebec,1,1,1,11,1,31,13.1812,3.0925
71,1952,ontario,1,1,1,15,0,30,14.7178,3.1456
72,1953,prairies,0,1,0,7,1,33,12.0824,3.1379
73,1936,atlantic,0,0,0,9,1,42,11.0471,2.9835
74,1937,quebec,1,0,0,13,0,42,12.9903,2.9797
75,1938,ontario,1,0,0,11,1,42,11.9532,3.0795
76,1939,prairies,0,0,0,10,1,42,12.4371,3.1133
77,1940,atlantic,0,0,0,11,0,42,13.09,3.0466
78,1941,quebec,1,0,0,8,0,42,11.4714,2.9787
79,1942,ontario,1,0,0,10,1,42,13.3697,3.0583
80,1943,prairies,0,0,0,16,1,40,13.1354,3.2619
81,1944,atlantic,0,0,0,13,0,40,12.2531,2.6782
82,1945,quebec,1,0,0,12,1,39,14.1429,3.0949
83,1946,ontario,1,1,1,8,1,37,12.0836,3.072
84,1947,prairies,0,1,0,14,0,37,12.2826,2.8721
85,1948,atlantic,0,1,0,11,1,34,11.2709,3.0342
86,1949,quebec,1,1,1,14,1,35,15.8137,3.1636
87,1950,ontario,1,1,1,15,0,35,13.7546,3.1463
88,1951,prairies,0,1,0,15,0,32,12.8311,2.9197
89,1952,atlantic,0,1,0,10,1,30,12.4592,3.2726
90,1953,quebec,1,1,1,16,1,30,15.0292,3.4158
91,1936,ontario,1,0,0,13,0,42,12.6697,2.9349
92,1937,prairies,0,0,0,15,1,42,13.1355,3.0901
93,1938,atlantic,0,0,0,7,1,42,11.9347,3.0201
94,1939,quebec,1,0,0,7,0,42,11.7627,2.958
95,1940,ontario,1,0,0,7,1,42,12.4235,2.9934
96,1941,prairies,0,0,0,15,1,42,14.5291,3.3464
97,1942,atlantic,0,0,0,8,0,42,11.3314,3.0789
98,1943,quebec,1,0,0,16,0,42,14.1168,3.0026
99,1944,ontario,1,0,0,7,1,42,10.9416,3.0086
100,1945,prairies,0,0,0,9,1,37,11.9826,3.0499
101,1946,atlantic,0,1,0,7,0,38,12.4036,2.9842
102,1947,quebec,1,1,1,16,1,39,15.0722,3.3699
103,1948,ontario,1,1,1,12,1,35,13.8171,3.3835
104,1949,prairies,0,1,0,11,0,34,11.9039,2.8799
105,1950,atlantic,0,1,0,7,1,36,13.4276,3.0854
106,1951,quebec,1,1,1,13,1,33,14.1624,3.2719
107,1952,ontario,1,1,1,12,0,33,14.2539,3.1352
108,1953,prairies,0,1,0,9,0,29,12.2642,3.1657
109,1936,atlantic,0,0,0,11,1,42,11.9483,2.9955
110,1937,quebec,1,0,0,15,1,42,11.8427,3.3183
111,1938,ontario,1,0,0,11,0,42,10.9926,3.0338
112,1939,prairies,0,0,0,13,1,42,11.6536,2.9753
113,1940,atlantic,0,0,0,15,1,42,12.8396,2.9632
114,1941,quebec,1,0,0,13,0,42,12.7669,3.0601
115,1942,ontario,1,0,0,10,1,40,12.3687,3.3978
116,1943,prairies,0,0,0,14,1,41,13.6972,3.2912
117,1944,atlantic,0,0,0,14,0,38,12.0962,2.8636
118,1945,quebec,1,0,0,15,0,38,12.979,3.1661
119,1946,ontario,1,1,1,11,1,39,13.2347,3.3224
120,1947,prairies,0,1,0,8,1,36,11.0941,3.0265
121,1948,atlantic,0,1,0,15,0,34,12.9593,2.9858
122,1949,quebec,1,1,1,14,1,36,13.7787,3.2089
123,1950,ontario,1,1,1,15,1,35,14.2062,3.0719
124,1951,prairies,0,1,0,9,0,33,11.7998,3.0004
125,1952,atlantic,0,1,0,15,1,33,12.7534,3.1597
126,1953,quebec,1,1,1,12,1,33,14.5903,3.259
127,1936,ontario,1,0,0,13,0,42,11.7091,3.2231
128,1937,prairies,0,0,0,11,0,42,12.0248,3.1077
129,1938,atlantic,0,0,0,10,1,42,12.5478,3.0922
130,1939,quebec,1,0,0,10,1,42,11.6772,3.2394
131,1940,ontario,1,0,0,8,0,42,11.4915,2.9172
132,1941,prairies,0,0,0,8,1,42,11.2155,3.0921
133,1942,atlantic,0,0,0,16,1,42,12.7988,3.177
134,1943,quebec,1,0,0,14,0,39,12.0942,3.253
135,1944,ontario,1,0,0,11,1,42,12.9722,3.1182
136,1945,prairies,0,0,0,7,1,38,11.7388,2.6515
137,1946,atlantic,0,1,0,16,0,40,12.8543,2.7954
138,1947,quebec,1,1,1,15,0,35,13.9798,2.849
139,1948,ontario,1,1,1,7,1,34,14.5136,3.4305
140,1949,prairies,0,1,0,12,1,33,13.3673,2.9372
141,1950,atlantic,0,1,0,10,0,36,11.637,2.9493
142,1951,quebec,1,1,1,14,1,34,15.8208,3.1972
143,1952,ontario,1,1,1,11,1,33,14.6534,3.2598
144,1953,prairies,0,1,0,9,0,29,13.3678,3.0817
145,1936,atlantic,0,0,0,10,1,42,11.4034,2.9378
146,1937,quebec,1,0,0,16,1,42,13.4644,3.3244
147,1938,ontario,1,0,0,14,0,42,13.2827,3.3271
148,1939,prairies,0,0,0,9,0,42,11.4981,2.7995
149,1940,atlantic,0,0,0,15,1,42,13.6438,3.1089
150,1941,quebec,1,0,0,9,1,41,13.0977,3.1563
151,1942,ontario,1,0,0,8,0,42,10.8231,2.9205
152,1943,prairies,0,0,0,12,1,42,13.0406,3.1125
153,1944,atlantic,0,0,0,11,1,38,13.2573,3.2229
154,1945,quebec,1,0,0,9,0,40,11.8836,2.9794
155,1946,ontario,1,1,1,12,1,40,13.396,3.3004
156,1947,prairies,0,1,0,15,1,35,13.9484,3.3937
157,1948,atlantic,0,1,0,12,0,37,12.885,3.0088
158,1949,quebec,1,1,1,9,0,35,11.7384,2.8465
159,1950,ontario,1,1,1,12,1,34,13.5749,3.071
160,1951,prairies,0,1,0,12,1,32,13.1645,3.1027
161,1952,atlantic,0,1,0,13,0,32,13.6109,3.2129
162,1953,quebec,1,1,1,12,1,30,13.5596,3.2326
163,1936,ontario,1,0,0,16,1,42,13.7071,3.1161
164,1937,prairies,0,0,0,14,0,42,12.4665,3.3171
165,1938,atlantic,0,0,0,7,1,42,10.8472,2.9169
166,1939,quebec,1,0,0,9,1,42,12.043,3.1621
167,1940,ontario,1,0,0,10,0,42,11.0225,3.0631
168,1941,prairies,0,0,0,14,0,41,13.4423,3.0593
169,1942,atlantic,0,0,0,10,1,41,12.5708,2.9596
170,1943,quebec,1,0,0,9,1,42,12.5583,3.2132
171,1944,ontario,1,0,0,14,0,41,13.2828,3.3467
172,1945,prairies,0,0,0,11,1,40,13.5173,3.0221
173,1946,atlantic,0,1,0,13,1,36,12.7748,2.9834
174,1947,quebec,1,1,1,15,0,38,14.3695,3.0673
175,1948,ontario,1,1,1,10,1,38,14.7497,3.0643
176,1949,prairies,0,1,0,13,1,36,13.6286,3.1121
177,1950,atlantic,0,1,0,7,0,36,11.0427,3.0892
178,1951,quebec,1,1,1,8,0,32,13.2832,3.1091
179,1952,ontario,1,1,1,13,1,31,15.3785,3.2717
180,1953,prairies,0,1,0,14,1,31,13.3769,3.2109
181,1936,atlantic,0,0,0,13,0,42,11.3904,2.5179
182,1937,quebec,1,0,0,10,1,42,12.8691,3.1948
183,1938,ontario,1,0,0,8,1,42,12.4567,2.9784
184,1939,prairies,0,0,0,14,0,42,12.6931,3.1777
185,1940,atlantic,0,0,0,16,1,42,13.2387,3.0928
186,1941,quebec,1,0,0,14,1,41,13.6873,3.2236
187,1942,ontario,1,0,0,13,0,42,12.2061,3.2413
188,1943,prairies,0,0,0,15,0,40,12.652,2.9889
189,1944,atlantic,0,0,0,13,1,41,13.7486,3.276
190,1945,quebec,1,0,0,11,1,38,12.6747,3.1977
191,1946,ontario,1,1,1,8,0,37,12.6969,3.1067
192,1947,prairies,0,1,0,15,1,39,12.9584,3.1884
193,1948,atlantic,0,1,0,12,1,36,12.9868,2.9845
194,1949,quebec,1,1,1,15,0,36,14.5241,3.008
195,1950,ontario,1,1,1,7,1,32,13.8453,3.2165
196,1951,prairies,0,1,0,7,1,35,12.9581,3.1307
197,1952,atlantic,0,1,0,14,0,30,12.409,2.7776
198,1953,quebec,1,1,1,9,0,30,12.5222,2.9335
199,1936,ontario,1,0,0,16,1,42,14.0456,3.0959
200,1937,prairies,0,0,0,8,1,42,12.0002,3.0275
201,1938,atlantic,0,0,0,12,0,42,11.2405,2.853
202,1939,quebec,1,0,0,12,1,42,12.1505,3.2613
203,1940,ontario,1,0,0,13,1,42,14.3177,3.4079
204,1941,prairies,0,0,0,15,0,42,12.51,2.8995
205,1942,atlantic,0,0,0,7,1,42,12.751,3.0286
206,1943,quebec,1,0,0,9,1,40,13.137,3.1806
207,1944,ontario,1,0,0,12,0,42,12.7959,2.978
208,1945,prairies,0,0,0,10,0,37,12.3819,3.1335
209,1946,atlantic,0,1,0,12,1,37,13.594,3.1657
210,1947,quebec,1,1,1,7,1,35,12.208,3.0631
211,1948,ontario,1,1,1,10,0,34,12.5998,2.8288
212,1949,prairies,0,1,0,9,1,33,12.6754,3.1832
213,1950,atlantic,0,1,0,11,1,35,13.7793,3.1494
214,1951,quebec,1,1,1,15,0,35,13.4847,3.1751
215,1952,ontario,1,1,1,13,1,32,15.527,3.1577
216,1953,prairies,0,1,0,9,1,29,13.0032,2.9298
217,1936,atlantic,0,0,0,10,0,42,11.2522,2.8283
218,1937,quebec,1,0,0,10,0,42,12.4836,3.1979
219,1938,ontario,1,0,0,10,1,42,12.2209,3.2395
220,1939,prairies,0,0,0,15,1,42,13.745,3.0903
221,1940,atlantic,0,0,0,15,0,42,12.1748,2.9094
222,1941,quebec,1,0,0,12,1,41,13.4823,3.1345
223,1942,ontario,1,0,0,7,1,41,12.829,3.1267
224,1943,prairies,0,0,0,8,0,40,12.87,3.1033
225,1944,atlantic,0,0,0,15,1,42,12.6578,2.9518
226,1945,quebec,1,0,0,8,1,40,12.1502,2.9776
227,1946,ontario,1,1,1,7,0,38,12.7238,3.0795
228,1947,prairies,0,1,0,15,0,37,12.8956,3.2119
229,1948,atlantic,0,1,0,11,1,34,12.636,3.0531
230,1949,quebec,1,1,1,16,1,35,14.9195,3.3119
231,1950,ontario,1,1,1,14,0,32,14.772,3.2344
232,1951,prairies,0,1,0,13,1,31,12.6968,2.9867
233,1952,atlantic,0,1,0,9,1,34,12.5312,2.9618
234,1953,quebec,1,1,1,11,0,31,13.6689,3.2062
235,1936,ontario,1,0,0,15,1,42,13.0249,3.2157
236,1937,prairies,0,0,0,10,1,42,12.9027,3.1813
237,1938,atlantic,0,0,0,7,0,42,11.1898,3.0882
238,1939,quebec,1,0,0,12,0,42,11.7614,2.988
239,1940,ontario,1,0,0,8,1,42,12.0999,3.0888
240,1941,prairies,0,0,0,14,1,42,13.7791,3.417
241,1942,atlantic,0,0,0,11,0,42,13.2937,3.0517
242,1943,quebec,1,0,0,7,1,42,12.4209,3.2495
243,1944,ontario,1,0,0,7,1,40,12.1722,3.1062
244,1945,prairies,0,0,0,7,0,41,12.2613,3.0093
245,1946,atlantic,0,1,0,11,1,39,11.1342,3.0838
246,1947,quebec,1,1,1,10,1,35,14.6842,3.383
247,1948,ontario,1,1,1,11,0,34,13.0269,3.1704
248,1949,prairies,0,1,0,10,0,37,12.0199,2.7457
249,1950,atlantic,0,1,0,14,1,33,13.7495,3.1897
250,1951,quebec,1,1,1,10,1,34,13.5219,3.176
251,1952,ontario,1,1,1,15,0,33,14.53,3.4037
252,1953,prairies,0,1,0,8,1,33,13.6065,3.533
253,1936,atlantic,0,0,0,14,1,42,12.2119,2.9984
254,1937,quebec,1,0,0,13,0,42,11.9634,2.9469
255,1938,ontario,1,0,0,12,1,42,12.5515,2.8699
256,1939,prairies,0,0,0,8,1,42,12.862,3.2358
257,1940,atlantic,0,0,0,16,0,42,11.8212,3.0658
258,1941,quebec,1,0,0,12,0,42,12.6593,3.0518
259,1942,ontario,1,0,0,13,1,42,13.0326,3.1738
260,1943,prairies,0,0,0,11,1,39,12.5726,3.247
261,1944,atlantic,0,0,0,14,0,40,12.9029,3.1155
262,1945,quebec,1,0,0,10,1,41,12.1921,3.0096
263,1946,ontario,1,1,1,16,1,38,14.7809,3.1353
264,1947,prairies,0,1,0,7,0,36,12.2311,3.0389
265,1948,atlantic,0,1,0,15,1,38,14.1117,3.2445
266,1949,quebec,1,1,1,8,1,36,13.7391,3.021
267,1950,ontario,1,1,1,7,0,33,12.5273,2.7949
268,1951,prairies,0,1,0,7,0,34,12.8615,3.0012
269,1952,atlantic,0,1,0,7,1,33,11.4982,3.0625
270,1953,quebec,1,1,1,16,1,32,13.3741,3.2688
271,1936,ontario,1,0,0,7,0,42,10.343,2.8522
272,1937,prairies,0,0,0,14,1,42,12.6356,3.0173
273,1938,atlantic,0,0,0,13,1,42,13.1092,3.0718
274,1939,quebec,1,0,0,9,0,42,11.0075,3.1308
275,1940,ontario,1,0,0,11,1,42,12.0715,2.9123
276,1941,prairies,0,0,0,15,1,42,13.1259,3.1285
277,1942,atlantic,0,0,0,10,0,41,12.0879,3.1528
278,1943,quebec,1,0,0,13,0,40,12.8366,2.7705
279,1944,ontario,1,0,0,10,1,42,12.3835,3.0996
280,1945,prairies,0,0,0,13,1,37,12.7005,2.87
281,1946,atlantic,0,1,0,10,0,40,12.373,3.0515
282,1947,quebec,1,1,1,7,1,37,13.0238,3.1913
283,1948,ontario,1,1,1,9,1,37,13.3865,3.2506
284,1949,prairies,0,1,0,11,0,37,11.6868,2.83
285,1950,atlantic,0,1,0,7,1,35,11.5183,3.0091
286,1951,quebec,1,1,1,7,1,35,12.8627,3.1199
287,1952,ontario,1,1,1,13,0,30,15.2925,3.0904
288,1953,prairies,0,1,0,11,0,30,12.4117,2.9948
289,1936,atlantic,0,0,0,14,1,42,13.5781,3.0331
290,1937,quebec,1,0,0,10,1,42,13.3739,3.3151
291,1938,ontario,1,0,0,11,0,42,11.709,2.9659
292,1939,prairies,0,0,0,15,1,42,12.6898,3.2344
293,1940,atlantic,0,0,0,11,1,42,12.0137,2.9238
294,1941,quebec,1,0,0,15,0,41,12.2417,2.8667
295,1942,ontario,1,0,0,10,1,42,13.4074,3.2667
296,1943,prairies,0,0,0,16,1,40,13.6435,2.8328
297,1944,atlantic,0,0,0,7,0,41,10.9672,2.7658
298,1945,quebec,1,0,0,8,0,41,12.2521,3.1405
299,1946,ontario,1,1,1,14,1,39,14.6883,3.4163
300,1947,prairies,0,1,0,12,1,36,12.5079,2.8084
301,1948,atlantic,0,1,0,15,0,35,12.2752,3.0142
302,1949,quebec,1,1,1,16,1,36,14.7748,3.2025
303,1950,ontario,1,1,1,9,1,36,13.8784,3.1501
304,1951,prairies,0,1,0,9,0,33,12.0911,3.0391
305,1952,atlantic,0,1,0,14,1,34,13.6228,3.177
306,1953,quebec,1,1,1,7,1,31,13.6191,3.2437
307,1936,ontario,1,0,0,15,0,42,12.844,2.875
308,1937,prairies,0,0,0,13,0,42,13.0453,3.075
309,1938,atlantic,0,0,0,13,1,42,13.4363,2.943
310,1939,quebec,1,0,0,9,1,42,13.3964,3.0316
311,1940,ontario,1,0,0,12,0,42,11.9502,2.8716
312,1941,prairies,0,0,0,15,1,42,13.5898,3.0062
313,1942,atlantic,0,0,0,15,1,42,13.7119,2.9576
314,1943,quebec,1,0,0,13,0,42,13.1743,3.254
315,1944,ontario,1,0,0,10,1,38,12.2076,3.004
316,1945,prairies,0,0,0,12,1,37,12.5017,3.1153
317,1946,atlantic,0,1,0,12,0,38,12.7958,3.0634
318,1947,quebec,1,1,1,11,0,36,11.9839,2.9918
319,1948,ontario,1,1,1,16,1,38,14.8572,3.5058
320,1949,prairies,0,1,0,16,1,34,14.445,3.3294
321,1950,atlantic,0,1,0,13,0,36,13.1316,3.491
322,1951,quebec,1,1,1,8,1,34,13.4765,3.0589
323,1952,ontario,1,1,1,7,1,33,14.2999,3.2377
324,1953,prairies,0,1,0,10,0,30,12.9059,2.9418
325,1936,atlantic,0,0,0,7,1,42,12.2367,3.0036
326,1937,quebec,1,0,0,9,1,42,11.7964,3.0707
327,1938,ontario,1,0,0,15,0,42,11.9573,2.8013
328,1939,prairies,0,0,0,16,0,42,12.3818,3.0858
329,1940,atlantic,0,0,0,14,1,42,11.5374,2.9842
330,1941,quebec,1,0,0,11,1,42,12.7444,3.0074
331,1942,ontario,1,0,0,16,0,40,12.9013,2.7691
332,1943,prairies,0,0,0,9,1,39,12.906,2.9398
333,1944,atlantic,0,0,0,8,1,38,12.0884,3.2771
334,1945,quebec,1,0,0,10,0,39,12.1729,2.6975
335,1946,ontario,1,1,1,15,1,36,15.3248,3.2733
336,1947,prairies,0,1,0,14,1,37,12.5835,3.1455
337,1948,atlantic,0,1,0,7,0,37,11.8484,2.9961
338,1949,quebec,1,1,1,16,0,35,14.7469,3.1474
339,1950,ontario,1,1,1,14,1,35,14.7984,3.3226
340,1951,prairies,0,1,0,13,1,34,12.2703,3.1535
341,1952,atlantic,0,1,0,13,0,32,12.465,3.0524
342,1953,quebec,1,1,1,10,1,29,12.701,3.0871
343,1936,ontario,1,0,0,14,1,42,12.0043,2.8509
344,1937,prairies,0,0,0,12,0,42,11.3214,3.1343
345,1938,atlantic,0,0,0,15,1,42,12.195,3.1048
346,1939,quebec,1,0,0,7,1,42,11.4785,3.0283
347,1940,ontario,1,0,0,7,0,42,12.3704,3.1666
348,1941,prairies,0,0,0,8,0,41,12.013,2.7852
349,1942,atlantic,0,0,0,10,1,41,12.0035,2.7413
350,1943,quebec,1,0,0,14,1,42,13.1982,3.1846
351,1944,ontario,1,0,0,14,0,38,14.6101,3.2086
352,1945,prairies,0,0,0,11,1,41,12.3559,3.0838
353,1946,atlantic,0,1,0,15,1,40,13.046,3.1998
354,1947,quebec,1,1,1,10,0,36,12.7475,3.0177
355,1948,ontario,1,1,1,14,1,37,13.2737,3.0845
356,1949,prairies,0,1,0,8,1,34,12.6969,3.208
357,1950,atlantic,0,1,0,9,0,36,12.3183,2.9878
358,1951,quebec,1,1,1,7,0,34,13.7153,3.4393
359,1952,ontario,1,1,1,10,1,30,12.8174,3.1765
360,1953,prairies,0,1,0,12,1,33,12.716,2.9064
361,1936,atlantic,0,0,0,13,0,42,11.7106,2.7963
362,1937,quebec,1,0,0,14,1,42,14.2245,3.4511
363,1938,ontario,1,0,0,11,1,42,12.066,2.9966
364,1939,prairies,0,0,0,12,0,42,12.4258,3.3856
365,1940,atlantic,0,0,0,16,1,42,12.8155,3.0327
366,1941,quebec,1,0,0,9,1,42,14.2049,3.1697
367,1942,ontario,1,0,0,9,0,42,11.9954,2.9078
368,1943,prairies,0,0,0,13,0,42,12.9661,2.9517
369,1944,atlantic,0,0,0,9,1,41,12.138,3.0207
370,1945,quebec,1,0,0,7,1,41,12.0516,2.9133
371,1946,ontario,1,1,1,7,0,37,13.2628,3.1145
372,1947,prairies,0,1,0,10,1,39,12.1597,3.1215
373,1948,atlantic,0,1,0,15,1,37,14.9892,3.2864
374,1949,quebec,1,1,1,16,0,35,13.7014,3.2263
375,1950,ontario,1,1,1,14,1,32,13.7217,3.1721
376,1951,prairies,0,1,0,11,1,31,11.906,2.7478
377,1952,atlantic,0,1,0,15,0,32,12.4737,2.9596
378,1953,quebec,1,1,1,13,0,30,14.976,2.985
379,1936,ontario,1,0,0,8,1,42,11.3405,2.9722
380,1937,prairies,0,0,0,11,1,42,12.9708,3.09
381,1938,atlantic,0,0,0,9,0,42,12.1472,3.0378
382,1939,quebec,1,0,0,15,1,42,12.7861,2.929
383,1940,ontario,1,0,0,11,1,42,12.759,3.107
384,1941,prairies,0,0,0,14,0,42,12.5572,3.1779
385,1942,atlantic,0,0,0,7,1,42,11.1504,2.9243
386,1943,quebec,1,0,0,16,1,40,13.2612,3.2054
387,1944,ontario,1,0,0,16,0,40,12.968,3.1014
388,1945,prairies,0,0,0,8,0,39,10.9854,3.0454
389,1946,atlantic,0,1,0,11,1,40,11.9667,2.9407
390,1947,quebec,1,1,1,11,1,39,12.8415,2.9695
391,1948,ontario,1,1,1,12,0,36,13.3378,2.7935
392,1949,prairies,0,1,0,8,1,33,12.832,3.0899
393,1950,atlantic,0,1,0,16,1,35,12.3905,3.0135
394,1951,quebec,1,1,1,16,0,33,13.4458,3.0814
395,1952,ontario,1,1,1,15,1,31,15.128,3.2626
396,1953,prairies,0,1,0,12,1,30,12.8006,3.2711
397,1936,atlantic,0,0,0,10,0,42,11.2209,2.8653
398,1937,quebec,1,0,0,9,0,42,10.5289,2.752
399,1938,ontario,1,0,0,16,1,42,13.4167,3.2533
400,1939,prairies,0,0,0,9,1,42,11.0765,2.9732
401,1940,atlantic,0,0,0,15,0,42,13.1181,2.8068
402,1941,quebec,1,0,0,14,1,42,12.9615,3.1339
403,1942,ontario,1,0,0,11,1,40,14.0203,3.3398
404,1943,prairies,0,0,0,11,0,39,11.71,2.9626
405,1944,atlantic,0,0,0,13,1,38,12.2819,3.1542
406,1945,quebec,1,0,0,7,1,39,12.9023,3.2166
407,1946,ontario,1,1,1,13,0,39,15.0028,3.2432
408,1947,prairies,0,1,0,9,0,38,12.2758,3.0794
409,1948,atlantic,0,1,0,10,1,36,12.5282,3.0605
410,1949,quebec,1,1,1,13,1,34,14.0244,3.2116
411,1950,ontario,1,1,1,10,0,34,13.0477,3.2202
412,1951,prairies,0,1,0,7,1,34,12.5637,2.8736
413,1952,atlantic,0,1,0,11,1,33,12.0854,3.0372
414,1953,quebec,1,1,1,15,0,33,14.3923,3.2376
415,1936,ontario,1,0,0,7,1,42,12.6442,2.9524
416,1937,prairies,0,0,0,7,1,42,11.9777,2.9938
417,1938,atlantic,0,0,0,13,0,42,13.3769,2.8146
418,1939,quebec,1,0,0,11,0,42,11.5352,2.6116
419,1940,ontario,1,0,0,14,1,42,13.0037,2.9884
420,1941,prairies,0,0,0,7,1,42,11.7578,3.0959
421,1942,atlantic,0,0,0,10,0,42,11.908,2.9808
422,1943,quebec,1,0,0,8,1,40,12.1858,3.093
423,1944,ontario,1,0,0,15,1,40,12.6586,3.2533
424,1945,prairies,0,0,0,9,0,40,11.5388,3.0079
425,1946,atlantic,0,1,0,11,1,37,11.9517,3.0356
426,1947,quebec,1,1,1,10,1,35,12.8588,3.1212
427,1948,ontario,1,1,1,13,0,38,14.021,3.257
428,1949,prairies,0,1,0,9,0,34,12.7277,2.9658
429,1950,atlantic,0,1,0,13,1,34,13.3127,3.174
430,1951,quebec,1,1,1,14,1,32,15.1277,3.5525
431,1952,ontario,1,1,1,15,0,31,14.5198,3.2431
432,1953,prairies,0,1,0,13,1,33,13.2023,3.0427
433,1936,atlantic,0,0,0,11,1,42,12.0208,3.1129
434,1937,quebec,1,0,0,13,0,42,12.7892,3.2121
435,1938,ontario,1,0,0,14,1,42,12.5346,3.2038
436,1939,prairies,0,0,0,13,1,42,12.9387,3.1102
437,1940,atlantic,0,0,0,15,0,42,11.6923,3.1634
438,1941,quebec,1,0,0,9,0,42,11.2889,2.613
439,1942,ontario,1,0,0,13,1,41,13.8892,3.1022
440,1943,prairies,0,0,0,16,1,39,12.3762,3.0002
441,1944,atlantic,0,0,0,8,0,42,11.6375,2.8265
442,1945,quebec,1,0,0,10,1,38,13.1863,2.9982
443,1946,ontario,1,1,1,14,1,37,13.8097,3.0847
444,1947,prairies,0,1,0,13,0,39,12.903,2.7937
445,1948,atlantic,0,1,0,11,1,36,12.5479,3.034
446,1949,quebec,1,1,1,12,1,35,14.6312,3.3269
447,1950,ontario,1,1,1,11,0,35,13.4834,3.1476
