seeker_id,duration_week,high_prospect_type,optimism_type,model_predicted_prob_4wk,subjective_job_find_prob_4wk,realized_exit_next_4wk,applications_last_week,reservation_wage
seeker-052,4,0,1,0.159,0.233,0,7,19.46
seeker-052,8,0,1,0.099,0.157,0,5,18.72
seeker-052,12,0,1,0.04,0.082,0,3,17.99
seeker-053,1,0,0,0.208,0.244,0,9,19.76
seeker-053,4,0,0,0.163,0.187,1,7,19.21
seeker-053,8,0,0,0.103,0.111,0,6,18.47
seeker-053,12,0,0,0.043,0.035,0,4,17.73
seeker-054,1,0,0,0.212,0.248,1,7,19.78
seeker-054,4,0,0,0.167,0.191,0,5,19.23
seeker-054,8,0,0,0.107,0.115,0,4,18.49
seeker-054,12,0,0,0.047,0.039,0,2,17.75
seeker-055,1,1,0,0.356,0.392,0,9,22.18
seeker-055,4,1,0,0.311,0.335,0,8,21.62
seeker-055,8,1,0,0.251,0.259,1,6,20.88
seeker-055,12,1,0,0.191,0.183,0,4,20.15
seeker-056,1,1,1,0.36,0.446,0,11,22.47
seeker-056,4,1,1,0.315,0.389,1,9,21.92
seeker-056,8,1,1,0.255,0.313,0,8,21.18
seeker-056,12,1,1,0.195,0.237,1,6,20.44
seeker-057,1,0,0,0.224,0.26,1,7,19.85
seeker-057,4,0,0,0.179,0.203,0,6,19.3
seeker-057,8,0,0,0.119,0.127,0,4,18.56
seeker-057,12,0,0,0.059,0.051,0,2,17.82
seeker-058,1,0,0,0.228,0.264,0,8,19.87
seeker-058,4,0,0,0.183,0.207,0,7,19.32
seeker-058,8,0,0,0.123,0.131,0,5,18.58
seeker-058,12,0,0,0.063,0.055,0,3,17.84
seeker-059,1,0,0,0.232,0.268,0,9,19.89
seeker-059,4,0,0,0.187,0.211,0,8,19.34
seeker-059,8,0,0,0.127,0.135,0,6,18.6
seeker-059,12,0,0,0.067,0.059,0,4,17.86
seeker-060,1,1,1,0.328,0.414,1,9,22.3
seeker-060,4,1,1,0.283,0.357,0,7,21.74
seeker-060,8,1,1,0.223,0.281,1,5,21.01
seeker-060,12,1,1,0.163,0.205,0,4,20.27
seeker-061,1,1,0,0.332,0.368,0,9,22.04
seeker-061,4,1,0,0.287,0.311,1,8,21.49
seeker-061,8,1,0,0.227,0.235,0,6,20.75
seeker-061,12,1,0,0.167,0.159,0,4,20.01
seeker-062,1,0,0,0.196,0.232,1,9,19.7
seeker-062,4,0,0,0.151,0.175,0,7,19.14
seeker-062,8,0,0,0.091,0.099,0,5,18.4
seeker-062,12,0,0,0.04,0.032,0,4,17.72
seeker-063,1,0,0,0.2,0.236,0,7,19.72
seeker-063,4,0,0,0.155,0.179,0,5,19.16
seeker-063,8,0,0,0.095,0.103,0,4,18.43
seeker-063,12,0,0,0.04,0.032,0,2,17.72
seeker-064,1,0,1,0.204,0.29,0,8,20.02
seeker-064,4,0,1,0.159,0.233,1,7,19.46
seeker-064,8,0,1,0.099,0.157,0,5,18.72
seeker-064,12,0,1,0.04,0.082,1,3,17.99
seeker-065,1,1,0,0.348,0.384,1,10,22.13
seeker-065,4,1,0,0.303,0.327,0,9,21.58
seeker-065,8,1,0,0.243,0.251,0,7,20.84
seeker-065,12,1,0,0.183,0.175,0,5,20.1
seeker-066,1,1,0,0.352,0.388,0,8,22.15
seeker-066,4,1,0,0.307,0.331,0,7,21.6
seeker-066,8,1,0,0.247,0.255,0,5,20.86
seeker-066,12,1,0,0.187,0.179,0,3,20.12
seeker-067,1,0,0,0.216,0.252,0,8,19.81
seeker-067,4,0,0,0.171,0.195,0,6,19.25
seeker-067,8,0,0,0.111,0.119,0,5,18.51
seeker-067,12,0,0,0.051,0.043,0,3,17.78
seeker-068,1,0,1,0.22,0.306,0,10,20.1
seeker-068,4,0,1,0.175,0.249,0,8,19.55
seeker-068,8,0,1,0.115,0.173,1,6,18.81
seeker-068,12,0,1,0.055,0.097,0,4,18.07
seeker-069,1,0,0,0.224,0.26,0,7,19.85
seeker-069,4,0,0,0.179,0.203,0,6,19.3
seeker-069,8,0,0,0.119,0.127,0,4,18.56
seeker-069,12,0,0,0.059,0.051,0,2,17.82
seeker-070,1,1,0,0.368,0.404,1,10,22.24
seeker-070,4,1,0,0.323,0.347,0,8,21.69
seeker-070,8,1,0,0.263,0.271,0,6,20.95
seeker-070,12,1,0,0.203,0.195,0,4,20.21
seeker-071,1,1,0,0.372,0.408,1,11,22.26
seeker-071,4,1,0,0.327,0.351,0,9,21.71
seeker-071,8,1,0,0.267,0.275,1,7,20.97
seeker-071,12,1,0,0.207,0.199,0,5,20.23
seeker-072,1,0,1,0.188,0.274,0,7,19.93
seeker-072,4,0,1,0.143,0.217,1,6,19.37
seeker-072,8,0,1,0.083,0.141,0,4,18.64
seeker-072,12,0,1,0.04,0.082,0,2,17.99
seeker-073,1,0,0,0.192,0.228,1,8,19.67
seeker-073,4,0,0,0.147,0.171,0,6,19.12
seeker-073,8,0,0,0.087,0.095,0,4,18.38
seeker-073,12,0,0,0.04,0.032,0,3,17.72
seeker-074,1,0,0,0.196,0.232,0,9,19.7
seeker-074,4,0,0,0.151,0.175,0,7,19.14
seeker-074,8,0,0,0.091,0.099,0,5,18.4
seeker-074,12,0,0,0.04,0.032,0,4,17.72
seeker-075,1,1,0,0.34,0.376,0,8,22.09
seeker-075,4,1,0,0.295,0.319,1,7,21.53
seeker-075,8,1,0,0.235,0.243,0,5,20.8
seeker-075,12,1,0,0.175,0.167,1,3,20.06
seeker-076,1,1,1,0.344,0.43,1,10,22.39
seeker-076,4,1,1,0.299,0.373,0,8,21.83
seeker-076,8,1,1,0.239,0.297,1,6,21.09
seeker-076,12,1,1,0.179,0.221,0,5,20.36
seeker-077,1,0,0,0.208,0.244,0,9,19.76
seeker-077,4,0,0,0.163,0.187,0,7,19.21
seeker-077,8,0,0,0.103,0.111,0,6,18.47
seeker-077,12,0,0,0.043,0.035,0,4,17.73
seeker-078,1,0,0,0.212,0.248,0,7,19.78
seeker-078,4,0,0,0.167,0.191,0,5,19.23
seeker-078,8,0,0,0.107,0.115,0,4,18.49
seeker-078,12,0,0,0.047,0.039,0,2,17.75
seeker-079,1,0,0,0.216,0.252,0,8,19.81
seeker-079,4,0,0,0.171,0.195,0,6,19.25
seeker-079,8,0,0,0.111,0.119,1,5,18.51
seeker-079,12,0,0,0.051,0.043,0,3,17.78
seeker-080,1,1,1,0.36,0.446,0,11,22.47
seeker-080,4,1,1,0.315,0.389,1,9,21.92
seeker-080,8,1,1,0.255,0.313,0,8,21.18
seeker-080,12,1,1,0.195,0.237,0,6,20.44
seeker-081,1,1,0,0.364,0.4,1,8,22.22
seeker-081,4,1,0,0.319,0.343,0,7,21.67
seeker-081,8,1,0,0.259,0.267,0,5,20.93
seeker-081,12,1,0,0.199,0.191,0,3,20.19
seeker-082,1,0,0,0.228,0.264,0,8,19.87
seeker-082,4,0,0,0.183,0.207,0,7,19.32
seeker-082,8,0,0,0.123,0.131,0,5,18.58
seeker-082,12,0,0,0.063,0.055,0,3,17.84
seeker-083,1,0,0,0.232,0.268,0,9,19.89
seeker-083,4,0,0,0.187,0.211,1,8,19.34
seeker-083,8,0,0,0.127,0.135,0,6,18.6
seeker-083,12,0,0,0.067,0.059,1,4,17.86
seeker-084,1,0,1,0.188,0.274,1,7,19.93
seeker-084,4,0,1,0.143,0.217,0,6,19.37
seeker-084,8,0,1,0.083,0.141,0,4,18.64
seeker-084,12,0,1,0.04,0.082,0,2,17.99
seeker-085,1,1,0,0.332,0.368,0,9,22.04
seeker-085,4,1,0,0.287,0.311,0,8,21.49
seeker-085,8,1,0,0.227,0.235,0,6,20.75
seeker-085,12,1,0,0.167,0.159,0,4,20.01
seeker-086,1,1,0,0.336,0.372,0,10,22.07
seeker-086,4,1,0,0.291,0.315,1,9,21.51
seeker-086,8,1,0,0.231,0.239,0,7,20.77
seeker-086,12,1,0,0.171,0.163,1,5,20.04
seeker-087,1,0,0,0.2,0.236,0,7,19.72
seeker-087,4,0,0,0.155,0.179,0,5,19.16
seeker-087,8,0,0,0.095,0.103,1,4,18.43
seeker-087,12,0,0,0.04,0.032,0,2,17.72
seeker-088,1,0,1,0.204,0.29,0,8,20.02
seeker-088,4,0,1,0.159,0.233,1,7,19.46
seeker-088,8,0,1,0.099,0.157,0,5,18.72
seeker-088,12,0,1,0.04,0.082,0,3,17.99
seeker-089,1,0,0,0.208,0.244,1,9,19.76
seeker-089,4,0,0,0.163,0.187,0,7,19.21
seeker-089,8,0,0,0.103,0.111,0,6,18.47
seeker-089,12,0,0,0.043,0.035,0,4,17.73
seeker-090,1,1,0,0.352,0.388,0,8,22.15
seeker-090,4,1,0,0.307,0.331,0,7,21.6
seeker-090,8,1,0,0.247,0.255,1,5,20.86
seeker-090,12,1,0,0.187,0.179,0,3,20.12
seeker-091,1,1,0,0.356,0.392,0,9,22.18
seeker-091,4,1,0,0.311,0.335,1,8,21.62
seeker-091,8,1,0,0.251,0.259,0,6,20.88
seeker-091,12,1,0,0.191,0.183,0,4,20.15
seeker-092,1,0,1,0.22,0.306,1,10,20.1
seeker-092,4,0,1,0.175,0.249,0,8,19.55
seeker-092,8,0,1,0.115,0.173,0,6,18.81
seeker-092,12,0,1,0.055,0.097,0,4,18.07
seeker-093,1,0,0,0.224,0.26,0,7,19.85
seeker-093,4,0,0,0.179,0.203,0,6,19.3
seeker-093,8,0,0,0.119,0.127,0,4,18.56
seeker-093,12,0,0,0.059,0.051,0,2,17.82
seeker-094,1,0,0,0.228,0.264,0,8,19.87
seeker-094,4,0,0,0.183,0.207,0,7,19.32
seeker-094,8,0,0,0.123,0.131,0,5,18.58
seeker-094,12,0,0,0.063,0.055,0,3,17.84
seeker-095,1,1,0,0.372,0.408,1,11,22.26
seeker-095,4,1,0,0.327,0.351,0,9,21.71
seeker-095,8,1,0,0.267,0.275,1,7,20.97
seeker-095,12,1,0,0.207,0.199,0,5,20.23
seeker-096,1,1,1,0.328,0.414,0,9,22.3
seeker-096,4,1,1,0.283,0.357,0,7,21.74
seeker-096,8,1,1,0.223,0.281,0,5,21.01
seeker-096,12,1,1,0.163,0.205,0,4,20.27
seeker-097,1,0,0,0.192,0.228,1,8,19.67
seeker-097,4,0,0,0.147,0.171,0,6,19.12
seeker-097,8,0,0,0.087,0.095,0,4,18.38
seeker-097,12,0,0,0.04,0.032,0,3,17.72
seeker-098,1,0,0,0.196,0.232,0,9,19.7
seeker-098,4,0,0,0.151,0.175,0,7,19.14
seeker-098,8,0,0,0.091,0.099,0,5,18.4
seeker-098,12,0,0,0.04,0.032,0,4,17.72
seeker-099,1,0,0,0.2,0.236,0,7,19.72
seeker-099,4,0,0,0.155,0.179,1,5,19.16
seeker-099,8,0,0,0.095,0.103,0,4,18.43
seeker-099,12,0,0,0.04,0.032,0,2,17.72
seeker-100,1,1,1,0.344,0.43,1,10,22.39
seeker-100,4,1,1,0.299,0.373,0,8,21.83
seeker-100,8,1,1,0.239,0.297,0,6,21.09
seeker-100,12,1,1,0.179,0.221,0,5,20.36
seeker-101,1,1,0,0.348,0.384,0,10,22.13
seeker-101,4,1,0,0.303,0.327,0,9,21.58
seeker-101,8,1,0,0.243,0.251,1,7,20.84
seeker-101,12,1,0,0.183,0.175,0,5,20.1
seeker-102,1,0,0,0.212,0.248,0,7,19.78
seeker-102,4,0,0,0.167,0.191,1,5,19.23
seeker-102,8,0,0,0.107,0.115,0,4,18.49
seeker-102,12,0,0,0.047,0.039,1,2,17.75
seeker-103,1,0,0,0.216,0.252,1,8,19.81
seeker-103,4,0,0,0.171,0.195,0,6,19.25
seeker-103,8,0,0,0.111,0.119,0,5,18.51
seeker-103,12,0,0,0.051,0.043,0,3,17.78
seeker-104,1,0,1,0.22,0.306,0,10,20.1
seeker-104,4,0,1,0.175,0.249,0,8,19.55
seeker-104,8,0,1,0.115,0.173,0,6,18.81
seeker-104,12,0,1,0.055,0.097,0,4,18.07
seeker-105,1,1,0,0.364,0.4,0,8,22.22
seeker-105,4,1,0,0.319,0.343,1,7,21.67
seeker-105,8,1,0,0.259,0.267,0,5,20.93
seeker-105,12,1,0,0.199,0.191,1,3,20.19
seeker-106,1,1,0,0.368,0.404,1,10,22.24
seeker-106,4,1,0,0.323,0.347,0,8,21.69
seeker-106,8,1,0,0.263,0.271,1,6,20.95
seeker-106,12,1,0,0.203,0.195,0,4,20.21
seeker-107,1,0,0,0.232,0.268,0,9,19.89
seeker-107,4,0,0,0.187,0.211,1,8,19.34
seeker-107,8,0,0,0.127,0.135,0,6,18.6
seeker-107,12,0,0,0.067,0.059,0,4,17.86
seeker-108,1,0,1,0.188,0.274,1,7,19.93
seeker-108,4,0,1,0.143,0.217,0,6,19.37
seeker-108,8,0,1,0.083,0.141,0,4,18.64
seeker-108,12,0,1,0.04,0.082,0,2,17.99
seeker-109,1,0,0,0.192,0.228,0,8,19.67
seeker-109,4,0,0,0.147,0.171,0,6,19.12
seeker-109,8,0,0,0.087,0.095,0,4,18.38
seeker-109,12,0,0,0.04,0.032,0,3,17.72
seeker-110,1,1,0,0.336,0.372,0,10,22.07
seeker-110,4,1,0,0.291,0.315,1,9,21.51
seeker-110,8,1,0,0.231,0.239,0,7,20.77
seeker-110,12,1,0,0.171,0.163,1,5,20.04
seeker-111,1,1,0,0.34,0.376,1,8,22.09
seeker-111,4,1,0,0.295,0.319,0,7,21.53
seeker-111,8,1,0,0.235,0.243,0,5,20.8
seeker-111,12,1,0,0.175,0.167,0,3,20.06
seeker-112,1,0,1,0.204,0.29,0,8,20.02
seeker-112,4,0,1,0.159,0.233,0,7,19.46
seeker-112,8,0,1,0.099,0.157,0,5,18.72
seeker-112,12,0,1,0.04,0.082,0,3,17.99
seeker-113,1,0,0,0.208,0.244,0,9,19.76
seeker-113,4,0,0,0.163,0.187,0,7,19.21
seeker-113,8,0,0,0.103,0.111,0,6,18.47
seeker-113,12,0,0,0.043,0.035,0,4,17.73
seeker-114,1,0,0,0.212,0.248,0,7,19.78
seeker-114,4,0,0,0.167,0.191,0,5,19.23
seeker-114,8,0,0,0.107,0.115,1,4,18.49
seeker-114,12,0,0,0.047,0.039,0,2,17.75
seeker-115,1,1,0,0.356,0.392,0,9,22.18
seeker-115,4,1,0,0.311,0.335,0,8,21.62
seeker-115,8,1,0,0.251,0.259,0,6,20.88
seeker-115,12,1,0,0.191,0.183,0,4,20.15
seeker-116,1,1,1,0.36,0.446,1,11,22.47
seeker-116,4,1,1,0.315,0.389,0,9,21.92
seeker-116,8,1,1,0.255,0.313,0,8,21.18
seeker-116,12,1,1,0.195,0.237,0,6,20.44
seeker-117,1,0,0,0.224,0.26,0,7,19.85
seeker-117,4,0,0,0.179,0.203,0,6,19.3
seeker-117,8,0,0,0.119,0.127,0,4,18.56
seeker-117,12,0,0,0.059,0.051,0,2,17.82
seeker-118,1,0,0,0.228,0.264,0,8,19.87
seeker-118,4,0,0,0.183,0.207,1,7,19.32
seeker-118,8,0,0,0.123,0.131,0,5,18.58
seeker-118,12,0,0,0.063,0.055,0,3,17.84
seeker-119,1,0,0,0.232,0.268,1,9,19.89
seeker-119,4,0,0,0.187,0.211,0,8,19.34
seeker-119,8,0,0,0.127,0.135,0,6,18.6
seeker-119,12,0,0,0.067,0.059,0,4,17.86
seeker-120,1,1,1,0.328,0.414,0,9,22.3
seeker-120,4,1,1,0.283,0.357,0,7,21.74
seeker-120,8,1,1,0.223,0.281,0,5,21.01
seeker-120,12,1,1,0.163,0.205,0,4,20.27
seeker-121,1,1,0,0.332,0.368,0,9,22.04
seeker-121,4,1,0,0.287,0.311,1,8,21.49
seeker-121,8,1,0,0.227,0.235,0,6,20.75
seeker-121,12,1,0,0.167,0.159,1,4,20.01
seeker-122,1,0,0,0.196,0.232,0,9,19.7
seeker-122,4,0,0,0.151,0.175,0,7,19.14
seeker-122,8,0,0,0.091,0.099,1,5,18.4
seeker-122,12,0,0,0.04,0.032,0,4,17.72
seeker-123,1,0,0,0.2,0.236,0,7,19.72
seeker-123,4,0,0,0.155,0.179,0,5,19.16
