date,phase,u_rate,v_rate,theta,s_rate,f_rate,q_rate,mu_base,composition_index,mu_observed,matches,unemployed,vacancies,next_u_rate,delta_u_next,inflow_component,outflow_component,net_component
2009-11,downturn,0.110811,0.024086,0.217358,0.02724,0.205337,0.944697,0.424917,0.823168,0.378092,22753.65068,110811.224184,24085.651541,0.112279,0.001468,0.024222,-0.022754,0.001468
2009-12,downturn,0.112279,0.025369,0.225947,0.026923,0.209681,0.928009,0.426031,0.82704,0.380152,23542.843888,112279.168092,25369.187917,0.112636,0.000357,0.0239,-0.023543,0.000357
2010-01,downturn,0.112636,0.026918,0.238978,0.026491,0.215849,0.903213,0.427206,0.832301,0.382653,24312.356995,112636.196494,26917.629087,0.111831,-0.000805,0.023507,-0.024312,-0.000805
2010-02,downturn,0.111831,0.028633,0.256035,0.025956,0.223558,0.873153,0.428425,0.8388,0.38554,25000.627631,111830.817978,28632.592043,0.109883,-0.001947,0.023053,-0.025001,-0.001947
2010-03,downturn,0.109883,0.030395,0.27661,0.025332,0.232494,0.840514,0.429668,0.846357,0.388745,25547.253158,109883.351902,30394.809387,0.106884,-0.002999,0.022548,-0.025547,-0.002999
2010-04,downturn,0.106884,0.032079,0.300129,0.024634,0.24234,0.807453,0.430917,0.854767,0.392195,25902.365375,106884.294507,32079.100421,0.102983,-0.003901,0.022001,-0.025902,-0.003901
2010-05,downturn,0.102983,0.03357,0.325978,0.023881,0.252792,0.775489,0.432151,0.863816,0.395812,26033.36559,102983.213072,33570.270955,0.098371,-0.004612,0.021421,-0.026033,-0.004612
2010-06,downturn,0.098371,0.034777,0.353526,0.023088,0.263574,0.745557,0.433352,0.873284,0.399516,25928.062213,98371.085621,34776.747993,0.09326,-0.005111,0.020817,-0.025928,-0.005111
2010-07,downturn,0.09326,0.03564,0.382153,0.022274,0.274441,0.718143,0.4345,0.882955,0.403231,25594.273443,93259.814363,35639.509278,0.087862,-0.005397,0.020197,-0.025594,-0.005397
2010-08,downturn,0.087862,0.036135,0.41127,0.021456,0.285181,0.693414,0.435579,0.892628,0.406882,25056.653975,87862.425599,36135.206773,0.082377,-0.005486,0.019571,-0.025057,-0.005486
2010-09,downturn,0.082377,0.036274,0.440341,0.020649,0.295616,0.671334,0.43657,0.90212,0.410405,24351.842209,82376.597645,36273.810672,0.076973,-0.005404,0.018948,-0.024352,-0.005404
2010-10,downturn,0.076973,0.036092,0.468894,0.019868,0.305961,0.652515,0.437459,0.913057,0.414224,23550.701346,76973.011132,36092.184331,0.071761,-0.005212,0.018339,-0.023551,-0.005212
2010-11,recovery,0.071761,0.035632,0.496532,0.019125,0.315755,0.63592,0.438231,0.923522,0.417803,22658.971244,71761.251667,35631.784548,0.066855,-0.004906,0.017753,-0.022659,-0.004906
2010-12,recovery,0.066855,0.034961,0.52294,0.018431,0.324912,0.621317,0.438875,0.933413,0.4211,21722.064567,66855.258013,34961.299871,0.062332,-0.004523,0.017199,-0.021722,-0.004523
2011-01,recovery,0.062332,0.034151,0.547882,0.017794,0.333371,0.608471,0.43938,0.942657,0.424085,20779.74143,62332.253788,34150.724625,0.058238,-0.004095,0.016685,-0.02078,-0.004095
2011-02,recovery,0.058238,0.033265,0.5712,0.01722,0.341095,0.597156,0.439739,0.951209,0.426737,19864.559644,58237.539446,33265.293005,0.054591,-0.003647,0.016218,-0.019865,-0.003647
2011-03,recovery,0.054591,0.032362,0.592807,0.016714,0.348072,0.587159,0.439946,0.95905,0.429046,19001.452952,54590.505497,32361.656186,0.051391,-0.0032,0.015802,-0.019001,-0.0032
2011-04,recovery,0.051391,0.031486,0.612679,0.016278,0.354307,0.578291,0.439998,0.966184,0.431009,18208.125092,51390.839365,31486.069006,0.048624,-0.002767,0.015442,-0.018208,-0.002767
2011-05,recovery,0.048624,0.030674,0.63084,0.015913,0.359819,0.570381,0.439894,0.972632,0.43263,17495.935963,48624.220836,30674.113902,0.046267,-0.002357,0.015139,-0.017496,-0.002357
2011-06,recovery,0.046267,0.029951,0.647359,0.015617,0.364644,0.563279,0.439635,0.978431,0.433921,16871.005696,46267.117201,29951.433604,0.044291,-0.001977,0.014894,-0.016871,-0.001977
2011-07,recovery,0.044291,0.029335,0.662331,0.015389,0.368822,0.556855,0.439226,0.98363,0.434898,16335.338689,44290.54451,29335.00622,0.042663,-0.001628,0.014708,-0.016335,-0.001628
2011-08,recovery,0.042663,0.028835,0.675872,0.015226,0.372405,0.550999,0.438673,0.988282,0.435582,15887.846673,42662.835546,28834.61248,0.041352,-0.001311,0.014577,-0.015888,-0.001311
2011-09,recovery,0.041352,0.028454,0.688106,0.015124,0.375444,0.54562,0.437985,0.992447,0.435997,15525.212774,41351.552401,28454.267526,0.040325,-0.001027,0.014498,-0.015525,-0.001027
2011-10,recovery,0.040325,0.028193,0.699162,0.015077,0.377996,0.540642,0.437172,0.996184,0.43617,15242.582366,40324.719075,28193.492685,0.039552,-0.000773,0.014469,-0.015243,-0.000773
2011-11,recovery,0.039552,0.028048,0.70916,0.015082,0.380114,0.536006,0.436247,0.999552,0.43613,15034.092523,39551.547964,28048.376893,0.039003,-0.000549,0.014485,-0.015034,-0.000549
2011-12,recovery,0.039003,0.028012,0.718216,0.015132,0.381851,0.531666,0.435225,1.002606,0.435905,14893.264243,39002.811499,28012.424364,0.038651,-0.000352,0.014541,-0.014893,-0.000352
2012-01,recovery,0.038651,0.028077,0.726429,0.015221,0.383258,0.527591,0.434121,1.005397,0.435525,14813.285093,38650.979761,28077.210659,0.03847,-0.000181,0.014633,-0.014813,-0.000181
2012-02,recovery,0.03847,0.028233,0.733889,0.015344,0.384381,0.523758,0.432953,1.00797,0.43502,14787.208355,38470.214634,28232.880457,0.038436,-3.4e-05,0.014753,-0.014787,-3.4e-05
2012-03,recovery,0.038436,0.028469,0.740668,0.015494,0.385263,0.520157,0.431739,1.010365,0.434418,14808.090988,38436.285042,28468.522579,0.038526,9e-05,0.014898,-0.014808,9e-05
2012-04,recovery,0.038526,0.028772,0.746823,0.015665,0.385945,0.516782,0.430498,1.012618,0.433749,14869.088274,38526.447292,28772.455432,0.038719,0.000193,0.015062,-0.014869,0.000193
2012-05,recovery,0.038719,0.029132,0.752401,0.015853,0.386461,0.513637,0.429248,1.014758,0.433038,14963.518933,38719.319397,29132.451382,0.038995,0.000275,0.015239,-0.014964,0.000275
2012-06,recovery,0.038995,0.029536,0.757433,0.01605,0.386844,0.510731,0.428011,1.016809,0.432313,15084.910943,38994.767428,29535.923268,0.039334,0.000339,0.015424,-0.015085,0.000339
2012-07,recovery,0.039334,0.02997,0.761942,0.016251,0.387123,0.508074,0.426805,1.018792,0.431599,15227.035481,39333.814553,29970.090914,0.039719,0.000385,0.015612,-0.015227,0.000385
2012-08,recovery,0.039719,0.030422,0.765942,0.016451,0.387323,0.505682,0.425648,1.020721,0.430919,15383.93421,39718.578296,30422.140628,0.040132,0.000414,0.015798,-0.015384,0.000414
2012-09,recovery,0.040132,0.030879,0.769441,0.016645,0.387468,0.50357,0.42456,1.022612,0.430294,15549.943418,40132.238051,30879.386224,0.040559,0.000427,0.015977,-0.01555,0.000427
2012-10,recovery,0.040559,0.031329,0.77244,0.016827,0.387576,0.501756,0.423556,1.024472,0.429745,15719.717304,40559.032392,31329.436271,0.040984,0.000425,0.016145,-0.01572,0.000425
2012-11,recovery,0.040984,0.03176,0.77494,0.016995,0.387667,0.500254,0.422653,1.026311,0.429291,15888.251705,40984.283901,31760.368977,0.041394,0.00041,0.016298,-0.015888,0.00041
2012-12,recovery,0.041394,0.032161,0.776938,0.017143,0.387755,0.499081,0.421865,1.028135,0.428946,16050.908899,41394.447782,32160.913352,0.041777,0.000383,0.016434,-0.016051,0.000383
2013-01,late-cycle,0.041777,0.032521,0.778431,0.017269,0.387854,0.498251,0.421203,1.029946,0.428726,16203.443587,41777.179485,32520.633113,0.042121,0.000344,0.016548,-0.016203,0.000344
2013-02,late-cycle,0.042121,0.03283,0.779416,0.01737,0.387571,0.497259,0.420679,1.029964,0.428197,16325.053382,42121.415686,32830.108133,0.042434,0.000313,0.016638,-0.016325,0.000313
2013-03,late-cycle,0.042434,0.033094,0.779894,0.017443,0.38732,0.496632,0.4203,1.029976,0.427815,16435.706225,42434.438821,33094.346876,0.042701,0.000267,0.016703,-0.016436,0.000267
2013-04,late-cycle,0.042701,0.033301,0.779864,0.017487,0.387106,0.496377,0.420073,1.029985,0.427585,16529.967605,42701.345925,33301.262897,0.042911,0.00021,0.01674,-0.01653,0.00021
2013-05,late-cycle,0.042911,0.033442,0.779333,0.017501,0.386935,0.496496,0.42,1.02999,0.427513,16603.942698,42911.417681,33442.2725,0.043057,0.000146,0.01675,-0.016604,0.000146
2013-06,late-cycle,0.043057,0.033512,0.778305,0.017484,0.386809,0.496989,0.420084,1.029994,0.427599,16654.872946,43057.105196,33511.57724,0.043133,7.6e-05,0.016731,-0.016655,7.6e-05
2013-07,late-cycle,0.043133,0.033506,0.776793,0.017437,0.386728,0.497852,0.420322,1.029996,0.427842,16680.902179,43133.442293,33505.746461,0.043138,4e-06,0.016685,-0.016681,4e-06
2013-08,late-cycle,0.043138,0.033423,0.774809,0.017361,0.386691,0.499079,0.420711,1.029997,0.428239,16680.940647,43137.698185,33423.461148,0.043069,-6.9e-05,0.016612,-0.016681,-6.9e-05
2013-09,late-cycle,0.043069,0.033265,0.77237,0.017258,0.386694,0.500659,0.421245,1.029998,0.428783,16654.583983,43069.159572,33265.33595,0.042929,-0.00014,0.016514,-0.016655,-0.00014
2013-10,late-cycle,0.042929,0.033034,0.769498,0.017128,0.386733,0.502578,0.421916,1.029999,0.429466,16602.06116,42928.975806,33033.77027,0.04272,-0.000209,0.016393,-0.016602,-0.000209
2013-11,late-cycle,0.04272,0.032733,0.766217,0.016976,0.386802,0.504821,0.422713,1.029999,0.430277,16524.195704,42720.027821,32732.800565,0.042447,-0.000273,0.016251,-0.016524,-0.000273
2013-12,late-cycle,0.042447,0.032368,0.762553,0.016804,0.386893,0.507365,0.423624,1.03,0.431204,16422.370569,42446.798133,32367.939369,0.042115,-0.000332,0.016091,-0.016422,-0.000332
2014-01,late-cycle,0.042115,0.031946,0.758538,0.016616,0.386998,0.510189,0.424634,1.03,0.432232,16298.490875,42115.229536,31945.995106,0.041733,-0.000383,0.015916,-0.016298,-0.000383
2014-02,late-cycle,0.041733,0.031475,0.754204,0.016415,0.387106,0.513265,0.425728,1.03,0.433346,16154.941098,41732.566744,31474.872326,0.041307,-0.000425,0.01573,-0.016155,-0.000425
2014-03,late-cycle,0.041307,0.030963,0.749588,0.016205,0.38721,0.516563,0.426889,1.03,0.434527,15994.534876,41307.179392,30963.355493,0.040848,-0.000459,0.015536,-0.015995,-0.000459
2014-04,late-cycle,0.040848,0.030421,0.744727,0.015991,0.387297,0.520053,0.428098,1.03,0.435758,15820.456735,40848.367594,30420.881638,0.040366,-0.000482,0.015338,-0.01582,-0.000482
2014-05,late-cycle,0.040366,0.029857,0.739662,0.015778,0.387359,0.523697,0.429337,1.03,0.437019,15636.195874,40366.152961,29857.308271,0.039871,-0.000495,0.015141,-0.015636,-0.000495
2014-06,late-cycle,0.039871,0.029283,0.734435,0.015569,0.387386,0.527461,0.430586,1.03,0.438291,15445.472752,39871.059065,29282.683365,0.039374,-0.000497,0.014948,-0.015445,-0.000497
2014-07,late-cycle,0.039374,0.028707,0.729088,0.015369,0.387367,0.531304,0.431826,1.03,0.439553,15252.159805,39373.885837,28707.023971,0.038885,-0.000488,0.014764,-0.015252,-0.000488
2014-08,late-cycle,0.038885,0.02814,0.723666,0.015182,0.387296,0.535186,0.433038,1.03,0.440786,15060.197929,38885.482607,28140.109352,0.038417,-0.000469,0.014591,-0.01506,-0.000469
2014-09,late-cycle,0.038417,0.027591,0.718214,0.015011,0.387164,0.539065,0.434202,1.03,0.441971,14873.51073,38416.524339,27591.293569,0.037977,-0.000439,0.014434,-0.014874,-0.000439
2014-10,late-cycle,0.037977,0.027069,0.712777,0.01486,0.386966,0.542899,0.4353,1.03,0.443089,14695.918663,37977.295376,27069.341232,0.037577,-0.0004,0.014296,-0.014696,-0.0004
2014-11,late-cycle,0.037577,0.026582,0.707399,0.014733,0.386696,0.546644,0.436316,1.03,0.444123,14531.055289,37577.484536,26582.288861,0.037226,-0.000351,0.01418,-0.014531,-0.000351
