date,phase,u_rate,theta,ee_rate,incumbent_wage_growth,mover_wage_growth,composition_term,sorting_term,aggregate_wage_growth
2014-01,late-cycle,0.042115,0.758538,0.026331,0.006866,0.015248,-4.9e-05,-0.000596,0.006623
2014-02,late-cycle,0.041733,0.754204,0.02619,0.006838,0.015143,-5e-05,-0.000578,0.006607
2014-03,late-cycle,0.041307,0.749588,0.02604,0.006808,0.01503,-5.2e-05,-0.000558,0.006589
2014-04,late-cycle,0.040848,0.744727,0.025883,0.006777,0.014912,-5.4e-05,-0.000538,0.006571
2014-05,late-cycle,0.040366,0.739662,0.025718,0.006744,0.014789,-5.6e-05,-0.000517,0.006552
2014-06,late-cycle,0.039871,0.734435,0.025549,0.00671,0.014661,-5.8e-05,-0.000495,0.006532
2014-07,late-cycle,0.039374,0.729088,0.025375,0.006675,0.014531,-6e-05,-0.000472,0.006512
2014-08,late-cycle,0.038885,0.723666,0.025199,0.00664,0.014399,-6.2e-05,-0.00045,0.006491
2014-09,late-cycle,0.038417,0.718214,0.025022,0.006604,0.014267,-6.4e-05,-0.000427,0.006471
2014-10,late-cycle,0.037977,0.712777,0.024846,0.006569,0.014134,-6.5e-05,-0.000404,0.006451
2014-11,late-cycle,0.037577,0.707399,0.024671,0.006534,0.014003,-6.7e-05,-0.000381,0.006432
2014-12,late-cycle,0.037226,0.702126,0.0245,0.0065,0.013875,-6.8e-05,-0.000359,0.006413
