setting,local_cell,care_index,service_share,norm_restrictiveness,mobility_cost,informality_rate,legal_access_index,demand_opportunity,supply_feasibility,female_lfp,acceptable_service_jobs,transportability_score
norm_bind_high_service,4,0.4190,0.7283,0.7263,0.5335,0.2204,0.6028,0.7252,0.1847,0.4462,0.2107,0.3469
norm_bind_high_service,5,0.3645,0.7409,0.8149,0.4519,0.2675,0.6150,0.7232,0.1602,0.4333,0.2041,0.3256
norm_bind_high_service,6,0.3999,0.7587,0.7163,0.4985,0.3336,0.5944,0.7204,0.1851,0.4664,0.2058,0.3359
norm_bind_high_service,7,0.3694,0.8316,0.7715,0.4697,0.2605,0.5748,0.7642,0.1621,0.4638,0.2437,0.3408
norm_bind_high_service,8,0.4044,0.8395,0.7268,0.5314,0.2363,0.5889,0.7716,0.1774,0.4628,0.2462,0.3569
norm_bind_high_service,9,0.3236,0.8101,0.7315,0.5041,0.3203,0.5699,0.7452,0.1498,0.4394,0.2154,0.3215
norm_bind_high_service,10,0.3370,0.8394,0.7999,0.4557,0.2808,0.5773,0.7644,0.1468,0.4693,0.2512,0.3289
norm_bind_high_service,11,0.3391,0.8202,0.7758,0.4906,0.3127,0.5660,0.7509,0.1455,0.4400,0.2280,0.3203
norm_bind_high_service,12,0.3931,0.7219,0.8156,0.4561,0.2440,0.5789,0.7186,0.1622,0.4622,0.1751,0.3250
norm_bind_high_service,13,0.4158,0.7160,0.7036,0.4601,0.2817,0.5867,0.7100,0.1987,0.4619,0.2068,0.3449
norm_bind_high_service,14,0.4331,0.8355,0.7746,0.4518,0.2753,0.5470,0.7636,0.1807,0.4834,0.2472,0.3498
norm_bind_high_service,15,0.3219,0.7936,0.7725,0.4691,0.2369,0.5855,0.7513,0.1478,0.4628,0.2070,0.3293
norm_bind_high_service,16,0.4266,0.7950,0.7522,0.4944,0.2868,0.6080,0.7439,0.1885,0.4649,0.2202,0.3506
norm_bind_high_service,17,0.3937,0.8281,0.7115,0.4886,0.2913,0.5452,0.7578,0.1765,0.4412,0.2589,0.3446
norm_bind_high_service,18,0.3983,0.7611,0.7133,0.4987,0.2873,0.5903,0.7289,0.1845,0.4478,0.2205,0.3422
norm_bind_high_service,19,0.3810,0.8361,0.7781,0.5061,0.2918,0.6093,0.7612,0.1647,0.4645,0.2184,0.3407
norm_bind_high_service,20,0.4338,0.7827,0.7369,0.4514,0.2566,0.5836,0.7433,0.1974,0.4572,0.2490,0.3575
norm_bind_high_service,21,0.3222,0.7592,0.7108,0.5032,0.3064,0.5532,0.7250,0.1514,0.4221,0.2043,0.3157
norm_bind_high_service,22,0.3835,0.7345,0.7331,0.5544,0.2721,0.5510,0.7196,0.1576,0.4372,0.2032,0.3200
norm_bind_high_service,23,0.3549,0.7156,0.7820,0.5074,0.2460,0.5933,0.7155,0.1516,0.4407,0.1934,0.3184
norm_bind_high_service,24,0.3579,0.7247,0.7024,0.5322,0.2383,0.5575,0.7207,0.1615,0.4428,0.2029,0.3267
norm_bind_high_service,25,0.4057,0.7767,0.7725,0.5398,0.2459,0.6136,0.7424,0.1696,0.4608,0.1938,0.3411
norm_bind_high_service,26,0.4146,0.7189,0.7138,0.4687,0.2850,0.5636,0.7107,0.1899,0.4329,0.2052,0.3377
norm_bind_high_service,27,0.3357,0.7935,0.7909,0.4936,0.3012,0.5840,0.7410,0.1434,0.4324,0.2192,0.3171
norm_bind_high_service,28,0.4313,0.7654,0.7236,0.4825,0.2975,0.5564,0.7292,0.1894,0.4718,0.2068,0.3425
norm_bind_high_service,29,0.4040,0.7526,0.8050,0.4559,0.2803,0.6165,0.7263,0.1758,0.4404,0.1813,0.3360
norm_bind_high_service,30,0.4075,0.7193,0.7431,0.4478,0.2581,0.5433,0.7152,0.1799,0.4410,0.1866,0.3334
norm_bind_high_service,31,0.3531,0.7949,0.7284,0.4743,0.2464,0.5767,0.7503,0.1669,0.4767,0.2467,0.3409
norm_bind_high_service,32,0.3843,0.7230,0.7102,0.5574,0.3374,0.6198,0.7041,0.1761,0.4535,0.1707,0.3254
norm_bind_high_service,33,0.4152,0.8017,0.7223,0.4739,0.2746,0.5667,0.7488,0.1877,0.4543,0.2327,0.3510
norm_bind_high_service,34,0.3232,0.7914,0.8173,0.5128,0.2809,0.5570,0.7433,0.1242,0.4421,0.1976,0.3052
norm_bind_high_service,35,0.3306,0.7310,0.7100,0.4868,0.2629,0.5547,0.7196,0.1575,0.4392,0.2063,0.3214
norm_bind_high_service,36,0.4226,0.8198,0.7568,0.5407,0.3192,0.5696,0.7496,0.1708,0.4395,0.2431,0.3363
norm_bind_high_service,37,0.3687,0.8231,0.7185,0.5070,0.3194,0.5605,0.7511,0.1661,0.4660,0.2486,0.3339
norm_bind_high_service,38,0.4337,0.8362,0.8060,0.4957,0.3125,0.5662,0.7579,0.1693,0.4471,0.2446,0.3378
norm_bind_high_service,39,0.4043,0.8495,0.7710,0.5430,0.3089,0.5949,0.7643,0.1655,0.4741,0.2213,0.3402
norm_bind_high_service,40,0.4196,0.8043,0.7151,0.4444,0.3020,0.5783,0.7456,0.1982,0.4611,0.2515,0.3552
mobility_bind_transition,1,0.4368,0.5869,0.5134,0.7289,0.5262,0.5611,0.6140,0.2028,0.4216,0.1323,0.2947
mobility_bind_transition,2,0.4872,0.6187,0.5119,0.7427,0.5390,0.5134,0.6260,0.2090,0.4033,0.1469,0.2993
mobility_bind_transition,3,0.4887,0.6533,0.5238,0.6445,0.5258,0.5341,0.6433,0.2271,0.4299,0.1927,0.3194
mobility_bind_transition,4,0.4204,0.6598,0.6100,0.6704,0.4461,0.5788,0.6589,0.1864,0.4324,0.1627,0.3062
mobility_bind_transition,5,0.4844,0.6509,0.5673,0.7486,0.5077,0.5789,0.6452,0.2056,0.4310,0.1732,0.3094
mobility_bind_transition,6,0.5028,0.5997,0.5501,0.7116,0.4828,0.5409,0.6266,0.2153,0.4229,0.1344,0.3091
mobility_bind_transition,7,0.4176,0.6062,0.5171,0.6494,0.4785,0.5385,0.6302,0.2047,0.4172,0.1880,0.3043
mobility_bind_transition,8,0.4853,0.6876,0.6163,0.6991,0.4799,0.5258,0.6658,0.1920,0.4198,0.1595,0.3064
mobility_bind_transition,9,0.4129,0.6874,0.6149,0.6882,0.4890,0.5452,0.6642,0.1733,0.4198,0.1713,0.2941
mobility_bind_transition,10,0.4844,0.6280,0.5875,0.7475,0.5133,0.5038,0.6342,0.1865,0.4049,0.1572,0.2879
mobility_bind_transition,11,0.4400,0.5769,0.5301,0.7347,0.4764,0.5180,0.6176,0.1906,0.4089,0.1270,0.2894
mobility_bind_transition,12,0.4604,0.6550,0.5788,0.7156,0.4449,0.5368,0.6570,0.1922,0.4380,0.1762,0.3075
mobility_bind_transition,13,0.5109,0.6562,0.6208,0.7569,0.4406,0.5112,0.6583,0.1870,0.4178,0.1577,0.3027
mobility_bind_transition,14,0.4411,0.6865,0.5745,0.6647,0.4647,0.5303,0.6677,0.1941,0.4233,0.2031,0.3107
mobility_bind_transition,15,0.4898,0.6607,0.5723,0.7524,0.4836,0.5476,0.6533,0.1996,0.4021,0.1777,0.3086
mobility_bind_transition,16,0.5168,0.5995,0.5162,0.7428,0.5111,0.5348,0.6220,0.2220,0.4030,0.1451,0.3097
mobility_bind_transition,17,0.4612,0.5808,0.5935,0.6494,0.4334,0.5333,0.6262,0.1994,0.4139,0.1510,0.3015
mobility_bind_transition,18,0.4056,0.5693,0.5488,0.7413,0.4832,0.5202,0.6132,0.1735,0.3838,0.1451,0.2760
mobility_bind_transition,19,0.4427,0.6200,0.5495,0.6693,0.5021,0.5578,0.6324,0.2054,0.3934,0.1870,0.3042
mobility_bind_transition,20,0.4400,0.6828,0.5669,0.7550,0.4878,0.5703,0.6624,0.1879,0.4318,0.1835,0.3053
mobility_bind_transition,21,0.4809,0.6578,0.5443,0.6658,0.5043,0.5737,0.6488,0.2232,0.4320,0.1796,0.3225
mobility_bind_transition,22,0.4696,0.6717,0.5764,0.7091,0.4489,0.5714,0.6637,0.2036,0.4252,0.1938,0.3190
mobility_bind_transition,23,0.4212,0.5548,0.5908,0.6467,0.4981,0.5610,0.6044,0.1921,0.3854,0.1463,0.2852
mobility_bind_transition,24,0.4321,0.6361,0.5383,0.6576,0.5275,0.5080,0.6355,0.1970,0.4125,0.1844,0.2952
mobility_bind_transition,25,0.5086,0.6890,0.5243,0.7211,0.4429,0.5595,0.6723,0.2256,0.4572,0.1873,0.3371
mobility_bind_transition,26,0.4991,0.5632,0.5610,0.7143,0.4468,0.5596,0.6163,0.2144,0.3978,0.1133,0.3085
mobility_bind_transition,27,0.4357,0.5525,0.5835,0.7010,0.4379,0.5234,0.6130,0.1826,0.4221,0.1128,0.2850
mobility_bind_transition,28,0.4812,0.5509,0.5445,0.7112,0.5135,0.5313,0.6002,0.2075,0.4040,0.1090,0.2915
mobility_bind_transition,29,0.4205,0.6023,0.5422,0.7444,0.4659,0.5006,0.6305,0.1760,0.4225,0.1425,0.2843
mobility_bind_transition,30,0.4278,0.6316,0.5943,0.6598,0.5163,0.5397,0.6353,0.1873,0.4130,0.1600,0.2905
mobility_bind_transition,31,0.4669,0.6703,0.6095,0.6883,0.4325,0.5183,0.6657,0.1879,0.4055,0.1664,0.3073
mobility_bind_transition,32,0.5054,0.6346,0.5308,0.7456,0.4249,0.5713,0.6512,0.2209,0.4327,0.1553,0.3285
mobility_bind_transition,33,0.4984,0.5629,0.5901,0.6522,0.4996,0.5324,0.6078,0.2122,0.4179,0.1138,0.2976
mobility_bind_transition,34,0.4987,0.6601,0.6163,0.6904,0.4392,0.5508,0.6602,0.2028,0.4120,0.1642,0.3161
mobility_bind_transition,35,0.5060,0.6267,0.5867,0.6792,0.4503,0.5307,0.6437,0.2107,0.4104,0.1705,0.3137
mobility_bind_transition,36,0.4311,0.6722,0.5163,0.7459,0.4762,0.5299,0.6596,0.1914,0.4206,0.1754,0.3061
mobility_bind_transition,37,0.4352,0.6476,0.5706,0.6866,0.4832,0.5464,0.6476,0.1924,0.4020,0.1692,0.3018
mobility_bind_transition,38,0.5158,0.6676,0.5754,0.6967,0.5284,0.5137,0.6492,0.2107,0.4368,0.1808,0.3086
mobility_bind_transition,39,0.4491,0.6514,0.6009,0.7519,0.5366,0.5106,0.6408,0.1717,0.3894,0.1704,0.2790
mobility_bind_transition,40,0.4492,0.6261,0.5980,0.6650,0.4603,0.5406,0.6418,0.1929,0.4283,0.1453,0.3011
informality_bind_legal_reform,1,0.4792,0.5119,0.4552,0.4339,0.6550,0.7032,0.5604,0.3090,0.4279,0.1717,0.3425
informality_bind_legal_reform,2,0.4799,0.5181,0.4796,0.3824,0.7474,0.7198,0.5484,0.3150,0.4014,0.1925,0.3350
informality_bind_legal_reform,3,0.3777,0.5218,0.4552,0.3955,0.7353,0.7337,0.5520,0.2868,0.3943,0.1968,0.3203
informality_bind_legal_reform,4,0.4793,0.4686,0.5635,0.4697,0.7177,0.7018,0.5314,0.2756,0.3700,0.1346,0.3032
informality_bind_legal_reform,5,0.3896,0.4950,0.4633,0.3913,0.6631,0.7159,0.5517,0.2861,0.4012,0.1742,0.3245
informality_bind_legal_reform,6,0.3701,0.5535,0.5491,0.4613,0.6708,0.7593,0.5762,0.2544,0.4113,0.1770,0.3132
informality_bind_legal_reform,7,0.4564,0.4940,0.5051,0.4898,0.6917,0.7281,0.5467,0.2839,0.3816,0.1526,0.3188
informality_bind_legal_reform,8,0.3874,0.5489,0.5103,0.4430,0.7007,0.7066,0.5694,0.2631,0.4095,0.1732,0.3115
informality_bind_legal_reform,9,0.4323,0.4822,0.5670,0.4475,0.7121,0.7628,0.5382,0.2741,0.3851,0.1416,0.3086
informality_bind_legal_reform,10,0.3626,0.4664,0.5283,0.4034,0.6641,0.7039,0.5390,0.2564,0.3946,0.1486,0.2987
informality_bind_legal_reform,11,0.4095,0.5084,0.4603,0.4827,0.6678,0.7532,0.5568,0.2852,0.4017,0.1582,0.3276
informality_bind_legal_reform,12,0.4085,0.4605,0.5381,0.4073,0.7469,0.7030,0.5231,0.2687,0.3767,0.1352,0.2939
informality_bind_legal_reform,13,0.4403,0.5052,0.4871,0.4034,0.7398,0.7377,0.5439,0.2995,0.3868,0.1963,0.3249
informality_bind_legal_reform,14,0.3809,0.5567,0.4632,0.4633,0.7069,0.7411,0.5719,0.2758,0.4167,0.2117,0.3230
informality_bind_legal_reform,15,0.3911,0.5502,0.4799,0.4506,0.6773,0.7380,0.5737,0.2766,0.4176,0.1877,0.3261
informality_bind_legal_reform,16,0.4349,0.4776,0.5361,0.4902,0.6893,0.7614,0.5399,0.2752,0.3824,0.1526,0.3122
informality_bind_legal_reform,17,0.3825,0.4553,0.5210,0.4164,0.6889,0.7314,0.5301,0.2680,0.3924,0.1537,0.3026
informality_bind_legal_reform,18,0.4754,0.4996,0.5454,0.4272,0.7268,0.7387,0.5435,0.2930,0.3913,0.1446,0.3206
informality_bind_legal_reform,19,0.3993,0.4504,0.5348,0.4325,0.6495,0.7338,0.5343,0.2680,0.3758,0.1518,0.3072
informality_bind_legal_reform,20,0.4532,0.5783,0.5591,0.4010,0.7052,0.7154,0.5816,0.2821,0.4134,0.2130,0.3275
informality_bind_legal_reform,21,0.3796,0.5663,0.4690,0.4893,0.6780,0.7335,0.5807,0.2680,0.4148,0.1825,0.3230
informality_bind_legal_reform,22,0.3706,0.5144,0.4615,0.4236,0.6782,0.7795,0.5578,0.2867,0.4236,0.1702,0.3295
informality_bind_legal_reform,23,0.4207,0.5289,0.4902,0.4252,0.6680,0.7288,0.5658,0.2867,0.4027,0.2020,0.3298
informality_bind_legal_reform,24,0.4681,0.5077,0.4746,0.4072,0.6982,0.7495,0.5517,0.3137,0.4101,0.1938,0.3412
informality_bind_legal_reform,25,0.4575,0.5611,0.4514,0.4556,0.6919,0.7652,0.5762,0.3106,0.4164,0.2155,0.3499
informality_bind_legal_reform,26,0.3874,0.5524,0.5596,0.4902,0.7336,0.7161,0.5657,0.2446,0.3790,0.1579,0.2952
informality_bind_legal_reform,27,0.3800,0.5113,0.5065,0.4692,0.7317,0.7281,0.5479,0.2612,0.4028,0.1513,0.3012
informality_bind_legal_reform,28,0.4378,0.5740,0.5204,0.4061,0.6819,0.7673,0.5834,0.2955,0.4228,0.1968,0.3424
informality_bind_legal_reform,29,0.3694,0.5110,0.5436,0.4832,0.7354,0.7148,0.5472,0.2433,0.3588,0.1645,0.2877
informality_bind_legal_reform,30,0.4661,0.5331,0.4547,0.4771,0.7254,0.7555,0.5585,0.3072,0.3907,0.1882,0.3380
informality_bind_legal_reform,31,0.3734,0.5370,0.4989,0.4959,0.6585,0.7295,0.5709,0.2565,0.4079,0.1581,0.3128
informality_bind_legal_reform,32,0.4220,0.5258,0.5054,0.4013,0.7282,0.7399,0.5548,0.2895,0.3943,0.1830,0.3231
informality_bind_legal_reform,33,0.4370,0.5246,0.5228,0.3890,0.6501,0.7703,0.5668,0.2981,0.4166,0.1926,0.3408
informality_bind_legal_reform,34,0.3870,0.5717,0.5121,0.4873,0.6950,0.7422,0.5803,0.2618,0.3871,0.1813,0.3171
informality_bind_legal_reform,35,0.4782,0.4637,0.5188,0.3886,0.7157,0.7226,0.5295,0.3041,0.3849,0.1534,0.3231
informality_bind_legal_reform,36,0.3802,0.4805,0.5391,0.4304,0.7402,0.7220,0.5330,0.2585,0.3842,0.1604,0.2925
informality_bind_legal_reform,37,0.3752,0.5586,0.5109,0.4659,0.6977,0.7558,0.5742,0.2642,0.3943,0.1998,0.3171
informality_bind_legal_reform,38,0.4664,0.5844,0.5336,0.4121,0.6494,0.7003,0.5932,0.2882,0.4143,0.2197,0.3399
informality_bind_legal_reform,39,0.4511,0.5512,0.5631,0.4761,0.6856,0.7128,0.5728,0.2671,0.3870,0.1668,0.3160
informality_bind_legal_reform,40,0.3834,0.4909,0.5088,0.4552,0.7206,0.7415,0.5407,0.2667,0.3884,0.1416,0.3038
public_jobs_with_care,1,0.6385,0.5003,0.4897,0.3304,0.3015,0.7960,0.6119,0.3897,0.4952,0.1882,0.4471
public_jobs_with_care,2,0.6068,0.6095,0.4404,0.2981,0.3119,0.8501,0.6583,0.4070,0.5305,0.2777,0.4783
public_jobs_with_care,3,0.5673,0.5078,0.3723,0.2655,0.4066,0.8313,0.5984,0.4126,0.5013,0.2493,0.4525
public_jobs_with_care,4,0.6478,0.5408,0.4012,0.3271,0.3528,0.8032,0.6215,0.4170,0.5115,0.2512,0.4660
public_jobs_with_care,5,0.6409,0.4954,0.4595,0.3416,0.3259,0.8283,0.6058,0.4023,0.5074,0.2103,0.4534
public_jobs_with_care,6,0.6419,0.4836,0.3865,0.3266,0.3845,0.8254,0.5913,0.4229,0.5187,0.2264,0.4578
public_jobs_with_care,7,0.5753,0.5454,0.4248,0.3071,0.3394,0.8436,0.6256,0.3975,0.5081,0.2293,0.4579
public_jobs_with_care,8,0.5746,0.5501,0.4337,0.3280,0.3502,0.8394,0.6260,0.3907,0.4992,0.2094,0.4524
public_jobs_with_care,9,0.5886,0.6128,0.4569,0.3762,0.4076,0.8105,0.6444,0.3760,0.5007,0.2498,0.4428
public_jobs_with_care,10,0.6159,0.6041,0.4698,0.2966,0.3504,0.8532,0.6497,0.4036,0.5309,0.2545,0.4695
public_jobs_with_care,11,0.6376,0.5537,0.4309,0.3252,0.3387,0.8226,0.6294,0.4100,0.5162,0.2177,0.4662
public_jobs_with_care,12,0.6621,0.6088,0.4759,0.3054,0.3548,0.7868,0.6511,0.4037,0.5238,0.2454,0.4657
public_jobs_with_care,13,0.6294,0.5761,0.4479,0.3149,0.3282,0.8157,0.6410,0.4034,0.5095,0.2419,0.4662
public_jobs_with_care,14,0.5770,0.5274,0.4895,0.2699,0.3490,0.8066,0.6162,0.3812,0.4903,0.2066,0.4398
public_jobs_with_care,15,0.6722,0.5606,0.4419,0.3099,0.3389,0.8555,0.6324,0.4279,0.5049,0.2521,0.4805
public_jobs_with_care,16,0.6747,0.5734,0.4874,0.3411,0.3091,0.8456,0.6429,0.4102,0.5278,0.2339,0.4739
public_jobs_with_care,17,0.6263,0.5164,0.3992,0.3469,0.3813,0.7980,0.6062,0.4058,0.5088,0.2383,0.4507
public_jobs_with_care,18,0.6677,0.5609,0.4752,0.3565,0.2961,0.8089,0.6394,0.4013,0.5029,0.2350,0.4661
public_jobs_with_care,19,0.5629,0.6132,0.4501,0.3790,0.2998,0.8569,0.6618,0.3772,0.5224,0.2558,0.4615
public_jobs_with_care,20,0.6240,0.5345,0.4833,0.3385,0.3209,0.8125,0.6238,0.3882,0.5153,0.1878,0.4499
public_jobs_with_care,21,0.6215,0.5680,0.3789,0.3042,0.3277,0.7972,0.6375,0.4163,0.5373,0.2711,0.4736
public_jobs_with_care,22,0.5694,0.5135,0.4840,0.3245,0.3755,0.8306,0.6058,0.3752,0.4817,0.2055,0.4315
public_jobs_with_care,23,0.6603,0.6170,0.4488,0.3189,0.3588,0.7987,0.6541,0.4099,0.5244,0.2425,0.4717
public_jobs_with_care,24,0.6140,0.4920,0.4398,0.2692,0.3143,0.7944,0.6062,0.4040,0.5251,0.2246,0.4540
public_jobs_with_care,25,0.6627,0.5830,0.3795,0.3260,0.3833,0.8020,0.6352,0.4274,0.5145,0.2761,0.4756
public_jobs_with_care,26,0.5905,0.4986,0.4744,0.3572,0.3306,0.8329,0.6065,0.3797,0.4905,0.1867,0.4386
public_jobs_with_care,27,0.6555,0.6105,0.4440,0.3560,0.4067,0.8525,0.6435,0.4133,0.4979,0.2672,0.4693
public_jobs_with_care,28,0.6532,0.4814,0.4392,0.3213,0.3749,0.8471,0.5918,0.4186,0.5204,0.1916,0.4563
public_jobs_with_care,29,0.6630,0.5142,0.4647,0.2744,0.3563,0.8191,0.6093,0.4182,0.5235,0.2240,0.4619
public_jobs_with_care,30,0.6120,0.5319,0.4246,0.3758,0.3802,0.7984,0.6132,0.3897,0.4830,0.2278,0.4425
public_jobs_with_care,31,0.6713,0.4831,0.4657,0.2832,0.3545,0.7876,0.5958,0.4133,0.5118,0.1767,0.4522
public_jobs_with_care,32,0.6615,0.5345,0.4807,0.3330,0.3642,0.7910,0.6169,0.3984,0.5122,0.2154,0.4493
public_jobs_with_care,33,0.6392,0.5760,0.4444,0.3453,0.3000,0.7936,0.6454,0.3983,0.5004,0.2417,0.4657
public_jobs_with_care,34,0.5732,0.5265,0.3843,0.3482,0.3230,0.8430,0.6200,0.3998,0.4915,0.2139,0.4594
public_jobs_with_care,35,0.6441,0.5689,0.4601,0.3087,0.3687,0.7825,0.6313,0.4002,0.5076,0.2160,0.4552
public_jobs_with_care,36,0.5809,0.5500,0.3933,0.2715,0.3498,0.7939,0.6260,0.4039,0.4991,0.2616,0.4591
public_jobs_with_care,37,0.5703,0.5379,0.4282,0.2970,0.3254,0.7938,0.6246,0.3872,0.4929,0.2371,0.4491
public_jobs_with_care,38,0.6678,0.5397,0.4242,0.3054,0.3850,0.8076,0.6159,0.4225,0.5252,0.2261,0.4648
public_jobs_with_care,39,0.6602,0.5429,0.3971,0.2608,0.3310,0.8401,0.6259,0.4405,0.5262,0.2430,0.4868
public_jobs_with_care,40,0.6455,0.5413,0.4594,0.3642,0.3901,0.8243,0.6157,0.3993,0.5125,0.2234,0.4496
