worker_id,team_id,group,role,treated,assigned_treatment_prob,team_treated_share_loo,graph_treated_share,weighted_graph_treated_share,treated_senior_neighbor,team_peer_productivity_loo,graph_peer_productivity,productivity,retained_next_period
W024,T02,A,junior,0,0.25,0.181818,0.142857,0.105941,0,54.010827,53.932586,49.9993,0
W025,T03,B,junior,0,0.4,0.181818,0.0,0.0,0,54.417764,53.023822,51.9122,0
W026,T03,B,senior,0,0.4,0.181818,0.285714,0.359517,1,54.161,55.086793,54.7366,1
W027,T03,B,senior,0,0.4,0.181818,0.0,0.0,0,54.195691,55.018019,54.355,0
W028,T03,A,junior,1,0.4,0.090909,0.5,0.288265,1,53.965791,56.073948,56.8839,0
W029,T03,A,senior,1,0.4,0.090909,0.142857,0.051956,0,53.739245,54.926108,59.3759,0
W030,T03,A,junior,0,0.4,0.181818,0.166667,0.246328,1,54.422827,54.832993,51.8565,0
W031,T03,B,junior,0,0.4,0.181818,0.0,0.0,0,54.944818,53.333183,46.1146,0
W032,T03,A,junior,0,0.4,0.181818,0.0,0.0,0,54.301455,52.450508,53.1916,1
W033,T03,A,senior,0,0.4,0.181818,0.25,0.274373,1,53.769555,56.007506,59.0425,0
W034,T03,A,junior,0,0.4,0.181818,0.2,0.251075,1,54.575727,54.409719,50.1746,0
W035,T03,A,junior,0,0.4,0.181818,0.2,0.30512,1,53.959736,55.632497,56.9505,0
W036,T03,A,junior,0,0.4,0.181818,0.142857,0.134476,1,54.053991,53.97068,55.9137,1
W037,T04,B,junior,1,0.4,0.454545,0.571429,0.570286,1,56.933982,56.542479,60.8608,0
W038,T04,B,senior,1,0.4,0.454545,0.333333,0.339434,1,56.853836,57.198518,61.7424,1
W039,T04,A,junior,0,0.4,0.545455,0.333333,0.296436,0,57.338364,54.53945,56.4126,0
W040,T04,A,junior,1,0.4,0.454545,0.333333,0.365701,1,57.407264,58.100914,55.6547,0
W041,T04,A,senior,1,0.4,0.454545,0.5,0.452223,1,56.874418,56.439944,61.516,1
W042,T04,B,junior,0,0.4,0.545455,0.5,0.440713,1,57.394,57.06128,55.8006,0
W043,T04,B,junior,1,0.4,0.454545,0.4,0.462579,1,57.238364,58.780834,57.5126,0
W044,T04,B,senior,0,0.4,0.545455,0.714286,0.667256,1,57.357491,57.492083,56.2022,0
W045,T04,B,senior,0,0.4,0.545455,0.8,0.83334,1,57.208945,58.187637,57.8362,0
W046,T04,B,junior,0,0.4,0.545455,0.666667,0.610997,1,57.437609,58.600168,55.3209,0
W047,T04,B,junior,0,0.4,0.545455,0.571429,0.644219,1,57.771991,58.869614,51.6427,1
W048,T04,B,junior,1,0.4,0.454545,0.333333,0.285031,0,57.318336,55.803368,56.6329,0
W049,T05,B,junior,1,0.6,0.636364,0.8,0.770899,1,58.1713,59.647865,53.1453,0
W050,T05,A,senior,0,0.6,0.727273,0.75,0.744776,1,58.705073,57.627746,47.2738,1
W051,T05,B,junior,0,0.6,0.727273,1.0,1.0,1,57.815136,59.188163,57.0631,0
W052,T05,B,junior,1,0.6,0.636364,0.75,0.588781,1,57.753718,58.656776,57.7387,0
W053,T05,A,senior,1,0.6,0.636364,0.666667,0.635741,0,57.362864,56.545778,62.0381,0
W054,T05,B,junior,0,0.6,0.727273,1.0,1.0,0,57.535491,61.573438,60.1392,0
W055,T05,A,junior,1,0.6,0.636364,0.714286,0.7196,1,57.136491,59.707134,64.5282,0
W056,T05,A,junior,0,0.6,0.727273,0.8,0.775677,1,57.687173,55.318497,58.4707,0
W057,T05,B,senior,1,0.6,0.636364,0.333333,0.360814,0,57.909064,58.708453,56.0299,0
W058,T05,A,junior,1,0.6,0.636364,0.5,0.534253,0,56.957482,59.99905,66.4973,1
W059,T05,B,junior,1,0.6,0.636364,0.75,0.795039,1,57.570955,58.293067,59.7491,0
W060,T05,B,junior,1,0.6,0.636364,0.6,0.407924,0,58.424855,54.095706,50.3562,1
W061,T06,B,junior,0,0.6,0.636364,0.6,0.503871,0,59.421609,56.517146,60.5246,0
W062,T06,A,senior,1,0.6,0.545455,0.714286,0.775873,1,59.112809,59.843926,63.9214,0
W063,T06,A,junior,1,0.6,0.545455,0.571429,0.508043,1,59.444082,61.376723,60.2774,1
W064,T06,B,junior,0,0.6,0.636364,0.666667,0.627722,1,59.632836,61.14924,58.2011,1
W065,T06,A,senior,0,0.6,0.636364,0.714286,0.66571,1,59.435155,58.739494,60.3756,0
W066,T06,A,junior,0,0.6,0.636364,0.75,0.755888,1,59.136164,58.39833,63.6645,1
W067,T06,B,junior,1,0.6,0.545455,0.25,0.213114,0,59.958918,60.592049,54.6142,1
W068,T06,A,junior,1,0.6,0.545455,0.6,0.783561,1,59.245045,61.049845,62.4668,0
W069,T06,B,senior,1,0.6,0.545455,0.5,0.470857,1,59.253818,59.275083,62.3703,1
W070,T06,A,junior,1,0.6,0.545455,0.625,0.644874,1,59.610982,61.291536,58.4415,1
W071,T06,B,senior,0,0.6,0.636364,0.333333,0.350395,1,60.185973,62.235345,52.1166,0
W072,T06,B,junior,1,0.6,0.545455,0.333333,0.335987,1,59.724909,61.474928,57.1883,0
W073,T07,A,junior,1,0.75,0.818182,0.8,0.853913,1,60.915045,62.584414,65.6031,1
W074,T07,A,senior,0,0.75,0.909091,0.8,0.816677,1,61.907018,61.958292,54.6914,1
W075,T07,A,junior,1,0.75,0.818182,0.857143,0.94544,1,61.0254,61.545744,64.3892,1
W076,T07,A,junior,1,0.75,0.818182,0.833333,0.794902,1,61.456918,61.891786,59.6425,1
W077,T07,B,senior,1,0.75,0.818182,0.8,0.726638,0,61.795718,61.308535,55.9157,0
W078,T07,B,junior,1,0.75,0.818182,0.333333,0.28669,1,61.272691,55.834429,61.669,0
W079,T07,A,junior,1,0.75,0.818182,0.75,0.76313,1,61.321564,62.982146,61.1314,0
W080,T07,A,junior,1,0.75,0.818182,1.0,1.0,0,61.026191,61.846548,64.3805,0
W081,T07,A,senior,1,0.75,0.818182,0.714286,0.589118,0,61.108764,60.803999,63.4722,1
W082,T07,A,junior,1,0.75,0.818182,0.75,0.74596,1,61.353791,61.53807,60.7769,0
W083,T07,A,junior,1,0.75,0.818182,0.714286,0.712007,1,60.975318,61.24375,64.9401,0
W084,T07,A,junior,0,0.75,0.909091,0.9,0.892942,1,61.510182,60.834301,59.0566,1
W085,T08,B,junior,0,0.75,0.909091,0.833333,0.716107,1,61.283918,59.495524,53.1747,1
W086,T08,A,senior,1,0.75,0.818182,1.0,1.0,1,59.816245,62.977739,69.3191,0
W087,T08,A,junior,1,0.75,0.818182,0.6,0.793983,1,60.6344,61.130991,60.3194,0
W088,T08,A,junior,0,0.75,0.909091,0.8,0.652838,1,61.179909,58.23628,54.3188,0
W089,T08,A,senior,1,0.75,0.818182,1.0,1.0,1,60.024045,63.53647,67.0333,1
W090,T08,B,junior,1,0.75,0.818182,0.8,0.846876,1,60.554236,60.813958,61.2012,0
W091,T08,A,senior,1,0.75,0.818182,0.666667,0.746662,1,60.2513,60.097592,64.5335,0
W092,T08,A,junior,1,0.75,0.818182,1.0,1.0,1,60.527927,64.320695,61.4906,0
W093,T08,A,senior,1,0.75,0.818182,0.8,0.783464,1,60.535836,60.007719,61.4036,1
W094,T08,A,junior,1,0.75,0.818182,0.777778,0.855918,1,60.873745,60.896143,57.6866,0
W095,T08,A,junior,1,0.75,0.818182,0.8,0.843598,1,60.675709,60.580611,59.865,0
W096,T08,B,junior,1,0.75,0.818182,1.0,1.0,1,60.940527,59.649564,56.952,0
