vacancy_id,occupation,market,wage_index,wage_transparent,recruiting_intensity,intensity_group,hiring_standard,interview_capacity,applications,applicant_quality_index,qualified_applicants,interviews,offers,hires,vacancy_filled,exploding_offer,offer_hold_days,vacancy_duration_days,interview_yield,offer_yield,vacancy_yield
V023,clinical_fellow,remote,0.48,0,0.58,middle_recruiting_intensity,0.64,8,114,0.429,27,8,3,1,1,1,2,72,0.0702,0.375,0.0088
V024,registered_nurse,metro,0.65,1,0.78,high_recruiting_intensity,0.71,13,68,0.787,29,13,7,5,1,0,8,42,0.1912,0.5385,0.0735
V025,software_analyst,regional,0.82,1,0.85,high_recruiting_intensity,0.82,16,97,0.6,27,16,9,6,1,1,2,53,0.1649,0.5625,0.0619
V026,manufacturing_technician,rural,0.45,0,0.84,high_recruiting_intensity,0.46,6,85,0.535,30,6,4,2,1,0,10,56,0.0706,0.6667,0.0235
V027,public_service_caseworker,remote,0.62,0,0.25,low_recruiting_intensity,0.57,7,97,0.694,40,7,2,1,1,0,11,66,0.0722,0.2857,0.0103
V028,research_assistant,metro,0.79,1,0.45,middle_recruiting_intensity,0.68,10,58,0.722,23,10,4,2,1,1,2,66,0.1724,0.4,0.0345
V029,clinical_fellow,regional,0.42,1,0.52,middle_recruiting_intensity,0.83,13,78,0.718,27,13,4,3,1,0,9,56,0.1667,0.3077,0.0385
V030,registered_nurse,rural,0.59,0,0.51,middle_recruiting_intensity,0.43,16,75,0.47,24,16,7,3,1,1,2,68,0.2133,0.4375,0.04
V031,software_analyst,remote,0.76,0,0.53,middle_recruiting_intensity,0.54,6,95,0.617,36,6,3,2,1,0,11,63,0.0632,0.5,0.0211
V032,manufacturing_technician,metro,0.39,1,0.73,high_recruiting_intensity,0.65,11,128,0.382,26,11,5,3,1,0,8,51,0.0859,0.4545,0.0234
V033,public_service_caseworker,regional,0.56,1,0.8,high_recruiting_intensity,0.76,14,61,0.663,21,14,7,4,1,1,2,62,0.2295,0.5,0.0656
V034,research_assistant,rural,0.73,0,0.79,high_recruiting_intensity,0.87,17,65,0.724,22,17,9,6,1,0,10,52,0.2615,0.5294,0.0923
V035,clinical_fellow,remote,0.36,0,0.2,low_recruiting_intensity,0.55,5,76,0.414,19,5,1,0,0,1,2,84,0.0658,0.2,0.0
V036,registered_nurse,metro,0.53,1,0.4,low_recruiting_intensity,0.62,8,118,0.637,43,8,3,2,1,0,8,53,0.0678,0.375,0.0169
V037,software_analyst,regional,0.7,1,0.47,middle_recruiting_intensity,0.73,11,147,0.45,33,11,4,3,1,0,9,56,0.0748,0.3636,0.0204
V038,manufacturing_technician,rural,0.87,0,0.46,middle_recruiting_intensity,0.84,14,55,0.659,17,14,5,2,1,1,2,76,0.2545,0.3571,0.0364
V039,public_service_caseworker,remote,0.5,0,0.48,middle_recruiting_intensity,0.48,4,60,0.678,26,4,2,1,1,0,11,59,0.0667,0.5,0.0167
V040,research_assistant,metro,0.67,1,0.68,middle_recruiting_intensity,0.59,7,108,0.571,36,7,4,2,1,1,2,60,0.0648,0.5714,0.0185
V041,clinical_fellow,regional,0.84,1,0.75,high_recruiting_intensity,0.74,12,137,0.704,50,12,7,6,1,0,9,41,0.0876,0.5833,0.0438
V042,registered_nurse,rural,0.47,0,0.74,high_recruiting_intensity,0.81,15,37,0.455,7,7,3,2,1,0,10,61,0.1892,0.4286,0.0541
V043,software_analyst,remote,0.64,0,0.76,high_recruiting_intensity,0.45,18,57,0.602,22,18,11,4,1,1,2,65,0.3158,0.6111,0.0702
V044,manufacturing_technician,metro,0.81,1,0.35,low_recruiting_intensity,0.56,6,98,0.826,48,6,2,2,1,0,8,53,0.0612,0.3333,0.0204
V045,public_service_caseworker,regional,0.44,1,0.42,low_recruiting_intensity,0.67,9,112,0.511,31,9,3,1,1,1,2,73,0.0804,0.3333,0.0089
V046,research_assistant,rural,0.61,0,0.41,low_recruiting_intensity,0.78,12,115,0.574,32,12,4,2,1,0,10,64,0.1043,0.3333,0.0174
V047,clinical_fellow,remote,0.78,0,0.43,low_recruiting_intensity,0.46,15,47,0.536,17,15,7,4,1,0,11,60,0.3191,0.4667,0.0851
V048,registered_nurse,metro,0.41,1,0.63,middle_recruiting_intensity,0.53,5,80,0.622,31,5,2,1,1,1,2,56,0.0625,0.4,0.0125
V049,software_analyst,regional,0.58,1,0.7,high_recruiting_intensity,0.64,10,109,0.755,46,10,5,4,1,0,9,49,0.0917,0.5,0.0367
V050,manufacturing_technician,rural,0.75,0,0.69,middle_recruiting_intensity,0.75,11,106,0.507,26,11,5,2,1,1,2,70,0.1038,0.4545,0.0189
V051,public_service_caseworker,remote,0.38,0,0.71,high_recruiting_intensity,0.86,16,22,0.663,7,7,3,1,1,0,11,61,0.3182,0.4286,0.0455
V052,research_assistant,metro,0.55,1,0.91,high_recruiting_intensity,0.5,6,70,0.556,25,6,4,3,1,0,8,44,0.0857,0.6667,0.0429
V053,clinical_fellow,regional,0.72,1,0.37,low_recruiting_intensity,0.65,7,99,0.689,38,7,3,2,1,1,2,62,0.0707,0.4286,0.0202
V054,registered_nurse,rural,0.35,0,0.36,low_recruiting_intensity,0.72,10,87,0.624,28,10,3,1,1,0,10,72,0.1149,0.3,0.0115
V055,software_analyst,remote,0.52,0,0.38,low_recruiting_intensity,0.83,13,107,0.451,21,13,4,1,1,1,2,85,0.1215,0.3077,0.0093
V056,manufacturing_technician,metro,0.69,1,0.58,middle_recruiting_intensity,0.47,16,61,0.809,31,16,8,6,1,0,8,47,0.2623,0.5,0.0984
V057,public_service_caseworker,regional,0.86,1,0.65,middle_recruiting_intensity,0.58,6,82,0.635,31,6,3,2,1,0,9,49,0.0732,0.5,0.0244
V058,research_assistant,rural,0.49,0,0.64,middle_recruiting_intensity,0.69,9,77,0.559,23,9,4,1,1,1,2,66,0.1169,0.4444,0.013
V059,clinical_fellow,remote,0.66,0,0.66,middle_recruiting_intensity,0.84,12,97,0.706,33,12,5,3,1,0,11,62,0.1237,0.4167,0.0309
V060,registered_nurse,metro,0.83,1,0.86,high_recruiting_intensity,0.44,17,139,0.609,56,17,11,7,1,1,2,41,0.1223,0.6471,0.0504
V061,software_analyst,regional,0.46,1,0.32,low_recruiting_intensity,0.55,5,71,0.74,32,5,2,1,1,0,9,61,0.0704,0.4,0.0141
V062,manufacturing_technician,rural,0.63,0,0.31,low_recruiting_intensity,0.66,8,68,0.492,18,8,3,2,1,0,10,72,0.1176,0.375,0.0294
V063,public_service_caseworker,remote,0.8,0,0.33,low_recruiting_intensity,0.77,11,80,0.651,26,11,4,1,1,1,2,73,0.1375,0.3636,0.0125
V064,research_assistant,metro,0.43,1,0.53,middle_recruiting_intensity,0.88,14,120,0.406,18,14,5,3,1,0,8,64,0.1167,0.3571,0.025
V065,clinical_fellow,regional,0.6,1,0.6,middle_recruiting_intensity,0.56,4,61,0.674,25,4,2,1,1,1,2,56,0.0656,0.5,0.0164
V066,registered_nurse,rural,0.77,0,0.59,middle_recruiting_intensity,0.63,7,58,0.746,25,7,3,2,1,0,10,57,0.1207,0.4286,0.0345
V067,software_analyst,remote,0.4,0,0.61,middle_recruiting_intensity,0.74,10,69,0.436,15,10,4,2,1,0,11,69,0.1449,0.4,0.029
V068,manufacturing_technician,metro,0.57,1,0.81,high_recruiting_intensity,0.85,15,111,0.659,34,15,8,5,1,1,2,58,0.1351,0.5333,0.045
V069,public_service_caseworker,regional,0.74,1,0.88,high_recruiting_intensity,0.49,18,132,0.484,41,18,12,10,1,0,9,43,0.1364,0.6667,0.0758
V070,research_assistant,rural,0.37,0,0.26,low_recruiting_intensity,0.6,6,39,0.544,12,6,2,0,0,1,2,78,0.1538,0.3333,0.0
V071,clinical_fellow,remote,0.54,0,0.28,low_recruiting_intensity,0.75,9,59,0.69,21,9,2,1,1,0,11,73,0.1525,0.2222,0.0169
V072,registered_nurse,metro,0.71,1,0.48,middle_recruiting_intensity,0.82,12,101,0.593,28,12,4,3,1,0,8,52,0.1188,0.3333,0.0297
V073,software_analyst,regional,0.88,1,0.55,middle_recruiting_intensity,0.46,15,130,0.726,60,15,8,5,1,1,2,55,0.1154,0.5333,0.0385
V074,manufacturing_technician,rural,0.51,0,0.54,middle_recruiting_intensity,0.57,5,118,0.341,24,5,2,1,1,0,10,66,0.0424,0.4,0.0085
V075,public_service_caseworker,remote,0.68,0,0.56,middle_recruiting_intensity,0.68,8,42,0.636,14,8,4,1,1,1,2,66,0.1905,0.5,0.0238
V076,research_assistant,metro,0.85,1,0.76,high_recruiting_intensity,0.79,13,91,0.848,40,13,7,6,1,0,8,49,0.1429,0.5385,0.0659
V077,clinical_fellow,regional,0.48,1,0.83,high_recruiting_intensity,0.47,16,111,0.524,38,16,9,6,1,0,9,40,0.1441,0.5625,0.0541
V078,registered_nurse,rural,0.65,0,0.82,high_recruiting_intensity,0.54,6,108,0.596,39,6,4,2,1,1,2,60,0.0556,0.6667,0.0185
V079,software_analyst,remote,0.82,0,0.23,low_recruiting_intensity,0.65,7,40,0.558,12,7,2,1,1,0,11,72,0.175,0.2857,0.025
V080,manufacturing_technician,metro,0.45,1,0.43,low_recruiting_intensity,0.76,10,73,0.644,24,10,3,1,1,1,2,69,0.137,0.3,0.0137
V081,public_service_caseworker,regional,0.62,1,0.5,middle_recruiting_intensity,0.87,13,94,0.789,35,13,5,4,1,0,9,62,0.1383,0.3846,0.0426
V082,research_assistant,rural,0.79,0,0.49,middle_recruiting_intensity,0.51,16,98,0.53,33,16,7,4,1,0,10,54,0.1633,0.4375,0.0408
V083,clinical_fellow,remote,0.42,0,0.51,middle_recruiting_intensity,0.66,6,109,0.54,32,6,2,0,0,1,2,76,0.055,0.3333,0.0
V084,registered_nurse,metro,0.59,1,0.71,high_recruiting_intensity,0.73,11,63,0.578,19,11,5,4,1,0,8,45,0.1746,0.4545,0.0635
V085,software_analyst,regional,0.76,1,0.78,high_recruiting_intensity,0.84,14,92,0.711,31,14,7,5,1,1,2,56,0.1522,0.5,0.0543
V086,manufacturing_technician,rural,0.39,0,0.77,high_recruiting_intensity,0.48,17,80,0.646,33,17,9,4,1,0,10,60,0.2125,0.5294,0.05
V087,public_service_caseworker,remote,0.56,0,0.79,high_recruiting_intensity,0.59,7,92,0.485,26,7,4,2,1,0,11,51,0.0761,0.5714,0.0217
V088,research_assistant,metro,0.73,1,0.38,low_recruiting_intensity,0.7,8,53,0.833,24,8,3,2,1,1,2,69,0.1509,0.375,0.0377
V089,clinical_fellow,regional,0.36,1,0.45,middle_recruiting_intensity,0.85,11,73,0.508,16,11,3,2,1,0,9,60,0.1507,0.2727,0.0274
V090,registered_nurse,rural,0.53,0,0.44,low_recruiting_intensity,0.45,14,70,0.581,27,14,6,2,1,1,2,71,0.2,0.4286,0.0286
V091,software_analyst,remote,0.7,0,0.46,middle_recruiting_intensity,0.56,4,90,0.728,39,4,2,1,1,0,11,66,0.0444,0.5,0.0111
V092,manufacturing_technician,metro,0.87,1,0.66,middle_recruiting_intensity,0.67,7,131,0.632,45,7,4,3,1,0,8,45,0.0534,0.5714,0.0229
V093,public_service_caseworker,regional,0.5,1,0.73,high_recruiting_intensity,0.78,12,57,0.772,22,12,6,3,1,1,2,65,0.2105,0.5,0.0526
V094,research_assistant,rural,0.67,0,0.72,high_recruiting_intensity,0.42,15,60,0.515,21,15,9,5,1,0,10,48,0.25,0.6,0.0833
V095,clinical_fellow,remote,0.84,0,0.74,high_recruiting_intensity,0.57,18,80,0.662,31,18,10,4,1,1,2,61,0.225,0.5556,0.05
V096,registered_nurse,metro,0.47,1,0.33,low_recruiting_intensity,0.64,6,113,0.428,27,6,2,1,1,0,8,57,0.0531,0.3333,0.0088
