worker_id,gender,track,skill_index,care_constraint,search_intensity,risk_tolerance,job_id,occupation,posted_wage,commute_minutes,flexibility_score,remote_option,firm_premium,gendered_language_score,family_friendly_score,applied,callback
W003,woman,general,0.4726,0.7919,0.6976,0.6010,J08,logistics,39.0000,28,0.4400,0,0.5200,0.6200,0.3600,0,0
W003,woman,general,0.4726,0.7919,0.6976,0.6010,J09,management,52.0000,44,0.3000,0,0.7200,0.6600,0.3000,0,0
W003,woman,general,0.4726,0.7919,0.6976,0.6010,J10,management,55.0000,34,0.4000,1,0.7600,0.5200,0.4000,0,0
W003,woman,general,0.4726,0.7919,0.6976,0.6010,J11,public,33.0000,24,0.7600,1,0.3000,0.2000,0.8000,1,0
W003,woman,general,0.4726,0.7919,0.6976,0.6010,J12,public,37.0000,36,0.6200,0,0.3800,0.2600,0.6600,1,0
W004,woman,general,0.7179,0.4963,0.6072,0.5390,J01,care,27.0000,18,0.7800,1,0.1800,0.1200,0.8200,0,0
W004,woman,general,0.7179,0.4963,0.6072,0.5390,J02,care,31.0000,32,0.6600,0,0.2600,0.1800,0.7400,1,1
W004,woman,general,0.7179,0.4963,0.6072,0.5390,J03,admin,29.0000,22,0.7000,1,0.2000,0.2200,0.6800,0,0
W004,woman,general,0.7179,0.4963,0.6072,0.5390,J04,admin,34.0000,38,0.5400,0,0.3400,0.2800,0.5500,0,0
W004,woman,general,0.7179,0.4963,0.6072,0.5390,J05,tech,45.0000,42,0.4200,0,0.5800,0.6400,0.3400,1,0
W004,woman,general,0.7179,0.4963,0.6072,0.5390,J06,tech,49.0000,30,0.4800,1,0.6400,0.5800,0.4200,1,1
W004,woman,general,0.7179,0.4963,0.6072,0.5390,J07,logistics,36.0000,46,0.3200,0,0.4600,0.7000,0.2800,0,0
W004,woman,general,0.7179,0.4963,0.6072,0.5390,J08,logistics,39.0000,28,0.4400,0,0.5200,0.6200,0.3600,0,0
W004,woman,general,0.7179,0.4963,0.6072,0.5390,J09,management,52.0000,44,0.3000,0,0.7200,0.6600,0.3000,0,0
W004,woman,general,0.7179,0.4963,0.6072,0.5390,J10,management,55.0000,34,0.4000,1,0.7600,0.5200,0.4000,1,0
W004,woman,general,0.7179,0.4963,0.6072,0.5390,J11,public,33.0000,24,0.7600,1,0.3000,0.2000,0.8000,0,0
W004,woman,general,0.7179,0.4963,0.6072,0.5390,J12,public,37.0000,36,0.6200,0,0.3800,0.2600,0.6600,0,0
W005,woman,managerial,0.6484,0.4994,0.4512,0.6000,J01,care,27.0000,18,0.7800,1,0.1800,0.1200,0.8200,1,0
W005,woman,managerial,0.6484,0.4994,0.4512,0.6000,J02,care,31.0000,32,0.6600,0,0.2600,0.1800,0.7400,1,0
W005,woman,managerial,0.6484,0.4994,0.4512,0.6000,J03,admin,29.0000,22,0.7000,1,0.2000,0.2200,0.6800,1,0
W005,woman,managerial,0.6484,0.4994,0.4512,0.6000,J04,admin,34.0000,38,0.5400,0,0.3400,0.2800,0.5500,0,0
W005,woman,managerial,0.6484,0.4994,0.4512,0.6000,J05,tech,45.0000,42,0.4200,0,0.5800,0.6400,0.3400,1,1
W005,woman,managerial,0.6484,0.4994,0.4512,0.6000,J06,tech,49.0000,30,0.4800,1,0.6400,0.5800,0.4200,0,0
W005,woman,managerial,0.6484,0.4994,0.4512,0.6000,J07,logistics,36.0000,46,0.3200,0,0.4600,0.7000,0.2800,0,0
W005,woman,managerial,0.6484,0.4994,0.4512,0.6000,J08,logistics,39.0000,28,0.4400,0,0.5200,0.6200,0.3600,1,1
W005,woman,managerial,0.6484,0.4994,0.4512,0.6000,J09,management,52.0000,44,0.3000,0,0.7200,0.6600,0.3000,0,0
W005,woman,managerial,0.6484,0.4994,0.4512,0.6000,J10,management,55.0000,34,0.4000,1,0.7600,0.5200,0.4000,1,0
W005,woman,managerial,0.6484,0.4994,0.4512,0.6000,J11,public,33.0000,24,0.7600,1,0.3000,0.2000,0.8000,1,0
W005,woman,managerial,0.6484,0.4994,0.4512,0.6000,J12,public,37.0000,36,0.6200,0,0.3800,0.2600,0.6600,0,0
W006,woman,general,0.7230,0.1335,0.4228,0.8359,J01,care,27.0000,18,0.7800,1,0.1800,0.1200,0.8200,1,0
W006,woman,general,0.7230,0.1335,0.4228,0.8359,J02,care,31.0000,32,0.6600,0,0.2600,0.1800,0.7400,0,0
W006,woman,general,0.7230,0.1335,0.4228,0.8359,J03,admin,29.0000,22,0.7000,1,0.2000,0.2200,0.6800,0,0
W006,woman,general,0.7230,0.1335,0.4228,0.8359,J04,admin,34.0000,38,0.5400,0,0.3400,0.2800,0.5500,0,0
W006,woman,general,0.7230,0.1335,0.4228,0.8359,J05,tech,45.0000,42,0.4200,0,0.5800,0.6400,0.3400,0,0
W006,woman,general,0.7230,0.1335,0.4228,0.8359,J06,tech,49.0000,30,0.4800,1,0.6400,0.5800,0.4200,1,0
W006,woman,general,0.7230,0.1335,0.4228,0.8359,J07,logistics,36.0000,46,0.3200,0,0.4600,0.7000,0.2800,0,0
W006,woman,general,0.7230,0.1335,0.4228,0.8359,J08,logistics,39.0000,28,0.4400,0,0.5200,0.6200,0.3600,0,0
W006,woman,general,0.7230,0.1335,0.4228,0.8359,J09,management,52.0000,44,0.3000,0,0.7200,0.6600,0.3000,1,1
W006,woman,general,0.7230,0.1335,0.4228,0.8359,J10,management,55.0000,34,0.4000,1,0.7600,0.5200,0.4000,1,1
W006,woman,general,0.7230,0.1335,0.4228,0.8359,J11,public,33.0000,24,0.7600,1,0.3000,0.2000,0.8000,0,0
W006,woman,general,0.7230,0.1335,0.4228,0.8359,J12,public,37.0000,36,0.6200,0,0.3800,0.2600,0.6600,1,0
W007,woman,general,0.5289,0.3575,0.6076,0.7256,J01,care,27.0000,18,0.7800,1,0.1800,0.1200,0.8200,0,0
W007,woman,general,0.5289,0.3575,0.6076,0.7256,J02,care,31.0000,32,0.6600,0,0.2600,0.1800,0.7400,0,0
W007,woman,general,0.5289,0.3575,0.6076,0.7256,J03,admin,29.0000,22,0.7000,1,0.2000,0.2200,0.6800,1,0
W007,woman,general,0.5289,0.3575,0.6076,0.7256,J04,admin,34.0000,38,0.5400,0,0.3400,0.2800,0.5500,0,0
W007,woman,general,0.5289,0.3575,0.6076,0.7256,J05,tech,45.0000,42,0.4200,0,0.5800,0.6400,0.3400,1,1
W007,woman,general,0.5289,0.3575,0.6076,0.7256,J06,tech,49.0000,30,0.4800,1,0.6400,0.5800,0.4200,1,0
W007,woman,general,0.5289,0.3575,0.6076,0.7256,J07,logistics,36.0000,46,0.3200,0,0.4600,0.7000,0.2800,0,0
W007,woman,general,0.5289,0.3575,0.6076,0.7256,J08,logistics,39.0000,28,0.4400,0,0.5200,0.6200,0.3600,1,0
W007,woman,general,0.5289,0.3575,0.6076,0.7256,J09,management,52.0000,44,0.3000,0,0.7200,0.6600,0.3000,1,0
W007,woman,general,0.5289,0.3575,0.6076,0.7256,J10,management,55.0000,34,0.4000,1,0.7600,0.5200,0.4000,1,1
W007,woman,general,0.5289,0.3575,0.6076,0.7256,J11,public,33.0000,24,0.7600,1,0.3000,0.2000,0.8000,1,1
W007,woman,general,0.5289,0.3575,0.6076,0.7256,J12,public,37.0000,36,0.6200,0,0.3800,0.2600,0.6600,0,0
W008,woman,technical,0.6995,0.8007,0.7449,0.5391,J01,care,27.0000,18,0.7800,1,0.1800,0.1200,0.8200,1,0
W008,woman,technical,0.6995,0.8007,0.7449,0.5391,J02,care,31.0000,32,0.6600,0,0.2600,0.1800,0.7400,0,0
W008,woman,technical,0.6995,0.8007,0.7449,0.5391,J03,admin,29.0000,22,0.7000,1,0.2000,0.2200,0.6800,0,0
W008,woman,technical,0.6995,0.8007,0.7449,0.5391,J04,admin,34.0000,38,0.5400,0,0.3400,0.2800,0.5500,1,1
W008,woman,technical,0.6995,0.8007,0.7449,0.5391,J05,tech,45.0000,42,0.4200,0,0.5800,0.6400,0.3400,1,1
W008,woman,technical,0.6995,0.8007,0.7449,0.5391,J06,tech,49.0000,30,0.4800,1,0.6400,0.5800,0.4200,0,0
W008,woman,technical,0.6995,0.8007,0.7449,0.5391,J07,logistics,36.0000,46,0.3200,0,0.4600,0.7000,0.2800,0,0
W008,woman,technical,0.6995,0.8007,0.7449,0.5391,J08,logistics,39.0000,28,0.4400,0,0.5200,0.6200,0.3600,0,0
W008,woman,technical,0.6995,0.8007,0.7449,0.5391,J09,management,52.0000,44,0.3000,0,0.7200,0.6600,0.3000,1,1
W008,woman,technical,0.6995,0.8007,0.7449,0.5391,J10,management,55.0000,34,0.4000,1,0.7600,0.5200,0.4000,1,1
W008,woman,technical,0.6995,0.8007,0.7449,0.5391,J11,public,33.0000,24,0.7600,1,0.3000,0.2000,0.8000,1,0
W008,woman,technical,0.6995,0.8007,0.7449,0.5391,J12,public,37.0000,36,0.6200,0,0.3800,0.2600,0.6600,0,0
W009,woman,general,0.5245,0.5161,0.6556,0.3815,J01,care,27.0000,18,0.7800,1,0.1800,0.1200,0.8200,0,0
W009,woman,general,0.5245,0.5161,0.6556,0.3815,J02,care,31.0000,32,0.6600,0,0.2600,0.1800,0.7400,0,0
W009,woman,general,0.5245,0.5161,0.6556,0.3815,J03,admin,29.0000,22,0.7000,1,0.2000,0.2200,0.6800,1,0
W009,woman,general,0.5245,0.5161,0.6556,0.3815,J04,admin,34.0000,38,0.5400,0,0.3400,0.2800,0.5500,0,0
W009,woman,general,0.5245,0.5161,0.6556,0.3815,J05,tech,45.0000,42,0.4200,0,0.5800,0.6400,0.3400,0,0
W009,woman,general,0.5245,0.5161,0.6556,0.3815,J06,tech,49.0000,30,0.4800,1,0.6400,0.5800,0.4200,0,0
W009,woman,general,0.5245,0.5161,0.6556,0.3815,J07,logistics,36.0000,46,0.3200,0,0.4600,0.7000,0.2800,0,0
W009,woman,general,0.5245,0.5161,0.6556,0.3815,J08,logistics,39.0000,28,0.4400,0,0.5200,0.6200,0.3600,0,0
W009,woman,general,0.5245,0.5161,0.6556,0.3815,J09,management,52.0000,44,0.3000,0,0.7200,0.6600,0.3000,0,0
W009,woman,general,0.5245,0.5161,0.6556,0.3815,J10,management,55.0000,34,0.4000,1,0.7600,0.5200,0.4000,0,0
W009,woman,general,0.5245,0.5161,0.6556,0.3815,J11,public,33.0000,24,0.7600,1,0.3000,0.2000,0.8000,0,0
W009,woman,general,0.5245,0.5161,0.6556,0.3815,J12,public,37.0000,36,0.6200,0,0.3800,0.2600,0.6600,1,0
W010,woman,general,0.4481,0.6622,0.4206,0.4343,J01,care,27.0000,18,0.7800,1,0.1800,0.1200,0.8200,1,0
W010,woman,general,0.4481,0.6622,0.4206,0.4343,J02,care,31.0000,32,0.6600,0,0.2600,0.1800,0.7400,0,0
W010,woman,general,0.4481,0.6622,0.4206,0.4343,J03,admin,29.0000,22,0.7000,1,0.2000,0.2200,0.6800,0,0
W010,woman,general,0.4481,0.6622,0.4206,0.4343,J04,admin,34.0000,38,0.5400,0,0.3400,0.2800,0.5500,1,0
W010,woman,general,0.4481,0.6622,0.4206,0.4343,J05,tech,45.0000,42,0.4200,0,0.5800,0.6400,0.3400,0,0
W010,woman,general,0.4481,0.6622,0.4206,0.4343,J06,tech,49.0000,30,0.4800,1,0.6400,0.5800,0.4200,1,0
W010,woman,general,0.4481,0.6622,0.4206,0.4343,J07,logistics,36.0000,46,0.3200,0,0.4600,0.7000,0.2800,0,0
W010,woman,general,0.4481,0.6622,0.4206,0.4343,J08,logistics,39.0000,28,0.4400,0,0.5200,0.6200,0.3600,1,1
W010,woman,general,0.4481,0.6622,0.4206,0.4343,J09,management,52.0000,44,0.3000,0,0.7200,0.6600,0.3000,0,0
W010,woman,general,0.4481,0.6622,0.4206,0.4343,J10,management,55.0000,34,0.4000,1,0.7600,0.5200,0.4000,1,1
W010,woman,general,0.4481,0.6622,0.4206,0.4343,J11,public,33.0000,24,0.7600,1,0.3000,0.2000,0.8000,1,1
W010,woman,general,0.4481,0.6622,0.4206,0.4343,J12,public,37.0000,36,0.6200,0,0.3800,0.2600,0.6600,0,0
W011,woman,general,0.5742,0.4548,0.6551,0.4057,J01,care,27.0000,18,0.7800,1,0.1800,0.1200,0.8200,1,1
W011,woman,general,0.5742,0.4548,0.6551,0.4057,J02,care,31.0000,32,0.6600,0,0.2600,0.1800,0.7400,0,0
W011,woman,general,0.5742,0.4548,0.6551,0.4057,J03,admin,29.0000,22,0.7000,1,0.2000,0.2200,0.6800,0,0
W011,woman,general,0.5742,0.4548,0.6551,0.4057,J04,admin,34.0000,38,0.5400,0,0.3400,0.2800,0.5500,0,0
W011,woman,general,0.5742,0.4548,0.6551,0.4057,J05,tech,45.0000,42,0.4200,0,0.5800,0.6400,0.3400,0,0
W011,woman,general,0.5742,0.4548,0.6551,0.4057,J06,tech,49.0000,30,0.4800,1,0.6400,0.5800,0.4200,1,0
W011,woman,general,0.5742,0.4548,0.6551,0.4057,J07,logistics,36.0000,46,0.3200,0,0.4600,0.7000,0.2800,0,0
W011,woman,general,0.5742,0.4548,0.6551,0.4057,J08,logistics,39.0000,28,0.4400,0,0.5200,0.6200,0.3600,1,1
W011,woman,general,0.5742,0.4548,0.6551,0.4057,J09,management,52.0000,44,0.3000,0,0.7200,0.6600,0.3000,1,1
W011,woman,general,0.5742,0.4548,0.6551,0.4057,J10,management,55.0000,34,0.4000,1,0.7600,0.5200,0.4000,1,0
W011,woman,general,0.5742,0.4548,0.6551,0.4057,J11,public,33.0000,24,0.7600,1,0.3000,0.2000,0.8000,1,0
W011,woman,general,0.5742,0.4548,0.6551,0.4057,J12,public,37.0000,36,0.6200,0,0.3800,0.2600,0.6600,1,0
W012,woman,general,0.4537,0.4645,0.8303,0.3668,J01,care,27.0000,18,0.7800,1,0.1800,0.1200,0.8200,1,0
W012,woman,general,0.4537,0.4645,0.8303,0.3668,J02,care,31.0000,32,0.6600,0,0.2600,0.1800,0.7400,0,0
W012,woman,general,0.4537,0.4645,0.8303,0.3668,J03,admin,29.0000,22,0.7000,1,0.2000,0.2200,0.6800,1,1
W012,woman,general,0.4537,0.4645,0.8303,0.3668,J04,admin,34.0000,38,0.5400,0,0.3400,0.2800,0.5500,1,0
W012,woman,general,0.4537,0.4645,0.8303,0.3668,J05,tech,45.0000,42,0.4200,0,0.5800,0.6400,0.3400,1,0
W012,woman,general,0.4537,0.4645,0.8303,0.3668,J06,tech,49.0000,30,0.4800,1,0.6400,0.5800,0.4200,0,0
W012,woman,general,0.4537,0.4645,0.8303,0.3668,J07,logistics,36.0000,46,0.3200,0,0.4600,0.7000,0.2800,0,0
W012,woman,general,0.4537,0.4645,0.8303,0.3668,J08,logistics,39.0000,28,0.4400,0,0.5200,0.6200,0.3600,0,0
W012,woman,general,0.4537,0.4645,0.8303,0.3668,J09,management,52.0000,44,0.3000,0,0.7200,0.6600,0.3000,1,0
W012,woman,general,0.4537,0.4645,0.8303,0.3668,J10,management,55.0000,34,0.4000,1,0.7600,0.5200,0.4000,1,1
W012,woman,general,0.4537,0.4645,0.8303,0.3668,J11,public,33.0000,24,0.7600,1,0.3000,0.2000,0.8000,1,1
W012,woman,general,0.4537,0.4645,0.8303,0.3668,J12,public,37.0000,36,0.6200,0,0.3800,0.2600,0.6600,1,1
W013,woman,general,0.5469,0.6120,0.2255,0.3071,J01,care,27.0000,18,0.7800,1,0.1800,0.1200,0.8200,0,0
W013,woman,general,0.5469,0.6120,0.2255,0.3071,J02,care,31.0000,32,0.6600,0,0.2600,0.1800,0.7400,0,0
W013,woman,general,0.5469,0.6120,0.2255,0.3071,J03,admin,29.0000,22,0.7000,1,0.2000,0.2200,0.6800,1,1
W013,woman,general,0.5469,0.6120,0.2255,0.3071,J04,admin,34.0000,38,0.5400,0,0.3400,0.2800,0.5500,0,0
W013,woman,general,0.5469,0.6120,0.2255,0.3071,J05,tech,45.0000,42,0.4200,0,0.5800,0.6400,0.3400,0,0
W013,woman,general,0.5469,0.6120,0.2255,0.3071,J06,tech,49.0000,30,0.4800,1,0.6400,0.5800,0.4200,0,0
W013,woman,general,0.5469,0.6120,0.2255,0.3071,J07,logistics,36.0000,46,0.3200,0,0.4600,0.7000,0.2800,0,0
W013,woman,general,0.5469,0.6120,0.2255,0.3071,J08,logistics,39.0000,28,0.4400,0,0.5200,0.6200,0.3600,0,0
W013,woman,general,0.5469,0.6120,0.2255,0.3071,J09,management,52.0000,44,0.3000,0,0.7200,0.6600,0.3000,0,0
W013,woman,general,0.5469,0.6120,0.2255,0.3071,J10,management,55.0000,34,0.4000,1,0.7600,0.5200,0.4000,1,1
W013,woman,general,0.5469,0.6120,0.2255,0.3071,J11,public,33.0000,24,0.7600,1,0.3000,0.2000,0.8000,1,1
W013,woman,general,0.5469,0.6120,0.2255,0.3071,J12,public,37.0000,36,0.6200,0,0.3800,0.2600,0.6600,0,0
W014,woman,technical,0.6428,0.3948,0.6796,0.4692,J01,care,27.0000,18,0.7800,1,0.1800,0.1200,0.8200,0,0
W014,woman,technical,0.6428,0.3948,0.6796,0.4692,J02,care,31.0000,32,0.6600,0,0.2600,0.1800,0.7400,0,0
W014,woman,technical,0.6428,0.3948,0.6796,0.4692,J03,admin,29.0000,22,0.7000,1,0.2000,0.2200,0.6800,0,0
W014,woman,technical,0.6428,0.3948,0.6796,0.4692,J04,admin,34.0000,38,0.5400,0,0.3400,0.2800,0.5500,0,0
W014,woman,technical,0.6428,0.3948,0.6796,0.4692,J05,tech,45.0000,42,0.4200,0,0.5800,0.6400,0.3400,0,0
W014,woman,technical,0.6428,0.3948,0.6796,0.4692,J06,tech,49.0000,30,0.4800,1,0.6400,0.5800,0.4200,1,1
W014,woman,technical,0.6428,0.3948,0.6796,0.4692,J07,logistics,36.0000,46,0.3200,0,0.4600,0.7000,0.2800,0,0
W014,woman,technical,0.6428,0.3948,0.6796,0.4692,J08,logistics,39.0000,28,0.4400,0,0.5200,0.6200,0.3600,0,0
W014,woman,technical,0.6428,0.3948,0.6796,0.4692,J09,management,52.0000,44,0.3000,0,0.7200,0.6600,0.3000,0,0
W014,woman,technical,0.6428,0.3948,0.6796,0.4692,J10,management,55.0000,34,0.4000,1,0.7600,0.5200,0.4000,1,0
W014,woman,technical,0.6428,0.3948,0.6796,0.4692,J11,public,33.0000,24,0.7600,1,0.3000,0.2000,0.8000,1,0
W014,woman,technical,0.6428,0.3948,0.6796,0.4692,J12,public,37.0000,36,0.6200,0,0.3800,0.2600,0.6600,1,1
W015,woman,general,0.5722,0.4146,0.7210,0.4075,J01,care,27.0000,18,0.7800,1,0.1800,0.1200,0.8200,1,0
W015,woman,general,0.5722,0.4146,0.7210,0.4075,J02,care,31.0000,32,0.6600,0,0.2600,0.1800,0.7400,1,0
W015,woman,general,0.5722,0.4146,0.7210,0.4075,J03,admin,29.0000,22,0.7000,1,0.2000,0.2200,0.6800,1,0
W015,woman,general,0.5722,0.4146,0.7210,0.4075,J04,admin,34.0000,38,0.5400,0,0.3400,0.2800,0.5500,0,0
W015,woman,general,0.5722,0.4146,0.7210,0.4075,J05,tech,45.0000,42,0.4200,0,0.5800,0.6400,0.3400,0,0
W015,woman,general,0.5722,0.4146,0.7210,0.4075,J06,tech,49.0000,30,0.4800,1,0.6400,0.5800,0.4200,0,0
W015,woman,general,0.5722,0.4146,0.7210,0.4075,J07,logistics,36.0000,46,0.3200,0,0.4600,0.7000,0.2800,0,0
W015,woman,general,0.5722,0.4146,0.7210,0.4075,J08,logistics,39.0000,28,0.4400,0,0.5200,0.6200,0.3600,1,1
W015,woman,general,0.5722,0.4146,0.7210,0.4075,J09,management,52.0000,44,0.3000,0,0.7200,0.6600,0.3000,1,1
W015,woman,general,0.5722,0.4146,0.7210,0.4075,J10,management,55.0000,34,0.4000,1,0.7600,0.5200,0.4000,1,0
W015,woman,general,0.5722,0.4146,0.7210,0.4075,J11,public,33.0000,24,0.7600,1,0.3000,0.2000,0.8000,0,0
W015,woman,general,0.5722,0.4146,0.7210,0.4075,J12,public,37.0000,36,0.6200,0,0.3800,0.2600,0.6600,0,0
W016,woman,general,0.5269,0.4794,0.5405,0.8072,J01,care,27.0000,18,0.7800,1,0.1800,0.1200,0.8200,1,0
W016,woman,general,0.5269,0.4794,0.5405,0.8072,J02,care,31.0000,32,0.6600,0,0.2600,0.1800,0.7400,0,0
W016,woman,general,0.5269,0.4794,0.5405,0.8072,J03,admin,29.0000,22,0.7000,1,0.2000,0.2200,0.6800,0,0
W016,woman,general,0.5269,0.4794,0.5405,0.8072,J04,admin,34.0000,38,0.5400,0,0.3400,0.2800,0.5500,0,0
W016,woman,general,0.5269,0.4794,0.5405,0.8072,J05,tech,45.0000,42,0.4200,0,0.5800,0.6400,0.3400,0,0
W016,woman,general,0.5269,0.4794,0.5405,0.8072,J06,tech,49.0000,30,0.4800,1,0.6400,0.5800,0.4200,1,0
W016,woman,general,0.5269,0.4794,0.5405,0.8072,J07,logistics,36.0000,46,0.3200,0,0.4600,0.7000,0.2800,0,0
W016,woman,general,0.5269,0.4794,0.5405,0.8072,J08,logistics,39.0000,28,0.4400,0,0.5200,0.6200,0.3600,0,0
W016,woman,general,0.5269,0.4794,0.5405,0.8072,J09,management,52.0000,44,0.3000,0,0.7200,0.6600,0.3000,1,1
W016,woman,general,0.5269,0.4794,0.5405,0.8072,J10,management,55.0000,34,0.4000,1,0.7600,0.5200,0.4000,0,0
W016,woman,general,0.5269,0.4794,0.5405,0.8072,J11,public,33.0000,24,0.7600,1,0.3000,0.2000,0.8000,1,1
W016,woman,general,0.5269,0.4794,0.5405,0.8072,J12,public,37.0000,36,0.6200,0,0.3800,0.2600,0.6600,0,0
W017,woman,managerial,0.6620,0.7625,0.5861,0.4151,J01,care,27.0000,18,0.7800,1,0.1800,0.1200,0.8200,1,1
W017,woman,managerial,0.6620,0.7625,0.5861,0.4151,J02,care,31.0000,32,0.6600,0,0.2600,0.1800,0.7400,1,1
W017,woman,managerial,0.6620,0.7625,0.5861,0.4151,J03,admin,29.0000,22,0.7000,1,0.2000,0.2200,0.6800,1,1
W017,woman,managerial,0.6620,0.7625,0.5861,0.4151,J04,admin,34.0000,38,0.5400,0,0.3400,0.2800,0.5500,1,1
W017,woman,managerial,0.6620,0.7625,0.5861,0.4151,J05,tech,45.0000,42,0.4200,0,0.5800,0.6400,0.3400,1,0
W017,woman,managerial,0.6620,0.7625,0.5861,0.4151,J06,tech,49.0000,30,0.4800,1,0.6400,0.5800,0.4200,1,1
W017,woman,managerial,0.6620,0.7625,0.5861,0.4151,J07,logistics,36.0000,46,0.3200,0,0.4600,0.7000,0.2800,0,0
W017,woman,managerial,0.6620,0.7625,0.5861,0.4151,J08,logistics,39.0000,28,0.4400,0,0.5200,0.6200,0.3600,1,0
W017,woman,managerial,0.6620,0.7625,0.5861,0.4151,J09,management,52.0000,44,0.3000,0,0.7200,0.6600,0.3000,1,1
W017,woman,managerial,0.6620,0.7625,0.5861,0.4151,J10,management,55.0000,34,0.4000,1,0.7600,0.5200,0.4000,1,1
W017,woman,managerial,0.6620,0.7625,0.5861,0.4151,J11,public,33.0000,24,0.7600,1,0.3000,0.2000,0.8000,1,1
W017,woman,managerial,0.6620,0.7625,0.5861,0.4151,J12,public,37.0000,36,0.6200,0,0.3800,0.2600,0.6600,1,0
W018,woman,managerial,0.7523,0.6032,0.4958,0.5751,J01,care,27.0000,18,0.7800,1,0.1800,0.1200,0.8200,0,0
