choice_id,worker_id,caregiver,long_commute,wage_a,wage_b,predictable_a,predictable_b,remote_a,remote_b,flexibility_a,flexibility_b,chosen_offer_a
108,18,0,0,28,23,1,1,1,1,1,0,1
109,19,0,0,31,22,1,0,1,0,1,0,1
110,19,0,0,20,31,1,0,0,1,0,0,1
111,19,0,0,30,31,1,1,1,1,0,1,0
112,19,0,0,24,23,0,0,1,1,1,0,1
113,19,0,0,34,28,1,1,1,0,0,0,1
114,19,0,0,21,31,0,0,0,0,1,1,0
115,20,0,1,33,27,1,1,1,0,0,0,1
116,20,0,1,20,25,1,1,0,0,1,0,0
117,20,0,1,20,27,0,1,0,1,1,1,0
118,20,0,1,28,24,0,1,0,0,0,1,0
119,20,0,1,25,32,0,0,1,0,0,0,0
120,20,0,1,28,22,0,1,0,0,1,1,1
121,21,1,0,30,33,1,0,0,0,1,0,1
122,21,1,0,20,24,1,1,1,0,0,1,0
123,21,1,0,22,23,0,1,0,0,0,0,0
124,21,1,0,26,27,1,1,0,1,1,0,0
125,21,1,0,25,31,1,1,0,0,0,1,0
126,21,1,0,32,23,1,1,0,0,0,1,1
127,22,1,0,22,24,1,0,1,0,0,0,1
128,22,1,0,21,33,1,1,0,1,0,1,0
129,22,1,0,31,20,1,0,0,1,1,0,1
130,22,1,0,25,32,1,0,0,0,1,1,0
131,22,1,0,25,29,0,0,1,1,0,0,0
132,22,1,0,20,30,1,1,1,0,0,1,0
133,23,0,0,22,22,0,1,0,1,0,0,0
134,23,0,0,21,21,1,0,0,1,1,1,1
135,23,0,0,33,25,1,0,0,0,1,1,1
136,23,0,0,20,26,0,1,0,0,0,0,0
137,23,0,0,34,25,1,0,1,1,1,1,1
138,23,0,0,26,27,1,1,0,1,1,0,0
139,24,0,1,34,34,0,0,1,0,0,1,1
140,24,0,1,31,32,1,1,0,0,1,1,1
141,24,0,1,33,27,0,1,1,1,1,1,0
142,24,0,1,34,33,0,1,0,0,1,0,0
143,24,0,1,26,33,0,0,0,0,0,1,0
144,24,0,1,34,24,0,1,1,1,0,1,1
145,25,0,0,32,23,1,0,0,1,0,1,1
146,25,0,0,33,28,1,1,0,0,1,1,1
147,25,0,0,23,28,0,0,1,0,1,1,1
148,25,0,0,29,28,0,0,0,0,0,0,0
149,25,0,0,32,23,0,1,1,0,0,1,1
150,25,0,0,21,23,0,0,0,0,1,0,1
151,26,1,0,26,22,0,0,0,0,1,0,1
152,26,1,0,34,25,0,0,0,0,1,0,1
153,26,1,0,23,25,1,1,1,0,1,0,1
154,26,1,0,33,20,0,0,0,0,0,1,1
155,26,1,0,33,21,1,1,0,0,1,0,1
156,26,1,0,29,26,1,1,0,0,0,1,1
157,27,1,0,30,28,0,1,0,0,0,0,0
158,27,1,0,24,26,0,1,0,0,1,0,1
159,27,1,0,26,32,1,1,0,0,1,1,0
160,27,1,0,33,34,0,0,0,0,1,0,1
161,27,1,0,33,26,0,0,0,1,0,0,1
162,27,1,0,24,20,1,1,1,0,1,0,1
163,28,0,1,26,24,0,1,0,1,0,1,1
164,28,0,1,23,27,0,0,0,1,1,0,0
165,28,0,1,30,28,1,0,1,0,1,0,1
166,28,0,1,30,32,0,1,0,1,0,1,0
167,28,0,1,34,25,1,0,0,0,1,0,1
168,28,0,1,30,25,0,1,0,0,0,0,1
169,29,0,0,33,30,0,0,0,0,0,0,0
170,29,0,0,29,21,1,0,0,1,0,0,1
171,29,0,0,22,24,0,0,0,0,1,1,0
172,29,0,0,30,25,1,1,0,0,1,1,1
173,29,0,0,21,21,1,0,0,0,0,1,0
174,29,0,0,30,24,0,1,1,1,0,0,0
175,30,0,0,20,31,1,0,1,1,0,1,0
176,30,0,0,31,25,0,0,1,0,0,0,1
177,30,0,0,20,31,1,1,0,0,1,1,0
178,30,0,0,22,28,1,1,1,1,0,1,0
179,30,0,0,31,23,1,1,1,0,1,1,1
180,30,0,0,30,26,0,1,0,1,0,0,0
181,31,1,0,33,30,0,1,0,0,1,0,1
182,31,1,0,26,21,1,1,0,0,1,1,1
183,31,1,0,24,33,0,1,0,0,1,1,0
184,31,1,0,27,29,0,1,0,0,0,1,0
185,31,1,0,33,20,0,0,0,1,0,1,1
186,31,1,0,30,33,1,0,0,0,1,0,1
187,32,1,1,21,30,0,1,0,0,0,0,0
188,32,1,1,21,32,1,1,1,1,1,0,1
189,32,1,1,33,27,1,1,0,1,0,0,0
190,32,1,1,28,26,0,0,0,1,0,0,1
191,32,1,1,26,22,1,1,0,0,1,0,1
192,32,1,1,23,22,0,0,0,0,0,1,0
193,33,0,0,20,22,1,1,0,1,1,0,0
194,33,0,0,29,23,0,0,0,1,0,0,1
195,33,0,0,22,20,1,1,0,1,0,1,1
196,33,0,0,27,30,0,1,1,0,0,1,0
197,33,0,0,26,29,1,1,0,1,0,1,0
198,33,0,0,29,23,0,0,1,0,1,0,1
199,34,0,0,33,31,1,1,1,0,0,1,1
200,34,0,0,30,31,0,1,0,0,0,1,0
201,34,0,0,28,32,0,0,1,0,0,1,0
202,34,0,0,22,31,1,1,1,0,0,0,1
203,34,0,0,28,31,0,1,0,1,1,0,0
204,34,0,0,33,21,0,1,0,0,0,1,0
205,35,0,0,21,27,0,1,0,0,1,1,0
206,35,0,0,34,25,1,1,1,0,1,1,1
207,35,0,0,30,27,1,1,0,0,1,0,1
208,35,0,0,28,26,1,1,0,0,0,1,0
209,35,0,0,31,25,0,1,0,0,1,0,1
210,35,0,0,33,32,0,0,0,0,1,1,1
211,36,1,1,30,28,1,0,0,1,0,1,1
212,36,1,1,21,20,1,1,0,1,0,0,0
213,36,1,1,31,31,1,1,0,1,0,1,1
214,36,1,1,22,23,1,1,0,1,1,1,0
215,36,1,1,26,33,1,1,1,1,0,0,0
216,36,1,1,31,32,1,0,0,0,0,1,0
217,37,1,0,29,23,0,1,0,0,0,0,1
218,37,1,0,30,23,1,1,0,0,0,0,0
219,37,1,0,29,23,1,1,0,1,1,1,0
220,37,1,0,32,34,0,1,1,0,0,0,1
221,37,1,0,22,20,0,0,0,1,0,0,1
222,37,1,0,31,23,1,1,0,1,0,1,1
223,38,0,0,27,26,0,1,1,1,0,0,1
224,38,0,0,22,33,1,1,0,0,0,0,0
225,38,0,0,32,33,1,0,0,0,1,0,1
226,38,0,0,25,29,1,0,0,0,0,1,1
227,38,0,0,25,30,0,1,0,1,1,0,0
228,38,0,0,30,21,1,1,0,0,1,0,1
229,39,0,0,29,23,0,1,0,0,0,0,1
230,39,0,0,26,31,1,1,0,0,0,0,0
231,39,0,0,21,25,1,0,0,0,0,0,1
232,39,0,0,33,22,0,0,1,0,1,0,1
233,39,0,0,21,20,1,0,0,0,0,0,1
234,39,0,0,25,33,0,0,1,0,0,0,0
235,40,0,1,27,34,0,1,1,0,1,0,0
236,40,0,1,24,20,1,1,0,1,1,1,0
237,40,0,1,34,23,0,0,0,0,0,1,1
238,40,0,1,30,26,0,0,1,0,1,1,1
239,40,0,1,27,22,1,0,1,0,0,0,1
240,40,0,1,22,33,1,1,1,1,0,0,0
241,41,1,0,33,26,0,1,0,0,1,1,1
242,41,1,0,28,25,0,1,1,1,1,1,1
243,41,1,0,27,31,1,0,1,0,0,0,1
244,41,1,0,26,26,1,0,0,1,0,0,1
245,41,1,0,26,25,0,0,0,0,0,1,1
246,41,1,0,27,31,0,1,0,0,1,1,0
247,42,1,0,34,29,0,1,0,1,1,1,1
248,42,1,0,28,27,0,0,0,0,0,0,1
249,42,1,0,23,29,1,1,1,0,0,0,0
250,42,1,0,21,22,1,1,1,1,1,1,0
251,42,1,0,26,31,1,0,0,0,0,0,1
252,42,1,0,26,26,1,0,1,1,1,0,0
253,43,0,0,30,29,1,0,1,1,0,1,1
254,43,0,0,31,21,0,1,0,1,1,0,1
255,43,0,0,21,28,1,1,1,0,0,1,0
256,43,0,0,34,23,0,0,0,0,1,0,1
257,43,0,0,33,25,0,0,1,1,0,0,1
258,43,0,0,22,29,1,0,0,0,1,1,0
259,44,0,1,32,28,0,0,1,1,0,0,1
260,44,0,1,25,31,0,0,1,0,0,1,0
261,44,0,1,31,29,0,0,0,0,0,1,0
262,44,0,1,26,23,0,1,0,0,0,0,1
263,44,0,1,24,25,0,1,0,0,0,0,0
264,44,0,1,28,20,1,0,0,0,0,0,1
265,45,0,0,24,25,1,1,1,0,0,0,1
266,45,0,0,34,28,1,1,0,1,0,1,1
267,45,0,0,32,30,1,0,1,1,0,1,1
268,45,0,0,21,29,0,1,0,0,0,1,0
269,45,0,0,33,34,1,0,0,0,0,1,0
270,45,0,0,27,23,0,1,1,0,1,0,1
271,46,1,0,28,31,0,1,0,1,1,1,0
272,46,1,0,34,32,1,1,1,1,1,1,1
273,46,1,0,26,34,0,0,1,0,1,0,0
274,46,1,0,28,24,0,0,0,1,0,1,0
275,46,1,0,33,29,1,1,0,1,0,0,0
276,46,1,0,23,22,0,1,1,0,1,1,0
277,47,1,0,24,29,1,1,0,0,0,0,0
278,47,1,0,28,32,0,0,0,1,0,0,1
279,47,1,0,32,25,0,1,0,1,1,0,1
280,47,1,0,20,24,0,1,0,1,1,1,0
281,47,1,0,28,29,1,1,1,0,1,0,1
282,47,1,0,33,32,0,0,1,1,1,1,0
283,48,0,1,23,28,1,1,0,0,0,1,0
284,48,0,1,33,34,1,1,0,0,0,1,0
285,48,0,1,32,25,1,1,1,0,0,0,1
286,48,0,1,24,26,0,1,1,0,0,0,0
287,48,0,1,34,28,0,0,1,1,0,0,1
288,48,0,1,20,23,0,1,0,1,1,0,0
289,49,0,0,21,33,1,1,0,0,1,0,0
290,49,0,0,27,34,1,1,1,0,0,1,0
291,49,0,0,25,26,1,1,0,1,0,0,0
292,49,0,0,29,24,1,1,0,1,0,1,0
293,49,0,0,23,34,0,0,1,0,0,1,0
294,49,0,0,28,21,1,0,0,1,0,0,1
295,50,0,0,26,34,0,1,0,0,0,1,0
296,50,0,0,26,33,0,1,0,0,1,0,0
297,50,0,0,28,25,1,1,0,1,0,1,0
298,50,0,0,29,21,1,1,0,0,0,1,0
299,50,0,0,26,32,1,1,1,1,0,1,0
300,50,0,0,26,22,1,0,0,1,1,0,1
301,51,1,0,34,33,1,1,1,1,1,0,1
302,51,1,0,32,23,0,0,0,0,0,1,0
303,51,1,0,26,26,1,0,0,0,0,0,1
304,51,1,0,21,34,1,1,0,0,1,1,0
305,51,1,0,23,24,0,1,1,0,0,0,1
306,51,1,0,28,32,1,1,0,0,1,1,0
307,52,1,1,29,27,1,0,0,0,0,1,1
308,52,1,1,23,28,0,1,0,1,0,1,0
309,52,1,1,24,28,1,0,1,0,0,0,0
310,52,1,1,22,34,1,1,1,0,0,0,0
311,52,1,1,29,31,1,0,0,1,1,0,1
312,52,1,1,33,22,0,1,1,1,1,0,1
313,53,0,0,32,21,1,1,1,0,0,1,1
314,53,0,0,25,23,1,0,0,1,0,1,0
315,53,0,0,28,31,1,0,1,0,1,0,1
316,53,0,0,28,32,1,0,1,0,0,1,1
317,53,0,0,30,24,0,0,0,1,0,1,0
318,53,0,0,31,22,1,1,0,0,0,1,1
319,54,0,0,21,33,1,1,1,0,0,0,0
320,54,0,0,24,22,0,1,1,1,1,0,1
321,54,0,0,30,31,0,0,1,1,0,1,0
322,54,0,0,30,33,1,0,0,1,1,0,0
323,54,0,0,33,29,1,1,0,0,1,0,1
324,54,0,0,31,34,1,0,1,1,1,0,0
325,55,0,0,20,27,1,1,1,0,1,1,0
326,55,0,0,34,31,1,0,1,0,1,0,1
327,55,0,0,31,21,0,1,1,1,1,1,1
328,55,0,0,21,34,1,1,1,0,1,1,0
329,55,0,0,32,33,1,0,1,1,0,1,0
330,55,0,0,23,21,1,1,1,0,0,0,0
331,56,1,1,26,34,1,0,0,0,0,0,1
332,56,1,1,23,25,0,0,0,0,0,0,0
333,56,1,1,29,23,1,0,0,1,0,0,1
334,56,1,1,34,21,0,0,0,0,0,1,1
335,56,1,1,26,30,1,1,0,0,0,0,1
336,56,1,1,22,31,0,0,0,0,1,1,0
337,57,1,0,30,25,0,0,1,0,0,1,1
338,57,1,0,25,31,0,1,0,0,1,0,1
339,57,1,0,23,24,0,0,1,0,1,0,1
340,57,1,0,24,25,1,1,1,0,1,0,1
341,57,1,0,23,30,0,1,0,1,0,1,0
342,57,1,0,27,31,0,0,0,0,0,1,0
343,58,0,0,34,26,1,0,0,0,1,0,1
344,58,0,0,21,33,1,1,1,0,1,1,0
345,58,0,0,21,30,1,0,0,0,1,1,0
346,58,0,0,31,32,1,1,0,0,1,0,1
347,58,0,0,22,31,0,0,0,0,1,0,1
348,58,0,0,34,21,0,1,1,0,0,0,1
349,59,0,0,27,28,1,0,0,0,0,0,0
350,59,0,0,26,22,0,1,0,0,0,1,0
351,59,0,0,33,34,0,0,0,0,0,1,0
352,59,0,0,31,27,0,1,0,0,0,1,0
353,59,0,0,21,24,1,0,0,0,0,1,0
354,59,0,0,30,32,0,0,1,0,0,0,0
355,60,0,1,23,27,1,1,1,0,0,0,1
356,60,0,1,27,28,0,1,0,1,0,0,0
357,60,0,1,21,27,1,0,1,0,1,1,0
358,60,0,1,29,20,1,1,0,0,0,1,0
359,60,0,1,26,28,0,1,0,0,0,1,0
360,60,0,1,20,31,1,1,0,0,1,1,0
361,61,1,0,31,24,0,1,0,0,1,0,1
362,61,1,0,29,26,0,0,0,1,1,1,0
363,61,1,0,31,25,0,1,0,0,1,0,1
364,61,1,0,24,30,0,1,1,0,1,1,0
365,61,1,0,22,25,1,1,0,1,0,1,1
366,61,1,0,30,33,1,1,0,0,0,0,0
367,62,1,0,30,25,1,1,1,0,1,1,0
368,62,1,0,25,31,0,1,1,1,0,1,0
369,62,1,0,20,34,0,1,0,1,0,1,0
370,62,1,0,28,29,1,0,0,0,0,0,1
371,62,1,0,32,25,1,1,0,0,0,0,1
372,62,1,0,32,31,0,1,1,0,1,1,1
373,63,0,0,26,22,0,1,0,0,1,0,0
374,63,0,0,30,29,1,1,1,1,0,1,0
375,63,0,0,31,22,1,1,0,1,1,0,1
376,63,0,0,28,29,1,0,0,0,1,1,1
377,63,0,0,32,20,0,1,1,1,1,0,1
378,63,0,0,32,31,1,1,0,1,1,0,1
379,64,0,1,26,25,1,1,1,1,1,1,1
380,64,0,1,20,33,0,1,0,0,1,0,0
381,64,0,1,24,34,1,1,1,1,0,0,0
382,64,0,1,22,20,0,0,0,0,0,0,1
383,64,0,1,22,24,0,0,0,0,1,0,1
384,64,0,1,32,25,1,1,0,0,0,1,1
385,65,0,0,21,25,1,0,0,1,0,0,1
386,65,0,0,31,25,0,1,1,0,1,1,0
387,65,0,0,30,23,0,0,0,1,0,1,1
388,65,0,0,28,26,0,0,0,0,1,1,1
389,65,0,0,26,26,0,1,0,0,1,0,0
390,65,0,0,25,30,0,0,0,0,0,1,0
391,66,1,0,34,31,0,0,0,1,1,1,1
392,66,1,0,26,29,0,1,0,1,1,1,0
393,66,1,0,27,20,1,0,0,0,1,1,1
394,66,1,0,30,24,1,1,1,1,1,1,1
395,66,1,0,27,21,1,1,1,0,1,1,1
396,66,1,0,24,32,1,0,1,0,1,0,1
397,67,1,0,20,20,0,0,0,1,1,0,0
398,67,1,0,20,21,0,1,0,0,0,0,1
399,67,1,0,34,20,1,0,1,0,1,0,1
400,67,1,0,30,23,1,1,0,1,1,1,1
401,67,1,0,31,30,0,0,0,0,1,1,1
402,67,1,0,22,20,1,0,0,0,0,0,1
403,68,0,1,21,29,0,1,0,0,1,0,0
404,68,0,1,34,28,0,0,0,1,1,0,1
405,68,0,1,34,20,0,1,0,0,1,1,1
406,68,0,1,26,26,0,0,0,1,1,0,0
407,68,0,1,27,26,1,1,1,1,0,0,1
408,68,0,1,23,32,0,0,0,1,0,1,0
409,69,0,0,34,26,0,1,1,0,0,1,1
410,69,0,0,23,33,0,0,0,0,0,1,0
411,69,0,0,27,26,1,0,0,1,0,0,0
412,69,0,0,21,25,1,0,1,0,0,0,1
413,69,0,0,22,29,1,1,0,1,1,0,0
414,69,0,0,32,30,1,0,1,0,0,0,1
415,70,0,0,22,20,1,1,0,1,0,0,1
416,70,0,0,23,20,0,1,0,0,1,1,0
417,70,0,0,34,33,0,0,0,0,0,0,1
418,70,0,0,26,30,1,1,0,1,0,1,0
419,70,0,0,30,29,1,1,1,0,0,0,1
420,70,0,0,25,23,1,1,0,0,1,1,0
421,71,1,0,30,26,0,1,0,0,1,0,1
422,71,1,0,20,34,1,0,1,0,1,0,0
423,71,1,0,28,34,1,0,1,0,0,0,0
424,71,1,0,32,27,0,1,1,0,0,0,1
425,71,1,0,31,23,0,0,0,0,0,0,1
426,71,1,0,25,23,0,1,0,0,0,0,1
427,72,1,1,23,26,0,1,1,0,1,1,0
428,72,1,1,25,22,1,0,0,0,1,1,1
429,72,1,1,26,21,0,0,0,0,0,1,0
430,72,1,1,26,26,0,0,1,0,1,1,1
431,72,1,1,32,26,0,0,1,1,0,0,1
432,72,1,1,23,25,0,1,1,0,1,0,0
433,73,0,0,20,21,0,1,0,0,0,1,0
434,73,0,0,30,31,1,1,0,1,1,1,1
435,73,0,0,25,34,0,1,0,1,1,1,0
436,73,0,0,23,20,1,0,0,0,1,1,1
437,73,0,0,31,24,1,1,0,0,1,0,1
438,73,0,0,21,34,1,0,0,1,0,0,0
439,74,0,0,30,24,0,0,0,0,0,1,1
440,74,0,0,30,33,0,1,0,0,1,1,1
441,74,0,0,32,34,0,0,0,0,0,1,0
442,74,0,0,34,23,0,1,1,1,0,1,1
443,74,0,0,21,23,1,0,0,0,0,1,1
444,74,0,0,28,32,0,0,1,0,0,0,0
445,75,0,0,28,26,1,0,0,1,1,0,0
446,75,0,0,29,24,0,0,1,1,0,1,1
447,75,0,0,31,29,0,0,0,1,0,1,0
448,75,0,0,25,22,1,0,1,0,1,0,1
449,75,0,0,28,24,1,1,1,0,1,0,1
450,75,0,0,28,25,1,1,1,1,0,0,0
451,76,1,1,25,25,0,1,0,0,0,1,0
452,76,1,1,21,31,1,0,0,0,1,1,0
453,76,1,1,32,22,1,0,0,0,1,1,1
454,76,1,1,34,34,0,1,0,0,1,0,1
455,76,1,1,26,23,0,0,0,0,1,0,1
456,76,1,1,33,23,1,1,1,1,1,1,1
457,77,1,0,33,24,1,0,1,0,1,0,1
458,77,1,0,25,27,1,0,1,1,1,0,0
459,77,1,0,31,31,0,0,1,1,1,0,1
460,77,1,0,29,33,1,0,0,1,0,0,1
461,77,1,0,29,29,1,1,0,0,1,0,1
462,77,1,0,29,27,0,1,0,0,1,1,0
463,78,0,0,33,22,0,0,0,1,1,1,1
464,78,0,0,24,34,1,0,1,0,1,1,0
465,78,0,0,27,25,0,1,1,0,0,1,0
466,78,0,0,23,28,0,0,1,0,1,0,1
467,78,0,0,22,21,0,0,0,1,1,1,1
468,78,0,0,29,20,0,1,0,1,0,1,1
469,79,0,0,32,23,0,1,0,1,0,0,1
470,79,0,0,21,24,0,0,1,0,0,1,0
471,79,0,0,31,24,0,0,1,1,0,0,0
472,79,0,0,32,25,0,1,0,1,0,0,1
473,79,0,0,27,31,0,1,0,1,0,1,0
474,79,0,0,30,24,1,0,1,0,0,1,1
475,80,0,1,28,26,1,1,1,0,0,1,1
476,80,0,1,30,34,0,0,1,0,1,0,1
477,80,0,1,23,33,1,1,1,0,0,0,0
478,80,0,1,33,22,1,0,1,1,1,1,1
479,80,0,1,26,30,1,1,0,0,1,0,1
480,80,0,1,23,21,1,1,0,1,1,0,1
481,81,1,0,24,32,1,1,0,1,1,1,0
482,81,1,0,31,25,0,1,0,0,0,0,1
483,81,1,0,34,26,0,0,0,1,0,1,1
484,81,1,0,32,20,0,0,0,0,1,0,1
485,81,1,0,20,26,1,0,0,0,1,0,1
486,81,1,0,32,23,1,1,0,0,1,1,1
487,82,1,0,24,34,1,0,0,1,0,0,0
488,82,1,0,29,31,0,0,0,0,1,0,1
489,82,1,0,24,23,1,0,0,0,0,0,1
490,82,1,0,33,32,1,0,0,1,0,0,0
491,82,1,0,30,25,1,0,0,0,0,1,1
492,82,1,0,34,22,1,1,0,0,0,1,1
493,83,0,0,22,32,1,1,0,1,0,1,0
494,83,0,0,34,20,0,1,1,1,0,1,0
495,83,0,0,22,34,1,1,0,1,1,1,0
496,83,0,0,22,31,0,1,0,0,0,0,0
497,83,0,0,22,25,1,0,0,1,1,1,0
498,83,0,0,24,26,0,0,0,1,1,0,1
499,84,0,1,20,25,0,1,0,0,1,0,0
500,84,0,1,23,31,0,1,0,1,0,0,0
501,84,0,1,31,34,0,1,0,0,1,0,1
502,84,0,1,28,28,1,1,1,0,1,1,0
503,84,0,1,24,29,1,0,0,1,0,1,0
504,84,0,1,20,31,1,0,0,0,0,1,0
505,85,0,0,26,30,0,0,0,0,0,0,0
506,85,0,0,32,29,0,0,0,0,0,1,0
507,85,0,0,27,28,0,0,1,1,0,0,0
508,85,0,0,28,26,0,0,0,0,1,1,1
509,85,0,0,22,31,1,0,0,0,0,0,0
510,85,0,0,30,22,0,1,0,0,1,0,1
511,86,1,0,30,22,1,1,0,1,0,1,0
512,86,1,0,21,24,0,1,1,1,0,1,0
513,86,1,0,23,34,1,0,1,1,1,0,1
514,86,1,0,26,24,1,1,1,1,0,1,1
515,86,1,0,29,21,1,0,0,0,0,1,0
516,86,1,0,32,26,1,1,0,0,1,1,0
517,87,1,0,26,27,1,1,1,0,0,1,0
518,87,1,0,30,23,0,0,0,1,1,0,1
519,87,1,0,31,23,0,0,0,1,0,0,1
520,87,1,0,20,33,1,0,0,1,1,1,0
521,87,1,0,29,26,1,1,0,0,1,0,1
522,87,1,0,32,30,1,0,1,1,0,1,0
523,88,0,1,26,32,1,1,0,0,0,1,0
524,88,0,1,31,34,0,0,0,0,0,0,0
525,88,0,1,26,31,0,0,1,0,0,0,1
526,88,0,1,24,31,0,0,0,0,1,1,0
527,88,0,1,29,32,1,1,0,1,0,0,0
528,88,0,1,21,30,1,1,0,1,1,0,0
529,89,0,0,27,32,1,1,0,1,0,1,0
530,89,0,0,25,23,1,0,0,0,1,1,1
531,89,0,0,22,20,0,1,0,0,0,0,0
532,89,0,0,23,24,0,0,1,1,1,1,1
