worker_id,market_id,market_size,market_saturation,assigned_assistance,took_assistance,untreated_exposure_share,employed_after,education,prior_employed,baseline_skill
124,5,27,0.45,1,0,0.5385,0,15,0,0.817
125,5,27,0.45,1,1,0.5385,1,17,1,-0.182
126,5,27,0.45,1,1,0.5385,1,18,1,0.661
127,5,27,0.45,0,0,0.5769,0,18,1,0.617
128,5,27,0.45,1,0,0.5385,0,17,0,0.897
129,5,27,0.45,0,0,0.5769,0,12,0,0.851
130,5,27,0.45,0,0,0.5769,1,10,0,-0.53
131,5,27,0.45,1,0,0.5385,0,18,1,1.411
132,5,27,0.45,1,0,0.5385,1,11,0,-0.445
133,5,27,0.45,0,0,0.5769,1,16,0,0.073
134,5,27,0.45,1,1,0.5385,1,15,1,-0.868
135,5,27,0.45,1,1,0.5385,1,15,1,-0.535
136,6,25,0.85,1,0,0.9167,0,18,1,1.726
137,6,25,0.85,1,0,0.9167,1,15,1,0.272
138,6,25,0.85,1,1,0.9167,0,15,0,0.925
139,6,25,0.85,1,1,0.9167,1,11,0,0.272
140,6,25,0.85,1,0,0.9167,0,10,0,-1.051
141,6,25,0.85,1,0,0.9167,1,16,1,1.158
142,6,25,0.85,1,1,0.9167,1,11,1,1.205
143,6,25,0.85,1,1,0.9167,0,11,0,-1.057
144,6,25,0.85,1,1,0.9167,0,11,1,-0.683
145,6,25,0.85,1,0,0.9167,0,17,1,0.125
146,6,25,0.85,1,1,0.9167,1,13,1,0.528
147,6,25,0.85,1,0,0.9167,1,12,1,0.473
148,6,25,0.85,1,1,0.9167,1,18,0,1.406
149,6,25,0.85,1,1,0.9167,1,11,0,-0.844
150,6,25,0.85,1,0,0.9167,1,16,1,0.684
151,6,25,0.85,0,1,0.9583,1,11,1,0.049
152,6,25,0.85,1,0,0.9167,0,17,0,0.628
153,6,25,0.85,1,1,0.9167,1,15,1,0.877
154,6,25,0.85,1,0,0.9167,0,14,1,0.218
155,6,25,0.85,0,0,0.9583,1,18,0,0.147
156,6,25,0.85,1,1,0.9167,1,17,0,0.662
157,6,25,0.85,1,1,0.9167,1,18,1,1.318
158,6,25,0.85,1,0,0.9167,1,11,1,-0.577
159,6,25,0.85,1,1,0.9167,1,13,1,0.067
160,6,25,0.85,1,1,0.9167,0,10,0,1.16
161,7,21,0.45,1,1,0.6,1,16,0,1.509
162,7,21,0.45,1,1,0.6,0,11,1,0.005
163,7,21,0.45,1,1,0.6,1,14,1,0.298
164,7,21,0.45,1,1,0.6,0,12,0,0.347
165,7,21,0.45,0,0,0.65,0,12,0,-0.08
166,7,21,0.45,1,0,0.6,0,11,0,-1.251
167,7,21,0.45,1,0,0.6,0,12,0,-0.967
168,7,21,0.45,1,1,0.6,1,10,1,0.767
169,7,21,0.45,1,0,0.6,1,14,0,-2.086
170,7,21,0.45,0,0,0.65,0,12,0,1.403
171,7,21,0.45,1,1,0.6,0,16,0,-0.435
172,7,21,0.45,0,1,0.65,1,11,1,0.484
173,7,21,0.45,0,1,0.65,0,15,0,0.263
174,7,21,0.45,1,1,0.6,1,18,1,1.961
175,7,21,0.45,0,1,0.65,0,15,0,1.53
176,7,21,0.45,0,0,0.65,0,15,1,0.614
177,7,21,0.45,0,0,0.65,0,12,0,0.035
178,7,21,0.45,1,1,0.6,1,18,1,0.089
179,7,21,0.45,0,0,0.65,0,13,1,0.253
180,7,21,0.45,1,1,0.6,0,13,1,-0.465
181,7,21,0.45,1,1,0.6,1,14,1,-0.436
182,8,25,0.7,1,1,0.625,0,15,1,1.56
183,8,25,0.7,1,1,0.625,0,12,0,-0.545
184,8,25,0.7,0,0,0.6667,0,16,0,1.276
185,8,25,0.7,0,0,0.6667,0,10,1,1.008
186,8,25,0.7,1,1,0.625,1,10,1,0.816
187,8,25,0.7,1,0,0.625,0,17,1,1.121
188,8,25,0.7,1,1,0.625,1,15,0,0.073
189,8,25,0.7,1,1,0.625,0,12,0,0.816
190,8,25,0.7,0,0,0.6667,1,11,0,0.416
191,8,25,0.7,1,1,0.625,0,14,1,0.432
192,8,25,0.7,1,1,0.625,0,14,0,1.254
193,8,25,0.7,1,0,0.625,0,15,0,0.597
194,8,25,0.7,1,1,0.625,1,15,0,0.841
195,8,25,0.7,0,0,0.6667,0,11,0,-0.541
196,8,25,0.7,1,0,0.625,0,17,0,0.563
197,8,25,0.7,0,0,0.6667,1,17,0,-0.604
198,8,25,0.7,1,0,0.625,0,15,1,0.786
199,8,25,0.7,0,1,0.6667,1,17,1,1.508
200,8,25,0.7,0,0,0.6667,0,16,0,-1.773
201,8,25,0.7,1,1,0.625,0,15,1,1.362
202,8,25,0.7,1,1,0.625,0,14,1,1.692
203,8,25,0.7,0,0,0.6667,0,18,1,1.957
204,8,25,0.7,1,0,0.625,1,18,1,0.563
205,8,25,0.7,0,0,0.6667,1,11,0,0.302
206,8,25,0.7,1,1,0.625,0,14,0,0.331
207,9,26,0.2,0,1,0.2,0,18,1,0.914
208,9,26,0.2,1,0,0.16,1,14,0,-0.602
209,9,26,0.2,0,0,0.2,1,11,1,0.738
210,9,26,0.2,0,0,0.2,0,10,0,-0.964
211,9,26,0.2,0,0,0.2,1,13,1,0.091
212,9,26,0.2,1,0,0.16,1,18,0,1.392
213,9,26,0.2,0,0,0.2,0,15,1,1.377
214,9,26,0.2,0,0,0.2,1,11,1,-1.258
215,9,26,0.2,0,1,0.2,0,17,1,1.613
216,9,26,0.2,0,0,0.2,1,16,1,0.962
217,9,26,0.2,0,0,0.2,1,14,0,2.181
218,9,26,0.2,0,1,0.2,0,11,1,0.61
219,9,26,0.2,0,0,0.2,1,11,1,0.024
220,9,26,0.2,0,0,0.2,0,17,1,-0.643
221,9,26,0.2,0,0,0.2,1,14,0,0.785
222,9,26,0.2,0,1,0.2,0,12,0,0.457
223,9,26,0.2,0,1,0.2,0,14,0,0.398
224,9,26,0.2,1,1,0.16,0,12,0,-0.724
225,9,26,0.2,0,0,0.2,1,11,0,-0.282
226,9,26,0.2,0,0,0.2,1,16,0,-0.041
227,9,26,0.2,0,0,0.2,0,15,1,-0.032
228,9,26,0.2,0,0,0.2,0,13,0,-0.307
229,9,26,0.2,0,0,0.2,0,12,1,0.395
230,9,26,0.2,0,0,0.2,1,12,0,1.0
231,9,26,0.2,1,1,0.16,1,11,1,0.9
232,9,26,0.2,1,1,0.16,1,16,0,0.568
233,10,26,0.85,1,1,0.8,0,12,0,-0.402
234,10,26,0.85,0,1,0.84,0,17,0,-0.307
235,10,26,0.85,1,1,0.8,0,13,1,1.334
236,10,26,0.85,0,0,0.84,0,15,1,-1.523
237,10,26,0.85,1,0,0.8,0,12,0,-0.768
238,10,26,0.85,1,1,0.8,1,18,1,-0.756
239,10,26,0.85,1,1,0.8,1,10,1,0.386
240,10,26,0.85,1,0,0.8,0,12,1,0.561
241,10,26,0.85,1,1,0.8,1,16,1,0.758
242,10,26,0.85,1,0,0.8,1,11,1,-0.4
243,10,26,0.85,1,0,0.8,0,13,0,-0.244
244,10,26,0.85,0,0,0.84,0,14,1,1.493
245,10,26,0.85,1,1,0.8,1,16,1,1.04
246,10,26,0.85,1,1,0.8,1,13,0,0.116
247,10,26,0.85,1,1,0.8,1,18,1,0.58
248,10,26,0.85,1,1,0.8,1,13,1,0.328
249,10,26,0.85,1,1,0.8,1,12,1,0.146
250,10,26,0.85,1,0,0.8,1,12,1,-0.147
251,10,26,0.85,1,0,0.8,1,11,1,-0.923
252,10,26,0.85,0,0,0.84,0,15,1,-0.038
253,10,26,0.85,1,0,0.8,1,13,1,1.015
254,10,26,0.85,1,1,0.8,1,11,1,0.768
255,10,26,0.85,1,0,0.8,0,10,0,1.593
256,10,26,0.85,1,0,0.8,0,11,1,-0.134
257,10,26,0.85,0,1,0.84,1,15,0,0.684
258,10,26,0.85,1,1,0.8,1,16,1,2.075
259,11,29,0.85,1,0,0.7857,0,13,0,-1.171
260,11,29,0.85,1,0,0.7857,1,17,0,0.565
261,11,29,0.85,1,1,0.7857,1,14,0,0.551
262,11,29,0.85,1,0,0.7857,1,11,1,0.283
263,11,29,0.85,1,0,0.7857,1,17,1,0.926
264,11,29,0.85,0,1,0.8214,0,10,0,-0.59
265,11,29,0.85,1,1,0.7857,1,16,1,0.745
266,11,29,0.85,1,1,0.7857,1,14,0,-0.053
267,11,29,0.85,1,1,0.7857,0,18,0,0.825
268,11,29,0.85,1,1,0.7857,1,15,0,0.669
269,11,29,0.85,1,0,0.7857,1,11,0,0.034
270,11,29,0.85,0,0,0.8214,0,16,0,1.395
271,11,29,0.85,1,1,0.7857,1,14,0,-1.544
272,11,29,0.85,1,0,0.7857,0,11,0,-1.199
273,11,29,0.85,1,0,0.7857,1,12,1,1.206
274,11,29,0.85,1,0,0.7857,0,12,0,-1.818
275,11,29,0.85,1,1,0.7857,1,11,1,1.02
276,11,29,0.85,0,0,0.8214,1,12,1,0.323
277,11,29,0.85,1,1,0.7857,1,12,0,0.693
278,11,29,0.85,0,0,0.8214,1,11,0,-0.303
279,11,29,0.85,0,0,0.8214,0,16,0,0.22
280,11,29,0.85,1,1,0.7857,1,13,1,-0.321
281,11,29,0.85,0,1,0.8214,0,16,1,-0.351
282,11,29,0.85,1,0,0.7857,0,10,1,-1.076
283,11,29,0.85,1,1,0.7857,1,14,0,0.746
284,11,29,0.85,1,0,0.7857,1,11,0,-0.291
285,11,29,0.85,1,0,0.7857,1,13,1,-0.888
286,11,29,0.85,1,0,0.7857,1,11,1,-1.096
287,11,29,0.85,1,0,0.7857,0,17,0,-0.367
288,12,24,0.7,0,0,0.6957,1,14,1,0.661
289,12,24,0.7,1,0,0.6522,0,11,0,-1.146
290,12,24,0.7,1,1,0.6522,1,13,0,-0.688
291,12,24,0.7,0,1,0.6957,1,10,1,0.35
292,12,24,0.7,1,1,0.6522,0,18,1,0.84
293,12,24,0.7,0,1,0.6957,1,15,1,0.504
294,12,24,0.7,1,0,0.6522,0,15,0,0.505
295,12,24,0.7,1,0,0.6522,0,11,0,-0.604
296,12,24,0.7,1,1,0.6522,1,13,1,1.444
297,12,24,0.7,1,0,0.6522,1,14,0,0.15
298,12,24,0.7,0,0,0.6957,0,17,1,0.444
299,12,24,0.7,1,0,0.6522,0,16,0,-0.815
300,12,24,0.7,0,0,0.6957,1,18,1,1.343
301,12,24,0.7,1,1,0.6522,1,13,0,0.596
302,12,24,0.7,1,1,0.6522,1,12,0,0.78
303,12,24,0.7,0,0,0.6957,0,12,1,-1.385
304,12,24,0.7,0,0,0.6957,0,12,0,0.624
305,12,24,0.7,1,0,0.6522,0,13,0,0.066
306,12,24,0.7,1,0,0.6522,0,14,1,1.308
307,12,24,0.7,1,1,0.6522,1,12,1,0.706
308,12,24,0.7,0,1,0.6957,0,11,0,0.904
309,12,24,0.7,1,0,0.6522,1,13,1,-0.802
310,12,24,0.7,1,1,0.6522,0,14,0,0.733
311,12,24,0.7,1,1,0.6522,0,14,1,1.214
312,13,19,0.7,1,1,0.6667,1,12,1,1.092
313,13,19,0.7,0,1,0.7222,1,13,1,1.116
314,13,19,0.7,1,1,0.6667,0,14,0,-1.548
315,13,19,0.7,1,0,0.6667,1,15,1,1.118
316,13,19,0.7,1,1,0.6667,0,14,1,0.57
317,13,19,0.7,1,0,0.6667,0,18,0,0.944
318,13,19,0.7,0,1,0.7222,1,14,0,-0.988
319,13,19,0.7,1,1,0.6667,1,15,0,-0.41
320,13,19,0.7,1,1,0.6667,1,17,1,1.139
321,13,19,0.7,0,0,0.7222,0,10,0,-0.593
322,13,19,0.7,0,1,0.7222,0,11,0,0.914
323,13,19,0.7,0,1,0.7222,1,13,1,-0.101
324,13,19,0.7,0,0,0.7222,0,12,0,-0.275
325,13,19,0.7,1,1,0.6667,1,10,0,-0.921
326,13,19,0.7,1,0,0.6667,1,13,0,0.089
327,13,19,0.7,1,0,0.6667,0,12,0,-0.482
328,13,19,0.7,1,0,0.6667,0,15,1,1.512
329,13,19,0.7,1,0,0.6667,1,12,1,0.846
330,13,19,0.7,1,1,0.6667,0,16,0,1.196
331,14,22,0.2,0,0,0.0952,0,13,0,0.177
332,14,22,0.2,0,0,0.0952,1,12,1,0.775
333,14,22,0.2,0,0,0.0952,1,16,1,-0.373
334,14,22,0.2,0,0,0.0952,0,18,1,1.157
335,14,22,0.2,0,1,0.0952,1,14,1,2.16
336,14,22,0.2,0,0,0.0952,1,10,1,0.409
337,14,22,0.2,0,1,0.0952,1,10,0,0.675
338,14,22,0.2,1,0,0.0476,0,17,1,0.267
339,14,22,0.2,0,0,0.0952,1,16,1,1.099
340,14,22,0.2,1,0,0.0476,0,12,0,0.677
341,14,22,0.2,0,0,0.0952,0,12,1,-0.437
342,14,22,0.2,0,0,0.0952,0,10,0,0.797
343,14,22,0.2,0,0,0.0952,0,13,1,0.476
344,14,22,0.2,0,0,0.0952,0,14,0,-0.11
345,14,22,0.2,0,0,0.0952,0,17,1,0.481
346,14,22,0.2,0,0,0.0952,0,17,1,1.477
347,14,22,0.2,0,0,0.0952,1,15,0,0.393
348,14,22,0.2,0,0,0.0952,0,14,0,-1.165
349,14,22,0.2,0,0,0.0952,1,16,0,0.503
350,14,22,0.2,0,0,0.0952,0,13,1,-1.123
351,14,22,0.2,0,0,0.0952,0,16,1,1.211
352,14,22,0.2,0,0,0.0952,1,13,0,-0.557
353,15,28,0.2,1,1,0.2593,0,10,0,0.344
354,15,28,0.2,0,0,0.2963,1,18,0,2.057
355,15,28,0.2,0,0,0.2963,1,12,1,0.159
356,15,28,0.2,0,1,0.2963,0,18,0,1.654
357,15,28,0.2,1,0,0.2593,0,13,0,-0.209
358,15,28,0.2,0,0,0.2963,0,14,1,0.976
359,15,28,0.2,0,1,0.2963,1,16,1,-0.218
360,15,28,0.2,0,1,0.2963,1,12,0,1.155
361,15,28,0.2,0,0,0.2963,1,18,0,-0.195
362,15,28,0.2,1,1,0.2593,1,17,0,-0.436
363,15,28,0.2,1,1,0.2593,0,13,0,0.653
364,15,28,0.2,0,0,0.2963,1,17,1,1.562
365,15,28,0.2,0,0,0.2963,1,11,1,0.456
366,15,28,0.2,0,1,0.2963,1,17,0,2.121
367,15,28,0.2,0,0,0.2963,0,11,0,0.32
368,15,28,0.2,1,0,0.2593,1,15,0,0.984
369,15,28,0.2,0,0,0.2963,0,15,0,-1.983
370,15,28,0.2,0,0,0.2963,1,13,0,-1.282
371,15,28,0.2,0,0,0.2963,0,17,0,1.806
372,15,28,0.2,1,1,0.2593,1,12,1,-0.117
373,15,28,0.2,0,0,0.2963,0,12,0,0.549
374,15,28,0.2,0,1,0.2963,1,18,1,1.848
375,15,28,0.2,0,0,0.2963,0,11,0,0.092
376,15,28,0.2,1,1,0.2593,0,15,0,1.373
377,15,28,0.2,0,0,0.2963,0,15,1,1.127
378,15,28,0.2,0,0,0.2963,0,13,0,-0.832
379,15,28,0.2,1,1,0.2593,1,16,0,-0.002
380,15,28,0.2,0,0,0.2963,0,11,0,1.412
381,16,27,0.7,0,1,0.6538,0,15,0,-0.663
382,16,27,0.7,0,0,0.6538,0,17,0,1.414
383,16,27,0.7,1,0,0.6154,0,16,0,-0.24
384,16,27,0.7,0,0,0.6538,1,15,0,0.939
385,16,27,0.7,0,0,0.6538,0,12,0,-0.024
386,16,27,0.7,1,1,0.6154,0,15,0,-0.367
387,16,27,0.7,0,1,0.6538,0,10,0,0.496
388,16,27,0.7,1,1,0.6154,1,13,0,0.73
389,16,27,0.7,1,0,0.6154,0,11,0,-0.51
390,16,27,0.7,1,1,0.6154,1,14,1,1.065
391,16,27,0.7,1,1,0.6154,0,11,0,-0.542
392,16,27,0.7,0,1,0.6538,1,15,0,1.092
393,16,27,0.7,1,1,0.6154,1,14,1,1.522
394,16,27,0.7,1,0,0.6154,1,13,1,0.472
395,16,27,0.7,0,0,0.6538,1,10,1,1.033
396,16,27,0.7,0,1,0.6538,0,13,1,0.662
397,16,27,0.7,1,1,0.6154,1,11,0,-0.194
398,16,27,0.7,1,1,0.6154,0,12,0,-0.825
399,16,27,0.7,0,1,0.6538,0,10,0,-1.121
400,16,27,0.7,1,1,0.6154,0,15,0,0.626
401,16,27,0.7,1,0,0.6154,1,15,0,2.0
402,16,27,0.7,1,1,0.6154,1,10,1,-0.355
403,16,27,0.7,0,0,0.6538,0,12,0,-0.869
404,16,27,0.7,1,1,0.6154,1,18,0,-0.589
405,16,27,0.7,1,1,0.6154,1,18,1,1.626
406,16,27,0.7,1,0,0.6154,0,12,0,0.288
407,16,27,0.7,1,1,0.6154,1,18,1,0.763
