bin_left,bin_right,bin_center,count,centered,counterfactual_count,fit_sample,bunching_window,missing_window,excess_count
61000,61500,61250.0,365,1.125,347.29445769973483,True,False,False,17.705542300265165
61500,62000,61750.0,353,1.175,340.65444703735795,True,False,False,12.345552962642046
62000,62500,62250.0,383,1.225,334.1890749458171,True,False,False,48.81092505418292
62500,63000,62750.0,346,1.275,327.87763178914156,True,False,False,18.12236821085844
63000,63500,63250.0,337,1.325,321.6962889824652,True,False,False,15.303711017534795
63500,64000,63750.0,305,1.375,315.6180989920264,True,False,False,-10.618098992026376
64000,64500,64250.0,324,1.425,309.61299533516774,True,False,False,14.387004664832261
64500,65000,64750.0,297,1.475,303.64779258033633,True,False,False,-6.647792580336329
65000,65500,65250.0,263,1.525,297.6861863470837,True,False,False,-34.68618634708372
65500,66000,65750.0,295,1.575,291.6887533060658,True,False,False,3.3112466939342085
66000,66500,66250.0,282,1.625,285.6129511790428,True,False,False,-3.6129511790427955
66500,67000,66750.0,262,1.675,279.41311873887963,True,False,False,-17.413118738879632
67000,67500,67250.0,256,1.725,273.04047580954534,True,False,False,-17.04047580954534
67500,68000,67750.0,260,1.775,266.4431232661135,True,False,False,-6.443123266113503
68000,68500,68250.0,236,1.825,259.5660430347621,False,False,False,-23.566043034762117
68500,69000,68750.0,187,1.875,252.3510980927734,False,False,False,-65.35109809277341
69000,69500,69250.0,201,1.925,244.73703246853435,False,False,False,-43.73703246853435
69500,70000,69750.0,164,1.975,236.65947124153607,False,False,False,-72.65947124153607
70000,70500,70250.0,181,2.025,228.0509205423742,False,False,False,-47.0509205423742
70500,71000,70750.0,188,2.075,218.8407675527487,False,False,False,-30.8407675527487
71000,71500,71250.0,168,2.125,208.9552805054641,False,False,False,-40.95528050546409
71500,72000,71750.0,175,2.175,198.3176086844291,False,False,False,-23.317608684429104
