municipality,spell_id,ui_eligible,baseline_informality,formal_layoff_rate,informal_transition_share,recall_rate
Capital,Cap-049,0,0.19,0.08251930570193992,0.332926892254068,0.2679821352417707
Capital,Cap-050,1,0.19,0.096396992702507,0.35346223759684176,0.3244259988787977
Capital,Cap-051,0,0.19,0.08323987320318925,0.3006126499236332,0.263177806824346
Capital,Cap-052,1,0.19,0.1043637535689412,0.37679573362930396,0.32322859601451326
Capital,Cap-053,0,0.19,0.08398604844521945,0.2971218051864417,0.26389979193405894
Capital,Cap-054,1,0.19,0.09954468323066526,0.368510233319017,0.2955492925669895
Capital,Cap-055,0,0.19,0.09064638250578681,0.2991004074620761,0.2926724205059739
Capital,Cap-056,1,0.19,0.1018387563436489,0.35685136884803387,0.3087205505020511
Capital,Cap-057,0,0.19,0.09232637932387955,0.28685286076814875,0.2531857428238458
Capital,Cap-058,1,0.19,0.10909924509050367,0.3397121407897695,0.2816348744958064
Capital,Cap-059,0,0.19,0.091012585133039,0.28830938961793184,0.25447475857852064
Capital,Cap-060,1,0.19,0.10055211680026749,0.3473162616910901,0.3209519275359509
Capital,Cap-061,0,0.19,0.09638625461897532,0.3027889043601889,0.27510515103116845
Capital,Cap-062,1,0.19,0.09695114348375956,0.3710609420956348,0.307964287460562
Capital,Cap-063,0,0.19,0.08133790432162091,0.28954007181391284,0.25170665742475096
Capital,Cap-064,1,0.19,0.0921949194338326,0.3554486298810402,0.30922558112002296
Capital,Cap-065,0,0.19,0.09171148146624358,0.30502297030042547,0.25939740460482813
Capital,Cap-066,1,0.19,0.10867031447440857,0.3706820929478976,0.30489898732921406
Capital,Cap-067,0,0.19,0.09624854909534762,0.2946330526429827,0.2380294804276363
Capital,Cap-068,1,0.19,0.11058380391212776,0.36431475851567224,0.3140456016581794
Capital,Cap-069,0,0.19,0.08119868793569043,0.2773415223841153,0.2678965388735704
Capital,Cap-070,1,0.19,0.08842349351746692,0.37133303884219293,0.3143631793867984
Capital,Cap-071,0,0.19,0.07733924014770545,0.25051726255017037,0.28178136701378176
Capital,Cap-072,1,0.19,0.1073416974146608,0.3433294720784308,0.306551107886125
Capital,Cap-073,0,0.19,0.08995299640836622,0.2894500475313898,0.26344828941486875
Capital,Cap-074,1,0.19,0.10793346328062219,0.385141275251332,0.2967390283442757
Capital,Cap-075,0,0.19,0.0896542024548034,0.3006879281999389,0.2624689851064121
Capital,Cap-076,1,0.19,0.10078775589816615,0.3357323096883605,0.3190421662178281
Capital,Cap-077,0,0.19,0.10362621259193032,0.2734097002315461,0.2619463961226187
Capital,Cap-078,1,0.19,0.09536465589858302,0.3251107941686482,0.32015176303537296
Capital,Cap-079,0,0.19,0.08928649741669871,0.3035713788374826,0.27086196290444003
Capital,Cap-080,1,0.19,0.10588620634879228,0.3777231309409688,0.29036678487926704
Industrial,Ind-001,0,0.24,0.09425135020693576,0.3024932641706337,0.2625907599196089
Industrial,Ind-002,1,0.24,0.11402748617064434,0.4017943496138191,0.3122262121510487
Industrial,Ind-003,0,0.24,0.08072352710502442,0.31799739309710817,0.26168804837961673
Industrial,Ind-004,1,0.24,0.0959767135218024,0.3690087657258406,0.3234206801069446
Industrial,Ind-005,0,0.24,0.08043790255589646,0.3474584527013154,0.2881770657418318
Industrial,Ind-006,1,0.24,0.10565004652868137,0.3713767421094466,0.33841156508162834
Industrial,Ind-007,0,0.24,0.09642824113135115,0.2900875521740881,0.27224482266729016
Industrial,Ind-008,1,0.24,0.10824912749635679,0.40085158358422524,0.3030244959084619
Industrial,Ind-009,0,0.24,0.09499798427200358,0.28459773869023625,0.27305206036558244
Industrial,Ind-010,1,0.24,0.09122968116310516,0.38773561707875737,0.31709668790014683
Industrial,Ind-011,0,0.24,0.08568708862266579,0.29521641447939123,0.2583639105996653
Industrial,Ind-012,1,0.24,0.10596697404057169,0.37046291995749514,0.32316428061021674
Industrial,Ind-013,0,0.24,0.09767024376843282,0.3151139956848537,0.2541721207483087
Industrial,Ind-014,1,0.24,0.10206941477328388,0.37158905183489127,0.29019917835003733
Industrial,Ind-015,0,0.24,0.09290574415985026,0.3238003728303066,0.2474827701726798
Industrial,Ind-016,1,0.24,0.1056244922646754,0.3937286088858089,0.2769909855459404
Industrial,Ind-017,0,0.24,0.08658623995550149,0.2642417838392086,0.2429648419174404
Industrial,Ind-018,1,0.24,0.1083121448921179,0.38327788292531784,0.3036758590082569
Industrial,Ind-019,0,0.24,0.08905802307660349,0.33021069533483377,0.24261185705946756
Industrial,Ind-020,1,0.24,0.10303040894909536,0.38677273778449883,0.3040508686216486
Industrial,Ind-021,0,0.24,0.09640434022822565,0.3315371281145806,0.25995733362824763
Industrial,Ind-022,1,0.24,0.11937824716725635,0.3760204907247715,0.31317264385078586
Industrial,Ind-023,0,0.24,0.07991644289607601,0.2966185518984635,0.27717430219790584
Industrial,Ind-024,1,0.24,0.104468696585456,0.39527957490065196,0.2892904543218317
Industrial,Ind-025,0,0.24,0.09589057345116736,0.36020005564696306,0.26092561714137147
Industrial,Ind-026,1,0.24,0.09619206834773208,0.38669870974755544,0.29356554159821646
Industrial,Ind-027,0,0.24,0.08406245032213834,0.32838904382362627,0.2632817166991826
Industrial,Ind-028,1,0.24,0.09821090549157753,0.3841109596427059,0.281486270036273
Industrial,Ind-029,0,0.24,0.07270157716717975,0.28922693256646365,0.2747487946225202
Industrial,Ind-030,1,0.24,0.09754797599875265,0.35695453277413486,0.29161616570504534
Industrial,Ind-031,0,0.24,0.09569472058023462,0.3205207599917192,0.27440497154504356
Industrial,Ind-032,1,0.24,0.09299201772932159,0.3779978748557824,0.3160227498965269
Industrial,Ind-033,0,0.24,0.08719581516813724,0.2982118351606766,0.2505177976444941
Industrial,Ind-034,1,0.24,0.10153469998187992,0.37627812851564024,0.30613864851409905
Industrial,Ind-035,0,0.24,0.08830209284932612,0.30346268428802536,0.27004092376423167
Industrial,Ind-036,1,0.24,0.09652160965477562,0.39506158864937235,0.30438166679477846
Industrial,Ind-037,0,0.24,0.0986178085211755,0.34096929157059447,0.2608626260762885
Industrial,Ind-038,1,0.24,0.09862185725167377,0.35667987353103253,0.31907112769978957
Industrial,Ind-039,0,0.24,0.0906784628330986,0.27989783308732497,0.2755508438338536
Industrial,Ind-040,1,0.24,0.10684508445147956,0.3654660283682824,0.31566653504407394
Industrial,Ind-041,0,0.24,0.08954796764363122,0.3228383989312972,0.281730348508391
Industrial,Ind-042,1,0.24,0.10133039548052274,0.3714632075254289,0.30207889710598657
Industrial,Ind-043,0,0.24,0.08881097681941404,0.33321398972407973,0.2665893878532628
Industrial,Ind-044,1,0.24,0.09127358173552197,0.3696869634635569,0.3058702926858199
Industrial,Ind-045,0,0.24,0.09084734973810793,0.321993817929063,0.2606745869398803
Industrial,Ind-046,1,0.24,0.10078862779200636,0.3697862954016251,0.3103891773405496
Industrial,Ind-047,0,0.24,0.0899708549100775,0.32882508313189684,0.24676310737284943
Industrial,Ind-048,1,0.24,0.09957085912051188,0.38146365919779135,0.313977742973856
Industrial,Ind-049,0,0.24,0.09576444599974634,0.2916326001028997,0.2549893679186335
Industrial,Ind-050,1,0.24,0.10135045899801567,0.3953680269914649,0.2979809349440009
Industrial,Ind-051,0,0.24,0.08866759499708252,0.31534156086999054,0.2721599129762409
Industrial,Ind-052,1,0.24,0.10988951304197697,0.3488847933074458,0.3191674600057077
Industrial,Ind-053,0,0.24,0.08338219101828495,0.32958714713801784,0.25822825936387234
Industrial,Ind-054,1,0.24,0.10714229051844355,0.4004575636115272,0.2946400749922206
Industrial,Ind-055,0,0.24,0.08652608063355256,0.3155261489870073,0.2553174785030094
Industrial,Ind-056,1,0.24,0.10390514726302424,0.3958879201001863,0.30954187281634366
Industrial,Ind-057,0,0.24,0.08542727570716466,0.28794670449121984,0.2852300635430751
Industrial,Ind-058,1,0.24,0.09597561248845887,0.37819311627418356,0.32203137165030604
Industrial,Ind-059,0,0.24,0.08086909448854397,0.34041510414668713,0.24128787835617085
Industrial,Ind-060,1,0.24,0.11015640662690193,0.3563890092203937,0.3151646485583876
Industrial,Ind-061,0,0.24,0.09199594677072441,0.3181078544876418,0.2724198731228688
Industrial,Ind-062,1,0.24,0.11021269477939778,0.37543293756212887,0.32393155760971926
Industrial,Ind-063,0,0.24,0.08481197502632157,0.30106533511324957,0.26853461305155435
Industrial,Ind-064,1,0.24,0.10043505282614068,0.3770294160072899,0.3166082465077926
Industrial,Ind-065,0,0.24,0.0854901241621621,0.3248439553552169,0.24884435492417628
Industrial,Ind-066,1,0.24,0.1034210382491057,0.3664332181490731,0.31754229177537446
Industrial,Ind-067,0,0.24,0.09841656562984993,0.3078720034356597,0.2698859219718839
Industrial,Ind-068,1,0.24,0.10536183965175791,0.3917235556690931,0.32078560378157095
Industrial,Ind-069,0,0.24,0.09628280628465033,0.3243966075458031,0.23890851251533596
Industrial,Ind-070,1,0.24,0.10506751849267056,0.3505758330500377,0.3186561287629799
Industrial,Ind-071,0,0.24,0.10588391433317544,0.3165962542313658,0.2723632205856795
Industrial,Ind-072,1,0.24,0.10285879639460016,0.3956863236003455,0.305977585813297
Industrial,Ind-073,0,0.24,0.08386380585417735,0.338718221422296,0.2628596080317314
Industrial,Ind-074,1,0.24,0.09782293515444782,0.384328790590355,0.3098658774441483
Industrial,Ind-075,0,0.24,0.08629737136141424,0.2919213818123398,0.2616369351176981
Industrial,Ind-076,1,0.24,0.10275284700437926,0.3816619870192714,0.3156982323731947
Industrial,Ind-077,0,0.24,0.08698188109532973,0.31308466418006603,0.25552922765639396
Industrial,Ind-078,1,0.24,0.10382872705783261,0.37492041342862936,0.324994472391843
Industrial,Ind-079,0,0.24,0.10283843788010064,0.323696581459471,0.254578112110402
Industrial,Ind-080,1,0.24,0.1075060609364031,0.3444198496594658,0.28763899535589404
Logistics,Log-001,0,0.27,0.09309243614481247,0.2948839022475262,0.25726730551213056
Logistics,Log-002,1,0.27,0.1153935182794029,0.35001753122379103,0.28029268831870086
Logistics,Log-003,0,0.27,0.0943298919809748,0.3409073397978784,0.24147575853734435
Logistics,Log-004,1,0.27,0.10224482298871576,0.4012941079972782,0.3242544006051979
Logistics,Log-005,0,0.27,0.09675368954099643,0.3260844477896422,0.24570341310858682
Logistics,Log-006,1,0.27,0.10065963954181983,0.4317095261118663,0.29041272366236986
Logistics,Log-007,0,0.27,0.0804210558462759,0.32090299592510607,0.2624350961190528
Logistics,Log-008,1,0.27,0.09790451431283648,0.3974472693623067,0.30502887402908685
Logistics,Log-009,0,0.27,0.0994300071458093,0.33796253655856323,0.2613905655295496
Logistics,Log-010,1,0.27,0.10953233527016579,0.3802760253697292,0.30056975285649573
Logistics,Log-011,0,0.27,0.08655482134967517,0.3289751574665946,0.2613025169203931
Logistics,Log-012,1,0.27,0.10444270189605769,0.4129137487857253,0.28789222257106667
Logistics,Log-013,0,0.27,0.0936047977816495,0.2914560090275613,0.233426228405413
Logistics,Log-014,1,0.27,0.09903639263662832,0.41870396124838316,0.29515343671950883
Logistics,Log-015,0,0.27,0.08472698628667336,0.33101952374994864,0.25367973076825256
Logistics,Log-016,1,0.27,0.12265892422537493,0.40848440590294066,0.30512457946835014
Logistics,Log-017,0,0.27,0.089652352628103,0.31776291147884694,0.2772742459079968
Logistics,Log-018,1,0.27,0.10243054644602025,0.43114515591881025,0.29549309140217267
Logistics,Log-019,0,0.27,0.0967426703896649,0.3132918815714505,0.2626347323203939
Logistics,Log-020,1,0.27,0.09851208911320342,0.39288956738327674,0.3050477398779525
Logistics,Log-021,0,0.27,0.0768751491103414,0.3184957991336784,0.2659168000644672
Logistics,Log-022,1,0.27,0.11094091514008612,0.4021690761603389,0.31007998183327456
Logistics,Log-023,0,0.27,0.08052986515347435,0.3215317656846114,0.26414909723572716
Logistics,Log-024,1,0.27,0.09968365514239427,0.3786184737811876,0.2908108783117542
Logistics,Log-025,0,0.27,0.0954986736433312,0.3359160534757959,0.2515902437929922
Logistics,Log-026,1,0.27,0.10815261755445793,0.42208061912907485,0.3218202122222009
Logistics,Log-027,0,0.27,0.08787272135176491,0.3186484658668838,0.2574828400794131
Logistics,Log-028,1,0.27,0.10008008518099488,0.4040636025625743,0.31465498876879966
Logistics,Log-029,0,0.27,0.0916911228866656,0.3164633752124767,0.2870493871569439
Logistics,Log-030,1,0.27,0.10828213396956246,0.37949732769849387,0.2929239783470792
Logistics,Log-031,0,0.27,0.08373046654314979,0.32203803393695707,0.2692358383511815
Logistics,Log-032,1,0.27,0.10152946381116906,0.3737829437907415,0.32573271062493997
Logistics,Log-033,0,0.27,0.09228652916440734,0.32524422842162076,0.2697254562072731
Logistics,Log-034,1,0.27,0.10733652004699704,0.4032977202078505,0.31994495859093336
Logistics,Log-035,0,0.27,0.09135919966479378,0.3332131222855192,0.2669648657679893
Logistics,Log-036,1,0.27,0.103681273970629,0.36469820228695904,0.31271420162871755
Logistics,Log-037,0,0.27,0.08357316793511979,0.2939598008356838,0.2581809141335855
Logistics,Log-038,1,0.27,0.10355278002081622,0.4233189441545452,0.30734790994181443
Logistics,Log-039,0,0.27,0.09267205057487435,0.3253007531647311,0.2695079569725303
Logistics,Log-040,1,0.27,0.10888930728139753,0.3756283804156774,0.31512563455884335
Logistics,Log-041,0,0.27,0.10872771431402575,0.31812246054884386,0.2769737155261129
Logistics,Log-042,1,0.27,0.1082604291338847,0.40557079744950947,0.28778928972676343
Logistics,Log-043,0,0.27,0.09368465741305157,0.2935020198501748,0.26156300461264126
Logistics,Log-044,1,0.27,0.09951964047827104,0.39959607696626137,0.2943479455906429
Logistics,Log-045,0,0.27,0.09513357898572629,0.333396647121946,0.26719744650544963
Logistics,Log-046,1,0.27,0.10805686925261333,0.37460792068974946,0.2994395265502244
Logistics,Log-047,0,0.27,0.10021768202400477,0.34756190664312653,0.24884845511366974
Logistics,Log-048,1,0.27,0.11150141048807173,0.38518215425680247,0.30905826035761125
Logistics,Log-049,0,0.27,0.08831786865247634,0.3400199343982405,0.26213080845588455
Logistics,Log-050,1,0.27,0.0975169628566014,0.38839602915800187,0.2939783249152734
Logistics,Log-051,0,0.27,0.09001944515912928,0.2977153661530235,0.2746774109431441
Logistics,Log-052,1,0.27,0.11382650657326178,0.40390373176535566,0.33919609336206435
Logistics,Log-053,0,0.27,0.09208846256508017,0.3087351804941635,0.2720551636140397
Logistics,Log-054,1,0.27,0.11034078341595233,0.3989212529525018,0.32163629357796436
Logistics,Log-055,0,0.27,0.0858180557857578,0.30784973477653604,0.2560103260784011
Logistics,Log-056,1,0.27,0.1058467172065005,0.36198910755006464,0.3150821770200429
Logistics,Log-057,0,0.27,0.08655837109205798,0.3254421600631599,0.28960231655445295
Logistics,Log-058,1,0.27,0.11282490706802634,0.4053899325059583,0.31219584898989833
Logistics,Log-059,0,0.27,0.08875997019379138,0.30099302342576906,0.294479155553687
Logistics,Log-060,1,0.27,0.10423071302981177,0.3768011448698743,0.2813833137228452
Logistics,Log-061,0,0.27,0.08986286479304459,0.30871288089532856,0.24652748918485698
Logistics,Log-062,1,0.27,0.11133579287601295,0.3904778698892767,0.3005054238556339
Logistics,Log-063,0,0.27,0.09056283281167068,0.31368226479411165,0.26035607158428314
Logistics,Log-064,1,0.27,0.09821788752923245,0.3993019248903299,0.2906661176848215
Logistics,Log-065,0,0.27,0.09888223444953514,0.30061255649187596,0.2576644886929406
Logistics,Log-066,1,0.27,0.09219494034691142,0.427222913462125,0.2965422152374439
Logistics,Log-067,0,0.27,0.09715795186297663,0.3786073454400193,0.27537584644600244
Logistics,Log-068,1,0.27,0.10723372976433236,0.40024637143009906,0.32537462730512084
Logistics,Log-069,0,0.27,0.10034072158078743,0.29157148105813835,0.25696156873676096
Logistics,Log-070,1,0.27,0.10361828066052982,0.3813825953398894,0.30210744702896125
Logistics,Log-071,0,0.27,0.09005087451430414,0.31577903150280684,0.2803139900544881
Logistics,Log-072,1,0.27,0.12147873152204933,0.4062083073384938,0.30072316338368693
Logistics,Log-073,0,0.27,0.09421631585513487,0.3404642405947423,0.2507317929221817
Logistics,Log-074,1,0.27,0.10822512476958691,0.41690526274386275,0.2896929275495154
Logistics,Log-075,0,0.27,0.09319456640238702,0.31062455071504047,0.29282917323793295
Logistics,Log-076,1,0.27,0.10452490399664689,0.4263958291172665,0.30182224548335357
Logistics,Log-077,0,0.27,0.08095152972936341,0.30515458517411015,0.26111698724931326
Logistics,Log-078,1,0.27,0.09915396516710069,0.403443881446055,0.30977252409449524
Logistics,Log-079,0,0.27,0.09426735771294584,0.3289761505436311,0.25291306913547584
Logistics,Log-080,1,0.27,0.10547039787786502,0.4004236872677723,0.2769317068616671
Services,Ser-001,0,0.31,0.09682976197243971,0.37076460138941025,0.28282395860716836
Services,Ser-002,1,0.31,0.11039033499013692,0.41071049255198855,0.30683479975218203
Services,Ser-003,0,0.31,0.09951463466377791,0.3035592036040189,0.2879523004549748
Services,Ser-004,1,0.31,0.10073915494819824,0.411197359878111,0.30823789304348664
Services,Ser-005,0,0.31,0.09495786354923612,0.3444973956130421,0.2581307479082937
Services,Ser-006,1,0.31,0.10806276600365136,0.3639609220460809,0.30049223139334796
Services,Ser-007,0,0.31,0.0976563772436351,0.3285224447890358,0.27138848599078835
Services,Ser-008,1,0.31,0.10109244830563074,0.41181514348465414,0.3269427395585771
Services,Ser-009,0,0.31,0.09997677500842453,0.32420158150020867,0.26882781858718435
Services,Ser-010,1,0.31,0.10599347514459748,0.4042421067749295,0.30845707026402
Services,Ser-011,0,0.31,0.0928695338645842,0.3568727488384067,0.2567374786978712
Services,Ser-012,1,0.31,0.10762970161969869,0.3889837252461502,0.29740847873692977
Services,Ser-013,0,0.31,0.10245291381367334,0.3619605696417125,0.25239575100855816
Services,Ser-014,1,0.31,0.11355139537429107,0.44309392602171105,0.28264469749312093
Services,Ser-015,0,0.31,0.087756939300872,0.32478301962304673,0.27561915058646597
Services,Ser-016,1,0.31,0.10767284508980546,0.41843540528460194,0.28777669254757265
Services,Ser-017,0,0.31,0.0916673895305233,0.34405494191614505,0.2827970027665616
Services,Ser-018,1,0.31,0.09747123291418713,0.40059703506755695,0.2978627724648606
Services,Ser-019,0,0.31,0.09799807767940238,0.3357207068100558,0.2769105289924303
Services,Ser-020,1,0.31,0.11129766412424606,0.40119632588892784,0.3044234949817843
Services,Ser-021,0,0.31,0.09139902691794193,0.333312213369739,0.26429702888757783
Services,Ser-022,1,0.31,0.1075506467041344,0.38175498969177696,0.2945014108828875
Services,Ser-023,0,0.31,0.09054364820198338,0.330736931660107,0.28728528725412705
Services,Ser-024,1,0.31,0.09837280115728869,0.40575863807318086,0.2708110493794772
Services,Ser-025,0,0.31,0.09213566799482112,0.36755923425185744,0.2667105822317351
Services,Ser-026,1,0.31,0.1131701504082052,0.3885074954823368,0.29215895304491685
Services,Ser-027,0,0.31,0.08855784703245323,0.3281463788155588,0.2528994931635989
Services,Ser-028,1,0.31,0.11084541117946675,0.4172312690112545,0.3104551693183549
Services,Ser-029,0,0.31,0.09263086284135162,0.3299445674066339,0.2626767298206194
Services,Ser-030,1,0.31,0.10531145476479672,0.3977794396959637,0.29379772448586694
Services,Ser-031,0,0.31,0.09828403705282734,0.36994858859483554,0.30451190134735295
Services,Ser-032,1,0.31,0.10762312667726709,0.40068408268130845,0.3106763658856583
Services,Ser-033,0,0.31,0.10067927762804715,0.34405306943367486,0.2568443446801031
Services,Ser-034,1,0.31,0.11487383716910117,0.41158932921581615,0.33345801838888445
Services,Ser-035,0,0.31,0.09247627705107743,0.35287938251829293,0.26333475620750685
Services,Ser-036,1,0.31,0.10878685768349737,0.45776750895000506,0.32353129542721026
Services,Ser-037,0,0.31,0.09516746343050471,0.3487695718687883,0.26760824508939907
Services,Ser-038,1,0.31,0.10392326419062686,0.4231470322476801,0.2964416149678189
Services,Ser-039,0,0.31,0.09658267980255507,0.3331349106773944,0.25440371619200325
Services,Ser-040,1,0.31,0.1082342389824351,0.386957281654111,0.2951036460970877
Services,Ser-041,0,0.31,0.08799456326468576,0.3092025203917999,0.24092267393618294
Services,Ser-042,1,0.31,0.11597650173752286,0.4601710422297118,0.29162480207796593
Services,Ser-043,0,0.31,0.09137389178337534,0.33191951401431286,0.27813291302284704
Services,Ser-044,1,0.31,0.10333156511031878,0.39616723969047013,0.30650957961069497
Services,Ser-045,0,0.31,0.1001426705152044,0.33974341611252434,0.26035545701958235
Services,Ser-046,1,0.31,0.10915787937373064,0.39818202951921794,0.313966138594527
Services,Ser-047,0,0.31,0.08572020849569773,0.32981437471090197,0.26472120343896827
Services,Ser-048,1,0.31,0.11287644676843027,0.44074644411375424,0.29206555487055336
Services,Ser-049,0,0.31,0.09711963869557196,0.3225447667223508,0.23060679201661555
Services,Ser-050,1,0.31,0.10191035918396392,0.4221133292538971,0.27049457402521426
Services,Ser-051,0,0.31,0.09027912577820259,0.3785240118678619,0.2530247282316623
Services,Ser-052,1,0.31,0.10981413255156752,0.4013999643171267,0.3054332529744249
Services,Ser-053,0,0.31,0.09541441079993275,0.32284958559091026,0.2732958152446708
Services,Ser-054,1,0.31,0.10582265425240944,0.40422709255073996,0.29337627831813506
Services,Ser-055,0,0.31,0.08588868577715202,0.3312202017004037,0.26388563589253705
Services,Ser-056,1,0.31,0.11495182392565405,0.44378697500045283,0.30142168075589304
Services,Ser-057,0,0.31,0.09461079920449664,0.3006052933956454,0.25150213148528755
Services,Ser-058,1,0.31,0.10667817436267463,0.4108222119562558,0.3129919627724125
Services,Ser-059,0,0.31,0.10228563949648095,0.2914511175165846,0.24784608947471545
Services,Ser-060,1,0.31,0.09237636558609308,0.4415861285012644,0.30959301614097556
Services,Ser-061,0,0.31,0.08379114186270631,0.34164954794729724,0.28176732085242695
Services,Ser-062,1,0.31,0.11043960774396942,0.4103401416085765,0.30739812658825405
Services,Ser-063,0,0.31,0.10148596996062148,0.3705135141069741,0.27100232265578694
Services,Ser-064,1,0.31,0.10672695836460831,0.4363994754649547,0.29655672984074277
Services,Ser-065,0,0.31,0.10427935559573381,0.3508923546906938,0.2546674804201541
Services,Ser-066,1,0.31,0.09031555269248952,0.4391767094527316,0.31666361271448057
Services,Ser-067,0,0.31,0.09581351650710956,0.3381368134611983,0.2729133907518077
Services,Ser-068,1,0.31,0.10752512229057287,0.4203401494836405,0.3238241175218922
Services,Ser-069,0,0.31,0.08829968944384184,0.33550105706018707,0.282385803870842
Services,Ser-070,1,0.31,0.10736393513920718,0.41354259866521464,0.2971252848364831
Services,Ser-071,0,0.31,0.09311613008639646,0.3264606113096071,0.26463788918371844
Services,Ser-072,1,0.31,0.11025439881058081,0.4085007913990668,0.3173949114869458
Services,Ser-073,0,0.31,0.09432152641757471,0.3389296948187932,0.2827438212008736
Services,Ser-074,1,0.31,0.10126130887251389,0.4355475411602637,0.26620232947350336
Services,Ser-075,0,0.31,0.10224244091426864,0.3496386877614771,0.2811340286136361
Services,Ser-076,1,0.31,0.10619645639529031,0.40216652404776837,0.3037222762401316
Services,Ser-077,0,0.31,0.09716491846142333,0.315203981557779,0.2696050249608554
Services,Ser-078,1,0.31,0.09922266354282523,0.40911922847830023,0.3269194845883006
Services,Ser-079,0,0.31,0.08404309275031555,0.34799469839476804,0.26730666410003306
Services,Ser-080,1,0.31,0.10303121875158511,0.40392496302008535,0.28143334916520313
Periphery,Per-001,0,0.38,0.09418504574191024,0.3248725534262846,0.27198618560814514
Periphery,Per-002,1,0.38,0.115763203796163,0.44896280962793983,0.3025450882300001
Periphery,Per-003,0,0.38,0.09705317031012581,0.3753429440234333,0.23950282350852814
Periphery,Per-004,1,0.38,0.10601949329630908,0.4631288832257149,0.3016646947511859
