opportunity_id,referrer_id,applicant_id,referrer_group,applicant_group,same_group,cross_group,link_exists,tie_strength,signal_quality,referrer_access,applicant_skill,observed_referral_probability,observed_referral,callback_probability,callback
O041,W068,W029,A,B,0,1,0,0.5813,0.7661,0.6369,0.3466,0.4063,0,0.3988,
O042,W057,W031,A,A,1,0,0,0.5533,0.7227,0.6353,0.288,0.4692,1,0.4957,1.0
O043,W068,W024,A,A,1,0,1,0.8406,0.7985,0.6369,-0.1903,0.8407,1,0.5152,0.0
O044,W023,W028,A,A,1,0,0,0.576,0.5784,0.6412,-0.1671,0.4747,1,0.4174,0.0
O045,W065,W046,A,B,0,1,0,0.3813,0.508,0.7227,0.0585,0.3782,0,0.2845,
O046,W057,W025,A,A,1,0,1,0.6743,0.7944,0.6353,-0.1485,0.8214,1,0.4959,0.0
O047,W065,W059,A,A,1,0,0,0.4267,0.5855,0.7227,-0.0803,0.4552,0,0.4079,
O048,W045,W022,B,A,0,1,0,0.4686,0.4212,0.6479,0.3044,0.3856,1,0.3324,0.0
O049,W014,W020,A,B,0,1,0,0.3689,0.1719,0.6318,-0.7096,0.3644,0,0.1689,
O050,W023,W068,A,A,1,0,0,0.98,0.9144,0.6412,0.2865,0.5572,0,0.6069,
O051,W054,W022,A,A,1,0,0,0.6243,0.6977,0.7587,0.3044,0.5004,1,0.4989,0.0
O052,W058,W024,A,A,1,0,0,0.8604,0.8062,0.683,-0.1903,0.5385,1,0.52,0.0
O053,W058,W040,A,A,1,0,1,0.6815,0.8649,0.683,0.2694,0.826,1,0.5533,1.0
O054,W014,W042,A,B,0,1,1,0.7479,0.6274,0.6318,0.4482,0.7866,1,0.388,0.0
O055,W068,W070,A,A,1,0,1,0.7761,0.9174,0.6369,0.0385,0.8335,0,0.5616,
O056,W022,W027,A,A,1,0,0,0.4604,0.685,0.7786,0.5943,0.4695,0,0.4984,
O057,W065,W052,A,A,1,0,0,0.7791,0.7742,0.7227,-0.38,0.5273,0,0.4837,
O058,W030,W071,A,A,1,0,1,0.9248,0.98,0.6353,2.0341,0.8496,1,0.7462,1.0
O059,W022,W041,A,B,0,1,0,0.8673,0.9719,0.7786,0.7818,0.4829,0,0.5332,
O060,W054,W001,A,A,1,0,1,0.98,0.7266,0.7587,0.0036,0.8633,1,0.5281,0.0
O061,W054,W020,A,B,0,1,0,0.3104,0.2352,0.7587,-0.7096,0.3692,0,0.1754,
O062,W014,W006,A,A,1,0,0,0.9026,0.6247,0.6318,0.269,0.5402,0,0.5101,
O063,W024,W008,A,B,0,1,0,0.3617,0.6435,0.6299,0.4683,0.3628,1,0.3474,0.0
O064,W012,W062,A,B,0,1,0,0.3231,0.2459,0.6642,-1.2411,0.3598,0,0.1533,
O065,W045,W046,B,B,1,0,0,0.6544,0.6025,0.6479,0.0585,0.4916,0,0.4045,
O066,W022,W029,A,B,0,1,0,0.3485,0.4547,0.7786,0.3466,0.379,1,0.288,0.0
O067,W030,W058,A,A,1,0,0,0.3813,0.2632,0.6353,-0.8597,0.4343,0,0.2596,
O068,W023,W069,A,A,1,0,1,0.915,0.9222,0.6412,1.3395,0.849,1,0.6831,0.0
O069,W046,W062,B,B,1,0,0,0.6341,0.3145,0.6458,-1.2411,0.4872,1,0.2342,0.0
O070,W014,W023,A,A,1,0,0,0.6456,0.7556,0.6318,0.8289,0.4877,0,0.5632,
O071,W024,W014,A,A,1,0,1,0.9439,0.6574,0.6299,0.1776,0.8512,1,0.5175,0.0
O072,W058,W011,A,A,1,0,0,0.4584,0.3664,0.683,-0.5965,0.4563,0,0.3111,
O073,W021,W040,A,A,1,0,1,0.6997,0.8048,0.7277,0.2694,0.8316,1,0.5377,1.0
O074,W022,W062,A,B,0,1,0,0.1254,0.1503,0.7786,-1.2411,0.337,0,0.1272,
O075,W030,W001,A,A,1,0,1,0.4861,0.5723,0.6353,0.0036,0.7976,1,0.4184,0.0
O076,W023,W026,A,B,0,1,0,0.2468,0.5978,0.6412,0.1309,0.3427,0,0.2974,
O077,W021,W025,A,A,1,0,0,0.98,0.872,0.7277,-0.1485,0.5687,0,0.5586,
O078,W045,W003,B,A,0,1,0,0.7237,0.98,0.6479,1.1595,0.4362,1,0.5979,1.0
O079,W022,W037,A,B,0,1,0,0.5555,0.4327,0.7786,-0.825,0.4197,0,0.2275,
O080,W054,W034,A,A,1,0,0,0.6397,0.6112,0.7587,0.1558,0.5036,0,0.4623,
O081,W057,W007,A,B,0,1,0,0.5444,0.6957,0.6353,0.3292,0.3988,0,0.3728,
O082,W022,W060,A,A,1,0,0,0.5709,0.6057,0.7786,0.2333,0.4921,1,0.4584,0.0
O083,W022,W030,A,A,1,0,1,0.678,0.8139,0.7786,1.0245,0.8329,1,0.6005,1.0
O084,W058,W060,A,A,1,0,0,0.9125,0.98,0.683,0.2333,0.5491,1,0.613,1.0
O085,W012,W037,A,B,0,1,0,0.1958,0.1461,0.6642,-0.825,0.3361,1,0.1476,0.0
O086,W069,W025,A,A,1,0,0,0.7002,0.536,0.6442,-0.1485,0.5005,0,0.4223,
O087,W014,W038,A,B,0,1,0,0.6041,0.6385,0.6318,1.4304,0.4101,1,0.4543,0.0
O088,W015,W045,A,B,0,1,0,0.5062,0.7552,0.6335,0.5582,0.3911,0,0.4035,
O089,W022,W012,A,A,1,0,1,0.98,0.8757,0.7786,0.3241,0.8646,0,0.5988,
O090,W045,W065,B,A,0,1,0,0.3601,0.8539,0.6479,0.7465,0.3647,0,0.4789,
O091,W022,W040,A,A,1,0,0,0.5301,0.6123,0.7786,0.2694,0.4838,0,0.4581,
O092,W021,W030,A,A,1,0,0,0.7082,0.8475,0.7277,1.0245,0.5134,0,0.6139,
O093,W065,W029,A,B,0,1,0,0.9731,0.7451,0.7227,0.3466,0.4971,0,0.4423,
O094,W023,W047,A,B,0,1,0,0.6992,0.7408,0.6412,-0.2352,0.4304,0,0.3595,
O095,W069,W042,A,B,0,1,1,0.7234,0.5829,0.6442,0.4482,0.7843,0,0.3724,
O096,W054,W010,A,B,0,1,0,0.3438,0.2928,0.7587,-1.6016,0.3756,1,0.1462,1.0
O097,W030,W021,A,A,1,0,0,0.7388,0.7937,0.6353,1.6777,0.5072,0,0.6541,
O098,W046,W030,B,A,0,1,0,0.2146,0.5442,0.6458,1.0245,0.3373,1,0.3924,1.0
O099,W058,W050,A,A,1,0,0,0.4755,0.8232,0.683,0.0992,0.4598,0,0.4997,
O100,W046,W066,B,B,1,0,0,0.5444,0.5795,0.6458,0.1711,0.4688,1,0.3933,1.0
O101,W023,W011,A,A,1,0,0,0.6631,0.5616,0.6412,-0.5965,0.4925,1,0.3884,0.0
O102,W069,W049,A,A,1,0,0,0.98,0.5852,0.6442,-0.5757,0.5576,0,0.4369,
O103,W022,W019,A,A,1,0,0,0.4836,0.8325,0.7786,0.295,0.4743,0,0.5202,
O104,W045,W054,B,A,0,1,0,0.8141,0.8724,0.6479,0.7534,0.4545,0,0.544,
O105,W021,W043,A,A,1,0,0,0.7472,0.4259,0.7277,-0.7976,0.5214,0,0.3449,
O106,W057,W015,A,A,1,0,1,0.98,0.7001,0.6353,-0.5058,0.8553,1,0.477,0.0
O107,W014,W067,A,A,1,0,0,0.8083,0.5385,0.6318,-0.9274,0.521,0,0.3731,
O108,W014,W050,A,A,1,0,0,0.8977,0.7193,0.6318,0.0992,0.5392,1,0.5234,0.0
O109,W024,W009,A,A,1,0,0,0.4354,0.5638,0.6299,0.2279,0.4445,0,0.4281,
O110,W030,W066,A,B,0,1,0,0.3239,0.549,0.6353,0.1711,0.3563,0,0.2964,
O111,W054,W036,A,B,0,1,1,0.7251,0.8621,0.7587,-0.1461,0.7948,1,0.4042,0.0
O112,W054,W023,A,A,1,0,1,0.98,0.9337,0.7587,0.8289,0.8633,1,0.6552,1.0
O113,W030,W050,A,A,1,0,0,0.701,0.7223,0.6353,0.0992,0.4995,1,0.4987,1.0
O114,W069,W007,A,B,0,1,0,0.9483,0.9563,0.6442,0.3292,0.4814,1,0.5006,0.0
O115,W058,W019,A,A,1,0,0,0.5498,0.5186,0.683,0.295,0.4749,0,0.435,
O116,W022,W033,A,B,0,1,0,0.5346,0.6522,0.7786,0.1437,0.4155,1,0.3451,0.0
O117,W065,W056,A,B,0,1,0,0.3781,0.5948,0.7227,0.6445,0.3776,0,0.3497,
O118,W054,W070,A,A,1,0,0,0.7529,0.7594,0.7587,0.0385,0.5267,0,0.5115,
O119,W054,W029,A,B,0,1,0,0.5573,0.6227,0.7587,0.3466,0.4174,1,0.3555,1.0
O120,W012,W064,A,A,1,0,0,0.6083,0.9101,0.6642,0.4519,0.4844,0,0.5725,
O121,W069,W011,A,A,1,0,0,0.6704,0.7264,0.6442,-0.5965,0.4944,0,0.4372,
O122,W021,W046,A,B,0,1,0,0.4032,0.4395,0.7277,0.0585,0.3831,1,0.2703,0.0
O123,W054,W051,A,A,1,0,0,0.4226,0.4285,0.7587,0.1013,0.4592,1,0.3772,1.0
O124,W023,W064,A,A,1,0,0,0.8085,0.9354,0.6412,0.4519,0.5223,1,0.605,0.0
O125,W022,W025,A,A,1,0,0,0.6831,0.706,0.7786,-0.1485,0.5152,0,0.4705,
O126,W054,W041,A,B,0,1,0,0.4486,0.9261,0.7587,0.7818,0.3959,0,0.4652,
O127,W058,W065,A,A,1,0,0,0.7428,0.8819,0.683,0.7465,0.5145,1,0.6055,1.0
O128,W024,W056,A,B,0,1,0,0.1781,0.4974,0.6299,0.6445,0.3288,0,0.3013,
O129,W014,W055,A,A,1,0,0,0.579,0.6085,0.6318,-0.0112,0.474,0,0.4397,
O130,W069,W023,A,A,1,0,1,0.7718,0.9517,0.6442,0.8289,0.8335,1,0.6353,0.0
O131,W045,W052,B,A,0,1,0,0.6493,0.6195,0.6479,-0.38,0.4212,0,0.3548,
O132,W012,W047,A,B,0,1,1,0.7108,0.6598,0.6642,-0.2352,0.7844,0,0.3388,
O133,W015,W009,A,A,1,0,0,0.6676,0.9031,0.6335,0.2279,0.4924,0,0.5593,
O134,W014,W033,A,B,0,1,0,0.5539,0.7915,0.6318,0.1437,0.4002,1,0.3862,0.0
O135,W014,W065,A,A,1,0,0,0.98,0.8579,0.6318,0.7465,0.556,0,0.6278,
O136,W058,W036,A,B,0,1,0,0.3823,0.7401,0.683,-0.1461,0.3734,1,0.329,1.0
O137,W045,W059,B,A,0,1,0,0.4038,0.5449,0.6479,-0.0803,0.3731,0,0.3288,
O138,W065,W053,A,B,0,1,0,0.4908,0.5929,0.7227,-0.1309,0.3996,0,0.3041,
O139,W057,W041,A,B,0,1,0,0.3397,0.6066,0.6353,0.7818,0.3593,0,0.359,
O140,W058,W055,A,A,1,0,0,0.7916,0.7045,0.683,-0.0112,0.5245,0,0.4958,
O141,W068,W049,A,A,1,0,0,0.8011,0.6112,0.6369,-0.5757,0.5202,1,0.4217,1.0
O142,W058,W005,A,A,1,0,0,0.9341,0.6885,0.683,-1.0331,0.5535,0,0.4233,
O143,W015,W019,A,A,1,0,1,0.8474,0.7988,0.6335,0.295,0.8412,1,0.5571,1.0
O144,W069,W013,A,B,0,1,1,0.9795,0.8977,0.6442,-0.0652,0.8177,0,0.4537,
O145,W045,W054,B,A,0,1,0,0.8578,0.828,0.6479,0.7534,0.4634,0,0.5364,
O146,W046,W011,B,A,0,1,0,0.5142,0.3164,0.6458,-0.5965,0.3942,0,0.2487,
O147,W069,W039,A,A,1,0,0,0.6465,0.6336,0.6442,-0.3026,0.4895,1,0.4313,0.0
O148,W046,W042,B,B,1,0,0,0.5628,0.5837,0.6458,0.4482,0.4726,0,0.4196,
O149,W030,W005,A,A,1,0,0,0.8332,0.3621,0.6353,-1.0331,0.5265,1,0.3201,0.0
O150,W068,W032,A,B,0,1,0,0.5421,0.6624,0.6369,0.0421,0.3985,1,0.341,0.0
O151,W069,W026,A,B,0,1,0,0.4274,0.641,0.6442,0.1309,0.3771,0,0.3287,
O152,W021,W049,A,A,1,0,0,0.6481,0.5738,0.7277,-0.5757,0.5011,1,0.3917,0.0
O153,W024,W038,A,B,0,1,0,0.2548,0.8109,0.6299,1.4304,0.3428,0,0.4606,
O154,W068,W052,A,A,1,0,0,0.8109,0.7276,0.6369,-0.38,0.5222,0,0.4739,
O155,W057,W068,A,A,1,0,1,0.98,0.8614,0.6353,0.2865,0.8553,1,0.5916,1.0
O156,W068,W005,A,A,1,0,0,0.9425,0.6974,0.6369,-1.0331,0.549,0,0.427,
O157,W022,W030,A,A,1,0,1,0.7173,0.9496,0.7786,1.0245,0.8373,1,0.6436,0.0
O158,W014,W060,A,A,1,0,1,0.9069,0.6513,0.6318,0.2333,0.8475,1,0.5156,1.0
O159,W065,W062,A,B,0,1,0,0.6268,0.5039,0.7227,-1.2411,0.4266,0,0.2242,
O160,W023,W065,A,A,1,0,0,0.5723,0.8891,0.6412,0.7465,0.4739,0,0.5862,
O161,W021,W015,A,A,1,0,0,0.549,0.5662,0.7277,-0.5058,0.4808,1,0.3829,1.0
O162,W068,W011,A,A,1,0,0,0.6332,0.6887,0.6369,-0.5965,0.4858,0,0.4214,
O163,W069,W029,A,B,0,1,1,0.98,0.772,0.6442,0.3466,0.8178,1,0.4511,0.0
O164,W023,W001,A,A,1,0,0,0.5436,0.6456,0.6412,0.0036,0.4681,1,0.4474,0.0
O165,W054,W014,A,A,1,0,0,0.6802,0.8984,0.7587,0.1776,0.5119,0,0.5553,
O166,W065,W041,A,B,0,1,1,0.7838,0.6602,0.7227,0.7818,0.7995,0,0.4294,
O167,W058,W004,A,A,1,0,1,0.98,0.8354,0.683,1.0548,0.8584,1,0.6458,1.0
O168,W030,W013,A,B,0,1,0,0.2663,0.6752,0.6353,-0.0652,0.3456,1,0.305,1.0
O169,W023,W045,A,B,0,1,0,0.4511,0.4636,0.6412,0.5582,0.3813,0,0.3166,
O170,W014,W050,A,A,1,0,0,0.8587,0.7206,0.6318,0.0992,0.5313,0,0.5187,
O171,W023,W042,A,B,0,1,0,0.8414,0.9393,0.6412,0.4482,0.4591,0,0.4918,
O172,W054,W013,A,B,0,1,1,0.6568,0.9305,0.7587,-0.0652,0.7855,1,0.4221,1.0
O173,W021,W014,A,A,1,0,0,0.4626,0.4854,0.7277,0.1776,0.4631,1,0.4046,1.0
O174,W030,W035,A,B,0,1,0,0.2752,0.6545,0.6353,0.7936,0.3472,1,0.3655,0.0
O175,W045,W001,B,A,0,1,1,0.705,0.6236,0.6479,0.0036,0.7821,1,0.3932,0.0
O176,W012,W070,A,A,1,0,0,0.7096,0.7492,0.6642,0.0385,0.5051,0,0.5028,
O177,W030,W053,A,B,0,1,0,0.2289,0.3339,0.6353,-0.1309,0.3387,0,0.2184,
O178,W022,W047,A,B,0,1,0,0.7297,0.9182,0.7786,-0.2352,0.4548,0,0.4137,
O179,W065,W059,A,A,1,0,0,0.3951,0.4947,0.7227,-0.0803,0.4487,0,0.378,
O180,W023,W054,A,A,1,0,1,0.9702,0.821,0.6412,0.7534,0.8547,1,0.6168,1.0
O181,W046,W001,B,A,0,1,1,0.7615,0.5969,0.6458,0.0036,0.7897,1,0.3926,1.0
O182,W058,W050,A,A,1,0,0,0.4737,0.7121,0.683,0.0992,0.4594,1,0.4662,1.0
O183,W012,W014,A,A,1,0,0,0.9062,0.821,0.6642,0.1776,0.5453,1,0.5614,0.0
O184,W012,W018,A,B,0,1,0,0.4316,0.3508,0.6642,-0.6488,0.3805,0,0.2099,
O185,W022,W047,A,B,0,1,0,0.801,0.7209,0.7786,-0.2352,0.4694,0,0.3663,
O186,W022,W045,A,B,0,1,0,0.4837,0.5884,0.7786,0.5582,0.4054,0,0.3537,
O187,W021,W037,A,B,0,1,0,0.5717,0.6135,0.7277,-0.825,0.4162,0,0.2695,
O188,W069,W017,A,A,1,0,0,0.7395,0.6304,0.6442,-0.2193,0.5086,1,0.4493,0.0
O189,W014,W055,A,A,1,0,0,0.5941,0.6228,0.6318,-0.0112,0.4771,1,0.4458,0.0
O190,W012,W051,A,A,1,0,0,0.8147,0.7994,0.6642,0.1013,0.5267,1,0.5368,1.0
O191,W069,W032,A,B,0,1,0,0.5299,0.4374,0.6442,0.0421,0.3971,1,0.2819,1.0
O192,W068,W049,A,A,1,0,0,0.8069,0.6932,0.6369,-0.5757,0.5214,0,0.4466,
O193,W030,W014,A,A,1,0,0,0.9098,0.7809,0.6353,0.1776,0.5422,0,0.55,
O194,W024,W054,A,A,1,0,0,0.6865,0.7833,0.6299,0.7534,0.4958,0,0.5703,
O195,W065,W056,A,B,0,1,0,0.4102,0.4956,0.7227,0.6445,0.3838,0,0.3268,
O196,W012,W022,A,A,1,0,1,0.98,0.6796,0.6642,0.3044,0.8572,1,0.5396,1.0
O197,W057,W023,A,A,1,0,0,0.5753,0.5758,0.6353,0.8289,0.4737,0,0.5005,
O198,W023,W026,A,B,0,1,0,0.2913,0.3064,0.6412,0.1309,0.3509,0,0.2339,
O199,W012,W047,A,B,0,1,1,0.7939,0.6724,0.6642,-0.2352,0.7957,1,0.352,0.0
O200,W022,W011,A,A,1,0,0,0.9663,0.7419,0.7786,-0.5965,0.5727,1,0.48,0.0
O201,W054,W031,A,A,1,0,0,0.6064,0.7483,0.7587,0.288,0.4967,0,0.5103,
O202,W021,W029,A,B,0,1,0,0.4659,0.6736,0.7277,0.3466,0.3953,1,0.3586,1.0
O203,W068,W048,A,A,1,0,0,0.7329,0.7915,0.6369,0.8592,0.5062,1,0.5874,1.0
O204,W023,W060,A,A,1,0,0,0.9391,0.6865,0.6412,0.2333,0.5489,1,0.5303,1.0
O205,W023,W040,A,A,1,0,0,0.7104,0.6858,0.6412,0.2694,0.5022,0,0.5035,
O206,W054,W003,A,A,1,0,0,0.7566,0.8882,0.7587,1.1595,0.5275,1,0.6419,0.0
O207,W054,W023,A,A,1,0,1,0.98,0.98,0.7587,0.8289,0.8633,1,0.6676,1.0
O208,W021,W043,A,A,1,0,0,0.8025,0.4543,0.7277,-0.7976,0.5327,1,0.3592,1.0
O209,W045,W002,B,A,0,1,0,0.4054,0.5995,0.6479,0.9833,0.3734,1,0.4291,0.0
O210,W057,W019,A,A,1,0,0,0.3407,0.7983,0.6353,0.295,0.4262,0,0.4914,
O211,W021,W062,A,B,0,1,0,0.7677,0.5347,0.7277,-1.2411,0.4557,1,0.244,0.0
O212,W057,W015,A,A,1,0,1,0.9312,0.8772,0.6353,-0.5058,0.8503,1,0.5237,0.0
O213,W012,W022,A,A,1,0,1,0.98,0.7264,0.6642,0.3044,0.8572,1,0.5535,0.0
O214,W014,W026,A,B,0,1,0,0.5784,0.4803,0.6318,0.1309,0.405,0,0.304,
O215,W045,W019,B,A,0,1,0,0.4556,0.4197,0.6479,0.295,0.3831,1,0.3298,0.0
O216,W023,W003,A,A,1,0,1,0.98,0.9465,0.6412,1.1595,0.8557,1,0.6834,1.0
O217,W030,W037,A,B,0,1,0,0.3522,0.2603,0.6353,-0.825,0.3617,1,0.1773,0.0
O218,W023,W046,A,B,0,1,0,0.8207,0.5905,0.6412,0.0585,0.4549,1,0.3555,1.0
O219,W030,W035,A,B,0,1,0,0.3611,0.7823,0.6353,0.7936,0.3633,0,0.4125,
O220,W054,W052,A,A,1,0,0,0.411,0.4634,0.7587,-0.38,0.4568,1,0.3476,0.0
O221,W069,W003,A,A,1,0,0,0.8031,0.953,0.6442,1.1595,0.5216,0,0.6649,
O222,W022,W061,A,B,0,1,0,0.3397,0.6368,0.7786,0.0277,0.3773,0,0.3101,
O223,W015,W011,A,A,1,0,0,0.8167,0.6938,0.6335,-0.5965,0.5229,1,0.4463,1.0
O224,W065,W028,A,A,1,0,1,0.8618,0.8709,0.7227,-0.1671,0.849,1,0.5415,1.0
O225,W058,W013,A,B,0,1,1,0.9292,0.9408,0.683,-0.0652,0.8147,1,0.4601,1.0
O226,W024,W063,A,B,0,1,0,0.628,0.7962,0.6299,0.2183,0.4146,0,0.4028,
O227,W021,W063,A,B,0,1,0,0.4882,0.7353,0.7277,0.2183,0.3997,0,0.3683,
O228,W024,W041,A,B,0,1,0,0.4337,0.8952,0.6299,0.7818,0.3766,0,0.454,
O229,W065,W048,A,A,1,0,0,0.5681,0.8422,0.7227,0.8592,0.484,0,0.5813,
O230,W022,W047,A,B,0,1,0,0.7846,0.5987,0.7786,-0.2352,0.466,1,0.331,1.0
O231,W014,W049,A,A,1,0,0,0.6622,0.7554,0.6318,-0.5757,0.491,1,0.4465,0.0
O232,W068,W030,A,A,1,0,1,0.8305,0.7768,0.6369,1.0245,0.8396,1,0.6088,1.0
O233,W058,W013,A,B,0,1,1,0.9076,0.8778,0.683,-0.0652,0.812,1,0.4386,1.0
O234,W065,W045,A,B,0,1,0,0.4023,0.4078,0.7227,0.5582,0.3823,1,0.297,0.0
O235,W014,W049,A,A,1,0,0,0.6049,0.5293,0.6318,-0.5757,0.4793,1,0.3738,0.0
O236,W058,W014,A,A,1,0,0,0.7951,0.6406,0.683,0.1776,0.5252,1,0.4931,1.0
O237,W014,W038,A,B,0,1,0,0.5368,0.98,0.6318,1.4304,0.3968,0,0.5477,
O238,W045,W029,B,B,1,0,0,0.626,0.98,0.6479,0.3466,0.4858,0,0.5373,
O239,W015,W007,A,B,0,1,0,0.7175,0.6714,0.6335,0.3292,0.433,0,0.3872,
O240,W068,W001,A,A,1,0,1,0.865,0.8294,0.6369,0.0036,0.8433,0,0.544,
O241,W021,W007,A,B,0,1,0,0.6682,0.707,0.7277,0.3292,0.4356,1,0.3912,0.0
O242,W057,W021,A,A,1,0,1,0.98,0.9594,0.6353,1.6777,0.8553,1,0.7234,1.0
O243,W068,W025,A,A,1,0,1,0.6974,0.4311,0.6369,-0.1485,0.8243,1,0.3916,0.0
O244,W065,W008,A,B,0,1,1,0.4499,0.6078,0.7227,0.4683,0.752,1,0.3481,0.0
O245,W012,W067,A,A,1,0,0,0.6191,0.5334,0.6642,-0.9274,0.4866,0,0.349,
O246,W023,W068,A,A,1,0,0,0.98,0.8683,0.6412,0.2865,0.5572,1,0.5936,1.0
O247,W015,W007,A,B,0,1,0,0.715,0.5885,0.6335,0.3292,0.4325,0,0.3635,
O248,W021,W067,A,A,1,0,1,0.9599,0.7503,0.7277,-0.9274,0.8594,1,0.4537,1.0
O249,W014,W055,A,A,1,0,0,0.5911,0.7627,0.6318,-0.0112,0.4765,1,0.4872,1.0
O250,W015,W009,A,A,1,0,0,0.5905,0.6952,0.6335,0.2279,0.4766,0,0.4872,
O251,W054,W051,A,A,1,0,0,0.3262,0.5801,0.7587,0.1013,0.4396,1,0.4086,1.0
O252,W057,W027,A,A,1,0,0,0.5186,0.7475,0.6353,0.5943,0.4622,1,0.5247,0.0
O253,W069,W014,A,A,1,0,0,0.611,0.6262,0.6442,0.1776,0.4822,1,0.4649,0.0
O254,W069,W056,A,B,0,1,0,0.0937,0.4782,0.6442,0.6445,0.3153,1,0.2873,1.0
O255,W030,W058,A,A,1,0,0,0.3511,0.3066,0.6353,-0.8597,0.4282,0,0.2666,
O256,W057,W063,A,B,0,1,0,0.4551,0.6693,0.6353,0.2183,0.3814,1,0.3462,0.0
O257,W057,W072,A,B,0,1,0,0.3363,0.6917,0.6353,0.562,0.3587,0,0.3649,
O258,W054,W065,A,A,1,0,1,0.98,0.9356,0.7587,0.7465,0.8633,0,0.6493,
O259,W068,W044,A,A,1,0,0,0.98,0.4266,0.6369,-0.3621,0.5566,1,0.4082,1.0
