market_id,product_id,product,automation_exposure,baseline_price,counterfactual_price,price_change,baseline_share,counterfactual_share,share_change,baseline_quantity,counterfactual_quantity,baseline_employment,counterfactual_employment,employment_change,cost_shock_pct,pass_through
3,2,M03-P2,0.722166,2.62021,2.493061,-0.127149,0.065175,0.073198,0.008023,5861.742622,6583.333745,31.766119,35.6766,3.910481,-8.0,0.940443
3,3,M03-P3,0.380387,2.916349,2.876516,-0.039833,0.033682,0.034215,0.000533,3029.367792,3077.257756,21.620804,21.962604,0.3418,-2.0,0.987687
3,4,M03-P4,0.663049,2.533845,2.50257,-0.031275,0.080612,0.081084,0.000472,7250.128727,7292.589233,30.350243,30.528018,0.177775,-2.0,0.984713
3,5,M03-P5,0.711923,3.092949,2.93131,-0.161639,0.066337,0.077518,0.011181,5966.287528,6971.876351,34.180098,39.940973,5.760875,-8.0,0.934722
4,1,M04-P1,0.95,2.628067,2.494227,-0.13384,0.033534,0.038265,0.004731,2547.284105,2906.614505,13.635452,15.558933,1.923481,-8.0,0.967992
4,2,M04-P2,0.371968,2.638945,2.604452,-0.034493,0.026097,0.026564,0.000467,1982.382979,2017.814371,10.996804,11.193361,0.196557,-2.0,0.987739
4,3,M04-P3,0.513499,2.958752,2.919707,-0.039045,0.065569,0.067091,0.001522,4980.708112,5096.328954,35.191535,36.008469,0.816934,-2.0,0.962562
4,4,M04-P4,0.548696,2.880667,2.733232,-0.147435,0.058157,0.067407,0.00925,4417.666761,5120.273622,33.014971,38.265853,5.250882,-8.0,0.941523
4,5,M04-P5,0.458069,2.729792,2.694158,-0.035634,0.043121,0.043949,0.000828,3275.492009,3338.405927,20.362814,20.753935,0.391121,-2.0,0.978392
5,1,M05-P1,0.251683,2.218128,2.191532,-0.026596,0.02522,0.025138,-8.2e-05,2093.002967,2086.221045,15.771335,15.720239,-0.051096,-2.0,1.002832
5,2,M05-P2,0.526586,1.869742,1.850549,-0.019193,0.122119,0.120691,-0.001428,10134.81358,10016.27613,60.6975,59.987578,-0.709922,-2.0,1.091474
5,3,M05-P3,0.552115,2.933633,2.89524,-0.038393,0.095457,0.096447,0.00099,7922.061208,8004.236465,29.501458,29.807456,0.305998,-2.0,0.973296
5,4,M05-P4,0.567038,2.624499,2.507923,-0.116576,0.119673,0.132289,0.012616,9931.756487,10978.791032,34.965792,38.652041,3.686249,-8.0,0.890317
5,5,M05-P5,0.893293,3.433062,3.238135,-0.194927,0.037504,0.045367,0.007863,3112.516895,3765.078131,19.581828,23.687311,4.105483,-8.0,0.963227
6,1,M06-P1,0.510209,2.988522,2.823864,-0.164658,0.020085,0.02386,0.003775,3063.391424,3639.189942,15.879868,18.864651,2.984783,-8.0,0.979583
6,2,M06-P2,0.499966,2.264448,2.156587,-0.107861,0.021453,0.023874,0.002421,3272.055228,3641.290235,19.069794,21.221731,2.151937,-8.0,0.979977
6,3,M06-P3,0.188981,3.018328,2.97591,-0.042418,0.012045,0.012432,0.000387,1837.058888,1896.16119,15.020076,15.503298,0.483222,-2.0,0.991933
6,4,M06-P4,0.19871,2.957007,2.920362,-0.036645,0.107984,0.11072,0.002736,16469.893909,16887.170521,59.953261,61.472172,1.518911,-2.0,0.924357
6,5,M06-P5,0.245416,3.018832,2.981388,-0.037444,0.113555,0.116539,0.002984,17319.578706,17774.722393,111.130372,114.050795,2.920423,-2.0,0.918713
7,1,M07-P1,0.462384,2.392562,2.363213,-0.029349,0.074921,0.074628,-0.000293,10233.864449,10193.845575,47.66809,47.481709,-0.186381,-2.0,1.010236
7,2,M07-P2,0.511833,2.771432,2.734159,-0.037273,0.033456,0.03363,0.000174,4569.880477,4593.698418,26.705135,26.844333,0.139198,-2.0,0.995671
7,3,M07-P3,0.143671,3.166129,3.121937,-0.044192,0.055496,0.056231,0.000735,7580.511068,7680.893062,48.764913,49.410647,0.645734,-2.0,0.984031
7,4,M07-P4,0.563462,2.816642,2.681193,-0.135449,0.095808,0.107818,0.01201,13086.858194,14727.345059,60.420925,67.994974,7.574049,-8.0,0.912763
7,5,M07-P5,0.513019,2.731888,2.602295,-0.129593,0.095249,0.106469,0.01122,13010.527902,14543.172677,87.858095,98.207864,10.349769,-8.0,0.914804
8,1,M08-P1,0.767765,3.169775,2.990198,-0.179577,0.017626,0.021155,0.003529,2006.583609,2408.338585,11.960168,14.354806,2.394638,-8.0,0.982541
8,2,M08-P2,0.585672,2.890284,2.853943,-0.036341,0.104644,0.106521,0.001877,11913.105232,12126.800044,64.696921,65.857498,1.160577,-2.0,0.946837
8,3,M08-P3,0.668465,2.904783,2.755857,-0.148926,0.059949,0.06946,0.009511,6824.887133,7907.618428,48.987311,56.758908,7.771597,-8.0,0.940304
8,4,M08-P4,0.589323,2.371811,2.343418,-0.028393,0.060995,0.061524,0.000529,6943.953807,7004.181815,30.806404,31.073632,0.267228,-2.0,0.981934
8,5,M08-P5,0.428885,2.614679,2.581946,-0.032733,0.067032,0.067952,0.00092,7631.190929,7735.902209,55.542688,56.304836,0.762148,-2.0,0.972668
9,1,M09-P1,0.652369,3.092871,2.920435,-0.172436,0.021821,0.026068,0.004247,1732.199198,2069.388596,11.546355,13.793965,2.24761,-8.0,0.978013
9,2,M09-P2,0.316266,2.964593,2.931045,-0.033548,0.184232,0.187604,0.003372,14625.107849,14892.789563,88.518407,90.138609,1.620202,-2.0,0.883469
9,3,M09-P3,0.524123,3.003707,2.838561,-0.165146,0.023242,0.027535,0.004293,1845.056446,2185.815425,10.522072,12.465377,1.943305,-8.0,0.976757
9,4,M09-P4,0.257139,2.569263,2.535744,-0.033519,0.013993,0.014248,0.000255,1110.791193,1131.088192,6.086504,6.197719,0.111215,-2.0,0.993231
9,5,M09-P5,0.05,2.941514,2.903128,-0.038386,0.071095,0.0728,0.001705,5643.7801,5779.157297,32.373694,33.150229,0.776535,-2.0,0.95708
10,1,M10-P1,0.378722,2.229962,2.20346,-0.026502,0.034344,0.034437,9.3e-05,3098.427462,3106.822422,20.510025,20.56558,0.055555,-2.0,0.99673
10,2,M10-P2,0.534785,2.85074,2.698945,-0.151795,0.030616,0.035457,0.004841,2762.061608,3198.785914,13.24182,15.335555,2.093735,-8.0,0.971197
10,3,M10-P3,0.493995,3.169256,3.125038,-0.044218,0.043936,0.044961,0.001025,3963.731647,4056.286955,25.215982,25.8048,0.588818,-2.0,0.978391
10,4,M10-P4,0.220045,2.021132,1.999303,-0.021829,0.074724,0.074525,-0.000199,6741.408055,6723.422316,46.243562,46.120189,-0.123373,-2.0,1.009344
10,5,M10-P5,0.622381,2.699335,2.57697,-0.122365,0.112959,0.126466,0.013507,10190.829203,11409.368349,53.656918,60.072834,6.415916,-8.0,0.88978
11,1,M11-P1,0.05,3.094582,3.05384,-0.040742,0.075256,0.077554,0.002298,8650.86492,8915.085859,78.506896,80.904672,2.397776,-2.0,0.945625
11,2,M11-P2,0.253964,3.040453,2.872012,-0.168441,0.021131,0.025221,0.00409,2429.075412,2899.248631,16.934202,20.211996,3.277794,-8.0,0.97835
11,3,M11-P3,0.091351,2.905813,2.867733,-0.03808,0.058291,0.059888,0.001597,6700.771428,6884.31786,43.778528,44.977727,1.199199,-2.0,0.960434
11,4,M11-P4,0.347623,2.779557,2.630859,-0.148698,0.018482,0.021564,0.003082,2124.591359,2478.897616,10.70438,12.489479,1.785099,-8.0,0.981576
11,5,M11-P5,0.101057,3.181151,3.137642,-0.043509,0.053126,0.054923,0.001797,6107.010631,6313.601792,37.915401,39.197997,1.282596,-2.0,0.961408
12,1,M12-P1,0.05,2.192109,2.166407,-0.025702,0.027195,0.027481,0.000286,3462.684309,3499.100821,21.690307,21.918438,0.228131,-2.0,0.989868
12,2,M12-P2,0.113029,1.975855,1.955553,-0.020302,0.078527,0.078861,0.000334,9998.551309,10041.114517,81.749913,82.09796,0.348047,-2.0,0.983433
12,3,M12-P3,0.388618,3.08551,2.915901,-0.169609,0.030558,0.036437,0.005879,3890.890942,4639.445793,25.488849,30.392545,4.903696,-8.0,0.96874
12,4,M12-P4,0.558482,2.766908,2.623326,-0.143582,0.037186,0.043033,0.005847,4734.825915,5479.255966,24.423419,28.263372,3.839953,-8.0,0.96299
12,5,M12-P5,0.05,3.49831,3.448954,-0.049356,0.057368,0.05957,0.002202,7304.510165,7584.901824,55.123054,57.239007,2.115953,-2.0,0.958067
