market_id,product_id,product,price,share,own_price_elasticity,implied_markup,recovered_marginal_cost,markup_rate,recovery_note
6,5,M06-P5,3.018832,0.113555,-3.077415,0.980964,2.037868,0.324948,Single-product logit pricing rule; no ownership matrix or random coefficients.
7,1,M07-P1,2.392562,0.074921,-2.54529,0.939996,1.452566,0.392883,Single-product logit pricing rule; no ownership matrix or random coefficients.
7,2,M07-P2,2.771432,0.033456,-3.0805,0.89967,1.871762,0.324623,Single-product logit pricing rule; no ownership matrix or random coefficients.
7,3,M07-P3,3.166129,0.055496,-3.438965,0.920663,2.245466,0.290785,Single-product logit pricing rule; no ownership matrix or random coefficients.
7,4,M07-P4,2.816642,0.095808,-2.928786,0.96171,1.854932,0.341438,Single-product logit pricing rule; no ownership matrix or random coefficients.
7,5,M07-P5,2.731888,0.095249,-2.842413,0.961116,1.770772,0.351814,Single-product logit pricing rule; no ownership matrix or random coefficients.
8,1,M08-P1,3.169775,0.017626,-3.580969,0.885172,2.284603,0.279254,Single-product logit pricing rule; no ownership matrix or random coefficients.
8,2,M08-P2,2.890284,0.104644,-2.975991,0.971201,1.919083,0.336023,Single-product logit pricing rule; no ownership matrix or random coefficients.
8,3,M08-P3,2.904783,0.059949,-3.140222,0.925025,1.979758,0.318449,Single-product logit pricing rule; no ownership matrix or random coefficients.
8,4,M08-P4,2.371811,0.060995,-2.561199,0.926055,1.445756,0.390442,Single-product logit pricing rule; no ownership matrix or random coefficients.
8,5,M08-P5,2.614679,0.067032,-2.805307,0.932047,1.682632,0.356467,Single-product logit pricing rule; no ownership matrix or random coefficients.
9,1,M09-P1,3.092871,0.021821,-3.479168,0.888969,2.203902,0.287425,Single-product logit pricing rule; no ownership matrix or random coefficients.
9,2,M09-P2,2.964593,0.184232,-2.781167,1.065953,1.89864,0.359561,Single-product logit pricing rule; no ownership matrix or random coefficients.
9,3,M09-P3,3.003707,0.023242,-3.373959,0.890262,2.113445,0.296388,Single-product logit pricing rule; no ownership matrix or random coefficients.
9,4,M09-P4,2.569263,0.013993,-2.913291,0.881911,1.687352,0.343254,Single-product logit pricing rule; no ownership matrix or random coefficients.
9,5,M09-P5,2.941514,0.071095,-3.142227,0.936124,2.00539,0.318246,Single-product logit pricing rule; no ownership matrix or random coefficients.
10,1,M10-P1,2.229962,0.034344,-2.476368,0.900497,1.329465,0.403817,Single-product logit pricing rule; no ownership matrix or random coefficients.
10,2,M10-P2,2.85074,0.030616,-3.177962,0.897034,1.953706,0.314667,Single-product logit pricing rule; no ownership matrix or random coefficients.
10,3,M10-P3,3.169256,0.043936,-3.484493,0.909532,2.259724,0.286986,Single-product logit pricing rule; no ownership matrix or random coefficients.
10,4,M10-P4,2.021132,0.074724,-2.150608,0.939796,1.081336,0.464985,Single-product logit pricing rule; no ownership matrix or random coefficients.
10,5,M10-P5,2.699335,0.112959,-2.753568,0.980305,1.71903,0.363165,Single-product logit pricing rule; no ownership matrix or random coefficients.
11,1,M11-P1,3.094582,0.075256,-3.290931,0.940336,2.154246,0.303865,Single-product logit pricing rule; no ownership matrix or random coefficients.
11,2,M11-P2,3.040453,0.021131,-3.422616,0.888342,2.152111,0.292174,Single-product logit pricing rule; no ownership matrix or random coefficients.
11,3,M11-P3,2.905813,0.058291,-3.146876,0.923396,1.982417,0.317775,Single-product logit pricing rule; no ownership matrix or random coefficients.
11,4,M11-P4,2.779557,0.018482,-3.137395,0.885944,1.893613,0.318736,Single-product logit pricing rule; no ownership matrix or random coefficients.
11,5,M11-P5,3.181151,0.053126,-3.463951,0.918359,2.262792,0.288688,Single-product logit pricing rule; no ownership matrix or random coefficients.
12,1,M12-P1,2.192109,0.027195,-2.452354,0.893879,1.29823,0.407771,Single-product logit pricing rule; no ownership matrix or random coefficients.
12,2,M12-P2,1.975855,0.078527,-2.093789,0.943674,1.032181,0.477603,Single-product logit pricing rule; no ownership matrix or random coefficients.
12,3,M12-P3,3.08551,0.030558,-3.439886,0.89698,2.18853,0.290707,Single-product logit pricing rule; no ownership matrix or random coefficients.
12,4,M12-P4,2.766908,0.037186,-3.063602,0.903155,1.863753,0.326413,Single-product logit pricing rule; no ownership matrix or random coefficients.
12,5,M12-P5,3.49831,0.057368,-3.79224,0.922492,2.575818,0.263696,Single-product logit pricing rule; no ownership matrix or random coefficients.
