pair_id,application_id,identity_signal,occupation,customer_facing,employer_climate,local_protection,resume_quality,callback
T036,T036_trans_signal,trans_signal,logistics,0,high,1,0.9530,0
T037,T037_cis_signal,cis_signal,care,1,low,0,0.4923,1
T037,T037_trans_signal,trans_signal,care,1,low,0,0.4923,0
T038,T038_cis_signal,cis_signal,care,1,middle,1,0.7214,1
T038,T038_trans_signal,trans_signal,care,1,middle,1,0.7214,1
T039,T039_cis_signal,cis_signal,public,1,middle,1,0.5892,1
T039,T039_trans_signal,trans_signal,public,1,middle,1,0.5892,1
T040,T040_cis_signal,cis_signal,care,1,middle,1,0.5405,0
T040,T040_trans_signal,trans_signal,care,1,middle,1,0.5405,0
T041,T041_cis_signal,cis_signal,care,1,middle,1,0.5638,0
T041,T041_trans_signal,trans_signal,care,1,middle,1,0.5638,1
T042,T042_cis_signal,cis_signal,logistics,0,low,0,0.5791,1
T042,T042_trans_signal,trans_signal,logistics,0,low,0,0.5791,1
T043,T043_cis_signal,cis_signal,care,1,middle,1,0.4665,0
T043,T043_trans_signal,trans_signal,care,1,middle,1,0.4665,0
T044,T044_cis_signal,cis_signal,public,1,low,1,0.4866,0
T044,T044_trans_signal,trans_signal,public,1,low,1,0.4866,0
T045,T045_cis_signal,cis_signal,logistics,0,middle,1,0.7349,0
T045,T045_trans_signal,trans_signal,logistics,0,middle,1,0.7349,0
T046,T046_cis_signal,cis_signal,tech,0,high,1,0.8052,0
T046,T046_trans_signal,trans_signal,tech,0,high,1,0.8052,0
T047,T047_cis_signal,cis_signal,logistics,0,high,0,0.5862,0
T047,T047_trans_signal,trans_signal,logistics,0,high,0,0.5862,1
T048,T048_cis_signal,cis_signal,care,1,low,0,0.5344,1
T048,T048_trans_signal,trans_signal,care,1,low,0,0.5344,0
T049,T049_cis_signal,cis_signal,tech,0,middle,1,0.7850,0
T049,T049_trans_signal,trans_signal,tech,0,middle,1,0.7850,0
T050,T050_cis_signal,cis_signal,care,1,middle,0,0.5989,0
T050,T050_trans_signal,trans_signal,care,1,middle,0,0.5989,0
T051,T051_cis_signal,cis_signal,care,1,high,0,0.4572,0
T051,T051_trans_signal,trans_signal,care,1,high,0,0.4572,0
T052,T052_cis_signal,cis_signal,admin,0,low,1,0.5292,1
T052,T052_trans_signal,trans_signal,admin,0,low,1,0.5292,0
T053,T053_cis_signal,cis_signal,public,1,middle,0,0.5457,0
T053,T053_trans_signal,trans_signal,public,1,middle,0,0.5457,1
T054,T054_cis_signal,cis_signal,care,1,high,0,0.7802,1
T054,T054_trans_signal,trans_signal,care,1,high,0,0.7802,0
T055,T055_cis_signal,cis_signal,retail,1,middle,1,0.6198,1
T055,T055_trans_signal,trans_signal,retail,1,middle,1,0.6198,1
T056,T056_cis_signal,cis_signal,admin,0,middle,1,0.5758,0
T056,T056_trans_signal,trans_signal,admin,0,middle,1,0.5758,1
T057,T057_cis_signal,cis_signal,retail,1,low,1,0.5530,1
T057,T057_trans_signal,trans_signal,retail,1,low,1,0.5530,0
T058,T058_cis_signal,cis_signal,care,1,middle,0,0.6089,1
T058,T058_trans_signal,trans_signal,care,1,middle,0,0.6089,0
T059,T059_cis_signal,cis_signal,admin,0,low,0,0.5815,0
T059,T059_trans_signal,trans_signal,admin,0,low,0,0.5815,0
T060,T060_cis_signal,cis_signal,public,1,middle,0,0.5307,0
T060,T060_trans_signal,trans_signal,public,1,middle,0,0.5307,0
T061,T061_cis_signal,cis_signal,public,1,middle,1,0.4407,1
T061,T061_trans_signal,trans_signal,public,1,middle,1,0.4407,0
T062,T062_cis_signal,cis_signal,retail,1,low,0,0.6927,0
T062,T062_trans_signal,trans_signal,retail,1,low,0,0.6927,1
T063,T063_cis_signal,cis_signal,retail,1,middle,1,0.6265,0
T063,T063_trans_signal,trans_signal,retail,1,middle,1,0.6265,1
T064,T064_cis_signal,cis_signal,retail,1,middle,0,0.5916,0
T064,T064_trans_signal,trans_signal,retail,1,middle,0,0.5916,0
T065,T065_cis_signal,cis_signal,public,1,low,0,0.6203,0
T065,T065_trans_signal,trans_signal,public,1,low,0,0.6203,0
T066,T066_cis_signal,cis_signal,care,1,high,0,0.6941,0
T066,T066_trans_signal,trans_signal,care,1,high,0,0.6941,0
T067,T067_cis_signal,cis_signal,logistics,0,low,0,0.6507,0
T067,T067_trans_signal,trans_signal,logistics,0,low,0,0.6507,0
T068,T068_cis_signal,cis_signal,admin,0,middle,0,0.6872,1
T068,T068_trans_signal,trans_signal,admin,0,middle,0,0.6872,1
T069,T069_cis_signal,cis_signal,tech,0,low,1,0.5912,1
T069,T069_trans_signal,trans_signal,tech,0,low,1,0.5912,0
T070,T070_cis_signal,cis_signal,care,1,low,0,0.9728,0
T070,T070_trans_signal,trans_signal,care,1,low,0,0.9728,1
T071,T071_cis_signal,cis_signal,admin,0,middle,1,0.4332,1
T071,T071_trans_signal,trans_signal,admin,0,middle,1,0.4332,1
T072,T072_cis_signal,cis_signal,tech,0,low,0,0.5168,0
T072,T072_trans_signal,trans_signal,tech,0,low,0,0.5168,0
T073,T073_cis_signal,cis_signal,care,1,low,0,0.8896,0
T073,T073_trans_signal,trans_signal,care,1,low,0,0.8896,1
T074,T074_cis_signal,cis_signal,tech,0,middle,1,0.6038,1
T074,T074_trans_signal,trans_signal,tech,0,middle,1,0.6038,0
T075,T075_cis_signal,cis_signal,logistics,0,high,1,0.6843,0
T075,T075_trans_signal,trans_signal,logistics,0,high,1,0.6843,0
T076,T076_cis_signal,cis_signal,care,1,high,1,0.5215,0
T076,T076_trans_signal,trans_signal,care,1,high,1,0.5215,0
T077,T077_cis_signal,cis_signal,tech,0,middle,1,0.5230,0
T077,T077_trans_signal,trans_signal,tech,0,middle,1,0.5230,0
T078,T078_cis_signal,cis_signal,tech,0,middle,1,0.7272,0
T078,T078_trans_signal,trans_signal,tech,0,middle,1,0.7272,1
T079,T079_cis_signal,cis_signal,public,1,middle,1,0.6517,0
T079,T079_trans_signal,trans_signal,public,1,middle,1,0.6517,1
T080,T080_cis_signal,cis_signal,admin,0,high,1,0.6903,1
T080,T080_trans_signal,trans_signal,admin,0,high,1,0.6903,0
T081,T081_cis_signal,cis_signal,public,1,low,1,0.5952,0
T081,T081_trans_signal,trans_signal,public,1,low,1,0.5952,1
T082,T082_cis_signal,cis_signal,tech,0,middle,1,0.6669,1
T082,T082_trans_signal,trans_signal,tech,0,middle,1,0.6669,1
T083,T083_cis_signal,cis_signal,tech,0,middle,0,0.6791,0
T083,T083_trans_signal,trans_signal,tech,0,middle,0,0.6791,0
T084,T084_cis_signal,cis_signal,retail,1,middle,1,0.7472,1
T084,T084_trans_signal,trans_signal,retail,1,middle,1,0.7472,0
T085,T085_cis_signal,cis_signal,retail,1,high,0,0.6654,0
T085,T085_trans_signal,trans_signal,retail,1,high,0,0.6654,0
T086,T086_cis_signal,cis_signal,public,1,high,1,0.6501,1
T086,T086_trans_signal,trans_signal,public,1,high,1,0.6501,0
T087,T087_cis_signal,cis_signal,tech,0,low,0,0.5929,0
T087,T087_trans_signal,trans_signal,tech,0,low,0,0.5929,0
T088,T088_cis_signal,cis_signal,admin,0,low,0,0.6947,0
T088,T088_trans_signal,trans_signal,admin,0,low,0,0.6947,0
T089,T089_cis_signal,cis_signal,logistics,0,middle,1,0.4369,1
T089,T089_trans_signal,trans_signal,logistics,0,middle,1,0.4369,0
T090,T090_cis_signal,cis_signal,logistics,0,low,1,0.4553,0
T090,T090_trans_signal,trans_signal,logistics,0,low,1,0.4553,0
T091,T091_cis_signal,cis_signal,tech,0,middle,1,0.6719,1
T091,T091_trans_signal,trans_signal,tech,0,middle,1,0.6719,1
T092,T092_cis_signal,cis_signal,tech,0,high,1,0.6736,0
T092,T092_trans_signal,trans_signal,tech,0,high,1,0.6736,1
T093,T093_cis_signal,cis_signal,logistics,0,low,0,0.7070,0
T093,T093_trans_signal,trans_signal,logistics,0,low,0,0.7070,1
T094,T094_cis_signal,cis_signal,care,1,low,0,0.4656,0
T094,T094_trans_signal,trans_signal,care,1,low,0,0.4656,0
T095,T095_cis_signal,cis_signal,admin,0,middle,1,0.4573,1
T095,T095_trans_signal,trans_signal,admin,0,middle,1,0.4573,0
T096,T096_cis_signal,cis_signal,retail,1,low,1,0.7429,0
T096,T096_trans_signal,trans_signal,retail,1,low,1,0.7429,0
T097,T097_cis_signal,cis_signal,care,1,low,0,0.6924,0
T097,T097_trans_signal,trans_signal,care,1,low,0,0.6924,1
T098,T098_cis_signal,cis_signal,logistics,0,high,1,0.7080,1
T098,T098_trans_signal,trans_signal,logistics,0,high,1,0.7080,0
T099,T099_cis_signal,cis_signal,care,1,high,0,0.5662,0
T099,T099_trans_signal,trans_signal,care,1,high,0,0.5662,0
T100,T100_cis_signal,cis_signal,logistics,0,low,0,0.5016,0
T100,T100_trans_signal,trans_signal,logistics,0,low,0,0.5016,0
T101,T101_cis_signal,cis_signal,tech,0,low,1,0.6893,1
T101,T101_trans_signal,trans_signal,tech,0,low,1,0.6893,0
T102,T102_cis_signal,cis_signal,admin,0,middle,1,0.5434,0
T102,T102_trans_signal,trans_signal,admin,0,middle,1,0.5434,1
T103,T103_cis_signal,cis_signal,care,1,low,0,0.7869,0
T103,T103_trans_signal,trans_signal,care,1,low,0,0.7869,1
T104,T104_cis_signal,cis_signal,logistics,0,middle,0,0.4595,0
T104,T104_trans_signal,trans_signal,logistics,0,middle,0,0.4595,0
T105,T105_cis_signal,cis_signal,tech,0,low,1,0.5560,1
T105,T105_trans_signal,trans_signal,tech,0,low,1,0.5560,1
T106,T106_cis_signal,cis_signal,public,1,middle,0,0.5846,0
T106,T106_trans_signal,trans_signal,public,1,middle,0,0.5846,0
T107,T107_cis_signal,cis_signal,admin,0,middle,1,0.9082,1
T107,T107_trans_signal,trans_signal,admin,0,middle,1,0.9082,0
T108,T108_cis_signal,cis_signal,logistics,0,high,0,0.7049,1
T108,T108_trans_signal,trans_signal,logistics,0,high,0,0.7049,0
T109,T109_cis_signal,cis_signal,tech,0,middle,0,0.5722,0
T109,T109_trans_signal,trans_signal,tech,0,middle,0,0.5722,1
T110,T110_cis_signal,cis_signal,retail,1,high,0,0.7398,0
T110,T110_trans_signal,trans_signal,retail,1,high,0,0.7398,1
T111,T111_cis_signal,cis_signal,tech,0,high,0,0.6959,0
T111,T111_trans_signal,trans_signal,tech,0,high,0,0.6959,1
T112,T112_cis_signal,cis_signal,tech,0,low,0,0.5851,1
T112,T112_trans_signal,trans_signal,tech,0,low,0,0.5851,0
T113,T113_cis_signal,cis_signal,admin,0,low,0,0.5248,0
T113,T113_trans_signal,trans_signal,admin,0,low,0,0.5248,1
T114,T114_cis_signal,cis_signal,tech,0,low,0,0.6720,0
T114,T114_trans_signal,trans_signal,tech,0,low,0,0.6720,1
T115,T115_cis_signal,cis_signal,retail,1,middle,0,0.5533,0
T115,T115_trans_signal,trans_signal,retail,1,middle,0,0.5533,0
T116,T116_cis_signal,cis_signal,care,1,middle,1,0.7323,0
T116,T116_trans_signal,trans_signal,care,1,middle,1,0.7323,0
T117,T117_cis_signal,cis_signal,tech,0,middle,1,0.5948,1
T117,T117_trans_signal,trans_signal,tech,0,middle,1,0.5948,0
T118,T118_cis_signal,cis_signal,logistics,0,high,0,0.7249,1
T118,T118_trans_signal,trans_signal,logistics,0,high,0,0.7249,0
T119,T119_cis_signal,cis_signal,care,1,low,0,0.5793,0
T119,T119_trans_signal,trans_signal,care,1,low,0,0.5793,0
T120,T120_cis_signal,cis_signal,retail,1,middle,0,0.5559,0
T120,T120_trans_signal,trans_signal,retail,1,middle,0,0.5559,0
T121,T121_cis_signal,cis_signal,admin,0,high,1,0.4231,0
T121,T121_trans_signal,trans_signal,admin,0,high,1,0.4231,0
T122,T122_cis_signal,cis_signal,tech,0,high,1,0.5563,0
T122,T122_trans_signal,trans_signal,tech,0,high,1,0.5563,0
T123,T123_cis_signal,cis_signal,public,1,low,0,0.5174,0
T123,T123_trans_signal,trans_signal,public,1,low,0,0.5174,1
T124,T124_cis_signal,cis_signal,logistics,0,middle,1,0.7224,1
T124,T124_trans_signal,trans_signal,logistics,0,middle,1,0.7224,0
T125,T125_cis_signal,cis_signal,care,1,low,0,0.5239,0
T125,T125_trans_signal,trans_signal,care,1,low,0,0.5239,0
T126,T126_cis_signal,cis_signal,admin,0,low,0,0.4730,0
T126,T126_trans_signal,trans_signal,admin,0,low,0,0.4730,0
T127,T127_cis_signal,cis_signal,logistics,0,middle,1,0.2962,0
T127,T127_trans_signal,trans_signal,logistics,0,middle,1,0.2962,0
T128,T128_cis_signal,cis_signal,retail,1,middle,1,0.6838,0
T128,T128_trans_signal,trans_signal,retail,1,middle,1,0.6838,0
T129,T129_cis_signal,cis_signal,care,1,middle,1,0.6756,0
T129,T129_trans_signal,trans_signal,care,1,middle,1,0.6756,0
T130,T130_cis_signal,cis_signal,tech,0,middle,1,0.4316,1
T130,T130_trans_signal,trans_signal,tech,0,middle,1,0.4316,0
T131,T131_cis_signal,cis_signal,admin,0,low,1,0.4828,1
T131,T131_trans_signal,trans_signal,admin,0,low,1,0.4828,0
T132,T132_cis_signal,cis_signal,logistics,0,low,1,0.6368,0
T132,T132_trans_signal,trans_signal,logistics,0,low,1,0.6368,0
T133,T133_cis_signal,cis_signal,logistics,0,low,0,0.5496,0
T133,T133_trans_signal,trans_signal,logistics,0,low,0,0.5496,0
T134,T134_cis_signal,cis_signal,admin,0,middle,1,0.5340,0
T134,T134_trans_signal,trans_signal,admin,0,middle,1,0.5340,1
T135,T135_cis_signal,cis_signal,tech,0,middle,1,0.5374,0
T135,T135_trans_signal,trans_signal,tech,0,middle,1,0.5374,0
T136,T136_cis_signal,cis_signal,retail,1,middle,0,0.5374,1
T136,T136_trans_signal,trans_signal,retail,1,middle,0,0.5374,0
T137,T137_cis_signal,cis_signal,admin,0,high,0,0.6208,0
T137,T137_trans_signal,trans_signal,admin,0,high,0,0.6208,0
T138,T138_cis_signal,cis_signal,tech,0,low,0,0.7869,0
T138,T138_trans_signal,trans_signal,tech,0,low,0,0.7869,0
T139,T139_cis_signal,cis_signal,care,1,high,0,0.4998,0
T139,T139_trans_signal,trans_signal,care,1,high,0,0.4998,0
T140,T140_cis_signal,cis_signal,logistics,0,middle,0,0.3253,1
T140,T140_trans_signal,trans_signal,logistics,0,middle,0,0.3253,0
T141,T141_cis_signal,cis_signal,public,1,middle,1,0.5666,0
T141,T141_trans_signal,trans_signal,public,1,middle,1,0.5666,0
T142,T142_cis_signal,cis_signal,logistics,0,middle,0,0.6126,0
T142,T142_trans_signal,trans_signal,logistics,0,middle,0,0.6126,0
T143,T143_cis_signal,cis_signal,care,1,middle,0,0.6690,1
T143,T143_trans_signal,trans_signal,care,1,middle,0,0.6690,0
T144,T144_cis_signal,cis_signal,logistics,0,middle,0,0.7767,0
T144,T144_trans_signal,trans_signal,logistics,0,middle,0,0.7767,1
T145,T145_cis_signal,cis_signal,care,1,middle,1,0.6732,1
T145,T145_trans_signal,trans_signal,care,1,middle,1,0.6732,0
T146,T146_cis_signal,cis_signal,logistics,0,middle,0,0.4784,1
T146,T146_trans_signal,trans_signal,logistics,0,middle,0,0.4784,1
T147,T147_cis_signal,cis_signal,logistics,0,middle,0,0.4711,0
T147,T147_trans_signal,trans_signal,logistics,0,middle,0,0.4711,0
T148,T148_cis_signal,cis_signal,admin,0,low,1,0.5976,0
T148,T148_trans_signal,trans_signal,admin,0,low,1,0.5976,1
T149,T149_cis_signal,cis_signal,logistics,0,middle,0,0.6822,1
T149,T149_trans_signal,trans_signal,logistics,0,middle,0,0.6822,1
T150,T150_cis_signal,cis_signal,care,1,middle,1,0.4860,1
T150,T150_trans_signal,trans_signal,care,1,middle,1,0.4860,1
T151,T151_cis_signal,cis_signal,care,1,low,0,0.5528,1
T151,T151_trans_signal,trans_signal,care,1,low,0,0.5528,0
T152,T152_cis_signal,cis_signal,admin,0,middle,1,0.4615,1
T152,T152_trans_signal,trans_signal,admin,0,middle,1,0.4615,1
T153,T153_cis_signal,cis_signal,tech,0,middle,1,0.6057,0
T153,T153_trans_signal,trans_signal,tech,0,middle,1,0.6057,1
T154,T154_cis_signal,cis_signal,retail,1,low,0,0.7454,1
T154,T154_trans_signal,trans_signal,retail,1,low,0,0.7454,1
T155,T155_cis_signal,cis_signal,admin,0,low,0,0.4493,0
T155,T155_trans_signal,trans_signal,admin,0,low,0,0.4493,0
T156,T156_cis_signal,cis_signal,tech,0,high,0,0.4745,1
T156,T156_trans_signal,trans_signal,tech,0,high,0,0.4745,0
T157,T157_cis_signal,cis_signal,retail,1,middle,0,0.3348,0
T157,T157_trans_signal,trans_signal,retail,1,middle,0,0.3348,1
T158,T158_cis_signal,cis_signal,logistics,0,middle,1,0.7672,0
T158,T158_trans_signal,trans_signal,logistics,0,middle,1,0.7672,0
T159,T159_cis_signal,cis_signal,retail,1,high,0,0.6769,1
T159,T159_trans_signal,trans_signal,retail,1,high,0,0.6769,1
T160,T160_cis_signal,cis_signal,retail,1,high,0,0.5447,0
T160,T160_trans_signal,trans_signal,retail,1,high,0,0.5447,1
T161,T161_cis_signal,cis_signal,public,1,low,0,0.6593,1
T161,T161_trans_signal,trans_signal,public,1,low,0,0.6593,0
T162,T162_cis_signal,cis_signal,logistics,0,low,1,0.5794,1
T162,T162_trans_signal,trans_signal,logistics,0,low,1,0.5794,0
T163,T163_cis_signal,cis_signal,care,1,low,1,0.7849,0
T163,T163_trans_signal,trans_signal,care,1,low,1,0.7849,0
T164,T164_cis_signal,cis_signal,tech,0,middle,1,0.6325,1
T164,T164_trans_signal,trans_signal,tech,0,middle,1,0.6325,0
T165,T165_cis_signal,cis_signal,tech,0,middle,0,0.6101,1
T165,T165_trans_signal,trans_signal,tech,0,middle,0,0.6101,0
T166,T166_cis_signal,cis_signal,retail,1,high,1,0.5365,1
T166,T166_trans_signal,trans_signal,retail,1,high,1,0.5365,0
T167,T167_cis_signal,cis_signal,retail,1,high,0,0.5521,1
T167,T167_trans_signal,trans_signal,retail,1,high,0,0.5521,1
T168,T168_cis_signal,cis_signal,tech,0,middle,1,0.3651,1
T168,T168_trans_signal,trans_signal,tech,0,middle,1,0.3651,1
T169,T169_cis_signal,cis_signal,public,1,low,0,0.7197,1
T169,T169_trans_signal,trans_signal,public,1,low,0,0.7197,0
T170,T170_cis_signal,cis_signal,logistics,0,low,0,0.5488,1
T170,T170_trans_signal,trans_signal,logistics,0,low,0,0.5488,0
T171,T171_cis_signal,cis_signal,admin,0,low,0,0.4024,1
T171,T171_trans_signal,trans_signal,admin,0,low,0,0.4024,0
T172,T172_cis_signal,cis_signal,care,1,high,1,0.7213,0
T172,T172_trans_signal,trans_signal,care,1,high,1,0.7213,1
T173,T173_cis_signal,cis_signal,public,1,middle,1,0.7588,0
T173,T173_trans_signal,trans_signal,public,1,middle,1,0.7588,0
T174,T174_cis_signal,cis_signal,care,1,low,0,0.7126,1
T174,T174_trans_signal,trans_signal,care,1,low,0,0.7126,1
T175,T175_cis_signal,cis_signal,tech,0,high,0,0.5244,1
T175,T175_trans_signal,trans_signal,tech,0,high,0,0.5244,0
T176,T176_cis_signal,cis_signal,care,1,middle,0,0.6427,0
T176,T176_trans_signal,trans_signal,care,1,middle,0,0.6427,1
T177,T177_cis_signal,cis_signal,retail,1,middle,1,0.6168,1
T177,T177_trans_signal,trans_signal,retail,1,middle,1,0.6168,1
T178,T178_cis_signal,cis_signal,admin,0,middle,0,0.6952,1
T178,T178_trans_signal,trans_signal,admin,0,middle,0,0.6952,0
T179,T179_cis_signal,cis_signal,care,1,low,1,0.5471,1
T179,T179_trans_signal,trans_signal,care,1,low,1,0.5471,0
T180,T180_cis_signal,cis_signal,logistics,0,high,0,0.7196,1
T180,T180_trans_signal,trans_signal,logistics,0,high,0,0.7196,1
T181,T181_cis_signal,cis_signal,care,1,middle,1,0.7077,0
T181,T181_trans_signal,trans_signal,care,1,middle,1,0.7077,1
T182,T182_cis_signal,cis_signal,retail,1,low,1,0.6250,1
T182,T182_trans_signal,trans_signal,retail,1,low,1,0.6250,0
T183,T183_cis_signal,cis_signal,public,1,middle,1,0.6275,0
T183,T183_trans_signal,trans_signal,public,1,middle,1,0.6275,0
T184,T184_cis_signal,cis_signal,logistics,0,middle,1,0.6030,0
T184,T184_trans_signal,trans_signal,logistics,0,middle,1,0.6030,0
T185,T185_cis_signal,cis_signal,public,1,middle,1,0.5935,0
T185,T185_trans_signal,trans_signal,public,1,middle,1,0.5935,1
T186,T186_cis_signal,cis_signal,retail,1,middle,1,0.6798,1
T186,T186_trans_signal,trans_signal,retail,1,middle,1,0.6798,0
T187,T187_cis_signal,cis_signal,tech,0,high,0,0.5292,0
T187,T187_trans_signal,trans_signal,tech,0,high,0,0.5292,1
T188,T188_cis_signal,cis_signal,logistics,0,middle,0,0.7704,0
T188,T188_trans_signal,trans_signal,logistics,0,middle,0,0.7704,0
T189,T189_cis_signal,cis_signal,care,1,high,1,0.6797,1
T189,T189_trans_signal,trans_signal,care,1,high,1,0.6797,0
T190,T190_cis_signal,cis_signal,care,1,middle,1,0.7744,0
T190,T190_trans_signal,trans_signal,care,1,middle,1,0.7744,0
T191,T191_cis_signal,cis_signal,public,1,middle,1,0.6849,1
T191,T191_trans_signal,trans_signal,public,1,middle,1,0.6849,1
T192,T192_cis_signal,cis_signal,admin,0,low,1,0.7070,1
T192,T192_trans_signal,trans_signal,admin,0,low,1,0.7070,0
T193,T193_cis_signal,cis_signal,admin,0,low,0,0.8446,0
T193,T193_trans_signal,trans_signal,admin,0,low,0,0.8446,0
T194,T194_cis_signal,cis_signal,care,1,low,0,0.6199,0
T194,T194_trans_signal,trans_signal,care,1,low,0,0.6199,0
T195,T195_cis_signal,cis_signal,public,1,middle,0,0.7309,0
T195,T195_trans_signal,trans_signal,public,1,middle,0,0.7309,1
T196,T196_cis_signal,cis_signal,tech,0,middle,0,0.4933,1
T196,T196_trans_signal,trans_signal,tech,0,middle,0,0.4933,1
T197,T197_cis_signal,cis_signal,admin,0,middle,1,0.8669,0
T197,T197_trans_signal,trans_signal,admin,0,middle,1,0.8669,1
T198,T198_cis_signal,cis_signal,retail,1,low,0,0.6146,0
T198,T198_trans_signal,trans_signal,retail,1,low,0,0.6146,1
T199,T199_cis_signal,cis_signal,public,1,middle,1,0.6702,1
T199,T199_trans_signal,trans_signal,public,1,middle,1,0.6702,0
T200,T200_cis_signal,cis_signal,logistics,0,low,0,0.6303,1
T200,T200_trans_signal,trans_signal,logistics,0,low,0,0.6303,1
T201,T201_cis_signal,cis_signal,logistics,0,low,0,0.5302,1
T201,T201_trans_signal,trans_signal,logistics,0,low,0,0.5302,0
T202,T202_cis_signal,cis_signal,logistics,0,middle,0,0.6494,0
T202,T202_trans_signal,trans_signal,logistics,0,middle,0,0.6494,0
T203,T203_cis_signal,cis_signal,public,1,low,1,0.4071,0
