employer_id,sector,large_employer,unionized,pre_domestic_partner_benefits,post_retained_partner_benefits,post_expanded_spousal_coverage
E103,health,1,1,1,0,0
E104,tech,0,0,1,0,0
E105,public,0,1,1,1,1
E106,public,1,1,1,1,1
E107,finance,1,0,1,1,1
E108,finance,0,0,0,0,1
E109,tech,1,0,0,0,1
E110,private_services,0,0,0,0,1
E111,finance,1,0,1,1,1
E112,tech,1,0,1,1,1
E113,health,0,0,0,0,1
E114,health,0,0,0,0,0
E115,private_services,1,1,1,0,1
E116,finance,1,0,1,0,0
E117,health,0,0,1,1,0
E118,tech,0,0,0,0,1
E119,tech,1,0,0,0,1
E120,public,1,1,0,0,1
E121,tech,1,0,1,1,1
E122,public,1,1,1,0,1
E123,health,0,0,0,0,1
E124,health,0,0,0,0,1
E125,health,0,0,0,0,1
E126,private_services,0,0,0,0,1
E127,health,1,0,0,0,1
E128,finance,1,0,0,0,1
E129,private_services,0,0,0,0,0
E130,tech,1,0,0,0,1
E131,private_services,1,0,1,1,1
E132,health,1,0,0,0,1
E133,tech,1,0,0,0,1
E134,private_services,0,0,0,0,0
E135,public,0,1,1,1,1
E136,finance,0,0,0,0,0
E137,finance,0,0,0,0,1
E138,public,0,0,1,0,1
E139,public,1,0,1,1,1
E140,health,1,0,1,1,1
E141,private_services,0,0,1,1,0
E142,finance,1,1,1,1,1
E143,private_services,1,0,1,1,0
E144,private_services,0,0,0,0,0
E145,finance,0,1,0,0,0
E146,public,1,0,1,0,1
E147,tech,1,0,1,1,1
E148,finance,0,0,1,0,0
E149,tech,0,0,0,0,1
E150,private_services,0,0,0,0,1
E151,finance,0,0,0,0,1
E152,finance,1,0,0,0,0
E153,tech,1,0,1,0,1
E154,private_services,0,0,0,0,0
E155,public,1,1,0,0,1
E156,private_services,1,0,0,0,1
E157,health,0,0,1,0,0
E158,health,1,0,0,0,1
E159,private_services,0,0,1,0,1
E160,public,1,0,1,1,0
E161,tech,1,0,0,0,1
E162,health,1,1,0,0,1
E163,finance,1,0,0,0,1
E164,finance,1,0,1,0,0
E165,private_services,0,0,0,0,1
E166,private_services,0,0,0,0,1
E167,health,1,0,0,0,1
E168,public,1,0,1,1,0
E169,tech,1,0,1,0,0
E170,finance,1,0,1,1,0
E171,health,1,0,0,0,0
E172,private_services,1,0,0,0,1
E173,finance,1,0,0,0,1
E174,public,1,1,1,1,1
E175,public,1,1,0,0,1
E176,public,1,0,1,1,1
E177,tech,0,0,1,0,1
E178,health,0,0,0,0,1
E179,public,1,0,0,0,1
E180,finance,1,0,0,0,1
E181,tech,1,0,1,0,1
E182,public,0,0,0,0,0
E183,health,0,0,0,0,1
E184,finance,1,0,1,0,0
E185,public,1,0,1,1,1
E186,public,1,0,1,1,1
E187,health,0,0,0,0,1
E188,finance,0,0,1,1,1
E189,tech,1,0,1,0,1
E190,finance,1,0,0,0,1
E191,public,0,1,1,1,1
E192,public,0,0,0,0,1
E193,private_services,0,0,1,0,1
E194,tech,1,0,1,0,0
E195,health,1,0,0,0,1
E196,public,1,0,1,0,1
E197,health,1,1,1,1,1
E198,private_services,0,0,0,0,1
E199,finance,1,0,1,1,1
E200,tech,1,0,1,0,1
E201,public,1,1,1,0,0
E202,public,1,1,1,1,1
E203,finance,1,0,0,0,1
E204,finance,1,0,0,0,1
E205,health,1,0,0,0,1
E206,finance,1,0,1,1,1
E207,public,1,1,1,1,1
E208,finance,1,0,0,0,1
E209,public,0,1,0,0,1
E210,tech,1,0,0,0,1
E211,health,0,0,0,0,1
E212,tech,1,0,1,0,1
E213,health,0,1,0,0,1
E214,tech,0,0,0,0,1
E215,health,1,0,1,1,0
E216,finance,0,0,1,0,1
E217,private_services,1,0,1,0,1
E218,public,1,1,1,1,1
E219,private_services,0,0,0,0,0
E220,public,1,0,1,1,1
E221,tech,1,0,1,0,1
E222,private_services,1,0,0,0,1
E223,health,1,1,1,1,1
E224,finance,0,0,0,0,1
E225,tech,1,0,0,0,1
E226,public,0,0,0,0,1
E227,tech,0,0,0,0,1
E228,tech,1,0,1,0,1
E229,finance,1,1,0,0,1
E230,public,1,1,1,1,0
E231,private_services,0,1,0,0,1
E232,tech,1,0,1,1,1
E233,tech,1,0,0,0,1
E234,health,1,1,1,1,1
E235,health,1,1,1,1,1
E236,private_services,0,1,1,1,0
E237,finance,1,0,1,0,0
E238,public,0,0,0,0,0
E239,tech,1,0,1,0,1
E240,finance,0,0,1,0,1
E241,tech,1,0,1,0,1
E242,tech,1,0,1,1,1
E243,public,1,0,1,0,1
E244,tech,0,0,0,0,1
E245,private_services,0,0,0,0,1
E246,finance,1,0,1,1,1
E247,public,1,0,1,1,0
E248,public,1,0,1,0,1
E249,tech,1,0,1,1,1
E250,public,1,0,0,0,1
E251,public,1,0,1,1,1
E252,finance,1,0,1,1,1
E253,public,1,0,1,0,1
E254,private_services,1,0,1,1,1
E255,health,1,1,1,1,1
E256,health,1,0,1,1,1
E257,health,1,0,0,0,1
E258,private_services,0,0,1,0,1
E259,health,0,0,0,0,1
E260,tech,0,0,0,0,0
E261,health,0,0,1,1,1
E262,public,1,1,1,1,1
E263,tech,0,1,1,1,1
E264,finance,1,0,0,0,0
E265,private_services,0,0,1,0,1
E266,private_services,0,0,0,0,1
E267,health,1,0,1,1,1
E268,finance,1,1,1,1,1
E269,public,1,0,1,0,1
E270,tech,0,0,0,0,1
E271,public,1,1,1,1,0
E272,public,1,0,0,0,1
E273,finance,0,0,0,0,1
E274,finance,0,1,0,0,0
E275,tech,1,0,1,1,0
E276,finance,1,0,0,0,1
E277,tech,1,0,1,0,1
E278,public,0,1,0,0,1
E279,finance,1,1,1,1,1
E280,health,0,0,0,0,1
E281,public,1,0,0,0,1
E282,finance,1,0,1,1,1
E283,tech,1,0,1,0,1
E284,public,1,1,1,1,1
E285,public,0,1,1,1,1
E286,private_services,1,0,1,1,0
E287,health,1,0,0,0,1
E288,finance,1,1,1,1,1
E289,public,1,1,1,1,1
E290,health,0,1,1,0,1
E291,private_services,0,0,1,1,1
E292,health,0,1,0,0,1
E293,tech,1,0,1,1,1
E294,health,1,1,1,1,0
E295,health,0,1,1,0,1
E296,public,0,0,0,0,1
E297,health,0,1,0,0,1
E298,public,0,0,0,0,0
E299,public,1,0,1,1,1
E300,finance,1,0,1,0,0
