state,year,event_time,post_recognition,couple_type,employment_rate,specialization_index
S06,2011,-4,0,same_sex_couple,0.7398,0.3174
S06,2012,-3,0,different_sex_couple,0.7664,0.2740
S06,2012,-3,0,same_sex_couple,0.7430,0.3261
S06,2013,-2,0,different_sex_couple,0.7560,0.2830
S06,2013,-2,0,same_sex_couple,0.7293,0.3036
S06,2014,-1,0,different_sex_couple,0.7732,0.2758
S06,2014,-1,0,same_sex_couple,0.7566,0.3124
S06,2015,0,1,different_sex_couple,0.7726,0.2613
S06,2015,0,1,same_sex_couple,0.7766,0.2960
S06,2016,1,1,different_sex_couple,0.7879,0.2575
S06,2016,1,1,same_sex_couple,0.7746,0.2831
S06,2017,2,1,different_sex_couple,0.7898,0.2534
S06,2017,2,1,same_sex_couple,0.8003,0.2778
S06,2018,3,1,different_sex_couple,0.8055,0.2623
S06,2018,3,1,same_sex_couple,0.8093,0.2601
S07,2010,-5,0,different_sex_couple,0.7549,0.2919
S07,2010,-5,0,same_sex_couple,0.7251,0.3304
S07,2011,-4,0,different_sex_couple,0.7593,0.2889
S07,2011,-4,0,same_sex_couple,0.7293,0.3305
S07,2012,-3,0,different_sex_couple,0.7556,0.2678
S07,2012,-3,0,same_sex_couple,0.7359,0.3207
S07,2013,-2,0,different_sex_couple,0.7656,0.2742
S07,2013,-2,0,same_sex_couple,0.7607,0.3199
S07,2014,-1,0,different_sex_couple,0.7897,0.2705
S07,2014,-1,0,same_sex_couple,0.7483,0.3098
S07,2015,0,1,different_sex_couple,0.7952,0.2647
S07,2015,0,1,same_sex_couple,0.7759,0.2881
S07,2016,1,1,different_sex_couple,0.7972,0.2628
S07,2016,1,1,same_sex_couple,0.7956,0.2784
S07,2017,2,1,different_sex_couple,0.7995,0.2534
S07,2017,2,1,same_sex_couple,0.8067,0.2845
S07,2018,3,1,different_sex_couple,0.7977,0.2525
S07,2018,3,1,same_sex_couple,0.8199,0.2765
S08,2010,-5,0,different_sex_couple,0.7459,0.2802
S08,2010,-5,0,same_sex_couple,0.7312,0.3205
S08,2011,-4,0,different_sex_couple,0.7484,0.2725
S08,2011,-4,0,same_sex_couple,0.7233,0.3238
S08,2012,-3,0,different_sex_couple,0.7493,0.2845
S08,2012,-3,0,same_sex_couple,0.7232,0.3147
S08,2013,-2,0,different_sex_couple,0.7738,0.2775
S08,2013,-2,0,same_sex_couple,0.7359,0.3098
S08,2014,-1,0,different_sex_couple,0.7738,0.2623
S08,2014,-1,0,same_sex_couple,0.7406,0.3070
S08,2015,0,1,different_sex_couple,0.7738,0.2731
S08,2015,0,1,same_sex_couple,0.7762,0.2826
S08,2016,1,1,different_sex_couple,0.7782,0.2539
S08,2016,1,1,same_sex_couple,0.7735,0.2822
S08,2017,2,1,different_sex_couple,0.7776,0.2623
S08,2017,2,1,same_sex_couple,0.7804,0.2715
S08,2018,3,1,different_sex_couple,0.7886,0.2494
S08,2018,3,1,same_sex_couple,0.7957,0.2669
S09,2010,-6,0,different_sex_couple,0.7454,0.2807
S09,2010,-6,0,same_sex_couple,0.7265,0.3220
S09,2011,-5,0,different_sex_couple,0.7718,0.2848
S09,2011,-5,0,same_sex_couple,0.7282,0.3184
S09,2012,-4,0,different_sex_couple,0.7609,0.2823
S09,2012,-4,0,same_sex_couple,0.7406,0.3196
S09,2013,-3,0,different_sex_couple,0.7708,0.2781
S09,2013,-3,0,same_sex_couple,0.7526,0.3086
S09,2014,-2,0,different_sex_couple,0.7756,0.2630
S09,2014,-2,0,same_sex_couple,0.7538,0.3120
S09,2015,-1,0,different_sex_couple,0.7811,0.2617
S09,2015,-1,0,same_sex_couple,0.7558,0.3103
S09,2016,0,1,different_sex_couple,0.7961,0.2530
S09,2016,0,1,same_sex_couple,0.7868,0.2832
S09,2017,1,1,different_sex_couple,0.7989,0.2534
S09,2017,1,1,same_sex_couple,0.7989,0.2759
S09,2018,2,1,different_sex_couple,0.8008,0.2550
S09,2018,2,1,same_sex_couple,0.8002,0.2664
S10,2010,-6,0,different_sex_couple,0.7272,0.2873
S10,2010,-6,0,same_sex_couple,0.7083,0.3300
S10,2011,-5,0,different_sex_couple,0.7547,0.2826
S10,2011,-5,0,same_sex_couple,0.7301,0.3238
S10,2012,-4,0,different_sex_couple,0.7563,0.2683
S10,2012,-4,0,same_sex_couple,0.7131,0.3115
S10,2013,-3,0,different_sex_couple,0.7588,0.2655
S10,2013,-3,0,same_sex_couple,0.7264,0.3117
S10,2014,-2,0,different_sex_couple,0.7642,0.2700
S10,2014,-2,0,same_sex_couple,0.7296,0.3158
S10,2015,-1,0,different_sex_couple,0.7696,0.2607
S10,2015,-1,0,same_sex_couple,0.7478,0.3071
S10,2016,0,1,different_sex_couple,0.7764,0.2708
S10,2016,0,1,same_sex_couple,0.7620,0.2777
S10,2017,1,1,different_sex_couple,0.7870,0.2577
S10,2017,1,1,same_sex_couple,0.7797,0.2790
S10,2018,2,1,different_sex_couple,0.7904,0.2523
S10,2018,2,1,same_sex_couple,0.7860,0.2792
