commuting_zone,year,import_exposure,export_exposure,offshoring_exposure,manufacturing_share,service_share,unemployment_rate,nonparticipation_rate,wage_growth,wage_index,baseline_mfg_share
cz-07,2002,1.0404,0.2659,0.6357,0.3601,0.4595,0.0582,0.1993,0.016,63.29,0.3729
cz-07,2003,1.0404,0.2659,0.6357,0.3441,0.4648,0.0595,0.1954,0.0023,62.44,0.3729
cz-07,2004,1.0404,0.2659,0.6357,0.3537,0.4579,0.0621,0.2001,0.0106,62.95,0.3729
cz-07,2005,1.0404,0.2659,0.6357,0.3529,0.4663,0.0624,0.202,0.0122,63.05,0.3729
cz-07,2006,1.0404,0.2659,0.6357,0.3486,0.4722,0.0586,0.2004,0.0109,62.97,0.3729
cz-07,2007,1.0404,0.2659,0.6357,0.3403,0.4663,0.0612,0.2023,0.012,63.04,0.3729
cz-08,2000,0.9635,0.2389,0.616,0.3351,0.477,0.069,0.1824,0.0123,57.58,0.3415
cz-08,2001,0.9635,0.2389,0.616,0.334,0.4716,0.0667,0.177,0.0099,57.44,0.3415
cz-08,2002,0.9635,0.2389,0.616,0.3236,0.4848,0.0661,0.1795,0.0071,57.28,0.3415
cz-08,2003,0.9635,0.2389,0.616,0.3268,0.49,0.0674,0.1803,0.0111,57.51,0.3415
cz-08,2004,0.9635,0.2389,0.616,0.3231,0.4885,0.0686,0.1798,0.0096,57.43,0.3415
cz-08,2005,0.9635,0.2389,0.616,0.3152,0.4854,0.0729,0.1793,0.0138,57.67,0.3415
cz-08,2006,0.9635,0.2389,0.616,0.3173,0.4898,0.0738,0.1796,0.0139,57.67,0.3415
cz-08,2007,0.9635,0.2389,0.616,0.3175,0.4944,0.0703,0.18,0.0195,57.99,0.3415
cz-09,2000,1.054,0.3142,0.6831,0.3708,0.4375,0.0749,0.2336,0.0136,54.55,0.3794
cz-09,2001,1.054,0.3142,0.6831,0.3693,0.4456,0.0758,0.2315,0.008,54.25,0.3794
cz-09,2002,1.054,0.3142,0.6831,0.3685,0.4447,0.0758,0.2355,0.0115,54.44,0.3794
cz-09,2003,1.054,0.3142,0.6831,0.3641,0.4489,0.0765,0.2341,0.0128,54.51,0.3794
cz-09,2004,1.054,0.3142,0.6831,0.3605,0.4571,0.0818,0.2364,0.0102,54.37,0.3794
cz-09,2005,1.054,0.3142,0.6831,0.3529,0.4605,0.0772,0.2392,0.0131,54.52,0.3794
cz-09,2006,1.054,0.3142,0.6831,0.3506,0.4616,0.077,0.2361,0.0156,54.66,0.3794
cz-09,2007,1.054,0.3142,0.6831,0.3516,0.4677,0.0805,0.2335,0.014,54.57,0.3794
cz-10,2000,0.8503,0.2892,0.5189,0.3516,0.4598,0.0495,0.2354,0.0155,48.92,0.355
cz-10,2001,0.8503,0.2892,0.5189,0.3473,0.4689,0.0505,0.2359,0.0056,48.44,0.355
cz-10,2002,0.8503,0.2892,0.5189,0.3471,0.4767,0.0513,0.24,0.0149,48.88,0.355
cz-10,2003,0.8503,0.2892,0.5189,0.3379,0.4749,0.0505,0.2371,0.0164,48.96,0.355
cz-10,2004,0.8503,0.2892,0.5189,0.3381,0.4705,0.0562,0.236,0.0123,48.76,0.355
cz-10,2005,0.8503,0.2892,0.5189,0.3328,0.4779,0.0519,0.2354,0.0191,49.08,0.355
cz-10,2006,0.8503,0.2892,0.5189,0.3272,0.4783,0.0491,0.2394,0.0176,49.01,0.355
cz-10,2007,0.8503,0.2892,0.5189,0.3333,0.4962,0.0584,0.2406,0.0139,48.83,0.355
cz-11,2000,0.9387,0.2544,0.5801,0.3452,0.4618,0.0809,0.186,0.0133,58.46,0.3506
cz-11,2001,0.9387,0.2544,0.5801,0.3401,0.4641,0.0816,0.1867,0.0158,58.61,0.3506
cz-11,2002,0.9387,0.2544,0.5801,0.3364,0.4671,0.0823,0.1878,0.0121,58.39,0.3506
cz-11,2003,0.9387,0.2544,0.5801,0.3356,0.4715,0.083,0.1886,0.0076,58.13,0.3506
cz-11,2004,0.9387,0.2544,0.5801,0.329,0.4798,0.0803,0.1872,0.0101,58.27,0.3506
cz-11,2005,0.9387,0.2544,0.5801,0.3274,0.4844,0.0816,0.1905,0.0137,58.48,0.3506
cz-11,2006,0.9387,0.2544,0.5801,0.3305,0.484,0.0833,0.1874,0.0137,58.48,0.3506
cz-11,2007,0.9387,0.2544,0.5801,0.3261,0.4864,0.087,0.1927,0.0153,58.57,0.3506
cz-12,2000,0.6354,0.2518,0.4668,0.2844,0.5158,0.0575,0.1643,0.013,49.14,0.2828
cz-12,2001,0.6354,0.2518,0.4668,0.2775,0.5158,0.0563,0.1695,0.0109,49.03,0.2828
cz-12,2002,0.6354,0.2518,0.4668,0.2681,0.5155,0.0594,0.1727,0.0114,49.06,0.2828
cz-12,2003,0.6354,0.2518,0.4668,0.2717,0.5302,0.059,0.1694,0.0137,49.17,0.2828
cz-12,2004,0.6354,0.2518,0.4668,0.2635,0.5416,0.0656,0.1702,0.0196,49.46,0.2828
cz-12,2005,0.6354,0.2518,0.4668,0.2608,0.5338,0.0626,0.1677,0.0102,49.0,0.2828
cz-12,2006,0.6354,0.2518,0.4668,0.2626,0.5298,0.0645,0.1719,0.0158,49.27,0.2828
cz-12,2007,0.6354,0.2518,0.4668,0.261,0.5373,0.0591,0.1725,0.0186,49.41,0.2828
cz-13,2000,0.9014,0.2348,0.5377,0.3372,0.4726,0.0643,0.2081,0.0116,61.97,0.3441
cz-13,2001,0.9014,0.2348,0.5377,0.3383,0.475,0.0693,0.2096,0.0091,61.82,0.3441
cz-13,2002,0.9014,0.2348,0.5377,0.3325,0.4765,0.0685,0.2129,0.0153,62.2,0.3441
cz-13,2003,0.9014,0.2348,0.5377,0.3273,0.4832,0.0734,0.2116,0.0122,62.01,0.3441
cz-13,2004,0.9014,0.2348,0.5377,0.3275,0.4776,0.0684,0.2126,0.0129,62.05,0.3441
cz-13,2005,0.9014,0.2348,0.5377,0.3277,0.4856,0.0747,0.2143,0.0186,62.4,0.3441
cz-13,2006,0.9014,0.2348,0.5377,0.3157,0.4895,0.0736,0.2132,0.0094,61.84,0.3441
cz-13,2007,0.9014,0.2348,0.5377,0.3133,0.4891,0.0788,0.2131,0.0128,62.05,0.3441
cz-14,2000,0.9378,0.3085,0.5807,0.3629,0.4484,0.0652,0.2306,0.0057,46.13,0.3726
cz-14,2001,0.9378,0.3085,0.5807,0.3676,0.4505,0.0647,0.2332,0.0141,46.51,0.3726
cz-14,2002,0.9378,0.3085,0.5807,0.3572,0.448,0.0606,0.2342,0.0086,46.26,0.3726
cz-14,2003,0.9378,0.3085,0.5807,0.3505,0.4553,0.0608,0.2328,0.0114,46.39,0.3726
cz-14,2004,0.9378,0.3085,0.5807,0.3629,0.4612,0.0614,0.2318,0.0143,46.52,0.3726
cz-14,2005,0.9378,0.3085,0.5807,0.3437,0.4703,0.0632,0.2315,0.0125,46.44,0.3726
cz-14,2006,0.9378,0.3085,0.5807,0.3461,0.4728,0.0606,0.2355,0.0121,46.42,0.3726
cz-14,2007,0.9378,0.3085,0.5807,0.3469,0.4668,0.0629,0.2396,0.0142,46.52,0.3726
cz-15,2000,0.7649,0.2718,0.5098,0.3199,0.4903,0.0807,0.2279,0.0121,51.43,0.3222
cz-15,2001,0.7649,0.2718,0.5098,0.3114,0.4886,0.0815,0.227,0.015,51.58,0.3222
cz-15,2002,0.7649,0.2718,0.5098,0.3151,0.4908,0.0814,0.2271,0.0132,51.49,0.3222
cz-15,2003,0.7649,0.2718,0.5098,0.305,0.4986,0.0811,0.2271,0.0191,51.79,0.3222
cz-15,2004,0.7649,0.2718,0.5098,0.3088,0.4942,0.0821,0.2288,0.0195,51.81,0.3222
cz-15,2005,0.7649,0.2718,0.5098,0.3016,0.5054,0.0816,0.2314,0.0117,51.41,0.3222
cz-15,2006,0.7649,0.2718,0.5098,0.2952,0.5051,0.0817,0.2319,0.0141,51.53,0.3222
cz-15,2007,0.7649,0.2718,0.5098,0.2939,0.5087,0.0812,0.2313,0.0077,51.21,0.3222
cz-16,2000,0.8351,0.2663,0.5207,0.3235,0.4763,0.0796,0.2068,0.0097,47.26,0.3377
cz-16,2001,0.8351,0.2663,0.5207,0.3318,0.4812,0.078,0.2069,0.0148,47.5,0.3377
cz-16,2002,0.8351,0.2663,0.5207,0.328,0.4804,0.079,0.207,0.0067,47.12,0.3377
cz-16,2003,0.8351,0.2663,0.5207,0.3235,0.4848,0.0749,0.2038,0.0179,47.64,0.3377
cz-16,2004,0.8351,0.2663,0.5207,0.3202,0.494,0.0795,0.2108,0.0143,47.48,0.3377
cz-16,2005,0.8351,0.2663,0.5207,0.3138,0.493,0.0844,0.213,0.0145,47.48,0.3377
cz-16,2006,0.8351,0.2663,0.5207,0.3116,0.4918,0.0832,0.2109,0.0136,47.45,0.3377
cz-16,2007,0.8351,0.2663,0.5207,0.3097,0.5019,0.0834,0.2101,0.0086,47.21,0.3377
cz-17,2000,0.9278,0.3023,0.5679,0.3582,0.4499,0.0453,0.2191,0.0117,60.51,0.3692
cz-17,2001,0.9278,0.3023,0.5679,0.3625,0.448,0.0476,0.2216,0.009,60.35,0.3692
cz-17,2002,0.9278,0.3023,0.5679,0.3517,0.4543,0.0523,0.2209,0.0164,60.79,0.3692
cz-17,2003,0.9278,0.3023,0.5679,0.3524,0.4653,0.0463,0.2209,0.012,60.52,0.3692
cz-17,2004,0.9278,0.3023,0.5679,0.3573,0.4659,0.0527,0.2211,0.0106,60.44,0.3692
cz-17,2005,0.9278,0.3023,0.5679,0.352,0.4731,0.0537,0.2249,0.0105,60.44,0.3692
cz-17,2006,0.9278,0.3023,0.5679,0.3522,0.4716,0.0545,0.2246,0.0069,60.22,0.3692
cz-17,2007,0.9278,0.3023,0.5679,0.3324,0.4679,0.0524,0.2259,0.0119,60.52,0.3692
cz-18,2000,0.9842,0.2653,0.5905,0.355,0.4514,0.0813,0.1679,0.0127,44.52,0.3667
cz-18,2001,0.9842,0.2653,0.5905,0.3613,0.4558,0.081,0.1664,0.0144,44.6,0.3667
cz-18,2002,0.9842,0.2653,0.5905,0.3573,0.4666,0.0843,0.1659,0.0063,44.24,0.3667
cz-18,2003,0.9842,0.2653,0.5905,0.3449,0.4594,0.084,0.1653,0.0047,44.17,0.3667
cz-18,2004,0.9842,0.2653,0.5905,0.3463,0.4697,0.0851,0.172,0.0113,44.46,0.3667
cz-18,2005,0.9842,0.2653,0.5905,0.3413,0.4687,0.0812,0.1679,0.0157,44.65,0.3667
cz-18,2006,0.9842,0.2653,0.5905,0.3484,0.4785,0.0856,0.1694,0.0125,44.52,0.3667
cz-18,2007,0.9842,0.2653,0.5905,0.329,0.4791,0.0874,0.1702,0.0119,44.49,0.3667
cz-19,2000,0.7428,0.282,0.4707,0.3214,0.4861,0.0704,0.1906,0.0146,43.63,0.329
cz-19,2001,0.7428,0.282,0.4707,0.3264,0.4859,0.073,0.1907,0.0125,43.54,0.329
cz-19,2002,0.7428,0.282,0.4707,0.3231,0.4884,0.0779,0.1962,0.0106,43.46,0.329
cz-19,2003,0.7428,0.282,0.4707,0.3174,0.4874,0.0759,0.1918,0.0124,43.54,0.329
cz-19,2004,0.7428,0.282,0.4707,0.3084,0.4953,0.0792,0.1946,0.0147,43.64,0.329
cz-19,2005,0.7428,0.282,0.4707,0.3071,0.4983,0.0736,0.1891,0.0108,43.47,0.329
cz-19,2006,0.7428,0.282,0.4707,0.3089,0.5028,0.0763,0.1901,0.0097,43.42,0.329
cz-19,2007,0.7428,0.282,0.4707,0.3074,0.5033,0.0791,0.1912,0.0178,43.77,0.329
cz-20,2000,0.9329,0.2852,0.5813,0.3576,0.4596,0.072,0.1714,0.0087,54.65,0.362
cz-20,2001,0.9329,0.2852,0.5813,0.3524,0.4632,0.0721,0.1725,0.0123,54.85,0.362
cz-20,2002,0.9329,0.2852,0.5813,0.3447,0.4713,0.0734,0.1725,0.0119,54.83,0.362
cz-20,2003,0.9329,0.2852,0.5813,0.3506,0.4686,0.078,0.1722,0.0167,55.09,0.362
cz-20,2004,0.9329,0.2852,0.5813,0.3428,0.4734,0.078,0.1732,0.0073,54.58,0.362
cz-20,2005,0.9329,0.2852,0.5813,0.338,0.4666,0.0705,0.1763,0.0159,55.04,0.362
cz-20,2006,0.9329,0.2852,0.5813,0.3343,0.4788,0.0839,0.1774,0.0114,54.8,0.362
cz-20,2007,0.9329,0.2852,0.5813,0.3322,0.4819,0.0759,0.1787,0.0133,54.9,0.362
cz-21,2000,0.6949,0.2005,0.4279,0.2955,0.5116,0.0721,0.2132,0.0094,48.04,0.2949
cz-21,2001,0.6949,0.2005,0.4279,0.2815,0.5064,0.0748,0.2101,0.0147,48.3,0.2949
cz-21,2002,0.6949,0.2005,0.4279,0.2874,0.5215,0.0759,0.2117,0.0126,48.19,0.2949
cz-21,2003,0.6949,0.2005,0.4279,0.2785,0.5158,0.0741,0.2124,0.0102,48.08,0.2949
cz-21,2004,0.6949,0.2005,0.4279,0.2783,0.5266,0.071,0.2106,0.0102,48.08,0.2949
cz-21,2005,0.6949,0.2005,0.4279,0.2755,0.5193,0.0753,0.2173,0.0094,48.04,0.2949
cz-21,2006,0.6949,0.2005,0.4279,0.2722,0.5292,0.0767,0.2107,0.0174,48.42,0.2949
cz-21,2007,0.6949,0.2005,0.4279,0.2618,0.5275,0.0773,0.2123,0.0183,48.47,0.2949
cz-22,2000,0.9573,0.3072,0.5974,0.3669,0.4474,0.0717,0.1587,0.0127,52.63,0.3711
cz-22,2001,0.9573,0.3072,0.5974,0.3658,0.4535,0.0829,0.162,0.0084,52.41,0.3711
cz-22,2002,0.9573,0.3072,0.5974,0.3524,0.4615,0.0764,0.1611,0.0084,52.41,0.3711
cz-22,2003,0.9573,0.3072,0.5974,0.3517,0.4575,0.0793,0.1636,0.0125,52.62,0.3711
cz-22,2004,0.9573,0.3072,0.5974,0.3555,0.4606,0.0768,0.163,0.005,52.23,0.3711
cz-22,2005,0.9573,0.3072,0.5974,0.3518,0.4682,0.081,0.1615,0.0103,52.51,0.3711
cz-22,2006,0.9573,0.3072,0.5974,0.3451,0.4655,0.0782,0.1639,0.0126,52.63,0.3711
cz-22,2007,0.9573,0.3072,0.5974,0.3389,0.4772,0.0863,0.166,0.0118,52.59,0.3711
cz-23,2000,0.6847,0.2509,0.4173,0.3043,0.4949,0.0741,0.1711,0.0132,45.28,0.3152
cz-23,2001,0.6847,0.2509,0.4173,0.3159,0.497,0.0772,0.1716,0.0102,45.15,0.3152
cz-23,2002,0.6847,0.2509,0.4173,0.3042,0.5006,0.0797,0.1726,0.0119,45.22,0.3152
cz-23,2003,0.6847,0.2509,0.4173,0.3072,0.501,0.0743,0.1747,0.0133,45.29,0.3152
cz-23,2004,0.6847,0.2509,0.4173,0.2975,0.5009,0.0773,0.1754,0.0136,45.3,0.3152
cz-23,2005,0.6847,0.2509,0.4173,0.3054,0.5091,0.0813,0.1725,0.0128,45.27,0.3152
cz-23,2006,0.6847,0.2509,0.4173,0.2918,0.511,0.0767,0.1704,0.0159,45.41,0.3152
cz-23,2007,0.6847,0.2509,0.4173,0.2956,0.5159,0.0801,0.1715,0.0189,45.54,0.3152
cz-24,2000,0.8186,0.2428,0.5172,0.3256,0.4887,0.0662,0.1772,0.0113,44.38,0.3276
cz-24,2001,0.8186,0.2428,0.5172,0.3254,0.4852,0.0671,0.179,0.0155,44.57,0.3276
cz-24,2002,0.8186,0.2428,0.5172,0.3104,0.4898,0.0725,0.1797,0.0112,44.38,0.3276
cz-24,2003,0.8186,0.2428,0.5172,0.3167,0.4889,0.0747,0.1812,0.0112,44.38,0.3276
cz-24,2004,0.8186,0.2428,0.5172,0.3103,0.4967,0.0702,0.1782,0.0119,44.41,0.3276
cz-24,2005,0.8186,0.2428,0.5172,0.2998,0.5057,0.069,0.1797,0.0104,44.34,0.3276
cz-24,2006,0.8186,0.2428,0.5172,0.3064,0.5026,0.0752,0.1807,0.0138,44.49,0.3276
cz-24,2007,0.8186,0.2428,0.5172,0.3,0.5053,0.0752,0.1846,0.0178,44.67,0.3276
