firm_id,sector,year,productivity_index,visibility_index,enforcement_index,registration_cost_index,payroll_tax_index,worker_skill_index,benefit_value_index,registered_firm,payroll_reported_share,hidden_worker_share,contract_quality_index,effective_enforceability_index,firm_size,formal_wage_index,informal_wage_index
logistics_medium,transport,2019,0.658,0.61,0.553,0.441,0.36,0.493,0.58,1,0.772,0.228,0.829,0.625,28,1.088,0.977
logistics_medium,transport,2020,0.675,0.61,0.558,0.426,0.377,0.514,0.58,1,0.771,0.229,0.831,0.629,29,1.095,0.984
logistics_medium,transport,2021,0.686,0.61,0.578,0.411,0.39,0.535,0.58,1,0.774,0.226,0.833,0.639,29,1.1,0.989
logistics_medium,transport,2022,0.692,0.61,0.612,0.395,0.398,0.555,0.58,1,0.781,0.219,0.835,0.657,29,1.104,0.992
logistics_medium,transport,2023,0.696,0.61,0.648,0.38,0.4,0.576,0.58,1,0.789,0.211,0.837,0.675,29,1.108,0.995
logistics_medium,transport,2024,0.698,0.61,0.671,0.368,0.395,0.596,0.58,1,0.796,0.204,0.839,0.687,30,1.112,0.997
logistics_medium,transport,2025,0.704,0.61,0.678,0.359,0.383,0.616,0.58,1,0.801,0.199,0.841,0.692,30,1.118,1.001
construction_subcontractor,construction,2018,0.543,0.44,0.451,0.572,0.39,0.403,0.51,0,0.239,0.761,0.298,0.208,16,1.034,0.973
construction_subcontractor,construction,2019,0.566,0.44,0.458,0.561,0.41,0.425,0.51,0,0.239,0.761,0.301,0.211,16,1.042,0.981
construction_subcontractor,construction,2020,0.585,0.44,0.461,0.546,0.427,0.447,0.51,0,0.239,0.761,0.303,0.213,17,1.05,0.988
construction_subcontractor,construction,2021,0.597,0.44,0.478,0.531,0.44,0.468,0.51,0,0.241,0.759,0.305,0.217,17,1.055,0.993
construction_subcontractor,construction,2022,0.604,0.44,0.51,0.515,0.448,0.488,0.51,1,0.727,0.273,0.813,0.594,26,1.06,0.968
construction_subcontractor,construction,2023,0.608,0.44,0.547,0.5,0.45,0.509,0.51,1,0.736,0.264,0.815,0.612,26,1.064,0.971
construction_subcontractor,construction,2024,0.611,0.44,0.573,0.488,0.445,0.529,0.51,1,0.743,0.257,0.817,0.625,27,1.068,0.973
construction_subcontractor,construction,2025,0.616,0.44,0.582,0.479,0.433,0.549,0.51,1,0.749,0.251,0.819,0.631,27,1.074,0.976
retail_chain_unit,retail,2018,0.706,0.7,0.6,0.412,0.34,0.506,0.63,1,0.798,0.202,0.84,0.655,30,1.109,0.988
retail_chain_unit,retail,2019,0.728,0.7,0.604,0.401,0.36,0.528,0.63,1,0.797,0.203,0.843,0.659,31,1.117,0.996
retail_chain_unit,retail,2020,0.745,0.7,0.61,0.386,0.377,0.55,0.63,1,0.797,0.203,0.845,0.663,31,1.123,1.002
retail_chain_unit,retail,2021,0.755,0.7,0.631,0.371,0.39,0.57,0.63,1,0.8,0.2,0.847,0.675,31,1.129,1.007
retail_chain_unit,retail,2022,0.761,0.7,0.666,0.355,0.398,0.591,0.63,1,0.806,0.194,0.849,0.693,31,1.133,1.01
retail_chain_unit,retail,2023,0.764,0.7,0.701,0.34,0.4,0.611,0.63,1,0.814,0.186,0.851,0.711,32,1.136,1.013
retail_chain_unit,retail,2024,0.767,0.7,0.722,0.328,0.395,0.631,0.63,1,0.821,0.179,0.853,0.722,32,1.141,1.015
retail_chain_unit,retail,2025,0.773,0.7,0.729,0.319,0.383,0.652,0.63,1,0.826,0.174,0.855,0.727,32,1.147,1.019
own_account_services,services,2018,0.256,0.18,0.302,0.352,0.34,0.23,0.35,0,0.163,0.837,0.247,0.152,7,0.918,0.894
own_account_services,services,2019,0.282,0.18,0.311,0.341,0.36,0.253,0.35,0,0.165,0.835,0.25,0.155,8,0.928,0.902
own_account_services,services,2020,0.304,0.18,0.314,0.326,0.377,0.274,0.35,0,0.164,0.836,0.253,0.157,9,0.936,0.91
own_account_services,services,2021,0.32,0.18,0.326,0.311,0.39,0.296,0.35,0,0.166,0.834,0.255,0.16,9,0.943,0.916
own_account_services,services,2022,0.329,0.18,0.355,0.295,0.398,0.316,0.35,0,0.172,0.828,0.257,0.166,9,0.948,0.92
own_account_services,services,2023,0.335,0.18,0.393,0.28,0.4,0.337,0.35,0,0.181,0.819,0.26,0.173,9,0.952,0.923
own_account_services,services,2024,0.337,0.18,0.422,0.268,0.395,0.357,0.35,0,0.189,0.811,0.262,0.179,10,0.957,0.926
own_account_services,services,2025,0.341,0.18,0.436,0.259,0.383,0.377,0.35,0,0.196,0.804,0.264,0.182,10,0.962,0.928
